Nearly nearly
of of
disadvantages disadvantage
. .
If if
you you
want want
to to
generate generate
electricity electricity
, ,
you you
have have
to to
get get
the the
water water
a a
lot lot
hotter hot
than than
you you
normally normally
can can
. .
At at
normal normal
pressures pressure
, ,
water water
will will
boil boil
at at
100 @card@
degrees degree
Celsius celsius
. .
This this
isn isn
' '
t t
nearly nearly
hot hot
enough enough
to to
generate generate
electricity electricity
effectively effectively
. .
So so
water-cooled water-cooled
reactors reactor
have have
to to
run run
at at
much much
higher high
pressures pressure
than than
atmospheric atmospheric
pressure pressure
. .
Some some
water-cooled water-cooled
reactors reactor
run run
at at
over over
70 @card@
atmospheres atmosphere
of of
pressure pressure
, ,
and and
others other
have have
to to
run run
at at
as as
much much
as as
150 @card@
atmospheres atmosphere
of of
pressure pressure
. .
There there
' '
s s
no no
getting get
around around
this this
; ;
it it
' '
s s
simply simply
what what
you you
have have
to to
do do
if if
you you
want want
to to
generate generate
electricity electricity
using use
a a
water-cooled water-cooled
reactor reactor
. .
This this
means mean
you you
have have
to to
build build
a a
water-cooled water-cooled
reactor reactor
as as
a a
pressure pressure
vessel vessel
, ,
with with
steel steel
walls wall
over over
20 @card@
centimeters centimeter
thick thick
. .
If if
that that
sounds sound
heavy heavy
, ,
that that
' '
s s
because because
it it
is be
. .
Things thing
get get
a a
lot lot
worse bad
if if
you you
have have
an an
accident accident
where where
you you
lose lose
pressure pressure
inside inside
the the
reactor reactor
. .
If if
you you
have have
liquid liquid
water water
at at
300 @card@
degrees degree
Celsius celsius
and and
suddenly suddenly
you you
depressurize depressurize
it it
, ,
it it
doesn doesn
' '
t t
stay stay
liquid liquid
for for
very very
long long
; ;
it it
flashes flash
into into
steam steam
. .
So so
water-cooled water-cooled
reactors reactor
are be
built build
inside inside
of of
big big
, ,
thick thick
concrete concrete
buildings building
called call
containment containment
buildings building
, ,
which which
are be
meant mean
to to
hold hold
all all
of of
the the
steam steam
that that
would would
come come
out out
of of
the the
reactor reactor
if if
you you
had have
an an
accident accident
where where
you you
lost lose
pressure pressure
. .
Steam steam
takes take
up up
about about
1 @card@
, ,
000 @card@
times time
more more
volume volume
than than
liquid liquid
water water
, ,
so so
the the
containment containment
building building
ends end
up up
being be
very very
large large
, ,
relative relative
to to
the the
size size
of of
the the
reactor reactor
. .
Another another
bad bad
thing thing
happens happen
if if
you you
lose lose
pressure pressure
and and
your your
water water
flashes flash
to to
steam steam
. .
If if
you you
don don
' '
t t
get get
emergency emergency
coolant coolant
to to
the the
fuel fuel
in in
the the
reactor reactor
, ,
it it
can can
overheat overheat
and and
melt melt
. .
The the
reactors reactor
we we
have have
today today
use use
uranium uranium
oxide oxide
as as
a a
fuel fuel
. .
It it
' '
s s
a a
ceramic ceramic
material material
similar similar
in in
performance performance
to to
the the
ceramics ceramic
we we
use use
to to
make make
coffee coffee
cups cup
or or
cookware cookware
or or
the the
bricks brick
we we
use use
to to
line line
fireplaces fireplace
. .
They they
' '
re re
chemically chemically
stable stable
, ,
but but
they they
' '
re re
not not
very very
good good
at at
transferring transfer
heat heat
. .
If if
you you
lose lose
pressure pressure
, ,
you you
lose lose
your your
water water
, ,
and and
soon soon
your your
fuel fuel
will will
melt melt
down down
and and
release release
the the
radioactive radioactive
fission fission
products product
within within
it it
. .
Making make
solid solid
nuclear nuclear
fuel fuel
is be
a a
complicated complicated
and and
expensive expensive
process process
. .
And and
we we
extract extract
less less
than than
one one
percent percent
of of
the the
energy energy
for for
the the
nuclear nuclear
fuel fuel
before before
it it
can can
no no
longer longer
remain remain
in in
the the
reactor reactor
. .
Water-cooled water-cooled
reactors reactor
have have
another another
additional additional
challenge challenge
: :
they they
need need
to to
be be
near near
large large
bodies body
of of
water water
, ,
where where
the the
steam steam
they they
generate generate
can can
be be
cooled cool
and and
condensed condense
. .
Otherwise otherwise
, ,
they they
can can
' '
t t
generate generate
electrical electrical
power power
. .
Now now
, ,
there there
' '
s s
no no
lakes lake
or or
rivers river
on on
the the
Moon moon
, ,
so so
if if
all all
of of
this this
makes make
it it
sound sound
like like
water-cooled water-cooled
reactors reactor
aren aren
' '
t t
such such
a a
good good
fit fit
for for
a a
lunar lunar
community community
, ,
I i
would would
tend tend
to to
agree agree
with with
you you
. .
I i
had have
the the
good good
fortune fortune
to to
learn learn
about about
a a
different different
form form
of of
nuclear nuclear
power power
that that
doesn doesn
' '
t t
have have
all all
these these
problems problem
, ,
for for
a a
very very
simple simple
reason reason
: :
it it
' '
s s
not not
based base
on on
water-cooling water-cooling
, ,
and and
it it
doesn doesn
' '
t t
use use
solid solid
fuel fuel
. .
Surprisingly surprisingly
, ,
it it
' '
s s
based base
on on
salt salt
. .
One one
day day
, ,
I i
was be
at at
a a
friend friend
' '
s s
office office
at at
work work
, ,
and and
I i
noticed notice
this this
book book
on on
the the
shelf shelf
, ,
" "
Fluid fluid
Fuel fuel
Reactors reactor
. .
" "
I i
was be
interested interested
and and
asked ask
him him
if if
I i
could could
borrow borrow
it it
. .
Inside inside
that that
book book
, ,
I i
learned learn
about about
research research
in in
the the
United united
States states
back back
in in
the the
1950s 1950s
, ,
into into
a a
kind kind
of of
reactor reactor
that that
wasn wasn
' '
t t
based base
on on
solid solid
fuel fuel
or or
on on
water- water-
cooling cooling
. .
It it
didn didn
' '
t t
have have
the the
problems problem
of of
the the
water-cooled water-cooled
reactor reactor
, ,
and and
the the
reason reason
why why
was be
pretty pretty
neat neat
. .
It it
used use
a a
mixture mixture
of of
fluoride fluoride
salts salt
as as
a a
nuclear nuclear
fuel fuel
, ,
specifically specifically
, ,
the the
fluorides fluoride
of of
lithium lithium
, ,
beryllium beryllium
, ,
uranium uranium
and and
thorium thorium
. .
Fluoride fluoride
salts salt
are be
remarkably remarkably
chemically chemically
stable stable
. .
They they
do do
not not
react react
with with
air air
and and
water water
. .
You you
have have
to to
heat heat
them them
up up
to to
about about
400 @card@
degrees degree
Celsius celsius
to to
get get
them them
to to
melt melt
. .
But but
that that
' '
s s
actually actually
perfect perfect
for for
trying try
to to
generate generate
power power
in in
a a
nuclear nuclear
reactor reactor
. .
Here here
' '
s s
the the
real real
magic magic
: :
they they
don don
' '
t t
have have
to to
operate operate
at at
high high
pressure pressure
. .
And and
that that
makes make
the the
biggest big
difference difference
of of
all all
. .
This this
means mean
they they
don don
' '
t t
have have
to to
be be
in in
heavy heavy
, ,
thick thick
steel steel
pressure pressure
vessels vessel
, ,
they they
don don
' '
t t
have have
to to
use use
water water
for for
coolant coolant
and and
there there
' '
s s
nothing nothing
in in
the the
reactor reactor
that that
' '
s s
going go
to to
make make
a a
big big
change change
in in
density density
, ,
like like
water water
. .
So so
the the
containment containment
building building
around around
the the
reactor reactor
can can
be be
much much
smaller small
and and
close-fitting close-fitting
. .
Unlike unlike
the the
solid solid
fuels fuel
that that
can can
melt melt
down down
if if
you you
stop stop
cooling cool
them them
, ,
these these
liquid liquid
fluoride fluoride
fuels fuel
are be
already already
melted melt
, ,
at at
a a
much much
, ,
much much
lower low
temperature temperature
. .
In in
normal normal
operation operation
, ,
you you
have have
a a
little little
plug plug
here here
at at
the the
bottom bottom
of of
the the
reactor reactor
vessel vessel
. .
This this
plug plug
is be
made make
out out
of of
a a
piece piece
of of
frozen frozen
salt salt
that that
you you
' '
ve ve
kept keep
frozen freeze
by by
blowing blow
cool cool
gas gas
over over
the the
outside outside
of of
the the
pipe pipe
. .
If if
there there
' '
s s
an an
emergency emergency
and and
you you
lose lose
all all
the the
power power
to to
your your
nuclear nuclear
power power
plant plant
, ,
the the
little little
blower blower
stops stop
blowing blow
, ,
the the
frozen frozen
plug plug
of of
salt salt
melts melt
, ,
and and
the the
liquid liquid
fluoride fluoride
fuel fuel
inside inside
the the
reactor reactor
drains drain
out out
of of
the the
vessel vessel
, ,
through through
the the
line line
and and
into into
another another
vessel vessel
called call
a a
drain drain
tank tank
. .
Inside inside
the the
drain drain
tank tank
, ,
it it
' '
s s
all all
configured configure
to to
maximize maximize
the the
transfer transfer
of of
heat heat
, ,
so so
as as
to to
keep keep
the the
salt salt
passively passively
cooled cool
as as
its its
heat heat
load load
drops drop
over over
time time
. .
In in
water-cooled water-cooled
reactors reactor
, ,
you you
generally generally
have have
to to
provide provide
power power
to to
the the
plant plant
to to
keep keep
the the
water water
circulating circulate
and and
to to
prevent prevent
a a
meltdown meltdown
, ,
as as
we we
saw see
in in
Japan japan
. .
But but
in in
this this
reactor reactor
, ,
if if
you you
lose lose
the the
power power
to to
the the
reactor reactor
, ,
it it
shuts shut
itself itself
down down
all all
by by
itself itself
, ,
without without
human human
intervention intervention
, ,
and and
puts put
itself itself
in in
a a
safe safe
and and
controlled controlled
configuration configuration
. .
Now now
, ,
this this
was be
sounding sound
pretty pretty
good good
to to
me me
, ,
and and
I i
was be
excited excite
about about
the the
potential potential
of of
using use
a a
liquid liquid
fluoride fluoride
reactor reactor
to to
power power
a a
lunar lunar
community community
. .
But but
then then
I i
learned learn
about about
thorium thorium
, ,
and and
the the
story story
got get
even even
better good
. .
Thorium thorium
is be
a a
naturally naturally
occurring occur
nuclear nuclear
fuel fuel
that that
is be
four four
times time
more more
common common
in in
the the
Earth earth
' '
s s
crust crust
than than
uranium uranium
. .
It it
can can
be be
used use
in in
liquid liquid
fluoride fluoride
thorium thorium
reactors reactor
to to
produce produce
electrical electrical
energy energy
, ,
heat heat
and and
other other
valuable valuable
products product
. .
It it
' '
s s
so so
energy-dense energy-dense
that that
you you
could could
hold hold
a a
lifetime lifetime
supply supply
of of
thorium thorium
energy energy
in in
the the
palm palm
of of
your your
hand hand
. .
Thorium thorium
is be
also also
common common
on on
the the
Moon moon
and and
easy easy
to to
find find
. .
Here here
' '
s s
an an
actual actual
map map
of of
where where
the the
lunar lunar
thorium thorium
is be
located locate
. .
Thorium thorium
has have
an an
electromagnetic electromagnetic
signature signature
that that
makes make
it it
easy easy
to to
find find
, ,
even even
from from
a a
spacecraft spacecraft
. .
With with
the the
energy energy
generated generate
from from
a a
liquid liquid
fluoride fluoride
thorium thorium
reactor reactor
, ,
we we
could could
recycle recycle
all all
of of
the the
air air
, ,
water water
and and
waste waste
products product
within within
the the
lunar lunar
community community
. .
In in
fact fact
, ,
doing do
so so
would would
be be
an an
absolute absolute
requirement requirement
for for
success success
. .
We we
could could
grow grow
the the
crops crop
needed need
to to
feed feed
the the
members member
of of
the the
community community
even even
during during
the the
two-week two-week
lunar lunar
night night
, ,
using use
light light
and and
power power
from from
the the
reactor reactor
. .
It it
seemed seem
like like
the the
liquid liquid
fluoride fluoride
thorium thorium
reactor reactor
, ,
or or
LFTR lftr
, ,
could could
be be
the the
power power
source source
that that
could could
make make
a a
self-sustainable self-sustainable
lunar lunar
colony colony
a a
reality reality
. .
But but
I i
had have
a a
simple simple
question question
: :
If if
it it
was be
such such
a a
great great
thing thing
for for
a a
community community
on on
the the
Moon moon
, ,
why why
not not
a a
community community
on on
the the
Earth earth
, ,
a a
community community
of of
the the
future future
, ,
self- self-
sustaining sustain
and and
energy-independent energy-independent
? ?
The the
same same
energy energy
generation generation
and and
recycling recycling
techniques technique
that that
could could
have have
a a
powerful powerful
impact impact
on on
surviving survive
on on
the the
Moon moon
could could
also also
have have
a a
powerful powerful
impact impact
on on
surviving survive
on on
the the
Earth earth
. .
Right right
now now
, ,
we we
' '
re re
burning burn
fossil fossil
fuels fuel
because because
they they
' '
re re
easy easy
to to
find find
and and
because because
we we
can can
. .
Unfortunately unfortunately
, ,
they they
' '
re re
making make
some some
parts part
of of
our our
planet planet
look look
like like
the the
Moon moon
. .
Using use
fossil fossil
fuels fuel
entangles entangle
us us
in in
conflict conflict
in in
unstable unstable
regions region
of of
the the
world world
and and
costs cost
money money
and and
lives life
. .
Things thing
could could
be be
very very
different different
if if
we we
were be
using use
thorium thorium
. .
You you
see see
, ,
in in
a a
LFTR lftr
, ,
we we
could could
use use
thorium thorium
about about
200 @card@
times time
more more
efficiently efficiently
than than
we we
' '
re re
using use
uranium uranium
now now
. .
And and
because because
the the
LFTR lftr
is be
capable capable
of of
almost almost
completely completely
releasing release
the the
energy energy
in in
thorium thorium
, ,
this this
reduces reduce
the the
waste waste
generated generate
over over
uranium uranium
by by
factors factor
of of
hundreds hundred
, ,
and and
by by
factors factor
of of
millions million
over over
fossil fossil
fuels fuel
. .
We we
' '
re re
still still
going go
to to
need need
liquid liquid
fuels fuel
for for
vehicles vehicle
and and
machinery machinery
, ,
but but
we we
could could
generate generate
these these
liquid liquid
fuels fuel
from from
the the
carbon carbon
dioxide dioxide
in in
the the
atmosphere atmosphere
and and
from from
water water
, ,
much much
like like
nature nature
does do
. .
We we
could could
generate generate
hydrogen hydrogen
by by
splitting splitting
water water
and and
combining combine
it it
with with
carbon carbon
harvested harvest
from from
CO2 co2
in in
the the
atmosphere atmosphere
, ,
making make
fuels fuel
like like
methanol methanol
, ,
ammonia ammonia
, ,
and and
dimethyl dimethyl
ether ether
, ,
which which
could could
be be
a a
direct direct
replacement replacement
for for
diesel diesel
fuels fuel
. .
Imagine imagine
carbon-neutral carbon-neutral
gasoline gasoline
and and
diesel diesel
, ,
sustainable sustainable
and and
self- self-
produced produce
. .
Do do
we we
have have
enough enough
thorium thorium
? ?
Yes yes
, ,
we we
do do
. .
In in
fact fact
, ,
in in
the the
United united
States states
, ,
we we
have have
over over
3 @card@
, ,
200 @card@
metric metric
tons ton
of of
thorium thorium
that that
was be
stockpiled stockpile
50 @card@
years year
ago ago
and and
is be
currently currently
buried bury
in in
a a
shallow shallow
trench trench
in in
Nevada nevada
. .
This this
thorium thorium
, ,
if if
used use
in in
LFTRs lftrs
, ,
could could
produce produce
almost almost
as as
much much
energy energy
as as
the the
United united
States states
uses use
in in
three three
years year
. .
And and
thorium thorium
is be
not not
a a
rare rare
substance substance
, ,
either either
. .
There there
are be
many many
sites site
like like
this this
one one
in in
Idaho idaho
, ,
where where
an an
area area
the the
size size
of of
a a
football football
field field
would would
produce produce
enough enough
thorium thorium
each each
year year
to to
power power
the the
entire entire
world world
. .
Using use
liquid liquid
fluoride fluoride
thorium thorium
technology technology
, ,
we we
could could
move move
away away
from from
expensive expensive
and and
difficult difficult
aspects aspect
of of
current current
water-cooled water-cooled
, ,
solid-fueled solid-fueled
uranium uranium
nuclear nuclear
power power
. .
We we
wouldn wouldn
' '
t t
need need
large large
, ,
high-pressure high-pressure
nuclear nuclear
reactors reactor
and and
big big
containment containment
buildings building
that that
they they
go go
in in
. .
We we
wouldn wouldn
' '
t t
need need
large large
, ,
low-efficiency low-efficiency
steam steam
turbines turbine
. .
We we
wouldn wouldn
' '
t t
need need
to to
have have
as as
many many
long-distance long-distance
power power
transmission transmission
infrastructure infrastructure
, ,
because because
thorium thorium
is be
a a
very very
portable portable
energy energy
source source
that that
can can
be be
located locate
near near
to to
where where
it it
is be
needed need
. .
A a
liquid liquid
fluoride fluoride
thorium thorium
reactor reactor
would would
be be
a a
compact compact
facility facility
, ,
very very
energy-efficient energy-efficient
and and
safe safe
, ,
that that
would would
produce produce
the the
energy energy
we we
need need
day day
and and
night night
, ,
and and
without without
respect respect
to to
weather weather
conditions condition
. .
In in
2007 @card@
, ,
we we
used use
five five
billion billion
tons ton
of of
coal coal
, ,
31 @card@
billion billion
barrels barrel
of of
oil oil
and and
five five
trillion trillion
cubic cubic
meters meter
of of
natural natural
gas gas
, ,
along along
with with
65 @card@
, ,
000 @card@
tons ton
of of
uranium uranium
to to
produce produce
the the
world world
' '
s s
energy energy
. .
With with
thorium thorium
, ,
we we
could could
do do
the the
same same
thing thing
with with
7 @card@
, ,
000 @card@
tons ton
of of
thorium thorium
that that
could could
be be
mined mine
at at
a a
single single
site site
. .
If if
all all
this this
sounds sound
interesting interesting
to to
you you
, ,
I i
invite invite
you you
to to
visit visit
our our
website website
, ,
where where
a a
growing growing
and and
enthusiastic enthusiastic
online online
community community
of of
thorium thorium
advocates advocate
is be
working work
to to
tell tell
the the
world world
about about
how how
we we
can can
realize realize
a a
clean clean
, ,
safe safe
and and
sustainable sustainable
energy energy
future future
, ,
based base
on on
the the
energies energy
of of
thorium thorium
. .
Thank thank
you you
very very
much much
. .
