I i
of of
jihad jihad
was be
a a
global global
war war
of of
terror terror
, ,
primarily primarily
targeted target
at at
the the
far far
enemy enemy
, ,
at at
the the
crusaders crusader
from from
the the
West west
, ,
against against
America america
. .
And and
the the
things thing
he he
did do
in in
the the
pursuit pursuit
of of
this this
jihad jihad
were be
so so
horrendous horrendous
, ,
so so
monstrous monstrous
, ,
and and
had have
such such
great great
impact impact
, ,
that that
his his
definition definition
was be
the the
one one
that that
stuck stick
, ,
not not
just just
here here
in in
the the
West west
. .
We we
didn didn
' '
t t
know know
any any
better well
. .
We we
didn didn
' '
t t
pause pause
to to
ask ask
. .
We we
just just
assumed assume
that that
if if
this this
insane insane
man man
and and
his his
psychopathic psychopathic
followers follower
were be
calling call
what what
they they
did do
jihad jihad
, ,
then then
that that
' '
s s
what what
jihad jihad
must must
mean mean
. .
But but
it it
wasn wasn
' '
t t
just just
us us
. .
Even even
in in
the the
Muslim muslim
world world
, ,
his his
definition definition
of of
jihad jihad
began begin
to to
gain gain
acceptance acceptance
. .
A a
year year
ago ago
I i
was be
in in
Tunis tunis
, ,
and and
I i
met meet
the the
imam imam
of of
a a
very very
small small
mosque mosque
, ,
an an
old old
man man
. .
Fifteen fifteen
years year
ago ago
, ,
he he
named name
his his
granddaughter granddaughter
Jihad jihad
, ,
after after
the the
old old
meaning meaning
. .
He he
hoped hope
that that
a a
name name
like like
that that
would would
inspire inspire
her her
to to
live live
a a
spiritual spiritual
life life
. .
But but
he he
told tell
me me
that that
after after
9 @card@
/ /
11 @card@
, ,
he he
began begin
to to
have have
second second
thoughts thought
. .
He he
worried worry
that that
if if
he he
called call
her her
by by
that that
name name
, ,
especially especially
outdoors outdoors
, ,
outside outside
in in
public public
, ,
he he
might might
be be
seen see
as as
endorsing endorse
bin bin
Laden laden
' '
s s
idea idea
of of
jihad jihad
. .
On on
Fridays friday
in in
his his
mosque mosque
, ,
he he
gave give
sermons sermon
trying try
to to
reclaim reclaim
the the
meaning meaning
of of
the the
word word
, ,
but but
his his
congregants congregant
, ,
the the
people people
who who
came come
to to
his his
mosque mosque
, ,
they they
had have
seen see
the the
videos video
. .
They they
had have
seen see
pictures picture
of of
the the
planes plane
going go
into into
the the
towers tower
, ,
the the
towers tower
coming come
down down
. .
They they
had have
heard hear
bin bin
Laden laden
say say
that that
that that
was be
jihad jihad
, ,
and and
claimed claim
victory victory
for for
it it
. .
And and
so so
the the
old old
imam imam
worried worry
that that
his his
words word
were be
falling fall
on on
deaf deaf
ears ear
. .
No no
one one
was be
paying pay
attention attention
. .
He he
was be
wrong wrong
. .
Some some
people people
were be
paying pay
attention attention
, ,
but but
for for
the the
wrong wrong
reasons reason
. .
The the
United united
States states
, ,
at at
this this
point point
, ,
was be
putting put
pressure pressure
on on
all all
its its
Arab arab
allies ally
, ,
including include
Tunisia tunisia
, ,
to to
stamp stamp
out out
extremism extremism
in in
their their
societies society
, ,
and and
this this
imam imam
found find
himself himself
suddenly suddenly
in in
the the
crosshairs crosshair
of of
the the
Tunisian tunisian
intelligence intelligence
service service
. .
They they
had have
never never
paid pay
him him
any any
attention attention
before before
— -
old old
man man
, ,
small small
mosque mosque
— -
but but
now now
they they
began begin
to to
pay pay
visits visit
, ,
and and
sometimes sometimes
they they
would would
drag drag
him him
in in
for for
questions question
, ,
and and
always always
the the
same same
question question
: :
" "
Why why
did do
you you
name name
your your
granddaughter granddaughter
Jihad jihad
? ?
Why why
do do
you you
keep keep
using use
the the
word word
jihad jihad
in in
your your
Friday friday
sermons sermon
? ?
Do do
you you
hate hate
Americans americans
? ?
What what
is be
your your
connection connection
to to
Osama osama
bin bin
Laden laden
? ?
" "
So so
to to
the the
Tunisian tunisian
intelligence intelligence
agency agency
, ,
and and
organizations organization
like like
it it
all all
over over
the the
Arab arab
world world
, ,
jihad jihad
equaled equal
extremism extremism
, ,
Bin bin
Laden laden
' '
s s
definition definition
had have
become become
institutionalized institutionalize
. .
That that
was be
the the
power power
of of
that that
word word
that that
he he
was be
able able
to to
do do
. .
And and
it it
filled fill
this this
old old
imam imam
, ,
it it
filled fill
him him
with with
great great
sadness sadness
. .
He he
told tell
me me
that that
, ,
of of
bin bin
Laden laden
' '
s s
many many
crimes crime
, ,
this this
was be
, ,
in in
his his
mind mind
, ,
one one
that that
didn didn
' '
t t
get get
enough enough
attention attention
, ,
that that
he he
took take
this this
word word
, ,
this this
beautiful beautiful
idea idea
. .
He he
didn didn
' '
t t
so so
much much
appropriate appropriate
it it
as as
kidnapped kidnap
it it
and and
debased debase
it it
and and
corrupted corrupt
it it
and and
turned turn
it it
into into
something something
it it
was be
never never
meant mean
to to
be be
, ,
and and
then then
persuaded persuade
all all
of of
us us
that that
it it
always always
was be
a a
global global
jihad jihad
. .
But but
the the
good good
news news
is be
that that
the the
global global
jihad jihad
is be
almost almost
over over
, ,
as as
bin bin
Laden laden
defined define
it it
. .
It it
was be
dying die
well well
before before
he he
did do
, ,
and and
now now
it it
' '
s s
on on
its its
last last
legs leg
. .
Opinion opinion
polls poll
from from
all all
over over
the the
Muslim muslim
world world
show show
that that
there there
is be
very very
little little
interest interest
among among
Muslims muslim
in in
a a
global global
holy holy
war war
against against
the the
West west
, ,
against against
the the
far far
enemy enemy
. .
The the
supply supply
of of
young young
men man
willing willing
to to
fight fight
and and
die die
for for
this this
cause cause
is be
dwindling dwindle
. .
The the
supply supply
of of
money money
— -
just just
as as
important important
, ,
more more
important important
perhaps perhaps
— -
the the
supply supply
of of
money money
to to
this this
activity activity
is be
also also
dwindling dwindle
. .
The the
wealthy wealthy
fanatics fanatic
who who
were be
previously previously
sponsoring sponsor
this this
kind kind
of of
activity activity
are be
now now
less less
generous generous
. .
What what
does do
that that
mean mean
for for
us us
in in
the the
West west
? ?
Does do
it it
mean mean
we we
can can
break break
out out
the the
champagne champagne
, ,
wash wash
our our
hands hand
of of
it it
, ,
disengage disengage
, ,
sleep sleep
easy easy
at at
night night
? ?
No no
. .
Disengagement disengagement
is be
not not
an an
option option
, ,
because because
if if
you you
let let
local local
jihad jihad
survive survive
, ,
it it
becomes become
international international
jihad jihad
. .
And and
so so
there there
' '
s s
now now
a a
lot lot
of of
different different
violent violent
jihads jihad
all all
over over
the the
world world
. .
In in
Somalia somalia
, ,
in in
Mali mali
, ,
in in
Nigeria nigeria
, ,
in in
Iraq iraq
, ,
in in
Afghanistan afghanistan
, ,
Pakistan pakistan
, ,
there there
are be
groups group
that that
claim claim
to to
be be
the the
inheritors inheritor
of of
the the
legacy legacy
of of
Osama osama
bin bin
Laden laden
. .
They they
use use
his his
rhetoric rhetoric
. .
They they
even even
use use
the the
brand brand
name name
he he
created create
for for
his his
jihad jihad
. .
So so
there there
is be
now now
an an
al al
Qaeda qaeda
in in
the the
Islamic islamic
Maghreb maghreb
, ,
there there
' '
s s
an an
al al
Qaeda qaeda
in in
the the
Arabian arabian
Peninsula peninsula
, ,
there there
is be
an an
al al
Qaeda qaeda
in in
Mesopotamia mesopotamia
. .
There there
are be
other other
groups group
— -
in in
Nigeria nigeria
, ,
Boko boko
Haram haram
, ,
in in
Somalia somalia
, ,
al al
Shabaab shabaab
— -
and and
they they
all all
pay pay
homage homage
to to
Osama osama
bin bin
Laden laden
. .
But but
if if
you you
look look
closely closely
, ,
they they
' '
re re
not not
fighting fight
a a
global global
jihad jihad
. .
They they
' '
re re
fighting fight
battles battle
over over
much much
narrower narrow
issues issue
. .
Usually usually
it it
has have
to to
do do
with with
ethnicity ethnicity
or or
race race
or or
sectarianism sectarianism
, ,
or or
it it
' '
s s
a a
power power
struggle struggle
. .
More more
often often
than than
not not
, ,
it it
' '
s s
a a
power power
struggle struggle
in in
one one
country country
, ,
or or
even even
a a
small small
region region
within within
one one
country country
. .
Occasionally occasionally
they they
will will
go go
across across
a a
border border
, ,
from from
Iraq iraq
to to
Syria syria
, ,
from from
Mali mali
to to
Algeria algeria
, ,
from from
Somalia somalia
to to
Kenya kenya
, ,
but but
they they
' '
re re
not not
fighting fight
a a
global global
jihad jihad
against against
some some
far far
enemy enemy
. .
But but
that that
doesn doesn
' '
t t
mean mean
that that
we we
can can
relax relax
. .
I i
was be
in in
Yemen yemen
recently recently
, ,
where where
— -
it it
' '
s s
the the
home home
of of
the the
last last
al al
Qaeda qaeda
franchise franchise
that that
still still
aspires aspire
to to
attack attack
America america
, ,
attack attack
the the
West west
. .
It it
' '
s s
old old
school school
al al
Qaeda qaeda
. .
You you
may may
remember remember
these these
guys guy
. .
They they
are be
the the
ones one
who who
tried try
to to
send send
the the
underwear underwear
bomber bomber
here here
, ,
and and
they they
were be
using use
the the
Internet internet
to to
try try
and and
instigate instigate
violence violence
among among
American american
Muslims muslims
. .
But but
they they
have have
been be
distracted distract
recently recently
. .
Last last
year year
, ,
they they
took take
control control
over over
a a
portion portion
of of
southern southern
Yemen yemen
, ,
and and
ran run
it it
, ,
Taliban-style taliban-style
. .
And and
then then
the the
Yemeni yemeni
military military
got get
its its
act act
together together
, ,
and and
ordinary ordinary
people people
rose rise
up up
against against
these these
guys guy
and and
drove drive
them them
out out
, ,
and and
since since
then then
, ,
most most
of of
their their
activities activity
, ,
most most
of of
their their
attacks attack
have have
been be
directed direct
at at
Yemenis yemeni
. .
So so
I i
think think
we we
' '
ve ve
come come
to to
a a
point point
now now
where where
we we
can can
say say
that that
, ,
just just
like like
all all
politics politics
, ,
all all
jihad jihad
is be
local local
. .
But but
that that
' '
s s
still still
not not
reason reason
for for
us us
to to
disengage disengage
, ,
because because
we we
' '
ve ve
seen see
that that
movie movie
before before
, ,
in in
Afghanistan afghanistan
. .
When when
those those
Mujahideen mujahideen
defeated defeat
the the
Soviet soviet
Union union
, ,
we we
disengaged disengage
. .
And and
even even
before before
the the
fizz fizz
had have
gone go
out out
of of
our our
celebratory celebratory
champagne champagne
, ,
the the
Taliban taliban
had have
taken take
over over
in in
Kabul kabul
, ,
and and
we we
said say
, ,
" "
Local local
jihad jihad
, ,
not not
our our
problem problem
. .
" "
And and
then then
the the
Taliban taliban
gave give
the the
keys key
of of
Kandahar kandahar
to to
Osama osama
bin bin
Laden laden
. .
He he
made make
it it
our our
problem problem
. .
Local local
jihad jihad
, ,
if if
you you
ignore ignore
it it
, ,
becomes become
global global
jihad jihad
again again
. .
The the
good good
news news
is be
that that
it it
doesn doesn
' '
t t
have have
to to
be be
. .
We we
know know
how how
to to
fight fight
it it
now now
. .
We we
have have
the the
tools tool
. .
We we
have have
the the
knowhow knowhow
, ,
and and
we we
can can
take take
the the
lessons lesson
we we
' '
ve ve
learned learn
from from
the the
fight fight
against against
global global
jihad jihad
, ,
the the
victory victory
against against
global global
jihad jihad
, ,
and and
apply apply
those those
to to
local local
jihad jihad
. .
What what
are be
those those
lessons lesson
? ?
We we
know know
who who
killed kill
bin bin
Laden laden
: :
SEAL seal
Team team
Six six
. .
Do do
we we
know know
, ,
do do
we we
understand understand
, ,
who who
killed kill
bin bin
Ladenism ladenism
? ?
Who who
ended end
the the
global global
jihad jihad
? ?
There there
lie lie
the the
answers answer
to to
the the
solution solution
to to
local local
jihad jihad
. .
Who who
killed kill
bin bin
Ladenism ladenism
? ?
Let let
' '
s s
start start
with with
bin bin
Laden lade
himself himself
. .
He he
probably probably
thought think
9 @card@
/ /
11 @card@
was be
his his
greatest great
achievement achievement
. .
In in
reality reality
, ,
it it
was be
the the
beginning beginning
of of
the the
end end
for for
him him
. .
He he
killed kill
3 @card@
, ,
000 @card@
innocent innocent
people people
, ,
and and
that that
filled fill
the the
Muslim muslim
world world
with with
horror horror
and and
revulsion revulsion
, ,
and and
what what
that that
meant mean
was be
that that
his his
idea idea
of of
jihad jihad
could could
never never
become become
mainstream mainstream
. .
He he
condemned condemn
himself himself
to to
operating operate
on on
the the
lunatic lunatic
fringes fringe
of of
his his
own own
community community
. .
9 @card@
/ /
11 @card@
didn didn
' '
t t
empower empower
him him
; ;
it it
doomed doom
him him
. .
Who who
killed kill
bin bin
Ladenism ladenism
? ?
Abu abu
Musab musab
al-Zarqawi al-zarqawi
killed kill
it it
. .
He he
was be
the the
especially especially
sadistic sadistic
head head
of of
al al
Qaeda qaeda
in in
Iraq iraq
who who
sent send
hundreds hundred
of of
suicide suicide
bombers bomber
to to
attack attack
not not
Americans american
but but
Iraqis iraqi
. .
Muslims muslims
. .
Sunni sunni
as as
well well
as as
Shiites shiites
. .
Any any
claim claim
that that
al al
Qaeda qaeda
had have
to to
being being
protectors protector
of of
Islam islam
against against
the the
Western western
crusaders crusader
was be
drowned drown
in in
the the
blood blood
of of
Iraqi iraqi
Muslims muslim
. .
Who who
killed kill
Osama osama
bin bin
Laden laden
? ?
The the
SEAL seal
Team team
Six six
. .
Who who
killed kill
bin bin
Ladenism ladenism
? ?
Al al
Jazeera jazeera
did do
, ,
Al al
Jazeera jazeera
and and
half half
a a
dozen dozen
other other
satellite satellite
news news
stations station
in in
Arabic arabic
, ,
because because
they they
circumvented circumvent
the the
old old
, ,
state-owned state-owned
television television
stations station
in in
a a
lot lot
of of
these these
countries country
which which
were be
designed design
to to
keep keep
information information
from from
people people
. .
Al al
Jazeera jazeera
brought bring
information information
to to
them them
, ,
showed show
them them
what what
was be
being be
said say
and and
done do
in in
the the
name name
of of
their their
religion religion
, ,
exposed expose
the the
hypocrisy hypocrisy
of of
Osama osama
bin bin
Laden laden
and and
al al
Qaeda qaeda
, ,
and and
allowed allow
them them
, ,
gave give
them them
the the
information information
that that
allowed allow
them them
to to
come come
to to
their their
own own
conclusions conclusion
. .
Who who
killed kill
bin bin
Ladenism ladenism
? ?
The the
Arab arab
Spring spring
did do
, ,
because because
it it
showed show
a a
way way
for for
young young
Muslims muslim
to to
bring bring
about about
change change
in in
a a
manner manner
that that
Osama osama
bin bin
Laden laden
, ,
with with
his his
limited limited
imagination imagination
, ,
could could
never never
have have
conceived conceive
. .
Who who
defeated defeat
the the
global global
jihad jihad
? ?
The the
American american
military military
did do
, ,
the the
American american
soldiers soldier
did do
, ,
with with
their their
allies ally
, ,
fighting fight
in in
faraway faraway
battlefields battlefield
. .
And and
perhaps perhaps
, ,
a a
time time
will will
come come
when when
they they
get get
the the
rightful rightful
credit credit
for for
it it
. .
So so
all all
these these
factors factor
, ,
and and
many many
more more
besides besides
, ,
we we
don don
' '
t t
even even
fully fully
understand understand
some some
of of
them them
yet yet
, ,
these these
came come
together together
to to
defeat defeat
a a
monstrosity monstrosity
as as
big big
as as
bin bin
Ladenism ladenism
, ,
the the
global global
jihad jihad
, ,
you you
needed need
this this
group group
effort effort
. .
Now now
, ,
not not
all all
of of
these these
things thing
will will
work work
in in
local local
jihad jihad
. .
The the
American american
military military
is be
not not
going go
to to
march march
into into
Nigeria nigeria
to to
take take
on on
Boko boko
Haram haram
, ,
and and
it it
' '
s s
unlikely unlikely
that that
SEAL seal
Team team
Six six
will will
rappel rappel
into into
the the
homes home
of of
al al
Shabaab shabaab
' '
s s
leaders leader
and and
take take
them them
out out
. .
But but
many many
of of
these these
other other
factors factor
that that
were be
in in
play play
are be
now now
even even
stronger strong
than than
before before
. .
Half half
the the
work work
is be
already already
done do
. .
We we
don don
' '
t t
have have
to to
reinvent reinvent
the the
wheel wheel
. .
The the
notion notion
of of
violent violent
jihad jihad
in in
which which
more more
Muslims muslim
are be
killed kill
than than
any any
other other
kind kind
of of
people people
is be
already already
thoroughly thoroughly
discredited discredit
. .
We we
don don
' '
t t
have have
to to
go go
back back
to to
that that
. .
Satellite satellite
television television
and and
the the
Internet internet
are be
informing inform
and and
empowering empower
young young
Muslims muslim
in in
exciting exciting
new new
ways way
. .
And and
the the
Arab arab
Spring spring
has have
produced produce
governments government
, ,
many many
of of
them them
Islamist islamist
governments government
, ,
who who
know know
that that
, ,
for for
their their
own own
self- self-
preservation preservation
, ,
they they
need need
to to
take take
on on
the the
extremists extremist
in in
their their
midsts midst
. .
We we
don don
' '
t t
need need
to to
persuade persuade
them them
, ,
but but
we we
do do
need need
to to
help help
them them
, ,
because because
they they
haven haven
' '
t t
really really
come come
to to
this this
place place
before before
. .
The the
good good
news news
, ,
again again
, ,
is be
that that
a a
lot lot
of of
the the
things thing
they they
need need
we we
already already
have have
, ,
and and
we we
are be
very very
good good
at at
giving give
: :
economic economic
assistance assistance
, ,
not not
just just
money money
, ,
but but
expertise expertise
, ,
technology technology
, ,
knowhow knowhow
, ,
private private
investment investment
, ,
fair fair
terms term
of of
trade trade
, ,
medicine medicine
, ,
education education
, ,
technical technical
support support
for for
training training
for for
their their
police police
forces force
to to
become become
more more
effective effective
, ,
for for
their their
anti-terror anti-terror
forces force
to to
become become
more more
efficient efficient
. .
We we
' '
ve ve
got get
plenty plenty
of of
these these
things thing
. .
Some some
of of
the the
other other
things thing
that that
they they
need need
we we
' '
re re
not not
very very
good good
at at
giving give
. .
Maybe maybe
nobody nobody
is be
. .
Time time
, ,
patience patience
, ,
subtlety subtlety
, ,
understanding understand
— -
these these
are be
harder hard
to to
give give
. .
I i
live live
in in
New new
York york
now now
. .
Just just
this this
week week
, ,
posters poster
have have
gone go
up up
in in
subway subway
stations station
in in
New new
York york
that that
describe describe
jihad jihad
as as
savage savage
. .
But but
in in
all all
the the
many many
years year
that that
I i
have have
covered cover
the the
Middle middle
East east
, ,
I i
have have
never never
been be
as as
optimistic optimistic
as as
I i
am be
today today
that that
the the
gap gap
between between
the the
Muslim muslim
world world
and and
the the
West west
is be
narrowing narrow
fast fast
, ,
and and
one one
of of
the the
many many
reasons reason
for for
my my
optimism optimism
is be
that that
, ,
because because
I i
know know
there there
are be
millions million
, ,
hundreds hundred
of of
millions million
of of
people people
, ,
Muslims muslim
like like
that that
old old
imam imam
in in
Tunis tunis
, ,
who who
are be
reclaiming reclaim
this this
word word
and and
restoring restore
to to
its its
original original
, ,
beautiful beautiful
purpose purpose
. .
Bin bin
Laden laden
is be
dead dead
. .
Bin bin
Ladenism ladenism
has have
been be
defeated defeat
. .
His his
definition definition
of of
jihad jihad
can can
now now
be be
expunged expunge
. .
To to
that that
jihad jihad
we we
can can
say say
, ,
" "
Goodbye goodbye
. .
Good good
riddance riddance
. .
" "
To to
the the
real real
jihad jihad
we we
can can
say say
, ,
" "
Welcome welcome
back back
. .
Good good
luck luck
. .
" "
Thank thank
you you
. .
