An an
larger large
than than
the the
racial racial
gap gap
. .
At at
the the
same same
time time
, ,
at at
every every
level level
of of
education education
, ,
whites white
live live
longer longer
than than
blacks black
. .
So so
whites white
who who
are be
high high
school school
dropouts dropout
live live
3 @card@
. .
4 @card@
years year
longer longer
than than
their their
black black
counterparts counterpart
, ,
and and
the the
gap gap
is be
even even
larger large
among among
college college
graduates graduate
. .
Most most
surprising surprising
of of
all all
, ,
whites white
who who
have have
graduated graduate
from from
high high
school school
live live
longer longer
than than
blacks black
with with
a a
college college
degree degree
or or
more more
education education
. .
So so
why why
does do
race race
matter matter
so so
profoundly profoundly
for for
health health
? ?
What what
else else
is be
it it
beyond beyond
education education
and and
income income
that that
might might
matter matter
? ?
In in
the the
early early
1990s 1990s
, ,
I i
was be
asked ask
to to
review review
a a
new new
book book
on on
the the
health health
of of
black black
America america
. .
I i
was be
struck strike
that that
almost almost
every every
single single
one one
of of
its its
25 @card@
chapters chapter
said say
that that
racism racism
was be
a a
factor factor
that that
was be
hurting hurt
the the
health health
of of
blacks black
. .
All all
of of
these these
researchers researcher
were be
stating state
that that
racism racism
was be
a a
factor factor
adversely adversely
impacting impact
blacks black
, ,
but but
they they
provided provide
no no
evidence evidence
. .
For for
me me
, ,
that that
was be
not not
good good
enough enough
. .
A a
few few
months month
later later
, ,
I i
was be
speaking speak
at at
a a
conference conference
in in
Washington washington
, ,
DC dc
, ,
and and
I i
said say
that that
one one
of of
the the
priorities priority
for for
research research
was be
to to
document document
the the
ways way
in in
which which
racism racism
affected affect
health health
. .
A a
white white
gentleman gentleman
stood stand
in in
the the
audience audience
and and
said say
that that
while while
he he
agreed agree
with with
me me
that that
racism racism
was be
important important
, ,
we we
could could
never never
measure measure
racism racism
. .
" "
We we
measure measure
self-esteem self-esteem
, ,
" "
I i
said say
. .
" "
There there
' '
s s
no no
reason reason
why why
we we
can can
' '
t t
measure measure
racism racism
if if
we we
put put
our our
minds mind
to to
it it
. .
" "
And and
so so
I i
put put
my my
mind mind
to to
it it
and and
developed develop
three three
scales scale
. .
The the
first first
one one
captured capture
major major
experiences experience
of of
discrimination discrimination
, ,
like like
being be
unfairly unfairly
fired fire
or or
being be
unfairly unfairly
stopped stop
by by
the the
police police
. .
But but
discrimination discrimination
also also
occurs occur
in in
more more
minor minor
and and
subtle subtle
experiences experience
, ,
and and
so so
my my
second second
scale scale
, ,
called call
the the
Everyday everyday
Discrimination discrimination
Scale scale
, ,
captures capture
nine nine
items item
that that
captures capture
experiences experience
like like
you you
' '
re re
treated treat
with with
less less
courtesy courtesy
than than
others other
, ,
you you
receive receive
poorer poor
service service
than than
others other
in in
restaurants restaurant
or or
stores store
, ,
or or
people people
act act
as as
if if
they they
' '
re re
afraid afraid
of of
you you
. .
This this
scale scale
captures capture
ways way
in in
which which
the the
dignity dignity
and and
the the
respect respect
of of
people people
who who
society society
does do
not not
value value
is be
chipped chip
away away
on on
a a
daily daily
basis basis
. .
Research research
has have
found find
that that
higher high
levels level
of of
discrimination discrimination
are be
associated associate
with with
an an
elevated elevated
risk risk
of of
a a
broad broad
range range
of of
diseases disease
from from
blood blood
pressure pressure
to to
abdominal abdominal
obesity obesity
to to
breast breast
cancer cancer
to to
heart heart
disease disease
and and
even even
premature premature
mortality mortality
. .
Strikingly strikingly
, ,
some some
of of
the the
effects effect
are be
observed observe
at at
a a
very very
young young
age age
. .
For for
example example
, ,
a a
study study
of of
black black
teens teen
found find
that that
those those
who who
reported report
higher high
levels level
of of
discrimination discrimination
as as
teenagers teenager
had have
higher high
levels level
of of
stress stress
hormones hormone
, ,
of of
blood blood
pressure pressure
and and
of of
weight weight
at at
age age
20 @card@
. .
However however
, ,
the the
stress stress
of of
discrimination discrimination
is be
only only
one one
aspect aspect
. .
Discrimination discrimination
and and
racism racism
also also
matters matter
in in
other other
profound profound
ways way
for for
health health
. .
For for
example example
, ,
there there
' '
s s
discrimination discrimination
in in
medical medical
care care
. .
In in
1999 @card@
, ,
the the
National national
Academy academy
of of
Medicine medicine
asked ask
me me
to to
serve serve
on on
a a
committee committee
that that
found find
, ,
concluded conclude
based base
on on
the the
scientific scientific
evidence evidence
, ,
that that
blacks black
and and
other other
minorities minority
receive receive
poorer poor
quality quality
care care
than than
whites white
. .
This this
was be
true true
for for
all all
kinds kind
of of
medical medical
treatment treatment
, ,
from from
the the
most most
simple simple
to to
the the
most most
technologically technologically
sophisticated sophisticated
. .
One one
explanation explanation
for for
this this
pattern pattern
was be
a a
phenomenon phenomenon
that that
' '
s s
called call
" "
implicit implicit
bias bias
" "
or or
" "
unconscious unconscious
discrimination discrimination
. .
" "
Research research
for for
decades decade
by by
social social
psychologists psychologist
indicates indicate
that that
if if
you you
hold hold
a a
negative negative
stereotype stereotype
about about
a a
group group
in in
your your
subconscious subconscious
mind mind
and and
you you
meet meet
someone someone
from from
that that
group group
, ,
you you
will will
discriminate discriminate
against against
that that
person person
. .
You you
will will
treat treat
them them
differently differently
. .
It it
' '
s s
an an
unconscious unconscious
process process
. .
It it
' '
s s
an an
automatic automatic
process process
. .
It it
is be
a a
subtle subtle
process process
, ,
but but
it it
' '
s s
normal normal
and and
it it
occurs occur
even even
among among
the the
most most
well-intentioned well-intentioned
individuals individual
. .
But but
the the
deeper deeper
that that
I i
delved delve
into into
the the
health health
impact impact
of of
racism racism
, ,
the the
more more
insidious insidious
the the
effects effect
became become
. .
There there
is be
institutional institutional
discrimination discrimination
, ,
which which
refers refer
to to
discrimination discrimination
that that
exists exist
in in
the the
processes process
of of
social social
institutions institution
. .
Residential residential
segregation segregation
by by
race race
, ,
which which
has have
led lead
to to
blacks black
and and
whites white
living live
in in
very very
different different
neighborhood neighborhood
contexts context
, ,
is be
a a
classic classic
example example
of of
institutional institutional
racism racism
. .
One one
of of
America america
' '
s s
best-kept best-kept
secrets secret
is be
how how
residential residential
segregation segregation
is be
the the
secret secret
source source
that that
creates create
racial racial
inequality inequality
in in
the the
United united
States states
. .
In in
America america
, ,
where where
you you
live live
determines determine
your your
access access
to to
opportunities opportunity
in in
education education
, ,
in in
employment employment
, ,
in in
housing housing
and and
even even
in in
access access
to to
medical medical
care care
. .
One one
study study
of of
the the
171 @card@
largest large
cities city
in in
the the
United united
States states
concluded conclude
that that
there there
is be
not not
even even
one one
city city
where where
whites white
live live
under under
equal equal
conditions condition
to to
blacks black
, ,
and and
that that
the the
worst bad
urban urban
contexts context
in in
which which
whites white
reside reside
is be
considerably considerably
better good
than than
the the
average average
context context
of of
black black
communities community
. .
Another another
study study
found find
that that
if if
you you
could could
eliminate eliminate
statistically statistically
residential residential
segregation segregation
, ,
you you
would would
completely completely
erase erase
black-white black-white
differences difference
in in
income income
, ,
education education
and and
unemployment unemployment
, ,
and and
reduce reduce
black-white black-white
differences difference
in in
single single
motherhood motherhood
by by
two two
thirds third
, ,
all all
of of
that that
driven drive
by by
segregation segregation
. .
I i
have have
also also
learned learn
how how
the the
negative negative
stereotypes stereotype
and and
images image
of of
blacks black
in in
our our
culture culture
literally literally
create create
and and
sustain sustain
both both
institutional institutional
and and
individual individual
discrimination discrimination
. .
A a
group group
of of
researchers researcher
have have
put put
together together
a a
database database
that that
contains contain
the the
books book
, ,
magazines magazine
and and
articles article
that that
an an
average average
college-educated college-educated
American american
would would
read read
over over
their their
lifetime lifetime
. .
It it
allows allow
us us
to to
look look
within within
this this
database database
and and
see see
how how
Americans americans
have have
seen see
words word
paired pair
together together
as as
they they
grow grow
up up
in in
their their
society society
. .
So so
when when
the the
word word
" "
black black
" "
appears appear
in in
American american
culture culture
, ,
what what
co-occurs co-occur
with with
it it
? ?
" "
Poor poor
, ,
" "
" "
violent violent
, ,
" "
" "
religious religious
, ,
" "
" "
lazy lazy
, ,
" "
" "
cheerful cheerful
, ,
" "
" "
dangerous dangerous
. .
" "
When when
" "
white white
" "
occurs occur
, ,
the the
frequently frequently
co-occurring co-occurring
words word
are be
" "
wealthy wealthy
, ,
" "
" "
progressive progressive
, ,
" "
" "
conventional conventional
, ,
" "
" "
stubborn stubborn
, ,
" "
" "
successful successful
, ,
" "
" "
educated educate
. .
" "
So so
when when
a a
police police
officer officer
overreacts overreact
when when
he he
sees see
an an
unarmed unarmed
black black
male male
and and
perceives perceive
him him
to to
be be
violent violent
and and
dangerous dangerous
, ,
we we
are be
not not
necessarily necessarily
dealing deal
with with
an an
inherently inherently
bad bad
cop cop
. .
We we
may may
be be
simply simply
viewing view
a a
normal normal
American american
who who
is be
reflecting reflect
what what
he he
has have
been be
exposed expose
to to
as as
a a
result result
of of
being be
raised raise
in in
this this
society society
. .
From from
my my
own own
experience experience
, ,
I i
believe believe
that that
your your
race race
does do
not not
have have
to to
be be
a a
determinant determinant
of of
your your
destiny destiny
. .
I i
migrated migrate
to to
the the
United united
States states
from from
the the
Caribbean caribbean
island island
of of
Saint saint
Lucia lucia
in in
the the
late late
1970s 1970s
in in
pursuit pursuit
of of
higher high
education education
, ,
and and
in in
the the
last last
40 @card@
years year
, ,
I i
have have
done do
well well
. .
I i
have have
had have
a a
supportive supportive
family family
, ,
I i
have have
worked work
hard hard
, ,
I i
have have
done do
well well
. .
But but
it it
took take
more more
for for
me me
to to
be be
successful successful
. .
I i
received receive
a a
minority minority
fellowship fellowship
from from
the the
University university
of of
Michigan michigan
. .
Yes yes
. .
I i
am be
an an
affirmative affirmative
action action
baby baby
. .
Without without
affirmative affirmative
action action
, ,
I i
would would
not not
be be
here here
. .
But but
in in
the the
last last
40 @card@
years year
, ,
black black
America america
has have
been be
less less
successful successful
than than
I i
have have
. .
In in
1978 @card@
, ,
black black
households household
in in
the the
United united
States states
earned earn
59 @card@
cents cent
for for
every every
dollar dollar
of of
income income
whites white
earned earn
. .
In in
2015 @card@
, ,
black black
families family
still still
earn earn
59 @card@
cents cent
for for
every every
dollar dollar
of of
income income
that that
white white
families family
receive receive
, ,
and and
the the
racial racial
gaps gap
in in
wealth wealth
are be
even even
more more
stunning stunning
. .
For for
every every
dollar dollar
of of
wealth wealth
that that
whites white
have have
, ,
black black
families family
have have
six six
pennies penny
and and
Latinos latino
have have
seven seven
pennies penny
. .
The the
fact fact
is be
, ,
racism racism
is be
producing produce
a a
truly truly
rigged rig
system system
that that
is be
systematically systematically
disadvantaging disadvantage
some some
racial racial
groups group
in in
the the
United united
States states
. .
To to
paraphrase paraphrase
Plato plato
, ,
there there
is be
nothing nothing
so so
unfair unfair
as as
the the
equal equal
treatment treatment
of of
unequal unequal
people people
. .
And and
that that
' '
s s
why why
I i
am be
committed commit
to to
working work
to to
dismantle dismantle
racism racism
. .
I i
deeply deeply
appreciate appreciate
the the
fact fact
that that
I i
am be
standing stand
on on
the the
shoulders shoulder
of of
those those
who who
have have
sacrificed sacrifice
even even
their their
lives life
to to
open open
the the
doors door
that that
I i
have have
walked walk
through through
. .
I i
want want
to to
ensure ensure
that that
those those
doors door
remain remain
open open
and and
that that
everyone everyone
can can
walk walk
through through
those those
doors door
. .
Robert robert
Kennedy kennedy
said say
, ,
" "
Each each
time time
a a
man man
" "
— -
or or
woman woman
, ,
I i
would would
add add
— -
" "
stands stand
up up
for for
an an
ideal ideal
or or
acts act
to to
improve improve
the the
lot lot
of of
others other
or or
strikes strike
out out
against against
injustice injustice
, ,
he he
sends send
forth forth
a a
tiny tiny
ripple ripple
of of
hope hope
, ,
and and
those those
ripples ripple
can can
build build
a a
current current
that that
can can
sweep sweep
down down
the the
mightiest mighty
walls wall
of of
oppression oppression
and and
resistance resistance
. .
" "
I i
am be
optimistic optimistic
today today
because because
all all
across across
America america
, ,
I i
have have
seen see
ripples ripple
of of
hope hope
. .
The the
Boston boston
Medical medical
Center center
has have
added add
lawyers lawyer
to to
the the
medical medical
team team
so so
that that
physicians physician
can can
improve improve
the the
health health
of of
their their
patients patient
because because
the the
lawyers lawyer
are be
addressing address
the the
nonmedical nonmedical
needs need
their their
patients patient
have have
. .
Loma loma
Linda linda
University university
has have
built build
a a
gateway gateway
college college
in in
nearby nearby
San san
Bernardino bernardino
so so
that that
in in
addition addition
to to
delivering deliver
medical medical
care care
, ,
they they
can can
provide provide
job job
skills skill
and and
job job
training training
to to
a a
predominantly predominantly
minority minority
, ,
low-income low-income
community community
members member
so so
that that
they they
will will
have have
the the
skills skill
they they
need need
to to
get get
a a
decent decent
job job
. .
In in
Chapel chapel
Hill hill
, ,
North north
Carolina carolina
, ,
the the
Abecedarian abecedarian
Project project
has have
figured figure
out out
how how
to to
ensure ensure
that that
they they
have have
lowered lower
the the
risks risk
for for
heart heart
disease disease
for for
blacks black
in in
their their
mid-30s mid-30s
by by
providing provide
high-quality high-quality
day day
care care
from from
birth birth
to to
age age
five five
. .
In in
after-school after-school
centers center
across across
the the
United united
States states
, ,
Wintley wintley
Phipps phipps
and and
the the
US us
Dream dream
Academy academy
is be
breaking break
the the
cycle cycle
of of
incarceration incarceration
by by
providing provide
high-quality high-quality
academic academic
enrichment enrichment
and and
mentoring mentore
to to
the the
children child
of of
prisoners prisoner
and and
children child
who who
have have
fallen fall
behind behind
in in
school school
. .
In in
Huntsville huntsville
, ,
Alabama alabama
, ,
Oakwood oakwood
University university
, ,
a a
historically historically
black black
institution institution
, ,
is be
showing show
how how
we we
can can
improve improve
the the
health health
of of
black black
adults adult
by by
including include
a a
health health
evaluation evaluation
as as
a a
part part
of of
freshman freshman
orientation orientation
and and
giving give
those those
students student
the the
tools tool
they they
need need
to to
make make
healthy healthy
choices choice
and and
providing provide
them them
annually annually
a a
health health
transcript transcript
so so
they they
can can
monitor monitor
their their
progress progress
. .
And and
in in
Atlanta atlanta
, ,
Georgia georgia
, ,
Purpose purpose
Built build
Communities community
has have
dismantled dismantle
the the
negative negative
effects effect
of of
segregation segregation
by by
transforming transform
a a
crime-ridden crime-ridden
, ,
drug-infested drug-infest
public public
housing housing
project project
into into
an an
oasis oasis
of of
mixed-income mixed-income
housing housing
, ,
of of
academic academic
performance performance
, ,
of of
great great
community community
wellness wellness
and and
of of
full full
employment employment
. .
And and
finally finally
, ,
there there
is be
the the
Devine devine
solution solution
. .
Professor professor
Patricia patricia
Devine devine
of of
the the
University university
of of
Wisconsin wisconsin
has have
shown show
us us
how how
we we
can can
attack attack
our our
hidden hidden
biases bias
head head
on on
and and
effectively effectively
reduce reduce
them them
. .
Each each
one one
of of
us us
can can
be be
a a
ripple ripple
of of
hope hope
. .
This this
work work
will will
not not
always always
be be
easy easy
, ,
but but
former former
Supreme supreme
Court court
Justice justice
Thurgood thurgood
Marshall marshall
has have
told tell
us us
, ,
" "
We we
must must
dissent dissent
. .
We we
must must
dissent dissent
from from
the the
indifference indifference
. .
We we
must must
dissent dissent
from from
the the
apathy apathy
. .
We we
must must
dissent dissent
from from
the the
hatred hatred
and and
from from
the the
mistrust mistrust
. .
We we
must must
dissent dissent
because because
America america
can can
do do
better well
, ,
because because
America america
has have
no no
choice choice
but but
to to
do do
better well
. .
" "
Thank thank
you you
. .
