Whitney whitney
the the
curve curve
or or
keep keep
the the
curve curve
flat flat
as as
we we
go go
forward forward
. .
WPR wpr
: :
And and
so so
it it
sounds sound
like like
that that
there there
is be
this this
connection connection
, ,
then then
, ,
between between
public public
health health
and and
what what
Google google
' '
s s
work work
is be
in in
thinking think
about about
public public
education education
and and
providing provide
information information
. .
And and
so so
could could
you you
talk talk
a a
little little
bit bit
about about
that that
link link
between between
public public
health health
and and
public public
education education
and and
Google google
? ?
KD kd
: :
Definitely definitely
. .
You you
know know
, ,
the the
essential essential
public public
health health
services service
include include
communication communication
and and
data datum
, ,
and and
these these
are be
two two
areas area
where where
tech tech
in in
general general
, ,
but but
certainly certainly
Google google
, ,
has have
an an
opportunity opportunity
to to
partner partner
with with
the the
public public
health health
system system
and and
with with
the the
public public
for for
their their
health health
more more
broadly broadly
. .
You you
know know
, ,
going go
back back
to to
the the
earlier early
days day
of of
this this
pandemic pandemic
, ,
towards towards
the the
end end
of of
January january
, ,
Google google
first first
leaned lean
in in
to to
start start
to to
put put
information information
out out
to to
the the
public public
about about
how how
to to
find find
resources resource
in in
their their
local local
community community
, ,
from from
the the
CDC cdc
or or
from from
other other
authoritative authoritative
resources resource
. .
So so
on on
the the
search search
page page
, ,
we we
put put
up up
" "
knowledge knowledge
panels panel
, ,
" "
is be
the the
way way
that that
we we
describe describe
it it
, ,
and and
we we
did do
develop develop
an an
SOS sos
alert alert
, ,
which which
is be
something something
we we
' '
ve ve
done do
for for
other other
crises crisis
, ,
and and
in in
this this
particular particular
historic historic
crisis crisis
, ,
we we
wanted want
to to
be be
certain certain
that that
when when
people people
went go
on on
to to
search search
, ,
that that
there there
was be
authoritative authoritative
information information
, ,
which which
is be
always always
there there
but but
certainly certainly
very very
prominently prominently
displayed display
, ,
and and
do do
that that
in in
partnership partnership
with with
public public
health health
authorities authority
. .
So so
we we
began begin
our our
journey journey
really really
very very
much much
in in
an an
information information
way way
of of
making make
certain certain
that that
people people
knew know
how how
to to
get get
the the
right right
information information
at at
the the
right right
time time
to to
save save
lives life
. .
I i
think think
the the
journey journey
for for
us us
over over
the the
course course
of of
the the
last last
few few
months month
has have
been be
to to
continue continue
to to
lean lean
in in
on on
how how
we we
provide provide
information information
in in
partnership partnership
with with
public public
health health
authorities authority
in in
local local
areas area
, ,
directing direct
people people
in in
a a
certain certain
state state
to to
their their
state state
' '
s s
health health
department department
, ,
helping help
people people
get get
information information
about about
testing testing
. .
There there
' '
s s
also also
been be
, ,
though though
, ,
a a
suite suite
of of
resources resource
that that
we we
wanted want
to to
provide provide
to to
the the
health health
care care
community community
, ,
whether whether
that that
was be
for for
health health
care care
providers provider
that that
may may
not not
have have
access access
to to
PPE ppe
, ,
for for
example example
, ,
we we
did do
a a
partnership partnership
with with
the the
CDC cdc
Foundation foundation
. .
Though though
the the
scale scale
of of
the the
company company
and and
the the
opportunity opportunity
for for
us us
to to
partner partner
with with
public public
health health
around around
things thing
like like
helping help
public public
health health
understand understand
if if
their their
blunt blunt
policies policy
around around
social social
distancing distancing
to to
flatten flatten
the the
curve curve
were be
actually actually
having have
an an
impact impact
on on
behavior behavior
in in
the the
community community
. .
That that
' '
s s
our our
community community
mobility mobility
reports report
. .
We we
were be
asked ask
by by
public public
health health
agencies agency
all all
across across
the the
world world
, ,
including include
some some
of of
my my
colleagues colleague
here here
in in
the the
US us
, ,
could could
we we
help help
them them
have have
a a
better well
evidence-based evidence-based
way way
to to
understand understand
the the
policies policy
around around
social social
distancing distancing
or or
shelter shelter
in in
place place
? ?
Which which
I i
think think
we we
' '
ll ll
talk talk
about about
more more
later later
. .
In in
addition addition
to to
that that
sort sort
of of
work work
, ,
also also
been be
working work
to to
support support
public public
health health
in in
this this
really really
essential essential
work work
they they
' '
re re
doing do
for for
contact contact
tracing tracing
, ,
which which
is be
very very
human-resource human-resource
intensive intensive
, ,
very very
complex complex
, ,
incredibly incredibly
important important
to to
keep keep
the the
curve curve
flat flat
and and
prevent prevent
future future
outbreaks outbreak
, ,
and and
give give
time time
and and
space space
for for
health health
care care
and and
, ,
importantly importantly
, ,
science science
to to
do do
the the
work work
they they
need need
to to
do do
to to
create create
treatments treatment
and and
, ,
very very
importantly importantly
, ,
a a
vaccine vaccine
. .
So so
that that
work work
around around
providing provide
an an
additional additional
set set
of of
digital digital
tools tool
, ,
exposure exposure
notification notification
for for
the the
contact contact
tracing trace
community community
, ,
is be
one one
of of
the the
other other
areas area
where where
we we
' '
ve ve
been be
supporting support
the the
public public
health health
. .
So so
we we
think think
, ,
as as
we we
' '
ve ve
thought think
about about
this this
pandemic pandemic
, ,
it it
' '
s s
support support
the the
users user
, ,
which which
is be
the the
consumer consumer
. .
There there
' '
s s
also also
a a
health health
care care
system system
and and
a a
scientific scientific
community community
where where
we we
' '
ve ve
been be
partnering partner
. .
And and
then then
, ,
of of
course course
, ,
public public
health health
. .
And and
for for
me me
, ,
I i
mean mean
, ,
Whitney whitney
, ,
this this
is be
just just
a a
wonderful wonderful
opportunity opportunity
for for
Big big
Tech tech
to to
come come
together together
with with
the the
public public
health health
infrastructure infrastructure
. .
Public public
health health
, ,
as as
Joia joia
was be
sort sort
of of
articulating articulate
before before
, ,
is be
often often
an an
unsung unsung
hero hero
. .
It it
saves save
your your
life life
every every
day day
, ,
but but
you you
didn didn
' '
t t
know know
it it
. .
And and
it it
is be
also also
a a
pretty pretty
under-resourced under-resourced
part part
of of
our our
health health
infrastructure infrastructure
, ,
globally globally
, ,
but but
especially especially
in in
the the
US us
. .
It it
' '
s s
something something
I i
worked work
on on
a a
lot lot
before before
I i
came come
to to
Google google
. .
And and
so so
the the
opportunity opportunity
to to
partner partner
and and
do do
everything everything
that that
we we
can can
as as
a a
company company
and and
, ,
in in
this this
case case
, ,
with with
contact contact
tracing trace
in in
partnership partnership
with with
Apple apple
to to
create create
a a
very very
privacy-promoting privacy-promoting
, ,
useful useful
, ,
helpful helpful
product product
that that
is be
going go
to to
be be
a a
part part
of of
the the
bigger big
contact contact
tracing tracing
is be
something something
that that
we we
feel feel
really really
proud proud
of of
and and
look look
forward forward
to to
continuing continue
to to
work work
with with
public public
health health
. .
In in
fact fact
, ,
we we
were be
on on
the the
phone phone
this this
morning morning
with with
a a
suite suite
of of
public public
health health
groups group
from from
across across
the the
country country
, ,
listening listen
again again
to to
what what
would would
be be
helpful helpful
questions question
that that
they they
have have
. .
And and
as as
we we
think think
about about
rolling roll
out out
the the
system system
, ,
this this
is be
the the
way way
that that
we we
' '
ve ve
been be
for for
the the
last last
many many
months month
at at
Google google
, ,
and and
I i
' '
m m
just just
really really
. .
. .
. .
I i
landed land
at at
a a
place place
just just
a a
few few
months month
ago ago
-- --
I i
just just
started start
at at
Google google
-- --
where where
we we
can can
have have
an an
impact impact
on on
what what
people people
know know
all all
across across
the the
world world
. .
And and
I i
' '
ll ll
tell tell
you you
, ,
as as
a a
public public
health health
professional professional
and and
as as
a a
doc doc
, ,
that that
is be
one one
of of
the the
most most
critical critical
things thing
. .
People people
need need
to to
have have
the the
right right
information information
so so
they they
can can
help help
navigate navigate
their their
health health
journey journey
, ,
but but
also also
especially especially
in in
this this
pandemic pandemic
because because
it it
' '
s s
going go
to to
save save
lives life
. .
WPR wpr
: :
That that
' '
s s
great great
. .
Thank thank
you you
. .
So so
, ,
to to
talk talk
more more
about about
this this
contact contact
tracing trace
system system
and and
the the
exposure exposure
notification notification
app app
, ,
we we
' '
ve ve
read read
so so
much much
about about
this this
. .
Could could
you you
describe describe
this this
, ,
a a
little little
bit bit
about about
how how
the the
app app
works work
, ,
what what
exactly exactly
are be
users user
seeing see
, ,
what what
information information
is be
being be
collected collect
? ?
Just just
give give
us us
sort sort
of of
a a
broad broad
sense sense
of of
what what
this this
app app
does do
. .
KD kd
: :
Yeah yeah
. .
Let let
me me
just just
start start
by by
explaining explain
what what
it it
is be
, ,
and and
it it
' '
s s
actually actually
not not
even even
an an
app app
, ,
it it
' '
s s
just just
an an
API api
. .
It it
' '
s s
a a
system system
that that
allows allow
a a
public public
health health
agency agency
to to
create create
an an
app app
, ,
and and
only only
the the
API api
, ,
this this
doorway doorway
to to
the the
phone phone
system system
, ,
is be
available available
to to
public public
health health
. .
So so
it it
' '
s s
not not
designed design
for for
any any
other other
purpose purpose
than than
to to
support support
public public
health health
and and
the the
work work
that that
they they
' '
re re
doing do
in in
COVID-19 covid-19
in in
contact contact
tracing tracing
. .
The the
second second
piece piece
of of
this this
is be
that that
we we
wanted want
to to
build build
a a
system system
that that
was be
privacy-promoting privacy-promote
, ,
that that
really really
put put
the the
user user
first first
, ,
gave give
them them
the the
opportunity opportunity
to to
opt opt
into into
the the
system system
and and
opt opt
out out
whenever whenever
they they
wanted want
to to
do do
that that
, ,
so so
they they
also also
have have
some some
control control
over over
how how
they they
' '
re re
engaging engage
and and
using use
their their
phone phone
, ,
basically basically
, ,
as as
a a
part part
of of
keeping keep
the the
curve curve
flat flat
around around
the the
world world
. .
The the
system system
was be
developed develop
in in
response response
to to
requests request
that that
we we
were be
getting get
about about
how how
could could
technology technology
, ,
particularly particularly
smartphones smartphone
, ,
be be
useful useful
in in
contact contact
tracing tracing
? ?
And and
as as
we we
thought think
this this
through through
and and
talked talk
with with
public public
health health
experts expert
and and
academics academic
and and
privacy privacy
experts expert
, ,
it it
was be
pretty pretty
clear clear
that that
obviously obviously
contract contract
tracing tracing
is be
a a
complex complex
endeavor endeavor
that that
does do
require require
human human
resources resource
, ,
because because
there there
' '
s s
a a
lot lot
of of
very very
particular particular
things thing
that that
you you
need need
to to
do do
in in
having have
conversations conversation
with with
people people
as as
part part
of of
contact contact
tracing tracing
. .
On on
the the
other other
hand hand
, ,
there there
' '
s s
some some
opportunity opportunity
to to
better well
inform inform
the the
contact contact
investigators investigator
with with
things thing
like like
, ,
particularly particularly
, ,
an an
exposure exposure
log log
. .
So so
one one
of of
the the
things thing
that that
happens happen
when when
the the
contact contact
tracer tracer
calls call
you you
or or
visits visit
you you
is be
they they
ask ask
, ,
" "
Hey hey
, ,
in in
the the
last last
certain certain
number number
of of
days day
, ,
" "
and and
in in
the the
case case
of of
COVID covid
, ,
it it
would would
be be
a a
couple couple
days day
before before
symptoms symptom
developed develop
, ,
" "
Hey hey
, ,
tell tell
us us
the the
story story
of of
what what
you you
' '
ve ve
been be
involved involve
in in
doing do
so so
that that
we we
can can
begin begin
to to
think think
through through
where where
you you
might might
have have
been be
, ,
to to
the the
grocery grocery
or or
to to
church church
or or
what what
other other
activities activity
and and
with with
whom whom
you you
might might
have have
been be
into into
contact contact
. .
" "
There there
' '
s s
some some
amount amount
of of
recall recall
bias bias
in in
that that
for for
all all
us us
, ,
like like
we we
forget forget
where where
we we
might might
have have
been be
, ,
and and
there there
' '
s s
also also
an an
amount amount
of of
anonymous anonymous
contact contact
. .
So so
there there
are be
times time
when when
we we
' '
re re
out out
in in
the the
world world
, ,
on on
a a
bus bus
or or
in in
a a
store store
, ,
and and
we we
may may
have have
come come
into into
prolonged prolonged
and and
close close
contact contact
with with
someone someone
and and
wouldn wouldn
' '
t t
know know
who who
they they
were be
. .
And and
so so
the the
augmentation augmentation
that that
the the
exposure exposure
notification notification
system system
provides provide
is be
designed design
to to
fill fill
in in
those those
gaps gap
and and
to to
expedite expedite
the the
notification notification
to to
public public
health health
of of
who who
has have
a a
positive positive
test test
, ,
because because
the the
person person
would would
have have
notified notify
, ,
they they
trigger trigger
something something
that that
notifies notify
public public
health health
, ,
and and
then then
to to
fill fill
in in
some some
of of
those those
gaps gap
in in
the the
prior prior
exposure exposure
. .
What what
it it
does do
not not
do do
is be
it it
does do
not not
use use
GPS gps
or or
location location
to to
track track
people people
. .
So so
the the
system system
actually actually
uses use
something something
different different
called call
Bluetooth bluetooth
Low low
Energy energy
, ,
which which
is be
privacy-preserving privacy-preserve
, ,
it it
doesn doesn
' '
t t
drain drain
the the
battery battery
and and
it it
makes make
it it
more more
also also
interoperable interoperable
between between
both both
Apple apple
and and
the the
Android android
system system
so so
it it
' '
s s
more more
useful useful
, ,
not not
only only
in in
the the
US us
context context
, ,
but but
globally globally
. .
So so
we we
built build
this this
system system
in in
response response
to to
some some
requests request
to to
help help
augment augment
the the
contact-tracing contact-tracing
systems system
. .
We we
wanted want
to to
do do
it it
in in
a a
way way
that that
was be
user-controlled user-control
and and
privacy-preserving privacy-preserving
and and
had have
technological technological
features feature
that that
would would
allow allow
public public
health health
to to
augment augment
the the
exposure exposure
log log
in in
a a
way way
that that
would would
accelerate accelerate
the the
work work
that that
they they
needed need
to to
get get
done do
to to
interrupt interrupt
transmission transmission
-- --
keep keep
the the
R r
naught naught
less less
than than
one one
-- --
and and
do do
that that
in in
a a
way way
that that
we we
would would
also also
be be
able able
to to
partner partner
with with
public public
health health
to to
think think
about about
risk risk
scoring score
. .
We we
could could
talk talk
more more
about about
any any
of of
these these
areas area
that that
you you
want want
, ,
but but
I i
think think
maybe maybe
one one
of of
the the
most most
important important
things thing
that that
I i
want want
to to
say say
, ,
Whitney whitney
, ,
is be
how how
grateful grateful
Apple apple
and and
Google google
are be
-- --
I i
' '
ll ll
take take
a a
moment moment
to to
speak speak
for for
my my
colleagues colleague
at at
Apple apple
-- --
to to
the the
great great
partnership partnership
from from
public public
health health
across across
the the
world world
and and
to to
academics academic
and and
to to
others other
who who
have have
helped help
us us
think think
through through
how how
this this
can can
be be
, ,
how how
the the
exposure exposure
notification notification
system system
fits fit
into into
the the
broader broad
contact contact
tracing trace
portfolio portfolio
, ,
and and
how how
it it
does do
it it
in in
a a
way way
that that
really really
respects respect
and and
protects protect
privacy privacy
and and
also also
is be
useful useful
to to
public public
health health
. .
We we
' '
re re
still still
on on
this this
journey journey
with with
them them
, ,
and and
I i
really really
believe believe
that that
we we
' '
re re
going go
to to
be be
able able
to to
help help
, ,
and and
I i
' '
m m
looking look
forward forward
to to
being be
a a
part part
of of
the the
great great
work work
that that
public public
health health
' '
s s
got get
to to
do do
on on
the the
front front
lines line
every every
day day
, ,
been be
doing do
, ,
frankly frankly
, ,
but but
needs need
to to
be be
able able
to to
step step
up up
. .
WPR wpr
: :
That that
' '
s s
great great
, ,
and and
thank thank
you you
for for
that that
really really
detailed detailed
explanation explanation
. .
And and
you you
know know
, ,
we we
actually actually
have have
Chris chris
here here
with with
some some
questions question
from from
our our
community community
, ,
so so
why why
don don
' '
t t
we we
turn turn
there there
really really
quickly quickly
. .
Chris chris
Anderson anderson
: :
Yep yep
. .
Questions question
pouring pour
in in
, ,
Karen karen
. .
Here here
' '
s s
one one
from from
Vishal vishal
Gurbuxani gurbuxani
. .
Uh uh
. .
. .
. .
Gurbu gurbu
-- --
I i
' '
ve ve
pronounced pronounce
that that
horribly horribly
wrong wrong
, ,
but but
make make
up up
your your
own own
mind mind
. .
Vishal vishal
, ,
we we
' '
ll ll
connect connect
later later
and and
you you
can can
tell tell
me me
how how
to to
say say
that that
. .
KD kd
: :
Fabulous fabulous
last last
name name
. .
I i
love love
that that
. .
That that
' '
s s
a a
Scrabble scrabble
word word
. .
CA ca
: :
" "
Given give
where where
we we
are be
today today
, ,
how how
should should
employees employee
think think
about about
returning return
to to
work work
, ,
with with
so so
many many
conflicting conflicting
messages message
? ?
" "
KD kd
: :
This this
has have
been be
an an
important important
part part
of of
my my
work work
for for
the the
last last
few few
months month
. .
I i
joined join
Google google
in in
December december
, ,
and and
all all
this this
started start
happening happening
. .
The the
pandemic pandemic
in in
the the
world world
first first
began begin
in in
November november
but but
it it
got get
very very
hot hot
in in
many many
parts part
of of
the the
world world
in in
the the
last last
few few
months month
, ,
and and
we we
' '
ve ve
been be
thinking think
a a
lot lot
about about
how how
to to
protect protect
Googlers googlers
but but
also also
protect protect
the the
community community
. .
I i
' '
ve ve
been be
talking talk
a a
lot lot
about about
what what
we we
' '
ve ve
done do
externally externally
. .
You you
know know
, ,
internally internally
, ,
Google google
made make
a a
decision decision
to to
go go
to to
work-from-home work-from-home
pretty pretty
early early
. .
We we
believed believe
that that
we we
could could
. .
We we
believed believe
that that
in in
all all
the the
places place
across across
the the
world world
where where
we we
have have
offices office
, ,
that that
the the
more more
we we
could could
not not
only only
model model
but but
frankly frankly
just just
be be
a a
part part
of of
flattening flatten
the the
curve curve
, ,
that that
we we
would would
be be
good good
citizens citizen
. .
So so
we we
have have
been be
fairly fairly
. .
. .
. .
I i
don don
' '
t t
know know
if if
the the
right right
word word
is be
conservative conservative
or or
assertive assertive
, ,
about about
it it
, ,
because because
we we
really really
wanted want
to to
make make
sure sure
that that
we we
were be
doing do
everything everything
we we
could could
just just
to to
get get
people people
to to
shelter shelter
in in
place place
and and
socially socially
distance distance
. .
A a
lot lot
of of
other other
companies company
have have
been be
doing do
the the
same same
, ,
and and
I i
think think
the the
choices choice
that that
people people
are be
making make
are be
going go
to to
be be
predicated predicate
on on
a a
whole whole
array array
of of
factors factor
: :
the the
rates rate
of of
local local
transmission transmission
; ;
governmental governmental
expectations expectation
; ;
the the
ability ability
to to
work work
from from
home home
; ;
the the
individual individual
characteristics characteristic
of of
the the
workers worker
themselves themselves
, ,
how how
much much
risk risk
they they
might might
have have
or or
how how
much much
risk risk
it it
would would
be be
for for
them them
to to
bring bring
that that
back back
into into
their their
household household
if if
they they
have have
people people
living live
in in
their their
household household
who who
would would
be be
at at
increased increase
risk risk
from from
morbidity morbidity
, ,
mortality mortality
, ,
from from
suffering suffering
and and
death death
, ,
from from
COVID covid
. .
So so
these these
are be
individual individual
and and
local local
considerations consideration
. .
I i
think think
for for
us us
as as
a a
company company
, ,
we we
want want
to to
, ,
as as
we we
' '
ve ve
talked talk
about about
publicly publicly
, ,
we we
want want
to to
continue continue
to to
be be
a a
part part
of of
the the
public public
health health
solution solution
around around
social social
distancing distancing
, ,
and and
so so
that that
for for
us us
means mean
continuing continue
to to
encourage encourage
work-from-home work-from-home
for for
our our
employees employee
and and
really really
only only
be be
in in
if if
it it
' '
s s
essential essential
that that
people people
are be
in in
the the
workplace workplace
. .
And and
we we
' '
ve ve
said say
publicly publicly
that that
we we
' '
re re
going go
to to
be be
doing do
that that
for for
many many
months month
to to
come come
. .
Now now
, ,
here here
' '
s s
one one
thing thing
I i
do do
want want
to to
say say
, ,
which which
is be
, ,
working work
from from
home home
has have
definite definite
benefits benefit
, ,
not not
only only
for for
the the
pandemic pandemic
, ,
but but
for for
some some
people people
, ,
time time
for for
commute commute
, ,
etc etc
. .
I i
think think
we we
' '
re re
already already
learning learn
there there
are be
some some
downsides downside
, ,
and and
there there
are be
generic generic
downsides downside
, ,
even even
just just
not not
from from
work-from-home work-from-home
but but
school-from-home school-from-home
and and
just just
being be
at at
home home
, ,
which which
is be
: :
social social
isolation isolation
is be
real real
. .
It it
causes cause
depression depression
. .
It it
has have
physical physical
impacts impact
on on
people people
' '
s s
bodies body
; ;
there there
' '
s s
science science
around around
this this
. .
So so
as as
the the
world world
is be
weighing weigh
, ,
even even
beyond beyond
the the
pandemic pandemic
, ,
when when
we we
' '
ve ve
achieved achieve
herd herd
immunity immunity
because because
we we
' '
ve ve
been be
able able
to to
vaccinate vaccinate
the the
world world
with with
a a
functioning functioning
vaccine vaccine
that that
creates create
immunity immunity
, ,
I i
think think
probably probably
a a
lot lot
of of
workplaces workplace
are be
going go
to to
want want
to to
encourage encourage
work-from-home work-from-home
. .
But but
I i
just just
want want
us us
also also
to to
remember remember
that that
part part
of of
humanity humanity
is be
community community
, ,
and and
so so
we we
' '
ll ll
have have
to to
be be
thinking think
through through
how how
we we
balance balance
those those
activities activity
. .
CA ca
: :
And and
, ,
of of
course course
, ,
there there
are be
huge huge
swathes swathe
of of
the the
economy economy
that that
can can
' '
t t
work work
from from
home home
. .
We we
' '
re re
a a
lucky lucky
few few
who who
can can
. .
And and
speaking speak
of of
which which
, ,
here here
' '
s s
a a
question question
from from
Otho otho
Kerr kerr
. .
" "
Vulnerable vulnerable
communities community
seem seem
to to
be be
receiving receive
a a
disproportionate disproportionate
amount amount
of of
misinformation misinformation
. .
What what
is be
Google google
doing do
to to
help help
make make
sure sure
these these
communities community
are be
receiving receive
accurate accurate
news news
rather rather
than than
fake fake
news news
? ?
" "
KD kd
: :
You you
know know
, ,
vulnerable vulnerable
communities community
is be
where where
I i
have have
spent spend
most most
of of
my my
career career
focused focus
. .
I i
think think
with with
many many
things thing
that that
we we
' '
ve ve
learned learn
as as
a a
society society
in in
this this
pandemic pandemic
were be
things thing
that that
we we
, ,
frankly frankly
, ,
should should
have have
known know
. .
And and
before before
I i
get get
to to
the the
information information
, ,
I i
' '
ll ll
just just
talk talk
about about
access access
to to
services service
, ,
which which
is be
to to
say say
, ,
and and
to to
brag brag
, ,
I i
guess guess
, ,
on on
my my
hometown hometown
of of
New new
Orleans orleans
. .
One one
of of
the the
early early
things thing
that that
New new
Orleans orleans
learned learn
, ,
or or
remembered remember
or or
whatever whatever
, ,
was be
that that
drive-through drive-through
testing testing
only only
works work
if if
you you
have have
a a
car car
. .
So so
you you
need need
walk-up walk-up
testing testing
, ,
and and
it it
needs need
to to
be be
in in
the the
neighborhood neighborhood
. .
We we
need need
to to
meet meet
people people
where where
they they
are be
, ,
and and
it it
' '
s s
thematic thematic
of of
all all
the the
work work
that that
we we
did do
after after
Hurricane hurricane
Katrina katrina
in in
New new
Orleans orleans
was be
to to
build build
back back
a a
health health
care care
and and
public public
health health
infrastructure infrastructure
that that
was be
community-oriented community-oriented
, ,
built build
with with
community community
not not
for for
community community
. .
Of of
all all
the the
many many
things thing
that that
I i
really really
do do
hope hope
last last
from from
this this
pandemic pandemic
, ,
one one
of of
them them
, ,
though though
, ,
is be
that that
we we
' '
re re
being be
much much
more more
conscious conscious
of of
building build
with with
especially especially
vulnerable vulnerable
communities community
and and
building build
out out
policies policy
and and
processes process
that that
are be
as as
inclusive inclusive
as as
possible possible
. .
For for
Google google
information information
, ,
we we
start start
with with
, ,
on on
the the
search search
platform platform
, ,
for for
example example
, ,
adding add
up up
knowledge knowledge
panels panel
, ,
that that
we we
spend spend
time time
making make
sure sure
are be
linguistically linguistically
and and
culturally culturally
appropriate appropriate
. .
We we
tend tend
to to
start start
globally globally
, ,
with with
global global
authoritative authoritative
groups group
like like
the the
World world
Health health
Organization organization
or or
the the
National national
Health health
Service service
or or
CDC cdc
, ,
and and
then then
we we
begin begin
to to
build build
down down
to to
more more
focused focused
jurisdictions jurisdiction
. .
On on
other other
platforms platform
that that
we we
have have
like like
YouTube youtube
, ,
we we
' '
ve ve
built build
out out
special special
channels channel
where where
we we
do do
, ,
because because
it it
' '
s s
a a
platform platform
and and
we we
can can
host host
content content
, ,
we we
' '
ve ve
partnered partner
with with
creatives creatives
-- --
we we
call call
them them
, ,
I i
don don
' '
t t
know know
, ,
that that
' '
s s
a a
new new
thing thing
for for
me me
because because
I i
' '
m m
a a
doctor doctor
-- --
but but
we we
' '
ve ve
partnered partner
with with
creatives creatives
and and
influencers influencer
whose whose
reach reach
resonates resonate
with with
communities community
. .
We we
have have
had have
particular particular
programming programming
, ,
for for
example example
, ,
for for
seniors senior
, ,
African-Americans african-americans
, ,
so so
" "
vulnerable vulnerable
" "
takes take
on on
a a
lot lot
of of
meaning mean
for for
us us
globally globally
and and
in in
the the
US us
context context
. .
Our our
work work
is be
not not
done do
, ,
and and
we we
certainly certainly
every every
day day
are be
thinking think
about about
how how
we we
can can
do do
more more
to to
see see
that that
the the
information information
is be
accessible accessible
, ,
accurate accurate
and and
also also
, ,
frankly frankly
, ,
interesting interesting
so so
that that
people people
want want
to to
engage engage
. .
CA ca
: :
Yeah yeah
. .
Alright alright
, ,
thank thank
you you
Karen karen
. .
I i
' '
ll ll
be be
back back
in in
a a
bit bit
with with
some some
other other
questions question
. .
WPR wpr
: :
Thank thank
you you
, ,
Chris chris
. .
And and
you you
know know
, ,
and and
this this
is be
really really
wonderful wonderful
talking talk
about about
more more
broadly broadly
, ,
where where
you you
see see
tech tech
and and
public public
health health
going go
, ,
and and
specifically specifically
, ,
talking talk
about about
these these
vulnerable vulnerable
communities community
. .
And and
I i
think think
one one
thing thing
, ,
even even
just just
beyond beyond
Google google
, ,
it it
would would
be be
interesting interesting
to to
sort sort
of of
hear hear
your your
thoughts thought
on on
where where
you you
see see
tech tech
in in
general general
better good
serving serve
public public
health health
, ,
if if
there there
are be
spaces space
that that
you you
think think
, ,
no no
matter matter
which which
tech tech
company company
we we
' '
re re
talking talk
about about
, ,
we we
could could
all all
sort sort
of of
come come
together together
to to
better well
serve serve
the the
community community
. .
Do do
you you
have have
any any
thoughts thought
on on
that that
? ?
KD kd
: :
I i
could could
spend spend
several several
hours hour
talking talk
to to
you you
about about
that that
, ,
