Right right
to to
figure figure
out out
what what
other other
way way
could could
we we
try try
to to
make make
cost-effective cost-effective
solar solar
electricity electricity
. .
What what
if if
we we
collect collect
the the
sun sun
with with
a a
large large
reflector reflector
— -
like like
I i
had have
been be
thinking think
about about
in in
high high
school school
, ,
but but
maybe maybe
with with
modern modern
technology technology
we we
could could
make make
it it
cheaper cheap
— -
concentrate concentrate
it it
to to
a a
small small
converter converter
, ,
and and
then then
the the
conversion conversion
device device
wouldn wouldn
' '
t t
have have
to to
be be
as as
expensive expensive
, ,
because because
it it
' '
s s
much much
smaller small
, ,
rather rather
than than
solar solar
cells cell
, ,
which which
have have
to to
cover cover
the the
entire entire
surface surface
that that
you you
want want
to to
gather gather
sun sun
from from
. .
This this
seemed seem
practical practical
now now
, ,
because because
a a
lot lot
of of
new new
technologies technology
had have
come come
in in
the the
25 @card@
years year
since since
I i
had have
last last
looked look
at at
it it
. .
There there
was be
a a
lot lot
of of
new new
manufacturing manufacturing
techniques technique
, ,
not not
to to
mention mention
really really
cheap cheap
miniature miniature
motors motor
— -
brushless brushless
motors motor
, ,
servomotors servomotor
, ,
stepper stepper
motors motor
, ,
that that
are be
used use
in in
printers printer
and and
scanners scanner
. .
So so
, ,
that that
' '
s s
a a
breakthrough breakthrough
. .
Of of
course course
, ,
inexpensive inexpensive
microprocessors microprocessor
and and
a a
very very
important important
breakthrough breakthrough
— -
genetic genetic
algorithms algorithm
. .
I i
' '
ll ll
be be
very very
short short
on on
genetic genetic
algorithms algorithm
. .
It it
' '
s s
a a
powerful powerful
way way
of of
solving solve
intractable intractable
problems problem
using use
natural natural
selection selection
. .
You you
take take
a a
problem problem
that that
you you
can can
' '
t t
solve solve
with with
a a
pure pure
mathematical mathematical
answer answer
, ,
you you
build build
an an
evolutionary evolutionary
system system
to to
try try
multiple multiple
tries try
at at
guessing guess
, ,
you you
add add
sex sex
— -
where where
you you
take take
half half
of of
one one
solution solution
and and
half half
of of
another another
and and
then then
make make
new new
mutations mutation
— -
and and
you you
use use
natural natural
selection selection
to to
kill kill
off off
not-as-good not-as-good
solutions solution
. .
Usually usually
, ,
with with
a a
genetic genetic
algorithm algorithm
on on
a a
computer computer
today today
, ,
with with
a a
three three
gigahertz gigahertz
processor processor
, ,
you you
can can
solve solve
many many
formerly formerly
intractable intractable
problems problem
in in
just just
a a
matter matter
of of
minutes minute
. .
So so
we we
tried try
to to
come come
up up
with with
a a
way way
to to
use use
genetic genetic
algorithms algorithm
to to
create create
a a
new new
type type
of of
concentrator concentrator
. .
And and
I i
' '
ll ll
show show
you you
what what
we we
came come
up up
with with
. .
Traditionally traditionally
, ,
concentrators concentrator
look look
like like
this this
. .
Those those
shapes shape
are be
parabolas parabola
. .
They they
take take
all all
the the
parallel parallel
incoming incoming
rays ray
and and
focus focus
it it
to to
a a
single single
spot spot
. .
They they
have have
to to
track track
the the
sun sun
, ,
because because
they they
have have
to to
point point
directly directly
at at
the the
sun sun
. .
They they
usually usually
have have
a a
one one
degree degree
acceptance acceptance
angle angle
— -
once once
they they
' '
re re
more more
than than
a a
degree degree
off off
, ,
none none
of of
the the
sunlight sunlight
rays ray
will will
hit hit
the the
focus focus
. .
So so
we we
tried try
to to
come come
up up
with with
a a
non-tracking non-tracking
collector collector
that that
would would
gather gather
much much
more more
than than
one one
degree degree
of of
light light
, ,
with with
no no
moving move
parts part
. .
So so
we we
created create
a a
genetic genetic
algorithm algorithm
to to
try try
this this
out out
, ,
we we
made make
a a
model model
in in
Excel excel
of of
a a
multisurface multisurface
reflector reflector
, ,
and and
an an
amazing amazing
thing thing
evolved evolve
, ,
literally literally
, ,
from from
trying try
a a
billion billion
cycles cycle
, ,
a a
billion billion
different different
attempts attempt
, ,
with with
a a
fitness fitness
function function
that that
defined define
how how
can can
you you
collect collect
the the
most most
light light
, ,
from from
the the
most most
angles angle
, ,
over over
a a
day day
, ,
from from
the the
sun sun
. .
And and
this this
is be
the the
shape shape
that that
evolved evolve
. .
It it
' '
s s
this this
non-tracking non-tracking
collector collector
with with
these these
six six
tuba-like tuba-like
horns horn
, ,
and and
each each
of of
them them
collect collect
light light
in in
the the
following follow
way way
— -
if if
the the
sunlight sunlight
strikes strike
right right
here here
, ,
it it
might might
bounce bounce
right right
to to
the the
center center
, ,
the the
hot hot
spot spot
, ,
directly directly
, ,
but but
if if
the the
sun sun
is be
off off
axis axis
and and
comes come
from from
the the
side side
, ,
it it
might might
hit hit
two two
places place
and and
take take
two two
bounces bounce
. .
So so
for for
direct direct
light light
, ,
it it
takes take
only only
one one
bounce bounce
, ,
for for
off-axis off-axis
light light
it it
might might
take take
two two
, ,
and and
for for
extreme extreme
off-axis off-axis
, ,
it it
might might
take take
three three
. .
Your your
efficiency efficiency
goes go
down down
with with
more more
bounces bounce
, ,
because because
you you
lose lose
about about
10 @card@
percent percent
with with
each each
bounce bounce
, ,
but but
this this
allowed allow
us us
to to
collect collect
light light
from from
a a
plus plus
or or
minus minus
25-degree 25-degree
angle angle
. .
So so
, ,
about about
two two
and and
a a
half half
hours hour
of of
the the
day day
we we
could could
collect collect
with with
a a
stationary stationary
component component
. .
Solar solar
cells cell
collect collect
light light
for for
four four
and and
a a
half half
hours hour
though though
. .
On on
an an
average average
adjusted adjusted
day day
, ,
a a
solar solar
cell cell
— -
because because
the the
sun sun
' '
s s
moving move
across across
the the
sky sky
, ,
the the
solar solar
cell cell
is be
going go
down down
with with
a a
sine sine
wave wave
function function
of of
performance performance
at at
the the
off- off-
axis axis
angles angle
. .
It it
collects collect
about about
four four
and and
a a
half half
average average
hours hour
of of
sunlight sunlight
a a
day day
. .
So so
even even
this this
, ,
although although
it it
was be
great great
with with
no no
moving move
parts part
— -
we we
could could
achieve achieve
high high
temperatures temperature
— -
wasn wasn
' '
t t
enough enough
. .
We we
needed need
to to
beat beat
solar solar
cells cell
. .
So so
we we
took take
a a
look look
at at
another another
idea idea
. .
We we
looked look
at at
a a
way way
to to
break break
up up
a a
parabola parabola
into into
individual individual
petals petal
that that
would would
track track
. .
So so
what what
you you
see see
here here
is be
12 @card@
separate separate
petals petal
that that
each each
could could
be be
controlled control
with with
individual individual
microprocessors microprocessor
that that
would would
only only
cost cost
a a
dollar dollar
. .
You you
can can
buy buy
a a
two- two-
megahertz megahertz
microprocessor microprocessor
for for
a a
dollar dollar
now now
. .
And and
you you
can can
buy buy
stepper stepper
motors motor
that that
pretty pretty
much much
never never
wear wear
out out
because because
they they
have have
no no
brushes brush
, ,
for for
a a
dollar dollar
. .
So so
we we
can can
control control
all all
12 @card@
of of
these these
petals petal
for for
under under
50 @card@
dollars dollar
and and
what what
this this
would would
allow allow
us us
to to
do do
is be
not not
have have
to to
move move
the the
focus focus
any any
more more
, ,
but but
only only
move move
the the
petals petal
. .
The the
whole whole
system system
would would
have have
a a
much much
lower low
profile profile
, ,
but but
also also
we we
could could
gather gather
sunlight sunlight
for for
six six
and and
a a
half half
to to
seven seven
hours hour
a a
day day
. .
Now now
that that
we we
have have
concentrated concentrate
sunlight sunlight
, ,
what what
are be
we we
going go
to to
put put
at at
the the
center center
to to
convert convert
sunlight sunlight
to to
electricity electricity
? ?
So so
we we
tried try
to to
look look
at at
all all
the the
different different
heat heat
engines engine
that that
have have
been be
used use
in in
history history
to to
convert convert
sunlight sunlight
or or
heat heat
to to
electricity electricity
, ,
And and
one one
of of
the the
great great
ones one
of of
all all
time time
, ,
James james
Watt watt
' '
s s
steam steam
engine engine
of of
1788 @card@
was be
a a
major major
breakthrough breakthrough
. .
James james
Watt watt
didn didn
' '
t t
actually actually
invent invent
the the
steam steam
engine engine
, ,
he he
just just
refined refine
it it
. .
But but
his his
refinements refinement
were be
incredible incredible
. .
He he
added add
new new
linear linear
motion motion
guides guide
to to
the the
pistons piston
, ,
he he
added add
a a
condenser condenser
to to
cool cool
the the
steam steam
outside outside
the the
cylinder cylinder
, ,
he he
made make
the the
engine engine
double-acting double-acting
, ,
so so
it it
had have
double double
the the
power power
. .
Those those
were be
major major
breakthroughs breakthrough
. .
All all
of of
the the
improvements improvement
he he
made make
— -
and and
it it
' '
s s
justifiable justifiable
that that
our our
measure measure
of of
energy energy
, ,
the the
watt watt
, ,
today today
is be
named name
after after
him him
. .
So so
we we
looked look
at at
this this
engine engine
, ,
and and
this this
had have
some some
potential potential
. .
Steam steam
engines engine
are be
dangerous dangerous
, ,
and and
they they
had have
tremendous tremendous
impact impact
on on
the the
world world
— -
industrial industrial
revolution revolution
and and
ships ship
and and
locomotives locomotive
. .
But but
they they
' '
re re
usually usually
good good
to to
be be
large large
, ,
so so
they they
' '
re re
not not
good good
for for
distributed distribute
power power
generation generation
. .
They they
' '
re re
also also
very very
high- high-
pressure pressure
, ,
so so
they they
' '
re re
dangerous dangerous
. .
Another another
type type
of of
engine engine
is be
the the
hot hot
air air
engine engine
. .
And and
the the
hot hot
air air
engine engine
also also
was be
not not
invented invent
by by
Robert robert
Stirling stirling
, ,
but but
Robert robert
Stirling stirling
came come
along along
in in
1816 @card@
and and
radically radically
improved improve
it it
. .
This this
engine engine
, ,
because because
it it
was be
so so
interesting interesting
— -
it it
only only
worked work
on on
air air
, ,
no no
steam steam
— -
has have
led lead
to to
hundreds hundred
of of
creative creative
designs design
over over
the the
years year
that that
use use
the the
Stirling stirling
engine engine
principle principle
. .
But but
after after
the the
Stirling stirling
engine engine
, ,
Otto otto
came come
along along
, ,
and and
also also
, ,
he he
didn didn
' '
t t
invent invent
the the
internal internal
combustion combustion
engine engine
, ,
he he
just just
refined refine
it it
. .
He he
showed show
it it
in in
Paris paris
in in
1867 @card@
, ,
and and
it it
was be
a a
major major
achievement achievement
because because
it it
brought bring
the the
power power
density density
of of
the the
engine engine
way way
up up
. .
You you
could could
now now
get get
a a
lot lot
more more
power power
in in
a a
lot lot
smaller small
space space
, ,
and and
that that
allowed allow
the the
engine engine
to to
be be
used use
for for
mobile mobile
applications application
. .
So so
, ,
once once
you you
have have
mobility mobility
, ,
you you
' '
re re
making make
a a
lot lot
of of
engines engine
because because
you you
' '
ve ve
got get
lots lot
of of
units unit
, ,
as as
opposed oppose
to to
steam steam
ships ship
or or
big big
factories factory
, ,
so so
this this
was be
the the
engine engine
that that
ended end
up up
benefiting benefit
from from
mass mass
production production
where where
all all
the the
other other
engines engine
didn didn
' '
t t
. .
So so
, ,
because because
it it
went go
into into
mass mass
production production
, ,
costs cost
were be
reduced reduce
, ,
100 @card@
years year
of of
refinement refinement
, ,
emissions emission
were be
reduced reduce
, ,
tremendous tremendous
production production
value value
. .
There there
have have
been be
hundreds hundred
of of
millions million
of of
internal internal
combustion combustion
engines engine
built build
, ,
compared compare
to to
thousands thousand
of of
Stirling stirling
engines engine
built build
. .
And and
not not
nearly nearly
as as
many many
small small
steam steam
engines engine
being be
built build
anymore anymore
, ,
only only
large large
ones one
for for
big big
operations operation
. .
So so
after after
looking look
at at
these these
three three
, ,
and and
47 @card@
others other
, ,
we we
concluded conclude
that that
the the
Stirling stirling
engine engine
would would
be be
the the
best good
one one
to to
use use
. .
I i
want want
to to
give give
you you
a a
brief brief
explanation explanation
of of
how how
we we
looked look
at at
it it
and and
how how
it it
works work
. .
So so
we we
tried try
to to
look look
at at
the the
Stirling stirling
engine engine
in in
a a
new new
way way
, ,
because because
it it
was be
practical practical
— -
weight weight
no no
longer longer
mattered matter
for for
our our
application application
. .
The the
internal internal
combustion combustion
engine engine
took take
off off
because because
weight weight
mattered matter
, ,
because because
you you
were be
moving move
around around
. .
But but
if if
you you
' '
re re
trying try
to to
generate generate
solar solar
energy energy
in in
a a
static static
place place
the the
weight weight
doesn doesn
' '
t t
matter matter
so so
much much
. .
We we
also also
discovered discover
that that
efficiency efficiency
doesn doesn
' '
t t
matter matter
so so
much much
if if
your your
energy energy
source source
is be
free free
. .
Normally normally
, ,
efficiency efficiency
is be
crucial crucial
because because
the the
fuel fuel
cost cost
of of
your your
engine engine
over over
its its
life life
dwarfs dwarf
the the
cost cost
of of
the the
engine engine
. .
But but
if if
your your
fuel fuel
source source
is be
free free
, ,
then then
the the
only only
thing thing
that that
matters matter
is be
the the
up-front up-front
capital capital
cost cost
of of
the the
engine engine
. .
So so
you you
don don
' '
t t
want want
to to
optimize optimize
for for
efficiency efficiency
, ,
you you
want want
to to
optimize optimize
for for
power power
per per
dollar dollar
. .
So so
using use
that that
new new
twist twist
, ,
with with
the the
new new
criteria criterion
, ,
we we
thought think
we we
could could
relook relook
at at
the the
Stirling stirling
engine engine
, ,
and and
also also
bring bring
genetic genetic
algorithms algorithm
in in
. .
Basically basically
, ,
Robert robert
Stirling stirling
didn didn
' '
t t
have have
Gordon gordon
Moore moore
before before
him him
to to
get get
us us
three three
gigahertz gigahertz
of of
processor processor
power power
. .
So so
we we
took take
the the
same same
genetic genetic
algorithm algorithm
that that
we we
used use
earlier earlier
to to
make make
that that
concentrator concentrator
, ,
which which
didn didn
' '
t t
work work
out out
for for
us us
, ,
to to
optimize optimize
the the
Stirling stirling
engine engine
, ,
and and
make make
its its
design design
sizes size
and and
all all
of of
its its
dimensions dimension
the the
exact exact
optimum optimum
to to
get get
the the
most most
power power
per per
dollar dollar
, ,
irrespective irrespective
of of
weight weight
, ,
irrespective irrespective
of of
size size
, ,
just just
to to
get get
the the
most most
conversion conversion
of of
solar solar
energy energy
, ,
because because
the the
sun sun
is be
free free
. .
And and
that that
' '
s s
the the
process process
we we
took take
— -
let let
me me
show show
you you
how how
the the
engine engine
works work
. .
The the
simplest simple
heat heat
engine engine
, ,
or or
hot hot
air air
engine engine
, ,
of of
all all
time time
would would
be be
this this
— -
take take
a a
box box
, ,
a a
steel steel
canister canister
, ,
with with
a a
piston piston
. .
Put put
a a
flame flame
under under
it it
, ,
the the
piston piston
moves move
up up
. .
Take take
it it
off off
the the
flame flame
and and
pour pour
water water
on on
it it
, ,
or or
let let
it it
cool cool
down down
, ,
the the
piston piston
moves move
down down
. .
That that
' '
s s
a a
heat heat
engine engine
. .
That that
' '
s s
the the
most most
fundamental fundamental
heat heat
engine engine
you you
could could
have have
. .
The the
problem problem
is be
the the
efficiency efficiency
is be
one one
hundredth hundredth
of of
one one
percent percent
, ,
because because
you you
' '
re re
heating heat
all all
the the
metal metal
of of
the the
chamber chamber
and and
then then
cooling cool
all all
the the
metal metal
of of
the the
chamber chamber
each each
time time
. .
And and
you you
' '
re re
only only
getting get
power power
from from
the the
air air
that that
' '
s s
heating heating
at at
the the
same same
time time
, ,
but but
you you
' '
re re
wasting wasting
energy energy
heating heat
and and
cooling cool
the the
metal metal
. .
So so
someone someone
came come
up up
with with
a a
very very
clever clever
idea idea
. .
Instead instead
of of
heating heat
and and
cooling cool
the the
whole whole
cylinder cylinder
, ,
what what
about about
if if
you you
put put
a a
displacer displacer
inside inside
— -
a a
little little
thing thing
that that
shuttles shuttle
the the
air air
back back
and and
forth forth
. .
You you
move move
that that
up up
and and
down down
with with
a a
little little
bit bit
of of
energy energy
but but
now now
you you
' '
re re
only only
shifting shift
the the
air air
down down
to to
the the
hot hot
end end
and and
up up
to to
the the
cold cold
end end
. .
So so
, ,
now now
you you
' '
re re
not not
alternately alternately
heating heat
and and
cooling cool
the the
metal metal
, ,
just just
the the
air air
. .
That that
allows allow
you you
to to
get get
the the
efficiency efficiency
up up
from from
a a
hundredth hundredth
of of
a a
percent percent
to to
about about
two two
percent percent
. .
And and
then then
Robert robert
Stirling stirling
came come
along along
with with
this this
genius genius
idea idea
, ,
which which
was be
, ,
well well
, ,
I i
' '
m m
still still
not not
heating heat
the the
metal metal
now now
, ,
with with
this this
kind kind
of of
engine engine
, ,
but but
I i
' '
m m
still still
reheating reheat
all all
the the
air air
. .
I i
' '
m m
still still
heating heat
the the
air air
every every
time time
and and
cooling cool
the the
air air
every every
time time
. .
What what
about about
if if
I i
put put
a a
thermal thermal
sponge sponge
in in
the the
middle middle
, ,
in in
the the
passageway passageway
between between
where where
the the
air air
has have
to to
move move
between between
hot hot
and and
cold cold
? ?
So so
he he
made make
fine fine
wires wire
, ,
and and
cracked cracked
glass glass
, ,
and and
all all
different different
kinds kind
of of
materials material
to to
be be
a a
heat heat
sponge sponge
. .
So so
when when
the the
air air
pushes push
up up
to to
go go
from from
the the
hot hot
end end
to to
the the
cold cold
end end
, ,
it it
puts put
some some
heat heat
into into
the the
sponge sponge
. .
And and
then then
when when
the the
air air
comes come
back back
after after
it it
' '
s s
been be
cooled cool
, ,
it it
picks pick
up up
that that
heat heat
again again
. .
So so
you you
' '
re re
reusing reuse
your your
energy energy
five five
or or
six six
times time
, ,
and and
that that
brings bring
the the
efficiency efficiency
up up
to to
between between
30 @card@
and and
40 @card@
percent percent
. .
It it
' '
s s
a a
little little
known know
, ,
but but
brilliant brilliant
, ,
genius genius
invention invention
of of
Robert robert
Stirling stirling
that that
takes take
the the
hot hot
air air
engine engine
from from
being be
somewhat somewhat
impractical impractical
— -
like like
I i
found find
out out
when when
I i
made make
the the
real real
simple simple
version version
in in
high high
school school
— -
to to
very very
potentially potentially
possible possible
, ,
once once
you you
get get
the the
efficiency efficiency
up up
, ,
if if
you you
can can
design design
this this
to to
be be
low low
enough enough
cost cost
. .
So so
we we
really really
set set
out out
on on
a a
path path
to to
try try
and and
make make
the the
lowest low
cost cost
possible possible
. .
We we
built build
a a
huge huge
mathematical mathematical
model model
of of
how how
a a
Stirling stirling
engine engine
works work
. .
We we
applied apply
the the
genetic genetic
algorithm algorithm
. .
We we
got get
the the
results result
from from
that that
for for
the the
optimal optimal
engine engine
. .
We we
built build
engines engine
— -
so so
we we
built build
100 @card@
different different
engines engine
over over
the the
last last
two two
years year
. .
We we
measured measure
each each
one one
, ,
we we
readjusted readjust
the the
model model
to to
what what
we we
measured measure
, ,
and and
then then
we we
led lead
that that
to to
the the
current current
prototype prototype
. .
It it
led lead
to to
a a
very very
compact compact
, ,
inexpensive inexpensive
engine engine
, ,
and and
this this
is be
what what
the the
engine engine
looks look
like like
. .
Let let
me me
show show
you you
what what
it it
looks look
like like
in in
real real
life life
. .
So so
this this
is be
the the
engine engine
. .
It it
' '
s s
just just
a a
small small
cylinder cylinder
down down
here here
, ,
which which
holds hold
the the
generator generator
inside inside
and and
all all
the the
linkage linkage
, ,
and and
it it
' '
s s
the the
hot hot
cap cap
— -
the the
hot hot
cylinder cylinder
on on
the the
top top
— -
this this
part part
gets get
hot hot
, ,
this this
part part
is be
cool cool
, ,
and and
electricity electricity
comes come
out out
. .
The the
exact exact
converse converse
is be
also also
true true
. .
If if
you you
put put
electricity electricity
in in
, ,
this this
will will
get get
hot hot
and and
this this
will will
get get
cold cold
, ,
you you
get get
refrigeration refrigeration
. .
So so
it it
' '
s s
a a
complete complete
reversible reversible
cycle cycle
, ,
a a
very very
efficient efficient
cycle cycle
, ,
and and
quite quite
a a
simple simple
thing thing
to to
make make
. .
So so
now now
you you
put put
the the
two two
things thing
together together
. .
So so
you you
have have
the the
engine engine
. .
What what
if if
you you
combine combine
the the
petals petal
and and
the the
engine engine
in in
the the
center center
? ?
The the
petals petal
track track
and and
the the
engine engine
gets get
the the
concentrated concentrated
sunlight sunlight
, ,
takes take
that that
heat heat
and and
turns turn
it it
into into
electricity electricity
. .
This this
is be
what what
the the
first first
prototype prototype
of of
our our
system system
looked look
like like
with with
the the
petals petal
and and
the the
engine engine
in in
the the
center center
. .
This this
is be
being be
run run
out out
in in
the the
sun sun
, ,
and and
now now
I i
want want
to to
show show
you you
what what
the the
actual actual
thing thing
looks look
like like
. .
Thank thank
you you
. .
So so
this this
is be
a a
unit unit
with with
the the
12 @card@
petals petal
. .
These these
petals petal
cost cost
about about
a a
dollar dollar
each each
— -
they they
' '
re re
lightweight lightweight
, ,
injection-molded injection-mold
plastic plastic
, ,
aluminized aluminize
. .
The the
mechanism mechanism
to to
control control
each each
petal petal
is be
below below
there there
, ,
with with
a a
microprocessor microprocessor
on on
each each
one one
. .
There there
are be
thermocouples thermocouple
on on
the the
engine engine
— -
little little
sensors sensor
that that
detect detect
the the
heat heat
when when
the the
sunlight sunlight
strikes strike
them them
. .
Each each
petal petal
adjusts adjust
itself itself
separately separately
to to
keep keep
the the
highest high
temperature temperature
on on
it it
. .
When when
the the
sun sun
comes come
out out
in in
the the
morning morning
, ,
the the
petals petal
will will
seek seek
the the
sun sun
, ,
find find
it it
by by
searching search
for for
the the
highest high
temperature temperature
. .
About about
a a
minute minute
and and
a a
half half
or or
two two
minutes minute
after after
the the
rays ray
are be
striking strike
the the
hot hot
cap cap
the the
engine engine
will will
be be
warm warm
enough enough
to to
start start
and and
then then
the the
engine engine
will will
generate generate
electricity electricity
for for
about about
six six
and and
a a
half half
hours hour
a a
day day
— -
six six
and and
a a
half half
to to
seven seven
hours hour
as as
the the
sun sun
moves move
across across
the the
sky sky
. .
A a
critical critical
part part
that that
we we
can can
take take
advantage advantage
of of
is be
that that
we we
have have
these these
inexpensive inexpensive
microprocessors microprocessor
and and
each each
of of
these these
petals petal
