Imagine imagine
may may
be be
a a
critical critical
part part
of of
the the
solution solution
to to
our our
global global
food food
crisis crisis
. .
Let let
me me
tell tell
you you
why why
I i
' '
m m
so so
intent intent
on on
using use
nanoscience nanoscience
to to
fight fight
hunger hunger
. .
We we
all all
have have
the the
issues issue
that that
touch touch
us us
deepest deep
, ,
and and
for for
me me
, ,
it it
has have
always always
been be
hunger hunger
. .
I i
find find
it it
intolerable intolerable
that that
there there
are be
hungry hungry
people people
on on
this this
life-giving life-giving
planet planet
of of
ours ours
. .
I i
can can
trace trace
this this
, ,
at at
least least
in in
part part
, ,
to to
some some
of of
my my
own own
experience experience
growing grow
up up
. .
For for
a a
period period
of of
my my
childhood childhood
, ,
I i
lived live
in in
a a
food-insecure food-insecure
household household
. .
We we
benefited benefit
from from
food food
shelf shelf
donations donation
, ,
and and
we we
only only
ate eat
what what
my my
mom mom
could could
get get
with with
her her
hard hard
work work
on on
double double
coupon coupon
day day
at at
the the
local local
supermarket supermarket
. .
I i
loved love
the the
one one
day day
a a
month month
I i
was be
allowed allow
to to
buy buy
school school
lunch lunch
. .
Now now
, ,
I i
don don
' '
t t
know know
why why
my my
parents parent
didn didn
' '
t t
apply apply
for for
free free
school school
lunch lunch
or or
food food
stamps stamp
, ,
but but
the the
end end
situation situation
was be
one one
where where
sometimes sometimes
the the
refrigerator refrigerator
and and
the the
cupboards cupboard
were be
empty empty
. .
Now now
, ,
it it
' '
s s
been be
a a
long long
time time
since since
I i
have have
worried worry
about about
food food
for for
myself myself
, ,
but but
that that
feeling feeling
of of
being be
hungry hungry
is be
etched etch
deep deep
within within
me me
. .
I i
am be
driven drive
to to
do do
something something
about about
hunger hunger
. .
And and
the the
unusual unusual
talent talent
that that
I i
bring bring
to to
the the
task task
is be
my my
deep deep
knowledge knowledge
of of
designing design
and and
synthesizing synthesize
nanomaterials nanomaterial
that that
can can
carry carry
molecular molecular
cargo cargo
and and
transform transform
into into
specific specific
chemical chemical
species specie
. .
Let let
me me
stop stop
and and
give give
a a
little little
bit bit
of of
background background
about about
nanoscience nanoscience
. .
The the
prefix prefix
" "
nano nano
" "
signifies signify
a a
billionth billionth
, ,
so so
a a
nanometer nanometer
is be
a a
billionth billionth
of of
a a
meter meter
. .
In in
other other
words word
, ,
nanoparticles nanoparticle
are be
extremely extremely
small small
. .
You you
cannot can
see see
them them
with with
your your
naked naked
eye eye
or or
even even
a a
high-powered high-powered
light light
microscope microscope
. .
In in
fact fact
, ,
you you
need need
a a
specialized specialized
instrument instrument
like like
the the
one one
you you
see see
here here
, ,
called call
a a
transmission transmission
electron electron
microscope microscope
, ,
to to
even even
see see
nanoparticles nanoparticle
. .
Nanoparticles nanoparticle
have have
actually actually
been be
around around
forever forever
. .
You you
can can
find find
naturally naturally
occurring occur
nanoparticles nanoparticle
in in
geological geological
formations formation
or or
in in
the the
aerosol aerosol
particles particle
that that
we we
breathe breathe
. .
But but
in in
the the
last last
few few
decades decade
, ,
scientists scientist
and and
engineers engineer
have have
gotten get
very very
excited excited
about about
nanomaterials nanomaterial
because because
we we
realized realize
that that
as as
you you
shrink shrink
things thing
down down
to to
the the
nanoscale nanoscale
, ,
their their
chemical chemical
and and
physical physical
properties property
can can
change change
drastically drastically
. .
For for
example example
, ,
a a
material material
that that
' '
s s
usually usually
unreactive unreactive
when when
you you
shrink shrink
it it
down down
to to
the the
nanoscale nanoscale
can can
suddenly suddenly
catalyze catalyze
a a
whole whole
host host
of of
chemical chemical
reactions reaction
. .
Or or
a a
material material
that that
doesn doesn
' '
t t
usually usually
conduct conduct
electricity electricity
, ,
suddenly suddenly
does do
. .
As as
scientists scientist
tune tune
the the
size size
, ,
shape shape
and and
chemical chemical
composition composition
of of
a a
material material
, ,
they they
can can
tune tune
those those
chemical chemical
and and
physical physical
properties property
. .
Nanoscience nanoscience
gives give
us us
a a
seemingly seemingly
unlimited unlimited
palette palette
of of
accessible accessible
chemical chemical
and and
physical physical
properties property
. .
I i
' '
m m
sure sure
you you
can can
imagine imagine
how how
useful useful
that that
can can
be be
. .
And and
scientists scientist
have have
gotten get
very very
good good
at at
knowing know
exactly exactly
how how
to to
design design
nanomaterials nanomaterial
to to
have have
the the
properties property
they they
want want
. .
We we
are be
in in
a a
perfect perfect
moment moment
to to
take take
advantage advantage
of of
all all
of of
the the
hard-won hard-win
knowledge knowledge
that that
has have
been be
systematically systematically
gained gain
in in
laboratories laboratory
around around
the the
world world
. .
And and
that that
' '
s s
already already
happening happen
. .
You you
can can
find find
engineered engineered
nanoparticles nanoparticle
in in
a a
range range
of of
products product
and and
applications application
, ,
many many
of of
which which
are be
focused focus
on on
some some
of of
our our
biggest big
sustainability sustainability
challenges challenge
. .
Personally personally
, ,
I i
like like
to to
work work
on on
the the
nanomaterials nanomaterial
that that
make make
up up
the the
core core
of of
lithium-ion lithium-ion
batteries battery
for for
electric electric
vehicles vehicle
, ,
but but
you you
' '
ll ll
also also
find find
nanomaterials nanomaterial
in in
water water
filtration filtration
technology technology
, ,
solar solar
cells cell
and and
even even
in in
clinical clinical
applications application
. .
With with
all all
of of
that that
background background
, ,
now now
let let
me me
tell tell
you you
about about
some some
of of
the the
nanomaterials nanomaterial
my my
research research
group group
is be
developing develop
for for
agricultural agricultural
applications application
. .
In in
some some
ways way
, ,
the the
nanoparticles nanoparticle
seem seem
very very
simple simple
. .
They they
' '
re re
made make
of of
silica silica
or or
SiO2 sio2
in in
chemistry chemistry
language language
. .
This this
is be
the the
same same
chemical chemical
composition composition
that that
describes describe
glass glass
or or
sand sand
. .
And and
the the
simple simple
choice choice
was be
not not
an an
accident accident
. .
We we
wanted want
to to
work work
with with
Earth-abundant earth-abundant
elements element
, ,
and and
you you
can can
' '
t t
do do
much much
better good
than than
silicon silicon
and and
oxygen oxygen
on on
that that
front front
. .
The the
researchers researcher
in in
my my
lab lab
are be
very very
skilled skilled
at at
designing design
silica silica
nanoparticles nanoparticle
with with
controlled controlled
size size
and and
surface surface
chemistry chemistry
. .
We we
also also
work work
hard hard
to to
control control
the the
pore pore
structure structure
, ,
because because
that that
determines determine
the the
total total
surface surface
area area
, ,
as as
well well
as as
the the
strength strength
of of
the the
bonds bond
that that
hold hold
the the
nanomaterials nanomaterial
together together
. .
That that
' '
s s
because because
all all
of of
those those
factors factor
are be
critically critically
important important
for for
our our
end end
goal goal
, ,
which which
is be
to to
get get
these these
nanoparticles nanoparticle
inside inside
plants plant
, ,
either either
by by
infiltrating infiltrate
seeds seed
or or
by by
allowing allow
them them
to to
pass pass
through through
pores pore
on on
the the
leaf leaf
surface surface
, ,
and and
then then
, ,
once once
they they
' '
re re
internalized internalize
, ,
having have
them them
transformed transform
to to
release release
a a
molecule molecule
that that
the the
plant plant
can can
use use
to to
protect protect
itself itself
from from
viruses virus
, ,
fungi fungus
or or
pest pest
attacks attack
. .
In in
technical technical
terms term
, ,
we we
want want
our our
silica silica
nanoparticles nanoparticle
to to
react react
with with
water water
in in
the the
environment environment
and and
dissolve dissolve
to to
release release
a a
molecule molecule
called call
silicic silicic
acid acid
. .
You you
can can
think think
of of
silicic silicic
acid acid
for for
plants plant
like like
the the
multivitamin multivitamin
that that
you you
take take
every every
morning morning
. .
Plants plant
already already
contain contain
silicic silicic
acid acid
, ,
they they
use use
it it
to to
build build
their their
cell cell
walls wall
. .
We we
want want
to to
deliver deliver
an an
extra extra
boost boost
of of
silicic silicic
acid acid
, ,
with with
the the
hypothesis hypothesis
that that
they they
' '
ll ll
build build
stronger strong
cell cell
walls wall
and and
boost boost
their their
own own
immune immune
response response
. .
So so
now now
, ,
hopefully hopefully
you you
can can
see see
the the
whole whole
picture picture
. .
We we
design design
silica silica
nanoparticles nanoparticle
with with
the the
right right
size size
, ,
shape shape
and and
surface surface
chemistry chemistry
to to
be be
taken take
up up
into into
a a
plant plant
. .
We we
also also
design design
them them
so so
that that
once once
they they
' '
re re
internalized internalize
, ,
they they
dissolve dissolve
to to
release release
enough enough
silicic silicic
acid acid
that that
the the
plants plant
live live
healthier healthier
and and
longer longer
, ,
producing produce
more more
food food
. .
With with
all all
of of
that that
background background
, ,
now now
, ,
let let
me me
actually actually
show show
you you
some some
of of
the the
nanoparticles nanoparticle
that that
we we
' '
re re
making making
and and
tell tell
you you
about about
some some
of of
the the
early early
, ,
exciting exciting
results result
from from
greenhouse greenhouse
and and
field field
studies study
. .
We we
' '
ve ve
made make
many many
variations variation
on on
the the
silica silica
nanoparticle nanoparticle
theme theme
. .
Here here
you you
can can
see see
five five
electron electron
microscope microscope
images image
of of
silica silica
nanoparticles nanoparticle
we we
' '
ve ve
made make
. .
All all
of of
them them
have have
the the
same same
scale scale
bar bar
, ,
that that
' '
s s
just just
100 @card@
nanometers nanometer
. .
And and
all all
of of
them them
are be
small small
enough enough
to to
go go
into into
the the
pores pore
on on
a a
leaf leaf
' '
s s
surface surface
. .
Here here
you you
can can
see see
some some
of of
the the
silica silica
nanoparticles nanoparticle
we we
' '
ve ve
designed design
with with
various various
pore pore
structures structure
. .
The the
pore pore
structure structure
ends end
up up
being be
very very
important important
because because
the the
more more
water water
can can
react react
with with
the the
surface surface
of of
the the
nanoparticle nanoparticle
, ,
the the
better well
it it
dissolves dissolve
and and
the the
more more
silicic silicic
acid acid
is be
released release
. .
Here here
you you
can can
see see
some some
nanoparticles nanoparticle
we we
' '
ve ve
designed design
to to
dissolve dissolve
at at
different different
rates rate
. .
And and
what what
you you
' '
re re
looking look
at at
is be
a a
nice nice
, ,
solid solid
nanoparticle nanoparticle
at at
the the
beginning beginning
, ,
before before
it it
' '
s s
been be
exposed expose
to to
water water
. .
And and
then then
after after
eight eight
, ,
16 @card@
and and
24 @card@
hours hour
, ,
you you
can can
see see
those those
nanoparticles nanoparticle
hollowing hollow
out out
, ,
releasing release
lots lot
of of
useful useful
silicic silicic
acid acid
. .
With with
all all
of of
these these
nanoparticles nanoparticle
in in
hand hand
, ,
we we
started start
working work
with with
colleagues colleague
within within
the the
NSF nsf
Center center
for for
Sustainable sustainable
Nanotechnology nanotechnology
to to
start start
our our
first first
plant plant
studies study
. .
The the
initial initial
studies study
were be
very very
simple simple
, ,
using use
watermelon watermelon
seedlings seedling
in in
a a
greenhouse greenhouse
. .
Here here
' '
s s
the the
experimental experimental
setup setup
. .
We we
had have
watermelon watermelon
seedlings seedling
that that
were be
going go
to to
be be
planted plant
either either
in in
healthy healthy
soil soil
or or
soil soil
infested infest
with with
Fusarium fusarium
, ,
a a
fungal fungal
soil-borne soil-borne
pathogen pathogen
. .
Before before
planting plant
them them
, ,
we we
dipped dip
them them
in in
our our
silica silica
nanoparticles nanoparticle
, ,
and and
then then
we we
allowed allow
them them
to to
grow grow
in in
the the
greenhouse greenhouse
. .
Of of
course course
, ,
we we
also also
had have
a a
parallel parallel
set set
of of
plants plant
that that
received receive
no no
nanoparticles nanoparticle
, ,
growing grow
in in
both both
healthy healthy
and and
diseased diseased
soil soil
. .
So so
the the
goal goal
was be
to to
figure figure
out out
how how
that that
single single
application application
of of
silica silica
nanoparticles nanoparticle
impacted impact
the the
plants plant
growing grow
in in
both both
healthy healthy
and and
diseased diseased
soil soil
. .
And and
the the
results result
that that
we we
saw see
were be
really really
exciting exciting
. .
We we
found find
that that
the the
plants plant
that that
were be
growing grow
in in
infected infected
soil soil
, ,
that that
had have
received receive
that that
one one
dose dose
of of
silica silica
nanoparticles nanoparticle
were be
30 @card@
to to
40 @card@
percent percent
healthier healthy
than than
the the
ones one
that that
had have
not not
. .
With with
this this
exciting exciting
result result
, ,
we we
decided decide
to to
try try
some some
field field
studies study
using use
the the
same same
soil soil
conditions condition
and and
the the
same same
nanoparticle nanoparticle
conditions condition
. .
So so
we we
planted plant
watermelon watermelon
, ,
either either
in in
healthy healthy
or or
infected infected
soil soil
, ,
and and
we we
allowed allow
them them
to to
grow grow
for for
100 @card@
days day
. .
We we
tracked track
the the
fungal fungal
disease disease
, ,
and and
we we
also also
measured measure
the the
amount amount
of of
fruit fruit
that that
was be
produced produce
after after
100 @card@
days day
. .
And and
what what
we we
found find
is be
that that
that that
one one
application application
of of
one one
to to
two two
milliliters milliliter
of of
silica silica
nanoparticles nanoparticle
way way
back back
at at
the the
seedling seedling
stage stage
, ,
led lead
us us
to to
a a
70 @card@
percent percent
increase increase
in in
watermelon watermelon
yield yield
. .
Ideally ideally
, ,
none none
of of
the the
nanoparticles nanoparticle
would would
end end
up up
in in
the the
fruit fruit
that that
people people
are be
going go
to to
eat eat
. .
So so
we we
analyzed analyze
the the
roots root
and and
the the
above-ground above-ground
tissue tissue
and and
the the
edible edible
fruit fruit
for for
any any
sign sign
of of
silica silica
nanoparticles nanoparticle
. .
We we
saw see
no no
increased increase
silicon silicon
in in
the the
edible edible
watermelon watermelon
fruit fruit
, ,
meaning mean
that that
these these
nanoparticles nanoparticle
did do
exactly exactly
what what
we we
designed design
them them
to to
do do
. .
Given give
the the
small small
amount amount
of of
nanomaterials nanomaterial
that that
we we
applied apply
to to
each each
one one
of of
those those
plants plant
, ,
the the
cost cost
per per
plant plant
is be
only only
about about
two two
cents cent
or or
19 @card@
dollars dollar
for for
an an
acre acre
. .
This this
is be
a a
cost-effective cost-effective
treatment treatment
. .
By by
adding add
19 @card@
dollar dollar
' '
s s
worth worth
of of
nanoparticles nanoparticle
to to
the the
average average
fertilizer fertilizer
cost cost
of of
250 @card@
dollars dollar
, ,
a a
farmer farmer
would would
yield yield
thousands thousand
of of
dollars dollar
increase increase
in in
fruit fruit
production production
. .
With with
these these
exciting exciting
results result
in in
hand hand
, ,
we we
have have
a a
lot lot
of of
other other
experiments experiment
planned plan
and and
in in
progress progress
. .
We we
want want
to to
do do
multiple multiple
applications application
of of
nanoparticles nanoparticle
and and
applications application
later later
in in
the the
growth growth
process process
to to
see see
if if
that that
further further
increases increase
our our
yield yield
. .
We we
want want
to to
do do
studies study
on on
soybean soybean
and and
wheat wheat
, ,
critical critical
crops crop
here here
in in
the the
Midwest midwest
and and
around around
the the
world world
. .
Two two
researchers researcher
in in
my my
lab lab
recently recently
applied apply
silica silica
nanoparticles nanoparticle
to to
potato potato
plants plant
in in
the the
field field
. .
They they
' '
re re
going go
to to
help help
harvest harvest
and and
analyze analyze
the the
results result
this this
fall fall
. .
I i
hope hope
that that
what what
you you
see see
is be
that that
this this
data data
is be
really really
compelling compelling
, ,
and and
that that
nanoparticles nanoparticle
have have
tons ton
of of
potential potential
to to
help help
decrease decrease
crop crop
loss loss
. .
And and
I i
only only
told tell
you you
about about
silica silica
nanoparticles nanoparticle
. .
I i
can can
imagine imagine
other other
important important
chemical chemical
compositions composition
and and
even even
parallel parallel
application application
like like
remediation remediation
of of
soil soil
pollutants pollutant
. .
I i
ask ask
you you
all all
to to
be be
open-minded open-minded
about about
nanotechnology nanotechnology
, ,
encouraging encourage
funding funding
agencies agency
worldwide worldwide
to to
invest invest
. .
In in
the the
US us
, ,
ask ask
your your
senators senator
and and
representatives representative
to to
invest invest
in in
the the
National national
Science science
Foundation foundation
, ,
the the
National national
Institutes institutes
of of
Health health
and and
the the
US us
Department department
of of
Agriculture agriculture
for for
both both
basic basic
and and
translational translational
research research
. .
I i
know know
farmers farmer
are be
already already
embracing embrace
advanced advanced
technology technology
in in
terms term
of of
robots robot
and and
drones drone
and and
implant implant
sensors sensor
. .
I i
encourage encourage
them them
to to
embrace embrace
this this
advance advance
as as
well well
. .
Now now
go go
back back
to to
imagining imagine
that that
you you
' '
re re
that that
farmer farmer
and and
you you
' '
ve ve
planted plant
enough enough
crops crop
to to
feed feed
your your
family family
for for
the the
coming come
year year
. .
You you
do do
all all
of of
the the
normal normal
things thing
, ,
except except
this this
time time
, ,
maybe maybe
you you
use use
seeds seed
that that
were be
infiltrated infiltrate
with with
silica silica
nanoparticles nanoparticle
. .
Or or
maybe maybe
you you
go go
through through
once once
and and
you you
spray spray
silica silica
nanoparticles nanoparticle
onto onto
your your
crops crop
. .
As as
these these
tiny tiny
nanoparticles nanoparticle
deliver deliver
a a
big big
boost boost
of of
silicic silicic
acid acid
from from
the the
inside inside
, ,
your your
plants plant
overcome overcome
disease disease
, ,
and and
your your
family family
is be
fed feed
. .
Let let
' '
s s
use use
all all
of of
the the
hard hard
work work
that that
has have
been be
done do
on on
basic basic
nanotechnology nanotechnology
research research
to to
feed feed
our our
global global
family family
for for
years year
to to
come come
. .
Thank thank
you you
. .
