If if
Those those
texts text
are be
still still
difficult difficult
to to
read read
even even
today today
. .
In in
two two
years year
, ,
we we
collected collect
data datum
on on
more more
than than
32 @card@
, ,
000 @card@
objects object
held hold
by by
these these
institutions institution
, ,
and and
that that
might might
seem seem
like like
a a
huge huge
number number
, ,
but but
there there
are be
many many
other other
institutions institution
that that
haven haven
' '
t t
yet yet
replied reply
to to
our our
requests request
. .
And and
that that
' '
s s
just just
Kenya kenya
. .
They they
are be
46 @card@
other other
countries country
in in
sub-Saharan sub-saharan
Africa africa
that that
have have
experienced experience
a a
similar similar
extraction extraction
of of
objects object
. .
Our our
next next
step step
is be
to to
publish publish
this this
database database
online online
, ,
so so
the the
data data
is be
accessible accessible
to to
community community
leaders leader
who who
have have
been be
campaigning campaign
for for
the the
return return
of of
sacred sacred
objects object
, ,
but but
also also
for for
every every
teacher teacher
, ,
researcher researcher
and and
citizen citizen
who who
wants want
to to
find find
out out
what what
we we
are be
missing miss
and and
where where
it it
can can
be be
found find
. .
We we
are be
not not
the the
only only
initiative initiative
of of
our our
kind kind
. .
Across across
Africa africa
and and
Asia asia
, ,
there there
are be
other other
projects project
asking ask
similar similar
questions question
about about
their their
cultural cultural
heritage heritage
. .
Our our
hope hope
is be
that that
we we
can can
provoke provoke
institutions institution
in in
North north
America america
and and
Europe europe
to to
rethink rethink
the the
morality morality
of of
their their
collections collection
. .
We we
are be
asking ask
them them
to to
account account
for for
the the
violent violent
histories history
of of
some some
of of
the the
objects object
in in
their their
collections collection
by by
labeling label
their their
collections collection
more more
truthfully truthfully
. .
We we
are be
asking ask
them them
to to
return return
objects object
that that
were be
improperly improperly
acquired acquire
back back
to to
the the
communities community
that that
need need
them them
. .
We we
are be
asking ask
them them
to to
trust trust
African african
museums museum
to to
store store
objects object
on on
behalf behalf
of of
the the
people people
of of
Africa africa
. .
There there
can can
be be
no no
collective collective
identity identity
without without
collective collective
memory memory
. .
So so
we we
are be
asking ask
for for
our our
objects object
to to
help help
us us
remember remember
who who
we we
are be
. .
Thank thank
you you
. .
