Take	VB	take
to	TO	to
teach	VB	teach
everybody	NN	everybody
,	,	,
from	IN	from
everyday	JJ	everyday
people	NNS	people
to	TO	to
those	DT	those
for	IN	for
whom	WP	whom
looking	VBG	look
is	VBZ	be
the	DT	the
job	NN	job
,	,	,
like	IN	like
Navy	NP	Navy
SEALs	NNS	seal
and	CC	and
homicide	NN	homicide
detectives	NNS	detective
and	CC	and
trauma	NN	trauma
nurses	NNS	nurse
.	SENT	.
The	DT	the
fact	NN	fact
is	VBZ	be
that	IN	that
no	DT	no
matter	NN	matter
how	WRB	how
skilled	JJ	skilled
you	PP	you
might	MD	might
be	VB	be
at	IN	at
looking	VBG	look
,	,	,
you	PP	you
still	RB	still
have	VBP	have
so	RB	so
much	JJ	much
to	TO	to
learn	VB	learn
about	IN	about
seeing	VBG	see
.	SENT	.
Because	IN	because
we	PP	we
all	RB	all
think	VBP	think
we	PP	we
get	VB	get
it	PP	it
in	IN	in
a	DT	a
first	JJ	first
glance	NN	glance
and	CC	and
a	DT	a
sudden	JJ	sudden
flash	NN	flash
,	,	,
but	CC	but
the	DT	the
real	JJ	real
skill	NN	skill
is	VBZ	be
in	IN	in
understanding	VBG	understand
how	WRB	how
to	TO	to
look	VB	look
slowly	RB	slowly
and	CC	and
how	WRB	how
to	TO	to
look	VB	look
more	RBR	more
carefully	RB	carefully
.	SENT	.
The	DT	the
talent	NN	talent
is	VBZ	be
in	IN	in
remembering	VBG	remember
—	:	-
in	IN	in
the	DT	the
crush	NN	crush
of	IN	of
the	DT	the
daily	JJ	daily
urgencies	NNS	urgency
that	WDT	that
demand	VBP	demand
our	PP$	our
attention	NN	attention
—	:	-
to	TO	to
step	VB	step
back	RB	back
and	CC	and
look	VB	look
through	IN	through
those	DT	those
lenses	NNS	lens
to	TO	to
help	VB	help
us	PP	us
see	VB	see
what	WP	what
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
missing	VBG	miss
all	RB	all
along	RB	along
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
looking	VBG	look
at	IN	at
painting	NN	painting
and	CC	and
sculpture	NN	sculpture
help	NN	help
?	SENT	?
Because	IN	because
art	NN	art
is	VBZ	be
a	DT	a
powerful	JJ	powerful
tool	NN	tool
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
powerful	JJ	powerful
tool	NN	tool
that	WDT	that
engages	VBZ	engage
both	DT	both
sight	NN	sight
and	CC	and
insight	NN	insight
and	CC	and
reframes	VBZ	reframe
our	PP$	our
understanding	NN	understanding
of	IN	of
where	WRB	where
we	PP	we
are	VBP	be
and	CC	and
what	WP	what
we	PP	we
see	VBP	see
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
example	NN	example
of	IN	of
a	DT	a
work	NN	work
of	IN	of
art	NN	art
that	WDT	that
reminded	VBD	remind
me	PP	me
that	IN	that
visual	JJ	visual
intelligence	NN	intelligence
—	:	-
it	PP	it
'	POS	'
s	NN	S
an	DT	an
ongoing	JJ	ongoing
learning	VBG	learn
process	NN	process
and	CC	and
one	CD	one
that	WDT	that
really	RB	really
is	VBZ	be
never	RB	never
mastered	VBN	master
.	SENT	.
I	PP	I
came	VBD	come
across	IN	across
this	DT	this
quiet	JJ	quiet
,	,	,
seemingly	RB	seemingly
abstract	JJ	abstract
painting	NN	painting
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
step	VB	step
up	RP	up
to	TO	to
it	PP	it
twice	RB	twice
,	,	,
even	RB	even
three	CD	three
times	NNS	time
,	,	,
to	TO	to
understand	VB	understand
why	WRB	why
it	PP	it
resonated	VBD	resonate
so	RB	so
deeply	RB	deeply
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
seen	VBN	see
the	DT	the
Washington	NP	Washington
Monument	NN	monument
in	IN	in
person	NN	person
thousands	NNS	thousand
of	IN	of
times	NNS	time
,	,	,
well	RB	well
aware	JJ	aware
of	IN	of
the	DT	the
change	NN	change
in	IN	in
the	DT	the
color	NN	color
of	IN	of
marble	NN	marble
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
way	NN	way
up	RB	up
,	,	,
but	CC	but
I	PP	I
had	VBD	have
never	RB	never
really	RB	really
looked	VBN	look
at	IN	at
it	PP	it
out	IN	out
of	IN	of
context	NN	context
or	CC	or
truly	RB	truly
as	IN	as
a	DT	a
work	NN	work
of	IN	of
art	NN	art
.	SENT	.
And	CC	and
here	RB	here
,	,	,
Georgia	NP	Georgia
O	NP	O
'	POS	'
Keeffe	NP	<unknown>
'	POS	'
s	JJ	<unknown>
painting	NN	painting
of	IN	of
this	DT	this
architectural	JJ	architectural
icon	NN	icon
made	VBD	make
me	PP	me
realize	VBP	realize
that	IN	that
if	IN	if
we	PP	we
put	VBD	put
our	PP$	our
mind	NN	mind
to	TO	to
it	PP	it
,	,	,
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
see	VB	see
everyday	JJ	everyday
things	NNS	thing
in	IN	in
a	DT	a
wholly	RB	wholly
new	JJ	new
and	CC	and
eye-	NN	<unknown>
opening	NN	opening
perspective	NN	perspective
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
are	VBP	be
some	DT	some
skeptics	NNS	skeptic
that	WDT	that
believe	VBP	believe
that	DT	that
art	NN	art
just	RB	just
belongs	VBZ	belong
in	IN	in
an	DT	an
art	NN	art
museum	NN	museum
.	SENT	.
They	PP	they
believe	VBP	believe
that	IN	that
it	PP	it
has	VBZ	have
no	DT	no
practical	JJ	practical
use	NN	use
beyond	IN	beyond
its	PP$	its
aesthetic	JJ	aesthetic
value	NN	value
.	SENT	.
I	PP	I
know	VBP	know
who	WP	who
they	PP	they
are	VBP	be
in	IN	in
every	DT	every
audience	NN	audience
I	PP	I
teach	VBP	teach
.	SENT	.
Their	PP$	their
arms	NNS	arm
are	VBP	be
crossed	VBN	cross
,	,	,
their	PP$	their
legs	NNS	leg
are	VBP	be
crossed	VBN	cross
,	,	,
their	PP$	their
body	NN	body
language	NN	language
is	VBZ	be
saying	VBG	say
,	,	,
"	``	"
What	WP	what
am	VBP	be
I	PP	I
going	VBG	go
to	TO	to
learn	VB	learn
from	IN	from
this	DT	this
lady	NN	lady
who	WP	who
talks	VBZ	talk
fast	RB	fast
about	IN	about
painting	NN	painting
and	CC	and
sculpture	NN	sculpture
?	SENT	?
"	''	"
So	RB	so
how	WRB	how
do	VBP	do
I	PP	I
make	VBP	make
it	PP	it
relevant	JJ	relevant
for	IN	for
them	PP	them
?	SENT	?
I	PP	I
ask	VBP	ask
them	PP	them
to	TO	to
look	VB	look
at	IN	at
this	DT	this
work	NN	work
of	IN	of
art	NN	art
,	,	,
like	IN	like
this	DT	this
portrait	NN	portrait
by	IN	by
Kumi	NP	Kumi
Yamashita	NP	Yamashita
.	SENT	.
And	CC	and
I	PP	I
ask	VBP	ask
them	PP	them
to	TO	to
step	VB	step
in	IN	in
close	NN	close
,	,	,
and	CC	and
even	RB	even
closer	RBR	closer
still	RB	still
,	,	,
and	CC	and
while	IN	while
they	PP	they
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
the	DT	the
work	NN	work
of	IN	of
art	NN	art
,	,	,
they	PP	they
need	VBP	need
to	TO	to
be	VB	be
asking	VBG	ask
questions	NNS	question
about	IN	about
what	WP	what
they	PP	they
see	VBP	see
.	SENT	.
And	CC	and
if	IN	if
they	PP	they
ask	VBP	ask
the	DT	the
right	JJ	right
questions	NNS	question
,	,	,
like	VB	like
,	,	,
"	``	"
What	WP	what
is	VBZ	be
this	DT	this
work	NN	work
of	IN	of
art	NN	art
?	SENT	?
Is	VBZ	be
it	PP	it
a	DT	a
painting	NN	painting
?	SENT	?
Is	VBZ	be
it	PP	it
a	DT	a
sculpture	NN	sculpture
?	SENT	?
What	WP	what
is	VBZ	be
it	PP	it
made	VBD	make
of	IN	of
?	SENT	?
"	''	"
.	SENT	.
.	SENT	.
.	SENT	.
they	PP	they
will	MD	will
find	VB	find
out	RP	out
that	IN	that
this	DT	this
entire	JJ	entire
work	NN	work
of	IN	of
art	NN	art
is	VBZ	be
made	VBN	make
of	IN	of
a	DT	a
wooden	JJ	wooden
board	NN	board
,	,	,
10	CD	@card@
,	,	,
000	CD	@card@
nails	NNS	nail
and	CC	and
one	CD	one
unbroken	JJ	unbroken
piece	NN	piece
of	IN	of
sewing	NN	sewing
thread	NN	thread
.	SENT	.
Now	RB	now
that	IN	that
might	MD	might
be	VB	be
interesting	JJ	interesting
to	TO	to
some	DT	some
of	IN	of
you	PP	you
,	,	,
but	CC	but
what	WP	what
does	VBZ	do
it	PP	it
have	VB	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
work	NN	work
that	IN	that
these	DT	these
people	NNS	people
do	VBP	do
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
everything	NN	everything
.	SENT	.
Because	IN	because
we	PP	we
all	RB	all
interact	VBP	interact
with	IN	with
people	NNS	people
multiple	JJ	multiple
times	NNS	time
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
better	RBR	well
at	IN	at
asking	VBG	ask
questions	NNS	question
about	IN	about
what	WP	what
it	PP	it
is	VBZ	be
that	IN	that
we	PP	we
see	VBP	see
.	SENT	.
Learning	VBG	learn
to	TO	to
frame	VB	frame
the	DT	the
question	NN	question
in	IN	in
such	PDT	such
a	DT	a
way	NN	way
as	RB	as
to	TO	to
elicit	VB	elicit
the	DT	the
information	NN	information
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
our	PP$	our
jobs	NNS	job
,	,	,
is	VBZ	be
a	DT	a
critical	JJ	critical
life	NN	life
skill	NN	skill
.	SENT	.
Like	IN	like
the	DT	the
radiologist	NN	radiologist
who	WP	who
told	VBD	tell
me	PP	me
that	IN	that
looking	VBG	look
at	IN	at
the	DT	the
negative	JJ	negative
spaces	NNS	space
in	IN	in
a	DT	a
painting	NN	painting
helped	VBD	help
her	PP	her
discern	VB	discern
more	RBR	more
discreet	JJ	discreet
abnormalities	NNS	abnormality
in	IN	in
an	DT	an
MRI	NP	MRI
.	SENT	.
Or	CC	or
the	DT	the
police	NN	police
officer	NN	officer
who	WP	who
said	VBD	say
that	IN	that
understanding	VBG	understand
the	DT	the
emotional	JJ	emotional
dynamic	NN	dynamic
between	IN	between
people	NNS	people
in	IN	in
a	DT	a
painting	NN	painting
helped	VBD	help
him	PP	him
to	TO	to
read	VB	read
body	NN	body
language	NN	language
at	IN	at
a	DT	a
domestic	JJ	domestic
violence	NN	violence
crime	NN	crime
scene	NN	scene
,	,	,
and	CC	and
it	PP	it
enabled	VBD	enable
him	PP	him
to	TO	to
think	VB	think
twice	RB	twice
before	IN	before
drawing	VBG	draw
and	CC	and
firing	VBG	fire
his	PP$	his
weapon	NN	weapon
.	SENT	.
And	CC	and
even	RB	even
parents	NNS	parent
can	MD	can
look	VB	look
to	TO	to
see	VB	see
absences	NNS	absence
of	IN	of
color	NN	color
in	IN	in
paintings	NNS	painting
to	TO	to
understand	VB	understand
that	IN	that
what	WP	what
their	PP$	their
children	NNS	child
say	VBP	say
to	TO	to
them	PP	them
is	VBZ	be
as	RB	as
important	JJ	important
as	IN	as
what	WP	what
they	PP	they
don	VBP	don
'	''	'
t	NN	t
say	VBP	say
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
I	PP	I
—	:	-
how	WRB	how
do	VBP	do
I	PP	I
train	VBP	train
to	TO	to
be	VB	be
more	RBR	more
visually	RB	visually
intelligent	JJ	intelligent
?	SENT	?
It	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
four	CD	four
As	RB	as
.	SENT	.
Every	DT	every
new	JJ	new
situation	NN	situation
,	,	,
every	DT	every
new	JJ	new
problem	NN	problem
—	:	-
we	PP	we
practice	VBP	practice
four	CD	four
As	RB	as
.	SENT	.
First	RB	first
,	,	,
we	PP	we
assess	VBP	assess
our	PP$	our
situation	NN	situation
.	SENT	.
We	PP	we
ask	VBP	ask
,	,	,
"	''	"
What	WP	what
do	VBP	do
we	PP	we
have	VBP	have
in	IN	in
front	NN	front
of	IN	of
us	PP	us
?	SENT	?
"	''	"
Then	RB	then
,	,	,
we	PP	we
analyze	VBP	analyze
it	PP	it
.	SENT	.
We	PP	we
say	VBP	say
,	,	,
"	``	"
What	WP	what
'	POS	'
s	NNS	<unknown>
important	JJ	important
?	SENT	?
What	WP	what
do	VBP	do
I	PP	I
need	VBP	need
?	SENT	?
What	WP	what
don	NN	don
'	POS	'
t	NN	t
I	PP	I
need	VBP	need
?	SENT	?
"	''	"
Then	RB	then
,	,	,
we	PP	we
articulate	VBP	articulate
it	PP	it
in	IN	in
a	DT	a
conversation	NN	conversation
,	,	,
in	IN	in
a	DT	a
memo	NN	memo
,	,	,
in	IN	in
a	DT	a
text	NN	text
,	,	,
in	IN	in
an	DT	an
email	NN	<unknown>
.	SENT	.
And	CC	and
then	RB	then
,	,	,
we	PP	we
act	VBP	act
:	:	:
we	PP	we
make	VBP	make
a	DT	a
decision	NN	decision
.	SENT	.
We	PP	we
all	RB	all
do	VBP	do
this	DT	this
multiple	JJ	multiple
times	NNS	time
a	DT	a
day	NN	day
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
realize	VB	realize
what	WP	what
a	DT	a
role	NN	role
seeing	VBG	see
and	CC	and
looking	VBG	look
plays	NNS	play
in	IN	in
all	DT	all
of	IN	of
those	DT	those
actions	NNS	action
,	,	,
and	CC	and
how	WRB	how
visual	JJ	visual
intelligence	NN	intelligence
can	MD	can
really	RB	really
improve	VB	improve
everything	NN	everything
.	SENT	.
So	RB	so
recently	RB	recently
,	,	,
I	PP	I
had	VBD	have
a	DT	a
group	NN	group
of	IN	of
counterterrorism	NN	counterterrorism
officials	NNS	official
at	IN	at
a	DT	a
museum	NN	museum
in	IN	in
front	NN	front
of	IN	of
this	DT	this
painting	NN	painting
.	SENT	.
El	NP	El
Greco	NP	Greco
'	POS	'
s	NN	S
painting	NN	painting
,	,	,
"	''	"
The	DT	the
Purification	NN	purification
of	IN	of
the	DT	the
Temple	NP	Temple
,	,	,
"	``	"
in	IN	in
which	WDT	which
Christ	NP	Christ
,	,	,
in	IN	in
the	DT	the
center	NN	center
,	,	,
in	IN	in
a	DT	a
sweeping	JJ	sweeping
and	CC	and
violent	JJ	violent
gesture	NN	gesture
,	,	,
is	VBZ	be
expelling	VBG	expel
the	DT	the
sinners	NNS	sinner
from	IN	from
the	DT	the
temple	NN	temple
of	IN	of
prayer	NN	prayer
.	SENT	.
The	DT	the
group	NN	group
of	IN	of
counterterrorism	NN	counterterrorism
officials	NNS	official
had	VBD	have
five	CD	five
minutes	NNS	minute
with	IN	with
that	DT	that
painting	NN	painting
,	,	,
and	CC	and
in	IN	in
that	DT	that
short	JJ	short
amount	NN	amount
of	IN	of
time	NN	time
,	,	,
they	PP	they
had	VBD	have
to	TO	to
assess	VB	assess
the	DT	the
situation	NN	situation
,	,	,
analyze	VB	analyze
the	DT	the
details	NNS	detail
,	,	,
articulate	VB	articulate
what	WP	what
,	,	,
if	IN	if
anything	NN	anything
,	,	,
they	PP	they
would	MD	would
do	VB	do
if	IN	if
they	PP	they
were	VBD	be
in	IN	in
that	DT	that
painting	NN	painting
.	SENT	.
As	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
observations	NNS	observation
and	CC	and
insights	NNS	insight
differed	VBD	differ
.	SENT	.
Who	WP	who
would	MD	would
they	PP	they
talk	VB	talk
to	TO	to
?	SENT	?
Who	WP	who
would	MD	would
be	VB	be
the	DT	the
best	JJS	good
witness	NN	witness
?	SENT	?
Who	WP	who
was	VBD	be
a	DT	a
good	JJ	good
potential	JJ	potential
witness	NN	witness
?	SENT	?
Who	WP	who
was	VBD	be
lurking	VBG	lurk
?	SENT	?
Who	WP	who
had	VBD	have
the	DT	the
most	JJS	most
information	NN	information
?	SENT	?
But	CC	but
my	PP$	my
favorite	JJ	favorite
comment	NN	comment
came	VBD	come
from	IN	from
a	DT	a
seasoned	JJ	seasoned
cop	NN	cop
who	WP	who
looked	VBD	look
at	IN	at
the	DT	the
central	JJ	central
figure	NN	figure
and	CC	and
said	VBD	say
,	,	,
"	``	"
You	PP	you
see	VBP	see
that	DT	that
guy	NN	guy
in	IN	in
the	DT	the
pink	NN	pink
?	SENT	?
"	''	"
—	:	-
referring	VBG	refer
to	TO	to
Christ	NP	Christ
—	:	-
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
d	NN	d
collar	NN	collar
him	PP	him
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
causing	VBG	cause
all	PDT	all
the	DT	the
trouble	NN	trouble
.	SENT	.
"	``	"
So	RB	so
looking	VBG	look
at	IN	at
art	NN	art
gives	VBZ	give
us	PP	us
a	DT	a
perfect	JJ	perfect
vehicle	NN	vehicle
to	TO	to
rethink	VB	rethink
how	WRB	how
we	PP	we
solve	VBP	solve
problems	NNS	problem
without	IN	without
the	DT	the
aid	NN	aid
of	IN	of
technology	NN	technology
.	SENT	.
Looking	VBG	look
at	IN	at
the	DT	the
work	NN	work
of	IN	of
Felix	NP	Felix
Gonzalez-Torres	NP	Gonzalez-Torres
,	,	,
you	PP	you
see	VBP	see
two	CD	two
clocks	NNS	clock
in	IN	in
perfect	JJ	perfect
synchronicity	NN	synchronicity
.	SENT	.
The	DT	the
hour	NN	hour
,	,	,
minute	NN	minute
and	CC	and
second	JJ	second
hand	NN	hand
perfectly	RB	perfectly
aligned	VBN	align
.	SENT	.
They	PP	they
are	VBP	be
installed	VBN	install
side	NN	side
by	IN	by
side	NN	side
and	CC	and
they	PP	they
'	POS	'
re	NN	re
touching	NN	touching
,	,	,
and	CC	and
they	PP	they
are	VBP	be
entitled	VBN	entitle
"	''	"
'	''	'
Untitled	JJ	untitled
'	''	'
.	SENT	.
"	''	"
But	CC	but
closer	JJR	close
analysis	NN	analysis
makes	VBZ	make
you	PP	you
realize	VBP	realize
that	IN	that
these	DT	these
are	VBP	be
two	CD	two
battery-operated	JJ	battery-operated
clocks	NNS	clock
,	,	,
which	WDT	which
in	IN	in
turn	NN	turn
makes	VBZ	make
you	PP	you
understand	VB	understand
—	:	-
"	``	"
Hey	NP	Hey
,	,	,
wait	VBP	wait
a	DT	a
minute	NN	minute
.	SENT	.
.	SENT	.
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
batteries	NNS	battery
is	VBZ	be
going	VBG	go
to	TO	to
stop	VB	stop
before	IN	before
the	DT	the
other	JJ	other
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
clocks	NNS	clock
is	VBZ	be
going	VBG	go
to	TO	to
slow	VB	slow
down	RP	down
and	CC	and
die	VB	die
before	IN	before
the	DT	the
other	JJ	other
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
alter	VB	alter
the	DT	the
symmetry	NN	symmetry
of	IN	of
the	DT	the
artwork	NN	artwork
.	SENT	.
"	``	"
Just	RB	just
articulating	VBG	articulate
that	DT	that
thought	NN	thought
process	NN	process
includes	VBZ	include
the	DT	the
necessity	NN	necessity
of	IN	of
a	DT	a
contingency	NN	contingency
plan	NN	plan
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
have	VB	have
contingencies	NNS	contingency
for	IN	for
the	DT	the
unforeseen	JJ	unforeseen
,	,	,
the	DT	the
unexpected	JJ	unexpected
and	CC	and
the	DT	the
unknown	NN	unknown
,	,	,
whenever	WRB	whenever
and	CC	and
however	RB	however
they	PP	they
may	MD	may
happen	VB	happen
.	SENT	.
Now	RB	now
,	,	,
using	VBG	use
art	NN	art
to	TO	to
increase	VB	increase
our	PP$	our
visual	JJ	visual
intelligence	NN	intelligence
involves	VBZ	involve
planning	NN	planning
for	IN	for
contingencies	NNS	contingency
,	,	,
understanding	VBG	understand
the	DT	the
big	JJ	big
picture	NN	picture
and	CC	and
the	DT	the
small	JJ	small
details	NNS	detail
and	CC	and
noticing	VBG	notice
what	WP	what
'	POS	'
s	NN	S
not	RB	not
there	RB	there
.	SENT	.
So	RB	so
in	IN	in
this	DT	this
painting	NN	painting
by	IN	by
Magritte	NP	Magritte
,	,	,
noticing	VBG	notice
that	IN	that
there	EX	there
are	VBP	be
no	DT	no
tracks	NNS	track
under	IN	under
the	DT	the
train	NN	train
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
fire	NN	fire
in	IN	in
the	DT	the
fireplace	NN	fireplace
and	CC	and
there	EX	there
are	VBP	be
no	DT	no
candles	NNS	candle
in	IN	in
the	DT	the
candlesticks	NNS	candlestick
actually	RB	actually
more	RBR	more
accurately	RB	accurately
describes	VBZ	describe
the	DT	the
painting	NN	painting
than	IN	than
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
say	VB	say
,	,	,
"	``	"
Well	UH	well
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
train	NN	train
coming	VBG	come
out	RP	out
of	IN	of
a	DT	a
fireplace	NN	fireplace
,	,	,
and	CC	and
there	EX	there
are	VBP	be
candlesticks	NNS	candlestick
on	IN	on
the	DT	the
mantle	NN	mantle
.	SENT	.
"	``	"
It	PP	it
may	MD	may
sound	VB	sound
counterintuitive	JJ	counterintuitive
to	TO	to
say	VB	say
what	WP	what
isn	NP	isn
'	POS	'
t	NN	t
there	RB	there
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
really	RB	really
a	DT	a
very	RB	very
valuable	JJ	valuable
tool	NN	tool
.	SENT	.
When	WRB	when
a	DT	a
detective	NN	detective
who	WP	who
had	VBD	have
learned	VBN	learn
about	IN	about
visual	JJ	visual
intelligence	NN	intelligence
in	IN	in
North	NP	North
Carolina	NP	Carolina
was	VBD	be
called	VBN	call
to	TO	to
the	DT	the
crime	NN	crime
scene	NN	scene
,	,	,
it	PP	it
was	VBD	be
a	DT	a
boating	VBG	boat
fatality	NN	fatality
,	,	,
and	CC	and
the	DT	the
eyewitness	NN	eyewitness
told	VBD	tell
this	DT	this
detective	NN	detective
that	IN	that
the	DT	the
boat	NN	boat
had	VBD	have
flipped	VBN	flip
over	RP	over
and	CC	and
the	DT	the
occupant	NN	occupant
had	VBD	have
drowned	VBN	drown
underneath	RB	underneath
.	SENT	.
Now	RB	now
,	,	,
instinctively	RB	instinctively
,	,	,
crime	NN	crime
scene	NN	scene
investigators	NNS	investigator
look	VBP	look
for	IN	for
what	WP	what
is	VBZ	be
apparent	JJ	apparent
,	,	,
but	CC	but
this	DT	this
detective	NN	detective
did	VBD	do
something	NN	something
different	JJ	different
.	SENT	.
He	PP	he
looked	VBD	look
for	IN	for
what	WP	what
wasn	NP	<unknown>
'	POS	'
t	NN	t
there	RB	there
,	,	,
which	WDT	which
is	VBZ	be
harder	JJR	hard
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
he	PP	he
raised	VBD	raise
the	DT	the
question	NN	question
:	:	:
if	IN	if
the	DT	the
boat	NN	boat
had	VBD	have
really	RB	really
tipped	VBN	tip
flipped	VBD	flip
over	RP	over
—	:	-
as	IN	as
the	DT	the
eyewitness	NN	eyewitness
said	VBD	say
that	IN	that
it	PP	it
did	VBD	do
—	:	-
how	WRB	how
come	VB	come
the	DT	the
papers	NNS	paper
that	WDT	that
were	VBD	be
kept	VBN	keep
at	IN	at
one	CD	one
end	NN	end
of	IN	of
the	DT	the
boat	NN	boat
were	VBD	be
completely	RB	completely
dry	JJ	dry
?	SENT	?
Based	VBN	base
on	IN	on
that	DT	that
one	CD	one
small	JJ	small
but	CC	but
critical	JJ	critical
observation	NN	observation
,	,	,
the	DT	the
investigation	NN	investigation
shifted	VBN	shift
from	IN	from
accidental	JJ	accidental
death	NN	death
to	TO	to
homicide	NN	homicide
.	SENT	.
Now	RB	now
,	,	,
equally	RB	equally
important	JJ	important
to	TO	to
saying	VBG	say
what	WP	what
isn	NP	isn
'	POS	'
t	NN	t
there	EX	there
is	VBZ	be
the	DT	the
ability	NN	ability
to	TO	to
find	VB	find
visual	JJ	visual
connections	NNS	connection
where	WRB	where
they	PP	they
may	MD	may
not	RB	not
be	VB	be
apparent	JJ	apparent
.	SENT	.
Like	IN	like
Marie	NP	Marie
Watt	NP	Watt
'	POS	'
s	JJ	<unknown>
totem	NN	totem
pole	NN	pole
of	IN	of
blankets	NNS	blanket
.	SENT	.
It	PP	it
illustrates	VBZ	illustrate
that	IN	that
finding	VBG	find
hidden	JJ	hidden
connections	NNS	connection
in	IN	in
everyday	JJ	everyday
objects	NNS	object
can	MD	can
resonate	VB	resonate
so	RB	so
deeply	RB	deeply
.	SENT	.
The	DT	the
artist	NN	artist
collected	VBD	collect
blankets	NNS	blanket
from	IN	from
all	DT	all
different	JJ	different
people	NNS	people
in	IN	in
her	PP$	her
community	NN	community
,	,	,
and	CC	and
she	PP	she
had	VBD	have
the	DT	the
owners	NNS	owner
of	IN	of
the	DT	the
