Let	VB	let
my	PP$	my
mind	NN	mind
,	,	,
is	VBZ	be
what	WP	what
I	PP	I
call	VBP	call
as	IN	as
"	``	"
the	DT	the
ideas	NNS	idea
that	WDT	that
have	VBP	have
arrived	VBN	arrive
.	SENT	.
"	``	"
These	DT	these
ideas	NNS	idea
have	VBP	have
brought	VBN	bring
together	RB	together
something	NN	something
which	WDT	which
has	VBZ	have
made	VBN	make
India	NP	India
happen	VB	happen
the	DT	the
way	NN	way
it	PP	it
is	VBZ	be
today	NN	today
.	SENT	.
The	DT	the
second	JJ	second
set	NN	set
of	IN	of
ideas	NNS	idea
I	PP	I
call	VBP	call
"	``	"
ideas	NNS	idea
in	IN	in
progress	NN	progress
.	SENT	.
"	``	"
Those	DT	those
are	VBP	be
ideas	NNS	idea
which	WDT	which
have	VBP	have
been	VBN	be
accepted	VBN	accept
but	CC	but
not	RB	not
implemented	VBN	implement
yet	RB	yet
.	SENT	.
The	DT	the
third	JJ	third
set	NN	set
of	IN	of
ideas	NNS	idea
are	VBP	be
what	WP	what
I	PP	I
call	VBP	call
as	IN	as
"	``	"
ideas	NNS	idea
that	WDT	that
we	PP	we
argue	VBP	argue
about	RB	about
"	''	"
—	:	-
those	DT	those
are	VBP	be
ideas	NNS	idea
where	WRB	where
we	PP	we
have	VBP	have
a	DT	a
fight	NN	fight
,	,	,
an	DT	an
ideological	JJ	ideological
battle	NN	battle
about	IN	about
how	WRB	how
to	TO	to
do	VB	do
things	NNS	thing
.	SENT	.
And	CC	and
the	DT	the
fourth	JJ	fourth
thing	NN	thing
,	,	,
which	WDT	which
I	PP	I
believe	VBP	believe
is	VBZ	be
most	RBS	most
important	JJ	important
,	,	,
is	VBZ	be
"	``	"
the	DT	the
ideas	NNS	idea
that	WDT	that
we	PP	we
need	VBP	need
to	TO	to
anticipate	VB	anticipate
.	SENT	.
"	''	"
Because	IN	because
when	WRB	when
you	PP	you
are	VBP	be
a	DT	a
developing	VBG	develop
country	NN	country
in	IN	in
the	DT	the
world	NN	world
where	WRB	where
you	PP	you
can	MD	can
see	VB	see
the	DT	the
problems	NNS	problem
that	IN	that
other	JJ	other
countries	NNS	country
are	VBP	be
having	VBG	have
,	,	,
you	PP	you
can	MD	can
actually	RB	actually
anticipate	VB	anticipate
what	WP	what
that	RB	that
did	VBD	do
and	CC	and
do	VB	do
things	NNS	thing
very	RB	very
differently	RB	differently
.	SENT	.
Now	RB	now
in	IN	in
India	NP	India
'	POS	'
s	JJ	<unknown>
case	NN	case
I	PP	I
believe	VBP	believe
there	EX	there
are	VBP	be
six	CD	six
ideas	NNS	idea
which	WDT	which
are	VBP	be
responsible	JJ	responsible
for	IN	for
where	WRB	where
it	PP	it
has	VBZ	have
come	VBN	come
today	NN	today
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
really	RB	really
the	DT	the
notion	NN	notion
of	IN	of
people	NNS	people
.	SENT	.
In	IN	in
the	NP	the
'	POS	'
60s	JJ	<unknown>
and	NP	and
'	POS	'
70s	NNS	<unknown>
we	PP	we
thought	VBD	think
of	IN	of
people	NNS	people
as	IN	as
a	DT	a
burden	NN	burden
.	SENT	.
We	PP	we
thought	VBD	think
of	IN	of
people	NNS	people
as	IN	as
a	DT	a
liability	NN	liability
.	SENT	.
Today	NN	today
we	PP	we
talk	VBP	talk
of	IN	of
people	NNS	people
as	IN	as
an	DT	an
asset	NN	asset
.	SENT	.
We	PP	we
talk	VBP	talk
of	IN	of
people	NNS	people
as	IN	as
human	JJ	human
capital	NN	capital
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
this	DT	this
change	NN	change
in	IN	in
the	DT	the
mindset	NN	mindset
,	,	,
of	IN	of
looking	VBG	look
at	IN	at
people	NNS	people
as	IN	as
something	NN	something
of	IN	of
a	DT	a
burden	NN	burden
to	TO	to
human	JJ	human
capital	NN	capital
,	,	,
has	VBZ	have
been	VBN	be
one	CD	one
of	IN	of
the	DT	the
fundamental	JJ	fundamental
changes	NNS	change
in	IN	in
the	DT	the
Indian	JJ	Indian
mindset	NN	mindset
.	SENT	.
And	CC	and
this	DT	this
change	NN	change
in	IN	in
thinking	VBG	think
of	IN	of
human	JJ	human
capital	NN	capital
is	VBZ	be
linked	VBN	link
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
India	NP	India
is	VBZ	be
going	VBG	go
through	IN	through
a	DT	a
demographic	JJ	demographic
dividend	NN	dividend
.	SENT	.
As	IN	as
healthcare	NN	<unknown>
improves	VBZ	improve
,	,	,
as	IN	as
infant	JJ	infant
mortality	NN	mortality
goes	VBZ	go
down	RP	down
,	,	,
fertility	NN	fertility
rates	NNS	rate
start	VBP	start
dropping	VBG	drop
.	SENT	.
And	CC	and
India	NP	India
is	VBZ	be
experiencing	VBG	experience
that	DT	that
.	SENT	.
India	NP	India
is	VBZ	be
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
lot	NN	lot
of	IN	of
young	JJ	young
people	NNS	people
with	IN	with
a	DT	a
demographic	JJ	demographic
dividend	NN	dividend
for	IN	for
the	DT	the
next	JJ	next
30	CD	@card@
years	NNS	year
.	SENT	.
What	WP	what
is	VBZ	be
unique	JJ	unique
about	IN	about
this	DT	this
demographic	JJ	demographic
dividend	NN	dividend
is	VBZ	be
that	IN	that
India	NP	India
will	MD	will
be	VB	be
the	DT	the
only	JJ	only
country	NN	country
in	IN	in
the	DT	the
world	NN	world
to	TO	to
have	VB	have
this	DT	this
demographic	JJ	demographic
dividend	NN	dividend
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
it	PP	it
will	MD	will
be	VB	be
the	DT	the
only	JJ	only
young	JJ	young
country	NN	country
in	IN	in
an	DT	an
aging	VBG	age
world	NN	world
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
very	RB	very
important	JJ	important
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
if	IN	if
you	PP	you
peel	VBP	peel
away	RB	away
the	DT	the
demographic	JJ	demographic
dividend	NN	dividend
in	IN	in
India	NP	India
,	,	,
there	EX	there
are	VBP	be
actually	RB	actually
two	CD	two
demographic	JJ	demographic
curves	NNS	curve
.	SENT	.
One	PP	one
is	VBZ	be
in	IN	in
the	DT	the
south	NN	south
and	CC	and
in	IN	in
the	DT	the
west	NN	west
of	IN	of
India	NP	India
,	,	,
which	WDT	which
is	VBZ	be
already	RB	already
going	VBG	go
to	TO	to
be	VB	be
fully	RB	fully
expensed	VBN	expense
by	IN	by
2015	CD	@card@
,	,	,
because	IN	because
in	IN	in
that	DT	that
part	NN	part
of	IN	of
the	DT	the
country	NN	country
,	,	,
the	DT	the
fertility	NN	fertility
rate	NN	rate
is	VBZ	be
almost	RB	almost
equal	JJ	equal
to	TO	to
that	DT	that
of	IN	of
a	DT	a
West	JJ	West
European	JJ	European
country	NN	country
.	SENT	.
Then	RB	then
there	EX	there
is	VBZ	be
the	DT	the
whole	JJ	whole
northern	JJ	northern
India	NP	India
,	,	,
which	WDT	which
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
bulk	NN	bulk
of	IN	of
the	DT	the
future	JJ	future
demographic	JJ	demographic
dividend	NN	dividend
.	SENT	.
But	CC	but
a	DT	a
demographic	JJ	demographic
dividend	NN	dividend
is	VBZ	be
only	RB	only
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
investment	NN	investment
in	IN	in
your	PP$	your
human	JJ	human
capital	NN	capital
.	SENT	.
Only	RB	only
if	IN	if
the	DT	the
people	NNS	people
have	VBP	have
education	NN	education
,	,	,
they	PP	they
have	VBP	have
good	JJ	good
health	NN	health
,	,	,
they	PP	they
have	VBP	have
infrastructure	NN	infrastructure
,	,	,
they	PP	they
have	VBP	have
roads	NNS	road
to	TO	to
go	VB	go
to	TO	to
work	VB	work
,	,	,
they	PP	they
have	VBP	have
lights	NNS	light
to	TO	to
study	VB	study
at	IN	at
night	NN	night
—	:	-
only	RB	only
in	IN	in
those	DT	those
cases	NNS	case
can	MD	can
you	PP	you
really	RB	really
get	VBP	get
the	DT	the
benefit	NN	benefit
of	IN	of
a	DT	a
demographic	JJ	demographic
dividend	NN	dividend
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
really	RB	really
invest	VB	invest
in	IN	in
the	DT	the
human	JJ	human
capital	NN	capital
,	,	,
the	DT	the
same	JJ	same
demographic	JJ	demographic
dividend	NN	dividend
can	MD	can
be	VB	be
a	DT	a
demographic	JJ	demographic
disaster	NN	disaster
.	SENT	.
Therefore	RB	therefore
India	NP	India
is	VBZ	be
at	IN	at
a	DT	a
critical	JJ	critical
point	NN	point
where	WRB	where
either	RB	either
it	PP	it
can	MD	can
leverage	VB	leverage
its	PP$	its
demographic	JJ	demographic
dividend	NN	dividend
or	CC	or
it	PP	it
can	MD	can
lead	VB	lead
to	TO	to
a	DT	a
demographic	JJ	demographic
disaster	NN	disaster
.	SENT	.
The	DT	the
second	JJ	second
thing	NN	thing
in	IN	in
India	NP	India
has	VBZ	have
been	VBN	be
the	DT	the
change	NN	change
in	IN	in
the	DT	the
role	NN	role
of	IN	of
entrepreneurs	NNS	entrepreneur
.	SENT	.
When	WRB	when
India	NP	India
got	VBD	get
independence	NN	independence
entrepreneurs	NNS	entrepreneur
were	VBD	be
seen	VBN	see
as	IN	as
a	DT	a
bad	JJ	bad
lot	NN	lot
,	,	,
as	IN	as
people	NNS	people
who	WP	who
would	MD	would
exploit	VB	exploit
.	SENT	.
But	CC	but
today	NN	today
,	,	,
after	IN	after
60	CD	@card@
years	NNS	year
,	,	,
because	IN	because
of	IN	of
the	DT	the
rise	NN	rise
of	IN	of
entrepreneurship	NN	entrepreneurship
,	,	,
entrepreneurs	NNS	entrepreneur
have	VBP	have
become	VBN	become
role	NN	role
models	NNS	model
,	,	,
and	CC	and
they	PP	they
are	VBP	be
contributing	VBG	contribute
hugely	RB	hugely
to	TO	to
the	DT	the
society	NN	society
.	SENT	.
This	DT	this
change	NN	change
has	VBZ	have
contributed	VBN	contribute
to	TO	to
the	DT	the
vitality	NN	vitality
and	CC	and
the	DT	the
whole	JJ	whole
economy	NN	economy
.	SENT	.
The	DT	the
third	JJ	third
big	JJ	big
thing	NN	thing
I	PP	I
believe	VBP	believe
that	WDT	that
has	VBZ	have
changed	VBN	change
India	NP	India
is	VBZ	be
our	PP$	our
attitude	NN	attitude
towards	IN	towards
the	DT	the
English	JJ	English
language	NN	language
.	SENT	.
English	JJ	English
language	NN	language
was	VBD	be
seen	VBN	see
as	IN	as
a	DT	a
language	NN	language
of	IN	of
the	DT	the
imperialists	NNS	imperialist
.	SENT	.
But	CC	but
today	NN	today
,	,	,
with	IN	with
globalization	NN	globalization
,	,	,
with	IN	with
outsourcing	NN	outsourcing
,	,	,
English	NP	English
has	VBZ	have
become	VBN	become
a	DT	a
language	NN	language
of	IN	of
aspiration	NN	aspiration
.	SENT	.
This	DT	this
has	VBZ	have
made	VBN	make
it	PP	it
something	NN	something
that	IN	that
everybody	NN	everybody
wants	VBZ	want
to	TO	to
learn	VB	learn
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
have	VBP	have
English	JJ	English
is	VBZ	be
now	RB	now
becoming	VBG	become
a	DT	a
huge	JJ	huge
strategic	JJ	strategic
asset	NN	asset
.	SENT	.
The	DT	the
next	JJ	next
thing	NN	thing
is	VBZ	be
technology	NN	technology
.	SENT	.
Forty	NN	forty
years	NNS	year
back	RB	back
,	,	,
computers	NNS	computer
were	VBD	be
seen	VBN	see
as	IN	as
something	NN	something
which	WDT	which
was	VBD	be
forbidding	VBG	forbid
,	,	,
something	NN	something
which	WDT	which
was	VBD	be
intimidating	JJ	intimidating
,	,	,
something	NN	something
that	WDT	that
reduced	VBD	reduce
jobs	NNS	job
.	SENT	.
Today	NN	today
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
country	NN	country
which	WDT	which
sells	VBZ	sell
eight	CD	eight
million	CD	million
mobile	JJ	mobile
phones	NNS	phone
a	DT	a
month	NN	month
,	,	,
of	IN	of
which	WDT	which
90	CD	@card@
percent	NN	percent
of	IN	of
those	DT	those
mobile	JJ	mobile
phones	NNS	phone
are	VBP	be
prepaid	JJ	prepaid
phones	NNS	phone
because	IN	because
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
credit	NN	credit
history	NN	history
.	SENT	.
Forty	NN	forty
percent	NN	percent
of	IN	of
those	DT	those
prepaid	JJ	prepaid
phones	NNS	phone
are	VBP	be
recharged	VBN	recharg
at	IN	at
less	JJR	less
than	IN	than
20	CD	@card@
cents	NNS	cent
at	IN	at
each	DT	each
recharge	NN	recharge
.	SENT	.
That	DT	that
is	VBZ	be
the	DT	the
scale	NN	scale
at	IN	at
which	WDT	which
technology	NN	technology
has	VBZ	have
liberated	VBN	liberate
and	CC	and
made	VBN	make
it	PP	it
accessible	JJ	accessible
.	SENT	.
And	CC	and
therefore	RB	therefore
technology	NN	technology
has	VBZ	have
gone	VBN	go
from	IN	from
being	VBG	be
seen	VBN	see
as	IN	as
something	NN	something
forbidding	VBG	forbid
and	CC	and
intimidating	VBG	intimidate
to	TO	to
something	NN	something
that	WDT	that
is	VBZ	be
empowering	VBG	empower
.	SENT	.
Twenty	CD	twenty
years	NNS	year
back	RB	back
,	,	,
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
report	NN	report
on	IN	on
bank	NN	bank
computerization	NN	computerization
,	,	,
they	PP	they
didn	NNS	<unknown>
'	POS	'
t	NN	t
name	NN	name
the	DT	the
report	NN	report
as	IN	as
a	DT	a
report	NN	report
on	IN	on
computers	NNS	computer
,	,	,
they	PP	they
call	VBP	call
them	PP	them
as	IN	as
"	``	"
ledger	NN	ledger
posting	VBG	post
machines	NNS	machine
.	SENT	.
"	``	"
They	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
the	DT	the
unions	NNS	union
to	TO	to
believe	VB	believe
that	IN	that
they	PP	they
were	VBD	be
actually	RB	actually
computers	NNS	computer
.	SENT	.
And	CC	and
when	WRB	when
they	PP	they
wanted	VBD	want
to	TO	to
have	VB	have
more	JJR	more
advanced	JJ	advanced
,	,	,
more	RBR	more
powerful	JJ	powerful
computers	NNS	computer
they	PP	they
called	VBD	call
them	PP	them
"	``	"
advanced	JJ	advanced
ledger	NN	ledger
posting	VBG	post
machines	NNS	machine
.	SENT	.
"	``	"
So	RB	so
we	PP	we
have	VBP	have
come	VBN	come
a	DT	a
long	JJ	long
way	NN	way
from	IN	from
those	DT	those
days	NNS	day
where	WRB	where
the	DT	the
telephone	NN	telephone
has	VBZ	have
become	VBN	become
an	DT	an
instrument	NN	instrument
of	IN	of
empowerment	NN	empowerment
,	,	,
and	CC	and
really	RB	really
has	VBZ	have
changed	VBN	change
the	DT	the
way	NN	way
Indians	NPS	Indians
think	VBP	think
of	IN	of
technology	NN	technology
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
think	VBP	think
the	DT	the
other	JJ	other
point	NN	point
is	VBZ	be
that	IN	that
Indians	NPS	Indians
today	RB	today
are	VBP	be
far	RB	far
more	RBR	more
comfortable	JJ	comfortable
with	IN	with
globalization	NN	globalization
.	SENT	.
Again	RB	again
,	,	,
after	IN	after
having	VBG	have
lived	VBN	live
for	IN	for
more	JJR	more
than	IN	than
200	CD	@card@
years	NNS	year
under	IN	under
the	DT	the
East	NP	East
India	NP	India
Company	NP	Company
and	CC	and
under	IN	under
imperial	JJ	imperial
rule	NN	rule
,	,	,
Indians	NPS	Indians
had	VBD	have
a	DT	a
very	RB	very
natural	JJ	natural
reaction	NN	reaction
towards	IN	towards
globalization	NN	globalization
believing	VBG	believe
it	PP	it
was	VBD	be
a	DT	a
form	NN	form
of	IN	of
imperialism	NN	imperialism
.	SENT	.
But	CC	but
today	NN	today
,	,	,
as	IN	as
Indian	JJ	Indian
companies	NNS	company
go	VBP	go
abroad	RB	abroad
,	,	,
as	IN	as
Indians	NPS	Indians
come	VBP	come
and	CC	and
work	VBP	work
all	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
Indians	NPS	Indians
have	VBP	have
gained	VBN	gain
a	DT	a
lot	NN	lot
more	JJR	more
confidence	NN	confidence
and	CC	and
have	VBP	have
realized	VBN	realize
that	IN	that
globalization	NN	globalization
is	VBZ	be
something	NN	something
they	PP	they
can	MD	can
participate	VB	participate
in	IN	in
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
demographics	NNS	demographic
are	VBP	be
in	IN	in
our	PP$	our
favor	NN	favor
,	,	,
because	IN	because
we	PP	we
are	VBP	be
the	DT	the
only	JJ	only
young	JJ	young
country	NN	country
in	IN	in
an	DT	an
aging	VBG	age
world	NN	world
,	,	,
makes	NNS	make
globalization	NN	globalization
all	PDT	all
the	DT	the
more	RBR	more
attractive	JJ	attractive
to	TO	to
Indians	NPS	Indians
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
India	NP	India
has	VBZ	have
had	VBN	have
the	DT	the
deepening	VBG	deepen
of	IN	of
its	PP$	its
democracy	NN	democracy
.	SENT	.
When	WRB	when
democracy	NN	democracy
came	VBD	come
to	TO	to
India	NP	India
60	CD	@card@
years	NNS	year
back	RB	back
it	PP	it
was	VBD	be
an	DT	an
elite	JJ	elite
concept	NN	concept
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
who	WP	who
wanted	VBD	want
to	TO	to
bring	VB	bring
in	IN	in
democracy	NN	democracy
because	IN	because
they	PP	they
wanted	VBD	want
to	TO	to
bring	VB	bring
in	IN	in
the	DT	the
idea	NN	idea
of	IN	of
universal	JJ	universal
voting	NN	voting
and	CC	and
parliament	NN	parliament
and	CC	and
constitution	NN	constitution
and	CC	and
so	RB	so
forth	RB	forth
.	SENT	.
But	CC	but
today	NN	today
democracy	NN	democracy
has	VBZ	have
become	VBN	become
a	DT	a
bottom-up	JJ	bottom-up
process	NN	process
where	WRB	where
everybody	NN	everybody
has	VBZ	have
realized	VBN	realize
the	DT	the
benefits	NNS	benefit
of	IN	of
having	VBG	have
a	DT	a
voice	NN	voice
,	,	,
the	DT	the
benefits	NNS	benefit
of	IN	of
being	VBG	be
in	IN	in
an	DT	an
open	JJ	open
society	NN	society
.	SENT	.
And	CC	and
therefore	RB	therefore
democracy	NN	democracy
has	VBZ	have
become	VBN	become
embedded	VBN	embed
.	SENT	.
I	PP	I
believe	VBP	believe
these	DT	these
six	CD	six
factors	NNS	factor
—	:	-
the	DT	the
rise	NN	rise
of	IN	of
the	DT	the
notion	NN	notion
of	IN	of
population	NN	population
as	IN	as
human	JJ	human
capital	NN	capital
,	,	,
the	DT	the
rise	NN	rise
of	IN	of
Indian	JJ	Indian
entrepreneurs	NNS	entrepreneur
,	,	,
the	DT	the
rise	NN	rise
of	IN	of
English	NP	English
as	IN	as
a	DT	a
language	NN	language
of	IN	of
aspiration	NN	aspiration
,	,	,
technology	NN	technology
as	IN	as
something	NN	something
empowering	VBG	empower
,	,	,
globalization	NN	globalization
as	IN	as
a	DT	a
positive	JJ	positive
factor	NN	factor
,	,	,
and	CC	and
the	DT	the
deepening	VBG	deepen
of	IN	of
democracy	NN	democracy
—	:	-
has	VBZ	have
contributed	VBN	contribute
to	TO	to
why	WRB	why
India	NP	India
is	VBZ	be
today	RB	today
growing	VBG	grow
at	IN	at
rates	NNS	rate
it	PP	it
has	VBZ	have
never	RB	never
seen	VBN	see
before	RB	before
.	SENT	.
But	CC	but
having	VBG	have
said	VBN	say
that	IN	that
,	,	,
then	RB	then
we	PP	we
come	VBP	come
to	TO	to
what	WP	what
I	PP	I
call	VBP	call
as	IN	as
ideas	NNS	idea
in	IN	in
progress	NN	progress
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
ideas	NNS	idea
where	WRB	where
there	EX	there
is	VBZ	be
no	DT	no
argument	NN	argument
in	IN	in
a	DT	a
society	NN	society
,	,	,
but	CC	but
you	PP	you
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
implement	VB	implement
those	DT	those
things	NNS	thing
.	SENT	.
And	CC	and
really	RB	really
there	EX	there
are	VBP	be
four	CD	four
things	NNS	thing
here	RB	here
.	SENT	.
One	PP	one
is	VBZ	be
the	DT	the
question	NN	question
of	IN	of
education	NN	education
.	SENT	.
For	IN	for
some	DT	some
reason	NN	reason
,	,	,
whatever	WDT	whatever
reason	NN	reason
—	:	-
lack	NN	lack
of	IN	of
money	NN	money
,	,	,
lack	NN	lack
of	IN	of
priorities	NNS	priority
,	,	,
because	IN	because
of	IN	of
religion	NN	religion
having	VBG	have
an	DT	an
older	JJR	old
culture	NN	culture
—	:	-
primary	JJ	primary
education	NN	education
was	VBD	be
never	RB	never
given	VBN	give
the	DT	the
focus	NN	focus
it	PP	it
required	VBD	require
.	SENT	.
But	CC	but
now	RB	now
I	PP	I
believe	VBP	believe
it	PP	it
'	''	'
s	NNS	<unknown>
reached	VBD	reach
a	DT	a
point	NN	point
where	WRB	where
it	PP	it
has	VBZ	have
become	VBN	become
very	RB	very
important	JJ	important
.	SENT	.
Unfortunately	RB	unfortunately
the	DT	the
government	NN	government
schools	NNS	school
don	NN	don
'	POS	'
t	NN	t
function	NN	function
,	,	,
so	RB	so
children	NNS	child
are	VBP	be
going	VBG	go
to	TO	to
private	JJ	private
schools	NNS	school
today	NN	today
.	SENT	.
Even	RB	even
in	IN	in
the	DT	the
slums	NNS	slum
of	IN	of
India	NP	India
more	RBR	more
than	IN	than
50	CD	@card@
percent	NN	percent
of	IN	of
urban	JJ	urban
kids	NNS	kid
are	VBP	be
going	VBG	go
into	IN	into
private	JJ	private
schools	NNS	school
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
a	DT	a
big	JJ	big
challenge	NN	challenge
in	IN	in
getting	VBG	get
the	DT	the
schools	NNS	school
to	TO	to
work	VB	work
.	SENT	.
But	CC	but
having	VBG	have
said	VBN	say
that	IN	that
,	,	,
there	EX	there
is	VBZ	be
an	DT	an
enormous	JJ	enormous
desire	NN	desire
among	IN	among
everybody	NN	everybody
,	,	,
including	VBG	include
the	DT	the
poor	JJ	poor
,	,	,
to	TO	to
educate	VB	educate
their	PP$	their
children	NNS	child
.	SENT	.
So	RB	so
I	PP	I
believe	VBP	believe
primary	JJ	primary
education	NN	education
is	VBZ	be
an	DT	an
idea	NN	idea
which	WDT	which
is	VBZ	be
arrived	VBN	arrive
but	CC	but
not	RB	not
yet	RB	yet
implemented	VBN	implement
.	SENT	.
Similarly	RB	similarly
,	,	,
infrastructure	NN	infrastructure
—	:	-
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
infrastructure	NN	infrastructure
was	VBD	be
not	RB	not
a	DT	a
priority	NN	priority
.	SENT	.
Those	DT	those
of	IN	of
you	PP	you
who	WP	who
have	VBP	have
been	VBN	be
to	TO	to
India	NP	India
have	VBP	have
seen	VBN	see
that	RB	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
certainly	RB	certainly
not	RB	not
like	IN	like
China	NP	China
.	SENT	.
But	CC	but
today	NN	today
I	PP	I
believe	VBP	believe
finally	RB	finally
infrastructure	NN	infrastructure
is	VBZ	be
something	NN	something
which	WDT	which
is	VBZ	be
agreed	VBN	agree
upon	RP	upon
and	CC	and
which	WDT	which
people	NNS	people
want	VBP	want
to	TO	to
implement	VB	implement
.	SENT	.
It	PP	it
is	VBZ	be
reflected	VBN	reflect
in	IN	in
the	DT	the
political	JJ	political
statements	NNS	statement
.	SENT	.
20	CD	@card@
years	NNS	year
back	RB	back
the	DT	the
political	JJ	political
slogan	NN	slogan
was	VBD	be
,	,	,
"	''	"
Roti	NN	roti
,	,	,
kapada	NP	<unknown>
,	,	,
makaan	NN	<unknown>
,	,	,
"	''	"
which	WDT	which
meant	VBD	mean
,	,	,
"	``	"
Food	NP	Food
,	,	,
clothing	NN	clothing
and	CC	and
shelter	NN	shelter
.	SENT	.
"	''	"
And	CC	and
today	NN	today
'	POS	'
s	JJ	<unknown>
political	JJ	political
slogan	NN	slogan
is	VBZ	be
,	,	,
"	''	"
Bijli	NP	<unknown>
,	,	,
sadak	NP	Sadak
,	,	,
pani	NP	<unknown>
,	,	,
"	''	"
which	WDT	which
means	VBZ	mean
"	``	"
Electricity	NP	Electricity
,	,	,
water	NN	water
and	CC	and
roads	NNS	road
.	SENT	.
"	''	"
And	CC	and
that	DT	that
is	VBZ	be
a	DT	a
change	NN	change
in	IN	in
the	DT	the
mindset	NN	mindset
where	WRB	where
infrastructure	NN	infrastructure
is	VBZ	be
now	RB	now
accepted	VBN	accept
.	SENT	.
So	RB	so
I	PP	I
do	VBP	do
believe	VB	believe
this	DT	this
is	VBZ	be
an	DT	an
idea	NN	idea
which	WDT	which
has	VBZ	have
arrived	VBN	arrive
,	,	,
but	CC	but
simply	RB	simply
not	RB	not
implemented	VBN	implement
.	SENT	.
The	DT	the
third	JJ	third
thing	NN	thing
is	VBZ	be
again	RB	again
