Alright	RB	alright
"	``	"
I	PP	I
think	VBP	think
you	PP	you
'	''	'
d	SYM	d
be	VB	be
a	DT	a
great	JJ	great
stay-at-home	JJ	stay-at-home
dad	NN	dad
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
Why	WRB	why
would	MD	would
you	PP	you
say	VB	say
something	NN	something
like	IN	like
that	DT	that
?	SENT	?
"	''	"
She	PP	she
said	VBD	say
,	,	,
"	``	"
Because	IN	because
babies	NNS	baby
like	IN	like
you	PP	you
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
No	UH	no
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
"	``	"
She	PP	she
was	VBD	be
like	IN	like
,	,	,
"	``	"
No	UH	no
,	,	,
they	PP	they
do	VBP	do
like	IN	like
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
would	MD	would
be	VB	be
great	JJ	great
for	IN	for
our	PP$	our
children	NNS	child
to	TO	to
see	VB	see
what	WP	what
love	NN	love
looks	VBZ	look
like	IN	like
,	,	,
coming	VBG	come
from	IN	from
a	DT	a
father	NN	father
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
like	IN	like
,	,	,
OK	UH	OK
.	SENT	.
So	RB	so
,	,	,
I	PP	I
had	VBD	have
issues	NNS	issue
with	IN	with
this	DT	this
,	,	,
because	IN	because
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
seen	VBN	see
a	DT	a
lot	NN	lot
of	IN	of
stay-at-home	JJ	stay-at-home
dads	NNS	dad
before	IN	before
and	CC	and
I	PP	I
thought	VBD	think
men	NNS	man
would	MD	would
judge	VB	judge
me	PP	me
,	,	,
so	RB	so
get	VB	get
this	DT	this
,	,	,
I	PP	I
said	VBD	say
this	DT	this
—	:	-
please	UH	please
don	VB	don
'	''	'
t	NN	t
be	VB	be
offended	VBN	offend
—	:	-
I	PP	I
said	VBD	say
,	,	,
"	``	"
Uh	UH	uh
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	WDT	that
sounds	VBZ	sound
boring	JJ	boring
.	SENT	.
And	CC	and
what	WP	what
do	VBP	do
stay-at-home	JJ	stay-at-home
moms	NNS	mom
do	VBP	do
all	DT	all
day	NN	day
,	,	,
anyway	RB	anyway
?	SENT	?
"	''	"
Audience	NN	audience
:	:	:
Ooh	NP	Ooh
!	SENT	!
She	PP	she
smiled	VBD	smile
at	IN	at
me	PP	me
a	DT	a
smile	VBP	smile
only	RB	only
a	DT	a
woman	NN	woman
full	JJ	full
of	IN	of
knowledge	NN	knowledge
can	MD	can
smile	VB	smile
and	CC	and
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
this	DT	this
should	MD	should
be	VB	be
easy	JJ	easy
for	IN	for
you	PP	you
.	SENT	.
And	CC	and
it	PP	it
will	MD	will
save	VB	save
us	PP	us
some	DT	some
money	NN	money
,	,	,
it	PP	it
seems	VBZ	seem
like	IN	like
a	DT	a
no-brainer	NN	no-brainer
.	SENT	.
"	''	"
Fast-forward	JJ	fast-forward
six	CD	six
months	NNS	month
,	,	,
I	PP	I
'	POS	'
d	NN	d
been	VBN	be
a	DT	a
stay-at-home	JJ	stay-at-home
dad	NN	dad
for	IN	for
about	RB	about
a	DT	a
week	NN	week
.	SENT	.
I	PP	I
was	VBD	be
standing	VBG	stand
in	IN	in
my	PP$	my
bathroom	NN	bathroom
,	,	,
looking	VBG	look
into	IN	into
the	DT	the
mirror	NN	mirror
crying	VBG	cry
,	,	,
tears	NNS	tear
—	:	-
running	VBG	run
all	DT	all
down	IN	down
my	PP$	my
face	NN	face
.	SENT	.
My	PP$	my
one-and-a-half-year-old	NN	<unknown>
was	VBD	be
banging	VBG	bang
on	IN	on
the	DT	the
bathroom	NN	bathroom
door	NN	door
—	:	-
because	IN	because
I	PP	I
locked	VBD	lock
them	PP	them
out	RP	out
,	,	,
you	PP	you
know	VBP	know
—	:	-
crying	VBG	cry
,	,	,
tears	NNS	tear
running	VBG	run
down	RP	down
his	PP$	his
face	NN	face
.	SENT	.
And	CC	and
my	PP$	my
newborn	NN	newborn
was	VBD	be
in	IN	in
the	DT	the
bassinet	NN	bassinet
,	,	,
crying	VBG	cry
,	,	,
tears	NNS	tear
running	VBG	run
down	RP	down
his	PP$	his
face	NN	face
.	SENT	.
I	PP	I
looked	VBD	look
at	IN	at
myself	PP	myself
in	IN	in
the	DT	the
mirror	NN	mirror
,	,	,
and	CC	and
I	PP	I
said	VBD	say
.	SENT	.
.	SENT	.
.	SENT	.
"	``	"
Which	WDT	which
friend	NN	friend
can	MD	can
you	PP	you
call	VB	call
to	TO	to
call	VB	call
in	IN	in
a	DT	a
bomb	NN	bomb
threat	NN	threat
?	SENT	?
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
get	VB	get
out	RP	out
of	IN	of
here	RB	here
.	SENT	.
"	``	"
See	VB	see
,	,	,
I	PP	I
had	VBD	have
traded	VBN	trade
my	PP$	my
manager	NN	manager
for	IN	for
my	PP$	my
children	NNS	child
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
I	PP	I
got	VBD	get
myself	PP	myself
into	IN	into
.	SENT	.
I	PP	I
thought	VBD	think
I	PP	I
knew	VBD	know
everything	NN	everything
about	IN	about
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
,	,	,
I	PP	I
knew	VBD	know
nothing	NN	nothing
at	IN	at
all	DT	all
.	SENT	.
Because	IN	because
even	RB	even
though	IN	though
my	PP$	my
manager	NN	manager
was	VBD	be
—	:	-
well	RB	well
,	,	,
at	IN	at
least	JJS	least
my	PP$	my
children	NNS	child
were	VBD	be
a	DT	a
lot	NN	lot
cuter	JJR	cut
than	IN	than
my	PP$	my
manager	NN	manager
,	,	,
they	PP	they
were	VBD	be
just	RB	just
as	IN	as
demanding	VBG	demand
.	SENT	.
Child	NN	child
:	:	:
Wipe	VB	wipe
my	PP$	my
butt	NN	butt
.	SENT	.
Papa	NP	Papa
,	,	,
wipe	VBP	wipe
my	PP$	my
butt	NN	butt
.	SENT	.
Wipe	VB	wipe
my	PP$	my
butt	NN	butt
.	SENT	.
GH	NP	GH
:	:	:
What	WP	what
had	VBD	have
I	PP	I
gotten	VBN	get
myself	PP	myself
into	IN	into
?	SENT	?
I	PP	I
thought	VBD	think
I	PP	I
knew	VBD	know
everything	NN	everything
about	IN	about
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
—	:	-
in	IN	in
fact	NN	fact
,	,	,
I	PP	I
knew	VBD	know
nothing	NN	nothing
.	SENT	.
I	PP	I
thought	VBD	think
that	IN	that
all	DT	all
I	PP	I
had	VBD	have
to	TO	to
do	VB	do
was	VBD	be
feed	VB	feed
them	PP	them
,	,	,
change	VB	change
their	PP$	their
diapers	NNS	diaper
,	,	,
and	CC	and
they	PP	they
'	POS	'
d	NN	d
be	VB	be
fine	JJ	fine
.	SENT	.
Like	IN	like
,	,	,
I	PP	I
really	RB	really
thought	VBD	think
that	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
"	''	"
Sesame	NP	Sesame
Street	NP	Street
"	''	"
on	IN	on
TV	NN	TV
,	,	,
keep	VB	keep
them	PP	them
distracted	VBN	distract
,	,	,
apple	NN	apple
sauce	NN	sauce
in	IN	in
a	DT	a
bowl	NN	bowl
,	,	,
milk	NN	milk
in	IN	in
a	DT	a
bottle	NN	bottle
,	,	,
they	PP	they
'	POS	'
d	NN	d
be	VB	be
fine	JJ	fine
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
leave	VBP	leave
children	NNS	child
alone	RB	alone
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
get	VBP	get
into	IN	into
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
mischief	NN	mischief
.	SENT	.
Child	NN	child
:	:	:
Hi	UH	hi
.	SENT	.
GH	NP	GH
:	:	:
Where	WRB	where
is	VBZ	be
the	DT	the
powder	NN	powder
?	SENT	?
Child	NN	child
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
GH	NP	GH
:	:	:
Well	UH	well
,	,	,
where	WRB	where
did	VBD	do
you	PP	you
put	VBD	put
it	PP	it
,	,	,
where	WRB	where
did	VBD	do
it	PP	it
—	:	-
Who	WP	who
did	VBD	do
it	PP	it
?	SENT	?
Child	NN	child
1	CD	@card@
:	:	:
No	RB	no
,	,	,
you	PP	you
did	VBD	do
it	PP	it
!	SENT	!
Child	NN	child
2	CD	@card@
:	:	:
No	RB	no
,	,	,
you	PP	you
did	VBD	do
it	PP	it
!	SENT	!
Child	NN	child
1	CD	@card@
:	:	:
No	RB	no
,	,	,
you	PP	you
did	VBD	do
it	PP	it
!	SENT	!
Child	NN	child
2	CD	@card@
:	:	:
No	RB	no
,	,	,
you	PP	you
did	VBD	do
it	PP	it
!	SENT	!
GH	NP	GH
:	:	:
You	PP	you
know	VBP	know
what	WP	what
else	RB	else
I	PP	I
thought	VBD	think
I	PP	I
knew	VBD	know
about	IN	about
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
?	SENT	?
I	PP	I
thought	VBD	think
that	IN	that
all	DT	all
I	PP	I
had	VBD	have
to	TO	to
do	VB	do
was	VBD	be
take	VB	take
them	PP	them
to	TO	to
the	DT	the
park	NN	park
once	IN	once
a	DT	a
week	NN	week
,	,	,
because	IN	because
if	IN	if
I	PP	I
took	VBD	take
them	PP	them
to	TO	to
the	DT	the
park	NN	park
once	IN	once
a	DT	a
week	NN	week
,	,	,
they	PP	they
'	POS	'
d	NN	d
be	VB	be
fine	JJ	fine
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
knew	VBD	know
nothing	NN	nothing
at	IN	at
all	DT	all
.	SENT	.
OK	UH	OK
.	SENT	.
If	IN	if
you	PP	you
take	VBP	take
kids	NNS	kid
to	TO	to
park	VB	park
every	DT	every
day	NN	day
then	RB	then
that	IN	that
means	NNS	mean
they	PP	they
get	VBP	get
dirty	VB	dirty
every	DT	every
day	NN	day
.	SENT	.
If	IN	if
they	PP	they
got	VBD	get
dirty	VB	dirty
every	DT	every
day	NN	day
,	,	,
they	PP	they
need	VBP	need
baths	NNS	bath
every	DT	every
day	NN	day
,	,	,
if	IN	if
they	PP	they
got	VBD	get
baths	NNS	bath
every	DT	every
day	NN	day
—	:	-
I	PP	I
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
think	VBP	think
you	PP	you
understand	VB	understand
,	,	,
see	VB	see
,	,	,
having	VBG	have
two	CD	two
kids	NNS	kid
under	IN	under
two	CD	two
,	,	,
you	PP	you
end	VBP	end
up	RP	up
changing	VBG	change
over	IN	over
20	CD	@card@
dirty	JJ	dirty
diapers	NNS	diaper
a	DT	a
day	NN	day
,	,	,
OK	UH	OK
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
give	VBP	give
them	PP	them
a	DT	a
bath	NN	bath
,	,	,
that	WDT	that
'	POS	'
s	NN	S
just	RB	just
more	JJR	more
nakedness	NN	nakedness
.	SENT	.
And	CC	and
a	DT	a
higher	JJR	high
probability	NN	probability
of	IN	of
getting	VBG	get
peed	VBN	pee
on	RP	on
,	,	,
and	CC	and
no	DT	no
one	CD	one
likes	NNS	like
getting	VBG	get
peed	VBN	pee
on	RP	on
,	,	,
even	RB	even
if	IN	if
it	PP	it
'	POS	'
s	NN	S
from	IN	from
a	DT	a
baby	NN	baby
.	SENT	.
But	CC	but
I	PP	I
read	VBP	read
this	DT	this
article	NN	article
by	IN	by
Father	NP	Father
Lee	NP	Lee
which	WDT	which
cites	VBZ	cite
a	DT	a
survey	NN	survey
done	VBN	do
by	IN	by
two	CD	two
detergent	NN	detergent
companies	NNS	company
,	,	,
Omo	NP	Omo
and	CC	and
Persil	NP	Persil
.	SENT	.
And	CC	and
they	PP	they
did	VBD	do
this	DT	this
study	NN	study
and	CC	and
it	PP	it
said	VBD	say
,	,	,
that	IN	that
at	IN	at
two	CD	two
hours	NNS	hour
a	DT	a
day	NN	day
,	,	,
prisoners	NNS	prisoner
get	VBP	get
more	RBR	more
outside	JJ	outside
time	NN	time
than	IN	than
children	NNS	child
.	SENT	.
That	IN	that
convicted	VBN	convict
me	PP	me
and	CC	and
so	RB	so
we	PP	we
went	VBD	go
outside	JJ	outside
.	SENT	.
GH	NP	GH
:	:	:
See	VBP	see
,	,	,
I	PP	I
knew	VBD	know
nothing	NN	nothing
about	IN	about
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
,	,	,
and	CC	and
once	RB	once
I	PP	I
embraced	VBD	embrace
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
knew	VBD	know
nothing	NN	nothing
,	,	,
I	PP	I
began	VBD	begin
to	TO	to
learn	VB	learn
from	IN	from
my	PP$	my
new	JJ	new
managers	NNS	manager
.	SENT	.
And	CC	and
I	PP	I
always	RB	always
was	VBD	be
told	VBN	tell
that	IN	that
as	IN	as
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
,	,	,
you	PP	you
get	VBP	get
no	RB	no
sleep	VB	sleep
.	SENT	.
Or	CC	or
as	IN	as
a	DT	a
parent	NN	parent
in	IN	in
general	JJ	general
,	,	,
you	PP	you
get	VBP	get
no	RB	no
sleep	VB	sleep
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
,	,	,
because	IN	because
if	IN	if
you	PP	you
sleep	VBP	sleep
when	WRB	when
they	PP	they
do	VBP	do
,	,	,
you	PP	you
actually	RB	actually
can	MD	can
get	VB	get
some	DT	some
sleep	NN	sleep
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
else	RB	else
I	PP	I
thought	VBD	think
as	IN	as
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
?	SENT	?
I	PP	I
though	RB	though
I	PP	I
knew	VBD	know
that	IN	that
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
teach	VB	teach
kids	NNS	kid
right	RB	right
from	IN	from
wrong	JJ	wrong
was	VBD	be
to	TO	to
discipline	VB	discipline
them	PP	them
,	,	,
because	IN	because
that	WDT	that
would	MD	would
make	VB	make
sure	JJ	sure
they	PP	they
understood	VBD	understand
right	RB	right
from	IN	from
wrong	JJ	wrong
,	,	,
the	DT	the
pain	NN	pain
,	,	,
the	DT	the
fear	NN	fear
—	:	-
that	WDT	that
would	MD	would
teach	VB	teach
them	PP	them
.	SENT	.
But	CC	but
the	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
teach	VB	teach
my	PP$	my
children	NNS	child
right	RB	right
from	IN	from
wrong	JJ	wrong
is	VBZ	be
to	TO	to
teach	VB	teach
them	PP	them
.	SENT	.
Take	VB	take
out	IN	out
a	DT	a
whiteboard	NN	whiteboard
and	CC	and
draw	VB	draw
pictures	NNS	picture
and	CC	and
make	VB	make
connections	NNS	connection
that	IN	that
they	PP	they
can	MD	can
understand	VB	understand
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
best	JJS	good
way	NN	way
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
these	DT	these
images	NNS	image
you	PP	you
'	''	'
re	IN	re
seeing	VBG	see
are	VBP	be
coming	VBG	come
from	IN	from
my	PP$	my
YouTube	NP	<unknown>
channel	NN	channel
,	,	,
"	''	"
Beleaf	NP	<unknown>
in	IN	in
Fatherhood	NN	fatherhood
.	SENT	.
"	``	"
I	PP	I
document	VBP	document
the	DT	the
misadventures	NNS	misadventure
of	IN	of
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
dad	NN	dad
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
perfect	JJ	perfect
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
showing	VBG	show
that	IN	that
I	NP	I
'	POS	'
m	NN	m
trying	VBG	try
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
trying	VBG	try
to	TO	to
be	VB	be
an	DT	an
example	NN	example
but	CC	but
just	RB	just
proof	JJ	proof
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
for	IN	for
whoever	WP	whoever
else	RB	else
is	VBZ	be
doing	VBG	do
this	DT	this
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
also	RB	also
knew	VBD	know
about	IN	about
being	VBG	be
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
?	SENT	?
I	PP	I
knew	VBD	know
that	IN	that
children	NNS	child
needed	VBD	need
love	NN	love
,	,	,
but	CC	but
I	PP	I
just	RB	just
didn	NN	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
love	VBP	love
looked	VBN	look
like	IN	like
.	SENT	.
GH	NP	GH
:	:	:
It	PP	it
turns	VBZ	turn
out	IN	out
putting	VBG	put
diapers	NNS	diaper
on	IN	on
your	PP$	your
head	NN	head
and	CC	and
play-fighting	NN	play-fighting
until	IN	until
the	DT	the
kids	NNS	kid
fall	VBP	fall
asleep	RB	asleep
is	VBZ	be
a	DT	a
great	JJ	great
way	NN	way
to	TO	to
love	VB	love
your	PP$	your
kids	NNS	kid
.	SENT	.
So	RB	so
,	,	,
I	PP	I
was	VBD	be
learning	VBG	learn
a	DT	a
lot	NN	lot
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
all	DT	all
fun	NN	fun
and	CC	and
boogers	NNS	<unknown>
,	,	,
is	VBZ	be
it	PP	it
?	SENT	?
I	PP	I
asked	VBD	ask
a	DT	a
group	NN	group
of	IN	of
stay-at-home	JJ	stay-at-home
parents	NNS	parent
what	WP	what
'	POS	'
s	NN	S
the	DT	the
hardest	JJS	hard
thing	NN	thing
,	,	,
the	DT	the
thing	NN	thing
they	PP	they
underestimated	VBD	underestimate
most	JJS	most
about	IN	about
being	VBG	be
stay-at-home	JJ	stay-at-home
parents	NNS	parent
,	,	,
and	CC	and
they	PP	they
said	VBD	say
that	IN	that
the	DT	the
loneliness	NN	loneliness
was	VBD	be
one	CD	one
of	IN	of
those	DT	those
things	NNS	thing
.	SENT	.
Not	RB	not
having	VBG	have
someone	NN	someone
else	RB	else
to	TO	to
talk	VB	talk
to	TO	to
,	,	,
feeling	VBG	feel
inadequate	JJ	inadequate
,	,	,
feeling	VBG	feel
selfish	JJ	selfish
for	IN	for
wanting	VBG	want
me-time	NN	<unknown>
.	SENT	.
And	CC	and
nursery	NN	nursery
rhymes	NNS	rhyme
suck	VBP	suck
.	SENT	.
Like	IN	like
,	,	,
really	RB	really
,	,	,
"	''	"
Mary	NP	Mary
Had	VBD	have
a	DT	a
Little	NP	Little
Lamb	NP	Lamb
"	''	"
is	VBZ	be
cool	JJ	cool
the	DT	the
first	JJ	first
couple	NN	couple
of	IN	of
times	NNS	time
,	,	,
but	CC	but
after	IN	after
all	PDT	all
these	DT	these
years	NNS	year
on	IN	on
repeat	NN	repeat
,	,	,
you	PP	you
wonder	VBP	wonder
why	WRB	why
Mary	NP	Mary
just	RB	just
ain	NN	ain
'	POS	'
t	NN	t
make	VB	make
herself	PP	herself
a	DT	a
wool	NN	wool
skirt	NN	skirt
and	CC	and
have	VB	have
lamb	NN	lamb
chops	NNS	chop
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
?	SENT	?
The	DT	the
one	CD	one
thing	NN	thing
I	PP	I
underestimated	VBD	underestimate
most	JJS	most
was	VBD	be
the	DT	the
emotional	JJ	emotional
fatigue	NN	fatigue
.	SENT	.
See	VB	see
,	,	,
I	PP	I
was	VBD	be
an	DT	an
artist	NN	artist
,	,	,
so	IN	so
I	PP	I
'	POS	'
d	NN	d
write	VB	write
songs	NNS	song
for	IN	for
other	JJ	other
artists	NNS	artist
.	SENT	.
Because	IN	because
that	DT	that
'	''	'
s	NN	S
how	WRB	how
I	PP	I
made	VBD	make
money	NN	money
from	IN	from
home	NN	home
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
with	IN	with
your	PP$	your
kids	NNS	kid
all	DT	all
day	NN	day
,	,	,
you	PP	you
become	VBP	become
emotionally	RB	emotionally
tired	JJ	tired
.	SENT	.
And	CC	and
that	DT	that
means	VBZ	mean
all	PDT	all
your	PP$	your
creativity	NN	creativity
comes	VBZ	come
from	IN	from
your	PP$	your
emotions	NNS	emotion
,	,	,
so	RB	so
you—re	NN	<unknown>
just	RB	just
tapped	VBD	tap
out	RP	out
,	,	,
you	PP	you
'	POS	'
re	NN	re
done	VBN	do
.	SENT	.
So	RB	so
you	PP	you
become	VBP	become
done	VBN	do
with	IN	with
time	NN	time
.	SENT	.
Nap	NP	Nap
time	NN	time
,	,	,
time-	JJ	time-
tables	NNS	table
,	,	,
time-out	NN	time-out
,	,	,
time	NN	time
like	IN	like
to	TO	to
cook	VB	cook
,	,	,
with	IN	with
all	DT	all
types	NNS	type
of	IN	of
time	NN	time
,	,	,
you	PP	you
'	POS	'
re	NN	re
just	RB	just
done	VBN	do
.	SENT	.
You	PP	you
had	VBD	have
no	DT	no
time	NN	time
for	IN	for
anything	NN	anything
.	SENT	.
And	CC	and
some	DT	some
people	NNS	people
are	VBP	be
done	VBN	do
with	IN	with
their	PP$	their
spouse	NN	spouse
as	IN	as
a	DT	a
stay-at-home	JJ	stay-at-home
parent	NN	parent
.	SENT	.
Because	IN	because
the	DT	the
spouse	NN	spouse
just	RB	just
doesn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
it	PP	it
.	SENT	.
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
a	DT	a
friend	NN	friend
of	IN	of
mine	NN	mine
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
Man	NN	man
,	,	,
I	PP	I
come	VBP	come
home	NN	home
from	IN	from
work	NN	work
,	,	,
drawers	NNS	drawer
are	VBP	be
open	JJ	open
,	,	,
clothes	NNS	clothes
hanging	VBG	hang
outside	IN	outside
the	DT	the
drawers	NN	drawers
,	,	,
the	DT	the
kids	NNS	kid
are	VBP	be
still	RB	still
