Wow	NN	wow
nuclear	JJ	nuclear
energy	NN	energy
:	:	:
fission	NN	fission
and	CC	and
fusion	NN	fusion
.	SENT	.
Now	RB	now
in	IN	in
fission	NN	fission
,	,	,
you	PP	you
take	VBP	take
a	DT	a
big	JJ	big
nucleus	NN	nucleus
,	,	,
you	PP	you
break	VBP	break
it	PP	it
in	IN	in
part	NN	part
,	,	,
in	IN	in
two	CD	two
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
lots	NNS	lot
of	IN	of
energy	NN	energy
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
the	DT	the
nuclear	JJ	nuclear
reactor	NN	reactor
today	NN	today
works	NNS	work
.	SENT	.
It	PP	it
works	VBZ	work
pretty	RB	pretty
good	JJ	good
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	NN	S
fusion	NN	fusion
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
like	VBP	like
fusion	NN	fusion
.	SENT	.
Fusion	NN	fusion
'	POS	'
s	NN	S
much	RB	much
better	RBR	well
.	SENT	.
So	RB	so
you	PP	you
take	VBP	take
two	CD	two
small	JJ	small
nuclei	NNS	nucleus
,	,	,
you	PP	you
put	VBD	put
it	PP	it
together	RB	together
,	,	,
and	CC	and
you	PP	you
make	VBP	make
helium	NN	helium
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
very	RB	very
nice	JJ	nice
.	SENT	.
It	PP	it
makes	VBZ	make
lots	NNS	lot
of	IN	of
energy	NN	energy
.	SENT	.
This	DT	this
is	VBZ	be
nature	NN	nature
'	POS	'
s	JJ	<unknown>
way	NN	way
of	IN	of
producing	VBG	produce
energy	NN	energy
.	SENT	.
The	DT	the
sun	NN	sun
and	CC	and
all	PDT	all
the	DT	the
stars	NNS	star
in	IN	in
the	DT	the
universe	NN	universe
run	VBN	run
on	IN	on
fusion	NN	fusion
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
fusion	NN	fusion
plant	NN	plant
would	MD	would
actually	RB	actually
be	VB	be
quite	RB	quite
cost-effective	JJ	cost-effective
and	CC	and
it	PP	it
also	RB	also
would	MD	would
be	VB	be
quite	RB	quite
safe	JJ	safe
.	SENT	.
It	PP	it
only	RB	only
produces	VBZ	produce
short	JJ	short
term	NN	term
radioactive	JJ	radioactive
waste	NN	waste
,	,	,
and	CC	and
it	PP	it
cannot	MD	can
melt	VB	melt
down	RP	down
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
fuel	NN	fuel
from	IN	from
fusion	NN	fusion
comes	VBZ	come
from	IN	from
the	DT	the
ocean	NN	ocean
.	SENT	.
In	IN	in
the	DT	the
ocean	NN	ocean
,	,	,
you	PP	you
can	MD	can
extract	VB	extract
the	DT	the
fuel	NN	fuel
for	IN	for
about	RB	about
one	CD	one
thousandth	JJ	thousandth
of	IN	of
a	DT	a
cent	NN	cent
per	IN	per
kilowatt-hour	NN	kilowatt-hour
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
very	RB	very
,	,	,
very	RB	very
cheap	JJ	cheap
.	SENT	.
And	CC	and
if	IN	if
the	DT	the
whole	JJ	whole
planet	NN	planet
would	MD	would
run	VB	run
on	IN	on
fusion	NN	fusion
,	,	,
we	PP	we
could	MD	could
extract	VB	extract
the	DT	the
fuel	NN	fuel
from	IN	from
the	DT	the
ocean	NN	ocean
.	SENT	.
It	PP	it
would	MD	would
run	VB	run
for	IN	for
billions	NNS	billion
and	CC	and
billions	NNS	billion
of	IN	of
years	NNS	year
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
fusion	NN	fusion
is	VBZ	be
so	RB	so
great	JJ	great
,	,	,
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
we	PP	we
have	VBP	have
it	PP	it
?	SENT	?
Where	WRB	where
is	VBZ	be
it	PP	it
?	SENT	?
Well	RB	well
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
always	RB	always
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
catch	NN	catch
.	SENT	.
Fusion	NN	fusion
is	VBZ	be
really	RB	really
,	,	,
really	RB	really
hard	JJ	hard
to	TO	to
do	VB	do
.	SENT	.
So	IN	so
the	DT	the
problem	NN	problem
is	VBZ	be
,	,	,
those	DT	those
two	CD	two
nuclei	NNS	nucleus
,	,	,
they	PP	they
are	VBP	be
both	DT	both
positively	RB	positively
charged	VBN	charge
,	,	,
so	RB	so
they	PP	they
don	VB	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
fuse	VB	fuse
.	SENT	.
They	PP	they
go	VBP	go
like	IN	like
this	DT	this
.	SENT	.
They	PP	they
go	VBP	go
like	IN	like
that	DT	that
.	SENT	.
So	RB	so
in	IN	in
order	NN	order
to	TO	to
make	VB	make
them	PP	them
fuse	VB	fuse
,	,	,
you	PP	you
have	VBP	have
to	TO	to
throw	VB	throw
them	PP	them
at	IN	at
each	DT	each
other	JJ	other
with	IN	with
great	JJ	great
speed	NN	speed
,	,	,
and	CC	and
if	IN	if
they	PP	they
have	VBP	have
enough	JJ	enough
speed	NN	speed
,	,	,
they	PP	they
will	MD	will
go	VB	go
against	IN	against
the	DT	the
repulsion	NN	repulsion
,	,	,
they	PP	they
will	MD	will
touch	VB	touch
,	,	,
and	CC	and
they	PP	they
will	MD	will
make	VB	make
energy	NN	energy
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
particle	NN	particle
speed	NN	speed
is	VBZ	be
a	DT	a
measure	NN	measure
of	IN	of
the	DT	the
temperature	NN	temperature
.	SENT	.
So	IN	so
the	DT	the
temperature	NN	temperature
required	VBN	require
for	IN	for
fusion	NN	fusion
is	VBZ	be
150	CD	@card@
billion	NN	billion
degrees	NNS	degree
C	NP	C
.	SENT	.
This	DT	this
is	VBZ	be
rather	RB	rather
warm	JJ	warm
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
fusion	NN	fusion
is	VBZ	be
so	RB	so
hard	JJ	hard
to	TO	to
do	VB	do
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
caught	VBD	catch
my	PP$	my
little	JJ	little
fusion	NN	fusion
bug	NN	bug
when	WRB	when
I	PP	I
did	VBD	do
my	PP$	my
Ph	NN	Ph
.	SENT	.
D	LS	d
.	SENT	.
here	RB	here
at	IN	at
the	DT	the
University	NP	University
of	IN	of
British	NP	British
Columbia	NP	Columbia
,	,	,
and	CC	and
then	RB	then
I	PP	I
got	VBD	get
a	DT	a
big	JJ	big
job	NN	job
in	IN	in
a	DT	a
laser	NN	laser
printer	NN	printer
place	NN	place
making	VBG	make
printing	NN	printing
for	IN	for
the	DT	the
printing	NN	printing
industry	NN	industry
.	SENT	.
I	PP	I
worked	VBD	work
there	RB	there
for	IN	for
10	CD	@card@
years	NNS	year
,	,	,
and	CC	and
I	PP	I
got	VBD	get
a	DT	a
little	JJ	little
bit	NN	bit
bored	VBN	bore
,	,	,
and	CC	and
then	RB	then
I	PP	I
was	VBD	be
40	CD	@card@
,	,	,
and	CC	and
I	PP	I
got	VBD	get
a	DT	a
mid-life	JJ	mid-life
crisis	NN	crisis
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
usual	JJ	usual
thing	NN	thing
:	:	:
Who	WP	who
am	VBP	be
I	PP	I
?	SENT	?
What	WP	what
should	MD	should
I	PP	I
do	VB	do
?	SENT	?
What	WP	what
should	MD	should
I	PP	I
do	VB	do
?	SENT	?
What	WP	what
can	MD	can
I	PP	I
do	VB	do
?	SENT	?
And	CC	and
then	RB	then
I	PP	I
was	VBD	be
looking	VBG	look
at	IN	at
my	PP$	my
good	JJ	good
work	NN	work
,	,	,
and	CC	and
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
is	VBZ	be
I	PP	I
was	VBD	be
cutting	VBG	cut
the	DT	the
forests	NNS	forest
around	RB	around
here	RB	here
in	IN	in
B	NP	B
.	SENT	.
C	LS	c
.	SENT	.
and	CC	and
burying	VBG	bury
you	PP	you
,	,	,
all	RB	all
of	IN	of
you	PP	you
,	,	,
in	IN	in
millions	NNS	million
of	IN	of
tons	NNS	ton
of	IN	of
junk	NN	junk
mail	NN	mail
.	SENT	.
Now	RB	now
,	,	,
that	WDT	that
was	VBD	be
not	RB	not
very	RB	very
satisfactory	JJ	satisfactory
.	SENT	.
So	IN	so
some	DT	some
people	NNS	people
buy	VBP	buy
a	DT	a
Porsche	NP	Porsche
.	SENT	.
Others	NNS	other
get	VBP	get
a	DT	a
mistress	NN	mistress
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ve	NN	ve
decided	VBD	decide
to	TO	to
get	VB	get
my	PP$	my
bit	NN	bit
to	TO	to
solve	VB	solve
global	JJ	global
warming	NN	warming
and	CC	and
make	VB	make
fusion	NN	fusion
happen	VB	happen
.	SENT	.
Now	RB	now
,	,	,
so	IN	so
the	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
did	VBD	do
is	VBZ	be
I	PP	I
looked	VBD	look
into	IN	into
the	DT	the
literature	NN	literature
and	CC	and
I	PP	I
see	VBP	see
,	,	,
how	WRB	how
does	VBZ	do
fusion	NN	fusion
work	NN	work
?	SENT	?
So	IN	so
the	DT	the
physicists	NNS	physicist
have	VBP	have
been	VBN	be
working	VBG	work
on	IN	on
fusion	NN	fusion
for	IN	for
a	DT	a
while	NN	while
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
ways	NNS	way
they	PP	they
do	VBP	do
it	PP	it
is	VBZ	be
with	IN	with
something	NN	something
called	VBD	call
a	DT	a
tokamak	NN	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
ring	NN	ring
of	IN	of
magnetic	JJ	magnetic
coil	NN	coil
,	,	,
superconducting	JJ	superconducting
coil	NN	coil
,	,	,
and	CC	and
it	PP	it
makes	VBZ	make
a	DT	a
magnetic	JJ	magnetic
field	NN	field
in	IN	in
a	DT	a
ring	NN	ring
like	IN	like
this	DT	this
,	,	,
and	CC	and
the	DT	the
hot	JJ	hot
gas	NN	gas
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
which	WDT	which
is	VBZ	be
called	VBN	call
a	DT	a
plasma	NN	plasma
,	,	,
is	VBZ	be
trapped	VBN	trap
.	SENT	.
The	DT	the
particles	NNS	particle
go	VBP	go
round	NN	round
and	CC	and
round	NN	round
and	CC	and
round	VB	round
the	DT	the
circle	NN	circle
at	IN	at
the	DT	the
wall	NN	wall
.	SENT	.
Then	RB	then
they	PP	they
throw	VBP	throw
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
heat	NN	heat
in	IN	in
there	RB	there
to	TO	to
try	VB	try
to	TO	to
cook	VB	cook
that	IN	that
to	TO	to
fusion	NN	fusion
temperature	NN	temperature
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
inside	NN	inside
of	IN	of
one	CD	one
of	IN	of
those	DT	those
donuts	NNS	donut
,	,	,
and	CC	and
on	IN	on
the	DT	the
right	JJ	right
side	NN	side
you	PP	you
can	MD	can
see	VB	see
the	DT	the
fusion	NN	fusion
plasma	NN	plasma
in	IN	in
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
second	JJ	second
way	NN	way
of	IN	of
doing	VBG	do
this	DT	this
is	VBZ	be
by	IN	by
using	VBG	use
laser	NN	laser
fusion	NN	fusion
.	SENT	.
Now	RB	now
in	IN	in
laser	NN	laser
fusion	NN	fusion
,	,	,
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
ping	NN	ping
pong	NN	pong
ball	NN	ball
,	,	,
you	PP	you
put	VBD	put
the	DT	the
fusion	NN	fusion
fuel	NN	fuel
in	IN	in
the	DT	the
center	NN	center
,	,	,
and	CC	and
you	PP	you
zap	VBP	zap
that	IN	that
with	IN	with
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
laser	NN	laser
around	IN	around
it	PP	it
.	SENT	.
The	DT	the
lasers	NNS	laser
are	VBP	be
very	RB	very
strong	JJ	strong
,	,	,
and	CC	and
it	PP	it
squashes	VBZ	squash
the	DT	the
ping	NN	ping
pong	NN	pong
ball	NN	ball
really	RB	really
,	,	,
really	RB	really
quick	JJ	quick
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
squeeze	VBP	squeeze
something	NN	something
hard	RB	hard
enough	RB	enough
,	,	,
it	PP	it
gets	VBZ	get
hotter	JJR	hot
,	,	,
and	CC	and
if	IN	if
it	PP	it
gets	VBZ	get
really	RB	really
,	,	,
really	RB	really
fast	RB	fast
,	,	,
and	CC	and
they	PP	they
do	VBP	do
that	IN	that
in	IN	in
one	CD	one
billionth	NN	billionth
of	IN	of
a	DT	a
second	JJ	second
,	,	,
it	PP	it
makes	VBZ	make
enough	JJ	enough
energy	NN	energy
and	CC	and
enough	JJ	enough
heat	NN	heat
to	TO	to
make	VB	make
fusion	NN	fusion
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
inside	NN	inside
of	IN	of
one	CD	one
such	JJ	such
machine	NN	machine
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
laser	NN	laser
beam	NN	beam
and	CC	and
the	DT	the
pellet	NN	pellet
in	IN	in
the	DT	the
center	NN	center
.	SENT	.
Now	RB	now
,	,	,
most	JJS	most
people	NNS	people
think	VBP	think
that	IN	that
fusion	NN	fusion
is	VBZ	be
going	VBG	go
nowhere	RB	nowhere
.	SENT	.
They	PP	they
always	RB	always
think	VBP	think
that	IN	that
the	DT	the
physicists	NNS	physicist
are	VBP	be
in	IN	in
their	PP$	their
lab	NN	lab
and	CC	and
they	PP	they
'	POS	'
re	NN	re
working	VBG	work
hard	JJ	hard
,	,	,
but	CC	but
nothing	NN	nothing
is	VBZ	be
happening	VBG	happen
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
actually	RB	actually
not	RB	not
quite	RB	quite
true	JJ	true
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
curve	NN	curve
of	IN	of
the	DT	the
gain	NN	gain
in	IN	in
fusion	NN	fusion
over	IN	over
the	DT	the
last	JJ	last
30	CD	@card@
years	NNS	year
or	CC	or
so	RB	so
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
we	PP	we
'	POS	'
re	NN	re
making	VBG	make
now	RB	now
about	IN	about
10	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
more	JJR	more
fusion	NN	fusion
than	IN	than
we	PP	we
used	VBN	use
to	TO	to
when	WRB	when
we	PP	we
started	VBD	start
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
good	JJ	good
gain	NN	gain
.	SENT	.
As	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
it	PP	it
'	POS	'
s	NN	S
as	RB	as
fast	RB	fast
as	IN	as
the	DT	the
fabled	JJ	fabled
Moore	NP	Moore
'	POS	'
s	NN	S
Law	NN	law
that	WDT	that
defined	VBD	define
the	DT	the
amount	NN	amount
of	IN	of
transistors	NNS	transistor
they	PP	they
can	MD	can
put	VB	put
on	IN	on
a	DT	a
chip	NN	chip
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
dot	NN	dot
here	RB	here
is	VBZ	be
called	VBN	call
JET	NN	jet
,	,	,
the	DT	the
Joint	NP	Joint
European	JJ	European
Torus	NN	torus
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
tokamak	NN	<unknown>
donut	NN	donut
in	IN	in
Europe	NP	Europe
,	,	,
and	CC	and
this	DT	this
machine	NN	machine
in	IN	in
1997	CD	@card@
produced	VBD	produce
16	CD	@card@
megawatts	NNS	megawatt
of	IN	of
fusion	NN	fusion
power	NN	power
with	IN	with
17	CD	@card@
megawatts	NNS	megawatt
of	IN	of
heat	NN	heat
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
say	VBP	say
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
much	RB	much
use	VB	use
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
pretty	RB	pretty
close	JJ	close
,	,	,
considering	VBG	consider
we	PP	we
can	MD	can
get	VB	get
about	IN	about
10	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
more	RBR	more
than	IN	than
we	PP	we
started	VBD	start
.	SENT	.
The	DT	the
second	JJ	second
dot	NN	dot
here	RB	here
is	VBZ	be
the	DT	the
NIF	NN	NIF
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
National	NP	National
Ignition	NN	ignition
Facility	NP	Facility
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
laser	NN	laser
machine	NN	machine
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
and	CC	and
last	JJ	last
month	NN	month
they	PP	they
announced	VBD	announce
with	IN	with
quite	PDT	quite
a	DT	a
bit	NN	bit
of	IN	of
noise	NN	noise
that	IN	that
they	PP	they
had	VBD	have
managed	VBN	manage
to	TO	to
make	VB	make
more	JJR	more
fusion	NN	fusion
energy	NN	energy
from	IN	from
the	DT	the
fusion	NN	fusion
than	IN	than
the	DT	the
energy	NN	energy
that	IN	that
they	PP	they
put	VBD	put
in	IN	in
the	DT	the
center	NN	center
of	IN	of
the	DT	the
ping	NN	ping
pong	NN	pong
ball	NN	ball
.	SENT	.
Now	RB	now
,	,	,
that	IN	that
'	POS	'
s	NN	S
not	RB	not
quite	RB	quite
good	JJ	good
enough	RB	enough
,	,	,
because	IN	because
the	DT	the
laser	NN	laser
to	TO	to
put	VB	put
that	DT	that
energy	NN	energy
in	IN	in
was	VBD	be
more	JJR	more
energy	NN	energy
than	IN	than
that	DT	that
,	,	,
but	CC	but
it	PP	it
was	VBD	be
pretty	RB	pretty
good	JJ	good
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
ITER	JJ	<unknown>
,	,	,
pronounced	VBN	pronounce
in	IN	in
French	JJ	French
:	:	:
EE-tairh	NN	<unknown>
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
big	JJ	big
collaboration	NN	collaboration
of	IN	of
different	JJ	different
countries	NNS	country
that	WDT	that
are	VBP	be
building	VBG	build
a	DT	a
huge	JJ	huge
magnetic	JJ	magnetic
donut	NN	donut
in	IN	in
the	DT	the
south	NN	south
of	IN	of
France	NP	France
,	,	,
and	CC	and
this	DT	this
machine	NN	machine
,	,	,
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
finished	VBD	finish
,	,	,
will	MD	will
produce	VB	produce
500	CD	@card@
megawatts	NNS	megawatt
of	IN	of
fusion	NN	fusion
power	NN	power
with	IN	with
only	RB	only
50	CD	@card@
megawatts	NNS	megawatt
to	TO	to
make	VB	make
it	PP	it
.	SENT	.
So	IN	so
this	DT	this
one	CD	one
is	VBZ	be
the	DT	the
real	JJ	real
one	CD	one
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
work	VB	work
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
the	DT	the
kind	NN	kind
of	IN	of
machine	NN	machine
that	WDT	that
makes	VBZ	make
energy	NN	energy
.	SENT	.
Now	RB	now
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
graph	NN	graph
,	,	,
you	PP	you
will	MD	will
notice	VB	notice
that	IN	that
those	DT	those
two	CD	two
dots	NNS	dot
are	VBP	be
a	DT	a
little	JJ	little
bit	NN	bit
on	IN	on
the	DT	the
right	NN	right
of	IN	of
the	DT	the
curve	NN	curve
.	SENT	.
We	PP	we
kind	RB	kind
of	IN	of
have	VBP	have
fallen	VBN	fall
off	RP	off
the	DT	the
progress	NN	progress
.	SENT	.
Actually	RB	actually
,	,	,
the	DT	the
science	NN	science
to	TO	to
make	VB	make
those	DT	those
machines	NNS	machine
was	VBD	be
really	RB	really
in	IN	in
time	NN	time
to	TO	to
produce	VB	produce
fusion	NN	fusion
during	IN	during
that	DT	that
curve	NN	curve
.	SENT	.
However	RB	however
,	,	,
there	EX	there
has	VBZ	have
been	VBN	be
a	DT	a
bit	NN	bit
of	IN	of
politics	NNS	politics
going	VBG	go
on	IN	on
,	,	,
and	CC	and
the	DT	the
will	MD	will
to	TO	to
do	VB	do
it	PP	it
was	VBD	be
not	RB	not
there	RB	there
,	,	,
so	RB	so
it	PP	it
drifted	VBD	drift
to	TO	to
the	DT	the
right	NN	right
.	SENT	.
ITER	NN	<unknown>
,	,	,
for	IN	for
example	NN	example
,	,	,
could	MD	could
have	VB	have
been	VBN	be
built	VBN	build
in	IN	in
2000	CD	@card@
or	CC	or
2005	CD	@card@
,	,	,
but	CC	but
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
international	JJ	international
collaboration	NN	collaboration
,	,	,
the	DT	the
politics	NNS	politics
got	VBD	get
in	IN	in
and	CC	and
it	PP	it
delayed	VBD	delay
it	PP	it
a	DT	a
bit	NN	bit
.	SENT	.
For	IN	for
example	NN	example
,	,	,
it	PP	it
took	VBD	take
them	PP	them
about	IN	about
three	CD	three
years	NNS	year
to	TO	to
decide	VB	decide
where	WRB	where
to	TO	to
put	VB	put
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
fusion	NN	fusion
is	VBZ	be
often	RB	often
criticized	VBN	criticize
for	IN	for
being	VBG	be
a	DT	a
little	JJ	little
too	RB	too
expensive	JJ	expensive
.	SENT	.
Yes	UH	yes
,	,	,
it	PP	it
did	VBD	do
cost	VB	cost
a	DT	a
billion	NN	billion
dollars	NNS	dollar
or	CC	or
two	CD	two
billion	NNS	billion
dollars	NNS	dollar
a	DT	a
year	NN	year
to	TO	to
make	VB	make
this	DT	this
progress	NN	progress
.	SENT	.
But	CC	but
you	PP	you
have	VBP	have
to	TO	to
compare	VB	compare
that	IN	that
to	TO	to
the	DT	the
cost	NN	cost
of	IN	of
making	VBG	make
Moore	NP	Moore
'	POS	'
s	NN	S
Law	NN	law
.	SENT	.
That	DT	that
cost	NN	cost
way	NN	way
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
The	DT	the
result	NN	result
of	IN	of
Moore	NP	Moore
'	POS	'
s	NN	S
Law	NN	law
is	VBZ	be
this	DT	this
cell	NN	cell
phone	NN	phone
here	RB	here
in	IN	in
my	PP$	my
pocket	NN	pocket
.	SENT	.
This	DT	this
cell	NN	cell
phone	NN	phone
,	,	,
and	CC	and
the	DT	the
Internet	NN	Internet
behind	IN	behind
it	PP	it
,	,	,
cost	VB	cost
about	RB	about
one	CD	one
trillion	CD	trillion
dollars	NNS	dollar
,	,	,
just	RB	just
so	RB	so
I	PP	I
can	MD	can
take	VB	take
a	DT	a
selfie	NN	<unknown>
and	CC	and
put	VB	put
it	PP	it
on	IN	on
Facebook	NP	<unknown>
.	SENT	.
Then	RB	then
when	WRB	when
my	PP$	my
dad	NN	dad
sees	VBZ	see
that	IN	that
,	,	,
he	PP	he
'	POS	'
ll	NNS	<unknown>
be	VB	be
very	RB	very
proud	JJ	proud
.	SENT	.
We	PP	we
also	RB	also
spend	VBP	spend
about	RB	about
650	CD	@card@
billion	NN	billion
dollars	NNS	dollar
a	DT	a
year	NN	year
in	IN	in
subsidies	NNS	subsidy
for	IN	for
oil	NN	oil
and	CC	and
gas	NN	gas
and	CC	and
renewable	JJ	renewable
energy	NN	energy
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
spend	VBP	spend
one	CD	one
half	NN	half
of	IN	of
a	DT	a
percent	NN	percent
of	IN	of
that	IN	that
on	IN	on
fusion	NN	fusion
.	SENT	.
So	IN	so
me	PP	me
,	,	,
personally	RB	personally
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VB	think
it	PP	it
'	POS	'
s	NN	S
too	RB	too
expensive	JJ	expensive
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	RB	<unknown>
actually	RB	actually
been	VBN	be
shortchanged	VBN	shortchange
,	,	,
considering	VBG	consider
it	PP	it
can	MD	can
solve	VB	solve
all	PDT	all
our	PP$	our
energy	NN	energy
problems	NNS	problem
cleanly	RB	cleanly
for	IN	for
the	DT	the
next	JJ	next
couple	NN	couple
of	IN	of
billions	NNS	billion
of	IN	of
years	NNS	year
.	SENT	.
Now	RB	now
I	PP	I
can	MD	can
say	VB	say
that	IN	that
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
a	DT	a
little	JJ	little
bit	NN	bit
biased	VBN	bias
,	,	,
because	IN	because
I	PP	I
started	VBD	start
a	DT	a
fusion	NN	fusion
company	NN	company
and	CC	and
I	PP	I
don	NN	don
'	POS	'
t	NN	t
even	RB	even
have	VBP	have
a	DT	a
Facebook	NN	<unknown>
account	NN	account
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
started	VBD	start
this	DT	this
fusion	NN	fusion
company	NN	company
in	IN	in
2002	CD	@card@
,	,	,
I	PP	I
knew	VBD	know
I	PP	I
couldn	NN	<unknown>
'	POS	'
