Today	NP	Today
raises	VBZ	raise
what	WP	what
is	VBZ	be
for	IN	for
me	PP	me
an	DT	an
incredibly	RB	incredibly
profound	JJ	profound
question	NN	question
.	SENT	.
Why	WRB	why
,	,	,
if	IN	if
this	DT	this
is	VBZ	be
so	RB	so
obvious	JJ	obvious
,	,	,
why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
for	IN	for
the	DT	the
overwhelming	JJ	overwhelming
majority	NN	majority
of	IN	of
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
,	,	,
the	DT	the
work	NN	work
they	PP	they
do	VBP	do
has	VBZ	have
none	NN	none
of	IN	of
the	DT	the
characteristics	NNS	characteristic
that	WDT	that
get	VBP	get
us	PP	us
up	RP	up
and	CC	and
out	RP	out
of	IN	of
bed	NN	bed
and	CC	and
off	RB	off
to	TO	to
the	DT	the
office	NN	office
every	DT	every
morning	NN	morning
?	SENT	?
How	WRB	how
is	VBZ	be
it	PP	it
that	IN	that
we	PP	we
allow	VBP	allow
the	DT	the
majority	NN	majority
of	IN	of
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
to	TO	to
do	VB	do
work	NN	work
that	WDT	that
is	VBZ	be
monotonous	JJ	monotonous
,	,	,
meaningless	JJ	meaningless
and	CC	and
soul-deadening	NN	<unknown>
?	SENT	?
Why	WRB	why
is	VBZ	be
it	PP	it
that	IN	that
as	IN	as
capitalism	NN	capitalism
developed	VBN	develop
,	,	,
it	PP	it
created	VBD	create
a	DT	a
mode	NN	mode
of	IN	of
production	NN	production
,	,	,
of	IN	of
goods	NNS	good
and	CC	and
services	NNS	service
,	,	,
in	IN	in
which	WDT	which
all	DT	all
the	DT	the
nonmaterial	JJ	nonmaterial
satisfactions	NNS	satisfaction
that	WDT	that
might	MD	might
come	VB	come
from	IN	from
work	NN	work
were	VBD	be
eliminated	VBN	eliminate
?	SENT	?
Workers	NNS	worker
who	WP	who
do	VBP	do
this	DT	this
kind	NN	kind
of	IN	of
work	NN	work
,	,	,
whether	IN	whether
they	PP	they
do	VBP	do
it	PP	it
in	IN	in
factories	NNS	factory
,	,	,
in	IN	in
call	NN	call
centers	NNS	center
,	,	,
or	CC	or
in	IN	in
fulfillment	NN	fulfillment
warehouses	NNS	warehouse
,	,	,
do	VBP	do
it	PP	it
for	IN	for
pay	NN	pay
.	SENT	.
There	EX	there
is	VBZ	be
certainly	RB	certainly
no	DT	no
other	JJ	other
earthly	JJ	earthly
reason	NN	reason
to	TO	to
do	VB	do
what	WP	what
they	PP	they
do	VBP	do
except	IN	except
for	IN	for
pay	NN	pay
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
"	''	"
Why	WRB	why
?	SENT	?
"	''	"
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
answer	NN	answer
:	:	:
the	DT	the
answer	NN	answer
is	VBZ	be
technology	NN	technology
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
,	,	,
I	PP	I
know	VBP	know
—	:	-
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
technology	NN	technology
,	,	,
automation	NN	automation
screws	NNS	screw
people	NNS	people
,	,	,
blah	JJ	blah
blah	NN	blah
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
not	RB	not
what	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
about	IN	about
the	DT	the
kind	NN	kind
of	IN	of
technology	NN	technology
that	WDT	that
has	VBZ	have
enveloped	VBN	envelop
our	PP$	our
lives	NNS	life
,	,	,
and	CC	and
that	IN	that
people	NNS	people
come	VBP	come
to	TO	to
TED	VB	ted
to	TO	to
hear	VB	hear
about	RB	about
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
about	IN	about
the	DT	the
technology	NN	technology
of	IN	of
things	NNS	thing
,	,	,
profound	JJ	profound
though	IN	though
that	WDT	that
is	VBZ	be
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
another	DT	another
technology	NN	technology
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
the	DT	the
technology	NN	technology
of	IN	of
ideas	NNS	idea
.	SENT	.
I	PP	I
call	VBP	call
it	PP	it
,	,	,
"	``	"
idea	NN	idea
technology	NN	technology
"	''	"
—	:	-
how	WRB	how
clever	JJ	clever
of	IN	of
me	PP	me
.	SENT	.
In	IN	in
addition	NN	addition
to	TO	to
creating	VBG	create
things	NNS	thing
,	,	,
science	NN	science
creates	VBZ	create
ideas	NNS	idea
.	SENT	.
Science	NP	Science
creates	VBZ	create
ways	NNS	way
of	IN	of
understanding	NN	understanding
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
social	JJ	social
sciences	NNS	science
,	,	,
the	DT	the
ways	NNS	way
of	IN	of
understanding	NN	understanding
that	WDT	that
get	VBP	get
created	VBN	create
are	VBP	be
ways	NNS	way
of	IN	of
understanding	VBG	understand
ourselves	PP	ourselves
.	SENT	.
And	CC	and
they	PP	they
have	VBP	have
an	DT	an
enormous	JJ	enormous
influence	NN	influence
on	IN	on
how	WRB	how
we	PP	we
think	VBP	think
,	,	,
what	WP	what
we	PP	we
aspire	VBP	aspire
to	TO	to
,	,	,
and	CC	and
how	WRB	how
we	PP	we
act	VBP	act
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
your	PP$	your
poverty	NN	poverty
is	VBZ	be
God	NP	God
'	POS	'
s	NN	S
will	MD	will
,	,	,
you	PP	you
pray	VBP	pray
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
your	PP$	your
poverty	NN	poverty
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
your	PP$	your
own	JJ	own
inadequacy	NN	inadequacy
,	,	,
you	PP	you
shrink	VBP	shrink
into	IN	into
despair	NN	despair
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
think	VBP	think
your	PP$	your
poverty	NN	poverty
is	VBZ	be
the	DT	the
result	NN	result
of	IN	of
oppression	NN	oppression
and	CC	and
domination	NN	domination
,	,	,
then	RB	then
you	PP	you
rise	VBP	rise
up	RP	up
in	IN	in
revolt	NN	revolt
.	SENT	.
Whether	IN	whether
your	PP$	your
response	NN	response
to	TO	to
poverty	NN	poverty
is	VBZ	be
resignation	NN	resignation
or	CC	or
revolution	NN	revolution
,	,	,
depends	VBZ	depend
on	IN	on
how	WRB	how
you	PP	you
understand	VBP	understand
the	DT	the
sources	NNS	source
of	IN	of
your	PP$	your
poverty	NN	poverty
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
role	NN	role
that	IN	that
ideas	NNS	idea
play	VBP	play
in	IN	in
shaping	VBG	shape
us	PP	us
as	IN	as
human	JJ	human
beings	NNS	being
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
idea	NN	idea
technology	NN	technology
may	MD	may
be	VB	be
the	DT	the
most	RBS	most
profoundly	RB	profoundly
important	JJ	important
technology	NN	technology
that	IN	that
science	NN	science
gives	VBZ	give
us	PP	us
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
something	NN	something
special	JJ	special
about	IN	about
idea	NN	idea
technology	NN	technology
,	,	,
that	WDT	that
makes	VBZ	make
it	PP	it
different	JJ	different
from	IN	from
the	DT	the
technology	NN	technology
of	IN	of
things	NNS	thing
.	SENT	.
With	IN	with
things	NNS	thing
,	,	,
if	IN	if
the	DT	the
technology	NN	technology
sucks	VBZ	suck
,	,	,
it	PP	it
just	RB	just
vanishes	VBZ	vanish
,	,	,
right	RB	right
?	SENT	?
Bad	JJ	bad
technology	NN	technology
disappears	VBZ	disappear
.	SENT	.
With	IN	with
ideas	NNS	idea
—	:	-
false	JJ	false
ideas	NNS	idea
about	IN	about
human	JJ	human
beings	NNS	being
will	MD	will
not	RB	not
go	VB	go
away	RB	away
if	IN	if
people	NNS	people
believe	VBP	believe
that	IN	that
they	PP	they
'	POS	'
re	NN	re
true	JJ	true
.	SENT	.
Because	IN	because
if	IN	if
people	NNS	people
believe	VBP	believe
that	IN	that
they	PP	they
'	POS	'
re	NN	re
true	JJ	true
,	,	,
they	PP	they
create	VBP	create
ways	NNS	way
of	IN	of
living	VBG	live
and	CC	and
institutions	NNS	institution
that	WDT	that
are	VBP	be
consistent	JJ	consistent
with	IN	with
these	DT	these
very	RB	very
false	JJ	false
ideas	NNS	idea
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
how	WRB	how
the	DT	the
industrial	JJ	industrial
revolution	NN	revolution
created	VBD	create
a	DT	a
factory	NN	factory
system	NN	system
in	IN	in
which	WDT	which
there	EX	there
was	VBD	be
really	RB	really
nothing	NN	nothing
you	PP	you
could	MD	could
possibly	RB	possibly
get	VB	get
out	RP	out
of	IN	of
your	PP$	your
day	NN	day
'	POS	'
s	NN	S
work	NN	work
,	,	,
except	IN	except
for	IN	for
the	DT	the
pay	NN	pay
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
day	NN	day
.	SENT	.
Because	IN	because
the	DT	the
father	NN	father
—	:	-
one	CD	one
of	IN	of
the	DT	the
fathers	NNS	father
of	IN	of
the	DT	the
Industrial	NP	Industrial
Revolution	NP	Revolution
,	,	,
Adam	NP	Adam
Smith	NP	Smith
—	:	-
was	VBD	be
convinced	VBN	convince
that	IN	that
human	JJ	human
beings	NNS	being
were	VBD	be
by	IN	by
their	PP$	their
very	JJ	very
natures	NNS	nature
lazy	JJ	lazy
,	,	,
and	CC	and
wouldn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
anything	NN	anything
unless	IN	unless
you	PP	you
made	VBD	make
it	PP	it
worth	VBP	worth
their	PP$	their
while	NN	while
,	,	,
and	CC	and
the	DT	the
way	NN	way
you	PP	you
made	VBD	make
it	PP	it
worth	VBP	worth
their	PP$	their
while	NN	while
was	VBD	be
by	IN	by
incentivizing	VBG	<unknown>
,	,	,
by	IN	by
giving	VBG	give
them	PP	them
rewards	VBZ	reward
.	SENT	.
That	DT	that
was	VBD	be
the	DT	the
only	JJ	only
reason	NN	reason
anyone	NN	anyone
ever	RB	ever
did	VBD	do
anything	NN	anything
.	SENT	.
So	RB	so
we	PP	we
created	VBD	create
a	DT	a
factory	NN	factory
system	NN	system
consistent	JJ	consistent
with	IN	with
that	DT	that
false	JJ	false
view	NN	view
of	IN	of
human	JJ	human
nature	NN	nature
.	SENT	.
But	CC	but
once	RB	once
that	DT	that
system	NN	system
of	IN	of
production	NN	production
was	VBD	be
in	IN	in
place	NN	place
,	,	,
there	EX	there
was	VBD	be
really	RB	really
no	DT	no
other	JJ	other
way	NN	way
for	IN	for
people	NNS	people
to	TO	to
operate	VB	operate
,	,	,
except	IN	except
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
was	VBD	be
consistent	JJ	consistent
with	IN	with
Adam	NP	Adam
Smith	NP	Smith
'	POS	'
s	NN	S
vision	NN	vision
.	SENT	.
So	IN	so
the	DT	the
work	NN	work
example	NN	example
is	VBZ	be
merely	RB	merely
an	DT	an
example	NN	example
of	IN	of
how	WRB	how
false	JJ	false
ideas	NNS	idea
can	MD	can
create	VB	create
a	DT	a
circumstance	NN	circumstance
that	WDT	that
ends	VBZ	end
up	IN	up
making	VBG	make
them	PP	them
true	JJ	true
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
true	JJ	true
that	IN	that
you	PP	you
"	``	"
just	RB	just
can	MD	can
'	''	'
t	NN	t
get	VBP	get
good	RB	good
help	VB	help
anymore	RB	anymore
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
true	JJ	true
that	IN	that
you	PP	you
"	``	"
can	MD	can
'	''	'
t	NN	t
get	VBP	get
good	RB	good
help	VB	help
anymore	RB	anymore
"	''	"
when	WRB	when
you	PP	you
give	VBP	give
people	NNS	people
work	VBP	work
to	TO	to
do	VB	do
that	WDT	that
is	VBZ	be
demeaning	VBG	demean
and	CC	and
soulless	JJ	soulless
.	SENT	.
And	CC	and
interestingly	RB	interestingly
enough	RB	enough
,	,	,
Adam	NP	Adam
Smith	NP	Smith
—	:	-
the	DT	the
same	JJ	same
guy	NN	guy
who	WP	who
gave	VBD	give
us	PP	us
this	DT	this
incredible	JJ	incredible
invention	NN	invention
of	IN	of
mass	JJ	mass
production	NN	production
,	,	,
and	CC	and
division	NN	division
of	IN	of
labor	NN	labor
—	:	-
understood	VBN	understand
this	DT	this
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
of	IN	of
people	NNS	people
who	WP	who
worked	VBD	work
in	IN	in
assembly	NN	assembly
lines	NNS	line
,	,	,
of	IN	of
men	NNS	man
who	WP	who
worked	VBD	work
in	IN	in
assembly	NN	assembly
lines	NNS	line
,	,	,
he	PP	he
says	VBZ	say
:	:	:
"	``	"
He	PP	he
generally	RB	generally
becomes	VBZ	become
as	RB	as
stupid	JJ	stupid
as	IN	as
it	PP	it
is	VBZ	be
possible	JJ	possible
for	IN	for
a	DT	a
human	NN	human
being	VBG	be
to	TO	to
become	VB	become
.	SENT	.
"	''	"
Now	RB	now
,	,	,
notice	VBP	notice
the	DT	the
word	NN	word
here	RB	here
is	VBZ	be
"	``	"
become	VBN	become
.	SENT	.
"	''	"
"	``	"
He	PP	he
generally	RB	generally
becomes	VBZ	become
as	RB	as
stupid	JJ	stupid
as	IN	as
it	PP	it
is	VBZ	be
possible	JJ	possible
for	IN	for
a	DT	a
human	NN	human
being	VBG	be
to	TO	to
become	VB	become
.	SENT	.
"	``	"
Whether	IN	whether
he	PP	he
intended	VBD	intend
it	PP	it
or	CC	or
not	RB	not
,	,	,
what	WP	what
Adam	NP	Adam
Smith	NP	Smith
was	VBD	be
telling	VBG	tell
us	PP	us
there	RB	there
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
very	JJ	very
shape	NN	shape
of	IN	of
the	DT	the
institution	NN	institution
within	IN	within
which	WDT	which
people	NNS	people
work	VBP	work
creates	VBZ	create
people	NNS	people
who	WP	who
are	VBP	be
fitted	VBN	fit
to	TO	to
the	DT	the
demands	NNS	demand
of	IN	of
that	DT	that
institution	NN	institution
and	CC	and
deprives	VBZ	deprive
people	NNS	people
of	IN	of
the	DT	the
opportunity	NN	opportunity
to	TO	to
derive	VB	derive
the	DT	the
kinds	NNS	kind
of	IN	of
satisfactions	NNS	satisfaction
from	IN	from
their	PP$	their
work	NN	work
that	IN	that
we	PP	we
take	VBP	take
for	IN	for
granted	VBN	grant
.	SENT	.
The	DT	the
thing	NN	thing
about	IN	about
science	NN	science
—	:	-
natural	JJ	natural
science	NN	science
—	:	-
is	VBZ	be
that	IN	that
we	PP	we
can	MD	can
spin	VB	spin
fantastic	JJ	fantastic
theories	NNS	theory
about	IN	about
the	DT	the
cosmos	NN	cosmos
,	,	,
and	CC	and
have	VB	have
complete	JJ	complete
confidence	NN	confidence
that	IN	that
the	DT	the
cosmos	NN	cosmos
is	VBZ	be
completely	RB	completely
indifferent	JJ	indifferent
to	TO	to
our	PP$	our
theories	NNS	theory
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
work	VB	work
the	DT	the
same	JJ	same
damn	JJ	damn
way	NN	way
no	DT	no
matter	NN	matter
what	WDT	what
theories	NNS	theory
we	PP	we
have	VBP	have
about	RB	about
the	DT	the
cosmos	NN	cosmos
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
have	VB	have
to	TO	to
worry	VB	worry
about	IN	about
the	DT	the
theories	NNS	theory
we	PP	we
have	VBP	have
of	IN	of
human	JJ	human
nature	NN	nature
,	,	,
because	IN	because
human	JJ	human
nature	NN	nature
will	MD	will
be	VB	be
changed	VBN	change
by	IN	by
the	DT	the
theories	NNS	theory
we	PP	we
have	VBP	have
that	DT	that
are	VBP	be
designed	VBN	design
to	TO	to
explain	VB	explain
and	CC	and
help	VB	help
us	PP	us
understand	VB	understand
human	JJ	human
beings	NNS	being
.	SENT	.
The	DT	the
distinguished	JJ	distinguished
anthropologist	NN	anthropologist
,	,	,
Clifford	NP	Clifford
Geertz	NP	<unknown>
,	,	,
said	VBD	say
,	,	,
years	NNS	year
ago	RB	ago
,	,	,
that	IN	that
human	JJ	human
beings	NNS	being
are	VBP	be
the	DT	the
"	``	"
unfinished	JJ	unfinished
animals	NNS	animal
.	SENT	.
"	''	"
And	CC	and
what	WP	what
he	PP	he
meant	VBD	mean
by	IN	by
that	WDT	that
was	VBD	be
that	IN	that
it	PP	it
is	VBZ	be
only	RB	only
human	JJ	human
nature	NN	nature
to	TO	to
have	VB	have
a	DT	a
human	JJ	human
nature	NN	nature
that	WDT	that
is	VBZ	be
very	RB	very
much	RB	much
the	DT	the
product	NN	product
of	IN	of
the	DT	the
society	NN	society
in	IN	in
which	WDT	which
people	NNS	people
live	VBP	live
.	SENT	.
That	DT	that
human	JJ	human
nature	NN	nature
,	,	,
that	WDT	that
is	VBZ	be
to	TO	to
say	VB	say
our	PP$	our
human	JJ	human
nature	NN	nature
,	,	,
is	VBZ	be
much	RB	much
more	RBR	more
created	VBN	create
than	IN	than
it	PP	it
is	VBZ	be
discovered	VBN	discover
.	SENT	.
We	PP	we
design	VBP	design
human	JJ	human
nature	NN	nature
by	IN	by
designing	VBG	design
the	DT	the
institutions	NNS	institution
within	IN	within
which	WDT	which
people	NNS	people
live	VBP	live
and	CC	and
work	VBP	work
.	SENT	.
And	CC	and
so	IN	so
you	PP	you
people	NNS	people
—	:	-
pretty	RB	pretty
much	RB	much
the	DT	the
closest	JJS	close
I	PP	I
ever	RB	ever
get	VB	get
to	TO	to
being	VBG	be
with	IN	with
masters	NNS	master
of	IN	of
the	DT	the
universe	NN	universe
—	:	-
you	PP	you
people	NNS	people
should	MD	should
be	VB	be
asking	VBG	ask
yourself	PP	yourself
a	DT	a
question	NN	question
,	,	,
as	IN	as
you	PP	you
go	VBP	go
back	RB	back
home	RB	home
to	TO	to
run	VB	run
your	PP$	your
organizations	NNS	organization
.	SENT	.
Just	RB	just
what	WP	what
kind	NN	kind
of	IN	of
human	JJ	human
nature	NN	nature
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
help	VB	help
design	NN	design
?	SENT	?
Thank	VB	thank
you	PP	you
.	SENT	.
Thanks	NNS	thanks
.	SENT	.
