Lindsay	NP	Lindsay
contributions	NNS	contribution
to	TO	to
the	DT	the
society	NN	society
much	RB	much
better	JJR	good
every	DT	every
single	JJ	single
day	NN	day
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
kind	NN	kind
of	IN	of
step	NN	step
back	RB	back
at	IN	at
a	DT	a
global	JJ	global
level	NN	level
,	,	,
we	PP	we
actually	RB	actually
sell	VBP	sell
a	DT	a
billion	NN	billion
Nestlé	NN	<unknown>
products	NNS	product
every	DT	every
single	JJ	single
day	NN	day
in	IN	in
188	CD	@card@
countries	NNS	country
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
So	IN	so
massive	JJ	massive
scale	NN	scale
.	SENT	.
And	CC	and
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
work	VBP	work
directly	RB	directly
with	IN	with
500	CD	@card@
,	,	,
000	CD	@card@
farmers	NNS	farmer
around	IN	around
the	DT	the
world	NN	world
,	,	,
directly	RB	directly
and	CC	and
indirectly	RB	indirectly
over	IN	over
a	DT	a
million	CD	million
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
responsibility	NN	responsibility
,	,	,
right	RB	right
?	SENT	?
We	PP	we
think	VBP	think
about	IN	about
food	NN	food
,	,	,
we	PP	we
think	VBP	think
about	IN	about
farming	NN	farming
,	,	,
we	PP	we
think	VBP	think
about	IN	about
the	DT	the
responsibility	NN	responsibility
of	IN	of
the	DT	the
agricultural	JJ	agricultural
industry	NN	industry
in	IN	in
terms	NNS	term
of	IN	of
soil	NN	soil
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
water	NN	water
,	,	,
in	IN	in
terms	NNS	term
of	IN	of
emissions	NNS	emission
.	SENT	.
Give	VB	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
challenges	NNS	challenge
that	IN	that
you	PP	you
'	POS	'
re	NN	re
now	RB	now
seeking	VBG	seek
to	TO	to
address	VB	address
as	IN	as
you	PP	you
think	VBP	think
forward	RB	forward
in	IN	in
terms	NNS	term
of	IN	of
farming	NN	farming
and	CC	and
food	NN	food
.	SENT	.
SP	NP	SP
:	:	:
Sure	JJ	sure
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
look	VBP	look
,	,	,
food	NN	food
production	NN	production
in	IN	in
total	JJ	total
accounts	NNS	account
for	IN	for
about	RB	about
30	CD	@card@
percent	NN	percent
of	IN	of
total	JJ	total
greenhouse	NN	greenhouse
gas	NN	gas
emissions	NNS	emission
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
core	NN	core
of	IN	of
that	WDT	that
is	VBZ	be
agriculture	NN	agriculture
.	SENT	.
And	CC	and
for	IN	for
us	PP	us
,	,	,
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
regenerative	JJ	regenerative
agriculture	NN	agriculture
is	VBZ	be
so	RB	so
important	JJ	important
.	SENT	.
For	IN	for
us	PP	us
to	TO	to
continue	VB	continue
to	TO	to
make	VB	make
progress	NN	progress
on	IN	on
our	PP$	our
net-zero	NN	<unknown>
commitment	NN	commitment
,	,	,
we	PP	we
actually	RB	actually
have	VB	have
to	TO	to
see	VB	see
these	DT	these
farming	NN	farming
practices	NNS	practice
adopted	VBN	adopt
at	IN	at
more	JJR	more
scale	NN	scale
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
think	VBP	think
about	RB	about
that	RB	that
,	,	,
it	PP	it
'	POS	'
s	NN	S
easy	JJ	easy
to	TO	to
say	VB	say
and	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
hard	JJ	hard
to	TO	to
do	VB	do
.	SENT	.
Just	RB	just
take	VB	take
it	PP	it
to	TO	to
the	DT	the
US	NP	US
level	NN	level
alone	RB	alone
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
two	CD	two
million	CD	million
farms	NNS	farm
in	IN	in
the	DT	the
US	NP	US
,	,	,
and	CC	and
for	IN	for
us	PP	us
,	,	,
we	PP	we
source	NN	source
over	IN	over
2	CD	@card@
,	,	,
600	CD	@card@
agricultural	JJ	agricultural
ingredients	NNS	ingredient
from	IN	from
thousands	NNS	thousand
of	IN	of
farms	NNS	farm
across	IN	across
the	DT	the
country	NN	country
.	SENT	.
And	CC	and
within	IN	within
that	DT	that
2	CD	@card@
,	,	,
600	CD	@card@
,	,	,
every	DT	every
single	JJ	single
crop	NN	crop
has	VBZ	have
a	DT	a
different	JJ	different
challenge	NN	challenge
to	TO	to
actually	RB	actually
get	VB	get
to	TO	to
regenerative	JJ	regenerative
practices	NNS	practice
.	SENT	.
Carrots	NNS	carrot
are	VBP	be
different	JJ	different
from	IN	from
apples	NNS	apple
which	WDT	which
are	VBP	be
different	JJ	different
from	IN	from
dairy	NN	dairy
which	WDT	which
are	VBP	be
different	JJ	different
from	IN	from
beef	NN	beef
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
complexity	NN	complexity
and	CC	and
scale	NN	scale
of	IN	of
that	DT	that
challenge	NN	challenge
across	IN	across
that	WDT	that
is	VBZ	be
incredible	JJ	incredible
because	IN	because
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
one	CD	one
solution	NN	solution
that	WDT	that
can	MD	can
be	VB	be
applied	VBN	apply
.	SENT	.
And	CC	and
secondly	RB	secondly
,	,	,
as	IN	as
we	PP	we
talk	VBP	talk
to	TO	to
our	PP$	our
farming	NN	farming
partners	NNS	partner
,	,	,
we	PP	we
really	RB	really
talk	VBP	talk
to	TO	to
our	PP$	our
suppliers	NNS	supplier
to	TO	to
understand	VB	understand
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
incredibly	RB	incredibly
interested	JJ	interested
in	IN	in
this	DT	this
journey	NN	journey
.	SENT	.
We	PP	we
try	VBP	try
to	TO	to
put	VB	put
ourselves	PP	ourselves
in	IN	in
the	DT	the
farmers	NNS	farmer
'	POS	'
shoes	NNS	shoe
.	SENT	.
Imagine	VB	imagine
if	IN	if
this	DT	this
is	VBZ	be
a	DT	a
multigenerational	JJ	multigenerational
farm	NN	farm
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
the	DT	the
farmer	NN	farmer
that	RB	that
'	POS	'
s	NN	S
changing	VBG	change
the	DT	the
way	NN	way
you	PP	you
'	POS	'
ve	NN	ve
farmed	VBD	farm
the	DT	the
soil	NN	soil
for	IN	for
hundreds	NNS	hundred
of	IN	of
years	NNS	year
,	,	,
and	CC	and
now	RB	now
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
better	JJR	good
way	NN	way
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
incredible	JJ	incredible
risk	NN	risk
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
think	VBP	think
for	IN	for
us	PP	us
as	IN	as
Nestlé	NP	<unknown>
,	,	,
we	PP	we
feel	VBP	feel
like	IN	like
we	PP	we
have	VBP	have
to	TO	to
play	VB	play
and	CC	and
share	VB	share
in	IN	in
that	DT	that
risk	NN	risk
.	SENT	.
And	CC	and
we	PP	we
approach	VBP	approach
it	PP	it
in	IN	in
this	DT	this
idea	NN	idea
of	IN	of
creating	VBG	create
shared	JJ	shared
value	NN	value
.	SENT	.
And	CC	and
everybody	NN	everybody
says	VBZ	say
creating	VBG	create
shared	JJ	shared
value	NN	value
.	SENT	.
But	CC	but
for	IN	for
us	PP	us
,	,	,
it	PP	it
has	VBZ	have
to	TO	to
be	VB	be
good	JJ	good
for	IN	for
Nestlé	NP	<unknown>
.	SENT	.
We	PP	we
'	''	'
re	IN	re
a	DT	a
for-profit	JJ	for-profit
company	NN	company
and	CC	and
a	DT	a
publicly	RB	publicly
traded	VBN	trade
company	NN	company
,	,	,
and	CC	and
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
focused	VBN	focus
around	IN	around
being	VBG	be
good	JJ	good
for	IN	for
us	PP	us
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
we	PP	we
want	VBP	want
it	PP	it
to	TO	to
be	VB	be
good	JJ	good
for	IN	for
the	DT	the
farmers	NNS	farmer
,	,	,
good	JJ	good
for	IN	for
our	PP$	our
suppliers	NNS	supplier
,	,	,
good	JJ	good
for	IN	for
our	PP$	our
consumers	NNS	consumer
and	CC	and
ultimately	RB	ultimately
good	JJ	good
for	IN	for
the	DT	the
planet	NN	planet
.	SENT	.
LL	NP	LL
:	:	:
Tell	VB	tell
us	PP	us
about	IN	about
the	DT	the
goals	NNS	goal
you	PP	you
'	POS	'
ve	NN	ve
set	VBD	set
for	IN	for
the	DT	the
company	NN	company
.	SENT	.
How	WRB	how
ambitious	JJ	ambitious
are	VBP	be
you	PP	you
trying	VBG	try
to	TO	to
be	VB	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
prioritize	VBP	<unknown>
?	SENT	?
SP	NP	SP
:	:	:
Yeah	RB	yeah
,	,	,
look	VB	look
,	,	,
for	IN	for
us	PP	us
on	IN	on
the	DT	the
goals	NNS	goal
,	,	,
we	PP	we
have	VBP	have
a	DT	a
net-zero	NN	<unknown>
commitment	NN	commitment
by	IN	by
2050	CD	@card@
,	,	,
which	WDT	which
seems	VBZ	seem
like	IN	like
a	DT	a
long	JJ	long
time	NN	time
away	RB	away
,	,	,
but	CC	but
as	IN	as
we	PP	we
all	RB	all
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NN	S
tomorrow	NN	tomorrow
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
already	RB	already
started	VBD	start
making	VBG	make
progress	NN	progress
against	IN	against
that	DT	that
,	,	,
we	PP	we
'	POS	'
re	NN	re
in	IN	in
trouble	NN	trouble
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
quite	RB	quite
proud	JJ	proud
of	IN	of
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
progress	NN	progress
we	PP	we
made	VBD	make
in	IN	in
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
years	NNS	year
,	,	,
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
beyond	IN	beyond
peak	NN	peak
carbon	NN	carbon
and	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
reducing	VBG	reduce
carbon	NN	carbon
as	IN	as
we	PP	we
move	VBP	move
ahead	RB	ahead
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
very	RB	very
focused	VBN	focus
on	IN	on
that	DT	that
.	SENT	.
And	CC	and
we	PP	we
really	RB	really
approach	VBP	approach
it	PP	it
in	IN	in
kind	NN	kind
of	IN	of
four	CD	four
key	JJ	key
pillars	NNS	pillar
.	SENT	.
We	PP	we
approach	VBP	approach
it	PP	it
with	IN	with
ingredients	NNS	ingredient
that	IN	that
I	NP	I
'	POS	'
ll	NNS	<unknown>
talk	VBP	talk
quite	PDT	quite
a	DT	a
bit	NN	bit
about	IN	about
today	NN	today
,	,	,
we	PP	we
approach	VBP	approach
it	PP	it
on	IN	on
packaging	NN	packaging
,	,	,
manufacturing	NN	manufacturing
,	,	,
the	DT	the
conversion	NN	conversion
process	NN	process
,	,	,
and	CC	and
then	RB	then
last	JJ	last
,	,	,
the	DT	the
local	JJ	local
communities	NNS	community
that	IN	that
we	PP	we
serve	VBP	serve
.	SENT	.
And	CC	and
if	IN	if
I	PP	I
can	MD	can
just	RB	just
quickly	RB	quickly
on	IN	on
each	DT	each
one	CD	one
.	SENT	.
In	IN	in
ingredients	NNS	ingredient
,	,	,
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
,	,	,
regenerative	JJ	regenerative
agriculture	NN	agriculture
has	VBZ	have
to	TO	to
come	VB	come
to	TO	to
all	PDT	all
those	DT	those
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
brings	VBZ	bring
sustainable	JJ	sustainable
change	NN	change
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
very	RB	very
focused	VBN	focus
on	IN	on
that	DT	that
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
across	IN	across
every	DT	every
single	JJ	single
bucket	NN	bucket
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	NN	S
wheat	NN	wheat
,	,	,
rice	NN	rice
,	,	,
corn	NN	corn
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
teams	NNS	team
and	CC	and
programs	NNS	program
focused	VBN	focus
across	IN	across
all	DT	all
of	IN	of
those	DT	those
categories	NNS	category
.	SENT	.
And	CC	and
for	IN	for
us	PP	us
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
committed	VBD	commit
to	TO	to
be	VB	be
50	CD	@card@
percent	NN	percent
regenerative-sourced	VBN	<unknown>
by	IN	by
2030	CD	@card@
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
well	RB	well
on	IN	on
our	PP$	our
way	NN	way
on	IN	on
that	DT	that
journey	NN	journey
.	SENT	.
If	IN	if
you	PP	you
think	VBP	think
about	IN	about
packaging	NN	packaging
,	,	,
we	PP	we
'	POS	'
re	NN	re
very	RB	very
proud	JJ	proud
of	IN	of
the	DT	the
progress	NN	progress
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
in	IN	in
packaging	NN	packaging
.	SENT	.
We	PP	we
'	POS	'
ve	NNS	<unknown>
reduced	VBN	reduce
over	IN	over
half	PDT	half
a	DT	a
million	CD	million
tons	NNS	ton
of	IN	of
plastic	NN	plastic
from	IN	from
our	PP$	our
existing	JJ	existing
packaging	NN	packaging
today	NN	today
,	,	,
with	IN	with
so	RB	so
much	RB	much
more	JJR	more
to	TO	to
go	VB	go
on	IN	on
that	DT	that
journey	NN	journey
.	SENT	.
And	CC	and
then	RB	then
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
manufacturing	NN	manufacturing
conversion	NN	conversion
process	NN	process
,	,	,
we	PP	we
committed	VBD	commit
to	TO	to
100	CD	@card@
percent	NN	percent
renewable	JJ	renewable
electricity	NN	electricity
across	IN	across
all	DT	all
of	IN	of
our	PP$	our
facilities	NNS	facility
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
well	RB	well
on	IN	on
the	DT	the
way	NN	way
on	IN	on
that	DT	that
,	,	,
we	PP	we
'	POS	'
re	NN	re
at	IN	at
50	CD	@card@
percent	NN	percent
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
able	JJ	able
to	TO	to
reduce	VB	reduce
our	PP$	our
scope	NN	scope
to	TO	to
emissions	NNS	emission
around	IN	around
that	DT	that
already	RB	already
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
invested	VBD	invest
in	IN	in
two	CD	two
massive	JJ	massive
solar	JJ	solar
farms	NNS	farm
in	IN	in
Texas	NP	Texas
that	WDT	that
have	VBP	have
allowed	VBN	allow
us	PP	us
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
we	PP	we
continue	VBP	continue
to	TO	to
push	VB	push
that	IN	that
forward	RB	forward
.	SENT	.
All	DT	all
of	IN	of
our	PP$	our
factories	NNS	factory
in	IN	in
the	DT	the
US	NP	US
actually	RB	actually
are	VBP	be
zero	CD	zero
waste	NN	waste
to	TO	to
landfill	NN	landfill
already	RB	already
today	NN	today
.	SENT	.
And	CC	and
then	RB	then
lastly	RB	lastly
is	VBZ	be
in	IN	in
the	DT	the
local	JJ	local
farming	NN	farming
communities	NNS	community
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
talk	VBP	talk
about	RB	about
working	VBG	work
with	IN	with
the	DT	the
farmers	NNS	farmer
,	,	,
just	RB	just
a	DT	a
couple	NN	couple
examples	NNS	example
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
the	DT	the
work	NN	work
we	PP	we
do	VBP	do
in	IN	in
the	DT	the
Côte	NP	Côte
d	NN	d
'	POS	'
Ivoire	NP	<unknown>
on	IN	on
cocoa	NN	cocoa
farmers	NNS	farmer
,	,	,
really	RB	really
it	PP	it
'	POS	'
s	NN	S
providing	VBG	provide
financial	JJ	financial
incentives	NNS	incentive
directly	RB	directly
to	TO	to
the	DT	the
farmers	NNS	farmer
to	TO	to
actually	RB	actually
encourage	VB	encourage
these	DT	these
practices	NNS	practice
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
encourage	VB	encourage
child	NN	child
education	NN	education
and	CC	and
agroforestry	NN	agroforestry
work	NN	work
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
just	RB	just
kind	RB	kind
of	IN	of
how	WRB	how
we	PP	we
think	VBP	think
about	RB	about
how	WRB	how
we	PP	we
prioritize	VBP	<unknown>
across	IN	across
the	DT	the
list	NN	list
.	SENT	.
LL	NP	LL
:	:	:
Now	RB	now
,	,	,
I	PP	I
want	VBP	want
to	TO	to
take	VB	take
you	PP	you
back	RB	back
to	TO	to
this	DT	this
term	NN	term
"	``	"
regenerative	JJ	regenerative
farming	NN	farming
,	,	,
"	``	"
because	IN	because
it	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
these	DT	these
things	NNS	thing
everybody	NN	everybody
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
self-define	NN	<unknown>
and	CC	and
then	RB	then
we	PP	we
kind	JJ	kind
of	IN	of
dumb	JJ	dumb
it	PP	it
down	RP	down
and	CC	and
we	PP	we
don	NN	don
'	POS	'
t	NN	t
really	RB	really
know	VBP	know
what	WP	what
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	RB	about
.	SENT	.
What	WP	what
what	WDT	what
do	VBP	do
you	PP	you
mean	VB	mean
by	IN	by
that	DT	that
?	SENT	?
And	CC	and
how	WRB	how
do	VBP	do
you	PP	you
hold	VBP	hold
yourself	PP	yourself
to	TO	to
a	DT	a
standard	NN	standard
?	SENT	?
SP	NP	SP
:	:	:
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
there	RB	there
have	VB	have
been	VBN	be
much	RB	much
better	JJR	good
speakers	NNS	speaker
and	CC	and
much	JJ	much
smarter	JJR	smart
people	NNS	people
in	IN	in
the	DT	the
course	NN	course
of	IN	of
this	DT	this
session	NN	session
that	WDT	that
have	VBP	have
actually	RB	actually
defined	VBN	define
it	PP	it
more	RBR	more
eloquently	RB	eloquently
than	IN	than
I	PP	I
have	VBP	have
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
look	VBP	look
at	IN	at
it	PP	it
,	,	,
ultimately	RB	ultimately
at	IN	at
the	DT	the
end	NN	end
of	IN	of
every	DT	every
crop	NN	crop
cycle	NN	cycle
,	,	,
have	VBP	have
we	PP	we
improved	VBN	improve
the	DT	the
soil	NN	soil
and	CC	and
the	DT	the
biodiversity	NN	biodiversity
of	IN	of
the	DT	the
resources	NNS	resource
we	PP	we
use	VBP	use
to	TO	to
produce	VB	produce
those	DT	those
?	SENT	?
And	CC	and
if	IN	if
we	PP	we
have	VBP	have
,	,	,
then	RB	then
we	PP	we
'	POS	'
re	NN	re
moving	VBG	move
forward	RB	forward
in	IN	in
regenerative	JJ	regenerative
farming	NN	farming
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
incredibly	RB	incredibly
powerful	JJ	powerful
.	SENT	.
And	CC	and
it	PP	it
sounds	VBZ	sound
a	DT	a
bit	NN	bit
academic	JJ	academic
or	CC	or
maybe	RB	maybe
a	DT	a
little	JJ	little
far	RB	far
out	IN	out
there	EX	there
,	,	,
but	CC	but
really	RB	really
when	WRB	when
you	PP	you
get	VBP	get
down	RB	down
to	TO	to
it	PP	it
,	,	,
some	DT	some
of	IN	of
the	DT	the
practices	NNS	practice
are	VBP	be
simple	JJ	simple
as	IN	as
crop	NN	crop
rotation	NN	rotation
,	,	,
live	JJ	live
root	NN	root
farming	NN	farming
,	,	,
low-till	NP	<unknown>
,	,	,
no-till	NP	<unknown>
.	SENT	.
And	CC	and
those	DT	those
are	VBP	be
relatively	RB	relatively
easy	JJ	easy
to	TO	to
implement	VB	implement
.	SENT	.
Still	RB	still
different	JJ	different
and	CC	and
challenging	VBG	challenge
for	IN	for
the	DT	the
farmers	NNS	farmer
.	SENT	.
All	PDT	all
the	DT	the
way	NN	way
to	TO	to
multimillion-dollar	JJ	multimillion-dollar
installations	NNS	installation
of	IN	of
manure	NN	manure
systems	NNS	system
that	WDT	that
actually	RB	actually
can	MD	can
reduce	VB	reduce
greenhouse	NN	greenhouse
gases	NNS	gas
on	IN	on
dairy	NN	dairy
farms	NNS	farm
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
scale	NN	scale
and	CC	and
complexity	NN	complexity
of	IN	of
the	DT	the
application	NN	application
of	IN	of
solutions	NNS	solution
is	VBZ	be
very	RB	very
different	JJ	different
as	IN	as
we	PP	we
work	VBP	work
through	IN	through
that	DT	that
.	SENT	.
LL	NP	LL
:	:	:
And	CC	and
what	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
to	TO	to
actually	RB	actually
advance	VB	advance
those	DT	those
practices	NNS	practice
?	SENT	?
SP	NP	SP
:	:	:
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
we	PP	we
think	VBP	think
about	IN	about
it	PP	it
,	,	,
I	PP	I
think	VBP	think
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
bring	VB	bring
it	PP	it
to	TO	to
life	NN	life
is	VBZ	be
maybe	RB	maybe
focus	VB	focus
it	PP	it
on	IN	on
a	DT	a
product	NN	product
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
in	IN	in
Detroit	NP	Detroit
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
great	JJ	great
pizza	NN	pizza
city	NN	city
.	SENT	.
And	CC	and
so	RB	so
let	VB	let
'	''	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
pizza	NN	pizza
.	SENT	.
Every	DT	every
great	JJ	great
pizza	NN	pizza
starts	VBZ	start
with	IN	with
a	DT	a
great	JJ	great
crust	NN	crust
and	CC	and
the	DT	the
crust	NN	crust
in	IN	in
DiGiorno	NP	<unknown>
,	,	,
we	PP	we
'	POS	'
re	NN	re
making	VBG	make
an	DT	an
announcement	NN	announcement
today	NN	today
,	,	,
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
investing	VBG	invest
in	IN	in
over	IN	over
100	CD	@card@
,	,	,
000	CD	@card@
acres	NNS	acre
of	IN	of
wheat	NN	wheat
farming	NN	farming
in	IN	in
the	DT	the
US	NP	US
with	IN	with
our	PP$	our
partners	NNS	partner
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
produce	VB	produce
enough	JJ	enough
wheat	NN	wheat
to	TO	to
double	VB	double
the	DT	the
production	NN	production
required	VBN	require
for	IN	for
DiGiorno	NP	<unknown>
pizza	NN	pizza
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
regenerative	JJ	regenerative
wheat	NN	wheat
through	IN	through
that	DT	that
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
move	VBP	move
to	TO	to
the	DT	the
tomatoes	NNS	tomato
.	SENT	.
Today	NN	today
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
getting	VBG	get
more	JJR	more
farms	NNS	farm
to	TO	to
actually	RB	actually
move	VB	move
to	TO	to
regenerative	JJ	regenerative
practice	NN	practice
,	,	,
and	CC	and
tomatoes	NNS	tomato
,	,	,
the	DT	the
majority	NN	majority
of	IN	of
our	PP$	our
tomatoes	NNS	tomato
are	VBP	be
already	RB	already
regeneratively	RB	regeneratively
farmed	VBN	farm
.	SENT	.
And	CC	and
so	IN	so
