Welcome	JJ	welcome
And	CC	and
I	PP	I
am	VBP	be
a	DT	a
cave	NN	cave
diver	NN	diver
,	,	,
so	RB	so
I	PP	I
go	VBP	go
in	IN	in
and	CC	and
I	PP	I
see	VBP	see
this	DT	this
looming	VBG	loom
darkness	NN	darkness
,	,	,
and	CC	and
I	PP	I
swim	VBP	swim
right	RB	right
into	IN	into
it	PP	it
,	,	,
and	CC	and
I	PP	I
look	VBP	look
behind	IN	behind
every	DT	every
corner	NN	corner
,	,	,
I	PP	I
leave	VBP	leave
no	DT	no
stone	NN	stone
unturned	JJ	unturned
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
exciting	JJ	exciting
shit	NN	shit
happens	VBZ	happen
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
writing	VBG	write
a	DT	a
song	NN	song
,	,	,
I	PP	I
also	RB	also
like	VBP	like
to	TO	to
go	VB	go
deep	JJ	deep
.	SENT	.
I	PP	I
like	VBP	like
to	TO	to
explore	VB	explore
my	PP$	my
deepest	JJS	deep
,	,	,
darkest	JJS	dark
thoughts	NNS	thought
.	SENT	.
This	DT	this
is	VBZ	be
also	RB	also
where	WRB	where
the	DT	the
exciting	JJ	exciting
shit	NN	shit
happens	VBZ	happen
.	SENT	.
This	DT	this
is	VBZ	be
where	WRB	where
I	PP	I
find	VBP	find
my	PP$	my
truth	NN	truth
.	SENT	.
Songwriting	VBG	songwrite
is	VBZ	be
a	DT	a
direct	JJ	direct
line	NN	line
of	IN	of
communication	NN	communication
with	IN	with
the	DT	the
truth	NN	truth
.	SENT	.
In	IN	in
song	NN	song
you	PP	you
can	MD	can
say	VB	say
things	NNS	thing
you	PP	you
can	MD	can
'	''	'
t	NN	t
say	VBP	say
out	RP	out
loud	RB	loud
to	TO	to
anybody	NN	anybody
else	RB	else
.	SENT	.
Not	RB	not
your	PP$	your
friends	NNS	friend
,	,	,
not	RB	not
your	PP$	your
therapist	NN	therapist
,	,	,
not	RB	not
your	PP$	your
mom	NN	mom
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
feeling	NN	feeling
anything	NN	anything
intensely	RB	intensely
,	,	,
I	PP	I
know	VBP	know
it	PP	it
'	''	'
s	NN	S
time	NN	time
for	IN	for
me	PP	me
to	TO	to
write	VB	write
a	DT	a
song	NN	song
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
hide	NN	hide
from	IN	from
my	PP$	my
emotions	NNS	emotion
.	SENT	.
I	PP	I
dive	VBP	dive
into	IN	into
them	PP	them
.	SENT	.
You	PP	you
can	MD	can
write	VB	write
a	DT	a
song	NN	song
and	CC	and
you	PP	you
can	MD	can
not	RB	not
tell	VB	tell
the	DT	the
truth	NN	truth
,	,	,
but	CC	but
your	PP$	your
song	NN	song
will	MD	will
suck	VB	suck
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
would	MD	would
like	VB	like
to	TO	to
write	VB	write
a	DT	a
good	JJ	good
song	NN	song
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
honest	JJ	honest
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
sit	VB	sit
with	IN	with
yourself	PP	yourself
and	CC	and
let	VB	let
your	PP$	your
truth	NN	truth
come	VB	come
,	,	,
whatever	WDT	whatever
it	PP	it
is	VBZ	be
.	SENT	.
This	DT	this
sounds	VBZ	sound
simple	JJ	simple
,	,	,
but	CC	but
where	WRB	where
it	PP	it
can	MD	can
lead	VB	lead
is	VBZ	be
profound	JJ	profound
.	SENT	.
Songwriting	VBG	songwrite
teaches	VBZ	teach
you	PP	you
that	IN	that
all	DT	all
emotions	NNS	emotion
are	VBP	be
valid	JJ	valid
,	,	,
deserving	JJ	deserving
of	IN	of
curiosity	NN	curiosity
and	CC	and
deserving	VBG	deserve
of	IN	of
a	DT	a
voice	NN	voice
.	SENT	.
The	DT	the
song	NN	song
called	VBN	call
"	``	"
Tik	NP	Tik
Tok	NP	Tok
,	,	,
"	''	"
I	PP	I
wrote	VBD	write
that	IN	that
when	WRB	when
I	PP	I
was	VBD	be
21	CD	@card@
.	SENT	.
Yeah	RB	yeah
.	SENT	.
It	PP	it
was	VBD	be
way	NN	way
before	IN	before
the	DT	the
app	NP	App
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
blame	VB	blame
me	PP	me
.	SENT	.
I	PP	I
was	VBD	be
feeling	VBG	feel
very	RB	very
playful	JJ	playful
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
nihilist	NN	nihilist
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
too	RB	too
many	JJ	many
problems	NNS	problem
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
That	DT	that
was	VBD	be
so	RB	so
fucking	VBG	fuck
nice	JJ	nice
.	SENT	.
And	CC	and
the	DT	the
dumber	JJR	dumb
the	DT	the
lyrics	NNS	lyric
got	VBD	get
,	,	,
the	DT	the
better	JJR	good
the	DT	the
song	NN	song
got	VBD	get
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
these	DT	these
feelings	NNS	feeling
,	,	,
they	PP	they
were	VBD	be
kind	NN	kind
of	IN	of
frivolous	JJ	frivolous
.	SENT	.
They	PP	they
were	VBD	be
just	RB	just
a	DT	a
guilty	JJ	guilty
pleasure	NN	pleasure
.	SENT	.
But	CC	but
those	DT	those
exact	JJ	exact
emotions	NNS	emotion
,	,	,
that	WDT	that
youthful	JJ	youthful
,	,	,
playful	JJ	playful
,	,	,
pure	JJ	pure
stupidity	NN	stupidity
,	,	,
made	VBD	make
"	``	"
Tik	NP	Tik
Tok	NP	Tok
"	``	"
connect	VB	connect
globally	RB	globally
in	IN	in
ways	NNS	way
I	PP	I
could	MD	could
have	VB	have
never	RB	never
imagined	VBN	imagine
.	SENT	.
Now	RB	now
,	,	,
let	VB	let
me	PP	me
take	VB	take
you	PP	you
to	TO	to
a	DT	a
very	RB	very
different	JJ	different
point	NN	point
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
It	PP	it
was	VBD	be
2017	CD	@card@
,	,	,
and	CC	and
I	PP	I
had	VBD	have
to	TO	to
make	VB	make
a	DT	a
boundary	NN	boundary
that	WDT	that
affected	VBD	affect
every	DT	every
corner	NN	corner
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
I	PP	I
found	VBD	find
myself	PP	myself
in	IN	in
a	DT	a
very	RB	very
ugly	JJ	ugly
litigation	NN	litigation
with	IN	with
the	DT	the
same	JJ	same
person	NN	person
who	WP	who
I	PP	I
had	VBD	have
signed	VBN	sign
the	DT	the
rights	NNS	right
to	TO	to
my	PP$	my
recorded	VBN	record
voice	NN	voice
to	TO	to
.	SENT	.
I	PP	I
had	VBD	have
lost	VBN	lose
the	DT	the
rights	NNS	right
to	TO	to
my	PP$	my
voice	NN	voice
,	,	,
and	CC	and
in	IN	in
that	WDT	that
I	PP	I
felt	VBD	feel
as	RB	as
if	IN	if
I	PP	I
had	VBD	have
lost	VBN	lose
the	DT	the
rights	NNS	right
to	TO	to
myself	PP	myself
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
public	JJ	public
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
painful	JJ	painful
.	SENT	.
I	PP	I
was	VBD	be
very	RB	very
angry	JJ	angry
.	SENT	.
So	RB	so
I	PP	I
did	VBD	do
what	WP	what
I	PP	I
do	VBP	do
with	IN	with
all	PDT	all
my	PP$	my
emotions	NNS	emotion
,	,	,
and	CC	and
I	PP	I
wrote	VBD	write
my	PP$	my
way	NN	way
through	IN	through
it	PP	it
.	SENT	.
And	CC	and
that	IN	that
led	VBN	lead
me	PP	me
to	TO	to
a	DT	a
song	NN	song
called	VBD	call
"	''	"
Praying	VBG	pray
.	SENT	.
"	''	"
Someday	RB	someday
,	,	,
maybe	RB	maybe
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
the	DT	the
light	JJ	light
Oh	UH	oh
,	,	,
some	DT	some
say	NN	say
,	,	,
in	IN	in
life	NN	life
,	,	,
you	PP	you
'	POS	'
re	NN	re
gonna	VBG	gonna
get	VB	get
what	WP	what
you	PP	you
give	VBP	give
But	CC	but
some	DT	some
things	NNS	thing
only	RB	only
God	NP	God
can	MD	can
forgive	VB	forgive
I	PP	I
hope	VB	hope
you	PP	you
'	POS	'
re	NN	re
somewhere	RB	somewhere
prayin	NP	<unknown>
'	POS	'
,	,	,
prayin	NP	<unknown>
'	POS	'
I	PP	I
hope	VBP	hope
your	PP$	your
soul	NN	soul
is	VBZ	be
changin	NP	<unknown>
'	POS	'
,	,	,
changin	NP	<unknown>
'	POS	'
I	PP	I
hope	VBP	hope
you	PP	you
find	VB	find
your	PP$	your
peace	NN	peace
Falling	NP	Falling
on	IN	on
your	PP$	your
knees	NNS	knee
prayin	NN	<unknown>
'	''	'
Thank	VB	thank
you	PP	you
,	,	,
thank	VB	thank
you	PP	you
.	SENT	.
So	RB	so
after	IN	after
"	``	"
Tik	NP	Tik
Tok	NP	Tok
,	,	,
"	''	"
I	PP	I
wondered	VBD	wonder
if	IN	if
anybody	NN	anybody
would	MD	would
connect	VB	connect
to	TO	to
these	DT	these
uglier	JJR	ugly
emotions	NNS	emotion
coming	VBG	come
from	IN	from
me	PP	me
,	,	,
like	VB	like
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
girl	NN	girl
who	WP	who
"	``	"
brushes	NNS	brush
her	PP$	her
teeth	NNS	tooth
with	IN	with
a	DT	a
bottle	NN	bottle
of	IN	of
Jack	NP	Jack
,	,	,
"	``	"
you	PP	you
know	VBP	know
?	SENT	?
And	CC	and
also	RB	also
,	,	,
who	WP	who
wants	VBZ	want
to	TO	to
listen	VB	listen
to	TO	to
an	DT	an
angry	JJ	angry
woman	NN	woman
?	SENT	?
Turns	VBZ	turn
out	RP	out
a	DT	a
lot	NN	lot
of	IN	of
fucking	VBG	fuck
people	NNS	people
do	VBP	do
.	SENT	.
Hehehe	NP	<unknown>
That	DT	that
was	VBD	be
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
was	VBD	be
nominated	VBN	nominate
for	IN	for
a	DT	a
Grammy	NP	Grammy
;	:	;
it	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
performed	VBD	perform
at	IN	at
the	DT	the
Grammys	NP	Grammys
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
from	IN	from
many	JJ	many
people	NNS	people
going	VBG	go
through	IN	through
their	PP$	their
own	JJ	own
struggles	NNS	struggle
that	IN	that
this	DT	this
song	NN	song
helped	VBD	help
them	PP	them
in	IN	in
some	DT	some
way	NN	way
.	SENT	.
I	PP	I
dove	VBD	dive
deep	RB	deep
into	IN	into
the	DT	the
pain	NN	pain
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
hide	NN	hide
from	IN	from
it	PP	it
.	SENT	.
I	PP	I
alchemized	VBD	alchemize
it	PP	it
into	IN	into
something	NN	something
healing	NN	healing
not	RB	not
only	RB	only
for	IN	for
me	PP	me
but	CC	but
,	,	,
inadvertently	RB	inadvertently
,	,	,
for	IN	for
other	JJ	other
people	NNS	people
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
now	RB	now
--	:	--
probably	RB	probably
going	VBG	go
to	TO	to
cry	VB	cry
--	:	--
I	PP	I
'	POS	'
m	NN	m
now	RB	now
in	IN	in
a	DT	a
drastically	RB	drastically
different	JJ	different
point	NN	point
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
On	IN	on
March	NP	March
6	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
gained	VBD	gain
back	RB	back
legal	JJ	legal
rights	NNS	right
over	IN	over
my	PP$	my
own	JJ	own
voice	NN	voice
.	SENT	.
And	CC	and
with	IN	with
it	PP	it
,	,	,
a	DT	a
newly	RB	newly
found	VBN	find
freedom	NN	freedom
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
nearly	RB	nearly
20	CD	@card@
years	NNS	year
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
how	WRB	how
you	PP	you
can	MD	can
lose	VB	lose
the	DT	the
rights	NNS	right
to	TO	to
your	PP$	your
own	JJ	own
voice	NN	voice
,	,	,
but	CC	but
you	PP	you
can	MD	can
never	RB	never
lose	VB	lose
the	DT	the
rights	NNS	right
to	TO	to
your	PP$	your
truth	NN	truth
.	SENT	.
Throughout	IN	throughout
this	DT	this
journey	NN	journey
,	,	,
songwriting	VBG	songwrite
has	VBZ	have
been	VBN	be
my	PP$	my
therapist	NN	therapist
,	,	,
my	PP$	my
best	JJS	good
friend	NN	friend
,	,	,
my	PP$	my
lover	NN	lover
,	,	,
my	PP$	my
drinking	NN	drinking
buddy	NN	buddy
,	,	,
and	CC	and
my	PP$	my
higher	JJR	high
power	NN	power
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
can	MD	can
be	VB	be
truly	RB	truly
honest	JJ	honest
.	SENT	.
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
claim	VBP	claim
to	TO	to
be	VB	be
an	DT	an
expert	NN	expert
on	IN	on
much	JJ	much
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
experienced	VBD	experience
over	RP	over
and	CC	and
over	RP	over
and	CC	and
over	RP	over
how	WRB	how
you	PP	you
can	MD	can
create	VB	create
art	NN	art
out	RP	out
of	IN	of
emotion	NN	emotion
and	CC	and
through	IN	through
that	DT	that
process	NN	process
,	,	,
not	RB	not
only	RB	only
heal	VB	heal
yourself	PP	yourself
but	CC	but
help	VB	help
to	TO	to
heal	VB	heal
others	NNS	other
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
artist	NN	artist
in	IN	in
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
us	PP	us
.	SENT	.
Creation	NN	creation
is	VBZ	be
just	RB	just
exploring	VBG	explore
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
becoming	VBG	become
childlike	JJ	childlike
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
judging	VBG	judge
yourself	PP	yourself
.	SENT	.
So	RB	so
I	PP	I
encourage	VBP	encourage
all	DT	all
of	IN	of
you	PP	you
to	TO	to
not	RB	not
be	VB	be
afraid	JJ	afraid
of	IN	of
the	DT	the
intensity	NN	intensity
inside	RB	inside
of	IN	of
you	PP	you
.	SENT	.
The	DT	the
stupidity	NN	stupidity
,	,	,
the	DT	the
rage	NN	rage
,	,	,
the	DT	the
anger	NN	anger
,	,	,
the	DT	the
darkness	NN	darkness
.	SENT	.
All	DT	all
of	IN	of
it	PP	it
.	SENT	.
Dive	NN	dive
into	IN	into
it	PP	it
.	SENT	.
Explore	VB	explore
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
remind	VB	remind
you	PP	you
that	IN	that
whether	IN	whether
or	CC	or
not	RB	not
you	PP	you
are	VBP	be
free	JJ	free
,	,	,
you	PP	you
are	VBP	be
entitled	VBN	entitle
to	TO	to
your	PP$	your
truth	NN	truth
.	SENT	.
Find	VB	find
your	PP$	your
medium	NN	medium
,	,	,
whatever	WDT	whatever
speaks	VBZ	speak
to	TO	to
you	PP	you
,	,	,
and	CC	and
let	VB	let
your	PP$	your
truth	NN	truth
come	VB	come
.	SENT	.
You	PP	you
never	RB	never
know	VBP	know
who	WP	who
else	RB	else
will	MD	will
need	VB	need
to	TO	to
hear	VB	hear
it	PP	it
.	SENT	.
You	PP	you
never	RB	never
know	VBP	know
who	WP	who
else	RB	else
can	MD	can
heal	VB	heal
from	IN	from
it	PP	it
.	SENT	.
Please	VB	please
don	NN	don
'	POS	'
t	NN	t
take	VB	take
this	DT	this
for	IN	for
granted	JJ	granted
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
a	DT	a
song	NN	song
I	PP	I
wrote	VBD	write
recently	RB	recently
.	SENT	.
No	DT	no
one	CD	one
has	VBZ	have
heard	VBN	hear
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
I	PP	I
have	VBP	have
shared	VBN	share
a	DT	a
new	JJ	new
song	NN	song
since	IN	since
I	PP	I
have	VBP	have
owned	VBN	own
my	PP$	my
voice	NN	voice
as	IN	as
an	DT	an
adult	JJ	adult
woman	NN	woman
.	SENT	.
So	IN	so
this	DT	this
song	NN	song
is	VBZ	be
called	VBN	call
"	``	"
Cathedral	NP	Cathedral
.	SENT	.
"	``	"
Baby	NN	baby
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
baptized	VBN	baptize
Been	NP	Been
bathing	VBG	bath
in	IN	in
the	DT	the
moonlight	NN	moonlight
I	PP	I
surrender	VBP	surrender
,	,	,
so	RB	so
take	VB	take
your	PP$	your
time	NN	time
I	NP	I
'	POS	'
m	NN	m
summoning	VBG	summon
my	PP$	my
divine	NN	divine
Tried	VBD	try
it	PP	it
all	RB	all
to	TO	to
numb	VB	numb
the	DT	the
pain	NN	pain
But	CC	but
nobody	NN	nobody
ever	RB	ever
stayed	VBD	stay
It	PP	it
could	MD	could
be	VB	be
too	RB	too
much	JJ	much
to	TO	to
even	RB	even
take	VB	take
Look	VB	look
what	WP	what
you	PP	you
find	VBP	find
when	WRB	when
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
left	VBD	leave
to	TO	to
lose	VB	lose
I	PP	I
kept	VBN	keep
on	IN	on
running	VBG	run
,	,	,
just	RB	just
gasping	VBG	gasp
for	IN	for
breath	NN	breath
Nothing	NN	nothing
to	TO	to
trust	VB	trust
in	IN	in
'	''	'
cause	NN	cause
nothing	NN	nothing
was	VBD	be
left	VBN	leave
I	PP	I
pray	VB	pray
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
desperate	JJ	desperate
I	NP	I
'	POS	'
m	NN	m
down	RB	down
on	IN	on
my	PP$	my
knees	NNS	knee
Oh	UH	oh
,	,	,
my	PP$	my
God	NP	God
,	,	,
I	NP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Finally	RB	finally
coming	VBG	come
home	NN	home
Life	NN	life
was	VBD	be
so	RB	so
lethal	JJ	lethal
I	PP	I
'	''	'
m	NN	m
the	DT	the
savior	NN	savior
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
altar	NN	altar
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
Holy	NP	Holy
Ghost	NN	ghost
Pain	NP	Pain
was	VBD	be
my	PP$	my
ritual	NN	ritual
,	,	,
fear	VBP	fear
my	PP$	my
religion	NN	religion
I	PP	I
was	VBD	be
the	DT	the
one	CD	one
who	WP	who
needed	VBD	need
forgiving	VBG	forgive
,	,	,
oh	UH	oh
I	NP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Let	VB	let
it	PP	it
in	IN	in
,	,	,
sunlight	NN	sunlight
It	PP	it
feels	VBZ	feel
good	JJ	good
,	,	,
that	WDT	that
'	POS	'
s	NN	S
alright	RB	alright
Touch	NP	Touch
my	PP$	my
skin	NN	skin
,	,	,
love	VBP	love
my	PP$	my
pain	NN	pain
away	RB	away
And	CC	and
,	,	,
God	NP	God
,	,	,
forgive	VB	forgive
all	PDT	all
my	PP$	my
mistakes	NNS	mistake
Maybe	RB	maybe
redemption	NN	redemption
lies	VBZ	lie
in	IN	in
the	DT	the
dark	NN	dark
My	PP$	my
happy	JJ	happy
ending	NN	ending
'	POS	'
s	NN	S
through	IN	through
my	PP$	my
broken	VBN	break
heart	NN	heart
Hope	NP	Hope
is	VBZ	be
a	DT	a
madman	NN	madman
that	WDT	that
hides	VBZ	hide
in	IN	in
my	PP$	my
mind	VB	mind
Oh	UH	oh
,	,	,
my	PP$	my
God	NP	God
I	NP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Finally	RB	finally
coming	VBG	come
home	NN	home
Life	NN	life
was	VBD	be
so	RB	so
lethal	JJ	lethal
I	PP	I
'	''	'
m	NN	m
the	DT	the
savior	NN	savior
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
altar	NN	altar
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
Holy	NP	Holy
Ghost	NN	ghost
Pain	NP	Pain
was	VBD	be
my	PP$	my
ritual	NN	ritual
,	,	,
fear	VBP	fear
my	PP$	my
religion	NN	religion
I	PP	I
was	VBD	be
the	DT	the
one	CD	one
who	WP	who
needed	VBD	need
forgiving	VBG	forgive
,	,	,
oh	UH	oh
I	NP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Who	WP	who
I	PP	I
once	RB	once
was	VBD	be
,	,	,
she	PP	she
seems	VBZ	seem
so	RB	so
far	RB	far
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
to	TO	to
sacrifice	VB	sacrifice
her	PP	her
from	IN	from
the	DT	the
start	VB	start
I	PP	I
'	POS	'
m	NN	m
born	VBN	bear
again	RB	again
with	IN	with
every	DT	every
scar	NN	scar
I	PP	I
can	MD	can
'	''	'
t	NN	t
control	VB	control
what	WP	what
'	POS	'
s	NNS	<unknown>
written	VBN	write
in	IN	in
the	DT	the
stars	NNS	star
Been	NP	Been
on	IN	on
my	PP$	my
knees	NNS	knee
,	,	,
begging	VBG	beg
for	IN	for
God	NP	God
She	NN	she
'	POS	'
s	NN	S
there	RB	there
inside	RB	inside
of	IN	of
me	PP	me
,	,	,
she	PP	she
was	VBD	be
just	RB	just
lost	VBD	lose
Oh	UH	oh
,	,	,
my	PP$	my
mind	NN	mind
,	,	,
look	VB	look
what	WP	what
it	PP	it
caused	VBD	cause
Darkness	NN	darkness
leads	NNS	lead
into	IN	into
light	NN	light
all	RB	all
along	IN	along
I	PP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Finally	RB	finally
coming	VBG	come
home	NN	home
Oh	NP	Oh
,	,	,
God	NP	God
,	,	,
it	PP	it
feels	VBZ	feel
good	JJ	good
I	PP	I
'	''	'
m	NN	m
the	DT	the
savior	NN	savior
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
altar	NN	altar
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
Holy	NP	Holy
Ghost	NN	ghost
Every	DT	every
minute	NN	minute
is	VBZ	be
a	DT	a
new	JJ	new
beginning	NN	beginning
I	PP	I
died	VBD	die
in	IN	in
hell	NN	hell
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
finally	RB	finally
living	VBG	live
again	RB	again
In	IN	in
the	DT	the
cathedral	NN	cathedral
I	PP	I
'	POS	'
m	NN	m
the	DT	the
cathedral	NN	cathedral
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
