Francesca	NP	Francesca
our	PP$	our
life	NN	life
.	SENT	.
We	PP	we
started	VBD	start
physiotherapy	NN	physiotherapy
,	,	,
we	PP	we
started	VBD	start
the	DT	the
rehabilitation	NN	rehabilitation
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
paths	NNS	path
that	IN	that
we	PP	we
were	VBD	be
following	VBG	follow
in	IN	in
terms	NNS	term
of	IN	of
rehabilitation	NN	rehabilitation
is	VBZ	be
the	DT	the
mirror	NN	mirror
neurons	NNS	neuron
pilot	NN	pilot
.	SENT	.
Basically	RB	basically
,	,	,
we	PP	we
spent	VBD	spend
months	NNS	month
doing	VBG	do
this	DT	this
with	IN	with
Mario	NP	Mario
.	SENT	.
You	PP	you
have	VBP	have
an	DT	an
object	NN	object
,	,	,
and	CC	and
we	PP	we
showed	VBD	show
him	PP	him
how	WRB	how
to	TO	to
grab	VB	grab
the	DT	the
object	NN	object
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
theory	NN	theory
of	IN	of
mirror	NN	mirror
neurons	NNS	neuron
simply	RB	simply
says	VBZ	say
that	IN	that
in	IN	in
your	PP$	your
brains	NNS	brain
,	,	,
exactly	RB	exactly
now	RB	now
,	,	,
as	IN	as
you	PP	you
watch	VBP	watch
me	PP	me
doing	VBG	do
this	DT	this
,	,	,
you	PP	you
are	VBP	be
activating	VBG	activate
exactly	RB	exactly
the	DT	the
same	JJ	same
neurons	NNS	neuron
as	RB	as
if	IN	if
you	PP	you
do	VBP	do
the	DT	the
actions	NNS	action
.	SENT	.
It	PP	it
looks	VBZ	look
like	IN	like
this	DT	this
is	VBZ	be
the	DT	the
leading	VBG	lead
edge	NN	edge
in	IN	in
terms	NNS	term
of	IN	of
rehabilitation	NN	rehabilitation
.	SENT	.
But	CC	but
one	CD	one
day	NN	day
we	PP	we
found	VBD	find
that	IN	that
Mario	NP	Mario
was	VBD	be
not	RB	not
looking	VBG	look
at	IN	at
our	PP$	our
hand	NN	hand
.	SENT	.
He	PP	he
was	VBD	be
looking	VBG	look
at	IN	at
us	PP	us
.	SENT	.
We	PP	we
were	VBD	be
his	PP$	his
mirror	NN	mirror
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
,	,	,
as	IN	as
you	PP	you
might	MD	might
feel	VB	feel
,	,	,
is	VBZ	be
that	IN	that
we	PP	we
were	VBD	be
down	RP	down
,	,	,
we	PP	we
were	VBD	be
depressed	VBN	depress
,	,	,
we	PP	we
were	VBD	be
looking	VBG	look
at	IN	at
him	PP	him
as	IN	as
a	DT	a
problem	NN	problem
,	,	,
not	RB	not
as	IN	as
a	DT	a
son	NN	son
,	,	,
not	RB	not
from	IN	from
a	DT	a
positive	JJ	positive
perspective	NN	perspective
.	SENT	.
And	CC	and
that	DT	that
day	NN	day
really	RB	really
changed	VBD	change
our	PP$	our
perspective	NN	perspective
.	SENT	.
We	PP	we
realized	VBD	realize
that	IN	that
we	PP	we
had	VBD	have
to	TO	to
become	VB	become
a	DT	a
better	JJR	good
mirror	NN	mirror
for	IN	for
Mario	NP	Mario
.	SENT	.
We	PP	we
restarted	VBD	restart
from	IN	from
our	PP$	our
strengths	NNS	strength
,	,	,
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
restarted	VBD	restart
from	IN	from
his	PP$	his
strengths	NNS	strength
.	SENT	.
We	PP	we
stopped	VBD	stop
looking	VBG	look
at	IN	at
him	PP	him
as	IN	as
a	DT	a
problem	NN	problem
,	,	,
and	CC	and
we	PP	we
started	VBD	start
to	TO	to
look	VB	look
at	IN	at
him	PP	him
as	IN	as
an	DT	an
opportunity	NN	opportunity
to	TO	to
improve	VB	improve
.	SENT	.
And	CC	and
really	RB	really
,	,	,
this	DT	this
was	VBD	be
the	DT	the
change	NN	change
,	,	,
and	CC	and
from	IN	from
our	PP$	our
side	NN	side
,	,	,
we	PP	we
said	VBD	say
,	,	,
"	``	"
What	WP	what
are	VBP	be
our	PP$	our
strengths	NNS	strength
that	IN	that
we	PP	we
really	RB	really
can	MD	can
bring	VB	bring
to	TO	to
Mario	NP	Mario
?	SENT	?
"	``	"
And	CC	and
we	PP	we
started	VBD	start
from	IN	from
our	PP$	our
passions	NNS	passion
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
at	IN	at
the	DT	the
end	NN	end
,	,	,
my	PP$	my
wife	NN	wife
and	CC	and
myself	PP	myself
are	VBP	be
quite	RB	quite
different	JJ	different
,	,	,
but	CC	but
we	PP	we
have	VBP	have
many	JJ	many
things	NNS	thing
in	IN	in
common	JJ	common
.	SENT	.
We	PP	we
love	VBP	love
to	TO	to
travel	VB	travel
,	,	,
we	PP	we
love	VBP	love
music	NN	music
,	,	,
we	PP	we
love	VBP	love
to	TO	to
be	VB	be
in	IN	in
places	NNS	place
like	IN	like
this	DT	this
,	,	,
and	CC	and
we	PP	we
started	VBD	start
to	TO	to
bring	VB	bring
Mario	NP	Mario
with	IN	with
us	PP	us
just	RB	just
to	TO	to
show	VB	show
to	TO	to
him	PP	him
the	DT	the
best	JJS	good
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
show	VB	show
to	TO	to
him	PP	him
.	SENT	.
This	DT	this
short	JJ	short
video	NN	video
is	VBZ	be
from	IN	from
last	JJ	last
week	NN	week
.	SENT	.
I	PP	I
am	VBP	be
not	RB	not
saying	VBG	say
—	:	-
—	:	-
I	PP	I
am	VBP	be
not	RB	not
saying	VBG	say
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
miracle	NN	miracle
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
message	NN	message
,	,	,
because	IN	because
we	PP	we
are	VBP	be
just	RB	just
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
path	NN	path
.	SENT	.
But	CC	but
we	PP	we
want	VBP	want
to	TO	to
share	VB	share
what	WP	what
was	VBD	be
the	DT	the
key	JJ	key
learning	NN	learning
,	,	,
the	DT	the
key	JJ	key
learning	NN	learning
that	IN	that
Mario	NP	Mario
drove	VBD	drive
to	TO	to
us	PP	us
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
to	TO	to
consider	VB	consider
what	WP	what
you	PP	you
have	VBP	have
as	IN	as
a	DT	a
gift	NN	gift
and	CC	and
not	RB	not
only	RB	only
what	WP	what
you	PP	you
miss	VBP	miss
,	,	,
and	CC	and
to	TO	to
consider	VB	consider
what	WP	what
you	PP	you
miss	VBP	miss
just	RB	just
as	IN	as
an	DT	an
opportunity	NN	opportunity
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
the	DT	the
message	NN	message
that	IN	that
we	PP	we
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
are	VBP	be
here	RB	here
.	SENT	.
Mario	NP	Mario
!	SENT	!
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
—	:	-
—	:	-
And	CC	and
this	DT	this
is	VBZ	be
why	WRB	why
we	PP	we
decided	VBD	decide
to	TO	to
share	VB	share
the	DT	the
best	JJS	good
mirror	NN	mirror
in	IN	in
the	DT	the
world	NN	world
with	IN	with
him	PP	him
.	SENT	.
And	CC	and
we	PP	we
thank	VBP	thank
you	PP	you
so	RB	so
much	RB	much
,	,	,
all	DT	all
of	IN	of
you	PP	you
.	SENT	.
FF	NN	FF
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
RD	NP	RD
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
Bye	NP	Bye
.	SENT	.
FF	NN	FF
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
