Imagine	VB	imagine
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
look	NN	look
like	IN	like
her	PP	her
.	SENT	.
So	RB	so
how	WRB	how
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
do	VB	do
that	DT	that
?	SENT	?
Know	VB	know
that	IN	that
a	DT	a
place	NN	place
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
good	JJ	good
for	IN	for
you	PP	you
.	SENT	.
Basically	RB	basically
,	,	,
you	PP	you
'	POS	'
re	NN	re
asking	VBG	ask
me	PP	me
,	,	,
how	WRB	how
can	MD	can
I	PP	I
do	VB	do
to	TO	to
know	VB	know
that	IN	that
a	DT	a
thing	NN	thing
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
good	JJ	good
before	IN	before
I	PP	I
experience	VBP	experience
it	PP	it
myself	PP	myself
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
think	VBP	think
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
this	DT	this
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
have	VB	have
you	PP	you
ever	RB	ever
checked	VBD	check
for	IN	for
a	DT	a
restaurant	NN	restaurant
'	POS	'
s	NN	S
rankings	NNS	ranking
and	CC	and
comments	NNS	comment
before	IN	before
you	PP	you
go	VBP	go
?	SENT	?
You	PP	you
'	POS	'
re	NN	re
checking	NN	checking
,	,	,
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
see	VB	see
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
like	JJ	like
.	SENT	.
Or	CC	or
maybe	RB	maybe
if	IN	if
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
groceries	NNS	grocery
and	CC	and
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
avocados	NNS	avocado
because	IN	because
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
a	DT	a
guacamole	NN	guacamole
,	,	,
how	WRB	how
are	VBP	be
you	PP	you
going	VBG	go
to	TO	to
select	VB	select
the	DT	the
right	JJ	right
avocado	NN	avocado
for	IN	for
yourself	PP	yourself
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
.	SENT	.
So	RB	so
I	PP	I
would	MD	would
like	VB	like
to	TO	to
compare	VB	compare
company	NN	company
cultures	NNS	culture
to	TO	to
avocados	NNS	avocado
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
ten	CD	ten
avocados	NNS	avocado
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
know	VBP	know
which	WDT	which
one	PP	one
is	VBZ	be
the	DT	the
right	JJ	right
one	CD	one
?	SENT	?
You	PP	you
'	POS	'
re	NN	re
probably	RB	probably
going	VBG	go
to	TO	to
take	VB	take
one	CD	one
and	CC	and
put	VBD	put
some	DT	some
pressure	NN	pressure
on	IN	on
the	DT	the
skin	NN	skin
,	,	,
and	CC	and
you	PP	you
might	MD	might
feel	VB	feel
that	IN	that
there	EX	there
is	VBZ	be
resistance	NN	resistance
,	,	,
maybe	RB	maybe
too	RB	too
much	JJ	much
or	CC	or
too	RB	too
little	JJ	little
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
judge	NN	judge
.	SENT	.
So	IN	so
today	NN	today
,	,	,
what	WP	what
I	PP	I
would	MD	would
like	VB	like
to	TO	to
share	VB	share
with	IN	with
you	PP	you
are	VBP	be
two	CD	two
tools	NNS	tool
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
for	IN	for
you	PP	you
to	TO	to
assess	VB	assess
if	IN	if
a	DT	a
culture	NN	culture
,	,	,
a	DT	a
company	NN	company
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
the	DT	the
right	JJ	right
fit	NN	fit
for	IN	for
you	PP	you
,	,	,
the	DT	the
first	JJ	first
tool	NN	tool
for	IN	for
you	PP	you
is	VBZ	be
to	TO	to
observe	VB	observe
.	SENT	.
Observe	VBP	observe
,	,	,
observe	VBP	observe
,	,	,
observe	VBP	observe
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
observe	VBP	observe
?	SENT	?
Well	RB	well
,	,	,
you	PP	you
observe	VBP	observe
the	DT	the
entire	JJ	entire
recruitment	NN	recruitment
process	NN	process
.	SENT	.
Because	IN	because
what	WP	what
happens	VBZ	happen
in	IN	in
the	DT	the
recruitment	NN	recruitment
process	NN	process
is	VBZ	be
companies	NNS	company
are	VBP	be
trying	VBG	try
to	TO	to
show	VB	show
you	PP	you
their	PP$	their
best	JJS	good
side	NN	side
.	SENT	.
They	PP	they
really	RB	really
want	VBP	want
to	TO	to
attract	VB	attract
you	PP	you
.	SENT	.
They	PP	they
want	VBP	want
to	TO	to
get	VB	get
you	PP	you
,	,	,
they	PP	they
'	POS	'
re	NN	re
seducing	VBG	seduce
you	PP	you
.	SENT	.
So	RB	so
if	IN	if
there	EX	there
is	VBZ	be
some	DT	some
things	NNS	thing
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
like	IN	like
there	RB	there
,	,	,
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
not	RB	not
going	VBG	go
to	TO	to
like	VB	like
afterwards	RB	afterwards
either	RB	either
.	SENT	.
Let	VB	let
me	PP	me
give	VB	give
you	PP	you
an	DT	an
example	NN	example
.	SENT	.
If	IN	if
a	DT	a
company	NN	company
takes	VBZ	take
weeks	NNS	week
to	TO	to
answer	VB	answer
your	PP$	your
emails	NNS	email
or	CC	or
even	RB	even
book	VB	book
an	DT	an
interview	NN	interview
with	IN	with
you	PP	you
,	,	,
well	RB	well
,	,	,
that	DT	that
kind	NN	kind
of	IN	of
culture	NN	culture
is	VBZ	be
probably	RB	probably
a	DT	a
bit	NN	bit
slower	JJR	slow
than	IN	than
what	WP	what
you	PP	you
would	MD	would
expect	VB	expect
.	SENT	.
If	IN	if
that	DT	that
dynamism	NN	dynamism
is	VBZ	be
what	WP	what
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
and	CC	and
you	PP	you
like	VBP	like
structures	NNS	structure
and	CC	and
companies	NNS	company
that	WDT	that
are	VBP	be
more	RBR	more
process-oriented	JJ	process-oriented
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
right	JJ	right
culture	NN	culture
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
a	DT	a
very	RB	very
entertaining	JJ	entertaining
,	,	,
dynamic	JJ	dynamic
,	,	,
energetic	JJ	energetic
workplace	NN	workplace
,	,	,
that	WDT	that
'	POS	'
s	NN	S
probably	RB	probably
too	RB	too
slow	JJ	slow
.	SENT	.
You	PP	you
might	MD	might
want	VB	want
to	TO	to
look	VB	look
for	IN	for
a	DT	a
company	NN	company
that	WDT	that
responds	VBZ	respond
in	IN	in
a	DT	a
matter	NN	matter
of	IN	of
days	NNS	day
or	CC	or
even	JJ	even
hours	NNS	hour
.	SENT	.
Another	DT	another
example	NN	example
would	MD	would
be	VB	be
if	IN	if
you	PP	you
have	VBP	have
three	CD	three
people	NNS	people
interviewing	VBG	interview
you	PP	you
and	CC	and
only	RB	only
one	PP	one
speaks	VBZ	speak
and	CC	and
the	DT	the
other	JJ	other
two	CD	two
are	VBP	be
silent	JJ	silent
,	,	,
and	CC	and
you	PP	you
figure	VBP	figure
the	DT	the
one	CD	one
that	WDT	that
is	VBZ	be
speaking	VBG	speak
is	VBZ	be
the	DT	the
boss	NN	boss
,	,	,
that	DT	that
culture	NN	culture
is	VBZ	be
very	RB	very
hierarchical	JJ	hierarchical
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
fine	NN	fine
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
not	RB	not
good	JJ	good
or	CC	or
bad	JJ	bad
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
right	JJ	right
or	CC	or
wrong	JJ	wrong
,	,	,
it	PP	it
just	RB	just
is	VBZ	be
.	SENT	.
And	CC	and
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
whether	IN	whether
you	PP	you
like	VBP	like
that	DT	that
kind	NN	kind
of	IN	of
culture	NN	culture
and	CC	and
that	WDT	that
fits	VBZ	fit
you	PP	you
,	,	,
or	CC	or
if	IN	if
you	PP	you
want	VBP	want
a	DT	a
company	NN	company
culture	NN	culture
that	WDT	that
really	RB	really
is	VBZ	be
more	RBR	more
flat	JJ	flat
and	CC	and
allows	VBZ	allow
you	PP	you
to	TO	to
speak	VB	speak
up	RP	up
and	CC	and
challenge	VB	challenge
the	DT	the
status	FW	status
quo	FW	quo
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
probably	RB	probably
not	RB	not
the	DT	the
right	JJ	right
kind	NN	kind
of	IN	of
culture	NN	culture
for	IN	for
you	PP	you
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
thing	NN	thing
you	PP	you
can	MD	can
do	VB	do
is	VBZ	be
observe	VB	observe
,	,	,
observe	VBP	observe
,	,	,
observe	VBP	observe
.	SENT	.
The	DT	the
second	JJ	second
thing	NN	thing
you	PP	you
can	MD	can
do	VB	do
is	VBZ	be
to	TO	to
ask	VB	ask
questions	NNS	question
.	SENT	.
And	CC	and
so	RB	so
asking	VBG	ask
questions	NNS	question
is	VBZ	be
really	RB	really
cool	JJ	cool
because	IN	because
that	DT	that
'	''	'
s	NN	S
when	WRB	when
you	PP	you
have	VBP	have
the	DT	the
avocado	NN	avocado
in	IN	in
your	PP$	your
hand	NN	hand
and	CC	and
you	PP	you
'	POS	'
re	NN	re
putting	VBG	put
pressure	NN	pressure
there	RB	there
.	SENT	.
You	PP	you
know	VBP	know
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
asking	VBG	ask
you	PP	you
in	IN	in
an	DT	an
interview	NN	interview
,	,	,
"	``	"
Hey	NP	Hey
we	PP	we
finished	VBD	finish
all	PDT	all
the	DT	the
questions	NNS	question
.	SENT	.
Do	VB	do
you	PP	you
have	VBP	have
any	DT	any
questions	NNS	question
?	SENT	?
"	''	"
Hell	NN	hell
yeah	RB	yeah
,	,	,
you	PP	you
have	VBP	have
questions	NNS	question
.	SENT	.
You	PP	you
should	MD	should
have	VB	have
questions	NNS	question
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
give	VB	give
you	PP	you
three	CD	three
questions	NNS	question
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
up	IN	up
your	PP$	your
game	NN	game
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
interviewing	VBG	interview
.	SENT	.
This	DT	this
question	NN	question
starts	VBZ	start
with	IN	with
the	DT	the
first	JJ	first
question	NN	question
,	,	,
which	WDT	which
focuses	VBZ	focus
on	IN	on
the	DT	the
future	JJ	future
potential	NN	potential
that	IN	that
you	PP	you
have	VBP	have
in	IN	in
