First	RB	first
something	NN	something
else	RB	else
quite	RB	quite
magical	JJ	magical
:	:	:
it	PP	it
congeals	VBZ	congeal
to	TO	to
form	VB	form
matter	NN	matter
—	:	-
quarks	NNS	quark
that	WDT	that
will	MD	will
create	VB	create
protons	NNS	proton
and	CC	and
leptons	NNS	lepton
that	WDT	that
include	VBP	include
electrons	NNS	electron
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
that	WDT	that
happens	VBZ	happen
in	IN	in
the	DT	the
first	JJ	first
second	NN	second
.	SENT	.
Now	RB	now
we	PP	we
move	VBP	move
forward	RB	forward
380	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
twice	RB	twice
as	RB	as
long	JJ	long
as	IN	as
humans	NNS	human
have	VBP	have
been	VBN	be
on	IN	on
this	DT	this
planet	NN	planet
.	SENT	.
And	CC	and
now	RB	now
simple	JJ	simple
atoms	NNS	atom
appear	VBP	appear
of	IN	of
hydrogen	NN	hydrogen
and	CC	and
helium	NN	helium
.	SENT	.
Now	RB	now
I	PP	I
want	VBP	want
to	TO	to
pause	VB	pause
for	IN	for
a	DT	a
moment	NN	moment
,	,	,
380	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
after	IN	after
the	DT	the
origins	NNS	origin
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
because	IN	because
we	PP	we
actually	RB	actually
know	VBP	know
quite	RB	quite
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
universe	NN	universe
at	IN	at
this	DT	this
stage	NN	stage
.	SENT	.
We	PP	we
know	VBP	know
above	RB	above
all	RB	all
that	IN	that
it	PP	it
was	VBD	be
extremely	RB	extremely
simple	JJ	simple
.	SENT	.
It	PP	it
consisted	VBD	consist
of	IN	of
huge	JJ	huge
clouds	NNS	cloud
of	IN	of
hydrogen	NN	hydrogen
and	CC	and
helium	NN	helium
atoms	NNS	atom
,	,	,
and	CC	and
they	PP	they
have	VBP	have
no	DT	no
structure	NN	structure
.	SENT	.
They	PP	they
'	''	'
re	IN	re
really	RB	really
a	DT	a
sort	NN	sort
of	IN	of
cosmic	JJ	cosmic
mush	NN	mush
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
completely	RB	completely
true	JJ	true
.	SENT	.
Recent	JJ	Recent
studies	NNS	study
by	IN	by
satellites	NNS	satellite
such	JJ	such
as	IN	as
the	DT	the
WMAP	NP	<unknown>
satellite	NN	satellite
have	VBP	have
shown	VBN	show
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
there	EX	there
are	VBP	be
just	RB	just
tiny	JJ	tiny
differences	NNS	difference
in	IN	in
that	DT	that
background	NN	background
.	SENT	.
What	WP	what
you	PP	you
see	VBP	see
here	RB	here
,	,	,
the	DT	the
blue	JJ	blue
areas	NNS	area
are	VBP	be
about	RB	about
a	DT	a
thousandth	JJ	thousandth
of	IN	of
a	DT	a
degree	NN	degree
cooler	NN	cooler
than	IN	than
the	DT	the
red	JJ	red
areas	NNS	area
.	SENT	.
These	DT	these
are	VBP	be
tiny	JJ	tiny
differences	NNS	difference
,	,	,
but	CC	but
it	PP	it
was	VBD	be
enough	RB	enough
for	IN	for
the	DT	the
universe	NN	universe
to	TO	to
move	VB	move
on	IN	on
to	TO	to
the	DT	the
next	JJ	next
stage	NN	stage
of	IN	of
building	NN	building
complexity	NN	complexity
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
Gravity	NN	gravity
is	VBZ	be
more	RBR	more
powerful	JJ	powerful
where	WRB	where
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
stuff	NN	stuff
.	SENT	.
So	RB	so
where	WRB	where
you	PP	you
get	VBP	get
slightly	RB	slightly
denser	JJR	dense
areas	NNS	area
,	,	,
gravity	NN	gravity
starts	NNS	start
compacting	VBG	compact
clouds	NNS	cloud
of	IN	of
hydrogen	NN	hydrogen
and	CC	and
helium	NN	helium
atoms	NNS	atom
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
imagine	VB	imagine
the	DT	the
early	JJ	early
universe	NN	universe
breaking	VBG	break
up	RP	up
into	IN	into
a	DT	a
billion	NN	billion
clouds	NNS	cloud
.	SENT	.
And	CC	and
each	DT	each
cloud	NN	cloud
is	VBZ	be
compacted	VBN	compact
,	,	,
gravity	NN	gravity
gets	VBZ	get
more	RBR	more
powerful	JJ	powerful
as	IN	as
density	NN	density
increases	NNS	increase
,	,	,
the	DT	the
temperature	NN	temperature
begins	VBZ	begin
to	TO	to
rise	VB	rise
at	IN	at
the	DT	the
center	NN	center
of	IN	of
each	DT	each
cloud	NN	cloud
,	,	,
and	CC	and
then	RB	then
,	,	,
at	IN	at
the	DT	the
center	NN	center
,	,	,
the	DT	the
temperature	NN	temperature
crosses	VBZ	cross
the	DT	the
threshold	NN	threshold
temperature	NN	temperature
of	IN	of
10	CD	@card@
million	CD	million
degrees	NNS	degree
,	,	,
protons	NNS	proton
start	VBP	start
to	TO	to
fuse	VB	fuse
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
huge	JJ	huge
release	NN	release
of	IN	of
energy	NN	energy
,	,	,
and	CC	and
—	:	-
bam	NP	bam
!	SENT	!
We	PP	we
have	VBP	have
our	PP$	our
first	JJ	first
stars	NNS	star
.	SENT	.
From	IN	from
about	RB	about
200	CD	@card@
million	CD	million
years	NNS	year
after	IN	after
the	DT	the
Big	NP	Big
Bang	NP	Bang
,	,	,
stars	NNS	star
begin	VBP	begin
to	TO	to
appear	VB	appear
all	DT	all
through	IN	through
the	DT	the
universe	NN	universe
,	,	,
billions	NNS	billion
of	IN	of
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
universe	NN	universe
is	VBZ	be
now	RB	now
significantly	RB	significantly
more	RBR	more
interesting	JJ	interesting
and	CC	and
more	RBR	more
complex	JJ	complex
.	SENT	.
Stars	NNS	star
will	MD	will
create	VB	create
the	DT	the
Goldilocks	NN	goldilocks
conditions	NNS	condition
for	IN	for
crossing	VBG	cross
two	CD	two
new	JJ	new
thresholds	NNS	threshold
.	SENT	.
When	WRB	when
very	RB	very
large	JJ	large
stars	NNS	star
die	VBP	die
,	,	,
they	PP	they
create	VBP	create
temperatures	NNS	temperature
so	RB	so
high	JJ	high
that	IN	that
protons	NNS	proton
begin	VBP	begin
to	TO	to
fuse	VB	fuse
in	IN	in
all	DT	all
sorts	NNS	sort
of	IN	of
exotic	JJ	exotic
combinations	NNS	combination
,	,	,
to	TO	to
form	VB	form
all	PDT	all
the	DT	the
elements	NNS	element
of	IN	of
the	DT	the
periodic	JJ	periodic
table	NN	table
.	SENT	.
If	IN	if
,	,	,
like	IN	like
me	PP	me
,	,	,
you	PP	you
'	POS	'
re	NN	re
wearing	VBG	wear
a	DT	a
gold	JJ	gold
ring	NN	ring
,	,	,
it	PP	it
was	VBD	be
forged	VBN	forge
in	IN	in
a	DT	a
supernova	NN	supernova
explosion	NN	explosion
.	SENT	.
So	RB	so
now	RB	now
the	DT	the
universe	NN	universe
is	VBZ	be
chemically	RB	chemically
more	RBR	more
complex	JJ	complex
.	SENT	.
And	CC	and
in	IN	in
a	DT	a
chemically	RB	chemically
more	RBR	more
complex	JJ	complex
universe	NN	universe
,	,	,
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
make	VB	make
more	JJR	more
things	NNS	thing
.	SENT	.
And	CC	and
what	WP	what
starts	VBZ	start
happening	VBG	happen
is	VBZ	be
that	IN	that
,	,	,
around	IN	around
young	JJ	young
suns	NNS	sun
,	,	,
young	JJ	young
stars	NNS	star
,	,	,
all	PDT	all
these	DT	these
elements	NNS	element
combine	VBP	combine
,	,	,
they	PP	they
swirl	VBP	swirl
around	RB	around
,	,	,
the	DT	the
energy	NN	energy
of	IN	of
the	DT	the
star	NN	star
stirs	VBZ	stir
them	PP	them
around	RP	around
,	,	,
they	PP	they
form	VBP	form
particles	NNS	particle
,	,	,
they	PP	they
form	VBP	form
snowflakes	NNS	snowflake
,	,	,
they	PP	they
form	VBP	form
little	JJ	little
dust	NN	dust
motes	NNS	mote
,	,	,
they	PP	they
form	VBP	form
rocks	NNS	rock
,	,	,
they	PP	they
form	VBP	form
asteroids	NNS	asteroid
,	,	,
and	CC	and
eventually	RB	eventually
,	,	,
they	PP	they
form	VBP	form
planets	NNS	planet
and	CC	and
moons	NNS	moon
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
how	WRB	how
our	PP$	our
solar	JJ	solar
system	NN	system
was	VBD	be
formed	VBN	form
,	,	,
four	CD	four
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
ago	RB	ago
.	SENT	.
Rocky	JJ	rocky
planets	NNS	planet
like	IN	like
our	PP$	our
Earth	NN	earth
are	VBP	be
significantly	RB	significantly
more	RBR	more
complex	JJ	complex
than	IN	than
stars	NNS	star
because	IN	because
they	PP	they
contain	VBP	contain
a	DT	a
much	RB	much
greater	JJR	great
diversity	NN	diversity
of	IN	of
materials	NNS	material
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
crossed	VBD	cross
a	DT	a
fourth	JJ	fourth
threshold	NN	threshold
of	IN	of
complexity	NN	complexity
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
going	VBG	go
gets	VBZ	get
tougher	JJR	tough
.	SENT	.
The	DT	the
next	JJ	next
stage	NN	stage
introduces	VBZ	introduce
entities	NNS	entity
that	WDT	that
are	VBP	be
significantly	RB	significantly
more	RBR	more
fragile	JJ	fragile
,	,	,
significantly	RB	significantly
more	RBR	more
vulnerable	JJ	vulnerable
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
much	RB	much
more	RBR	more
creative	JJ	creative
and	CC	and
much	RB	much
more	RBR	more
capable	JJ	capable
of	IN	of
generating	VBG	generate
further	JJR	further
complexity	NN	complexity
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
,	,	,
of	IN	of
course	NN	course
,	,	,
about	RB	about
living	VBG	live
organisms	NNS	organism
.	SENT	.
Living	NN	living
organisms	NNS	organism
are	VBP	be
created	VBN	create
by	IN	by
chemistry	NN	chemistry
.	SENT	.
We	PP	we
are	VBP	be
huge	JJ	huge
packages	NNS	package
of	IN	of
chemicals	NNS	chemical
.	SENT	.
So	RB	so
,	,	,
chemistry	NN	chemistry
is	VBZ	be
dominated	VBN	dominate
by	IN	by
the	DT	the
electromagnetic	JJ	electromagnetic
force	NN	force
.	SENT	.
That	DT	that
operates	VBZ	operate
over	IN	over
smaller	JJR	small
scales	NNS	scale
than	IN	than
gravity	NN	gravity
,	,	,
which	WDT	which
explains	VBZ	explain
why	WRB	why
you	PP	you
and	CC	and
I	PP	I
are	VBP	be
smaller	JJR	small
than	IN	than
stars	NNS	star
or	CC	or
planets	NNS	planet
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
are	VBP	be
the	DT	the
ideal	JJ	ideal
conditions	NNS	condition
for	IN	for
chemistry	NN	chemistry
?	SENT	?
What	WP	what
are	VBP	be
the	DT	the
Goldilocks	NN	goldilocks
conditions	NNS	condition
?	SENT	?
Well	RB	well
,	,	,
first	RB	first
,	,	,
you	PP	you
need	VBP	need
energy	NN	energy
,	,	,
but	CC	but
not	RB	not
too	RB	too
much	JJ	much
.	SENT	.
In	IN	in
the	DT	the
center	NN	center
of	IN	of
a	DT	a
star	NN	star
,	,	,
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
energy	NN	energy
that	IN	that
any	DT	any
atoms	NNS	atom
that	WDT	that
combine	VBP	combine
will	MD	will
just	RB	just
get	VB	get
busted	VBN	bust
apart	RB	apart
again	RB	again
.	SENT	.
But	CC	but
not	RB	not
too	RB	too
little	JJ	little
.	SENT	.
In	IN	in
intergalactic	JJ	intergalactic
space	NN	space
,	,	,
there	EX	there
'	''	'
s	NN	S
so	IN	so
little	JJ	little
energy	NN	energy
that	IN	that
atoms	NNS	atom
can	MD	can
'	''	'
t	NN	t
combine	NN	combine
.	SENT	.
What	WP	what
you	PP	you
want	VBP	want
is	VBZ	be
just	RB	just
the	DT	the
right	JJ	right
amount	NN	amount
,	,	,
and	CC	and
planets	NNS	planet
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
are	VBP	be
just	RB	just
right	RB	right
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
close	NN	close
to	TO	to
stars	NNS	star
,	,	,
but	CC	but
not	RB	not
too	RB	too
close	JJ	close
.	SENT	.
You	PP	you
also	RB	also
need	VBP	need
a	DT	a
great	JJ	great
diversity	NN	diversity
of	IN	of
chemical	NN	chemical
elements	NNS	element
,	,	,
and	CC	and
you	PP	you
need	VBP	need
liquids	NNS	liquid
,	,	,
such	JJ	such
as	IN	as
water	NN	water
.	SENT	.
Why	WRB	why
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
gases	NNS	gas
,	,	,
atoms	NNS	atom
move	VBP	move
past	IN	past
each	DT	each
other	JJ	other
so	RB	so
fast	RB	fast
that	IN	that
they	PP	they
can	MD	can
'	''	'
t	NN	t
hitch	NN	hitch
up	RB	up
.	SENT	.
In	IN	in
solids	NNS	solid
,	,	,
atoms	NNS	atom
are	VBP	be
stuck	VBN	stick
together	RB	together
,	,	,
they	PP	they
can	MD	can
'	''	'
t	NN	t
move	NN	move
.	SENT	.
In	IN	in
liquids	NNS	liquid
,	,	,
they	PP	they
can	MD	can
cruise	VB	cruise
and	CC	and
cuddle	VB	cuddle
and	CC	and
link	VB	link
up	RP	up
to	TO	to
form	VB	form
molecules	NNS	molecule
.	SENT	.
Now	RB	now
,	,	,
where	WRB	where
do	VBP	do
you	PP	you
find	VB	find
such	JJ	such
Goldilocks	NN	goldilocks
conditions	NNS	condition
?	SENT	?
Well	RB	well
,	,	,
planets	NNS	planet
are	VBP	be
great	JJ	great
,	,	,
and	CC	and
our	PP$	our
early	JJ	early
Earth	NN	earth
was	VBD	be
almost	RB	almost
perfect	JJ	perfect
.	SENT	.
It	PP	it
was	VBD	be
just	RB	just
the	DT	the
right	JJ	right
distance	NN	distance
from	IN	from
its	PP$	its
star	NN	star
to	TO	to
contain	VB	contain
huge	JJ	huge
oceans	NNS	ocean
of	IN	of
liquid	JJ	liquid
water	NN	water
.	SENT	.
And	CC	and
deep	RB	deep
beneath	IN	beneath
those	DT	those
oceans	NNS	ocean
,	,	,
at	IN	at
cracks	NNS	crack
in	IN	in
the	DT	the
Earth	NN	earth
'	POS	'
s	NN	S
crust	NN	crust
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
heat	NN	heat
seeping	VBG	seep
up	RP	up
from	IN	from
inside	IN	inside
the	DT	the
Earth	NN	earth
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
great	JJ	great
diversity	NN	diversity
of	IN	of
