Ah	UH	ah
The	DT	the
Nature	NP	Nature
Conservancy	NN	conservancy
.	SENT	.
It	PP	it
seeks	VBZ	seek
to	TO	to
address	VB	address
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
in	IN	in
one	CD	one
fell	VBD	fall
swoop	NN	swoop
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
realized	VBD	realize
that	IN	that
debt	NN	debt
held	VBN	hold
by	IN	by
island	NN	island
and	CC	and
coastal	JJ	coastal
nations	NNS	nation
is	VBZ	be
the	DT	the
very	JJ	very
thing	NN	thing
that	WDT	that
will	MD	will
enable	VB	enable
them	PP	them
to	TO	to
achieve	VB	achieve
their	PP$	their
conservation	NN	conservation
goals	NNS	goal
.	SENT	.
TNC	NP	TNC
'	POS	'
s	NN	S
idea	NN	idea
is	VBZ	be
to	TO	to
restructure	VB	restructure
this	DT	this
debt	NN	debt
,	,	,
to	TO	to
generate	VB	generate
the	DT	the
funds	NNS	fund
and	CC	and
political	JJ	political
will	NN	will
to	TO	to
protect	VB	protect
reefs	NNS	reef
,	,	,
mangroves	NNS	mangrove
and	CC	and
fisheries	NNS	fishery
.	SENT	.
For	IN	for
example	NN	example
,	,	,
if	IN	if
you	PP	you
refinance	VB	refinance
your	PP$	your
house	NN	house
to	TO	to
take	VB	take
advantage	NN	advantage
of	IN	of
a	DT	a
better	JJR	good
interest	NN	interest
rate	NN	rate
,	,	,
maybe	RB	maybe
you	PP	you
use	VBP	use
the	DT	the
savings	NNS	saving
to	TO	to
insulate	VB	insulate
your	PP$	your
attic	NN	attic
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
what	WP	what
Blue	JJ	blue
Bonds	NNS	bond
for	IN	for
Conservation	NP	Conservation
do	VBP	do
for	IN	for
entire	JJ	entire
coastal	JJ	coastal
countries	NNS	country
.	SENT	.
Refinance	VB	refinance
the	DT	the
debt	NN	debt
,	,	,
then	RB	then
use	VB	use
the	DT	the
savings	NNS	saving
to	TO	to
create	VB	create
marine	JJ	marine
protected	JJ	protected
areas	NNS	area
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
sovereign	JJ	sovereign
debt	NN	debt
restructuring	NN	restructuring
is	VBZ	be
more	RBR	more
complicated	VBN	complicate
than	IN	than
that	DT	that
,	,	,
but	CC	but
you	PP	you
get	VBP	get
the	DT	the
basic	JJ	basic
idea	NN	idea
.	SENT	.
If	IN	if
investors	NNS	investor
put	VBN	put
in	IN	in
40	CD	@card@
million	CD	million
dollars	NNS	dollar
now	RB	now
,	,	,
it	PP	it
can	MD	can
unlock	VB	unlock
as	RB	as
much	RB	much
as	IN	as
1	CD	@card@
.	SENT	.
6	CD	@card@
billion	NNS	billion
for	IN	for
ocean	NN	ocean
conservation	NN	conservation
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
the	DT	the
work	NN	work
gets	VBZ	get
done	VBN	do
.	SENT	.
Step	NN	step
one	CD	one
:	:	:
negotiate	VB	negotiate
the	DT	the
deal	NN	deal
.	SENT	.
A	DT	a
coastal	JJ	coastal
nation	NN	nation
commits	VBZ	commit
to	TO	to
protect	VB	protect
at	IN	at
least	JJS	least
30	CD	@card@
percent	NN	percent
of	IN	of
its	PP$	its
ocean	NN	ocean
areas	NNS	area
.	SENT	.
In	IN	in
exchange	NN	exchange
,	,	,
The	DT	the
Nature	NP	Nature
Conservancy	NN	conservancy
bring	VBP	bring
investors	NNS	investor
,	,	,
public	JJ	public
funders	NNS	funder
and	CC	and
international	JJ	international
development	NN	development
organizations	NNS	organization
to	TO	to
the	DT	the
table	NN	table
to	TO	to
restructure	VB	restructure
a	DT	a
portion	NN	portion
of	IN	of
the	DT	the
nation	NN	nation
'	POS	'
s	NN	S
debt	NN	debt
,	,	,
leading	VBG	lead
to	TO	to
lower	VB	lower
interest	NN	interest
rates	NNS	rate
and	CC	and
longer	JJR	long
repayment	NN	repayment
periods	NNS	period
.	SENT	.
Step	NN	step
two	CD	two
:	:	:
create	VB	create
a	DT	a
marine	JJ	marine
plan	NN	plan
.	SENT	.
Simultaneously	RB	simultaneously
,	,	,
The	DT	the
Nature	NP	Nature
Conservancy	NN	conservancy
works	VBZ	work
with	IN	with
marine	JJ	marine
scientists	NNS	scientist
,	,	,
government	NN	government
leaders	NNS	leader
and	CC	and
local	JJ	local
stakeholders	NNS	stakeholder
to	TO	to
create	VB	create
a	DT	a
detailed	JJ	detailed
conservation	NN	conservation
plan	NN	plan
that	WDT	that
integrates	VBZ	integrate
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
ocean	NN	ocean
with	IN	with
the	DT	the
needs	NNS	need
of	IN	of
the	DT	the
people	NNS	people
.	SENT	.
Step	NN	step
three	CD	three
:	:	:
activate	VBP	activate
for	IN	for
longevity	NN	longevity
.	SENT	.
TNC	NP	TNC
establishes	VBZ	establish
an	DT	an
independently	RB	independently
run	VBN	run
conservation	NN	conservation
trust	NN	trust
fund	NN	fund
.	SENT	.
The	DT	the
savings	NNS	saving
from	IN	from
the	DT	the
debt	NN	debt
restructure	NN	restructure
goes	VBZ	go
into	IN	into
it	PP	it
to	TO	to
support	VB	support
new	JJ	new
marine	JJ	marine
protected	JJ	protected
areas	NNS	area
.	SENT	.
The	DT	the
trust	NN	trust
then	RB	then
holds	VBZ	hold
the	DT	the
government	NN	government
accountable	JJ	accountable
for	IN	for
its	PP$	its
commitments	NNS	commitment
,	,	,
ensuring	VBG	ensure
that	IN	that
the	DT	the
Blue	JJ	blue
Bonds	NNS	bond
finance	VB	finance
real	JJ	real
protection	NN	protection
efforts	NNS	effort
.	SENT	.
Could	MD	could
this	DT	this
plan	NN	plan
work	NN	work
?	SENT	?
It	PP	it
already	RB	already
has	VBZ	have
.	SENT	.
In	IN	in
2016	CD	@card@
,	,	,
TNC	NP	TNC
helped	VBD	help
create	VB	create
a	DT	a
national	JJ	national
conservation	NN	conservation
plan	NN	plan
in	IN	in
the	DT	the
Seychelles	NP	Seychelles
.	SENT	.
TNC	NP	TNC
restructured	VBD	restructure
22	CD	@card@
million	CD	million
dollars	NNS	dollar
of	IN	of
the	DT	the
government	NN	government
'	POS	'
s	NN	S
debt	NN	debt
.	SENT	.
And	CC	and
in	IN	in
exchange	NN	exchange
,	,	,
the	DT	the
government	NN	government
agreed	VBD	agree
to	TO	to
protect	VB	protect
30	CD	@card@
percent	NN	percent
of	IN	of
its	PP$	its
marine	JJ	marine
areas	NNS	area
.	SENT	.
Today	NN	today
,	,	,
the	DT	the
Seychelles	NP	Seychelles
is	VBZ	be
on	IN	on
track	NN	track
to	TO	to
protect	VB	protect
400	CD	@card@
,	,	,
000	CD	@card@
square	JJ	square
kilometers	NNS	kilometer
of	IN	of
ocean	NN	ocean
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
an	DT	an
area	NN	area
roughly	RB	roughly
the	DT	the
size	NN	size
of	IN	of
Germany	NP	Germany
.	SENT	.
The	DT	the
Seychelles	NP	Seychelles
is	VBZ	be
protecting	VBG	protect
its	PP$	its
coral	JJ	coral
reefs	NNS	reef
,	,	,
it	PP	it
'	POS	'
s	NN	S
replenishing	VBG	replenish
its	PP$	its
fisheries	NNS	fishery
,	,	,
it	PP	it
'	POS	'
s	NN	S
improving	VBG	improve
its	PP$	its
resilience	NN	resilience
to	TO	to
climate	NN	climate
change	NN	change
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
it	PP	it
'	POS	'
s	NN	S
strengthening	VBG	strengthen
its	PP$	its
economy	NN	economy
.	SENT	.
This	DT	this
success	NN	success
is	VBZ	be
making	VBG	make
other	JJ	other
governments	NNS	government
take	VBP	take
note	NN	note
.	SENT	.
Many	JJ	many
want	VBP	want
to	TO	to
be	VB	be
part	NN	part
of	IN	of
this	DT	this
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
opportunity	NN	opportunity
to	TO	to
scale	VB	scale
this	DT	this
up	RP	up
,	,	,
dramatically	RB	dramatically
.	SENT	.
And	CC	and
fast	RB	fast
.	SENT	.
TNC	NP	TNC
has	VBZ	have
identified	VBN	identify
20	CD	@card@
more	JJR	more
nations	NNS	nation
where	WRB	where
such	JJ	such
a	DT	a
plan	NN	plan
should	MD	should
be	VB	be
possible	JJ	possible
.	SENT	.
But	CC	but
to	TO	to
execute	VB	execute
,	,	,
they	PP	they
need	VBP	need
seed	NN	seed
capital	NN	capital
.	SENT	.
And	CC	and
to	TO	to
put	VB	put
in	IN	in
place	NN	place
local	JJ	local
teams	NNS	team
who	WP	who
can	MD	can
develop	VB	develop
conservation	NN	conservation
plans	NNS	plan
,	,	,
work	NN	work
with	IN	with
all	PDT	all
the	DT	the
stakeholders	NNS	stakeholder
and	CC	and
structure	VB	structure
the	DT	the
deals	NNS	deal
.	SENT	.
If	IN	if
they	PP	they
get	VBP	get
the	DT	the
support	NN	support
they	PP	they
need	VBP	need
over	IN	over
the	DT	the
next	JJ	next
five	CD	five
years	NNS	year
,	,	,
they	PP	they
could	MD	could
protect	VB	protect
four	CD	four
million	CD	million
square	JJ	square
kilometers	NNS	kilometer
of	IN	of
ocean	NN	ocean
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
10	CD	@card@
Germanies	NP	Germanies
.	SENT	.
This	DT	this
would	MD	would
increase	VB	increase
the	DT	the
amount	NN	amount
of	IN	of
protected	JJ	protected
areas	NNS	area
in	IN	in
all	DT	all
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	NN	S
oceans	NNS	ocean
by	IN	by
an	DT	an
incredible	JJ	incredible
15	CD	@card@
percent	NN	percent
.	SENT	.
It	PP	it
would	MD	would
allow	VB	allow
vast	JJ	vast
tracks	NNS	track
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
coral	JJ	coral
reefs	NNS	reef
to	TO	to
replenish	VB	replenish
and	CC	and
give	VB	give
safe	JJ	safe
harbor	NN	harbor
to	TO	to
countless	JJ	countless
species	NNS	specie
.	SENT	.
This	DT	this
would	MD	would
be	VB	be
truly	RB	truly
incredible	JJ	incredible
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
just	RB	just
the	DT	the
beginning	NN	beginning
.	SENT	.
Because	IN	because
there	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
20	CD	@card@
countries	NNS	country
in	IN	in
the	DT	the
world	NN	world
where	WRB	where
this	DT	this
kind	NN	kind
of	IN	of
debt	NN	debt
conversion	NN	conversion
would	MD	would
work	VB	work
.	SENT	.
There	EX	there
are	VBP	be
almost	RB	almost
100	CD	@card@
.	SENT	.
With	IN	with
this	DT	this
approach	NN	approach
,	,	,
everyone	NN	everyone
wins	NNS	win
.	SENT	.
Governments	NNS	government
,	,	,
local	JJ	local
citizens	NNS	citizen
,	,	,
funders	NNS	funder
,	,	,
and	CC	and
most	RBS	most
importantly	RB	importantly
,	,	,
our	PP$	our
oceans	NNS	ocean
.	SENT	.
So	RB	so
in	IN	in
fact	NN	fact
,	,	,
we	PP	we
all	RB	all
win	VB	win
.	SENT	.
Ah	UH	ah
,	,	,
earth	NN	earth
'	POS	'
s	NN	S
oceans	NNS	ocean
.	SENT	.
[	SYM	[
The	DT	the
Audacious	JJ	audacious
Project	NN	project
]	SYM	]
