Welcome	JJ	welcome
,	,	,
organisms	NNS	organism
have	VBP	have
millions	NNS	million
of	IN	of
years	NNS	year
to	TO	to
get	VB	get
it	PP	it
right	RB	right
;	:	;
they	PP	they
'	POS	'
re	NN	re
spectacular	JJ	spectacular
;	:	;
they	PP	they
can	MD	can
do	VB	do
everything	NN	everything
wonderfully	RB	wonderfully
well	RB	well
.	SENT	.
So	RB	so
,	,	,
the	DT	the
answer	NN	answer
is	VBZ	be
bio-mimicry	NN	bio-mimicry
:	:	:
just	RB	just
copy	NN	copy
nature	NN	nature
directly	RB	directly
.	SENT	.
We	PP	we
know	VBP	know
from	IN	from
working	VBG	work
on	IN	on
animals	NNS	animal
that	IN	that
the	DT	the
truth	NN	truth
is	VBZ	be
that	IN	that
'	POS	'
s	NNS	<unknown>
exactly	RB	exactly
what	WP	what
you	PP	you
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
do	VB	do
—	:	-
because	IN	because
evolution	NN	evolution
works	NNS	work
on	IN	on
the	DT	the
just-good-enough	JJ	just-good-enough
principle	NN	principle
,	,	,
not	RB	not
on	IN	on
a	DT	a
perfecting	VBG	perfect
principle	NN	principle
.	SENT	.
And	CC	and
the	DT	the
constraints	NNS	constraint
in	IN	in
building	VBG	build
any	DT	any
organism	NN	organism
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
,	,	,
are	VBP	be
really	RB	really
severe	JJ	severe
.	SENT	.
Natural	JJ	natural
technologies	NNS	technology
have	VBP	have
incredible	JJ	incredible
constraints	NNS	constraint
.	SENT	.
Think	VB	think
about	IN	about
it	PP	it
.	SENT	.
If	IN	if
you	PP	you
were	VBD	be
an	DT	an
engineer	NN	engineer
and	CC	and
I	PP	I
told	VBD	tell
you	PP	you
that	IN	that
you	PP	you
had	VBD	have
to	TO	to
build	VB	build
an	DT	an
automobile	NN	automobile
,	,	,
but	CC	but
it	PP	it
had	VBD	have
to	TO	to
start	VB	start
off	RP	off
to	TO	to
be	VB	be
this	DT	this
big	JJ	big
,	,	,
then	RB	then
it	PP	it
had	VBD	have
to	TO	to
grow	VB	grow
to	TO	to
be	VB	be
full	JJ	full
size	NN	size
and	CC	and
had	VBD	have
to	TO	to
work	VB	work
every	DT	every
step	NN	step
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
Or	CC	or
think	VBP	think
about	IN	about
the	DT	the
fact	NN	fact
that	IN	that
if	IN	if
you	PP	you
build	VBP	build
an	DT	an
automobile	NN	automobile
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
that	IN	that
you	PP	you
also	RB	also
—	:	-
inside	IN	inside
it	PP	it
—	:	-
have	VBP	have
to	TO	to
put	VB	put
a	DT	a
factory	NN	factory
that	WDT	that
allows	VBZ	allow
you	PP	you
to	TO	to
make	VB	make
another	DT	another
automobile	NN	automobile
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
absolutely	RB	absolutely
never	RB	never
,	,	,
absolutely	RB	absolutely
never	RB	never
,	,	,
because	IN	because
of	IN	of
history	NN	history
and	CC	and
the	DT	the
inherited	JJ	inherited
plan	NN	plan
,	,	,
start	NN	start
with	IN	with
a	DT	a
clean	JJ	clean
slate	NN	slate
.	SENT	.
So	RB	so
,	,	,
organisms	NNS	organism
have	VBP	have
this	DT	this
important	JJ	important
history	NN	history
.	SENT	.
Really	RB	really
evolution	NN	evolution
works	VBZ	work
more	JJR	more
like	IN	like
a	DT	a
tinkerer	NN	tinkerer
than	IN	than
an	DT	an
engineer	NN	engineer
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
really	RB	really
important	JJ	important
when	WRB	when
you	PP	you
begin	VBP	begin
to	TO	to
look	VB	look
at	IN	at
animals	NNS	animal
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
believe	VBP	believe
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
inspired	VBN	inspire
by	IN	by
biology	NN	biology
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
discover	VB	discover
the	DT	the
general	JJ	general
principles	NNS	principle
of	IN	of
nature	NN	nature
,	,	,
and	CC	and
then	RB	then
use	VB	use
these	DT	these
analogies	NNS	analogy
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
advantageous	JJ	advantageous
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
real	JJ	real
challenge	NN	challenge
to	TO	to
do	VB	do
this	DT	this
,	,	,
because	IN	because
animals	NNS	animal
,	,	,
when	WRB	when
you	PP	you
start	VBP	start
to	TO	to
really	RB	really
look	VB	look
inside	IN	inside
them	PP	them
—	:	-
how	WRB	how
they	PP	they
work	VBP	work
—	:	-
appear	VBP	appear
hopelessly	RB	hopelessly
complex	JJ	complex
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
detailed	JJ	detailed
history	NN	history
of	IN	of
the	DT	the
design	NN	design
plans	VBZ	plan
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
go	VBP	go
look	VB	look
it	PP	it
up	RP	up
anywhere	RB	anywhere
.	SENT	.
They	PP	they
have	VBP	have
way	RB	way
too	RB	too
many	JJ	many
motions	NNS	motion
for	IN	for
their	PP$	their
joints	NNS	joint
,	,	,
too	RB	too
many	JJ	many
muscles	NNS	muscle
.	SENT	.
Even	RB	even
the	DT	the
simplest	JJS	simple
animal	NN	animal
we	PP	we
think	VBP	think
of	IN	of
,	,	,
something	NN	something
like	IN	like
an	DT	an
insect	NN	insect
,	,	,
and	CC	and
they	PP	they
have	VBP	have
more	JJR	more
neurons	NNS	neuron
and	CC	and
connections	NNS	connection
than	IN	than
you	PP	you
can	MD	can
imagine	VB	imagine
.	SENT	.
How	WRB	how
can	MD	can
you	PP	you
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
believed	VBD	believe
—	:	-
and	CC	and
we	PP	we
hypothesized	VBD	hypothesize
—	:	-
that	IN	that
one	CD	one
way	NN	way
animals	NNS	animal
could	MD	could
work	VB	work
simply	RB	simply
,	,	,
is	VBZ	be
if	IN	if
the	DT	the
control	NN	control
of	IN	of
their	PP$	their
movements	NNS	movement
tended	VBN	tend
to	TO	to
be	VB	be
built	VBN	build
into	IN	into
their	PP$	their
bodies	NNS	body
themselves	PP	themselves
.	SENT	.
What	WP	what
we	PP	we
discovered	VBD	discover
was	VBD	be
that	DT	that
two-	NN	two-
,	,	,
four-	NN	four-
,	,	,
six-	NN	six-
and	CC	and
eight-legged	JJ	eight-legged
animals	NNS	animal
all	RB	all
produce	VBP	produce
the	DT	the
same	JJ	same
forces	NNS	force
on	IN	on
the	DT	the
ground	NN	ground
when	WRB	when
they	PP	they
move	VBP	move
.	SENT	.
They	PP	they
all	RB	all
work	VBP	work
like	IN	like
this	DT	this
kangaroo	NN	kangaroo
,	,	,
they	PP	they
bounce	VBP	bounce
.	SENT	.
And	CC	and
they	PP	they
can	MD	can
be	VB	be
modeled	VBN	model
by	IN	by
a	DT	a
spring-mass	NN	<unknown>
system	NN	system
that	IN	that
we	PP	we
call	VBP	call
the	DT	the
spring	NN	spring
mass	NN	mass
system	NN	system
because	IN	because
we	PP	we
'	POS	'
re	NN	re
biomechanists	NNS	biomechanist
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
pogo	NN	pogo
stick	NN	stick
.	SENT	.
They	PP	they
all	RB	all
produce	VBP	produce
the	DT	the
pattern	NN	pattern
of	IN	of
a	DT	a
pogo	NN	pogo
stick	NN	stick
.	SENT	.
How	WRB	how
is	VBZ	be
that	IN	that
true	JJ	true
?	SENT	?
Well	RB	well
,	,	,
a	DT	a
human	JJ	human
,	,	,
one	CD	one
of	IN	of
your	PP$	your
legs	NNS	leg
works	VBZ	work
like	IN	like
two	CD	two
legs	NNS	leg
of	IN	of
a	DT	a
trotting	VBG	trot
dog	NN	dog
,	,	,
or	CC	or
works	VBZ	work
like	IN	like
three	CD	three
legs	NNS	leg
,	,	,
together	RB	together
as	IN	as
one	CD	one
,	,	,
of	IN	of
a	DT	a
trotting	VBG	trot
insect	NN	insect
,	,	,
or	CC	or
four	CD	four
legs	NNS	leg
as	IN	as
one	CD	one
of	IN	of
a	DT	a
trotting	VBG	trot
crab	NN	crab
.	SENT	.
And	CC	and
then	RB	then
they	PP	they
alternate	JJ	alternate
in	IN	in
their	PP$	their
propulsion	NN	propulsion
,	,	,
but	CC	but
the	DT	the
patterns	NNS	pattern
are	VBP	be
all	PDT	all
the	DT	the
same	JJ	same
.	SENT	.
Almost	RB	almost
every	DT	every
organism	NN	organism
we	PP	we
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
this	DT	this
way	NN	way
—	:	-
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
next	JJ	next
week	NN	week
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
a	DT	a
hint	NN	hint
,	,	,
there	EX	there
'	''	'
ll	NN	ll
be	VB	be
an	DT	an
article	NN	article
coming	VBG	come
out	RP	out
that	DT	that
says	VBZ	say
that	IN	that
really	RB	really
big	JJ	big
things	NNS	thing
like	IN	like
T	NN	T
.	SENT	.
rex	NP	Rex
probably	RB	probably
couldn	NN	<unknown>
'	POS	'
t	NN	t
do	VBP	do
this	DT	this
,	,	,
but	CC	but
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
that	IN	that
next	JJ	next
week	NN	week
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
is	VBZ	be
the	DT	the
animals	NNS	animal
,	,	,
then	RB	then
—	:	-
we	PP	we
said	VBD	say
—	:	-
bounce	NN	bounce
along	IN	along
the	DT	the
vertical	JJ	vertical
plane	NN	plane
this	DT	this
way	NN	way
,	,	,
and	CC	and
in	IN	in
our	PP$	our
collaborations	NNS	collaboration
with	IN	with
Pixar	NP	Pixar
,	,	,
in	IN	in
"	``	"
A	DT	a
Bug	NN	bug
'	POS	'
s	NN	S
Life	NN	life
,	,	,
"	''	"
we	PP	we
discussed	VBD	discuss
the	DT	the
bipedal	JJ	bipedal
nature	NN	nature
of	IN	of
the	DT	the
characters	NNS	character
of	IN	of
the	DT	the
ants	NNS	ant
.	SENT	.
And	CC	and
we	PP	we
told	VBD	tell
them	PP	them
,	,	,
of	IN	of
course	NN	course
,	,	,
they	PP	they
move	VBP	move
in	IN	in
another	DT	another
plane	NN	plane
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
they	PP	they
asked	VBD	ask
us	PP	us
this	DT	this
question	NN	question
.	SENT	.
They	PP	they
say	VBP	say
,	,	,
"	``	"
Why	WRB	why
model	NN	model
just	RB	just
in	IN	in
the	DT	the
sagittal	JJ	sagittal
plane	NN	plane
or	CC	or
the	DT	the
vertical	JJ	vertical
plane	NN	plane
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
telling	VBG	tell
us	PP	us
these	DT	these
animals	NNS	animal
are	VBP	be
moving	VBG	move
in	IN	in
the	DT	the
horizontal	JJ	horizontal
plane	NN	plane
?	SENT	?
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
good	JJ	good
question	NN	question
.	SENT	.
Nobody	NN	nobody
in	IN	in
biology	NN	biology
ever	RB	ever
modeled	VBD	model
it	PP	it
this	DT	this
way	NN	way
.	SENT	.
We	PP	we
took	VBD	take
their	PP$	their
advice	NN	advice
and	CC	and
we	PP	we
modeled	VBD	model
the	DT	the
animals	NNS	animal
moving	VBG	move
in	IN	in
the	DT	the
horizontal	JJ	horizontal
plane	NN	plane
as	IN	as
well	RB	well
.	SENT	.
We	PP	we
took	VBD	take
their	PP$	their
three	CD	three
legs	NNS	leg
,	,	,
we	PP	we
collapsed	VBD	collapse
them	PP	them
down	RP	down
as	IN	as
one	CD	one
.	SENT	.
We	PP	we
got	VBD	get
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
mathematicians	NNS	mathematician
in	IN	in
the	DT	the
world	NN	world
from	IN	from
Princeton	NP	Princeton
to	TO	to
work	VB	work
on	IN	on
this	DT	this
problem	NN	problem
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
create	VB	create
a	DT	a
model	NN	model
where	WRB	where
animals	NNS	animal
are	VBP	be
not	RB	not
only	RB	only
bouncing	VBG	bounce
up	RP	up
and	CC	and
down	RP	down
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
bouncing	VBG	bounce
side	NN	side
to	TO	to
side	NN	side
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
And	CC	and
many	JJ	many
organisms	NNS	organism
fit	VBP	fit
this	DT	this
kind	NN	kind
of	IN	of
pattern	NN	pattern
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
is	VBZ	be
this	DT	this
important	JJ	important
to	TO	to
have	VB	have
this	DT	this
model	NN	model
?	SENT	?
Because	IN	because
it	PP	it
'	POS	'
s	NN	S
very	RB	very
interesting	JJ	interesting
.	SENT	.
When	WRB	when
you	PP	you
take	VBP	take
this	DT	this
model	NN	model
and	CC	and
you	PP	you
perturb	VBP	perturb
it	PP	it
,	,	,
you	PP	you
give	VBP	give
it	PP	it
a	DT	a
push	NN	push
,	,	,
as	IN	as
it	PP	it
bumps	VBZ	bump
into	IN	into
something	NN	something
,	,	,
it	PP	it
self-stabilizes	VBZ	self-stabilize
,	,	,
with	IN	with
no	DT	no
brain	NN	brain
or	CC	or
no	DT	no
reflexes	NNS	reflex
,	,	,
just	RB	just
by	IN	by
the	DT	the
structure	NN	structure
alone	RB	alone
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
beautiful	JJ	beautiful
model	NN	model
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
the	DT	the
mathematics	NN	mathematics
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
enough	RB	enough
!	SENT	!
The	DT	the
animals	NNS	animal
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
them	PP	them
running	VBG	run
,	,	,
appear	VBP	appear
to	TO	to
be	VB	be
self-stabilizing	VBG	self-stabilize
like	IN	like
this	DT	this
,	,	,
using	VBG	use
basically	RB	basically
springy	JJ	springy
legs	NNS	leg
.	SENT	.
That	DT	that
is	VBZ	be
,	,	,
the	DT	the
legs	NNS	leg
can	MD	can
do	VB	do
computations	NNS	computation
on	IN	on
their	PP$	their
own	JJ	own
;	:	;
the	DT	the
control	NN	control
algorithms	NNS	algorithm
,	,	,
in	IN	in
a	DT	a
sense	NN	sense
,	,	,
are	VBP	be
embedded	VBN	embed
in	IN	in
the	DT	the
form	NN	form
of	IN	of
the	DT	the
animal	NN	animal
itself	PP	itself
.	SENT	.
Why	WRB	why
haven	NN	haven
'	POS	'
t	NN	t
we	PP	we
been	VBN	be
more	RBR	more
inspired	VBN	inspire
by	IN	by
nature	NN	nature
and	CC	and
these	DT	these
kinds	NNS	kind
of	IN	of
discoveries	NNS	discovery
?	SENT	?
Well	RB	well
,	,	,
I	PP	I
would	MD	would
argue	VB	argue
that	IN	that
human	JJ	human
technologies	NNS	technology
are	VBP	be
really	RB	really
different	JJ	different
from	IN	from
natural	JJ	natural
technologies	NNS	technology
,	,	,
at	IN	at
least	JJS	least
they	PP	they
have	VBP	have
been	VBN	be
so	RB	so
far	RB	far
.	SENT	.
Think	VB	think
about	IN	about
the	DT	the
typical	JJ	typical
kind	NN	kind
of	IN	of
robot	NN	robot
that	IN	that
you	PP	you
see	VBP	see
.	SENT	.
Human	JJ	human
technologies	NNS	technology
have	VBP	have
tended	VBN	tend
to	TO	to
be	VB	be
large	JJ	large
,	,	,
flat	JJ	flat
,	,	,
with	IN	with
right	JJ	right
angles	NNS	angle
,	,	,
stiff	JJ	stiff
,	,	,
made	VBN	make
of	IN	of
metal	NN	metal
.	SENT	.
They	PP	they
have	VBP	have
rolling	JJ	rolling
devices	NNS	device
and	CC	and
axles	NNS	axle
.	SENT	.
There	EX	there
are	VBP	be
very	RB	very
few	JJ	few
motors	NNS	motor
,	,	,
very	RB	very
few	JJ	few
sensors	NNS	sensor
.	SENT	.
Whereas	IN	whereas
nature	NN	nature
tends	VBZ	tend
to	TO	to
be	VB	be
small	JJ	small
,	,	,
and	CC	and
curved	VBD	curve
,	,	,
and	CC	and
it	PP	it
bends	VBZ	bend
and	CC	and
twists	VBZ	twist
,	,	,
and	CC	and
has	VBZ	have
legs	NNS	leg
instead	RB	instead
,	,	,
and	CC	and
appendages	NNS	appendage
,	,	,
and	CC	and
has	VBZ	have
many	JJ	many
muscles	NNS	muscle
and	CC	and
many	JJ	many
,	,	,
many	JJ	many
sensors	NNS	sensor
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
different	JJ	different
design	NN	design
.	SENT	.
However	RB	however
,	,	,
what	WP	what
'	POS	'
s	NN	S
changing	NN	changing
,	,	,
what	WP	what
'	POS	'
s	NN	S
really	RB	really
exciting	JJ	exciting
—	:	-
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
show	VBP	show
you	PP	you
some	DT	some
of	IN	of
that	DT	that
next	JJ	next
—	:	-
is	VBZ	be
that	IN	that
as	IN	as
human	JJ	human
technology	NN	technology
takes	VBZ	take
on	IN	on
more	JJR	more
of	IN	of
the	DT	the
characteristics	NNS	characteristic
of	IN	of
nature	NN	nature
,	,	,
then	RB	then
nature	NN	nature
really	RB	really
can	MD	can
become	VB	become
a	DT	a
much	RB	much
more	RBR	more
useful	JJ	useful
teacher	NN	teacher
.	SENT	.
And	CC	and
here	RB	here
'	POS	'
s	NN	S
one	CD	one
example	NN	example
that	RB	that
'	POS	'
s	NN	S
really	RB	really
exciting	JJ	exciting
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
collaboration	NN	collaboration
we	PP	we
have	VBP	have
with	IN	with
Stanford	NP	Stanford
.	SENT	.
And	CC	and
they	PP	they
developed	VBD	develop
this	DT	this
new	JJ	new
technique	NN	technique
,	,	,
called	VBD	call
Shape	NP	Shape
Deposition	NN	deposition
Manufacturing	NP	Manufacturing
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
technique	NN	technique
where	WRB	where
they	PP	they
can	MD	can
mix	VB	mix
materials	NNS	material
together	RB	together
and	CC	and
mold	VB	mold
any	DT	any
shape	NN	shape
that	IN	that
they	PP	they
like	VBP	like
,	,	,
and	CC	and
put	VBD	put
in	IN	in
the	DT	the
material	NN	material
properties	NNS	property
.	SENT	.
They	PP	they
can	MD	can
embed	VB	embed
sensors	NNS	sensor
and	CC	and
actuators	NNS	actuator
right	RB	right
in	IN	in
the	DT	the
form	NN	form
itself	PP	itself
.	SENT	.
For	IN	for
example	NN	example
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
leg	NN	leg
:	:	:
the	DT	the
clear	JJ	clear
part	NN	part
is	VBZ	be
stiff	JJ	stiff
,	,	,
the	DT	the
white	JJ	white
part	NN	part
is	VBZ	be
compliant	JJ	compliant
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
any	DT	any
axles	NNS	axle
there	RB	there
or	CC	or
anything	NN	anything
.	SENT	.
It	PP	it
just	RB	just
bends	VBZ	bend
by	IN	by
itself	PP	itself
beautifully	RB	beautifully
.	SENT	.
So	RB	so
,	,	,
you	PP	you
can	MD	can
put	VB	put
those	DT	those
properties	NNS	property
in	IN	in
.	SENT	.
It	PP	it
inspired	VBD	inspire
them	PP	them
to	TO	to
show	VB	show
off	RP	off
this	DT	this
design	NN	design
by	IN	by
producing	VBG	produce
a	DT	a
little	JJ	little
robot	NN	robot
they	PP	they
named	VBD	name
Sprawl	NN	sprawl
.	SENT	.
Our	PP$	our
work	NN	work
has	VBZ	have
also	RB	also
inspired	VBN	inspire
another	DT	another
robot	NN	robot
,	,	,
a	DT	a
biologically	RB	biologically
inspired	VBN	inspire
bouncing	JJ	bouncing
robot	NN	robot
,	,	,
from	IN	from
the	DT	the
University	NP	University
of	IN	of
Michigan	NP	Michigan
and	CC	and
McGill	NP	McGill
named	VBD	name
RHex	NP	<unknown>
,	,	,
for	IN	for
robot	NN	robot
hexapod	NN	hexapod
,	,	,
and	CC	and
this	DT	this
one	CD	one
'	POS	'
s	NNS	<unknown>
autonomous	JJ	autonomous
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
to	TO	to
the	DT	the
video	NN	video
,	,	,
and	CC	and
let	VB	let
me	PP	me
show	VB	show
you	PP	you
some	DT	some
of	IN	of
these	DT	these
animals	NNS	animal
moving	VBG	move
and	CC	and
then	RB	then
some	DT	some
of	IN	of
the	DT	the
simple	JJ	simple
robots	NNS	robot
that	WDT	that
have	VBP	have
been	VBN	be
inspired	VBN	inspire
by	IN	by
our	PP$	our
discoveries	NNS	discovery
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
some	DT	some
of	IN	of
you	PP	you
did	VBD	do
this	DT	this
morning	NN	morning
,	,	,
although	IN	although
you	PP	you
did	VBD	do
it	PP	it
outside	JJ	outside
,	,	,
not	RB	not
on	IN	on
a	DT	a
treadmill	NN	treadmill
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
death	NN	death
'	POS	'
s	JJ	<unknown>
head	NN	head
cockroach	NN	cockroach
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
American	JJ	American
cockroach	NN	cockroach
you	PP	you
think	VBP	think
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
in	IN	in
your	PP$	your
kitchen	NN	kitchen
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
eight-legged	JJ	eight-legged
scorpion	NN	scorpion
,	,	,
six-legged	JJ	six-legged
ant	NN	ant
,	,	,
forty-four-legged	JJ	forty-four-legged
centipede	NN	centipede
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
said	VBD	say
all	PDT	all
these	DT	these
animals	NNS	animal
are	VBP	be
sort	NN	sort
of	IN	of
working	VBG	work
like	IN	like
pogo	NN	pogo
sticks	NNS	stick
—	:	-
they	PP	they
'	POS	'
re	NN	re
bouncing	VBG	bounce
along	RP	along
as	IN	as
they	PP	they
move	VBP	move
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
in	IN	in
this	DT	this
ghost	NN	ghost
crab	NN	crab
,	,	,
from	IN	from
the	DT	the
beaches	NNS	beach
of	IN	of
Panama	NP	Panama
and	CC	and
North	NP	North
Carolina	NP	Carolina
.	SENT	.
It	PP	it
goes	VBZ	go
up	RP	up
to	TO	to
four	CD	four
meters	NNS	meter
per	IN	per
second	JJ	second
when	WRB	when
it	PP	it
runs	VBZ	run
.	SENT	.
It	PP	it
actually	RB	actually
leaps	VBZ	leap
into	IN	into
the	DT	the
air	NN	air
,	,	,
and	CC	and
has	VBZ	have
aerial	JJ	aerial
phases	NNS	phase
when	WRB	when
it	PP	it
does	VBZ	do
it	PP	it
,	,	,
like	IN	like
a	DT	a
horse	NN	horse
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
it	PP	it
'	''	'
s	NNS	<unknown>
bouncing	VBG	bounce
here	RB	here
.	SENT	.
What	WP	what
we	PP	we
discovered	VBN	discover
is	VBZ	be
whether	IN	whether
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
leg	NN	leg
of	IN	of
a	DT	a
human	NN	human
like	IN	like
Richard	NP	Richard
,	,	,
or	CC	or
a	DT	a
cockroach	NN	cockroach
,	,	,
or	CC	or
a	DT	a
crab	NN	crab
,	,	,
or	CC	or
a	DT	a
kangaroo	NN	kangaroo
,	,	,
the	DT	the
relative	JJ	relative
leg	NN	leg
stiffness	NN	stiffness
of	IN	of
that	DT	that
spring	NN	spring
is	VBZ	be
the	DT	the
same	JJ	same
for	IN	for
everything	NN	everything
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
so	RB	so
far	RB	far
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
good	RB	good
are	VBP	be
springy	JJ	springy
legs	NNS	leg
then	RB	then
?	SENT	?
What	WP	what
can	MD	can
they	PP	they
do	VB	do
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
see	VB	see
if	IN	if
they	PP	they
allowed	VBD	allow
the	DT	the
animals	NNS	animal
to	TO	to
have	VB	have
greater	JJR	great
stability	NN	stability
and	CC	and
