Good	JJ	good
she	PP	she
has	VBZ	have
to	TO	to
go	VB	go
somewhere	RB	somewhere
else	RB	else
.	SENT	.
But	CC	but
where	WRB	where
else	RB	else
do	VB	do
you	PP	you
go	VB	go
if	IN	if
this	DT	this
area	NN	area
is	VBZ	be
8	CD	@card@
,	,	,
000	CD	@card@
square	JJ	square
miles	NNS	mile
big	JJ	big
?	SENT	?
About	IN	about
the	DT	the
size	NN	size
of	IN	of
the	DT	the
state	NN	state
of	IN	of
New	NP	New
Jersey	NP	Jersey
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
either	CC	either
make	VB	make
a	DT	a
decision	NN	decision
to	TO	to
go	VB	go
further	RBR	further
,	,	,
without	IN	without
much	JJ	much
economic	JJ	economic
return	NN	return
,	,	,
or	CC	or
go	VB	go
back	RB	back
to	TO	to
the	DT	the
dock	NN	dock
.	SENT	.
As	IN	as
a	DT	a
scientist	NN	scientist
,	,	,
I	PP	I
have	VBP	have
access	NN	access
to	TO	to
high-tech	JJ	high-tech
equipment	NN	equipment
that	IN	that
we	PP	we
can	MD	can
put	VB	put
over	IN	over
the	DT	the
side	NN	side
of	IN	of
the	DT	the
research	NN	research
vessel	NN	vessel
,	,	,
and	CC	and
it	PP	it
measures	VBZ	measure
oxygen	NN	oxygen
and	CC	and
many	JJ	many
more	JJR	more
things	NNS	thing
.	SENT	.
We	PP	we
start	VBP	start
at	IN	at
the	DT	the
Mississippi	NP	Mississippi
River	NP	River
,	,	,
we	PP	we
crisscross	VBP	crisscross
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
all	RB	all
the	DT	the
way	NN	way
to	TO	to
Texas	NP	Texas
,	,	,
and	CC	and
even	RB	even
I	PP	I
sneak	VBP	sneak
into	IN	into
Texas	NP	Texas
every	DT	every
now	RB	now
and	CC	and
then	RB	then
and	CC	and
test	VB	test
their	PP$	their
waters	NNS	water
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
tell	VB	tell
by	IN	by
the	DT	the
bottom	JJ	bottom
oxygen	NN	oxygen
—	:	-
you	PP	you
can	MD	can
draw	VB	draw
a	DT	a
map	NN	map
of	IN	of
everything	NN	everything
that	RB	that
'	POS	'
s	NNS	<unknown>
less	RBR	less
than	IN	than
two	CD	two
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
magic	JJ	magic
number	NN	number
for	IN	for
when	WRB	when
the	DT	the
fish	NN	fish
start	NN	start
to	TO	to
leave	VB	leave
the	DT	the
area	NN	area
.	SENT	.
I	PP	I
also	RB	also
dive	VBP	dive
in	IN	in
this	DT	this
dead	JJ	dead
zone	NN	zone
.	SENT	.
We	PP	we
have	VBP	have
oxygen	NN	oxygen
meters	NNS	meter
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
deploy	VB	deploy
offshore	RB	offshore
that	WDT	that
tell	VBP	tell
us	PP	us
continuous	JJ	continuous
measurements	NNS	measurement
of	IN	of
low	JJ	low
oxygen	NN	oxygen
or	CC	or
high	JJ	high
oxygen	NN	oxygen
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
get	VBP	get
into	IN	into
the	DT	the
water	NN	water
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
fish	NN	fish
.	SENT	.
Tons	NNS	ton
of	IN	of
fish	NN	fish
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
fish	NN	fish
,	,	,
including	VBG	include
my	PP$	my
buddy	NN	buddy
here	RB	here
,	,	,
the	DT	the
barracuda	NN	barracuda
that	IN	that
I	PP	I
saw	VBD	see
one	CD	one
day	NN	day
.	SENT	.
Everybody	NN	everybody
else	RB	else
swam	VBD	swim
this	DT	this
way	NN	way
and	CC	and
I	PP	I
went	VBD	go
this	DT	this
way	NN	way
with	IN	with
my	PP$	my
camera	NN	camera
.	SENT	.
And	CC	and
then	RB	then
,	,	,
down	RB	down
at	IN	at
30	CD	@card@
feet	NNS	foot
you	PP	you
start	VBP	start
to	TO	to
see	VB	see
fewer	JJR	few
fish	NN	fish
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
bottom	NN	bottom
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
see	VB	see
any	DT	any
fish	NN	fish
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
life	NN	life
on	IN	on
the	DT	the
platform	NN	platform
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
life	NN	life
swimming	VBG	swim
around	RP	around
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
you	PP	you
'	''	'
re	NN	re
in	IN	in
the	DT	the
dead	JJ	dead
zone	NN	zone
.	SENT	.
So	RB	so
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
connection	NN	connection
between	IN	between
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
?	SENT	?
Well	RB	well
,	,	,
most	JJS	most
of	IN	of
the	DT	the
watershed	NN	watershed
is	VBZ	be
farmland	NN	farmland
.	SENT	.
And	CC	and
in	IN	in
particular	JJ	particular
,	,	,
corn-	JJ	<unknown>
soybean	NN	soybean
rotation	NN	rotation
.	SENT	.
The	DT	the
nitrogen	NN	nitrogen
that	WDT	that
is	VBZ	be
put	VBN	put
in	IN	in
fertilizers	NNS	fertilizer
and	CC	and
the	DT	the
phosphorus	NN	phosphorus
goes	VBZ	go
on	IN	on
the	DT	the
land	NN	land
and	CC	and
drains	VBZ	drain
off	RP	off
into	IN	into
the	DT	the
Mississippi	NP	Mississippi
River	NP	River
and	CC	and
ends	VBZ	end
up	RP	up
in	IN	in
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
three	CD	three
times	NNS	time
more	JJR	more
nitrogen	NN	nitrogen
in	IN	in
the	DT	the
water	NN	water
in	IN	in
the	DT	the
Mississippi	NP	Mississippi
now	RB	now
,	,	,
than	IN	than
there	EX	there
was	VBD	be
in	IN	in
the	DT	the
1950s	NNS	1950s
.	SENT	.
Three	CD	three
times	NNS	time
.	SENT	.
And	CC	and
phosphorus	NN	phosphorus
has	VBZ	have
doubled	VBN	double
.	SENT	.
And	CC	and
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
more	JJR	more
phytoplankton	NN	phytoplankton
and	CC	and
more	JJR	more
sinking	NN	sinking
sails	NNS	sail
and	CC	and
lower	JJR	low
oxygen	NN	oxygen
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
a	DT	a
natural	JJ	natural
feature	NN	feature
of	IN	of
the	DT	the
Gulf	NP	Gulf
;	:	;
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
caused	VBN	cause
by	IN	by
human	JJ	human
activities	NNS	activity
.	SENT	.
The	DT	the
landscape	NN	landscape
is	VBZ	be
not	RB	not
what	WP	what
it	PP	it
used	VBD	use
to	TO	to
be	VB	be
.	SENT	.
It	PP	it
used	VBD	use
to	TO	to
be	VB	be
prairies	NNS	prairie
and	CC	and
forests	NNS	forest
and	CC	and
prairie	NN	prairie
potholes	NNS	pothole
and	CC	and
duck	NN	duck
areas	NNS	area
and	CC	and
all	DT	all
kinds	NNS	kind
of	IN	of
stuff	NN	stuff
.	SENT	.
But	CC	but
not	RB	not
anymore	RB	anymore
—	:	-
it	PP	it
'	POS	'
s	JJ	<unknown>
row	NN	row
crops	NNS	crop
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
ways	NNS	way
that	IN	that
we	PP	we
can	MD	can
address	VB	address
this	DT	this
type	NN	type
of	IN	of
agriculture	NN	agriculture
by	IN	by
using	VBG	use
less	JJR	less
fertilizer	NN	fertilizer
,	,	,
maybe	RB	maybe
precision	NN	precision
fertilizing	VBG	fertilize
.	SENT	.
And	CC	and
trying	VBG	try
some	DT	some
sustainable	JJ	sustainable
agriculture	NN	agriculture
such	JJ	such
as	IN	as
perennial	JJ	perennial
wheatgrass	NN	wheatgrass
,	,	,
which	WDT	which
has	VBZ	have
much	RB	much
longer	JJR	long
roots	NNS	root
than	IN	than
the	DT	the
six	CD	six
inches	NNS	inch
of	IN	of
a	DT	a
corn	NN	corn
plant	NN	plant
,	,	,
that	WDT	that
can	MD	can
keep	VB	keep
the	DT	the
nitrogen	NN	nitrogen
on	IN	on
the	DT	the
soil	NN	soil
and	CC	and
keep	VB	keep
the	DT	the
soil	NN	soil
from	IN	from
running	VBG	run
off	RP	off
.	SENT	.
And	CC	and
how	WRB	how
do	VBP	do
we	PP	we
convince	VB	convince
our	PP$	our
neighbors	NNS	neighbor
to	TO	to
the	DT	the
north	NN	north
,	,	,
maybe	RB	maybe
1	CD	@card@
,	,	,
000	CD	@card@
miles	NNS	mile
away	RB	away
or	CC	or
more	JJR	more
,	,	,
that	IN	that
their	PP$	their
activities	NNS	activity
are	VBP	be
causing	VBG	cause
problems	NNS	problem
with	IN	with
water	NN	water
quality	NN	quality
in	IN	in
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
?	SENT	?
First	JJ	first
of	IN	of
all	DT	all
,	,	,
we	PP	we
can	MD	can
take	VB	take
them	PP	them
to	TO	to
their	PP$	their
own	JJ	own
backyard	NN	backyard
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
swimming	NN	swimming
in	IN	in
Wisconsin	NP	Wisconsin
in	IN	in
the	DT	the
summer	NN	summer
in	IN	in
your	PP$	your
favorite	JJ	favorite
watering	NN	watering
hole	NN	hole
,	,	,
you	PP	you
might	MD	might
find	VB	find
something	NN	something
like	IN	like
this	DT	this
which	WDT	which
looks	VBZ	look
like	IN	like
spilled	VBN	spill
green	JJ	green
paint	NN	paint
and	CC	and
smells	VBZ	smell
like	IN	like
it	PP	it
,	,	,
growing	VBG	grow
on	IN	on
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
water	NN	water
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
toxic	JJ	toxic
blue-green	JJ	blue-green
algal	JJ	algal
bloom	NN	bloom
and	CC	and
it	PP	it
is	VBZ	be
not	RB	not
good	JJ	good
for	IN	for
you	PP	you
.	SENT	.
Similarly	RB	similarly
,	,	,
in	IN	in
Lake	NP	Lake
Erie	NP	Erie
,	,	,
couple	NN	couple
of	IN	of
summers	NNS	summer
ago	RB	ago
there	EX	there
was	VBD	be
hundreds	NNS	hundred
of	IN	of
miles	NNS	mile
of	IN	of
this	DT	this
blue-green	JJ	blue-green
algae	NN	algae
and	CC	and
the	DT	the
city	NN	city
of	IN	of
Toledo	NP	Toledo
,	,	,
Ohio	NP	Ohio
,	,	,
couldn	NN	<unknown>
'	POS	'
t	NN	t
use	VB	use
it	PP	it
for	IN	for
their	PP$	their
drinking	NN	drinking
water	NN	water
for	IN	for
several	JJ	several
days	NNS	day
on	IN	on
end	NN	end
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
watch	VBP	watch
the	DT	the
news	NN	news
,	,	,
you	PP	you
know	VBP	know
that	IN	that
lots	NNS	lot
of	IN	of
communities	NNS	community
are	VBP	be
having	VBG	have
trouble	NN	trouble
with	IN	with
drinking	NN	drinking
water	NN	water
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
scientist	NN	scientist
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
could	MD	could
tell	VB	tell
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
do	VBP	do
solid	JJ	solid
science	NN	science
,	,	,
I	PP	I
publish	VBP	publish
my	PP$	my
results	NNS	result
,	,	,
my	PP$	my
colleagues	NNS	colleague
read	VBP	read
them	PP	them
,	,	,
I	PP	I
get	VBP	get
citations	NNS	citation
of	IN	of
my	PP$	my
work	NN	work
.	SENT	.
But	CC	but
I	PP	I
truly	RB	truly
believe	VBP	believe
that	IN	that
,	,	,
as	IN	as
a	DT	a
scientist	NN	scientist
,	,	,
using	VBG	use
mostly	RB	mostly
federal	JJ	federal
funds	NNS	fund
to	TO	to
do	VB	do
the	DT	the
research	NN	research
,	,	,
I	PP	I
owe	VBP	owe
it	PP	it
to	TO	to
the	DT	the
public	NN	public
,	,	,
to	TO	to
agency	NN	agency
heads	NNS	head
and	CC	and
congressional	JJ	congressional
people	NNS	people
to	TO	to
share	VB	share
my	PP$	my
knowledge	NN	knowledge
with	IN	with
them	PP	them
so	IN	so
they	PP	they
can	MD	can
use	VB	use
it	PP	it
,	,	,
hopefully	RB	hopefully
to	TO	to
make	VB	make
better	JJR	good
decisions	NNS	decision
about	IN	about
our	PP$	our
environmental	JJ	environmental
policy	NN	policy
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
ways	NNS	way
that	IN	that
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
do	VB	do
this	DT	this
is	VBZ	be
I	PP	I
brought	VBD	bring
in	IN	in
the	DT	the
media	NNS	medium
.	SENT	.
And	CC	and
Joby	NP	Joby
Warrick	NP	Warrick
from	IN	from
the	DT	the
"	``	"
Washington	NP	Washington
Post	NP	Post
"	``	"
put	VBD	put
this	DT	this
picture	NN	picture
in	IN	in
an	DT	an
article	NN	article
on	IN	on
the	DT	the
front	JJ	front
page	NN	page
,	,	,
Sunday	NP	Sunday
morning	NN	morning
,	,	,
two	CD	two
inches	NNS	inch
above	IN	above
the	DT	the
fold	NN	fold
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
deal	NN	deal
.	SENT	.
And	CC	and
Senator	NP	Senator
John	NP	John
Breaux	NP	Breaux
,	,	,
from	IN	from
Louisiana	NP	Louisiana
,	,	,
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
gosh	NN	gosh
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
they	PP	they
think	VBP	think
the	DT	the
Gulf	NP	Gulf
of	IN	of
Mexico	NP	Mexico
looks	VBZ	look
like	IN	like
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
proof	NN	proof
.	SENT	.
"	``	"
And	CC	and
we	PP	we
'	POS	'
ve	NNS	<unknown>
go	VBP	go
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
Senator	NP	Senator
Olympia	NP	Olympia
Snowe	NP	Snowe
from	IN	from
Maine	NP	Maine
was	VBD	be
having	VBG	have
trouble	NN	trouble
with	IN	with
harmful	JJ	harmful
algal	JJ	algal
blooms	NNS	bloom
in	IN	in
the	DT	the
Gulf	NP	Gulf
of	IN	of
Maine	NP	Maine
.	SENT	.
They	PP	they
joined	VBD	join
forces	NNS	force
—	:	-
it	PP	it
was	VBD	be
bipartisan	JJ	bipartisan
—	:	-
And	CC	and
invited	VBD	invite
me	PP	me
to	TO	to
give	VB	give
congressional	JJ	congressional
testimony	NN	testimony
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
all	DT	all
I	NP	I
'	POS	'
ve	NN	ve
done	VBN	do
is	VBZ	be
chase	JJ	chase
crabs	NNS	crab
around	IN	around
south	JJ	south
Texas	NP	Texas
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
"	``	"
But	CC	but
I	PP	I
did	VBD	do
it	PP	it
.	SENT	.
And	CC	and
eventually	RB	eventually
,	,	,
the	DT	the
bill	NN	bill
passed	VBD	pass
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
called	VBN	call
—	:	-
yeah	RB	yeah
,	,	,
yay	NN	yay
!	SENT	!
It	PP	it
was	VBD	be
called	VBN	call
The	DT	the
Harmful	JJ	harmful
Algal	JJ	algal
Bloom	NP	Bloom
and	CC	and
Hypoxia	NN	hypoxia
Research	NP	Research
and	CC	and
Control	NP	Control
Act	NP	Act
of	IN	of
1998	CD	@card@
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Which	WDT	which
is	VBZ	be
why	WRB	why
we	PP	we
call	VBP	call
it	PP	it
the	DT	the
Snowe-Breaux	NP	Snowe-Breaux
Bill	NP	Bill
.	SENT	.
The	DT	the
other	JJ	other
thing	NN	thing
is	VBZ	be
that	IN	that
we	PP	we
had	VBD	have
a	DT	a
conference	NN	conference
in	IN	in
2001	CD	@card@
that	WDT	that
was	VBD	be
put	VBN	put
on	IN	on
by	IN	by
the	DT	the
National	NP	National
Academy	NP	Academy
of	IN	of
Sciences	NPS	Sciences
that	IN	that
looked	VBN	look
at	IN	at
fertilizers	NNS	fertilizer
,	,	,
nitrogen	NN	nitrogen
and	CC	and
poor	JJ	poor
water	NN	water
quality	NN	quality
.	SENT	.
Our	PP$	our
plenary	JJ	plenary
speaker	NN	speaker
was	VBD	be
the	DT	the
former	JJ	former
governor	NN	governor
of	IN	of
the	DT	the
state	NN	state
of	IN	of
New	NP	New
Jersey	NP	Jersey
.	SENT	.
And	CC	and
she	PP	she
.	SENT	.
.	SENT	.
.	SENT	.
There	EX	there
was	VBD	be
no	RB	no
thinking	VBG	think
she	PP	she
wasn	NN	<unknown>
'	POS	'
t	NN	t
serious	JJ	serious
when	WRB	when
she	PP	she
peered	VBD	peer
at	IN	at
the	DT	the
audience	NN	audience
,	,	,
and	CC	and
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Surely	RB	surely
she	PP	she
'	POS	'
s	NNS	<unknown>
looking	VBG	look
at	IN	at
me	PP	me
.	SENT	.
"	''	"
"	``	"
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
really	RB	really
tired	VBN	tire
of	IN	of
this	DT	this
thing	NN	thing
being	VBG	be
called	VBN	call
New	NP	New
Jersey	NP	Jersey
.	SENT	.
Pick	VB	pick
another	DT	another
state	NN	state
,	,	,
any	DT	any
state	NN	state
,	,	,
I	PP	I
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
hear	VB	hear
it	PP	it
anymore	RB	anymore
.	SENT	.
"	``	"
But	CC	but
she	PP	she
was	VBD	be
able	JJ	able
to	TO	to
move	VB	move
the	DT	the
action	NN	action
plan	NN	plan
across	IN	across
President	NP	President
George	NP	George
H	NP	H
.	SENT	.
W	NP	W
.	SENT	.
Bush	NP	Bush
'	POS	'
s	NN	S
desk	NN	desk
so	RB	so
that	IN	that
we	PP	we
had	VBD	have
environmental	JJ	environmental
goals	NNS	goal
and	CC	and
that	IN	that
we	PP	we
were	VBD	be
working	VBG	work
to	TO	to
solve	VB	solve
them	PP	them
.	SENT	.
The	DT	the
Midwest	NN	Midwest
does	VBZ	do
not	RB	not
feed	VB	feed
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
feeds	VBZ	feed
a	DT	a
lot	NN	lot
of	IN	of
chickens	NNS	chicken
,	,	,
hogs	NNS	hog
,	,	,
cattle	NNS	cattle
and	CC	and
it	PP	it
generates	VBZ	generate
ethanol	NN	ethanol
to	TO	to
put	VB	put
into	IN	into
our	PP$	our
gasoline	NN	gasoline
,	,	,
which	WDT	which
is	VBZ	be
regulated	VBN	regulate
by	IN	by
federal	JJ	federal
policy	NN	policy
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
better	JJR	good
than	IN	than
this	DT	this
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
make	VB	make
decisions	NNS	decision
that	WDT	that
make	VBP	make
us	PP	us
less	JJR	less
consumptive	NN	consumptive
and	CC	and
reduce	VB	reduce
our	PP$	our
reliance	NN	reliance
on	IN	on
nitrogen	NN	nitrogen
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
carbon	NN	carbon
footprint	NN	footprint
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
reduce	VB	reduce
your	PP$	your
nitrogen	NN	nitrogen
footprint	NN	footprint
.	SENT	.
I	PP	I
do	VBP	do
it	PP	it
by	IN	by
not	RB	not
eating	VBG	eat
much	JJ	much
meat	NN	meat
—	:	-
I	PP	I
still	RB	still
like	VBP	like
a	DT	a
little	JJ	little
every	DT	every
now	RB	now
and	CC	and
then	RB	then
—	:	-
not	RB	not
using	VBG	use
corn	NN	corn
oil	NN	oil
,	,	,
driving	VBG	drive
a	DT	a
car	NN	car
that	IN	that
I	PP	I
can	MD	can
put	VB	put
nonethanol	NN	nonethanol
gas	NN	gas
in	IN	in
and	CC	and
get	VB	get
better	JJR	good
gas	NN	gas
mileage	NN	mileage
.	SENT	.
Just	RB	just
things	NNS	thing
like	IN	like
that	DT	that
that	WDT	that
can	MD	can
make	VB	make
a	DT	a
difference	NN	difference
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
challenging	VBG	challenge
,	,	,
not	RB	not
just	RB	just
you	PP	you
,	,	,
but	CC	but
I	PP	I
challenge	VBP	challenge
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
especially	RB	especially
in	IN	in
the	DT	the
Midwest	NP	Midwest
—	:	-
think	VBP	think
about	RB	about
how	WRB	how
you	PP	you
'	POS	'
re	NN	re
treating	VBG	treat
your	PP$	your
land	NN	land
and	CC	and
how	WRB	how
you	PP	you
can	MD	can
make	VB	make
a	DT	a
difference	NN	difference
.	SENT	.
So	IN	so
my	PP$	my
steps	NNS	step
are	VBP	be
very	RB	very
small	JJ	small
steps	NNS	step
.	SENT	.
To	TO	to
change	VB	change
the	DT	the
type	NN	type
of	IN	of
agriculture	NN	agriculture
