Ten	CD	ten
image	NN	image
classification	NN	classification
,	,	,
but	CC	but
what	WP	what
happens	VBZ	happen
when	WRB	when
we	PP	we
run	VBP	run
our	PP$	our
classifier	NN	classifier
on	IN	on
an	DT	an
image	NN	image
that	WDT	that
looks	VBZ	look
like	IN	like
this	DT	this
?	SENT	?
Well	UH	well
.	SENT	.
.	SENT	.
.	SENT	.
We	PP	we
see	VBP	see
that	IN	that
the	DT	the
classifier	NN	classifier
comes	VBZ	come
back	RB	back
with	IN	with
a	DT	a
pretty	JJ	pretty
similar	JJ	similar
prediction	NN	prediction
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
correct	VBP	correct
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
malamute	NN	malamute
in	IN	in
the	DT	the
image	NN	image
,	,	,
but	CC	but
just	RB	just
given	VBN	give
this	DT	this
label	NN	label
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
actually	RB	actually
know	VBP	know
that	IN	that
much	RB	much
about	IN	about
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
image	NN	image
.	SENT	.
We	PP	we
need	VBP	need
something	NN	something
more	RBR	more
powerful	JJ	powerful
.	SENT	.
I	PP	I
work	VBP	work
on	IN	on
a	DT	a
problem	NN	problem
called	VBD	call
object	NN	object
detection	NN	detection
,	,	,
where	WRB	where
we	PP	we
look	VBP	look
at	IN	at
an	DT	an
image	NN	image
and	CC	and
try	VB	try
to	TO	to
find	VB	find
all	DT	all
of	IN	of
the	DT	the
objects	NNS	object
,	,	,
put	VBD	put
bounding	VBG	bound
boxes	NNS	box
around	IN	around
them	PP	them
and	CC	and
say	VBP	say
what	WP	what
those	DT	those
objects	NNS	object
are	VBP	be
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	NN	S
what	WP	what
happens	VBZ	happen
when	WRB	when
we	PP	we
run	VBP	run
a	DT	a
detector	NN	detector
on	IN	on
this	DT	this
image	NN	image
.	SENT	.
Now	RB	now
,	,	,
with	IN	with
this	DT	this
kind	NN	kind
of	IN	of
result	NN	result
,	,	,
we	PP	we
can	MD	can
do	VB	do
a	DT	a
lot	NN	lot
more	RBR	more
with	IN	with
our	PP$	our
computer	NN	computer
vision	NN	vision
algorithms	NNS	algorithm
.	SENT	.
We	PP	we
see	VBP	see
that	IN	that
it	PP	it
knows	VBZ	know
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
cat	NN	cat
and	CC	and
a	DT	a
dog	NN	dog
.	SENT	.
It	PP	it
knows	VBZ	know
their	PP$	their
relative	JJ	relative
locations	NNS	location
,	,	,
their	PP$	their
size	NN	size
.	SENT	.
It	PP	it
may	MD	may
even	RB	even
know	VB	know
some	DT	some
extra	JJ	extra
information	NN	information
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
book	NN	book
sitting	VBG	sit
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
build	VB	build
a	DT	a
system	NN	system
on	IN	on
top	NN	top
of	IN	of
computer	NN	computer
vision	NN	vision
,	,	,
say	VBP	say
a	DT	a
self-driving	JJ	self-driving
vehicle	NN	vehicle
or	CC	or
a	DT	a
robotic	JJ	robotic
system	NN	system
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
information	NN	information
that	IN	that
you	PP	you
want	VBP	want
.	SENT	.
You	PP	you
want	VBP	want
something	NN	something
so	RB	so
that	IN	that
you	PP	you
can	MD	can
interact	VB	interact
with	IN	with
the	DT	the
physical	JJ	physical
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
I	PP	I
started	VBD	start
working	VBG	work
on	IN	on
object	NN	object
detection	NN	detection
,	,	,
it	PP	it
took	VBD	take
20	CD	@card@
seconds	NNS	second
to	TO	to
process	VB	process
a	DT	a
single	JJ	single
image	NN	image
.	SENT	.
And	CC	and
to	TO	to
get	VB	get
a	DT	a
feel	NN	feel
for	IN	for
why	WRB	why
speed	NN	speed
is	VBZ	be
so	RB	so
important	JJ	important
in	IN	in
this	DT	this
domain	NN	domain
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
example	NN	example
of	IN	of
an	DT	an
object	NN	object
detector	NN	detector
that	WDT	that
takes	VBZ	take
two	CD	two
seconds	NNS	second
to	TO	to
process	VB	process
an	DT	an
image	NN	image
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
10	CD	@card@
times	NNS	time
faster	RBR	faster
than	IN	than
the	DT	the
20-seconds-per-image	JJ	<unknown>
detector	NN	detector
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
by	IN	by
the	DT	the
time	NN	time
it	PP	it
makes	VBZ	make
predictions	NNS	prediction
,	,	,
the	DT	the
entire	JJ	entire
state	NN	state
of	IN	of
the	DT	the
world	NN	world
has	VBZ	have
changed	VBN	change
,	,	,
and	CC	and
this	DT	this
wouldn	NN	<unknown>
'	POS	'
t	NN	t
be	VB	be
very	RB	very
useful	JJ	useful
for	IN	for
an	DT	an
application	NN	application
.	SENT	.
If	IN	if
we	PP	we
speed	VB	speed
this	DT	this
up	RP	up
by	IN	by
another	DT	another
factor	NN	factor
of	IN	of
10	CD	@card@
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
detector	NN	detector
running	VBG	run
at	IN	at
five	CD	five
frames	NNS	frame
per	IN	per
second	JJ	second
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
lot	NN	lot
better	RBR	well
,	,	,
but	CC	but
for	IN	for
example	NN	example
,	,	,
if	IN	if
there	EX	there
'	''	'
s	VBG	<unknown>
any	DT	any
significant	JJ	significant
movement	NN	movement
,	,	,
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
a	DT	a
system	NN	system
like	IN	like
this	DT	this
driving	VBG	drive
my	PP$	my
car	NN	car
.	SENT	.
This	DT	this
is	VBZ	be
our	PP$	our
detection	NN	detection
system	NN	system
running	VBG	run
in	IN	in
real	JJ	real
time	NN	time
on	IN	on
my	PP$	my
laptop	NN	laptop
.	SENT	.
So	RB	so
it	PP	it
smoothly	RB	smoothly
tracks	VBZ	track
me	PP	me
as	IN	as
I	PP	I
move	VBP	move
around	IN	around
the	DT	the
frame	NN	frame
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
robust	JJ	robust
to	TO	to
a	DT	a
wide	JJ	wide
variety	NN	variety
of	IN	of
changes	NNS	change
in	IN	in
size	NN	size
,	,	,
pose	VB	pose
,	,	,
forward	RB	forward
,	,	,
backward	RB	backward
.	SENT	.
This	DT	this
is	VBZ	be
great	JJ	great
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
we	PP	we
really	RB	really
need	VBP	need
if	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
build	VB	build
systems	NNS	system
on	IN	on
top	NN	top
of	IN	of
computer	NN	computer
vision	NN	vision
.	SENT	.
So	RB	so
in	IN	in
just	RB	just
a	DT	a
few	JJ	few
years	NNS	year
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
from	IN	from
20	CD	@card@
seconds	NNS	second
per	IN	per
image	NN	image
to	TO	to
20	CD	@card@
milliseconds	NNS	millisecond
per	IN	per
image	NN	image
,	,	,
a	DT	a
thousand	CD	thousand
times	NNS	time
faster	RBR	faster
.	SENT	.
How	WRB	how
did	VBD	do
we	PP	we
get	VBP	get
there	RB	there
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
the	DT	the
past	NN	past
,	,	,
object	VBP	object
detection	NN	detection
systems	NNS	system
would	MD	would
take	VB	take
an	DT	an
image	NN	image
like	IN	like
this	DT	this
and	CC	and
split	VB	split
it	PP	it
into	IN	into
a	DT	a
bunch	NN	bunch
of	IN	of
regions	NNS	region
and	CC	and
then	RB	then
run	VB	run
a	DT	a
classifier	NN	classifier
on	IN	on
each	DT	each
of	IN	of
these	DT	these
regions	NNS	region
,	,	,
and	CC	and
high	JJ	high
scores	NNS	score
for	IN	for
that	DT	that
classifier	NN	classifier
would	MD	would
be	VB	be
considered	VBN	consider
detections	NNS	detection
in	IN	in
the	DT	the
image	NN	image
.	SENT	.
But	CC	but
this	DT	this
involved	VBN	involve
running	VBG	run
a	DT	a
classifier	NN	classifier
thousands	NNS	thousand
of	IN	of
times	NNS	time
over	IN	over
an	DT	an
image	NN	image
,	,	,
thousands	NNS	thousand
of	IN	of
neural	JJ	neural
network	NN	network
evaluations	NNS	evaluation
to	TO	to
produce	VB	produce
detection	NN	detection
.	SENT	.
Instead	RB	instead
,	,	,
we	PP	we
trained	VBD	train
a	DT	a
single	JJ	single
network	NN	network
to	TO	to
do	VB	do
all	RB	all
of	IN	of
detection	NN	detection
for	IN	for
us	PP	us
.	SENT	.
It	PP	it
produces	VBZ	produce
all	DT	all
of	IN	of
the	DT	the
bounding	VBG	bound
boxes	NNS	box
and	CC	and
class	NN	class
probabilities	NNS	probability
simultaneously	RB	simultaneously
.	SENT	.
With	IN	with
our	PP$	our
system	NN	system
,	,	,
instead	RB	instead
of	IN	of
looking	VBG	look
at	IN	at
an	DT	an
image	NN	image
thousands	NNS	thousand
of	IN	of
times	NNS	time
to	TO	to
produce	VB	produce
detection	NN	detection
,	,	,
you	PP	you
only	RB	only
look	VBP	look
once	RB	once
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
we	PP	we
call	VBP	call
it	PP	it
the	DT	the
YOLO	NP	Yolo
method	NN	method
of	IN	of
object	NN	object
detection	NN	detection
.	SENT	.
So	RB	so
with	IN	with
this	DT	this
speed	NN	speed
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
just	RB	just
limited	VBN	limit
to	TO	to
images	NNS	image
;	:	;
we	PP	we
can	MD	can
process	VB	process
video	NN	video
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
And	CC	and
now	RB	now
,	,	,
instead	RB	instead
of	IN	of
just	RB	just
seeing	VBG	see
that	DT	that
cat	NN	cat
and	CC	and
dog	NN	dog
,	,	,
we	PP	we
can	MD	can
see	VB	see
them	PP	them
move	VB	move
around	RP	around
and	CC	and
interact	VB	interact
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
detector	NN	detector
that	IN	that
we	PP	we
trained	VBD	train
on	IN	on
80	CD	@card@
different	JJ	different
classes	NNS	class
in	IN	in
Microsoft	NP	Microsoft
'	POS	'
s	JJ	<unknown>
COCO	NN	coco
dataset	NN	<unknown>
.	SENT	.
It	PP	it
has	VBZ	have
all	DT	all
sorts	NNS	sort
of	IN	of
things	NNS	thing
like	IN	like
spoon	NN	spoon
and	CC	and
fork	NN	fork
,	,	,
bowl	NN	bowl
,	,	,
common	JJ	common
objects	NNS	object
like	IN	like
that	DT	that
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
variety	NN	variety
of	IN	of
more	JJR	more
exotic	JJ	exotic
things	NNS	thing
:	:	:
animals	NNS	animal
,	,	,
cars	NNS	car
,	,	,
zebras	NNS	zebra
,	,	,
giraffes	NNS	giraffe
.	SENT	.
And	CC	and
now	RB	now
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
something	NN	something
fun	NN	fun
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
just	RB	just
going	VBG	go
to	TO	to
go	VB	go
out	RP	out
into	IN	into
the	DT	the
audience	NN	audience
and	CC	and
see	VB	see
what	WP	what
kind	NN	kind
of	IN	of
things	NNS	thing
we	PP	we
can	MD	can
detect	VB	detect
.	SENT	.
Does	VBZ	do
anyone	NN	anyone
want	VB	want
a	DT	a
stuffed	JJ	stuffed
animal	NN	animal
?	SENT	?
There	EX	there
are	VBP	be
some	DT	some
teddy	NN	teddy
bears	VBZ	bear
out	RP	out
there	RB	there
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
turn	VB	turn
down	RP	down
our	PP$	our
threshold	NN	threshold
for	IN	for
detection	NN	detection
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
so	RB	so
we	PP	we
can	MD	can
find	VB	find
more	JJR	more
of	IN	of
you	PP	you
guys	VBZ	guy
out	RP	out
in	IN	in
the	DT	the
audience	NN	audience
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
if	IN	if
we	PP	we
can	MD	can
get	VB	get
these	DT	these
stop	NN	stop
signs	NNS	sign
.	SENT	.
We	PP	we
find	VBP	find
some	DT	some
backpacks	NNS	backpack
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
just	RB	just
zoom	VB	zoom
in	IN	in
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
great	JJ	great
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
the	DT	the
processing	NN	processing
is	VBZ	be
happening	VBG	happen
in	IN	in
real	JJ	real
time	NN	time
on	IN	on
the	DT	the
laptop	NN	laptop
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
remember	VB	remember
that	IN	that
this	DT	this
is	VBZ	be
a	DT	a
general	JJ	general
purpose	NN	purpose
object	NN	object
detection	NN	detection
system	NN	system
,	,	,
so	RB	so
we	PP	we
can	MD	can
train	VB	train
this	DT	this
for	IN	for
any	DT	any
image	NN	image
domain	NN	domain
.	SENT	.
The	DT	the
same	JJ	same
code	NN	code
that	IN	that
we	PP	we
use	VBP	use
to	TO	to
find	VB	find
stop	NN	stop
signs	NNS	sign
or	CC	or
pedestrians	NNS	pedestrian
,	,	,
bicycles	NNS	bicycle
in	IN	in
a	DT	a
self-driving	JJ	self-driving
vehicle	NN	vehicle
,	,	,
can	MD	can
be	VB	be
used	VBN	use
to	TO	to
find	VB	find
cancer	NN	cancer
cells	NNS	cell
in	IN	in
a	DT	a
tissue	NN	tissue
biopsy	NN	biopsy
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
researchers	NNS	researcher
around	IN	around
the	DT	the
globe	NN	globe
already	RB	already
using	VBG	use
this	DT	this
technology	NN	technology
for	IN	for
advances	NNS	advance
in	IN	in
things	NNS	thing
like	IN	like
medicine	NN	medicine
,	,	,
robotics	NNS	robotic
.	SENT	.
This	DT	this
morning	NN	morning
,	,	,
I	PP	I
read	VBP	read
a	DT	a
paper	NN	paper
where	WRB	where
they	PP	they
were	VBD	be
taking	VBG	take
a	DT	a
census	NN	census
of	IN	of
animals	NNS	animal
in	IN	in
Nairobi	NP	Nairobi
National	NP	National
Park	NP	Park
with	IN	with
YOLO	NP	Yolo
as	IN	as
part	NN	part
of	IN	of
this	DT	this
detection	NN	detection
system	NN	system
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
Darknet	NP	<unknown>
is	VBZ	be
open	JJ	open
source	NN	source
and	CC	and
in	IN	in
the	DT	the
public	JJ	public
domain	NN	domain
,	,	,
free	JJ	free
for	IN	for
anyone	NN	anyone
to	TO	to
use	VB	use
.	SENT	.
But	CC	but
we	PP	we
wanted	VBD	want
to	TO	to
make	VB	make
detection	NN	detection
even	RB	even
more	RBR	more
accessible	JJ	accessible
and	CC	and
usable	JJ	usable
,	,	,
so	RB	so
through	IN	through
a	DT	a
combination	NN	combination
of	IN	of
model	NN	model
optimization	NN	optimization
,	,	,
network	NN	network
binarization	NN	<unknown>
and	CC	and
approximation	NN	approximation
,	,	,
we	PP	we
actually	RB	actually
have	VBP	have
object	NN	object
detection	NN	detection
running	VBG	run
on	IN	on
a	DT	a
phone	NN	phone
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
because	IN	because
now	RB	now
we	PP	we
have	VBP	have
a	DT	a
pretty	RB	pretty
powerful	JJ	powerful
solution	NN	solution
to	TO	to
this	DT	this
low-level	JJ	low-level
computer	NN	computer
vision	NN	vision
problem	NN	problem
,	,	,
and	CC	and
anyone	NN	anyone
can	MD	can
take	VB	take
it	PP	it
and	CC	and
build	VB	build
something	NN	something
with	IN	with
it	PP	it
.	SENT	.
So	RB	so
now	RB	now
the	DT	the
rest	NN	rest
is	VBZ	be
up	RB	up
to	TO	to
all	DT	all
of	IN	of
you	PP	you
and	CC	and
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
with	IN	with
access	NN	access
to	TO	to
this	DT	this
software	NN	software
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
wait	VB	wait
to	TO	to
see	VB	see
what	WP	what
people	NNS	people
will	MD	will
build	VB	build
with	IN	with
this	DT	this
technology	NN	technology
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
