Once	RB	once
We	PP	we
cannot	MD	can
see	VB	see
them	PP	them
with	IN	with
our	PP$	our
naked	JJ	naked
eye	NN	eye
.	SENT	.
We	PP	we
can	MD	can
only	RB	only
see	VB	see
an	DT	an
itty	NN	<unknown>
bitty	JJ	bitty
,	,	,
tiny	JJ	tiny
portion	NN	portion
of	IN	of
the	DT	the
electromagnetic	JJ	electromagnetic
spectrum	NN	spectrum
that	IN	that
we	PP	we
call	VBP	call
visible	JJ	visible
light	NN	light
.	SENT	.
And	CC	and
beyond	IN	beyond
that	DT	that
,	,	,
we	PP	we
rely	VBP	rely
on	IN	on
other	JJ	other
methods	NNS	method
.	SENT	.
Yet	RB	yet
as	IN	as
astronomers	NNS	astronomer
,	,	,
we	PP	we
study	VBP	study
a	DT	a
wider	JJR	wide
range	NN	range
of	IN	of
light	NN	light
and	CC	and
we	PP	we
depend	VBP	depend
on	IN	on
other	JJ	other
methods	NNS	method
to	TO	to
do	VB	do
that	DT	that
.	SENT	.
On	IN	on
the	DT	the
screen	NN	screen
,	,	,
it	PP	it
may	MD	may
look	VB	look
like	IN	like
this	DT	this
.	SENT	.
You	PP	you
'	''	'
re	IN	re
seeing	VBG	see
a	DT	a
plot	NN	plot
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
light	JJ	light
curve	NN	curve
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
plot	NN	plot
of	IN	of
intensity	NN	intensity
of	IN	of
light	NN	light
over	IN	over
time	NN	time
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
gamma-ray	NN	gamma-ray
light	NN	light
curve	NN	curve
.	SENT	.
Sighted	JJ	sighted
astronomers	NNS	astronomer
depend	VBP	depend
on	IN	on
this	DT	this
kind	NN	kind
of	IN	of
plot	NN	plot
in	IN	in
order	NN	order
to	TO	to
interpret	VB	interpret
how	WRB	how
this	DT	this
light	JJ	light
intensity	NN	intensity
changes	NNS	change
over	IN	over
time	NN	time
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
,	,	,
you	PP	you
will	MD	will
be	VB	be
seeing	VBG	see
the	DT	the
light	JJ	light
intensity	NN	intensity
without	IN	without
a	DT	a
burst	NN	burst
,	,	,
and	CC	and
on	IN	on
the	DT	the
right	NN	right
,	,	,
you	PP	you
will	MD	will
be	VB	be
seeing	VBG	see
the	DT	the
light	JJ	light
intensity	NN	intensity
with	IN	with
the	DT	the
burst	NN	burst
.	SENT	.
Early	RB	early
during	IN	during
my	PP$	my
career	NN	career
,	,	,
I	PP	I
could	MD	could
also	RB	also
see	VB	see
this	DT	this
kind	NN	kind
of	IN	of
plot	NN	plot
.	SENT	.
But	CC	but
then	RB	then
,	,	,
I	PP	I
lost	VBD	lose
my	PP$	my
sight	NN	sight
.	SENT	.
I	PP	I
completely	RB	completely
lost	VBD	lose
my	PP$	my
sight	NN	sight
because	IN	because
of	IN	of
extended	JJ	extended
illness	NN	illness
,	,	,
and	CC	and
with	IN	with
it	PP	it
,	,	,
I	PP	I
lost	VBD	lose
the	DT	the
opportunity	NN	opportunity
to	TO	to
see	VB	see
this	DT	this
plot	NN	plot
and	CC	and
the	DT	the
opportunity	NN	opportunity
to	TO	to
do	VB	do
my	PP$	my
physics	NNS	physic
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	RB	very
strong	JJ	strong
transition	NN	transition
for	IN	for
me	PP	me
in	IN	in
many	JJ	many
ways	NNS	way
.	SENT	.
And	CC	and
professionally	RB	professionally
,	,	,
it	PP	it
left	VBD	leave
me	PP	me
without	IN	without
a	DT	a
way	NN	way
to	TO	to
do	VB	do
my	PP$	my
science	NN	science
.	SENT	.
I	PP	I
longed	VBD	long
to	TO	to
access	VB	access
and	CC	and
scrutinize	VB	scrutinize
this	DT	this
energetic	JJ	energetic
light	NN	light
and	CC	and
figure	NN	figure
out	IN	out
the	DT	the
astrophysical	JJ	astrophysical
cause	NN	cause
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
experience	VB	experience
the	DT	the
spacious	JJ	spacious
wonder	NN	wonder
,	,	,
the	DT	the
excitement	NN	excitement
,	,	,
the	DT	the
joy	NN	joy
produced	VBN	produce
by	IN	by
the	DT	the
detection	NN	detection
of	IN	of
such	PDT	such
a	DT	a
titanic	JJ	titanic
celestial	JJ	celestial
event	NN	event
.	SENT	.
I	PP	I
thought	VBD	think
long	RB	long
and	CC	and
hard	RB	hard
about	IN	about
it	PP	it
,	,	,
when	WRB	when
I	PP	I
suddenly	RB	suddenly
realized	VBD	realize
that	IN	that
all	PDT	all
a	DT	a
light	JJ	light
curve	NN	curve
is	VBZ	be
,	,	,
is	VBZ	be
a	DT	a
table	NN	table
of	IN	of
numbers	NNS	number
converted	VBN	convert
into	IN	into
a	DT	a
visual	JJ	visual
plot	NN	plot
.	SENT	.
So	RB	so
along	RB	along
with	IN	with
my	PP$	my
collaborators	NNS	collaborator
,	,	,
we	PP	we
worked	VBD	work
really	RB	really
hard	JJ	hard
and	CC	and
we	PP	we
translated	VBD	translate
the	DT	the
numbers	NNS	number
into	IN	into
sound	NN	sound
.	SENT	.
I	PP	I
achieved	VBD	achieve
access	NN	access
to	TO	to
the	DT	the
data	NNS	datum
,	,	,
and	CC	and
today	RB	today
I	NP	I
'	POS	'
m	NN	m
able	JJ	able
to	TO	to
do	VB	do
physics	NNS	physic
at	IN	at
the	DT	the
level	NN	level
of	IN	of
the	DT	the
best	JJS	good
astronomer	NN	astronomer
,	,	,
using	VBG	use
sound	NN	sound
.	SENT	.
And	CC	and
what	WP	what
people	NNS	people
have	VBP	have
been	VBN	be
able	JJ	able
to	TO	to
do	VB	do
,	,	,
mainly	RB	mainly
visually	RB	visually
,	,	,
for	IN	for
hundreds	NNS	hundred
of	IN	of
years	NNS	year
,	,	,
now	RB	now
I	PP	I
do	VBP	do
it	PP	it
using	VBG	use
sound	NN	sound
.	SENT	.
Listening	VBG	listen
to	TO	to
this	DT	this
gamma-ray	NN	gamma-ray
burst	VBD	burst
that	IN	that
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
on	IN	on
the	DT	the
—	:	-
Thank	VB	thank
you	PP	you
.	SENT	.
Listening	VBG	listen
to	TO	to
this	DT	this
burst	NN	burst
that	IN	that
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
on	IN	on
the	DT	the
screen	NN	screen
brought	VBD	bring
something	NN	something
to	TO	to
the	DT	the
ear	NN	ear
beyond	IN	beyond
the	DT	the
obvious	JJ	obvious
burst	NN	burst
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
play	VB	play
the	DT	the
burst	NN	burst
for	IN	for
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
music	NN	music
,	,	,
it	PP	it
'	POS	'
s	NN	S
sound	NN	sound
.	SENT	.
This	DT	this
is	VBZ	be
scientific	JJ	scientific
data	NNS	datum
converted	VBN	convert
into	IN	into
sound	NN	sound
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
mapped	VBN	map
in	IN	in
pitch	NN	pitch
.	SENT	.
The	DT	the
process	NN	process
is	VBZ	be
called	VBN	call
sonification	NN	sonification
.	SENT	.
So	RB	so
listening	VBG	listen
to	TO	to
this	DT	this
brought	VBN	bring
something	NN	something
to	TO	to
the	DT	the
ear	NN	ear
besides	IN	besides
the	DT	the
obvious	JJ	obvious
burst	NN	burst
.	SENT	.
When	WRB	when
I	PP	I
examine	VBP	examine
the	DT	the
very	RB	very
strong	JJ	strong
low-frequency	NN	low-frequency
regions	NNS	region
,	,	,
or	CC	or
bass	NN	bass
line	NN	line
—	:	-
I	PP	I
'	POS	'
m	NN	m
zooming	VBG	zoom
into	IN	into
the	DT	the
bass	NN	bass
line	NN	line
now	RB	now
.	SENT	.
We	PP	we
noted	VBD	note
resonances	NNS	resonance
characteristic	JJ	characteristic
of	IN	of
electrically	RB	electrically
charged	JJ	charged
gasses	VBZ	gas
like	IN	like
the	DT	the
solar	JJ	solar
wind	NN	wind
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
hear	VB	hear
what	WP	what
I	PP	I
heard	VBD	hear
.	SENT	.
You	PP	you
will	MD	will
hear	VB	hear
it	PP	it
as	IN	as
a	DT	a
very	RB	very
fast	JJ	fast
decrease	NN	decrease
in	IN	in
volume	NN	volume
.	SENT	.
And	CC	and
because	IN	because
you	PP	you
'	POS	'
re	NN	re
sighted	VBD	sight
,	,	,
I	PP	I
'	POS	'
m	NN	m
giving	VBG	give
you	PP	you
a	DT	a
red	JJ	red
line	NN	line
indicating	VBG	indicate
what	WP	what
intensity	NN	intensity
of	IN	of
light	NN	light
is	VBZ	be
being	VBG	be
converted	VBN	convert
into	IN	into
sound	NN	sound
.	SENT	.
The	DT	the
is	VBZ	be
frogs	NNS	frog
at	IN	at
home	NN	home
,	,	,
don	NN	don
'	POS	'
t	NN	t
pay	NN	pay
attention	NN	attention
to	TO	to
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
you	PP	you
heard	VBD	hear
it	PP	it
,	,	,
right	RB	right
?	SENT	?
So	RB	so
what	WP	what
we	PP	we
found	VBN	find
is	VBZ	be
that	IN	that
the	DT	the
bursts	NNS	burst
last	JJ	last
long	RB	long
enough	RB	enough
in	IN	in
order	NN	order
to	TO	to
support	VB	support
wave	NN	wave
resonances	NNS	resonance
,	,	,
which	WDT	which
are	VBP	be
things	NNS	thing
caused	VBN	cause
by	IN	by
exchanges	NNS	exchange
of	IN	of
energy	NN	energy
between	IN	between
particles	NNS	particle
that	WDT	that
may	MD	may
have	VB	have
been	VBN	be
excited	VBN	excite
,	,	,
that	WDT	that
depend	VBP	depend
on	IN	on
the	DT	the
volume	NN	volume
.	SENT	.
You	PP	you
may	MD	may
remember	VB	remember
that	IN	that
I	PP	I
said	VBD	say
that	IN	that
the	DT	the
matter	NN	matter
around	IN	around
the	DT	the
star	NN	star
is	VBZ	be
dragged	VBN	drag
around	RP	around
?	SENT	?
It	PP	it
transmits	VBZ	transmit
power	NN	power
with	IN	with
frequency	NN	frequency
and	CC	and
field	NN	field
distribution	NN	distribution
determined	VBN	determine
by	IN	by
the	DT	the
dimensions	NNS	dimension
.	SENT	.
You	PP	you
may	MD	may
remember	VB	remember
that	IN	that
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
a	DT	a
super-massive	JJ	super-massive
star	NN	star
that	WDT	that
became	VBD	become
a	DT	a
very	RB	very
strong	JJ	strong
magnetic	JJ	magnetic
field	NN	field
magnetar	NN	<unknown>
.	SENT	.
If	IN	if
this	DT	this
is	VBZ	be
the	DT	the
case	NN	case
,	,	,
then	RB	then
outflows	NNS	outflow
from	IN	from
the	DT	the
exploding	VBG	explode
star	NN	star
may	MD	may
be	VB	be
associated	VBN	associate
with	IN	with
this	DT	this
gamma-ray	NN	gamma-ray
burst	NN	burst
.	SENT	.
What	WP	what
does	VBZ	do
that	DT	that
mean	NN	mean
?	SENT	?
That	DT	that
star	NN	star
formation	NN	formation
may	MD	may
be	VB	be
a	DT	a
very	RB	very
important	JJ	important
part	NN	part
of	IN	of
these	DT	these
supernova	NN	supernova
explosions	NNS	explosion
.	SENT	.
Listening	VBG	listen
to	TO	to
this	DT	this
very	JJ	very
gamma-ray	NN	gamma-ray
burst	NN	burst
brought	VBD	bring
us	PP	us
to	TO	to
the	DT	the
notion	NN	notion
that	IN	that
the	DT	the
use	NN	use
of	IN	of
sound	NN	sound
as	IN	as
an	DT	an
adjunctive	JJ	adjunctive
visual	JJ	visual
display	NN	display
may	MD	may
also	RB	also
support	VB	support
sighted	JJ	sighted
astronomers	NNS	astronomer
in	IN	in
the	DT	the
search	NN	search
for	IN	for
more	JJR	more
information	NN	information
in	IN	in
the	DT	the
data	NNS	datum
.	SENT	.
Simultaneously	RB	simultaneously
,	,	,
I	PP	I
worked	VBD	work
on	IN	on
analyzing	VBG	analyze
measurements	NNS	measurement
from	IN	from
other	JJ	other
telescopes	NNS	telescope
,	,	,
and	CC	and
my	PP$	my
experiments	NNS	experiment
demonstrated	VBD	demonstrate
that	IN	that
when	WRB	when
you	PP	you
use	VBP	use
sound	NN	sound
as	IN	as
an	DT	an
adjunctive	JJ	adjunctive
visual	JJ	visual
display	NN	display
,	,	,
astronomers	NNS	astronomer
can	MD	can
find	VB	find
more	JJR	more
information	NN	information
in	IN	in
this	DT	this
now	RB	now
more	RBR	more
accessible	JJ	accessible
data	NNS	datum
set	VBD	set
.	SENT	.
This	DT	this
ability	NN	ability
to	TO	to
transform	VB	transform
data	NNS	datum
into	IN	into
sound	NN	sound
gives	VBZ	give
astronomy	NN	astronomy
a	DT	a
tremendous	JJ	tremendous
power	NN	power
of	IN	of
transformation	NN	transformation
.	SENT	.
And	CC	and
the	DT	the
fact	NN	fact
that	IN	that
a	DT	a
field	NN	field
that	WDT	that
is	VBZ	be
so	RB	so
visual	JJ	visual
may	MD	may
be	VB	be
improved	VBN	improve
in	IN	in
order	NN	order
to	TO	to
include	VB	include
anyone	NN	anyone
with	IN	with
interest	NN	interest
in	IN	in
understanding	NN	understanding
what	WP	what
lies	VBZ	lie
in	IN	in
the	DT	the
heavens	NNS	heaven
is	VBZ	be
a	DT	a
spirit-lifter	NN	spirit-lifter
.	SENT	.
When	WRB	when
I	PP	I
lost	VBD	lose
my	PP$	my
sight	NN	sight
,	,	,
I	PP	I
noticed	VBD	notice
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
access	NN	access
to	TO	to
the	DT	the
same	JJ	same
amount	NN	amount
and	CC	and
quality	NN	quality
of	IN	of
information	NN	information
a	DT	a
sighted	JJ	sighted
astronomer	NN	astronomer
had	VBD	have
.	SENT	.
It	PP	it
was	VBD	be
not	RB	not
until	IN	until
we	PP	we
innovated	VBD	innovate
with	IN	with
the	DT	the
sonification	NN	sonification
process	NN	process
that	IN	that
I	PP	I
regained	VBD	regain
the	DT	the
hope	NN	hope
to	TO	to
be	VB	be
a	DT	a
productive	JJ	productive
member	NN	member
of	IN	of
the	DT	the
field	NN	field
that	IN	that
I	PP	I
had	VBD	have
worked	VBN	work
so	RB	so
hard	JJ	hard
to	TO	to
be	VB	be
part	NN	part
of	IN	of
.	SENT	.
Yet	RB	yet
,	,	,
information	NN	information
access	NN	access
is	VBZ	be
not	RB	not
the	DT	the
only	JJ	only
area	NN	area
in	IN	in
astronomy	NN	astronomy
where	WRB	where
this	DT	this
is	VBZ	be
important	JJ	important
.	SENT	.
The	DT	the
situation	NN	situation
is	VBZ	be
systemic	JJ	systemic
and	CC	and
scientific	JJ	scientific
fields	NNS	field
are	VBP	be
not	RB	not
keeping	VBG	keep
up	RP	up
.	SENT	.
The	DT	the
body	NN	body
is	VBZ	be
something	RB	something
changeable	JJ	changeable
—	:	-
anyone	NN	anyone
may	MD	may
develop	VB	develop
a	DT	a
disability	NN	disability
at	IN	at
any	DT	any
point	NN	point
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
think	VBP	think
about	RB	about
,	,	,
for	IN	for
example	NN	example
,	,	,
scientists	NNS	scientist
that	WDT	that
are	VBP	be
already	RB	already
at	IN	at
the	DT	the
top	NN	top
of	IN	of
their	PP$	their
careers	NNS	career
.	SENT	.
What	WP	what
happens	VBZ	happen
to	TO	to
them	PP	them
if	IN	if
they	PP	they
develop	VBP	develop
a	DT	a
disability	NN	disability
?	SENT	?
Will	MD	will
they	PP	they
feel	VB	feel
excommunicated	VBN	excommunicate
as	IN	as
I	PP	I
did	VBD	do
?	SENT	?
Information	NN	information
access	NN	access
empowers	VBZ	empower
us	PP	us
to	TO	to
flourish	VB	flourish
.	SENT	.
It	PP	it
gives	VBZ	give
us	PP	us
equal	JJ	equal
opportunities	NNS	opportunity
to	TO	to
display	VB	display
our	PP$	our
talents	NNS	talent
and	CC	and
choose	VB	choose
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
with	IN	with
our	PP$	our
lives	NNS	life
,	,	,
based	VBN	base
on	IN	on
interest	NN	interest
and	CC	and
not	RB	not
based	VBN	base
on	IN	on
potential	JJ	potential
barriers	NNS	barrier
.	SENT	.
When	WRB	when
we	PP	we
give	VBP	give
people	NNS	people
the	DT	the
opportunity	NN	opportunity
to	TO	to
succeed	VB	succeed
without	IN	without
limits	NNS	limit
,	,	,
that	WDT	that
will	MD	will
lead	VB	lead
to	TO	to
personal	JJ	personal
fulfillment	NN	fulfillment
and	CC	and
prospering	VBG	prosper
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
the	DT	the
use	NN	use
of	IN	of
sound	NN	sound
in	IN	in
astronomy	NN	astronomy
is	VBZ	be
helping	VBG	help
us	PP	us
to	TO	to
achieve	VB	achieve
that	IN	that
and	CC	and
to	TO	to
contribute	VB	contribute
to	TO	to
science	NN	science
.	SENT	.
While	IN	while
other	JJ	other
countries	NNS	country
told	VBD	tell
me	PP	me
that	IN	that
the	DT	the
study	NN	study
of	IN	of
perception	NN	perception
techniques	NNS	technique
in	IN	in
order	NN	order
to	TO	to
study	VB	study
astronomy	NN	astronomy
data	NNS	datum
is	VBZ	be
not	RB	not
relevant	JJ	relevant
to	TO	to
astronomy	NN	astronomy
because	IN	because
there	EX	there
are	VBP	be
no	DT	no
blind	JJ	blind
astronomers	NNS	astronomer
in	IN	in
the	DT	the
field	NN	field
,	,	,
South	NP	South
Africa	NP	Africa
said	VBD	say
,	,	,
"	``	"
We	PP	we
want	VBP	want
people	NNS	people
with	IN	with
disabilities	NNS	disability
to	TO	to
contribute	VB	contribute
to	TO	to
the	DT	the
field	NN	field
.	SENT	.
"	''	"
Right	RB	right
now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
working	VBG	work
at	IN	at
the	DT	the
South	JJ	South
African	JJ	African
Astronomical	JJ	astronomical
Observatory	NN	observatory
,	,	,
at	IN	at
the	DT	the
Office	NN	office
of	IN	of
Astronomy	NN	astronomy
for	IN	for
Development	NP	Development
.	SENT	.
There	RB	there
,	,	,
we	PP	we
are	VBP	be
working	VBG	work
on	IN	on
sonification	NN	sonification
techniques	NNS	technique
and	CC	and
analysis	NN	analysis
methods	NNS	method
to	TO	to
impact	VB	impact
the	DT	the
students	NNS	student
of	IN	of
the	DT	the
Athlone	NP	Athlone
School	NP	School
for	IN	for
the	DT	the
Blind	NP	Blind
.	SENT	.
These	DT	these
students	NNS	student
will	MD	will
be	VB	be
learning	VBG	learn
radio	NN	radio
astronomy	NN	astronomy
,	,	,
and	CC	and
they	PP	they
will	MD	will
be	VB	be
learning	VBG	learn
the	DT	the
sonification	NN	sonification
methods	NNS	method
in	IN	in
order	NN	order
to	TO	to
study	VB	study
astronomical	JJ	astronomical
events	NNS	event
like	IN	like
huge	JJ	huge
ejections	NNS	ejection
of	IN	of
energy	NN	energy
from	IN	from
the	DT	the
sun	NN	sun
,	,	,
known	VBN	know
as	IN	as
coronal	JJ	coronal
mass	NN	mass
ejections	NNS	ejection
.	SENT	.
What	WP	what
we	PP	we
learn	VBP	learn
with	IN	with
these	DT	these
students	NNS	student
—	:	-
these	DT	these
students	NNS	student
have	VBP	have
multiple	JJ	multiple
disabilities	NNS	disability
and	CC	and
coping	VBG	cope
strategies	NNS	strategy
that	WDT	that
will	MD	will
be	VB	be
accommodated	VBN	accommodate
—	:	-
what	WP	what
we	PP	we
learn	VBP	learn
with	IN	with
these	DT	these
students	NNS	student
will	MD	will
directly	RB	directly
impact	VB	impact
the	DT	the
way	NN	way
things	NNS	thing
are	VBP	be
being	VBG	be
done	VBN	do
at	IN	at
the	DT	the
professional	JJ	professional
level	NN	level
.	SENT	.
I	PP	I
humbly	RB	humbly
call	VBP	call
this	DT	this
development	NN	development
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
happening	VBG	happen
right	RB	right
now	RB	now
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
science	NN	science
is	VBZ	be
for	IN	for
everyone	NN	everyone
.	SENT	.
It	PP	it
belongs	VBZ	belong
to	TO	to
the	DT	the
people	NNS	people
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
to	TO	to
be	VB	be
available	JJ	available
to	TO	to
everyone	NN	everyone
,	,	,
because	IN	because
we	PP	we
are	VBP	be
all	DT	all
natural	JJ	natural
explorers	NNS	explorer
.	SENT	.
I	PP	I
think	VBP	think
that	IN	that
if	IN	if
we	PP	we
limit	VBP	limit
people	NNS	people
with	IN	with
disabilities	NNS	disability
from	IN	from
participating	VBG	participate
in	IN	in
science	NN	science
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
sever	VB	sever
our	PP$	our
links	NNS	link
with	IN	with
history	NN	history
and	CC	and
with	IN	with
society	NN	society
.	SENT	.
I	PP	I
dream	VBP	dream
of	IN	of
a	DT	a
level	NN	level
scientific	JJ	scientific
playing	NN	playing
field	NN	field
,	,	,
where	WRB	where
people	NNS	people
encourage	VBP	encourage
respect	NN	respect
and	CC	and
respect	VB	respect
each	DT	each
other	JJ	other
,	,	,
where	WRB	where
people	NNS	people
exchange	VBP	exchange
strategies	NNS	strategy
and	CC	and
