So	IN	so
s	NN	S
nuts	NNS	nut
.	SENT	.
"	''	"
Finally	RB	finally
,	,	,
perhaps	RB	perhaps
most	RBS	most
magically	RB	magically
,	,	,
we	PP	we
use	VBP	use
our	PP$	our
inner	JJ	inner
voice	NN	voice
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
this	DT	this
messy	JJ	messy
world	NN	world
that	IN	that
we	PP	we
often	RB	often
live	VBP	live
in	IN	in
.	SENT	.
When	WRB	when
we	PP	we
experience	VBP	experience
challenges	NNS	challenge
,	,	,
we	PP	we
turn	VBP	turn
our	PP$	our
attention	NN	attention
inward	RB	inward
,	,	,
and	CC	and
we	PP	we
try	VBP	try
to	TO	to
work	VB	work
through	IN	through
them	PP	them
.	SENT	.
And	CC	and
our	PP$	our
inner	JJ	inner
voice	NN	voice
helps	VBZ	help
us	PP	us
create	VB	create
those	DT	those
stories	NNS	story
that	WDT	that
shape	VBP	shape
our	PP$	our
sense	NN	sense
of	IN	of
self	NN	self
,	,	,
stories	NNS	story
that	WDT	that
really	RB	really
craft	VBP	craft
our	PP$	our
identity	NN	identity
.	SENT	.
So	IN	so
your	PP$	your
inner	JJ	inner
voice	NN	voice
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
remarkable	JJ	remarkable
tool	NN	tool
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
it	PP	it
is	VBZ	be
a	DT	a
tool	NN	tool
that	WDT	that
often	RB	often
jams	VBZ	jam
up	RP	up
on	IN	on
us	PP	us
when	WRB	when
we	PP	we
need	VBP	need
it	PP	it
most	RBS	most
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
come	VBN	come
up	RP	up
with	IN	with
clear	JJ	clear
solutions	NNS	solution
to	TO	to
our	PP$	our
problems	NNS	problem
.	SENT	.
We	PP	we
get	VBP	get
stuck	VBN	stick
in	IN	in
negative	JJ	negative
thought	NN	thought
loops	NNS	loop
,	,	,
instead	RB	instead
.	SENT	.
We	PP	we
worry	VBP	worry
.	SENT	.
We	PP	we
ruminate	VBP	ruminate
.	SENT	.
We	PP	we
experience	VBP	experience
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
dark	JJ	dark
side	NN	side
of	IN	of
our	PP$	our
inner	JJ	inner
voice	NN	voice
:	:	:
chatter	NN	chatter
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
know	VBP	know
if	IN	if
you	PP	you
'	POS	'
re	NN	re
experiencing	VBG	experience
chatter	NN	chatter
?	SENT	?
If	IN	if
you	PP	you
ever	RB	ever
find	VBP	find
yourself	PP	yourself
trying	VBG	try
to	TO	to
work	VB	work
through	IN	through
a	DT	a
problem	NN	problem
but	CC	but
not	RB	not
making	VBG	make
any	DT	any
progress	NN	progress
,	,	,
or	CC	or
if	IN	if
you	PP	you
find	VBP	find
yourself	PP	yourself
berating	VBG	berate
yourself	PP	yourself
incessantly	RB	incessantly
--	:	--
"	``	"
I	NP	I
'	POS	'
m	NN	m
an	DT	an
idiot	NN	idiot
,	,	,
such	PDT	such
an	DT	an
idiot	NN	idiot
.	SENT	.
"	``	"
Those	DT	those
are	VBP	be
two	CD	two
telltale	NN	telltale
signs	NNS	sign
.	SENT	.
Now	RB	now
if	IN	if
this	DT	this
description	NN	description
of	IN	of
chatter	NN	chatter
resonates	VBZ	resonate
with	IN	with
any	DT	any
of	IN	of
you	PP	you
here	RB	here
--	:	--
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
it	PP	it
does	VBZ	do
not	RB	not
.	SENT	.
But	CC	but
if	IN	if
it	PP	it
does	VBZ	do
,	,	,
my	PP$	my
response	NN	response
to	TO	to
you	PP	you
is	VBZ	be
welcome	JJ	welcome
to	TO	to
the	DT	the
human	JJ	human
condition	NN	condition
,	,	,
my	PP$	my
friends	NNS	friend
.	SENT	.
Chatter	NN	chatter
is	VBZ	be
a	DT	a
feature	NN	feature
of	IN	of
it	PP	it
.	SENT	.
We	PP	we
all	RB	all
have	VBP	have
the	DT	the
capacity	NN	capacity
to	TO	to
experience	VB	experience
it	PP	it
at	IN	at
times	NNS	time
.	SENT	.
It	PP	it
also	RB	also
happens	VBZ	happen
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
big	JJ	big
problems	NNS	problem
we	PP	we
face	VBP	face
as	IN	as
a	DT	a
species	NN	species
.	SENT	.
And	CC	and
I	PP	I
say	VBP	say
this	DT	this
because	IN	because
,	,	,
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
what	WP	what
chatter	NN	chatter
does	VBZ	do
to	TO	to
us	PP	us
,	,	,
it	PP	it
sinks	VBZ	sink
us	PP	us
in	IN	in
three	CD	three
domains	NNS	domain
of	IN	of
life	NN	life
that	IN	that
I	PP	I
would	MD	would
argue	VB	argue
everyone	NN	everyone
here	RB	here
cares	VBZ	care
a	DT	a
great	JJ	great
deal	NN	deal
about	RB	about
.	SENT	.
One	CD	one
thing	NN	thing
that	DT	that
chatter	NN	chatter
does	VBZ	do
,	,	,
it	PP	it
makes	VBZ	make
it	PP	it
really	RB	really
hard	JJ	hard
for	IN	for
us	PP	us
to	TO	to
think	VB	think
and	CC	and
perform	VB	perform
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
had	VBD	have
the	DT	the
experience	NN	experience
of	IN	of
sitting	VBG	sit
down	RP	down
to	TO	to
read	VB	read
a	DT	a
few	JJ	few
pages	NNS	page
in	IN	in
a	DT	a
book	NN	book
,	,	,
and	CC	and
under	IN	under
oath	NN	oath
,	,	,
you	PP	you
would	MD	would
swear	VB	swear
to	TO	to
a	DT	a
judge	NN	judge
that	IN	that
you	PP	you
have	VBP	have
read	VBN	read
the	DT	the
words	NNS	word
on	IN	on
the	DT	the
screen	NN	screen
or	CC	or
page	NN	page
,	,	,
but	CC	but
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
end	NN	end
of	IN	of
the	DT	the
section	NN	section
,	,	,
the	DT	the
chapter	NN	chapter
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
remember	VB	remember
a	DT	a
damn	JJ	damn
thing	NN	thing
that	IN	that
you	PP	you
'	POS	'
ve	NNS	<unknown>
read	VBP	read
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
experienced	VBD	experience
one	CD	one
way	NN	way
that	DT	that
chatter	NN	chatter
undermines	VBZ	undermine
us	PP	us
.	SENT	.
It	PP	it
consumes	VBZ	consume
our	PP$	our
attention	NN	attention
,	,	,
leaving	VBG	leave
very	RB	very
little	RB	little
left	VBN	leave
over	RP	over
to	TO	to
do	VB	do
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
often	RB	often
want	VBP	want
and	CC	and
need	VBP	need
to	TO	to
do	VB	do
.	SENT	.
Chatter	NN	chatter
also	RB	also
creates	VBZ	create
friction	NN	friction
in	IN	in
our	PP$	our
relationships	NNS	relationship
with	IN	with
other	JJ	other
people	NNS	people
,	,	,
because	IN	because
when	WRB	when
we	PP	we
experience	VBP	experience
chatter	NN	chatter
,	,	,
we	PP	we
'	POS	'
re	NN	re
often	RB	often
highly	RB	highly
motivated	VBN	motivate
to	TO	to
share	VB	share
its	PP$	its
glory	NN	glory
with	IN	with
those	DT	those
around	IN	around
us	PP	us
.	SENT	.
What	WP	what
I	PP	I
mean	VBP	mean
by	IN	by
that	WDT	that
is	VBZ	be
we	PP	we
often	RB	often
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
our	PP$	our
chatter	NN	chatter
,	,	,
so	RB	so
we	PP	we
find	VBP	find
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
,	,	,
and	CC	and
then	RB	then
,	,	,
we	PP	we
keep	VBP	keep
on	IN	on
talking	VBG	talk
,	,	,
over	IN	over
and	CC	and
over	IN	over
again	RB	again
.	SENT	.
This	DT	this
can	MD	can
have	VB	have
a	DT	a
really	RB	really
sad	JJ	sad
consequence	NN	consequence
of	IN	of
pushing	VBG	push
away	RP	away
people	NNS	people
who	WP	who
genuinely	RB	genuinely
care	VBP	care
about	IN	about
us	PP	us
,	,	,
because	IN	because
there	EX	there
'	''	'
s	NNS	<unknown>
only	RB	only
so	RB	so
much	JJ	much
that	IN	that
they	PP	they
can	MD	can
endure	VB	endure
before	IN	before
we	PP	we
start	VBP	start
to	TO	to
bring	VB	bring
them	PP	them
down	RP	down
.	SENT	.
Then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
our	PP$	our
health	NN	health
.	SENT	.
So	RB	so
chatter	NN	chatter
helps	VBZ	help
explain	VB	explain
how	WRB	how
stress	NN	stress
gets	VBZ	get
under	IN	under
our	PP$	our
skin	NN	skin
to	TO	to
impact	VB	impact
our	PP$	our
physical	JJ	physical
health	NN	health
,	,	,
because	IN	because
what	WP	what
it	PP	it
does	VBZ	do
is	VBZ	be
it	PP	it
prolongs	VBZ	prolong
our	PP$	our
stress	NN	stress
response	NN	response
.	SENT	.
And	CC	and
that	DT	that
creates	VBZ	create
a	DT	a
wear	NN	wear
and	CC	and
tear	VB	tear
in	IN	in
our	PP$	our
body	NN	body
that	WDT	that
is	VBZ	be
physically	RB	physically
damaging	JJ	damaging
,	,	,
predicts	VBZ	predict
things	NNS	thing
like	IN	like
problems	NNS	problem
of	IN	of
cardiovascular	JJ	cardiovascular
disease	NN	disease
,	,	,
inflammation	NN	inflammation
,	,	,
even	RB	even
certain	JJ	certain
forms	NNS	form
of	IN	of
cancer	NN	cancer
.	SENT	.
Now	RB	now
when	WRB	when
people	NNS	people
hear	VBP	hear
about	IN	about
these	DT	these
findings	NNS	finding
,	,	,
the	DT	the
question	NN	question
they	PP	they
often	RB	often
ask	VBP	ask
me	PP	me
is	VBZ	be
:	:	:
"	``	"
How	WRB	how
can	MD	can
I	PP	I
silence	VB	silence
this	DT	this
inner	JJ	inner
voice	NN	voice
?	SENT	?
Just	RB	just
shut	VB	shut
it	PP	it
up	RP	up
.	SENT	.
"	``	"
And	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
this	DT	this
is	VBZ	be
the	DT	the
best	JJS	good
question	NN	question
to	TO	to
be	VB	be
asking	VBG	ask
.	SENT	.
Because	IN	because
your	PP$	your
inner	JJ	inner
voice	NN	voice
is	VBZ	be
a	DT	a
remarkable	JJ	remarkable
tool	NN	tool
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
that	DT	that
tool	NN	tool
.	SENT	.
What	WP	what
we	PP	we
want	VBP	want
to	TO	to
figure	VB	figure
out	RP	out
is	VBZ	be
how	WRB	how
to	TO	to
harness	VB	harness
it	PP	it
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
the	DT	the
really	RB	really
,	,	,
really	RB	really
good	JJ	good
news	NN	news
comes	VBZ	come
into	IN	into
play	NN	play
.	SENT	.
This	DT	this
is	VBZ	be
precisely	RB	precisely
the	DT	the
question	NN	question
that	IN	that
scientists	NNS	scientist
like	VBP	like
myself	PP	myself
have	VBP	have
been	VBN	be
trying	VBG	try
to	TO	to
answer	VB	answer
for	IN	for
a	DT	a
few	JJ	few
decades	NNS	decade
now	RB	now
,	,	,
and	CC	and
we	PP	we
have	VBP	have
learned	VBN	learn
a	DT	a
lot	NN	lot
about	IN	about
the	DT	the
science-based	JJ	science-based
tools	NNS	tool
that	WDT	that
exist	VBP	exist
to	TO	to
do	VB	do
precisely	RB	precisely
this	DT	this
.	SENT	.
Now	RB	now
there	EX	there
are	VBP	be
many	JJ	many
tools	NNS	tool
out	IN	out
there	RB	there
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
each	DT	each
one	CD	one
,	,	,
because	IN	because
then	RB	then
we	PP	we
would	MD	would
go	VB	go
for	IN	for
45	CD	@card@
minutes	NNS	minute
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
want	VB	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
three	CD	three
of	IN	of
my	PP$	my
favorites	NNS	favorite
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
start	VB	start
with	IN	with
language	NN	language
.	SENT	.
Right	RB	right
before	IN	before
Malala	NP	Malala
Yousafzai	NP	<unknown>
became	VBD	become
the	DT	the
youngest	JJS	young
person	NN	person
to	TO	to
ever	RB	ever
win	VB	win
the	DT	the
Nobel	NP	Nobel
Peace	NP	Peace
Prize	NP	Prize
,	,	,
for	IN	for
advocating	VBG	advocate
for	IN	for
the	DT	the
rights	NNS	right
of	IN	of
young	JJ	young
girls	NNS	girl
to	TO	to
receive	VB	receive
an	DT	an
education	NN	education
,	,	,
She	PP	she
was	VBD	be
invited	VBN	invite
onto	IN	onto
"	``	"
The	DT	the
Daily	JJ	daily
Show	NN	show
"	''	"
with	IN	with
Jon	NP	Jon
Stewart	NP	Stewart
to	TO	to
talk	VB	talk
about	IN	about
her	PP$	her
experience	NN	experience
.	SENT	.
At	IN	at
one	CD	one
point	NN	point
during	IN	during
the	DT	the
interview	NN	interview
,	,	,
she	PP	she
begins	VBZ	begin
to	TO	to
explain	VB	explain
what	WP	what
went	VBD	go
through	IN	through
her	PP$	her
head	NN	head
when	WRB	when
she	PP	she
first	RB	first
discovered	VBD	discover
that	IN	that
the	DT	the
Taliban	NP	<unknown>
were	VBD	be
plotting	VBG	plot
to	TO	to
kill	VB	kill
her	PP	her
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
present	VB	present
to	TO	to
you	PP	you
a	DT	a
quote	VBP	quote
right	RB	right
here	RB	here
,	,	,
of	IN	of
how	WRB	how
she	PP	she
starts	VBZ	start
to	TO	to
talk	VB	talk
about	IN	about
this	DT	this
experience	NN	experience
.	SENT	.
"	''	"
I	PP	I
used	VBD	use
to	TO	to
think	VB	think
that	IN	that
the	DT	the
Talib	NP	Talib
would	MD	would
come	VB	come
and	CC	and
he	PP	he
would	MD	would
just	RB	just
kill	VB	kill
me	PP	me
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
Nothing	NN	nothing
particularly	RB	particularly
out	RB	out
of	IN	of
the	DT	the
ordinary	JJ	ordinary
here	RB	here
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
talking	VBG	talk
to	TO	to
herself	PP	herself
in	IN	in
the	DT	the
first	JJ	first
person	NN	person
,	,	,
the	DT	the
way	NN	way
we	PP	we
typically	RB	typically
think	VBP	think
about	IN	about
our	PP$	our
lives	NNS	life
.	SENT	.
But	CC	but
the	DT	the
moment	NN	moment
she	PP	she
gets	VBZ	get
to	TO	to
this	DT	this
part	NN	part
of	IN	of
the	DT	the
experience	NN	experience
,	,	,
"	''	"
The	DT	the
Taliban	NP	<unknown>
,	,	,
they	PP	they
'	POS	'
re	NN	re
on	IN	on
my	PP$	my
doorstep	NN	doorstep
,	,	,
"	''	"
"	``	"
they	PP	they
'	POS	'
re	NN	re
coming	VBG	come
to	TO	to
get	VB	get
me	PP	me
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
what	WP	what
is	VBZ	be
arguably	RB	arguably
the	DT	the
climax	NN	climax
,	,	,
the	DT	the
most	RBS	most
stressful	JJ	stressful
,	,	,
chatter-provoking	JJ	chatter-provoking
event	NN	event
you	PP	you
can	MD	can
imagine	VB	imagine
.	SENT	.
Once	RB	once
she	PP	she
gets	VBZ	get
to	TO	to
that	DT	that
part	NN	part
,	,	,
she	PP	she
does	VBZ	do
something	NN	something
kind	NN	kind
of	IN	of
strange	JJ	strange
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
another	DT	another
quote	NN	quote
,	,	,
and	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
look	VB	look
at	IN	at
what	WP	what
she	PP	she
says	VBZ	say
.	SENT	.
"	''	"
I	PP	I
asked	VBD	ask
myself	PP	myself
,	,	,
'	''	'
What	WP	what
would	MD	would
you	PP	you
do	VB	do
,	,	,
Malala	NP	Malala
?	SENT	?
'	''	'
Then	RB	then
I	PP	I
would	MD	would
reply	VB	reply
to	TO	to
myself	PP	myself
,	,	,
'	''	'
Malala	NP	Malala
,	,	,
just	RB	just
take	VB	take
a	DT	a
shoe	NN	shoe
and	CC	and
hit	VB	hit
him	PP	him
.	SENT	.
'	''	'
But	CC	but
then	RB	then
I	PP	I
said	VBD	say
,	,	,
'	''	'
If	IN	if
you	PP	you
hit	VBD	hit
a	DT	a
Talib	NP	Talib
with	IN	with
your	PP$	your
shoe	NN	shoe
,	,	,
then	RB	then
there	RB	there
would	MD	would
be	VB	be
no	DT	no
difference	NN	difference
between	IN	between
you	PP	you
and	CC	and
the	DT	the
Talib	NP	Talib
.	SENT	.
'	''	'
"	``	"
So	IN	so
she	PP	she
starts	VBZ	start
off	RP	off
in	IN	in
the	DT	the
first	JJ	first
person	NN	person
,	,	,
but	CC	but
then	RB	then
she	PP	she
switches	VBZ	switch
.	SENT	.
She	NN	she
'	POS	'
s	JJ	<unknown>
coaching	NN	coaching
herself	PP	herself
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
giving	VBG	give
herself	PP	herself
advice	NN	advice
like	IN	like
she	PP	she
would	MD	would
someone	NN	someone
else	RB	else
,	,	,
using	VBG	use
her	PP$	her
name	NN	name
and	CC	and
the	DT	the
word	NN	word
"	''	"
you	PP	you
.	SENT	.
"	''	"
In	IN	in
this	DT	this
instance	NN	instance
,	,	,
what	WP	what
Malala	NP	Malala
is	VBZ	be
doing	VBG	do
,	,	,
she	PP	she
'	POS	'
s	NN	S
using	VBG	use
a	DT	a
tool	NN	tool
that	IN	that
we	PP	we
have	VBP	have
studied	VBN	study
.	SENT	.
It	PP	it
is	VBZ	be
called	VBN	call
"	``	"
distanced	VBN	distance
self-talk	NN	<unknown>
,	,	,
"	``	"
and	CC	and
it	PP	it
is	VBZ	be
useful	JJ	useful
because	IN	because
we	PP	we
human	JJ	human
beings	NNS	being
are	VBP	be
much	JJ	much
,	,	,
much	RB	much
better	RBR	well
at	IN	at
giving	VBG	give
advice	NN	advice
to	TO	to
other	JJ	other
people	NNS	people
than	IN	than
we	PP	we
are	VBP	be
taking	VBG	take
our	PP$	our
own	JJ	own
advice	NN	advice
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
ever	RB	ever
felt	VBD	feel
like	IN	like
a	DT	a
giant	JJ	giant
hypocrite	NN	hypocrite
,	,	,
once	RB	once
again	RB	again
,	,	,
welcome	JJ	welcome
to	TO	to
the	DT	the
human	JJ	human
condition	NN	condition
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
even	RB	even
a	DT	a
name	NN	name
for	IN	for
this	DT	this
phenomenon	NN	phenomenon
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
Solomon	NP	Solomon
'	POS	'
s	NN	S
paradox	NN	paradox
,	,	,
named	VBN	name
after	IN	after
