If	IN	if
by	IN	by
reptiles	NNS	reptile
and	CC	and
mammals	NNS	mammal
,	,	,
and	CC	and
then	RB	then
you	PP	you
get	VBP	get
you	PP	you
,	,	,
this	DT	this
perfectly	RB	perfectly
evolved	VBN	evolve
creature	NN	creature
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
line	NN	line
.	SENT	.
But	CC	but
life	NN	life
doesn	NN	<unknown>
'	POS	'
t	NN	t
evolve	VB	evolve
in	IN	in
a	DT	a
line	NN	line
,	,	,
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
end	NN	end
with	IN	with
us	PP	us
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
always	RB	always
shown	VBN	show
evolution	NN	evolution
portrayed	VBD	portray
something	NN	something
like	IN	like
this	DT	this
,	,	,
a	DT	a
monkey	NN	monkey
and	CC	and
a	DT	a
chimpanzee	NN	chimpanzee
,	,	,
some	DT	some
extinct	JJ	extinct
humans	NNS	human
,	,	,
all	RB	all
on	IN	on
a	DT	a
forward	JJ	forward
and	CC	and
steady	JJ	steady
march	NN	march
to	TO	to
becoming	VBG	become
us	PP	us
.	SENT	.
But	CC	but
they	PP	they
don	VBP	don
'	''	'
t	NN	t
become	VB	become
us	PP	us
any	DT	any
more	JJR	more
than	IN	than
we	PP	we
would	MD	would
become	VB	become
them	PP	them
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
also	RB	also
not	RB	not
the	DT	the
goal	NN	goal
of	IN	of
evolution	NN	evolution
.	SENT	.
But	CC	but
why	WRB	why
does	VBZ	do
it	PP	it
matter	NN	matter
?	SENT	?
Why	WRB	why
do	VBP	do
we	PP	we
need	VBP	need
to	TO	to
understand	VB	understand
evolution	NN	evolution
the	DT	the
right	JJ	right
way	NN	way
?	SENT	?
Well	RB	well
,	,	,
misunderstanding	VBG	misunderstand
evolution	NN	evolution
has	VBZ	have
led	VBN	lead
to	TO	to
many	JJ	many
problems	NNS	problem
,	,	,
but	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
ask	VB	ask
that	DT	that
age-old	JJ	age-old
question	NN	question
,	,	,
"	``	"
Where	WRB	where
are	VBP	be
we	PP	we
from	IN	from
?	SENT	?
"	''	"
without	IN	without
understanding	VBG	understand
evolution	NN	evolution
the	DT	the
right	JJ	right
way	NN	way
.	SENT	.
Misunderstanding	VBG	misunderstand
it	PP	it
has	VBZ	have
led	VBN	lead
to	TO	to
many	JJ	many
convoluted	VBN	convolute
and	CC	and
corrupted	VBN	corrupt
views	NNS	view
of	IN	of
how	WRB	how
we	PP	we
should	MD	should
treat	VB	treat
other	JJ	other
life	NN	life
on	IN	on
earth	NN	earth
,	,	,
and	CC	and
how	WRB	how
we	PP	we
should	MD	should
treat	VB	treat
each	DT	each
other	JJ	other
in	IN	in
terms	NNS	term
of	IN	of
race	NN	race
and	CC	and
gender	NN	gender
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
four	CD	four
billion	NN	billion
years	NNS	year
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
single-celled	VBN	single-cel
organism	NN	organism
we	PP	we
all	RB	all
came	VBD	come
from	IN	from
.	SENT	.
At	IN	at
first	JJ	first
,	,	,
it	PP	it
gave	VBD	give
rise	VB	rise
to	TO	to
other	JJ	other
single-celled	VBN	single-cel
life	NN	life
,	,	,
but	CC	but
these	DT	these
are	VBP	be
still	RB	still
evolving	VBG	evolve
to	TO	to
this	DT	this
day	NN	day
,	,	,
and	CC	and
some	DT	some
would	MD	would
say	VB	say
the	DT	the
Archaea	NP	<unknown>
and	CC	and
Bacteria	NNS	bacterium
that	WDT	that
make	VBP	make
up	RP	up
most	JJS	most
of	IN	of
this	DT	this
group	NN	group
is	VBZ	be
the	DT	the
most	RBS	most
successful	JJ	successful
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
They	PP	they
are	VBP	be
certainly	RB	certainly
going	VBG	go
to	TO	to
be	VB	be
here	RB	here
well	RB	well
after	IN	after
us	PP	us
.	SENT	.
About	RB	about
three	CD	three
billion	NN	billion
years	NNS	year
ago	RB	ago
,	,	,
multicellularity	NN	<unknown>
evolved	VBD	evolve
.	SENT	.
This	DT	this
includes	VBZ	include
your	PP$	your
fungi	NNS	fungus
and	CC	and
your	PP$	your
plants	NNS	plant
and	CC	and
your	PP$	your
animals	NNS	animal
.	SENT	.
The	DT	the
first	JJ	first
animals	NNS	animal
to	TO	to
develop	VB	develop
a	DT	a
backbone	NN	backbone
were	VBD	be
fishes	NNS	fish
.	SENT	.
So	RB	so
technically	RB	technically
,	,	,
all	DT	all
vertebrates	NNS	vertebrate
are	VBP	be
fishes	NNS	fish
,	,	,
so	RB	so
technically	RB	technically
,	,	,
you	PP	you
and	CC	and
I	PP	I
are	VBP	be
fish	NN	fish
.	SENT	.
So	IN	so
don	NN	don
'	POS	'
t	NN	t
say	VBP	say
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
warn	VBP	warn
you	PP	you
.	SENT	.
One	CD	one
fish	NN	fish
lineage	NN	lineage
came	VBD	come
onto	IN	onto
land	NN	land
and	CC	and
gave	VBD	give
rise	VB	rise
to	TO	to
,	,	,
among	IN	among
other	JJ	other
things	NNS	thing
,	,	,
the	DT	the
mammals	NNS	mammal
and	CC	and
reptiles	NNS	reptile
.	SENT	.
Some	DT	some
reptiles	NNS	reptile
become	VBP	become
birds	NNS	bird
,	,	,
some	DT	some
mammals	NNS	mammal
become	VBP	become
primates	NNS	primate
,	,	,
some	DT	some
primates	NNS	primate
become	VBP	become
monkeys	NNS	monkey
with	IN	with
tails	NNS	tail
,	,	,
and	CC	and
others	NNS	other
become	VBP	become
the	DT	the
great	JJ	great
apes	NNS	ape
,	,	,
including	VBG	include
a	DT	a
variety	NN	variety
of	IN	of
human	JJ	human
species	NNS	specie
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
evolve	VB	evolve
from	IN	from
monkeys	NNS	monkey
,	,	,
but	CC	but
we	PP	we
do	VBP	do
share	NN	share
a	DT	a
common	JJ	common
ancestor	NN	ancestor
with	IN	with
them	PP	them
.	SENT	.
All	PDT	all
the	DT	the
while	NN	while
,	,	,
life	NN	life
around	IN	around
us	PP	us
kept	VBD	keep
evolving	VBG	evolve
:	:	:
more	JJR	more
bacteria	NNS	bacterium
,	,	,
more	JJR	more
fungi	NNS	fungus
,	,	,
lots	NNS	lot
of	IN	of
fish	NN	fish
,	,	,
fish	NN	fish
,	,	,
fish	NN	fish
.	SENT	.
If	IN	if
you	PP	you
couldn	NN	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
—	:	-
yes	UH	yes
,	,	,
they	PP	they
'	POS	'
re	IN	re
my	PP$	my
favorite	JJ	favorite
group	NN	group
.	SENT	.
As	IN	as
life	NN	life
evolves	VBZ	evolve
,	,	,
it	PP	it
also	RB	also
goes	VBZ	go
extinct	JJ	extinct
.	SENT	.
Most	JJS	most
species	NNS	specie
just	RB	just
last	JJ	last
for	IN	for
a	DT	a
few	JJ	few
million	CD	million
years	NNS	year
.	SENT	.
So	RB	so
you	PP	you
see	VBP	see
,	,	,
most	JJS	most
life	NN	life
on	IN	on
earth	NN	earth
that	IN	that
we	PP	we
see	VBP	see
around	IN	around
us	PP	us
today	NN	today
are	VBP	be
about	RB	about
the	DT	the
same	JJ	same
age	NN	age
as	IN	as
our	PP$	our
species	NNS	specie
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
hubris	NN	hubris
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
self-centered	VBN	self-center
to	TO	to
think	VB	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
plants	NNS	plant
and	CC	and
bacteria	NNS	bacterium
are	VBP	be
primitive	JJ	primitive
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
here	RB	here
for	IN	for
an	DT	an
evolutionary	JJ	evolutionary
minute	NN	minute
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
somehow	RB	somehow
special	JJ	special
.	SENT	.
"	``	"
Think	VBP	think
of	IN	of
life	NN	life
as	IN	as
being	VBG	be
this	DT	this
book	NN	book
,	,	,
an	DT	an
unfinished	JJ	unfinished
book	NN	book
for	IN	for
sure	JJ	sure
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
just	RB	just
seeing	VBG	see
the	DT	the
last	JJ	last
few	JJ	few
pages	NNS	page
of	IN	of
each	DT	each
chapter	NN	chapter
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
out	RP	out
on	IN	on
the	DT	the
eight	CD	eight
million	CD	million
species	NNS	specie
that	WDT	that
we	PP	we
share	VBP	share
this	DT	this
planet	NN	planet
with	IN	with
,	,	,
think	VBP	think
of	IN	of
them	PP	them
all	DT	all
being	JJ	being
four	CD	four
billion	NNS	billion
years	NNS	year
of	IN	of
evolution	NN	evolution
.	SENT	.
They	PP	they
'	''	'
re	IN	re
all	PDT	all
the	DT	the
product	NN	product
of	IN	of
that	DT	that
.	SENT	.
Think	VB	think
of	IN	of
us	PP	us
all	RB	all
as	IN	as
young	JJ	young
leaves	NNS	leaf
on	IN	on
this	DT	this
ancient	JJ	ancient
and	CC	and
gigantic	JJ	gigantic
tree	NN	tree
of	IN	of
life	NN	life
,	,	,
all	RB	all
of	IN	of
us	PP	us
connected	VBN	connect
by	IN	by
invisible	JJ	invisible
branches	NNS	branch
not	RB	not
just	RB	just
to	TO	to
each	DT	each
other	JJ	other
,	,	,
but	CC	but
to	TO	to
our	PP$	our
extinct	JJ	extinct
relatives	NNS	relative
and	CC	and
our	PP$	our
evolutionary	JJ	evolutionary
ancestors	NNS	ancestor
.	SENT	.
As	IN	as
a	DT	a
biologist	NN	biologist
,	,	,
I	PP	I
'	POS	'
m	NN	m
still	RB	still
trying	VBG	try
to	TO	to
learn	VB	learn
,	,	,
with	IN	with
others	NNS	other
,	,	,
how	WRB	how
everyone	NN	everyone
'	POS	'
s	NNS	<unknown>
related	VBN	relate
to	TO	to
each	DT	each
other	JJ	other
,	,	,
who	WP	who
is	VBZ	be
related	VBN	relate
to	TO	to
whom	WP	whom
.	SENT	.
Perhaps	RB	perhaps
it	PP	it
'	POS	'
s	NNS	<unknown>
better	RBR	well
still	RB	still
to	TO	to
think	VB	think
of	IN	of
us	PP	us
as	IN	as
a	DT	a
little	JJ	little
fish	NN	fish
out	IN	out
of	IN	of
water	NN	water
.	SENT	.
Yes	UH	yes
,	,	,
one	CD	one
that	WDT	that
learned	VBD	learn
to	TO	to
walk	VB	walk
and	CC	and
talk	VB	talk
,	,	,
but	CC	but
one	CD	one
that	WDT	that
still	RB	still
has	VBZ	have
a	DT	a
lot	NN	lot
of	IN	of
learning	VBG	learn
to	TO	to
do	VB	do
about	RB	about
who	WP	who
we	PP	we
are	VBP	be
and	CC	and
where	WRB	where
we	PP	we
came	VBD	come
from	IN	from
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
