I	NP	I
seen	VBN	see
as	IN	as
a	DT	a
collision	NN	collision
â	NP	<unknown>
a	DT	a
collision	NN	collision
with	IN	with
something	NN	something
else	JJ	else
â	NP	<unknown>
for	IN	for
example	NN	example
,	,	,
a	DT	a
critical	JJ	critical
price-line	NN	<unknown>
that	IN	that
changes	NNS	change
both	CC	both
the	DT	the
technology	NN	technology
and	CC	and
also	RB	also
changes	VBZ	change
its	PP$	its
effect	NN	effect
on	IN	on
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
inflection	NN	inflection
point	NN	point
.	SENT	.
And	CC	and
these	DT	these
are	VBP	be
the	DT	the
inflection	NN	inflection
points	NNS	point
that	WDT	that
tell	VB	tell
you	PP	you
what	WP	what
the	DT	the
next	JJ	next
chapter	NN	chapter
in	IN	in
that	DT	that
technology	NN	technology
'	POS	'
s	NN	S
life	NN	life
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
,	,	,
and	CC	and
maybe	RB	maybe
how	WRB	how
you	PP	you
can	MD	can
do	VB	do
something	NN	something
about	IN	about
it	PP	it
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
the	DT	the
critical	JJ	critical
price	NN	price
.	SENT	.
The	DT	the
first	JJ	first
stage	NN	stage
in	IN	in
a	DT	a
technology	NN	technology
'	POS	'
s	NN	S
advance	NN	advance
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
ll	JJ	<unknown>
fall	NN	fall
below	IN	below
a	DT	a
critical	JJ	critical
price	NN	price
.	SENT	.
After	IN	after
it	PP	it
falls	VBZ	fall
below	IN	below
a	DT	a
critical	JJ	critical
price	NN	price
,	,	,
it	PP	it
will	MD	will
tend	VB	tend
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
successful	JJ	successful
,	,	,
to	TO	to
rise	VB	rise
above	IN	above
a	DT	a
critical	JJ	critical
mass	NN	mass
,	,	,
a	DT	a
penetration	NN	penetration
.	SENT	.
Many	JJ	many
technologies	NNS	technology
,	,	,
at	IN	at
that	DT	that
point	NN	point
,	,	,
displace	VB	displace
another	DT	another
technology	NN	technology
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
another	DT	another
important	JJ	important
point	NN	point
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
technologies	NNS	technology
commoditize	VBP	<unknown>
.	SENT	.
Towards	IN	towards
the	DT	the
end	NN	end
of	IN	of
their	PP$	their
life	NN	life
,	,	,
they	PP	they
become	VBP	become
nearly	RB	nearly
free	JJ	free
.	SENT	.
Each	DT	each
one	CD	one
of	IN	of
those	DT	those
is	VBZ	be
an	DT	an
opportunity	NN	opportunity
to	TO	to
do	VB	do
something	NN	something
about	IN	about
it	PP	it
;	:	;
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
opportunity	NN	opportunity
for	IN	for
the	DT	the
technology	NN	technology
to	TO	to
change	VB	change
.	SENT	.
And	CC	and
even	RB	even
if	IN	if
you	PP	you
missed	VBD	miss
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
first	JJ	first
boom	NN	boom
of	IN	of
Wi-Fi	NP	<unknown>
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
Wi-Fi	NP	<unknown>
did	VBD	do
the	DT	the
critical	JJ	critical
price	NN	price
,	,	,
it	PP	it
did	VBD	do
the	DT	the
critical	JJ	critical
mass	NN	mass
,	,	,
but	CC	but
hasn	NP	<unknown>
'	POS	'
t	NN	t
done	VBN	do
displacement	NN	displacement
yet	RB	yet
,	,	,
and	CC	and
hasn	NP	<unknown>
'	POS	'
t	NN	t
done	VBN	do
free	JJ	free
yet	IN	yet
â	NP	<unknown>
there	EX	there
'	''	'
s	NNS	<unknown>
still	RB	still
more	JJR	more
opportunity	NN	opportunity
in	IN	in
that	DT	that
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
demonstrate	VB	demonstrate
what	WP	what
I	PP	I
mean	VBP	mean
by	IN	by
this	DT	this
by	IN	by
telling	VBG	tell
the	DT	the
story	NN	story
of	IN	of
the	DT	the
DVD	NN	DVD
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
technology	NN	technology
which	WDT	which
has	VBZ	have
done	VBN	do
all	DT	all
of	IN	of
these	DT	these
.	SENT	.
The	DT	the
DVD	NN	DVD
,	,	,
as	IN	as
you	PP	you
know	VBP	know
,	,	,
was	VBD	be
introduced	VBN	introduce
in	IN	in
the	DT	the
mid-1990s	NNS	mid-1990
and	CC	and
it	PP	it
was	VBD	be
quite	RB	quite
expensive	JJ	expensive
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
see	VB	see
that	IN	that
by	IN	by
1998	CD	@card@
,	,	,
it	PP	it
had	VBD	have
fallen	VBN	fall
below	IN	below
400	CD	@card@
dollars	NNS	dollar
,	,	,
and	CC	and
400	CD	@card@
dollars	NNS	dollar
was	VBD	be
a	DT	a
psychological	JJ	psychological
threshold	NN	threshold
.	SENT	.
And	CC	and
it	PP	it
started	VBD	start
to	TO	to
take	VB	take
off	RP	off
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
units	NNS	unit
started	VBD	start
to	TO	to
trend	VB	trend
up	RP	up
,	,	,
the	DT	the
hidden	JJ	hidden
inflection	NN	inflection
point	NN	point
â	NP	<unknown>
it	PP	it
was	VBD	be
taking	VBG	take
off	RP	off
.	SENT	.
The	DT	the
next	JJ	next
thing	NN	thing
it	PP	it
hit	VBD	hit
,	,	,
a	DT	a
year	NN	year
later	RBR	later
,	,	,
was	VBD	be
critical	JJ	critical
mass	NN	mass
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
,	,	,
20	CD	@card@
percent	NN	percent
is	VBZ	be
often	RB	often
a	DT	a
good	JJ	good
proxy	NN	proxy
for	IN	for
critical	JJ	critical
mass	NN	mass
in	IN	in
a	DT	a
household	NN	household
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
here	RB	here
is	VBZ	be
that	DT	that
something	NN	something
else	RB	else
took	VBD	take
off	RP	off
along	IN	along
with	IN	with
it	PP	it
:	:	:
home-theater	NN	home-theater
units	NNS	unit
.	SENT	.
Suddenly	RB	suddenly
you	PP	you
have	VBP	have
a	DT	a
DVD	NN	DVD
in	IN	in
the	DT	the
house	NN	house
;	:	;
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
high-quality	JJ	high-quality
digital	JJ	digital
video	NN	video
;	:	;
you	PP	you
have	VBP	have
a	DT	a
reason	NN	reason
to	TO	to
have	VB	have
a	DT	a
big-screen	NN	big-screen
television	NN	television
;	:	;
you	PP	you
have	VBP	have
a	DT	a
reason	NN	reason
for	IN	for
Dolby	NP	Dolby
5	CD	@card@
.	SENT	.
1	CD	@card@
surround-sound	NN	surround-sound
.	SENT	.
And	CC	and
maybe	RB	maybe
you	PP	you
have	VBP	have
reasons	NNS	reason
for	IN	for
starting	VBG	start
to	TO	to
connect	VB	connect
them	PP	them
,	,	,
and	CC	and
bring	VB	bring
the	DT	the
rest	NN	rest
of	IN	of
your	PP$	your
entertainment	NN	entertainment
in	RP	in
.	SENT	.
What	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
also	RB	also
is	VBZ	be
â	NP	<unknown>
note	NN	note
that	IN	that
Netflix	NP	<unknown>
was	VBD	be
founded	VBN	found
in	IN	in
1999	CD	@card@
.	SENT	.
Reed	NP	Reed
Hastings	NPS	Hastings
is	VBZ	be
here	RB	here
.	SENT	.
He	PP	he
clearly	RB	clearly
saw	VBD	see
that	IN	that
that	DT	that
was	VBD	be
a	DT	a
moment	NN	moment
,	,	,
that	WDT	that
was	VBD	be
an	DT	an
inflection	NN	inflection
point	NN	point
that	IN	that
he	PP	he
could	MD	could
do	VB	do
something	NN	something
with	IN	with
.	SENT	.
The	DT	the
next	JJ	next
phase	NN	phase
it	PP	it
hit	VBD	hit
was	VBD	be
displacement	NN	displacement
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
around	IN	around
2001	CD	@card@
it	PP	it
finally	RB	finally
out-	NN	<unknown>
sold	VBD	sell
the	DT	the
VCR	NP	VCR
.	SENT	.
And	CC	and
here	RB	here
too	RB	too
,	,	,
you	PP	you
can	MD	can
see	VB	see
the	DT	the
implications	NNS	implication
in	IN	in
the	DT	the
world	NN	world
at	IN	at
large	JJ	large
.	SENT	.
Netflix	NP	<unknown>
was	VBD	be
right	JJ	right
â	NP	<unknown>
the	DT	the
Netflix	NP	<unknown>
model	NN	model
could	MD	could
capitalize	VB	capitalize
on	IN	on
the	DT	the
DVD	NN	DVD
in	IN	in
a	DT	a
way	NN	way
that	IN	that
the	DT	the
video-rental	JJ	video-rental
stores	NNS	store
couldn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
Among	IN	among
the	DT	the
DVD	NN	DVD
'	POS	'
s	JJ	<unknown>
many	JJ	many
assets	NNS	asset
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
very	RB	very
small	JJ	small
;	:	;
you	PP	you
can	MD	can
stick	VB	stick
it	PP	it
in	IN	in
the	DT	the
mailer	NN	mailer
and	CC	and
post	VB	post
it	PP	it
cheaply	RB	cheaply
.	SENT	.
That	DT	that
gave	VBD	give
an	DT	an
advantage	NN	advantage
;	:	;
that	WDT	that
was	VBD	be
an	DT	an
implication	NN	implication
of	IN	of
the	DT	the
technology	NN	technology
'	POS	'
s	NNS	<unknown>
rise	VBP	rise
that	IN	that
wasn	NP	<unknown>
'	POS	'
t	NN	t
obvious	JJ	obvious
to	TO	to
everybody	NN	everybody
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
DVDs	NP	<unknown>
are	VBP	be
approaching	VBG	approach
free	JJ	free
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
company	NN	company
called	VBD	call
Apex	NN	apex
,	,	,
a	DT	a
no-name	JJ	no-name
Chinese	JJ	Chinese
firm	NN	firm
,	,	,
who	WP	who
has	VBZ	have
,	,	,
several	JJ	several
times	NNS	time
in	IN	in
the	DT	the
past	JJ	past
year	NN	year
,	,	,
been	VBN	be
the	DT	the
number-	NN	<unknown>
one	CD	one
DVD	NN	DVD
seller	NN	seller
in	IN	in
America	NP	America
.	SENT	.
Their	PP$	their
average	JJ	average
price	NN	price
,	,	,
for	IN	for
last	JJ	last
year	NN	year
,	,	,
was	VBD	be
48	CD	@card@
dollars	NNS	dollar
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
aware	JJ	aware
of	IN	of
the	DT	the
perhaps	RB	perhaps
apocryphal	JJ	apocryphal
Wal-Mart	NP	Wal-Mart
stampede	NN	stampede
over	IN	over
the	DT	the
30-dollar	JJ	<unknown>
DVD	NN	DVD
.	SENT	.
But	CC	but
they	PP	they
'	POS	'
re	NN	re
getting	VBG	get
very	RB	very
,	,	,
very	RB	very
cheap	JJ	cheap
,	,	,
and	CC	and
look	VB	look
at	IN	at
the	DT	the
interesting	JJ	interesting
implication	NN	implication
of	IN	of
it	PP	it
.	SENT	.
As	IN	as
they	PP	they
get	VBP	get
cheaper	JJR	cheap
,	,	,
the	DT	the
premium	NN	premium
brands	NNS	brand
,	,	,
the	DT	the
Sonys	NP	Sonys
and	CC	and
such	JJ	such
,	,	,
are	VBP	be
losing	VBG	lose
market	NN	market
share	NN	share
,	,	,
and	CC	and
the	DT	the
no-names	NP	no-names
,	,	,
the	DT	the
Apexes	NNS	apex
,	,	,
are	VBP	be
gaining	VBG	gain
them	PP	them
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
being	VBG	be
commodified	VBN	commodify
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
what	WP	what
happens	VBZ	happen
when	WRB	when
things	NNS	thing
go	VBP	go
to	TO	to
zero	VB	zero
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
tough	JJ	tough
market	NN	market
out	IN	out
there	RB	there
.	SENT	.
Now	RB	now
they	PP	they
'	POS	'
ve	NN	ve
introduced	VBD	introduce
these	DT	these
four	CD	four
ways	NNS	way
of	IN	of
looking	VBG	look
at	IN	at
technology	NN	technology
,	,	,
these	DT	these
four	CD	four
stages	NNS	stage
of	IN	of
technology	NN	technology
'	POS	'
s	NN	S
life	NN	life
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
about	IN	about
some	DT	some
other	JJ	other
technologies	NNS	technology
out	IN	out
there	RB	there
,	,	,
just	RB	just
technologies	NNS	technology
on	IN	on
our	PP$	our
radar	NN	radar
â	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
ll	NNS	<unknown>
use	VBP	use
this	DT	this
lens	NN	lens
,	,	,
these	DT	these
four	CD	four
,	,	,
as	IN	as
a	DT	a
way	NN	way
to	TO	to
kind	NN	kind
of	IN	of
tell	VB	tell
you	PP	you
where	WRB	where
each	DT	each
one	CD	one
of	IN	of
those	DT	those
technologies	NNS	technology
is	VBZ	be
in	IN	in
its	PP$	its
development	NN	development
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
necessarily	RB	necessarily
the	DT	the
top-10	JJ	top-10
technologies	NNS	technology
out	IN	out
there	RB	there
â	NP	<unknown>
they	PP	they
'	''	'
re	IN	re
just	JJ	just
examples	NNS	example
of	IN	of
technologies	NNS	technology
that	WDT	that
are	VBP	be
in	IN	in
each	DT	each
one	CD	one
of	IN	of
these	DT	these
periods	NNS	period
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
the	DT	the
implications	NNS	implication
of	IN	of
them	PP	them
approaching	VBG	approach
these	DT	these
crossovers	NNS	crossover
,	,	,
these	DT	these
intersections	NNS	intersection
,	,	,
are	VBP	be
interesting	JJ	interesting
to	TO	to
think	VB	think
about	RB	about
.	SENT	.
Start	NN	start
with	IN	with
gene	NN	gene
sequencing	VBG	sequence
.	SENT	.
As	IN	as
you	PP	you
probably	RB	probably
know	VBP	know
,	,	,
gene	NN	gene
sequencing	NP	sequencing
â	NP	<unknown>
in	IN	in
a	DT	a
large	JJ	large
part	NN	part
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
built	VBN	build
on	IN	on
computers	NNS	computer
â	NP	<unknown>
is	VBZ	be
falling	VBG	fall
in	IN	in
price	NN	price
at	IN	at
a	DT	a
kind	NN	kind
of	IN	of
a	DT	a
Moore	NP	Moore
'	POS	'
s	JJ	<unknown>
Law-like	JJ	<unknown>
level	NN	level
.	SENT	.
It	PP	it
is	VBZ	be
now	RB	now
possible	JJ	possible
â	NP	<unknown>
will	MD	will
be	VB	be
possible	JJ	possible
,	,	,
and	CC	and
if	IN	if
Craig	NP	Craig
Venter	NP	Venter
indeed	RB	indeed
comes	VBZ	come
today	NN	today
,	,	,
he	PP	he
may	MD	may
tell	VB	tell
you	PP	you
something	NN	something
about	IN	about
this	DT	this
â	NP	<unknown>
to	TO	to
sequence	NN	sequence
the	DT	the
human	JJ	human
genome	NN	genome
for	IN	for
40	CD	@card@
million	CD	million
dollars	NNS	dollar
by	IN	by
the	DT	the
end	NN	end
of	IN	of
this	DT	this
year	NN	year
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
as	RB	as
opposed	VBN	oppose
to	TO	to
billions	NNS	billion
just	RB	just
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
our	PP$	our
ability	NN	ability
to	TO	to
capture	VB	capture
the	DT	the
tools	NNS	tool
of	IN	of
creation	NN	creation
is	VBZ	be
getting	VBG	get
closer	RBR	closer
and	CC	and
closer	RBR	closer
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
interesting	JJ	interesting
is	VBZ	be
that	IN	that
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
the	DT	the
number	NN	number
of	IN	of
genes	NNS	gene
that	IN	that
we	PP	we
'	POS	'
re	NN	re
discovering	VBG	discover
is	VBZ	be
rising	VBG	rise
very	RB	very
quickly	RB	quickly
.	SENT	.
Each	DT	each
one	CD	one
of	IN	of
these	DT	these
genes	NNS	gene
has	VBZ	have
potential	JJ	potential
diagnostic	JJ	diagnostic
test	NN	test
.	SENT	.
There	EX	there
will	MD	will
come	VB	come
a	DT	a
day	NN	day
when	WRB	when
you	PP	you
can	MD	can
have	VB	have
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
tests	NNS	test
done	VBN	do
,	,	,
very	RB	very
cheaply	RB	cheaply
,	,	,
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
You	PP	you
can	MD	can
learn	VB	learn
about	IN	about
your	PP$	your
own	JJ	own
mosaic	NN	mosaic
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
technology	NN	technology
that	RB	that
'	POS	'
s	NN	S
approaching	VBG	approach
a	DT	a
critical	JJ	critical
price	NN	price
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
fascinating	JJ	fascinating
research	NN	research
from	IN	from
WHO	WP	who
that	DT	that
shows	VBZ	show
the	DT	the
effect	NN	effect
of	IN	of
generic	JJ	generic
drugs	NNS	drug
on	IN	on
anti-	JJ	<unknown>
retroviral	JJ	retroviral
drug	NN	drug
compounds	NNS	compound
and	CC	and
cocktails	NNS	cocktail
.	SENT	.
In	IN	in
January	NP	January
2000	CD	@card@
,	,	,
the	DT	the
price	NN	price
was	VBD	be
10	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
,	,	,
or	CC	or
27	CD	@card@
dollars	NNS	dollar
a	DT	a
day	NN	day
.	SENT	.
The	DT	the
generics	NNS	generic
came	VBD	come
in	IN	in
,	,	,
first	JJ	first
in	IN	in
Brazil	NP	Brazil
and	CC	and
elsewhere	RB	elsewhere
,	,	,
and	CC	and
the	DT	the
effect	NN	effect
was	VBD	be
