Several	JJ	several
talk	VBP	talk
about	IN	about
it	PP	it
,	,	,
they	PP	they
figure	VBP	figure
out	IN	out
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
look	VB	look
like	IN	like
,	,	,
they	PP	they
jockey	VBP	jockey
for	IN	for
power	NN	power
.	SENT	.
Then	RB	then
they	PP	they
spend	VBP	spend
some	DT	some
time	NN	time
planning	NN	planning
,	,	,
organizing	VBG	organize
,	,	,
they	PP	they
sketch	VBP	sketch
and	CC	and
they	PP	they
lay	VBD	lie
out	RP	out
spaghetti	NNS	spaghetti
.	SENT	.
They	PP	they
spend	VBP	spend
the	DT	the
majority	NN	majority
of	IN	of
their	PP$	their
time	NN	time
assembling	VBG	assemble
the	DT	the
sticks	NNS	stick
into	IN	into
ever-growing	JJ	ever-growing
structures	NNS	structure
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
just	RB	just
as	IN	as
they	PP	they
'	''	'
re	IN	re
running	VBG	run
out	RP	out
of	IN	of
time	NN	time
,	,	,
someone	NN	someone
takes	VBZ	take
out	RP	out
the	DT	the
marshmallow	NN	marshmallow
,	,	,
and	CC	and
then	RB	then
they	PP	they
gingerly	RB	gingerly
put	VBD	put
it	PP	it
on	IN	on
top	NN	top
,	,	,
and	CC	and
then	RB	then
they	PP	they
stand	VBP	stand
back	RB	back
,	,	,
and	CC	and
—	:	-
ta-da	NN	<unknown>
!	SENT	!
—	:	-
they	PP	they
admire	VBP	admire
their	PP$	their
work	NN	work
.	SENT	.
But	CC	but
what	WP	what
really	RB	really
happens	VBZ	happen
,	,	,
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
"	``	"
ta-da	NN	<unknown>
"	''	"
turns	NNS	turn
into	IN	into
an	DT	an
"	``	"
uh-oh	NN	<unknown>
,	,	,
"	''	"
because	IN	because
the	DT	the
weight	NN	weight
of	IN	of
the	DT	the
marshmallow	NN	marshmallow
causes	VBZ	cause
the	DT	the
entire	JJ	entire
structure	NN	structure
to	TO	to
buckle	VB	buckle
and	CC	and
to	TO	to
collapse	VB	collapse
.	SENT	.
So	RB	so
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
have	VBP	have
a	DT	a
lot	NN	lot
more	RBR	more
"	``	"
uh-oh	NN	<unknown>
"	''	"
moments	NNS	moment
than	IN	than
others	NNS	other
,	,	,
and	CC	and
among	IN	among
the	DT	the
worst	JJS	bad
are	VBP	be
recent	JJ	recent
graduates	NNS	graduate
of	IN	of
business	NN	business
school	NN	school
.	SENT	.
They	PP	they
lie	VBP	lie
,	,	,
they	PP	they
cheat	VBP	cheat
,	,	,
they	PP	they
get	VBP	get
distracted	VBN	distract
and	CC	and
they	PP	they
produce	VBP	produce
really	RB	really
lame	VB	lame
structures	NNS	structure
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
there	EX	there
are	VBP	be
teams	NNS	team
that	WDT	that
have	VBP	have
a	DT	a
lot	NN	lot
more	RBR	more
"	``	"
ta-da	NN	<unknown>
"	''	"
structures	NNS	structure
,	,	,
and	CC	and
among	IN	among
the	DT	the
best	JJS	good
are	VBP	be
recent	JJ	recent
graduates	NNS	graduate
of	IN	of
kindergarten	NN	kindergarten
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
amazing	JJ	amazing
.	SENT	.
As	IN	as
Peter	NP	Peter
tells	VBZ	tell
us	PP	us
,	,	,
not	RB	not
only	RB	only
do	VB	do
they	PP	they
produce	VB	produce
the	DT	the
tallest	JJS	tall
structures	NNS	structure
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
the	DT	the
most	RBS	most
interesting	JJ	interesting
structures	NNS	structure
of	IN	of
them	PP	them
all	RB	all
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
you	PP	you
want	VBP	want
to	TO	to
ask	VB	ask
is	VBZ	be
:	:	:
How	WRB	how
come	VBN	come
?	SENT	?
Why	WRB	why
?	SENT	?
What	WP	what
is	VBZ	be
it	PP	it
about	IN	about
them	PP	them
?	SENT	?
And	CC	and
Peter	NP	Peter
likes	VBZ	like
to	TO	to
say	VB	say
that	DT	that
none	NN	none
of	IN	of
the	DT	the
kids	NNS	kid
spend	VBP	spend
any	DT	any
time	NN	time
trying	VBG	try
to	TO	to
be	VB	be
CEO	NN	CEO
of	IN	of
Spaghetti	NNS	spaghetti
,	,	,
Inc	NP	Inc
.	SENT	.
Right	RB	right
?	SENT	?
They	PP	they
don	VBP	don
'	''	'
t	NN	t
spend	VBP	spend
time	NN	time
jockeying	VBG	jockey
for	IN	for
power	NN	power
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
reason	NN	reason
as	IN	as
well	RB	well
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
is	VBZ	be
that	IN	that
business	NN	business
students	NNS	student
are	VBP	be
trained	VBN	train
to	TO	to
find	VB	find
the	DT	the
single	JJ	single
right	NN	right
plan	NN	plan
,	,	,
right	RB	right
?	SENT	?
And	CC	and
then	RB	then
they	PP	they
execute	VB	execute
on	IN	on
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
what	WP	what
happens	VBZ	happen
is	VBZ	be
,	,	,
when	WRB	when
they	PP	they
put	VBD	put
the	DT	the
marshmallow	NN	marshmallow
on	IN	on
the	DT	the
top	NN	top
,	,	,
they	PP	they
run	VBP	run
out	RP	out
of	IN	of
time	NN	time
and	CC	and
what	WP	what
happens	VBZ	happen
?	SENT	?
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
crisis	NN	crisis
.	SENT	.
Sound	JJ	sound
familiar	JJ	familiar
?	SENT	?
Right	RB	right
.	SENT	.
What	WP	what
kindergarteners	NNS	kindergartener
do	VBP	do
differently	RB	differently
is	VBZ	be
that	IN	that
they	PP	they
start	VBP	start
with	IN	with
the	DT	the
marshmallow	NN	marshmallow
,	,	,
and	CC	and
they	PP	they
build	VBP	build
prototypes	NNS	prototype
,	,	,
successive	JJ	successive
prototypes	NNS	prototype
,	,	,
always	RB	always
keeping	VBG	keep
the	DT	the
marshmallow	NN	marshmallow
on	IN	on
top	NN	top
,	,	,
so	RB	so
they	PP	they
have	VBP	have
multiple	JJ	multiple
times	NNS	time
to	TO	to
fix	VB	fix
when	WRB	when
they	PP	they
build	VBP	build
prototypes	NNS	prototype
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
Designers	NNS	designer
recognize	VBP	recognize
this	DT	this
type	NN	type
of	IN	of
collaboration	NN	collaboration
as	IN	as
the	DT	the
essence	NN	essence
of	IN	of
the	DT	the
iterative	JJ	iterative
process	NN	process
.	SENT	.
And	CC	and
with	IN	with
each	DT	each
version	NN	version
,	,	,
kids	NNS	kid
get	VBP	get
instant	JJ	instant
feedback	NN	feedback
about	IN	about
what	WP	what
works	VBZ	work
and	CC	and
what	WP	what
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
So	IN	so
the	DT	the
capacity	NN	capacity
to	TO	to
play	VB	play
in	IN	in
prototype	NN	prototype
is	VBZ	be
really	RB	really
essential	JJ	essential
,	,	,
but	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
look	VBP	look
at	IN	at
how	WRB	how
different	JJ	different
teams	NNS	team
perform	VBP	perform
.	SENT	.
So	IN	so
the	DT	the
average	NN	average
for	IN	for
most	JJS	most
people	NNS	people
is	VBZ	be
around	RB	around
20	CD	@card@
inches	NNS	inch
;	:	;
business	NN	business
schools	NNS	school
students	NNS	student
,	,	,
about	IN	about
half	NN	half
of	IN	of
that	DT	that
;	:	;
lawyers	NNS	lawyer
,	,	,
a	DT	a
little	RB	little
better	JJR	good
,	,	,
but	CC	but
not	RB	not
much	RB	much
better	JJR	good
than	IN	than
that	DT	that
,	,	,
kindergarteners	NNS	kindergartener
,	,	,
better	JJR	good
than	IN	than
most	JJS	most
adults	NNS	adult
.	SENT	.
Who	WP	who
does	VBZ	do
the	DT	the
very	RB	very
best	JJS	good
?	SENT	?
Architects	NNS	architect
and	CC	and
engineers	NNS	engineer
,	,	,
thankfully	RB	thankfully
.	SENT	.
Thirty-nine	NN	Thirty-nine
inches	NNS	inch
is	VBZ	be
the	DT	the
tallest	JJS	tall
structure	NN	structure
I	PP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
.	SENT	.
And	CC	and
why	WRB	why
is	VBZ	be
it	PP	it
?	SENT	?
Because	IN	because
they	PP	they
understand	VBP	understand
triangles	NNS	triangle
and	CC	and
self-reinforcing	VBG	self-reinforce
geometrical	JJ	geometrical
patterns	NNS	pattern
are	VBP	be
the	DT	the
key	NN	key
to	TO	to
building	VBG	build
stable	JJ	stable
structures	NNS	structure
.	SENT	.
So	IN	so
CEOs	NNS	CEO
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
than	IN	than
average	NN	average
,	,	,
but	CC	but
here	RB	here
'	POS	'
s	NN	S
where	WRB	where
it	PP	it
gets	VBZ	get
interesting	JJ	interesting
.	SENT	.
If	IN	if
you	PP	you
put	VBD	put
you	PP	you
put	VBD	put
an	DT	an
executive	JJ	executive
admin	NN	admin
.	SENT	.
on	IN	on
the	DT	the
team	NN	team
,	,	,
they	PP	they
get	VBP	get
significantly	RB	significantly
better	JJR	good
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
incredible	JJ	incredible
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
you	PP	you
look	VBP	look
around	RP	around
,	,	,
you	PP	you
go	VBP	go
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	DT	that
team	NN	team
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
win	VB	win
.	SENT	.
"	``	"
You	PP	you
can	MD	can
just	RB	just
tell	VB	tell
beforehand	RB	beforehand
.	SENT	.
And	CC	and
why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
Because	IN	because
they	PP	they
have	VBP	have
special	JJ	special
skills	NNS	skill
of	IN	of
facilitation	NN	facilitation
.	SENT	.
They	PP	they
manage	VBP	manage
the	DT	the
process	NN	process
,	,	,
they	PP	they
understand	VBP	understand
the	DT	the
process	NN	process
.	SENT	.
And	CC	and
any	DT	any
team	NN	team
who	WP	who
manages	VBZ	manage
and	CC	and
pays	VBZ	pay
close	JJ	close
attention	NN	attention
to	TO	to
work	VB	work
will	MD	will
significantly	RB	significantly
improve	VB	improve
the	DT	the
team	NN	team
'	POS	'
s	NN	S
performance	NN	performance
.	SENT	.
Specialized	JJ	Specialized
skills	NNS	skill
and	CC	and
facilitation	NN	facilitation
skills	NNS	skill
are	VBP	be
the	DT	the
combination	NN	combination
that	WDT	that
leads	VBZ	lead
to	TO	to
strong	JJ	strong
success	NN	success
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
10	CD	@card@
teams	NNS	team
that	WDT	that
typically	RB	typically
perform	VBP	perform
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
maybe	RB	maybe
six	CD	six
or	CC	or
so	RB	so
that	WDT	that
have	VBP	have
standing	NN	standing
structures	NNS	structure
.	SENT	.
And	CC	and
I	PP	I
tried	VBD	try
something	NN	something
interesting	JJ	interesting
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
let	VBN	let
'	POS	'
s	NN	S
up	IN	up
the	DT	the
ante	NN	ante
,	,	,
once	RB	once
.	SENT	.
So	RB	so
I	PP	I
offered	VBD	offer
a	DT	a
10	CD	@card@
,	,	,
000	CD	@card@
dollar	NN	dollar
prize	NN	prize
of	IN	of
software	NN	software
to	TO	to
the	DT	the
winning	JJ	winning
team	NN	team
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
you	PP	you
think	VBP	think
happened	VBN	happen
to	TO	to
these	DT	these
design	NN	design
students	NNS	student
?	SENT	?
What	WP	what
was	VBD	be
the	DT	the
result	NN	result
?	SENT	?
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
happened	VBD	happen
:	:	:
Not	RB	not
one	CD	one
team	NN	team
had	VBD	have
a	DT	a
standing	NN	standing
structure	NN	structure
.	SENT	.
If	IN	if
anyone	NN	anyone
had	VBD	have
built	VBN	build
,	,	,
say	VBP	say
,	,	,
a	DT	a
one	CD	one
inch	NN	inch
structure	NN	structure
,	,	,
they	PP	they
would	MD	would
have	VB	have
taken	VBN	take
home	RB	home
the	DT	the
prize	NN	prize
.	SENT	.
So	RB	so
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
that	IN	that
interesting	JJ	interesting
?	SENT	?
That	DT	that
high	JJ	high
stakes	NNS	stake
have	VBP	have
a	DT	a
strong	JJ	strong
impact	NN	impact
.	SENT	.
We	PP	we
did	VBD	do
the	DT	the
exercise	NN	exercise
again	RB	again
with	IN	with
the	DT	the
same	JJ	same
students	NNS	student
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
happened	VBN	happen
then	RB	then
?	SENT	?
So	RB	so
now	RB	now
they	PP	they
understand	VBP	understand
the	DT	the
value	NN	value
of	IN	of
prototyping	VBG	prototyp
.	SENT	.
So	IN	so
the	DT	the
same	JJ	same
team	NN	team
went	VBD	go
from	IN	from
being	VBG	be
the	DT	the
very	RB	very
worst	JJS	bad
to	TO	to
being	VBG	be
among	IN	among
the	DT	the
very	RB	very
best	JJS	good
.	SENT	.
They	PP	they
produced	VBD	produce
the	DT	the
tallest	JJS	tall
structures	NNS	structure
in	IN	in
the	DT	the
least	JJS	least
amount	NN	amount
of	IN	of
time	NN	time
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	JJ	<unknown>
deep	JJ	deep
lessons	NNS	lesson
for	IN	for
us	PP	us
about	IN	about
the	DT	the
nature	NN	nature
of	IN	of
incentives	NNS	incentive
and	CC	and
success	NN	success
.	SENT	.
So	RB	so
,	,	,
you	PP	you
might	MD	might
ask	VB	ask
:	:	:
Why	WRB	why
would	MD	would
anyone	NN	anyone
actually	RB	actually
spend	VBP	spend
time	NN	time
writing	VBG	write
a	DT	a
marshmallow	NN	marshmallow
challenge	NN	challenge
?	SENT	?
And	CC	and
the	DT	the
reason	NN	reason
is	VBZ	be
,	,	,
I	PP	I
help	VBP	help
create	VB	create
digital	JJ	digital
tools	NNS	tool
and	CC	and
processes	VBZ	process
to	TO	to
help	VB	help
teams	NNS	team
build	VB	build
cars	NNS	car
and	CC	and
video	NN	video
games	NNS	game
and	CC	and
visual	JJ	visual
effects	NNS	effect
.	SENT	.
And	CC	and
what	WP	what
the	DT	the
marshmallow	NN	marshmallow
challenge	NN	challenge
does	VBZ	do
is	VBZ	be
it	PP	it
helps	VBZ	help
them	PP	them
identify	VB	identify
the	DT	the
hidden	JJ	hidden
assumptions	NNS	assumption
.	SENT	.
Because	RB	because
,	,	,
frankly	RB	frankly
,	,	,
every	DT	every
project	NN	project
has	VBZ	have
its	PP$	its
own	JJ	own
marshmallow	NN	marshmallow
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
The	DT	the
challenge	NN	challenge
provides	VBZ	provide
a	DT	a
shared	JJ	shared
experience	NN	experience
,	,	,
a	DT	a
common	JJ	common
language	NN	language
,	,	,
a	DT	a
common	JJ	common
stance	NN	stance
to	TO	to
build	VB	build
the	DT	the
right	JJ	right
prototype	NN	prototype
.	SENT	.
And	CC	and
so	RB	so
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
value	NN	value
of	IN	of
the	DT	the
experience	NN	experience
,	,	,
of	IN	of
this	DT	this
so	RB	so
simple	JJ	simple
exercise	NN	exercise
.	SENT	.
And	CC	and
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
interested	JJ	interested
may	MD	may
want	VB	want
to	TO	to
go	VB	go
to	TO	to
MarshmallowChallenge	NP	MarshmallowChallenge
.	SENT	.
com	NN	com
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
blog	NN	<unknown>
that	IN	that
you	PP	you
can	MD	can
look	VB	look
at	IN	at
how	WRB	how
to	TO	to
build	VB	build
the	DT	the
marshmallows	NNS	marshmallow
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
step-	NN	<unknown>
by-step	NN	<unknown>
instructions	NNS	instruction
on	IN	on
this	DT	this
.	SENT	.
There	EX	there
are	VBP	be
crazy	JJ	crazy
examples	NNS	example
from	IN	from
around	IN	around
the	DT	the
world	NN	world
of	IN	of
how	WRB	how
people	NNS	people
tweak	VBP	tweak
and	CC	and
adjust	VBP	adjust
the	DT	the
system	NN	system
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
world	NN	world
records	NNS	record
that	WDT	that
are	VBP	be
on	IN	on
this	DT	this
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
the	DT	the
fundamental	JJ	fundamental
lesson	NN	lesson
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
is	VBZ	be
that	DT	that
design	NN	design
truly	RB	truly
is	VBZ	be
a	DT	a
contact	NN	contact
sport	NN	sport
.	SENT	.
It	PP	it
demands	VBZ	demand
that	IN	that
we	PP	we
bring	VBP	bring
all	DT	all
of	IN	of
our	PP$	our
senses	NNS	sense
to	TO	to
the	DT	the
task	NN	task
,	,	,
and	CC	and
that	IN	that
we	PP	we
apply	VBP	apply
the	DT	the
very	RB	very
best	JJS	good
of	IN	of
our	PP$	our
thinking	NN	thinking
,	,	,
our	PP$	our
feeling	NN	feeling
and	CC	and
our	PP$	our
doing	VBG	do
to	TO	to
the	DT	the
challenge	NN	challenge
that	IN	that
we	PP	we
have	VBP	have
at	IN	at
hand	NN	hand
.	SENT	.
And	CC	and
sometimes	RB	sometimes
,	,	,
a	DT	a
little	JJ	little
prototype	NN	prototype
of	IN	of
this	DT	this
experience	NN	experience
is	VBZ	be
all	RB	all
that	IN	that
it	PP	it
takes	VBZ	take
to	TO	to
turn	VB	turn
us	PP	us
from	IN	from
an	DT	an
"	``	"
uh-oh	NN	<unknown>
"	''	"
moment	NN	moment
to	TO	to
a	DT	a
"	``	"
ta-da	NN	<unknown>
"	''	"
moment	NN	moment
.	SENT	.
And	CC	and
that	WDT	that
can	MD	can
make	VB	make
a	DT	a
big	JJ	big
difference	NN	difference
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
