So	RB	so
you	PP	you
can	MD	can
take	VB	take
a	DT	a
bacteria	NNS	bacterium
that	WDT	that
really	RB	really
doesn	NP	<unknown>
'	POS	'
t	NN	t
make	VB	make
these	DT	these
things	NNS	thing
at	IN	at
all	DT	all
,	,	,
and	CC	and
if	IN	if
you	PP	you
could	MD	could
clamp	VB	clamp
these	DT	these
on	IN	on
it	PP	it
really	RB	really
well	RB	well
you	PP	you
have	VBP	have
it	PP	it
taken	VBN	take
off	IN	off
the	DT	the
street	NN	street
.	SENT	.
And	CC	and
for	IN	for
certain	JJ	certain
bacteria	NNS	bacterium
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
really	RB	really
efficient	JJ	efficient
ways	NNS	way
to	TO	to
do	VB	do
that	IN	that
anymore	RB	anymore
.	SENT	.
Our	PP$	our
antibiotics	NNS	antibiotic
are	VBP	be
running	VBG	run
out	RP	out
.	SENT	.
And	CC	and
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
world	NN	world
apparently	RB	apparently
is	VBZ	be
running	VBG	run
out	RP	out
too	RB	too
.	SENT	.
So	RB	so
probably	RB	probably
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
50	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
—	:	-
streptococcus	NN	streptococcus
and	CC	and
stuff	NN	stuff
like	IN	like
that	WDT	that
will	MD	will
be	VB	be
rampant	JJ	rampant
—	:	-
because	IN	because
we	PP	we
won	VBD	win
'	''	'
t	NN	t
be	VB	be
here	RB	here
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
are	VBP	be
—	:	-
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
something	NN	something
to	TO	to
do	VB	do
with	IN	with
the	DT	the
bacteria	NNS	bacterium
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
working	VBG	work
with	IN	with
this	DT	this
thing	NN	thing
,	,	,
with	IN	with
a	DT	a
bunch	NN	bunch
of	IN	of
collaborators	NNS	collaborator
.	SENT	.
And	CC	and
trying	VBG	try
to	TO	to
attach	VB	attach
this	DT	this
to	TO	to
things	NNS	thing
that	WDT	that
were	VBD	be
themselves	PP	themselves
attached	VBN	attach
to	TO	to
certain	JJ	certain
specific	JJ	specific
target	NN	target
zones	NNS	zone
,	,	,
bacteria	NNS	bacterium
that	WDT	that
we	PP	we
don	VBP	don
'	''	'
t	NN	t
like	IN	like
.	SENT	.
And	CC	and
I	PP	I
feel	VBP	feel
now	RB	now
like	VB	like
George	NP	George
Bush	NP	Bush
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
"	``	"
mission	NN	mission
accomplished	VBN	accomplish
.	SENT	.
"	``	"
So	RB	so
I	PP	I
might	MD	might
be	VB	be
doing	VBG	do
something	NN	something
dumb	JJ	dumb
,	,	,
just	RB	just
like	IN	like
he	PP	he
was	VBD	be
doing	VBG	do
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
But	CC	but
basically	RB	basically
what	WP	what
I	PP	I
was	VBD	be
talking	VBG	talk
about	RB	about
there	RB	there
we	PP	we
'	POS	'
ve	NN	ve
now	RB	now
gotten	VBN	get
to	TO	to
work	VB	work
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
killing	NN	killing
bacteria	NNS	bacterium
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
eating	VBG	eat
them	PP	them
.	SENT	.
This	DT	this
thing	NN	thing
can	MD	can
be	VB	be
stuck	VBN	stick
,	,	,
like	IN	like
that	DT	that
little	JJ	little
green	JJ	green
triangle	NN	triangle
up	RB	up
there	RB	there
,	,	,
sort	NN	sort
of	IN	of
symbolizing	VBG	symbolize
this	DT	this
right	NN	right
now	RB	now
.	SENT	.
You	PP	you
can	MD	can
stick	VB	stick
this	DT	this
to	TO	to
something	NN	something
called	VBD	call
a	DT	a
DNA	NN	DNA
aptamer	NN	aptamer
.	SENT	.
And	CC	and
that	DT	that
DNA	NP	DNA
aptamer	NN	aptamer
will	MD	will
attach	VB	attach
specifically	RB	specifically
to	TO	to
a	DT	a
target	NN	target
that	IN	that
you	PP	you
have	VBP	have
selected	VBN	select
for	IN	for
it	PP	it
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
find	VB	find
a	DT	a
little	JJ	little
feature	NN	feature
on	IN	on
a	DT	a
bacterium	NN	bacterium
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
like	IN	like
,	,	,
like	IN	like
Staphylococcus	NN	staphylococcus
—	:	-
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
it	PP	it
in	IN	in
particular	JJ	particular
,	,	,
because	IN	because
it	PP	it
killed	VBD	kill
a	DT	a
professor	NN	professor
friend	NN	friend
of	IN	of
mine	JJ	mine
last	JJ	last
year	NN	year
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
respond	NN	respond
to	TO	to
antibiotics	NNS	antibiotic
.	SENT	.
So	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
like	IN	like
it	PP	it
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
making	VBG	make
an	DT	an
aptamer	NN	aptamer
that	WDT	that
will	MD	will
have	VB	have
this	DT	this
attached	VBN	attach
to	TO	to
it	PP	it
.	SENT	.
That	DT	that
will	MD	will
know	VB	know
how	WRB	how
to	TO	to
find	VB	find
Staph	NN	Staph
when	WRB	when
it	PP	it
'	POS	'
s	NN	S
in	IN	in
your	PP$	your
body	NN	body
,	,	,
and	CC	and
will	MD	will
alert	VB	alert
your	PP$	your
immune	JJ	immune
system	NN	system
to	TO	to
go	VB	go
after	IN	after
it	PP	it
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
happened	VBD	happen
.	SENT	.
See	VB	see
that	DT	that
line	NN	line
on	IN	on
the	DT	the
very	RB	very
top	JJ	top
with	IN	with
the	DT	the
little	JJ	little
dots	NNS	dot
?	SENT	?
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
bunch	NN	bunch
of	IN	of
mice	NNS	mouse
that	WDT	that
had	VBD	have
been	VBN	be
poisoned	VBN	poison
by	IN	by
our	PP$	our
scientist	NN	scientist
friends	NNS	friend
down	RB	down
in	IN	in
Texas	NP	Texas
,	,	,
at	IN	at
Brooks	NP	Brooks
Air	NP	Air
Base	NP	Base
,	,	,
with	IN	with
anthrax	NN	anthrax
.	SENT	.
And	CC	and
they	PP	they
had	VBD	have
also	RB	also
been	VBN	be
treated	VBN	treat
with	IN	with
a	DT	a
drug	NN	drug
that	IN	that
we	PP	we
made	VBD	make
that	WDT	that
would	MD	would
attack	VB	attack
anthrax	NN	anthrax
in	IN	in
particular	JJ	particular
,	,	,
and	CC	and
direct	VB	direct
your	PP$	your
immune	JJ	immune
system	NN	system
to	TO	to
it	PP	it
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
notice	VBP	notice
they	PP	they
all	RB	all
lived	VBD	live
,	,	,
the	DT	the
ones	NNS	one
on	IN	on
the	DT	the
top	JJ	top
line	NN	line
—	:	-
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
100	CD	@card@
percent	NN	percent
survival	NN	survival
rate	NN	rate
.	SENT	.
And	CC	and
they	PP	they
actually	RB	actually
lived	VBD	live
another	DT	another
14	CD	@card@
days	NNS	day
,	,	,
or	CC	or
28	CD	@card@
when	WRB	when
we	PP	we
finally	RB	finally
killed	VBD	kill
them	PP	them
,	,	,
and	CC	and
took	VBD	take
them	PP	them
apart	RB	apart
and	CC	and
figured	VBD	figure
out	RP	out
what	WP	what
went	VBD	go
wrong	JJ	wrong
.	SENT	.
Why	WRB	why
did	VBD	do
they	PP	they
not	RB	not
die	VBP	die
?	SENT	?
And	CC	and
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
die	NN	die
because	IN	because
they	PP	they
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
anthrax	NN	anthrax
anymore	RB	anymore
.	SENT	.
So	RB	so
we	PP	we
did	VBD	do
it	PP	it
.	SENT	.
Okay	JJ	okay
?	SENT	?
Mission	NN	mission
accomplished	VBD	accomplish
!	SENT	!
