Everyone	NN	everyone
we	PP	we
'	POS	'
ve	NN	ve
gotten	VBN	get
the	DT	the
habit	NN	habit
of	IN	of
choosing	VBG	choose
a	DT	a
topic	NN	topic
for	IN	for
discussion	NN	discussion
.	SENT	.
And	CC	and
one	CD	one
day	NN	day
the	DT	the
topic	NN	topic
was	VBD	be
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
squeeze	VBP	squeeze
all	PDT	all
the	DT	the
juice	NN	juice
out	RP	out
of	IN	of
retirement	NN	retirement
?	SENT	?
How	WRB	how
'	POS	'
s	NN	S
that	IN	that
for	IN	for
seven	CD	seven
o	NN	o
'	POS	'
clock	NN	clock
in	IN	in
the	DT	the
morning	NN	morning
?	SENT	?
So	RB	so
we	PP	we
walk	VBP	walk
and	CC	and
we	PP	we
talk	VBP	talk
,	,	,
and	CC	and
the	DT	the
next	JJ	next
day	NN	day
we	PP	we
go	VBP	go
on	IN	on
to	TO	to
the	DT	the
next	JJ	next
topic	NN	topic
.	SENT	.
But	CC	but
the	DT	the
question	NN	question
stayed	VBD	stay
with	IN	with
me	PP	me
because	IN	because
I	PP	I
was	VBD	be
really	RB	really
having	VBG	have
some	DT	some
challenges	NNS	challenge
with	IN	with
retirement	NN	retirement
.	SENT	.
I	PP	I
was	VBD	be
busy	JJ	busy
enough	RB	enough
,	,	,
but	CC	but
I	PP	I
really	RB	really
didn	NN	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
that	IN	that
I	PP	I
was	VBD	be
doing	VBG	do
very	RB	very
much	JJ	much
that	WDT	that
was	VBD	be
significant	JJ	significant
or	CC	or
important	JJ	important
.	SENT	.
I	PP	I
was	VBD	be
really	RB	really
struggling	VBG	struggle
.	SENT	.
I	PP	I
thought	VBD	think
I	PP	I
had	VBD	have
a	DT	a
pretty	RB	pretty
good	JJ	good
idea	NN	idea
of	IN	of
what	WP	what
success	NN	success
looked	VBD	look
like	IN	like
in	IN	in
a	DT	a
working	VBG	work
career	NN	career
,	,	,
but	CC	but
when	WRB	when
it	PP	it
came	VBD	come
to	TO	to
retirement	NN	retirement
,	,	,
it	PP	it
was	VBD	be
fuzzier	JJR	fuzzy
for	IN	for
me	PP	me
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
dig	VB	dig
deeper	JJR	deep
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
discovered	VBD	discover
was	VBD	be
that	IN	that
much	RB	much
of	IN	of
the	DT	the
material	NN	material
on	IN	on
retirement	NN	retirement
focuses	VBZ	focus
on	IN	on
the	DT	the
financial	JJ	financial
and	CC	and
/	SYM	/
or	CC	or
the	DT	the
estate	NN	estate
side	NN	side
of	IN	of
things	NNS	thing
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
they	PP	they
'	POS	'
re	NN	re
both	CC	both
important	JJ	important
,	,	,
but	CC	but
just	RB	just
not	RB	not
what	WP	what
I	PP	I
was	VBD	be
looking	VBG	look
for	IN	for
.	SENT	.
So	RB	so
I	PP	I
interviewed	VBD	interview
dozens	NNS	dozen
and	CC	and
dozens	NNS	dozen
of	IN	of
retirees	NNS	retiree
and	CC	and
I	PP	I
asked	VBD	ask
them	PP	them
the	DT	the
question	NN	question
:	:	:
how	WRB	how
do	VBP	do
you	PP	you
squeeze	VBP	squeeze
all	PDT	all
the	DT	the
juice	NN	juice
out	RP	out
of	IN	of
retirement	NN	retirement
?	SENT	?
What	WP	what
I	PP	I
discovered	VBD	discover
was	VBD	be
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
framework	NN	framework
that	WDT	that
can	MD	can
help	VB	help
make	VB	make
sense	NN	sense
of	IN	of
it	PP	it
all	RB	all
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
with	IN	with
you	PP	you
today	NN	today
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
there	EX	there
are	VBP	be
four	CD	four
distinct	JJ	distinct
phases	NNS	phase
that	IN	that
most	JJS	most
of	IN	of
us	PP	us
move	VBP	move
through	IN	through
in	IN	in
retirement	NN	retirement
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
always	RB	always
a	DT	a
smooth	JJ	smooth
ride	NN	ride
.	SENT	.
In	IN	in
the	DT	the
next	JJ	next
few	JJ	few
minutes	NNS	minute
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
recognize	VB	recognize
which	WDT	which
phase	NN	phase
you	PP	you
'	POS	'
re	NN	re
in	IN	in
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
retired	VBD	retire
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
better	JJR	good
idea	NN	idea
of	IN	of
what	WP	what
to	TO	to
expect	VB	expect
when	WRB	when
that	DT	that
time	NN	time
comes	VBZ	come
.	SENT	.
And	CC	and
best	JJS	good
of	IN	of
all	DT	all
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
know	VBP	know
that	IN	that
there	EX	there
is	VBZ	be
a	DT	a
phase	NN	phase
four	CD	four
.	SENT	.
The	DT	the
most	RBS	most
gratifying	JJ	gratifying
,	,	,
satisfying	JJ	satisfying
of	IN	of
the	DT	the
four	CD	four
phases	NNS	phase
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
you	PP	you
can	MD	can
squeeze	VB	squeeze
all	PDT	all
the	DT	the
juice	NN	juice
out	RP	out
of	IN	of
retirement	NN	retirement
.	SENT	.
Phase	VB	phase
one	PP	one
is	VBZ	be
the	DT	the
vacation	NN	vacation
phase	NN	phase
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
just	RB	just
what	WP	what
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
.	SENT	.
You	PP	you
wake	VBP	wake
up	RB	up
when	WRB	when
you	PP	you
want	VBP	want
,	,	,
you	PP	you
do	VBP	do
what	WP	what
you	PP	you
want	VBP	want
all	DT	all
day	NN	day
.	SENT	.
And	CC	and
the	DT	the
best	JJS	good
part	NN	part
is	VBZ	be
that	IN	that
there	EX	there
is	VBZ	be
no	DT	no
set	NN	set
routine	NN	routine
.	SENT	.
For	IN	for
most	JJS	most
people	NNS	people
,	,	,
phase	NN	phase
one	CD	one
represents	VBZ	represent
their	PP$	their
view	NN	view
of	IN	of
an	DT	an
ideal	JJ	ideal
retirement	NN	retirement
.	SENT	.
Relaxing	JJ	relaxing
,	,	,
fun	NN	fun
in	IN	in
the	DT	the
sun	NN	sun
,	,	,
freedom	NN	freedom
,	,	,
baby	NN	baby
.	SENT	.
And	CC	and
for	IN	for
most	JJS	most
folks	NNS	folk
,	,	,
phase	NN	phase
one	CD	one
lasts	VBZ	last
for	IN	for
about	IN	about
a	DT	a
year	NN	year
or	CC	or
so	RB	so
.	SENT	.
And	CC	and
then	RB	then
strangely	RB	strangely
,	,	,
it	PP	it
begins	VBZ	begin
to	TO	to
lose	VB	lose
its	PP$	its
luster	VB	luster
.	SENT	.
We	PP	we
begin	VBP	begin
to	TO	to
feel	VB	feel
a	DT	a
bit	NN	bit
bored	VBN	bore
.	SENT	.
We	PP	we
actually	RB	actually
miss	VBP	miss
our	PP$	our
routine	NN	routine
.	SENT	.
Something	NN	something
in	IN	in
us	PP	us
seems	VBZ	seem
to	TO	to
need	VB	need
one	PP	one
.	SENT	.
And	CC	and
we	PP	we
ask	VBP	ask
ourselves	PP	ourselves
,	,	,
"	``	"
Is	VBZ	be
that	IN	that
all	RB	all
there	EX	there
is	VBZ	be
to	TO	to
retirement	NN	retirement
?	SENT	?
"	''	"
Now	RB	now
when	WRB	when
these	DT	these
thoughts	NNS	thought
and	CC	and
feelings	NNS	feeling
start	VBP	start
to	TO	to
bubble	VB	bubble
up	RP	up
,	,	,
you	PP	you
have	VBP	have
already	RB	already
moved	VBN	move
into	IN	into
phase	NN	phase
two	CD	two
.	SENT	.
Phase	NN	phase
two	CD	two
is	VBZ	be
when	WRB	when
we	PP	we
feel	VBP	feel
loss	NN	loss
and	CC	and
we	PP	we
feel	VBP	feel
lost	VBN	lose
.	SENT	.
Phase	NN	phase
two	CD	two
is	VBZ	be
when	WRB	when
we	PP	we
lose	VBP	lose
the	DT	the
big	JJ	big
five	CD	five
,	,	,
significant	JJ	significant
losses	NNS	loss
all	RB	all
associated	VBN	associate
with	IN	with
retirement	NN	retirement
.	SENT	.
We	PP	we
lose	VBP	lose
that	IN	that
routine	JJ	routine
.	SENT	.
We	PP	we
lose	VBP	lose
a	DT	a
sense	NN	sense
of	IN	of
identity	NN	identity
.	SENT	.
We	PP	we
lose	VBP	lose
many	JJ	many
of	IN	of
the	DT	the
relationships	NNS	relationship
that	IN	that
we	PP	we
had	VBD	have
established	VBN	establish
at	IN	at
work	NN	work
.	SENT	.
We	PP	we
lose	VBP	lose
a	DT	a
sense	NN	sense
of	IN	of
purpose	NN	purpose
,	,	,
and	CC	and
for	IN	for
some	DT	some
people	NNS	people
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
loss	NN	loss
of	IN	of
power	NN	power
.	SENT	.
Now	RB	now
we	PP	we
don	VB	don
'	''	'
t	NN	t
see	VB	see
these	DT	these
things	NNS	thing
coming	VBG	come
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
see	VBP	see
these	DT	these
losses	NNS	loss
coming	VBG	come
,	,	,
and	CC	and
because	IN	because
they	PP	they
happen	VBP	happen
all	RB	all
at	IN	at
once	RB	once
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
poof	NN	poof
,	,	,
gone	VBN	go
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
traumatic	JJ	traumatic
.	SENT	.
Phase	NN	phase
two	CD	two
is	VBZ	be
also	RB	also
when	WRB	when
we	PP	we
come	VBP	come
face-to-face	RB	face-to-face
with	IN	with
the	DT	the
three	CD	three
Ds	NP	D
:	:	:
divorce	NN	divorce
,	,	,
depression	NN	depression
and	CC	and
decline	NN	decline
,	,	,
both	CC	both
physical	JJ	physical
and	CC	and
mental	JJ	mental
.	SENT	.
The	DT	the
result	NN	result
of	IN	of
all	DT	all
of	IN	of
this	DT	this
is	VBZ	be
that	IN	that
we	PP	we
can	MD	can
feel	VB	feel
like	IN	like
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
hit	VBN	hit
by	IN	by
a	DT	a
bus	NN	bus
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
before	IN	before
we	PP	we
can	MD	can
appreciate	VB	appreciate
and	CC	and
enjoy	VB	enjoy
some	DT	some
of	IN	of
the	DT	the
positive	JJ	positive
aspects	NNS	aspect
associated	VBN	associate
with	IN	with
phase	NN	phase
three	CD	three
and	CC	and
four	CD	four
,	,	,
you	PP	you
are	VBP	be
going	VBG	go
to	TO	to
,	,	,
in	IN	in
phase	NN	phase
two	CD	two
,	,	,
feel	VBP	feel
fear	NN	fear
,	,	,
anxiety	NN	anxiety
and	CC	and
quite	RB	quite
even	RB	even
depression	NN	depression
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
just	RB	just
the	DT	the
way	NN	way
it	PP	it
is	VBZ	be
.	SENT	.
So	RB	so
buckle	VB	buckle
up	RP	up
,	,	,
get	VB	get
ready	JJ	ready
.	SENT	.
Fortunately	RB	fortunately
,	,	,
at	IN	at
some	DT	some
point	NN	point
,	,	,
most	JJS	most
of	IN	of
us	PP	us
say	VBP	say
to	TO	to
ourselves	PP	ourselves
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
go	VB	go
on	IN	on
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
spend	VB	spend
the	DT	the
rest	NN	rest
of	IN	of
my	PP$	my
life	NN	life
,	,	,
perhaps	RB	perhaps
30	CD	@card@
years	NNS	year
,	,	,
feeling	VBG	feel
like	IN	like
this	DT	this
.	SENT	.
"	``	"
And	CC	and
when	WRB	when
we	PP	we
do	VBP	do
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
turned	VBD	turn
a	DT	a
corner	NN	corner
to	TO	to
phase	VB	phase
three	CD	three
.	SENT	.
Phase	NN	phase
three	CD	three
is	VBZ	be
a	DT	a
time	NN	time
of	IN	of
trial	NN	trial
and	CC	and
error	NN	error
.	SENT	.
In	IN	in
phase	NN	phase
three	CD	three
,	,	,
we	PP	we
ask	VBP	ask
ourselves	PP	ourselves
,	,	,
"	``	"
How	WRB	how
can	MD	can
I	PP	I
make	VB	make
my	PP$	my
life	NN	life
meaningful	JJ	meaningful
again	RB	again
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
contribute	VB	contribute
?	SENT	?
"	''	"
The	DT	the
answer	NN	answer
often	RB	often
is	VBZ	be
to	TO	to
do	VB	do
things	NNS	thing
that	IN	that
you	PP	you
love	VBP	love
to	TO	to
do	VB	do
and	CC	and
do	VB	do
really	RB	really
well	RB	well
.	SENT	.
But	CC	but
phase	VB	phase
three	CD	three
can	MD	can
also	RB	also
deliver	VB	deliver
some	DT	some
disappointment	NN	disappointment
and	CC	and
failure	NN	failure
.	SENT	.
For	IN	for
example	NN	example
,	,	,
I	PP	I
spent	VBD	spend
a	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
serving	VBG	serve
on	IN	on
a	DT	a
condo	NN	condo
board	NN	board
until	IN	until
I	PP	I
finally	RB	finally
got	VBD	get
tired	JJ	tired
of	IN	of
being	VBG	be
yelled	VBN	yell
at	IN	at
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
one	CD	one
year	NN	year
the	DT	the
board	NN	board
decided	VBD	decide
that	IN	that
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
plant	NN	plant
daffodils	NNS	daffodil
rather	RB	rather
than	IN	than
the	DT	the
traditional	JJ	traditional
daisies	NNS	daisy
,	,	,
and	CC	and
we	PP	we
got	VBD	get
yelled	VBN	yell
at	IN	at
.	SENT	.
Go	VB	go
figure	NN	figure
.	SENT	.
I	PP	I
thought	VBD	think
about	IN	about
law	NN	law
school	NN	school
,	,	,
thinking	VBG	think
perhaps	RB	perhaps
of	IN	of
becoming	VBG	become
a	DT	a
paralegal	NN	paralegal
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
completed	VBD	complete
a	DT	a
program	NN	program
on	IN	on
dispute	NN	dispute
resolution	NN	resolution
.	SENT	.
It	PP	it
all	RB	all
went	VBD	go
nowhere	RB	nowhere
.	SENT	.
I	PP	I
love	VBP	love
to	TO	to
write	VB	write
.	SENT	.
So	RB	so
I	PP	I
created	VBD	create
a	DT	a
program	NN	program
called	VBD	call
Getting	VBG	get
Started	VBN	start
on	IN	on
Your	PP$	your
Memoirs	NNS	memoir
.	SENT	.
That	DT	that
program	NN	program
has	VBZ	have
met	VBN	meet
with	IN	with
"	``	"
limited	JJ	limited
success	NN	success
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
rocky	JJ	rocky
road	NN	road
for	IN	for
me	PP	me
,	,	,
too	RB	too
.	SENT	.
And	CC	and
I	PP	I
told	VBD	tell
you	PP	you
to	TO	to
buckle	VB	buckle
up	RP	up
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
all	PDT	all
this	DT	this
can	MD	can
sound	VB	sound
bad	JJ	bad
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
to	TO	to
keep	VB	keep
trying	VBG	try
and	CC	and
experimenting	VBG	experiment
with	IN	with
different	JJ	different
activities	NNS	activity
that	WDT	that
'	POS	'
ll	NNS	<unknown>
make	VBP	make
you	PP	you
want	VBP	want
to	TO	to
get	VB	get
up	RP	up
in	IN	in
the	DT	the
morning	NN	morning
again	RB	again
,	,	,
because	IN	because
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
real	JJ	real
good	JJ	good
chance	NN	chance
of	IN	of
slipping	VBG	slip
back	RB	back
into	IN	into
phase	NN	phase
two	CD	two
,	,	,
feeling	VBG	feel
like	IN	like
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
hit	VBN	hit
by	IN	by
a	DT	a
bus	NN	bus
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
not	RB	not
a	DT	a
happy	JJ	happy
prospect	NN	prospect
.	SENT	.
Not	RB	not
everyone	NN	everyone
breaks	VBZ	break
through	RP	through
to	TO	to
phase	VB	phase
four	CD	four
.	SENT	.
But	CC	but
those	DT	those
who	WP	who
do	VBP	do
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
happiest	JJS	happy
people	NNS	people
I	PP	I
have	VBP	have
ever	RB	ever
met	VBN	meet
.	SENT	.
Phase	NN	phase
four	CD	four
is	VBZ	be
a	DT	a
time	NN	time
to	TO	to
reinvent	VB	reinvent
and	CC	and
rewire	VB	rewire
.	SENT	.
But	CC	but
phase	VB	phase
four	CD	four
involves	VBZ	involve
answering	VBG	answer
some	DT	some
tough	JJ	tough
questions	NNS	question
,	,	,
too	RB	too
.	SENT	.
Like	IN	like
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
purpose	NN	purpose
here	RB	here
?	SENT	?
What	WP	what
'	''	'
s	VBG	<unknown>
my	PP$	my
mission	NN	mission
?	SENT	?
How	WRB	how
can	MD	can
I	PP	I
squeeze	VB	squeeze
all	PDT	all
the	DT	the
juice	NN	juice
out	RP	out
of	IN	of
retirement	NN	retirement
?	SENT	?
You	PP	you
see	VBP	see
,	,	,
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
that	IN	that
we	PP	we
find	VBP	find
activities	NNS	activity
that	WDT	that
are	VBP	be
meaningful	JJ	meaningful
to	TO	to
us	PP	us
and	CC	and
that	DT	that
give	VBP	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
accomplishment	NN	accomplishment
.	SENT	.
And	CC	and
my	PP$	my
experience	NN	experience
is	VBZ	be
that	IN	that
it	PP	it
almost	RB	almost
always	RB	always
involves	VBZ	involve
service	NN	service
to	TO	to
others	NNS	other
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
helping	VBG	help
a	DT	a
charity	NN	charity
that	IN	that
you	PP	you
care	VBP	care
about	RB	about
.	SENT	.
Maybe	RB	maybe
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
like	IN	like
the	DT	the
old	JJ	old
coots	NNS	coot
.	SENT	.
Yeah	RB	yeah
,	,	,
these	DT	these
folks	NNS	folk
took	VBD	take
a	DT	a
booth	NN	booth
in	IN	in
the	DT	the
local	JJ	local
farmers	NNS	farmer
market	NN	market
and	CC	and
were	VBD	be
prepared	VBN	prepare
to	TO	to
give	VB	give
their	PP$	their
advice	NN	advice
based	VBN	base
on	IN	on
their	PP$	their
vast	JJ	vast
years	NNS	year
of	IN	of
experience	NN	experience
to	TO	to
anyone	NN	anyone
who	WP	who
came	VBD	come
by	IN	by
.	SENT	.
Or	CC	or
maybe	RB	maybe
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
like	IN	like
my	PP$	my
friend	NN	friend
Bill	NN	bill
.	SENT	.
I	PP	I
met	VBD	meet
Bill	NP	Bill
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
in	IN	in
a	DT	a
55-plus	JJ	<unknown>
activity	NN	activity
group	NN	group
.	SENT	.
In	IN	in
the	DT	the
summer	NN	summer
,	,	,
we	PP	we
golf	NN	golf
together	RB	together
and	CC	and
walk	VB	walk
together	RB	together
and	CC	and
bicycle	VB	bicycle
together	RB	together
,	,	,
and	CC	and
in	IN	in
the	DT	the
winter	NN	winter
we	PP	we
curl	VBP	curl
.	SENT	.
But	CC	but
Bill	NP	Bill
had	VBD	have
this	DT	this
idea	NN	idea
that	IN	that
we	PP	we
should	MD	should
exercise	VB	exercise
our	PP$	our
brains	NNS	brain
as	RB	as
well	RB	well
.	SENT	.
He	PP	he
believed	VBD	believe
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
tremendous	JJ	tremendous
pool	NN	pool
of	IN	of
expertise	NN	expertise
and	CC	and
experience	NN	experience
in	IN	in
our	PP$	our
group	NN	group
.	SENT	.
And	CC	and
so	RB	so
he	PP	he
approached	VBD	approach
a	DT	a
number	NN	number
of	IN	of
folks	NNS	folk
and	CC	and
asked	VBN	ask
if	IN	if
they	PP	they
would	MD	would
volunteer	VB	volunteer
to	TO	to
teach	VB	teach
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
they	PP	they
love	VBP	love
to	TO	to
do	VB	do
to	TO	to
others	NNS	other
.	SENT	.
And	CC	and
almost	RB	almost
invariably	RB	invariably
they	PP	they
agreed	VBD	agree
.	SENT	.
Bill	NN	bill
himself	PP	himself
taught	VBD	teach
two	CD	two
sessions	NNS	session
,	,	,
one	CD	one
on	IN	on
iPads	NNS	<unknown>
and	CC	and
one	CD	one
on	IN	on
iPhones	NNS	iPhone
.	SENT	.
Because	IN	because
we	PP	we
were	VBD	be
smart	JJ	smart
enough	RB	enough
to	TO	to
know	VB	know
that	IN	that
a	DT	a
number	NN	number
of	IN	of
our	PP$	our
members	NNS	member
had	VBD	have
been	VBN	be
given	VBN	give
these	DT	these
things	NNS	thing
as	IN	as
gifts	NNS	gift
at	IN	at
Christmas	NP	Christmas
by	IN	by
their	PP$	their
children	NNS	child
and	CC	and
that	IN	that
they	PP	they
barely	RB	barely
knew	VBD	know
how	WRB	how
to	TO	to
turn	VB	turn
them	PP	them
on	RP	on
.	SENT	.
The	DT	the
first	JJ	first
year	NN	year
we	PP	we
offered	VBD	offer
nine	CD	nine
programs	NNS	program
and	CC	and
there	EX	there
were	VBD	be
200	CD	@card@
folks	NNS	folk
signed	VBN	sign
up	RP	up
.	SENT	.
The	DT	the
next	JJ	next
year	NN	year
,	,	,
that	DT	that
number	NN	number
expanded	VBD	expand
to	TO	to
45	CD	@card@
programs	NNS	program
with	IN	with
over	IN	over
700	CD	@card@
folks	NNS	folk
participating	VBG	participate
.	SENT	.
And	CC	and
the	DT	the
following	VBG	follow
year	NN	year
we	PP	we
offered	VBD	offer
over	IN	over
90	CD	@card@
programs	NNS	program
and	CC	and
had	VBD	have
2	CD	@card@
,	,	,
100	CD	@card@
registrations	NNS	registration
.	SENT	.
Amazing	JJ	amazing
.	SENT	.
That	DT	that
was	VBD	be
Bill	NP	Bill
.	SENT	.
Our	PP$	our
members	NNS	member
taught	VBD	teach
us	PP	us
to	TO	to
play	VB	play
bridge	NN	bridge
and	CC	and
mahjong	NN	mahjong
.	SENT	.
They	PP	they
taught	VBD	teach
us	PP	us
to	TO	to
paint	VB	paint
.	SENT	.
They	PP	they
taught	VBD	teach
us	PP	us
to	TO	to
repair	VB	repair
our	PP$	our
bicycles	NNS	bicycle
.	SENT	.
We	PP	we
tutored	VBD	tutor
and	CC	and
mentored	VBD	<unknown>
local	JJ	local
school	NN	school
kids	NNS	kid
.	SENT	.
We	PP	we
set	VBD	set
up	RB	up
English	JJ	English
as	IN	as
a	DT	a
second	JJ	second
language	NN	language
programs	NNS	program
for	IN	for
newcomers	NNS	newcomer
.	SENT	.
We	PP	we
had	VBD	have
book	NN	book
clubs	NNS	club
,	,	,
we	PP	we
had	VBD	have
film	NN	film
clubs	NNS	club
,	,	,
we	PP	we
even	RB	even
had	VBD	have
a	DT	a
few	JJ	few
golf	NN	golf
clubs	NNS	club
.	SENT	.
Exhausting	JJ	exhausting
,	,	,
but	CC	but
exhilarating	VBG	exhilarate
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
in	IN	in
phase	NN	phase
four	CD	four
.	SENT	.
And	CC	and
do	VBP	do
you	PP	you
remember	VB	remember
the	DT	the
five	CD	five
losses	NNS	loss
that	IN	that
we	PP	we
talked	VBD	talk
about	RB	about
