So	IN	so
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
a	DT	a
new	JJ	new
paradigm	NN	paradigm
in	IN	in
front	NN	front
of	IN	of
us	PP	us
,	,	,
that	IN	that
of	IN	of
creating	VBG	create
AI	VBP	ai
analogs	NNS	analog
of	IN	of
our	PP$	our
real	JJ	real
messy	JJ	messy
world	NN	world
.	SENT	.
This	DT	this
new	JJ	new
AI	NN	ai
paradigm	NN	paradigm
takes	VBZ	take
our	PP$	our
real	JJ	real
,	,	,
messy	JJ	messy
,	,	,
natural	JJ	natural
world	NN	world
and	CC	and
learns	VBZ	learn
to	TO	to
recreate	VB	recreate
the	DT	the
elements	NNS	element
of	IN	of
it	PP	it
with	IN	with
neural	JJ	neural
networks	NNS	network
.	SENT	.
And	CC	and
why	WRB	why
these	DT	these
AI	VBP	ai
analogs	NNS	analog
are	VBP	be
so	RB	so
powerful	JJ	powerful
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
understanding	NN	understanding
,	,	,
approximating	VBG	approximate
or	CC	or
simulating	VBG	simulate
the	DT	the
world	NN	world
for	IN	for
the	DT	the
sake	NN	sake
of	IN	of
understanding	NN	understanding
,	,	,
but	CC	but
this	DT	this
actually	RB	actually
gives	VBZ	give
us	PP	us
a	DT	a
little	JJ	little
virtual	JJ	virtual
world	NN	world
that	IN	that
we	PP	we
can	MD	can
experiment	VB	experiment
in	IN	in
at	IN	at
scale	NN	scale
to	TO	to
ultimately	RB	ultimately
create	VB	create
new	JJ	new
knowledge	NN	knowledge
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
imagine	VB	imagine
that	IN	that
this	DT	this
experimentation	NN	experimentation
against	IN	against
our	PP$	our
AI	NN	ai
analogs	NNS	analog
,	,	,
this	DT	this
can	MD	can
also	RB	also
happen	VB	happen
in	IN	in
silico	NN	<unknown>
,	,	,
in	IN	in
a	DT	a
computer	NN	computer
with	IN	with
other	JJ	other
agents	NNS	agent
,	,	,
in	IN	in
a	DT	a
loop	NN	loop
of	IN	of
in	IN	in
silico	NN	<unknown>
,	,	,
open-ended	JJ	open-ended
discovery	NN	discovery
,	,	,
ultimately	RB	ultimately
to	TO	to
create	VB	create
new	JJ	new
knowledge	NN	knowledge
that	IN	that
we	PP	we
can	MD	can
take	VB	take
back	RB	back
out	RB	out
and	CC	and
change	VB	change
the	DT	the
world	NN	world
around	IN	around
us	PP	us
.	SENT	.
And	CC	and
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
science	NN	science
fiction	NN	fiction
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
we	PP	we
have	VBP	have
thousands	NNS	thousand
of	IN	of
graphics	NNS	graphics
cards	NNS	card
burning	NN	burning
,	,	,
training	VBG	train
foundational	JJ	foundational
models	NNS	model
of	IN	of
our	PP$	our
own	JJ	own
micro-biological	JJ	micro-biological
world	NN	world
,	,	,
and	CC	and
then	RB	then
agents	NNS	agent
that	WDT	that
are	VBP	be
probing	VBG	probe
these	DT	these
AI	VBP	ai
analogs	NNS	analog
to	TO	to
design	VB	design
new	JJ	new
molecules	NNS	molecule
that	WDT	that
could	MD	could
be	VB	be
potential	JJ	potential
new	JJ	new
drugs	NNS	drug
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
show	VB	show
you	PP	you
exactly	RB	exactly
how	WRB	how
this	DT	this
process	NN	process
works	VBZ	work
for	IN	for
us	PP	us
,	,	,
because	IN	because
I	PP	I
believe	VBP	believe
it	PP	it
can	MD	can
serve	VB	serve
as	IN	as
a	DT	a
blueprint	NN	blueprint
to	TO	to
bring	VB	bring
about	IN	about
a	DT	a
whole	JJ	whole
new	JJ	new
wave	NN	wave
of	IN	of
the	DT	the
future	NN	future
of	IN	of
AI-driven	NP	<unknown>
scientific	JJ	scientific
and	CC	and
technological	JJ	technological
progress	NN	progress
.	SENT	.
Now	RB	now
drug	NN	drug
design	NN	design
is	VBZ	be
such	PDT	such
an	DT	an
important	JJ	important
area	NN	area
to	TO	to
focus	VB	focus
on	IN	on
because	IN	because
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
becoming	VBG	become
harder	JJR	hard
and	CC	and
harder	JJR	hard
to	TO	to
design	VB	design
new	JJ	new
drugs	NNS	drug
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
graph	NN	graph
of	IN	of
the	DT	the
number	NN	number
of	IN	of
new	JJ	new
drugs	NNS	drug
created	VBN	create
per	IN	per
billion	NN	billion
dollars	NNS	dollar
of	IN	of
R	NP	R
and	CC	and
D	NP	D
spent	VBD	spend
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
can	MD	can
see	VB	see
is	VBZ	be
that	IN	that
the	DT	the
number	NN	number
of	IN	of
new	JJ	new
drugs	NNS	drug
is	VBZ	be
exponentially	RB	exponentially
decreasing	VBG	decrease
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
becoming	VBG	become
more	JJR	more
and	CC	and
more	RBR	more
expensive	JJ	expensive
to	TO	to
create	VB	create
a	DT	a
new	JJ	new
drug	NN	drug
.	SENT	.
Now	RB	now
during	IN	during
this	DT	this
same	JJ	same
time	NN	time
period	NN	period
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
huge	JJ	huge
amount	NN	amount
of	IN	of
advancement	NN	advancement
in	IN	in
the	DT	the
capabilities	NNS	capability
of	IN	of
AI	NN	ai
,	,	,
driven	VBN	drive
by	IN	by
a	DT	a
whole	JJ	whole
host	NN	host
of	IN	of
algorithmic	JJ	algorithmic
breakthroughs	NNS	breakthrough
.	SENT	.
But	CC	but
one	CD	one
of	IN	of
the	DT	the
secret	JJ	secret
sources	NNS	source
of	IN	of
this	DT	this
advancement	NN	advancement
in	IN	in
AI	NN	ai
has	VBZ	have
also	RB	also
been	VBN	be
that	IN	that
of	IN	of
Moore	NP	Moore
'	POS	'
s	NN	S
Law	NN	law
,	,	,
that	IN	that
the	DT	the
amount	NN	amount
of	IN	of
computing	NN	computing
power	NN	power
has	VBZ	have
just	RB	just
been	VBN	be
exponentially	RB	exponentially
increasing	VBG	increase
over	IN	over
time	NN	time
.	SENT	.
And	CC	and
these	DT	these
days	NNS	day
,	,	,
it	PP	it
perhaps	RB	perhaps
isn	NN	isn
'	POS	'
t	NN	t
Moore	NP	Moore
'	POS	'
s	JJ	<unknown>
Law	NN	law
that	IN	that
we	PP	we
should	MD	should
care	VB	care
about	RB	about
,	,	,
but	CC	but
Jensen	NP	Jensen
'	POS	'
s	NN	S
law	NN	law
.	SENT	.
Jensen	NP	Jensen
Huang	NP	Huang
,	,	,
being	VBG	be
the	DT	the
CEO	NN	CEO
of	IN	of
Nvidia	NP	<unknown>
,	,	,
for	IN	for
the	DT	the
exponential	JJ	exponential
increase	NN	increase
in	IN	in
GPU	NP	GPU
FLOPS	NNS	flop
that	WDT	that
are	VBP	be
now	RB	now
powering	VBG	power
our	PP$	our
neural	JJ	neural
networks	NNS	network
.	SENT	.
So	RB	so
really	RB	really
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
bring	VB	bring
this	DT	this
world	NN	world
of	IN	of
AI	NN	ai
and	CC	and
machine	NN	machine
learning	VBG	learn
to	TO	to
that	DT	that
of	IN	of
drug	NN	drug
design	NN	design
?	SENT	?
Can	MD	can
we	PP	we
think	VB	think
about	IN	about
using	VBG	use
our	PP$	our
AI	NN	ai
analogs	NNS	analog
to	TO	to
reverse	VB	reverse
this	DT	this
curse	NN	curse
of	IN	of
Eroom	NP	<unknown>
'	POS	'
s	NN	S
law	NN	law
and	CC	and
jump	NN	jump
on	IN	on
this	DT	this
exponential	JJ	exponential
wave	NN	wave
of	IN	of
GPU	NP	GPU
FLOPS	NNS	flop
powering	VBG	power
our	PP$	our
neural	JJ	neural
networks	NNS	network
?	SENT	?
Actually	RB	actually
bringing	VBG	bring
these	DT	these
worlds	NNS	world
together	RB	together
and	CC	and
driving	VBG	drive
this	DT	this
change	NN	change
is	VBZ	be
the	DT	the
day-to-day	JJ	day-to-day
responsibility	NN	responsibility
that	IN	that
I	PP	I
feel	VBP	feel
.	SENT	.
So	RB	so
how	WRB	how
can	MD	can
we	PP	we
go	VB	go
about	IN	about
modeling	VBG	model
biology	NN	biology
?	SENT	?
Well	RB	well
if	IN	if
we	PP	we
were	VBD	be
in	IN	in
the	DT	the
world	NN	world
of	IN	of
physics	NNS	physic
,	,	,
for	IN	for
example	NN	example
,	,	,
modeling	VBG	model
the	DT	the
universe	NN	universe
,	,	,
then	RB	then
we	PP	we
can	MD	can
actually	RB	actually
write	VB	write
down	RP	down
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
theory	NN	theory
by	IN	by
hand	NN	hand
with	IN	with
maths	NNS	math
and	CC	and
very	RB	very
accurately	RB	accurately
predict	VB	predict
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
unfolding	VBG	unfold
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
even	RB	even
millions	NNS	million
of	IN	of
light	JJ	light
years	NNS	year
away	RB	away
.	SENT	.
But	CC	but
we	PP	we
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	IN	that
for	IN	for
the	DT	the
incredibly	RB	incredibly
complex	JJ	complex
dynamics	NNS	dynamics
within	IN	within
ourselves	PP	ourselves
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
just	RB	just
write	VB	write
down	RP	down
some	DT	some
equations	NNS	equation
for	IN	for
ourselves	PP	ourselves
.	SENT	.
We	PP	we
can	MD	can
perhaps	RB	perhaps
write	VB	write
down	RP	down
the	DT	the
theory	NN	theory
of	IN	of
how	WRB	how
atoms	NNS	atom
interact	VBP	interact
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
physics	NN	physics
.	SENT	.
But	CC	but
then	RB	then
simulating	VBG	simulate
these	DT	these
interactions	NNS	interaction
on	IN	on
the	DT	the
scale	NN	scale
of	IN	of
trillions	NNS	trillion
of	IN	of
atoms	NNS	atom
within	IN	within
our	PP$	our
cells	NNS	cell
is	VBZ	be
just	RB	just
completely	RB	completely
unfeasible	JJ	unfeasible
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
worked	VBD	work
out	IN	out
how	WRB	how
to	TO	to
describe	VB	describe
these	DT	these
complex	JJ	complex
dynamics	NNS	dynamics
in	IN	in
coarser	JJR	coarse
and	CC	and
simpler	JJR	simple
terms	NNS	term
that	IN	that
we	PP	we
could	MD	could
write	VB	write
down	RP	down
with	IN	with
maths	NNS	math
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
crazy	JJ	crazy
to	TO	to
think	VB	think
that	IN	that
we	PP	we
can	MD	can
model	VB	model
the	DT	the
universe	NN	universe
so	RB	so
far	RB	far
away	RB	away
but	CC	but
not	RB	not
the	DT	the
cells	NNS	cell
at	IN	at
our	PP$	our
fingertips	NNS	fingertip
.	SENT	.
But	CC	but
AI	VBP	ai
and	CC	and
machine	NN	machine
learning	NN	learning
can	MD	can
be	VB	be
the	DT	the
perfect	JJ	perfect
abstraction	NN	abstraction
for	IN	for
a	DT	a
biological	JJ	biological
world	NN	world
.	SENT	.
Using	VBG	use
the	DT	the
snippets	NNS	snippet
of	IN	of
data	NNS	datum
that	IN	that
we	PP	we
can	MD	can
record	VB	record
from	IN	from
our	PP$	our
cells	NNS	cell
,	,	,
we	PP	we
can	MD	can
then	RB	then
learn	VB	learn
the	DT	the
equations	NNS	equation
and	CC	and
theories	NNS	theory
and	CC	and
abstractions	NNS	abstraction
implicitly	RB	implicitly
within	IN	within
the	DT	the
activations	NNS	activation
of	IN	of
our	PP$	our
neural	JJ	neural
networks	NNS	network
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
our	PP$	our
company	NN	company
is	VBZ	be
called	VBN	call
Isomorphic	JJ	isomorphic
Labs	NP	Labs
.	SENT	.
Isomorphic	JJ	isomorphic
because	IN	because
we	PP	we
believe	VBP	believe
there	EX	there
is	VBZ	be
an	DT	an
isomorphism	NN	isomorphism
,	,	,
a	DT	a
fundamental	JJ	fundamental
symmetry	NN	symmetry
,	,	,
that	WDT	that
we	PP	we
can	MD	can
create	VB	create
between	IN	between
the	DT	the
biological	JJ	biological
world	NN	world
and	CC	and
the	DT	the
world	NN	world
of	IN	of
information	NN	information
science	NN	science
,	,	,
machine	NN	machine
learning	NN	learning
and	CC	and
AI	VBP	ai
.	SENT	.
So	RB	so
to	TO	to
see	VB	see
how	WRB	how
we	PP	we
are	VBP	be
using	VBG	use
these	DT	these
AI	VBP	ai
analogs	NNS	analog
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
dive	VB	dive
into	IN	into
the	DT	the
body	NN	body
and	CC	and
have	VB	have
a	DT	a
look	NN	look
into	IN	into
cells	NNS	cell
and	CC	and
think	VBP	think
about	IN	about
proteins	NNS	protein
.	SENT	.
Now	RB	now
proteins	NNS	protein
are	VBP	be
one	CD	one
of	IN	of
the	DT	the
fundamental	JJ	fundamental
building	NN	building
blocks	NNS	block
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
these	DT	these
proteins	NNS	protein
carry	VBP	carry
different	JJ	different
functions	NNS	function
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
can	MD	can
modulate	VB	modulate
the	DT	the
function	NN	function
of	IN	of
a	DT	a
protein	NN	protein
,	,	,
then	RB	then
we	PP	we
are	VBP	be
well	RB	well
on	IN	on
our	PP$	our
way	NN	way
to	TO	to
creating	VBG	create
a	DT	a
new	JJ	new
drug	NN	drug
.	SENT	.
Proteins	NNS	protein
are	VBP	be
made	VBN	make
up	RP	up
of	IN	of
a	DT	a
sequence	NN	sequence
of	IN	of
amino	NN	amino
acids	NNS	acid
,	,	,
and	CC	and
there	EX	there
are	VBP	be
about	RB	about
20	CD	@card@
different	JJ	different
amino	NN	amino
acids	NNS	acid
,	,	,
each	DT	each
one	CD	one
here	RB	here
depicted	VBN	depict
by	IN	by
a	DT	a
different	JJ	different
letter	NN	letter
.	SENT	.
An	DT	an
amino	NN	amino
acid	NN	acid
is	VBZ	be
a	DT	a
collection	NN	collection
of	IN	of
atoms	NNS	atom
,	,	,
a	DT	a
molecule	NN	molecule
,	,	,
and	CC	and
these	DT	these
molecules	NNS	molecule
are	VBP	be
joined	VBN	join
together	RB	together
into	IN	into
a	DT	a
linear	JJ	linear
sequence	NN	sequence
.	SENT	.
And	CC	and
the	DT	the
function	NN	function
of	IN	of
a	DT	a
protein	NN	protein
is	VBZ	be
not	RB	not
just	RB	just
due	JJ	due
to	TO	to
the	DT	the
sequence	NN	sequence
of	IN	of
these	DT	these
proteins	NNS	protein
,	,	,
but	CC	but
also	RB	also
due	JJ	due
to	TO	to
the	DT	the
three-dimensional	JJ	three-dimensional
shape	NN	shape
that	IN	that
these	DT	these
proteins	NNS	protein
fold	VBP	fold
up	RP	up
into	IN	into
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
proteins	NNS	protein
inside	RB	inside
of	IN	of
us	PP	us
,	,	,
each	DT	each
with	IN	with
their	PP$	their
own	JJ	own
unique	JJ	unique
sequences	NNS	sequence
and	CC	and
their	PP$	their
own	JJ	own
unique	JJ	unique
3D	JJ	3D
shape	NN	shape
.	SENT	.
And	CC	and
remember	VB	remember
,	,	,
trying	VBG	try
to	TO	to
work	VB	work
out	RP	out
experimentally	RB	experimentally
that	IN	that
3D	JJ	3D
shape	NN	shape
can	MD	can
take	VB	take
months	NNS	month
or	CC	or
even	RB	even
years	NNS	year
of	IN	of
lab	NN	lab
work	NN	work
.	SENT	.
But	CC	but
with	IN	with
the	DT	the
breakthrough	NN	breakthrough
of	IN	of
AlphaFold	NP	<unknown>
and	CC	and
AlphaFold	NP	<unknown>
2	CD	@card@
in	IN	in
2020	CD	@card@
,	,	,
we	PP	we
now	RB	now
have	VBP	have
a	DT	a
model	NN	model
that	WDT	that
can	MD	can
take	VB	take
the	DT	the
sequence	NN	sequence
of	IN	of
amino	NN	amino
acids	NNS	acid
as	IN	as
input	NN	input
and	CC	and
then	RB	then
very	RB	very
accurately	RB	accurately
predict	VB	predict
the	DT	the
3D	JJ	3D
structure	NN	structure
of	IN	of
a	DT	a
protein	NN	protein
as	IN	as
the	DT	the
output	NN	output
.	SENT	.
And	CC	and
this	DT	this
allows	VBZ	allow
us	PP	us
to	TO	to
actually	RB	actually
fill	VB	fill
in	IN	in
the	DT	the
gaps	NNS	gap
of	IN	of
our	PP$	our
known	VBN	know
protein	NN	protein
universe	NN	universe
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
AI	NN	ai
analog	NN	analog
of	IN	of
proteins	NNS	protein
.	SENT	.
So	IN	so
proteins	NNS	protein
carry	VBP	carry
their	PP$	their
function	NN	function
.	SENT	.
But	CC	but
these	DT	these
proteins	NNS	protein
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
actually	RB	actually
act	VB	act
in	IN	in
isolation	NN	isolation
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
part	NN	part
of	IN	of
bigger	JJR	big
molecular	JJ	molecular
machines	NNS	machine
with	IN	with
these	DT	these
proteins	NNS	protein
interacting	VBG	interact
with	IN	with
other	JJ	other
proteins	NNS	protein
as	RB	as
well	RB	well
as	IN	as
other	JJ	other
biomolecules	NNS	biomolecule
like	IN	like
DNA	NP	DNA
,	,	,
RNA	NP	RNA
and	CC	and
small	JJ	small
molecules	NNS	molecule
.	SENT	.
For	IN	for
example	NN	example
,	,	,
let	VBN	let
'	POS	'
s	JJ	<unknown>
zoom	NN	zoom
in	IN	in
and	CC	and
have	VB	have
a	DT	a
look	NN	look
at	IN	at
this	DT	this
protein	NN	protein
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
protein	NN	protein
that	WDT	that
repairs	VBZ	repair
DNA	NN	DNA
,	,	,
and	CC	and
it	PP	it
interacts	VBZ	interact
with	IN	with
DNA	NN	DNA
clamping	VBG	clamp
down	RP	down
on	IN	on
it	PP	it
,	,	,
helping	VBG	help
facilitate	VB	facilitate
repair	NN	repair
and	CC	and
then	RB	then
the	DT	the
repaired	VBN	repair
DNA	NN	DNA
is	VBZ	be
released	VBN	release
back	RB	back
out	IN	out
to	TO	to
the	DT	the
cell	NN	cell
.	SENT	.
Now	RB	now
in	IN	in
drug	NN	drug
design	NN	design
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
either	RB	either
make	VB	make
molecular	JJ	molecular
machines	NNS	machine
work	VBP	work
better	JJR	good
or	CC	or
actually	RB	actually
stop	VB	stop
them	PP	them
from	IN	from
working	VBG	work
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
for	IN	for
cancer	NN	cancer
,	,	,
we	PP	we
actually	RB	actually
want	VBP	want
to	TO	to
stop	VB	stop
this	DT	this
particular	JJ	particular
DNA	NN	DNA
repair	NN	repair
protein	NN	protein
from	IN	from
working	VBG	work
,	,	,
because	IN	because
in	IN	in
cancerous	JJ	cancerous
cells	NNS	cell
there	EX	there
is	VBZ	be
no	DT	no
backup	JJ	backup
DNA	NN	DNA
repair	NN	repair
mechanism	NN	mechanism
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
stop	VBP	stop
this	DT	this
one	CD	one
working	NN	working
,	,	,
then	RB	then
cancerous	JJ	cancerous
cells	NNS	cell
will	MD	will
die	VB	die
,	,	,
leaving	VBG	leave
just	RB	just
healthy	JJ	healthy
cells	NNS	cell
remaining	VBG	remain
.	SENT	.
So	RB	so
what	WP	what
would	MD	would
a	DT	a
drug	NN	drug
actually	RB	actually
look	VBP	look
like	IN	like
for	IN	for
this	DT	this
protein	NN	protein
?	SENT	?
Well	RB	well
a	DT	a
drug	NN	drug
is	VBZ	be
something	NN	something
that	WDT	that
