Let	NP	Let
on	IN	on
limiting	VBG	limit
the	DT	the
number	NN	number
of	IN	of
times	NNS	time
that	IN	that
you	PP	you
go	VBP	go
out	RP	out
to	TO	to
eat	VB	eat
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
a	DT	a
much	RB	much
easier	JJR	easy
time	NN	time
saying	VBG	say
no	RB	no
and	CC	and
tracking	VBG	track
your	PP$	your
budget	NN	budget
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
understand	VBP	understand
that	IN	that
we	PP	we
are	VBP	be
all	DT	all
social	JJ	social
humans	NNS	human
,	,	,
and	CC	and
eating	VBG	eat
out	RB	out
is	VBZ	be
such	PDT	such
a	DT	a
social	JJ	social
activity	NN	activity
.	SENT	.
And	CC	and
if	IN	if
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
you	PP	you
'	POS	'
re	NN	re
craving	NN	craving
,	,	,
I	PP	I
have	VBP	have
some	DT	some
tips	NNS	tip
to	TO	to
make	VB	make
sure	JJ	sure
you	PP	you
can	MD	can
hit	VB	hit
two	CD	two
birds	NNS	bird
with	IN	with
one	CD	one
stone	NN	stone
.	SENT	.
Instead	RB	instead
of	IN	of
eating	VBG	eat
out	RP	out
,	,	,
go	VB	go
and	CC	and
have	VBP	have
a	DT	a
picnic	NN	picnic
with	IN	with
friends	NNS	friend
,	,	,
sign	VB	sign
up	RP	up
for	IN	for
a	DT	a
workout	NN	workout
class	NN	class
or	CC	or
do	VB	do
any	DT	any
of	IN	of
the	DT	the
hundred	CD	hundred
social	JJ	social
activities	NNS	activity
that	IN	that
you	PP	you
can	MD	can
do	VB	do
without	IN	without
having	VBG	have
to	TO	to
spend	VB	spend
50	CD	@card@
to	TO	to
70	CD	@card@
dollars	NNS	dollar
a	DT	a
night	NN	night
.	SENT	.
If	IN	if
you	PP	you
plan	VBP	plan
it	PP	it
right	RB	right
,	,	,
you	PP	you
can	MD	can
still	RB	still
satisfy	VB	satisfy
your	PP$	your
social	JJ	social
craving	NN	craving
and	CC	and
still	RB	still
save	VB	save
your	PP$	your
wallet	NN	wallet
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
delivery	NN	delivery
services	NNS	service
.	SENT	.
A	DT	a
recent	JJ	recent
investigation	NN	investigation
found	VBD	find
that	IN	that
those	DT	those
who	WP	who
order	NN	order
through	IN	through
a	DT	a
delivery	NN	delivery
app	NNS	<unknown>
end	VBP	end
up	RP	up
spending	VBG	spend
anywhere	RB	anywhere
from	IN	from
7	CD	@card@
percent	NN	percent
to	TO	to
91	CD	@card@
percent	NN	percent
more	JJR	more
than	IN	than
those	DT	those
who	WP	who
dined	VBD	dine
in	IN	in
,	,	,
thanks	NNS	thanks
to	TO	to
the	DT	the
pile	NN	pile
of	IN	of
miscellaneous	JJ	miscellaneous
charges	NNS	charge
and	CC	and
fees	NNS	fee
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
same	JJ	same
item	NN	item
can	MD	can
be	VB	be
more	RBR	more
expensive	JJ	expensive
on	IN	on
the	DT	the
app	NP	App
than	IN	than
in	IN	in
the	DT	the
restaurant	NN	restaurant
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
you	PP	you
may	MD	may
be	VB	be
ordering	VBG	order
out	RP	out
more	RBR	more
frequently	RB	frequently
.	SENT	.
One	CD	one
analysis	NN	analysis
found	VBD	find
that	IN	that
with	IN	with
the	DT	the
addition	NN	addition
of	IN	of
delivery	NN	delivery
apps	NNS	<unknown>
,	,	,
fast	JJ	fast
food	NN	food
is	VBZ	be
no	DT	no
longer	JJR	long
something	NN	something
associated	VBN	associate
with	IN	with
a	DT	a
quick	JJ	quick
bite	NN	bite
on	IN	on
the	DT	the
go	NN	go
.	SENT	.
Given	VBN	give
the	DT	the
added	JJ	added
baggage	NN	baggage
that	WDT	that
comes	VBZ	come
with	IN	with
these	DT	these
delivery	NN	delivery
apps	NNS	<unknown>
,	,	,
my	PP$	my
top	JJ	top
tip	NN	tip
here	RB	here
is	VBZ	be
to	TO	to
delete	VB	delete
the	DT	the
apps	NNS	<unknown>
from	IN	from
your	PP$	your
phone	NN	phone
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
deleting	VBG	delete
it	PP	it
is	VBZ	be
too	RB	too
permanent	JJ	permanent
or	CC	or
too	RB	too
extreme	JJ	extreme
,	,	,
you	PP	you
can	MD	can
still	RB	still
change	VB	change
your	PP$	your
environment	NN	environment
by	IN	by
making	VBG	make
as	IN	as
many	JJ	many
speed	NN	speed
bumps	NNS	bump
as	IN	as
you	PP	you
can	MD	can
,	,	,
to	TO	to
slow	VB	slow
down	RP	down
the	DT	the
pace	NN	pace
of	IN	of
purchases	NNS	purchase
.	SENT	.
Maybe	RB	maybe
link	VB	link
the	DT	the
app	NN	app
to	TO	to
a	DT	a
debit	NN	debit
card	NN	card
with	IN	with
a	DT	a
small	JJ	small
preset	JJ	preset
amount	NN	amount
of	IN	of
money	NN	money
.	SENT	.
You	PP	you
can	MD	can
also	RB	also
delete	VB	delete
the	DT	the
app	NN	app
after	IN	after
every	DT	every
purchase	NN	purchase
,	,	,
so	IN	so
that	WDT	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
enticing	VBG	entice
you	PP	you
at	IN	at
all	DT	all
hours	NNS	hour
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	JJ	<unknown>
talk	NN	talk
about	IN	about
shopping	NN	shopping
.	SENT	.
Let	VB	let
me	PP	me
be	VB	be
clear	JJ	clear
:	:	:
I	PP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
that	IN	that
you	PP	you
should	MD	should
never	RB	never
go	VB	go
shopping	NN	shopping
.	SENT	.
What	WP	what
I	PP	I
am	VBP	be
saying	VBG	say
is	VBZ	be
that	IN	that
I	PP	I
encourage	VBP	encourage
you	PP	you
to	TO	to
buy	VB	buy
the	DT	the
things	NNS	thing
that	WDT	that
bring	VBP	bring
you	PP	you
happiness	NN	happiness
.	SENT	.
Research	NP	Research
has	VBZ	have
shown	VBN	show
that	IN	that
when	WRB	when
you	PP	you
spend	VBP	spend
money	NN	money
on	IN	on
others	NNS	other
,	,	,
when	WRB	when
you	PP	you
spend	VBP	spend
money	NN	money
on	IN	on
experiences	NNS	experience
and	CC	and
when	WRB	when
you	PP	you
spend	VBP	spend
money	NN	money
on	IN	on
the	DT	the
things	NNS	thing
that	WDT	that
save	VBP	save
you	PP	you
time	NN	time
,	,	,
these	DT	these
expenses	NNS	expense
make	VBP	make
you	PP	you
happier	JJR	happy
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
retail	JJ	retail
therapy	NN	therapy
may	MD	may
seem	VB	seem
great	JJ	great
,	,	,
but	CC	but
researchers	NNS	researcher
have	VBP	have
found	VBN	find
that	IN	that
spending	VBG	spend
the	DT	the
same	JJ	same
amount	NN	amount
of	IN	of
money	NN	money
on	IN	on
someone	NN	someone
else	RB	else
,	,	,
even	RB	even
as	RB	as
little	JJ	little
as	IN	as
5	CD	@card@
dollars	NNS	dollar
can	MD	can
make	VB	make
you	PP	you
happier	JJR	happy
.	SENT	.
So	RB	so
get	VB	get
that	IN	that
T-shirt	NNS	T-shirt
for	IN	for
your	PP$	your
friend	NN	friend
instead	RB	instead
of	IN	of
yourself	PP	yourself
.	SENT	.
Make	VB	make
a	DT	a
donation	NN	donation
to	TO	to
a	DT	a
place	NN	place
that	IN	that
you	PP	you
really	RB	really
love	VBP	love
and	CC	and
support	VBP	support
or	CC	or
buy	VBP	buy
an	DT	an
experience	NN	experience
for	IN	for
yourself	PP	yourself
.	SENT	.
Try	VB	try
something	NN	something
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
overwhelmed	VBD	overwhelm
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
burning	VBG	burn
the	DT	the
candle	NN	candle
at	IN	at
both	DT	both
ends	NNS	end
,	,	,
know	VBP	know
that	IN	that
it	PP	it
'	POS	'
s	NN	S
OK	JJ	OK
to	TO	to
invest	VB	invest
in	IN	in
something	NN	something
that	WDT	that
will	MD	will
free	VB	free
up	RP	up
your	PP$	your
time	NN	time
.	SENT	.
Hire	VB	hire
a	DT	a
local	JJ	local
high	JJ	high
schooler	NN	schooler
to	TO	to
mow	VB	mow
your	PP$	your
lawn	NN	lawn
or	CC	or
get	VB	get
someone	NN	someone
to	TO	to
clean	VB	clean
your	PP$	your
house	NN	house
.	SENT	.
These	DT	these
may	MD	may
be	VB	be
a	DT	a
little	RB	little
pricey	JJ	pricey
,	,	,
but	CC	but
the	DT	the
time	NN	time
you	PP	you
save	VBP	save
will	MD	will
be	VB	be
worth	JJ	worth
every	DT	every
penny	NN	penny
.	SENT	.
By	IN	by
making	VBG	make
these	DT	these
small	JJ	small
changes	NNS	change
to	TO	to
your	PP$	your
discretionary	JJ	discretionary
spending	NN	spending
,	,	,
you	PP	you
can	MD	can
not	RB	not
only	RB	only
spend	VB	spend
less	JJR	less
but	CC	but
actually	RB	actually
get	VB	get
more	JJR	more
happiness	NN	happiness
and	CC	and
satisfaction	NN	satisfaction
from	IN	from
your	PP$	your
spending	NN	spending
.	SENT	.
It	PP	it
can	MD	can
mean	VB	mean
a	DT	a
life	NN	life
with	IN	with
fewer	JJR	few
guilty	JJ	guilty
pleasures	NNS	pleasure
and	CC	and
less	JJR	less
regret	NN	regret
.	SENT	.
Now	RB	now
who	WP	who
wouldn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
that	DT	that
?	SENT	?
