Look	VB	look
kind	NN	kind
of	IN	of
lived	VBN	live
through	IN	through
the	DT	the
heyday	NN	heyday
of	IN	of
intensive	JJ	intensive
care	NN	care
.	SENT	.
It	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
a	DT	a
ride	NN	ride
,	,	,
man	UH	man
.	SENT	.
This	DT	this
has	VBZ	have
been	VBN	be
fantastic	JJ	fantastic
.	SENT	.
We	PP	we
have	VBP	have
machines	NNS	machine
that	WDT	that
go	VBP	go
ping	NN	ping
.	SENT	.
There	EX	there
'	''	'
s	NNS	<unknown>
many	JJ	many
of	IN	of
them	PP	them
up	RB	up
there	RB	there
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
some	DT	some
wizard	JJ	wizard
technology	NN	technology
which	WDT	which
I	PP	I
think	VBP	think
has	VBZ	have
worked	VBN	work
really	RB	really
well	RB	well
,	,	,
and	CC	and
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
time	NN	time
I	PP	I
'	POS	'
ve	NN	ve
worked	VBD	work
in	IN	in
intensive	JJ	intensive
care	NN	care
,	,	,
the	DT	the
death	NN	death
rate	NN	rate
for	IN	for
males	NNS	male
in	IN	in
Australia	NP	Australia
has	VBZ	have
halved	VBN	halve
,	,	,
and	CC	and
intensive	JJ	intensive
care	NN	care
has	VBZ	have
had	VBN	have
something	NN	something
to	TO	to
do	VB	do
with	IN	with
that	DT	that
.	SENT	.
Certainly	RB	certainly
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
technologies	NNS	technology
that	WDT	that
we	PP	we
use	VBP	use
have	VB	have
got	VBN	get
something	NN	something
to	TO	to
do	VB	do
with	IN	with
that	DT	that
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
had	VBD	have
tremendous	JJ	tremendous
success	NN	success
,	,	,
and	CC	and
we	PP	we
kind	NN	kind
of	IN	of
got	VBN	get
caught	VBN	catch
up	RP	up
in	IN	in
our	PP$	our
own	JJ	own
success	NN	success
quite	RB	quite
a	DT	a
bit	NN	bit
,	,	,
and	CC	and
we	PP	we
started	VBD	start
using	VBG	use
expressions	NNS	expression
like	IN	like
"	``	"
lifesaving	JJ	lifesaving
.	SENT	.
"	``	"
I	PP	I
really	RB	really
apologize	VB	apologize
to	TO	to
everybody	NN	everybody
for	IN	for
doing	VBG	do
that	IN	that
,	,	,
because	IN	because
obviously	RB	obviously
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
What	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
prolong	VB	prolong
people	NNS	people
'	POS	'
s	NN	S
lives	NNS	life
,	,	,
and	CC	and
delay	NN	delay
death	NN	death
,	,	,
and	CC	and
redirect	VB	redirect
death	NN	death
,	,	,
but	CC	but
we	PP	we
can	MD	can
'	''	'
t	NN	t
,	,	,
strictly	RB	strictly
speaking	VBG	speak
,	,	,
save	VB	save
lives	NNS	life
on	IN	on
any	DT	any
sort	NN	sort
of	IN	of
permanent	JJ	permanent
basis	NN	basis
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
really	RB	really
happened	VBD	happen
over	IN	over
the	DT	the
period	NN	period
of	IN	of
time	NN	time
that	IN	that
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
in	IN	in
intensive	JJ	intensive
care	NN	care
is	VBZ	be
that	IN	that
the	DT	the
people	NNS	people
whose	WP$	whose
lives	NNS	life
we	PP	we
started	VBD	start
saving	VBG	save
back	RB	back
in	IN	in
the	DT	the
'	''	'
70s	NNS	<unknown>
,	,	,
'	''	'
80s	NP	80s
,	,	,
and	NP	and
'	POS	'
90s	NNS	<unknown>
,	,	,
are	VBP	be
now	RB	now
coming	VBG	come
to	TO	to
die	VB	die
in	IN	in
the	DT	the
21st	JJ	21st
century	NN	century
of	IN	of
diseases	NNS	disease
that	IN	that
we	PP	we
no	RB	no
longer	RBR	longer
have	VB	have
the	DT	the
answers	NNS	answer
to	TO	to
in	IN	in
quite	PDT	quite
the	DT	the
way	NN	way
we	PP	we
did	VBD	do
then	RB	then
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
now	RB	now
is	VBZ	be
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
a	DT	a
big	JJ	big
shift	NN	shift
in	IN	in
the	DT	the
way	NN	way
that	IN	that
people	NNS	people
die	VBP	die
,	,	,
and	CC	and
most	JJS	most
of	IN	of
what	WP	what
they	PP	they
'	POS	'
re	NN	re
dying	VBG	die
of	IN	of
now	RB	now
isn	NN	isn
'	POS	'
t	NN	t
as	IN	as
amenable	JJ	amenable
to	TO	to
what	WP	what
we	PP	we
can	MD	can
do	VB	do
as	IN	as
what	WP	what
it	PP	it
used	VBD	use
to	TO	to
be	VB	be
like	IN	like
when	WRB	when
I	PP	I
was	VBD	be
doing	VBG	do
this	DT	this
in	IN	in
the	NP	the
'	POS	'
80s	JJ	<unknown>
and	NP	and
'	POS	'
90s	NNS	<unknown>
.	SENT	.
So	RB	so
we	PP	we
kind	RB	kind
of	IN	of
got	VBD	get
a	DT	a
bit	NN	bit
caught	VBD	catch
up	RP	up
with	IN	with
this	DT	this
,	,	,
and	CC	and
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
really	RB	really
squared	VBD	square
with	IN	with
you	PP	you
guys	VBZ	guy
about	RB	about
what	WP	what
'	POS	'
s	NN	S
really	RB	really
happening	VBG	happen
now	RB	now
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
about	IN	about
time	NN	time
we	PP	we
did	VBD	do
.	SENT	.
I	PP	I
kind	RB	kind
of	IN	of
woke	VBD	wake
up	RP	up
to	TO	to
this	DT	this
bit	NN	bit
in	IN	in
the	DT	the
late	JJ	late
'	POS	'
90s	NNS	<unknown>
when	WRB	when
I	PP	I
met	VBD	meet
this	DT	this
guy	NN	guy
.	SENT	.
This	DT	this
guy	NN	guy
is	VBZ	be
called	VBN	call
Jim	NP	Jim
,	,	,
Jim	NP	Jim
Smith	NP	Smith
,	,	,
and	CC	and
he	PP	he
looked	VBD	look
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
was	VBD	be
called	VBN	call
down	RP	down
to	TO	to
the	DT	the
ward	NN	ward
to	TO	to
see	VB	see
him	PP	him
.	SENT	.
His	PP$	his
is	VBZ	be
the	DT	the
little	JJ	little
hand	NN	hand
.	SENT	.
I	PP	I
was	VBD	be
called	VBN	call
down	RP	down
to	TO	to
the	DT	the
ward	NN	ward
to	TO	to
see	VB	see
him	PP	him
by	IN	by
a	DT	a
respiratory	JJ	respiratory
physician	NN	physician
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Look	VB	look
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
guy	NN	guy
down	RB	down
here	RB	here
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
got	VBD	get
pneumonia	NN	pneumonia
,	,	,
and	CC	and
he	PP	he
looks	VBZ	look
like	IN	like
he	PP	he
needs	VBZ	need
intensive	JJ	intensive
care	NN	care
.	SENT	.
His	PP$	his
daughter	NN	daughter
'	POS	'
s	NN	S
here	RB	here
and	CC	and
she	PP	she
wants	VBZ	want
everything	NN	everything
possible	JJ	possible
to	TO	to
be	VB	be
done	VBN	do
.	SENT	.
"	''	"
Which	WDT	which
is	VBZ	be
a	DT	a
familiar	JJ	familiar
phrase	NN	phrase
to	TO	to
us	PP	us
.	SENT	.
So	RB	so
I	PP	I
go	VBP	go
down	RB	down
to	TO	to
the	DT	the
ward	NN	ward
and	CC	and
see	VB	see
Jim	NP	Jim
,	,	,
and	CC	and
his	PP$	his
skin	NN	skin
his	PP$	his
translucent	JJ	translucent
like	IN	like
this	DT	this
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
his	PP$	his
bones	NNS	bone
through	IN	through
the	DT	the
skin	NN	skin
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
thin	JJ	thin
,	,	,
and	CC	and
he	PP	he
is	VBZ	be
,	,	,
indeed	RB	indeed
,	,	,
very	RB	very
sick	JJ	sick
with	IN	with
pneumonia	NN	pneumonia
,	,	,
and	CC	and
he	PP	he
'	POS	'
s	NN	S
too	RB	too
sick	JJ	sick
to	TO	to
talk	VB	talk
to	TO	to
me	PP	me
,	,	,
so	RB	so
I	PP	I
talk	VBP	talk
to	TO	to
his	PP$	his
daughter	NN	daughter
Kathleen	NP	Kathleen
,	,	,
and	CC	and
I	PP	I
say	VBP	say
to	TO	to
her	PP	her
,	,	,
"	''	"
Did	VBD	do
you	PP	you
and	CC	and
Jim	NP	Jim
ever	RB	ever
talk	VB	talk
about	RB	about
what	WP	what
you	PP	you
would	MD	would
want	VB	want
done	VBN	do
if	IN	if
he	PP	he
ended	VBD	end
up	RP	up
in	IN	in
this	DT	this
kind	NN	kind
of	IN	of
situation	NN	situation
?	SENT	?
"	``	"
And	CC	and
she	PP	she
looked	VBD	look
at	IN	at
me	PP	me
and	CC	and
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
of	IN	of
course	NN	course
not	RB	not
!	SENT	!
"	''	"
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Okay	NP	Okay
.	SENT	.
Take	VB	take
this	DT	this
steady	JJ	steady
.	SENT	.
"	``	"
And	CC	and
I	PP	I
got	VBD	get
talking	VBG	talk
to	TO	to
her	PP	her
,	,	,
and	CC	and
after	IN	after
a	DT	a
while	NN	while
,	,	,
she	PP	she
said	VBD	say
to	TO	to
me	PP	me
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
we	PP	we
always	RB	always
thought	VBD	think
there	RB	there
'	''	'
d	SYM	d
be	VB	be
time	NN	time
.	SENT	.
"	''	"
Jim	NP	Jim
was	VBD	be
94	CD	@card@
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
something	NN	something
wasn	NN	<unknown>
'	POS	'
t	NN	t
happening	VBG	happen
here	RB	here
.	SENT	.
There	RB	there
wasn	NP	<unknown>
'	POS	'
t	NN	t
this	DT	this
dialogue	NN	dialogue
going	VBG	go
on	IN	on
that	WDT	that
I	PP	I
imagined	VBD	imagine
was	VBD	be
happening	VBG	happen
.	SENT	.
So	IN	so
a	DT	a
group	NN	group
of	IN	of
us	PP	us
started	VBD	start
doing	VBG	do
survey	NN	survey
work	NN	work
,	,	,
and	CC	and
we	PP	we
looked	VBD	look
at	IN	at
four	CD	four
and	CC	and
a	DT	a
half	JJ	half
thousand	CD	thousand
nursing	NN	nursing
home	NN	home
residents	NNS	resident
in	IN	in
Newcastle	NP	Newcastle
,	,	,
in	IN	in
the	DT	the
Newcastle	NP	Newcastle
area	NN	area
,	,	,
and	CC	and
discovered	VBD	discover
that	IN	that
only	RB	only
one	CD	one
in	IN	in
a	DT	a
hundred	CD	hundred
of	IN	of
them	PP	them
had	VBD	have
a	DT	a
plan	NN	plan
about	IN	about
what	WP	what
to	TO	to
do	VB	do
when	WRB	when
their	PP$	their
hearts	NNS	heart
stopped	VBD	stop
beating	NN	beating
.	SENT	.
One	CD	one
in	IN	in
a	DT	a
hundred	CD	hundred
.	SENT	.
And	CC	and
only	RB	only
one	CD	one
in	IN	in
500	CD	@card@
of	IN	of
them	PP	them
had	VBD	have
plan	NN	plan
about	IN	about
what	WP	what
to	TO	to
do	VB	do
if	IN	if
they	PP	they
became	VBD	become
seriously	RB	seriously
ill	JJ	ill
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
,	,	,
of	IN	of
course	NN	course
,	,	,
this	DT	this
dialogue	NN	dialogue
is	VBZ	be
definitely	RB	definitely
not	RB	not
occurring	VBG	occur
in	IN	in
the	DT	the
public	NN	public
at	IN	at
large	JJ	large
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
work	VBP	work
in	IN	in
acute	JJ	acute
care	NN	care
.	SENT	.
This	DT	this
is	VBZ	be
John	NP	John
Hunter	NP	Hunter
Hospital	NP	Hospital
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
surely	RB	surely
,	,	,
we	PP	we
do	VBP	do
better	JJR	good
than	IN	than
that	DT	that
.	SENT	.
So	IN	so
a	DT	a
colleague	NN	colleague
of	IN	of
mine	NN	mine
from	IN	from
nursing	NN	nursing
called	VBN	call
Lisa	NP	Lisa
Shaw	NP	Shaw
and	CC	and
I	PP	I
went	VBD	go
through	IN	through
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
sets	NNS	set
of	IN	of
notes	NNS	note
in	IN	in
the	DT	the
medical	JJ	medical
records	NNS	record
department	NN	department
looking	VBG	look
at	IN	at
whether	IN	whether
there	EX	there
was	VBD	be
any	DT	any
sign	NN	sign
at	IN	at
all	PDT	all
that	DT	that
anybody	NN	anybody
had	VBD	have
had	VBN	have
any	DT	any
conversation	NN	conversation
about	IN	about
what	WP	what
might	MD	might
happen	VB	happen
to	TO	to
them	PP	them
if	IN	if
the	DT	the
treatment	NN	treatment
they	PP	they
were	VBD	be
receiving	VBG	receive
was	VBD	be
unsuccessful	JJ	unsuccessful
to	TO	to
the	DT	the
point	NN	point
that	IN	that
they	PP	they
would	MD	would
die	VB	die
.	SENT	.
And	CC	and
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
find	VB	find
a	DT	a
single	JJ	single
record	NN	record
of	IN	of
any	DT	any
preference	NN	preference
about	IN	about
goals	NNS	goal
,	,	,
treatments	NNS	treatment
or	CC	or
outcomes	NNS	outcome
from	IN	from
any	DT	any
of	IN	of
the	DT	the
sets	NNS	set
of	IN	of
notes	NNS	note
initiated	VBN	initiate
by	IN	by
a	DT	a
doctor	NN	doctor
or	CC	or
by	IN	by
a	DT	a
patient	NN	patient
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
to	TO	to
realize	VB	realize
that	IN	that
we	PP	we
had	VBD	have
a	DT	a
problem	NN	problem
,	,	,
and	CC	and
the	DT	the
problem	NN	problem
is	VBZ	be
more	RBR	more
serious	JJ	serious
because	IN	because
of	IN	of
this	DT	this
.	SENT	.
What	WP	what
we	PP	we
know	VBP	know
is	VBZ	be
that	IN	that
obviously	RB	obviously
we	PP	we
are	VBP	be
all	RB	all
going	VBG	go
to	TO	to
die	VB	die
,	,	,
but	CC	but
how	WRB	how
we	PP	we
die	VBP	die
is	VBZ	be
actually	RB	actually
really	RB	really
important	JJ	important
,	,	,
obviously	RB	obviously
not	RB	not
just	RB	just
to	TO	to
us	PP	us
,	,	,
but	CC	but
also	RB	also
to	TO	to
how	WRB	how
that	DT	that
features	NNS	feature
in	IN	in
the	DT	the
lives	NNS	life
of	IN	of
all	PDT	all
the	DT	the
people	NNS	people
who	WP	who
live	VBP	live
on	IN	on
afterwards	RB	afterwards
.	SENT	.
How	WRB	how
we	PP	we
die	VBP	die
lives	NNS	life
on	IN	on
in	IN	in
the	DT	the
minds	NNS	mind
of	IN	of
everybody	NN	everybody
who	WP	who
survives	VBZ	survive
us	PP	us
,	,	,
and	CC	and
the	DT	the
stress	NN	stress
created	VBN	create
in	IN	in
families	NNS	family
by	IN	by
dying	VBG	die
is	VBZ	be
enormous	JJ	enormous
,	,	,
and	CC	and
in	IN	in
fact	NN	fact
you	PP	you
get	VBP	get
seven	CD	seven
times	NNS	time
as	IN	as
much	JJ	much
stress	NN	stress
by	IN	by
dying	VBG	die
in	IN	in
intensive	JJ	intensive
care	NN	care
as	RB	as
by	IN	by
dying	VBG	die
just	RB	just
about	RB	about
anywhere	RB	anywhere
else	RB	else
,	,	,
so	RB	so
dying	VBG	die
in	IN	in
intensive	JJ	intensive
care	NN	care
is	VBZ	be
not	RB	not
your	PP$	your
top	JJ	top
option	NN	option
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
choice	NN	choice
.	SENT	.
And	CC	and
,	,	,
if	IN	if
that	DT	that
wasn	NN	<unknown>
'	POS	'
t	NN	t
bad	JJ	bad
enough	NN	enough
,	,	,
of	IN	of
course	NN	course
,	,	,
all	RB	all
of	IN	of
this	DT	this
is	VBZ	be
rapidly	RB	rapidly
progressing	VBG	progress
towards	IN	towards
the	DT	the
fact	NN	fact
that	IN	that
many	JJ	many
of	IN	of
you	PP	you
,	,	,
in	IN	in
fact	NN	fact
,	,	,
about	RB	about
one	CD	one
in	IN	in
10	CD	@card@
of	IN	of
you	PP	you
at	IN	at
this	DT	this
point	NN	point
,	,	,
will	MD	will
die	VB	die
in	IN	in
intensive	JJ	intensive
care	NN	care
.	SENT	.
In	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
it	PP	it
'	POS	'
s	NN	S
one	CD	one
in	IN	in
five	CD	five
.	SENT	.
In	IN	in
Miami	NP	Miami
,	,	,
it	PP	it
'	POS	'
s	NN	S
three	CD	three
out	IN	out
of	IN	of
five	CD	five
people	NNS	people
die	VBP	die
in	IN	in
intensive	JJ	intensive
care	NN	care
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
sort	NN	sort
of	IN	of
momentum	NN	momentum
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
at	IN	at
the	DT	the
moment	NN	moment
.	SENT	.
The	DT	the
reason	NN	reason
why	WRB	why
this	DT	this
is	VBZ	be
all	DT	all
happening	NN	happening
is	VBZ	be
due	JJ	due
to	TO	to
this	DT	this
,	,	,
and	CC	and
I	PP	I
do	VBP	do
have	VB	have
to	TO	to
take	VB	take
you	PP	you
through	IN	through
what	WP	what
this	DT	this
is	VBZ	be
about	RB	about
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
four	CD	four
ways	NNS	way
to	TO	to
go	VB	go
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
these	DT	these
will	MD	will
happen	VB	happen
to	TO	to
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
The	DT	the
ones	NNS	one
you	PP	you
may	MD	may
know	VB	know
most	RBS	most
about	RB	about
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
becoming	VBG	become
increasingly	RB	increasingly
of	IN	of
historical	JJ	historical
interest	NN	interest
:	:	:
sudden	JJ	sudden
death	NN	death
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
quite	RB	quite
likely	JJ	likely
in	IN	in
an	DT	an
audience	NN	audience
this	DT	this
size	NN	size
this	DT	this
won	NN	won
'	POS	'
t	NN	t
happen	VB	happen
to	TO	to
anybody	NN	anybody
here	RB	here
.	SENT	.
Sudden	JJ	sudden
death	NN	death
has	VBZ	have
become	VBN	become
very	RB	very
rare	JJ	rare
.	SENT	.
The	DT	the
death	NN	death
of	IN	of
Little	NP	Little
Nell	NP	Nell
and	CC	and
Cordelia	NP	Cordelia
and	CC	and
all	PDT	all
that	DT	that
sort	NN	sort
of	IN	of
stuff	NN	stuff
just	RB	just
doesn	NP	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
anymore	RB	anymore
.	SENT	.
The	DT	the
dying	VBG	die
process	NN	process
of	IN	of
those	DT	those
with	IN	with
terminal	JJ	terminal
illness	NN	illness
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
just	RB	just
seen	VBN	see
occurs	VBZ	occur
to	TO	to
younger	JJR	young
people	NNS	people
.	SENT	.
By	IN	by
the	DT	the
time	NN	time
you	PP	you
'	POS	'
ve	NN	ve
reached	VBD	reach
80	CD	@card@
,	,	,
this	DT	this
is	VBZ	be
unlikely	JJ	unlikely
to	TO	to
happen	VB	happen
to	TO	to
you	PP	you
.	SENT	.
Only	RB	only
one	CD	one
in	IN	in
10	CD	@card@
people	NNS	people
who	WP	who
are	VBP	be
over	IN	over
80	CD	@card@
will	MD	will
die	VB	die
of	IN	of
cancer	NN	cancer
.	SENT	.
The	DT	the
big	JJ	big
growth	NN	growth
industry	NN	industry
are	VBP	be
these	DT	these
.	SENT	.
What	WP	what
you	PP	you
die	VBP	die
of	IN	of
is	VBZ	be
increasing	VBG	increase
organ	NN	organ
failure	NN	failure
,	,	,
with	IN	with
your	PP$	your
respiratory	JJ	respiratory
,	,	,
cardiac	JJ	cardiac
,	,	,
renal	JJ	renal
,	,	,
whatever	JJ	whatever
organs	NNS	organ
packing	VBG	pack
up	RP	up
.	SENT	.
Each	DT	each
of	IN	of
these	DT	these
would	MD	would
be	VB	be
an	DT	an
admission	NN	admission
to	TO	to
an	DT	an
acute	JJ	acute
care	NN	care
hospital	NN	hospital
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
which	WDT	which
,	,	,
or	CC	or
at	IN	at
some	DT	some
point	NN	point
during	IN	during
which	WDT	which
,	,	,
somebody	NN	somebody
says	VBZ	say
,	,	,
enough	RB	enough
is	VBZ	be
enough	JJ	enough
,	,	,
and	CC	and
we	PP	we
stop	VBP	stop
.	SENT	.
And	CC	and
this	DT	this
one	CD	one
'	POS	'
s	NN	S
the	DT	the
biggest	JJS	big
growth	NN	growth
industry	NN	industry
of	IN	of
all	DT	all
,	,	,
and	CC	and
at	IN	at
least	JJS	least
six	CD	six
out	IN	out
of	IN	of
10	CD	@card@
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
this	DT	this
room	NN	room
will	MD	will
die	VB	die
in	IN	in
this	DT	this
form	NN	form
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
dwindling	VBG	dwindle
of	IN	of
capacity	NN	capacity
with	IN	with
increasing	VBG	increase
frailty	NN	frailty
,	,	,
and	CC	and
frailty	NN	frailty
'	POS	'
s	NN	S
an	DT	an
inevitable	JJ	inevitable
part	NN	part
of	IN	of
aging	VBG	age
,	,	,
and	CC	and
increasing	VBG	increase
frailty	NN	frailty
is	VBZ	be
in	IN	in
fact	NN	fact
the	DT	the
main	JJ	main
thing	NN	thing
that	IN	that
people	NNS	people
die	VBP	die
of	IN	of
now	RB	now
,	,	,
and	CC	and
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
,	,	,
or	CC	or
the	DT	the
last	JJ	last
year	NN	year
of	IN	of
your	PP$	your
life	NN	life
is	VBZ	be
spent	VBN	spend
with	IN	with
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
disability	NN	disability
,	,	,
unfortunately	RB	unfortunately
.	SENT	.
Enjoying	VBG	enjoy
it	PP	it
so	RB	so
far	RB	far
?	SENT	?
Sorry	RB	sorry
,	,	,
I	PP	I
just	RB	just
feel	VB	feel
