Natalie	NP	Natalie
our	PP$	our
house	NN	house
and	CC	and
the	DT	the
neighbors	NNS	neighbor
'	POS	'
houses	NNS	house
,	,	,
and	CC	and
you	PP	you
talk	VBP	talk
about	IN	about
kitchen	NN	kitchen
c��ilidhs	NNS	<unknown>
.	SENT	.
Well	RB	well
,	,	,
c��ilidh	NN	<unknown>
first	JJ	first
of	IN	of
all	DT	all
is	VBZ	be
Gaelic	JJ	Gaelic
for	IN	for
party	NN	party
,	,	,
but	CC	but
kitchen	NN	kitchen
party	NN	party
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
is	VBZ	be
very	RB	very
common	JJ	common
,	,	,
and	CC	and
basically	RB	basically
somebody	NN	somebody
drops	NNS	drop
into	IN	into
the	DT	the
house	NN	house
,	,	,
and	CC	and
no	DT	no
matter	NN	matter
what	WP	what
house	VBP	house
you	PP	you
go	VB	go
to	TO	to
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
fiddle	NN	fiddle
there	RB	there
,	,	,
guaranteed	VBN	guarantee
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
say	VBP	say
,	,	,
well	RB	well
there	RB	there
'	''	'
s	NNS	<unknown>
first	JJ	first
of	IN	of
all	DT	all
more	JJR	more
fiddlers	NNS	fiddler
per	IN	per
capita	NN	capita
in	IN	in
Cape	NP	Cape
Breton	NP	Breton
than	IN	than
anywhere	RB	anywhere
in	IN	in
the	DT	the
world	NN	world
,	,	,
so	RB	so
ten	CD	ten
chances	NNS	chance
to	TO	to
one	CD	one
,	,	,
the	DT	the
fellow	NN	fellow
who	WP	who
walked	VBD	walk
in	IN	in
the	DT	the
door	NN	door
could	MD	could
play	VB	play
it	PP	it
,	,	,
so	IN	so
you	PP	you
'	''	'
d	SYM	d
have	VB	have
someone	NN	someone
come	VBN	come
into	IN	into
the	DT	the
house	NN	house
,	,	,
you	PP	you
'	POS	'
d	NN	d
invite	VB	invite
them	PP	them
to	TO	to
play	VB	play
a	DT	a
tune	NN	tune
,	,	,
and	CC	and
lo	NN	lo
and	CC	and
behold	VB	behold
a	DT	a
little	JJ	little
party	NN	party
would	MD	would
start	VB	start
up	RP	up
and	CC	and
somebody	NN	somebody
would	MD	would
dance	VB	dance
,	,	,
and	CC	and
somebody	NN	somebody
would	MD	would
sing	VB	sing
,	,	,
and	CC	and
all	PDT	all
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
,	,	,
so	RB	so
it	PP	it
was	VBD	be
a	DT	a
wonderful	JJ	wonderful
,	,	,
wonderful	JJ	wonderful
way	NN	way
to	TO	to
grow	VB	grow
up	RP	up
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
where	WRB	where
my	PP$	my
beginnings	NNS	beginning
in	IN	in
music	NN	music
come	VBN	come
from	IN	from
:	:	:
my	PP$	my
surroundings	NNS	surroundings
,	,	,
my	PP$	my
family	NN	family
,	,	,
just	RB	just
my	PP$	my
bloodline	NN	bloodline
in	IN	in
itself	PP	itself
,	,	,
and	CC	and
,	,	,
oh	UH	oh
,	,	,
I	PP	I
'	POS	'
ve	JJ	<unknown>
done	VBN	do
lots	NNS	lot
of	IN	of
things	NNS	thing
with	IN	with
my	PP$	my
music	NN	music
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
recorded	VBD	record
lots	NNS	lot
of	IN	of
CDs	NNS	CD
.	SENT	.
I	PP	I
was	VBD	be
nominated	VBN	nominate
for	IN	for
a	DT	a
Grammy	NP	Grammy
and	CC	and
I	NP	I
'	POS	'
ve	NN	ve
won	VBD	win
some	DT	some
awards	NNS	award
and	CC	and
stuff	NN	stuff
like	VBP	like
that	IN	that
,	,	,
so	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
awesome	JJ	awesome
,	,	,
but	CC	but
the	DT	the
best	JJS	good
part	NN	part
was	VBD	be
meeting	VBG	meet
my	PP$	my
husband	NN	husband
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
actually	RB	actually
known	VBN	know
Donnell	NP	Donnell
for	IN	for
probably	RB	probably
12	CD	@card@
years	NNS	year
now	RB	now
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
get	VB	get
into	IN	into
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
how	WRB	how
music	NN	music
brought	VBD	bring
us	PP	us
together	RB	together
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
introduce	VB	introduce
you	PP	you
right	RB	right
now	RB	now
to	TO	to
my	PP$	my
new	JJ	new
husband	NN	husband
as	IN	as
of	IN	of
October	NP	October
5	CD	@card@
,	,	,
Donnell	NP	Donnell
Leahy	NP	Leahy
.	SENT	.
Donnell	NP	Donnell
Leahy	NP	Leahy
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
kind	NN	kind
of	IN	of
new	JJ	new
to	TO	to
the	DT	the
TED	VBP	ted
experience	NN	experience
and	CC	and
I	PP	I
'	POS	'
m	NN	m
glad	JJ	glad
to	TO	to
be	VB	be
here	RB	here
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
just	RB	just
trying	VBG	try
to	TO	to
put	VB	put
it	PP	it
all	RB	all
together	RB	together
,	,	,
trying	VBG	try
to	TO	to
figure	VB	figure
all	DT	all
you	PP	you
people	NNS	people
out	RP	out
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
here	RB	here
for	IN	for
a	DT	a
short	JJ	short
while	NN	while
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
starting	VBG	start
to	TO	to
understand	VB	understand
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
.	SENT	.
So	RB	so
I	PP	I
asked	VBD	ask
Natalie	NP	Natalie
,	,	,
what	WP	what
do	VBP	do
I	PP	I
do	VBP	do
?	SENT	?
And	CC	and
she	PP	she
said	VBD	say
,	,	,
just	RB	just
talk	VB	talk
about	IN	about
yourself	PP	yourself
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
boring	JJ	boring
,	,	,
but	CC	but
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
tell	VBP	tell
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
my	PP$	my
family	NN	family
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
one	CD	one
of	IN	of
11	CD	@card@
brothers	NNS	brother
and	CC	and
sisters	NNS	sister
from	IN	from
Lakefield	NP	Lakefield
,	,	,
Ontario	NP	Ontario
,	,	,
an	DT	an
hour	NN	hour
and	CC	and
a	DT	a
half	JJ	half
northeast	NN	northeast
of	IN	of
Toronto	NP	Toronto
,	,	,
and	CC	and
we	PP	we
grew	VBD	grow
up	RP	up
on	IN	on
a	DT	a
farm	NN	farm
.	SENT	.
Mom	NP	Mom
and	CC	and
Dad	NP	Dad
raised	VBD	raise
beef	NN	beef
cattle	NNS	cattle
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
the	DT	the
oldest	JJS	old
boy	NN	boy
.	SENT	.
There	EX	there
are	VBP	be
four	CD	four
girls	NNS	girl
a	DT	a
little	JJ	little
bit	NN	bit
older	JJR	old
than	IN	than
me	PP	me
.	SENT	.
We	PP	we
grew	VBD	grow
up	RP	up
without	IN	without
a	DT	a
television	NN	television
.	SENT	.
People	NNS	people
find	VBP	find
that	IN	that
strange	JJ	strange
,	,	,
but	CC	but
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
a	DT	a
great	JJ	great
blessing	NN	blessing
for	IN	for
us	PP	us
.	SENT	.
We	PP	we
had	VBD	have
a	DT	a
television	NN	television
for	IN	for
a	DT	a
few	JJ	few
years	NNS	year
,	,	,
but	CC	but
of	IN	of
course	NN	course
we	PP	we
wasted	VBD	waste
so	RB	so
much	JJ	much
time	NN	time
and	CC	and
the	DT	the
work	NN	work
wasn	NN	<unknown>
'	POS	'
t	NN	t
getting	VBG	get
done	VBN	do
,	,	,
so	RB	so
out	RB	out
went	VBD	go
the	DT	the
television	NN	television
.	SENT	.
We	PP	we
grew	VBD	grow
up	RP	up
playing	VBG	play
—	:	-
Mom	NP	Mom
'	POS	'
s	NN	S
from	IN	from
Cape	NP	Cape
Breton	NP	Breton
,	,	,
coincidentally	RB	coincidentally
.	SENT	.
Mom	NP	Mom
and	CC	and
Natalie	NP	Natalie
'	POS	'
s	NN	S
mother	NN	mother
knew	VBD	know
each	DT	each
other	JJ	other
.	SENT	.
We	PP	we
grew	VBD	grow
up	RP	up
playing	VBG	play
,	,	,
and	CC	and
used	VBD	use
to	TO	to
dance	VB	dance
together	RB	together
,	,	,
right	RB	right
,	,	,
yeah	RB	yeah
.	SENT	.
We	PP	we
grew	VBD	grow
up	RP	up
playing	VBG	play
a	DT	a
bunch	NN	bunch
of	IN	of
,	,	,
we	PP	we
played	VBD	play
by	IN	by
ear	NN	ear
and	CC	and
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
us	PP	us
because	IN	because
we	PP	we
were	VBD	be
not	RB	not
really	RB	really
exposed	VBN	expose
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
styles	NNS	style
of	IN	of
music	NN	music
.	SENT	.
We	PP	we
learned	VBD	learn
to	TO	to
play	VB	play
the	DT	the
instruments	NNS	instrument
,	,	,
but	CC	but
we	PP	we
kind	NN	kind
of	IN	of
had	VBD	have
to	TO	to
come	VB	come
from	IN	from
within	IN	within
or	CC	or
go	VB	go
from	IN	from
within	IN	within
,	,	,
because	IN	because
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
watch	NN	watch
television	NN	television
,	,	,
we	PP	we
didn	NNS	<unknown>
'	POS	'
t	NN	t
listen	NN	listen
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
radio	NN	radio
.	SENT	.
We	PP	we
went	VBD	go
to	TO	to
church	NN	church
and	CC	and
to	TO	to
school	NN	school
sometimes	RB	sometimes
,	,	,
and	CC	and
farmed	VBN	farm
and	CC	and
played	VBN	play
music	NN	music
,	,	,
so	RB	so
we	PP	we
were	VBD	be
able	JJ	able
,	,	,
I	PP	I
think	VBP	think
,	,	,
at	IN	at
a	DT	a
very	RB	very
critical	JJ	critical
age	NN	age
to	TO	to
develop	VB	develop
our	PP$	our
own	JJ	own
style	NN	style
,	,	,
our	PP$	our
own	JJ	own
self	NN	self
,	,	,
and	CC	and
my	PP$	my
mother	NN	mother
plays	VBZ	play
,	,	,
my	PP$	my
father	NN	father
plays	NNS	play
,	,	,
and	CC	and
the	DT	the
style	NN	style
that	WDT	that
came	VBD	come
from	IN	from
the	DT	the
Ottawa	NP	Ottawa
Valley	NP	Valley
in	IN	in
Ontario	NP	Ontario
,	,	,
we	PP	we
call	VBP	call
it	PP	it
French-Canadian	JJ	French-Canadian
style	NN	style
but	CC	but
it	PP	it
originated	VBP	originated
in	IN	in
logging	VBG	log
camps	NNS	camp
.	SENT	.
Years	NNS	year
ago	RB	ago
,	,	,
hundreds	NNS	hundred
of	IN	of
men	NNS	man
would	MD	would
go	VB	go
up	RP	up
for	IN	for
the	DT	the
winter	NN	winter
to	TO	to
the	DT	the
camps	NNS	camp
in	IN	in
Northern	NP	Northern
Ontario	NP	Ontario
and	CC	and
in	IN	in
Quebec	NP	Quebec
,	,	,
and	CC	and
they	PP	they
were	VBD	be
all	DT	all
different	JJ	different
cultures	NNS	culture
,	,	,
and	CC	and
the	DT	the
Irish	NP	Irish
,	,	,
the	DT	the
French	NP	French
,	,	,
Scottish	NP	Scottish
,	,	,
German	JJ	German
,	,	,
they	PP	they
'	POS	'
d	NN	d
all	RB	all
meet	VB	meet
,	,	,
and	CC	and
of	IN	of
course	NN	course
at	IN	at
night	NN	night
,	,	,
they	PP	they
'	POS	'
d	NN	d
play	NN	play
cards	NNS	card
and	CC	and
step	NN	step
dance	NN	dance
and	CC	and
play	NN	play
fiddles	NNS	fiddle
,	,	,
and	CC	and
over	IN	over
the	DT	the
course	NN	course
of	IN	of
many	JJ	many
years	NNS	year
,	,	,
the	DT	the
Ottawa	NP	Ottawa
Valley	NP	Valley
fiddling	JJ	fiddling
kind	NN	kind
of	IN	of
evolved	VBN	evolve
and	CC	and
the	DT	the
Ottawa	NP	Ottawa
Valley	NP	Valley
step	NN	step
dancing	NN	dancing
evolved	VBD	evolve
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
,	,	,
I	PP	I
kind	RB	kind
of	IN	of
started	VBN	start
out	RP	out
with	IN	with
that	DT	that
style	NN	style
and	CC	and
I	PP	I
quickly	RB	quickly
started	VBD	start
doing	VBG	do
my	PP$	my
own	JJ	own
thing	NN	thing
,	,	,
and	CC	and
then	RB	then
I	PP	I
met	VBD	meet
Natalie	NP	Natalie
,	,	,
and	CC	and
I	PP	I
was	VBD	be
exposed	VBN	expose
to	TO	to
the	DT	the
great	JJ	great
Cape	NP	Cape
Breton	NP	Breton
fiddling	VBG	fiddle
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
met	VBD	meet
.	SENT	.
You	PP	you
tell	VBP	tell
them	PP	them
.	SENT	.
NM	NP	NM
:	:	:
You	PP	you
want	VBP	want
to	TO	to
or	CC	or
no	RB	no
?	SENT	?
Well	RB	well
I	PP	I
guess	VBP	guess
I	PP	I
have	VBP	have
to	TO	to
now	RB	now
.	SENT	.
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
so	RB	so
interesting	JJ	interesting
that	IN	that
Donnell	NP	Donnell
'	POS	'
s	NN	S
upbringing	NN	upbringing
was	VBD	be
very	RB	very
similar	JJ	similar
to	TO	to
mine	NN	mine
,	,	,
and	CC	and
I	PP	I
actually	RB	actually
saw	VBD	see
Donnell	NP	Donnell
play	VB	play
when	WRB	when
I	PP	I
was	VBD	be
about	RB	about
12	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
and	CC	and
he	PP	he
and	CC	and
his	PP$	his
family	NN	family
came	VBD	come
to	TO	to
Inverness	NP	Inverness
,	,	,
which	WDT	which
is	VBZ	be
about	RB	about
45	CD	@card@
minutes	NNS	minute
from	IN	from
where	WRB	where
I	PP	I
lived	VBD	live
,	,	,
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
blown	VBN	blow
away	RP	away
,	,	,
like	VB	like
,	,	,
it	PP	it
was	VBD	be
just	RB	just
amazing	JJ	amazing
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
find	VB	find
out	RP	out
why	WRB	why
pretty	RB	pretty
soon	RB	soon
here	RB	here
,	,	,
but	CC	but
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
believe	VBP	believe
the	DT	the
fiddling	JJ	fiddling
and	CC	and
Mom	NP	Mom
was	VBD	be
there	RB	there
with	IN	with
me	PP	me
,	,	,
and	CC	and
she	PP	she
was	VBD	be
saying	VBG	say
—	:	-
Donnell	NP	Donnell
'	POS	'
s	NN	S
mother	NN	mother
came	VBD	come
up	RP	up
on	IN	on
stage	NN	stage
and	CC	and
danced	VBN	dance
with	IN	with
her	PP$	her
children	NNS	child
,	,	,
and	CC	and
Mom	NP	Mom
was	VBD	be
saying	VBG	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	VBZ	<unknown>
Julie	NP	Julie
MacDonnell	NP	MacDonnell
,	,	,
I	PP	I
used	VBD	use
to	TO	to
dance	VB	dance
with	IN	with
her	PP$	her
when	WRB	when
we	PP	we
were	VBD	be
kids	NNS	kid
.	SENT	.
Little	NP	Little
did	VBD	do
I	PP	I
think	VBP	think
our	PP$	our
children	NNS	child
would	MD	would
be	VB	be
playing	VBG	play
instruments	NNS	instrument
,	,	,
you	PP	you
know	VBP	know
,	,	,
playing	VBG	play
music	NN	music
,	,	,
yeah	RB	yeah
.	SENT	.
"	''	"
Twelve	CD	twelve
years	NNS	year
,	,	,
er	NNS	<unknown>
,	,	,
20	CD	@card@
years	NNS	year
later	RBR	later
little	RB	little
did	VBD	do
she	PP	she
think	VBP	think
her	PP$	her
kids	NNS	kid
would	MD	would
be	VB	be
getting	VBG	get
married	JJ	married
,	,	,
but	CC	but
anyway	RB	anyway
,	,	,
so	RB	so
,	,	,
then	RB	then
I	PP	I
got	VBD	get
a	DT	a
phone	NN	phone
call	NN	call
about	RB	about
,	,	,
I	NP	I
dunno	NP	dunno
,	,	,
seven	CD	seven
years	NNS	year
later	RBR	later
.	SENT	.
I	PP	I
was	VBD	be
19	CD	@card@
,	,	,
first	JJ	first
or	CC	or
second	JJ	second
year	NN	year
of	IN	of
college	NN	college
,	,	,
and	CC	and
it	PP	it
was	VBD	be
Donnell	NP	Donnell
,	,	,
and	CC	and
he	PP	he
said	VBD	say
"	``	"
Hi	NP	Hi
,	,	,
you	PP	you
probably	RB	probably
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
me	PP	me
but	CC	but
my	PP$	my
name	NN	name
is	VBZ	be
Donnell	NP	Donnell
Leahy	NP	Leahy
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
know	VBP	know
you	PP	you
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
tape	NN	tape
of	IN	of
yours	PP	yours
at	IN	at
home	NN	home
.	SENT	.
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
in	IN	in
Truro	NP	Truro
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
where	WRB	where
I	PP	I
was	VBD	be
,	,	,
and	CC	and
he	PP	he
asked	VBD	ask
me	PP	me
out	RP	out
for	IN	for
supper	NN	supper
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
Then	RB	then
—	:	-
Will	MD	will
I	PP	I
keep	VB	keep
going	VBG	go
?	SENT	?
Then	RB	then
we	PP	we
dated	VBD	date
for	IN	for
two	CD	two
years	NNS	year
,	,	,
broke	VBD	break
up	RP	up
for	IN	for
10	CD	@card@
,	,	,
got	VBD	get
back	RB	back
together	RB	together
and	CC	and
got	VBD	get
married	JJ	married
.	SENT	.
DL	NN	DL
:	:	:
So	RB	so
anyway	RB	anyway
,	,	,
we	PP	we
'	POS	'
re	NN	re
running	VBG	run
out	RP	out
of	IN	of
time	NN	time
,	,	,
so	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
get	VBP	get
to	TO	to
it	PP	it
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
play	VB	play
a	DT	a
piece	NN	piece
of	IN	of
music	NN	music
for	IN	for
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
a	DT	a
Scottish	JJ	Scottish
piece	NN	piece
I	NP	I
'	POS	'
ve	NN	ve
chosen	VBN	choose
.	SENT	.
I	PP	I
starts	VBZ	start
out	RP	out
with	IN	with
a	DT	a
slow	JJ	slow
air	NN	air
.	SENT	.
Airs	NNS	air
were	VBD	be
played	VBN	play
in	IN	in
Europe	NP	Europe
at	IN	at
burials	NNS	burial
,	,	,
as	IN	as
a	DT	a
body	NN	body
was	VBD	be
carried	VBN	carry
out	RP	out
from	IN	from
the	DT	the
wake	NN	wake
site	NN	site
to	TO	to
the	DT	the
burial	NN	burial
site	NN	site
,	,	,
the	DT	the
procession	NN	procession
was	VBD	be
led	VBN	lead
by	IN	by
a	DT	a
piper	NN	piper
or	CC	or
a	DT	a
fiddle	NN	fiddle
player	NN	player
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
quickly	RB	quickly
play	VBP	play
a	DT	a
short	JJ	short
part	NN	part
of	IN	of
the	DT	the
air	NN	air
,	,	,
and	CC	and
then	RB	then
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
get	VB	get
into	IN	into
kind	NN	kind
of	IN	of
a	DT	a
crazy	JJ	crazy
tune	NN	tune
that	WDT	that
is	VBZ	be
very	RB	very
difficult	JJ	difficult
to	TO	to
play	VB	play
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
not	RB	not
warmed	VBD	warm
up	RP	up
,	,	,
so	RB	so
,	,	,
if	IN	if
I	PP	I
mess	VBP	mess
it	PP	it
up	RP	up
,	,	,
pretend	VB	pretend
you	PP	you
like	IN	like
it	PP	it
anyway	RB	anyway
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
The	DT	the
Banks	NNS	bank
.	SENT	.
NM	NP	NM
:	:	:
Well	UH	well
,	,	,
we	PP	we
'	POS	'
re	NN	re
gonna	VBG	gonna
play	NN	play
one	PP	one
together	RB	together
now	RB	now
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
laughing	VBG	laugh
,	,	,
like	VB	like
,	,	,
because	IN	because
our	PP$	our
styles	NNS	style
are	VBP	be
totally	RB	totally
different	JJ	different
,	,	,
as	IN	as
you	PP	you
can	MD	can
hear	VB	hear
.	SENT	.
And	CC	and
so	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
Donnell	NP	Donnell
and	CC	and
I	PP	I
are	VBP	be
actually	RB	actually
in	IN	in
the	DT	the
process	NN	process
of	IN	of
writing	VBG	write
new	JJ	new
pieces	NNS	piece
of	IN	of
music	NN	music
together	RB	together
that	IN	that
we	PP	we
can	MD	can
play	VB	play
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
of	IN	of
those	DT	those
ready	JJ	ready
.	SENT	.
We	PP	we
just	RB	just
started	VBD	start
yesterday	NN	yesterday
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
gonna	VBG	gonna
play	NN	play
something	NN	something
together	RB	together
anyway	RB	anyway
.	SENT	.
DL	NN	DL
:	:	:
With	IN	with
one	CD	one
minute	NN	minute
.	SENT	.
NM	NP	NM
:	:	:
With	IN	with
one	CD	one
minute	NN	minute
.	SENT	.
DL	NN	DL
:	:	:
You	PP	you
start	VBP	start
.	SENT	.
NM	NP	NM
:	:	:
No	UH	no
,	,	,
you	PP	you
have	VBP	have
to	TO	to
start	VB	start
,	,	,
because	IN	because
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
do	VB	do
your	PP$	your
thing	NN	thing
.	SENT	.
NM	NP	NM
:	:	:
I	PP	I
'	POS	'
m	NN	m
not	RB	not
tuned	VBN	tune
.	SENT	.
Hold	VB	hold
on	IN	on
.	SENT	.
NM	NP	NM
:	:	:
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
'	POS	'
m	NN	m
in	IN	in
the	DT	the
duck	NN	duck
or	CC	or
the	DT	the
bird	NN	bird
pose	VB	pose
right	RB	right
now	RB	now
