Bigger	JJR	big
least	JJS	least
ten	CD	ten
books	NNS	book
written	VBN	write
by	IN	by
credentialed	JJ	credentialed
experts	NNS	expert
on	IN	on
how	WRB	how
the	DT	the
hell	NN	hell
you	PP	you
do	VBP	do
it	PP	it
.	SENT	.
You	PP	you
could	MD	could
Google	NN	<unknown>
it	PP	it
.	SENT	.
And	CC	and
you	PP	you
could	MD	could
probably	RB	probably
find	VB	find
at	IN	at
least	JJS	least
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
-	NN	<unknown>
a	DT	a
thousand	CD	thousand
blogs	NNS	<unknown>
documenting	VBG	document
the	DT	the
step	NN	step
,	,	,
by	IN	by
step	NN	step
,	,	,
by	IN	by
step	NN	step
transformation	NN	transformation
that	IN	that
somebody	NN	somebody
else	RB	else
is	VBZ	be
already	RB	already
doing	VBG	do
.	SENT	.
You	PP	you
can	MD	can
find	VB	find
anybody	NN	anybody
online	JJ	online
and	CC	and
cyber-stalk	NN	cyber-stalk
them	PP	them
!	SENT	!
You	PP	you
can	MD	can
just	RB	just
walk	VB	walk
in	IN	in
their	PP$	their
footsteps	NNS	footstep
â	NP	<unknown>
just	RB	just
use	VBP	use
the	DT	the
science	NN	science
of	IN	of
drafting	VBG	draft
.	SENT	.
Follow	VB	follow
what	WP	what
everyone	NN	everyone
else	RB	else
has	VBZ	have
done	VBN	do
,	,	,
because	IN	because
somebody	NN	somebody
is	VBZ	be
already	RB	already
doing	VBG	do
it	PP	it
!	SENT	!
So	RB	so
why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
have	VBP	have
what	WP	what
you	PP	you
want	VBP	want
,	,	,
when	WRB	when
you	PP	you
have	VBP	have
all	PDT	all
the	DT	the
information	NN	information
that	IN	that
you	PP	you
need	VBP	need
,	,	,
you	PP	you
have	VBP	have
the	DT	the
contacts	NNS	contact
that	WDT	that
you	PP	you
need	VBP	need
,	,	,
there	EX	there
are	VBP	be
probably	RB	probably
free	JJ	free
tools	NNS	tool
online	JJ	online
that	WDT	that
allow	VBP	allow
you	PP	you
to	TO	to
start	VB	start
a	DT	a
business	NN	business
,	,	,
or	CC	or
join	VB	join
a	DT	a
group	NN	group
,	,	,
or	CC	or
do	VBP	do
whatever	WDT	whatever
the	DT	the
heck	NN	heck
you	PP	you
want	VBP	want
!	SENT	!
?	SENT	?
It	PP	it
all	RB	all
comes	VBZ	come
down	RP	down
to	TO	to
one	CD	one
word	NN	word
:	:	:
F*ÂŠ	RB	<unknown>
#	#	#
.	SENT	.
Shut	VB	shut
the	DT	the
front	JJ	front
door	NN	door
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
?	SENT	?
The	DT	the
f-bomb	NN	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
everywhere	RB	everywhere
!	SENT	!
You	PP	you
hear	VBP	hear
it	PP	it
all	PDT	all
the	DT	the
time	NN	time
!	SENT	!
I	PP	I
honestly	RB	honestly
don	VBP	don
'	POS	'
t	NN	t
understand	VB	understand
what	WP	what
the	DT	the
appeal	NN	appeal
is	VBZ	be
of	IN	of
the	DT	the
word	NN	word
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
sound	NN	sound
smart	NN	smart
when	WRB	when
you	PP	you
say	VBP	say
it	PP	it
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
really	RB	really
not	RB	not
expressing	VBG	express
how	WRB	how
you	PP	you
really	RB	really
feel	VBP	feel
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
a	DT	a
cheap	JJ	cheap
shot	NN	shot
to	TO	to
take	VB	take
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
you	PP	you
know	VBP	know
I	PP	I
'	''	'
m	NN	m
talking	VBG	talk
about	IN	about
the	DT	the
word	NN	word
"	``	"
fine	NN	fine
"	''	"
.	SENT	.
"	``	"
How	WRB	how
you	PP	you
doing	VBG	do
?	SENT	?
"	''	"
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
fine	NN	fine
.	SENT	.
"	``	"
Oh	UH	oh
,	,	,
really	RB	really
?	SENT	?
You	PP	you
are	VBP	be
?	SENT	?
Dragging	VBG	drag
around	IN	around
those	DT	those
extra	JJ	extra
forty	NN	forty
pounds	NNS	pound
,	,	,
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
?	SENT	?
Feeling	VBG	feel
like	IN	like
roommates	NNS	roommate
with	IN	with
your	PP$	your
spouse	NN	spouse
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
?	SENT	?
You	PP	you
haven	NN	haven
'	POS	'
t	NN	t
had	VBD	have
sex	NN	sex
in	IN	in
four	CD	four
months	NNS	month
,	,	,
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
?	SENT	?
Really	RB	really
?	SENT	?
!	SENT	!
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
so	RB	so
!	SENT	!
But	CC	but
see	VB	see
,	,	,
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
deal	NN	deal
with	IN	with
saying	VBG	say
that	IN	that
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
:	:	:
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
genius	NN	genius
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
do	VB	do
anything	NN	anything
about	IN	about
it	PP	it
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
think	VBP	think
about	IN	about
this	DT	this
word	NN	word
"	``	"
fine	NN	fine
"	''	"
,	,	,
it	PP	it
just	RB	just
makes	VBZ	make
me	PP	me
so	RB	so
angry	JJ	angry
.	SENT	.
Here	RB	here
we	PP	we
are	VBP	be
at	IN	at
a	DT	a
conference	NN	conference
about	IN	about
being	VBG	be
alive	JJ	alive
and	CC	and
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
describe	VB	describe
the	DT	the
experience	NN	experience
of	IN	of
being	VBG	be
alive	JJ	alive
as	IN	as
"	``	"
fine	JJ	fine
"	''	"
?	SENT	?
!	SENT	!
What	WP	what
a	DT	a
flimsy	JJ	flimsy
and	CC	and
feeble	JJ	feeble
word	NN	word
!	SENT	!
If	IN	if
you	PP	you
'	POS	'
re	NN	re
crappy	NN	<unknown>
,	,	,
say	VBP	say
you	PP	you
'	''	'
re	IN	re
crappy	NN	<unknown>
!	SENT	!
If	IN	if
you	PP	you
'	POS	'
re	NN	re
amazing	JJ	amazing
say	VBP	say
you	PP	you
'	''	'
re	IN	re
amazing	JJ	amazing
!	SENT	!
Tell	VB	tell
the	DT	the
truth	NN	truth
!	SENT	!
And	CC	and
this	DT	this
not	RB	not
only	RB	only
goes	VBZ	go
for	IN	for
the	DT	the
social	JJ	social
construct	NN	construct
:	:	:
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
burden	VB	burden
you	PP	you
with	IN	with
the	DT	the
fact	NN	fact
that	IN	that
I	PP	I
hate	VBP	hate
my	PP$	my
life	NN	life
"	''	"
,	,	,
or	CC	or
:	:	:
"	``	"
Hey	UH	hey
,	,	,
I	PP	I
'	POS	'
m	NN	m
amazing	JJ	amazing
!	SENT	!
But	CC	but
that	WDT	that
would	MD	would
make	VB	make
you	PP	you
feel	VB	feel
terrible	JJ	terrible
.	SENT	.
"	''	"
The	DT	the
bigger	JJR	big
issue	NN	issue
â	NP	<unknown>
The	DT	the
bigger	JJR	big
issue	NN	issue
with	IN	with
"	``	"
fine	NN	fine
"	''	"
is	VBZ	be
that	IN	that
you	PP	you
say	VBP	say
it	PP	it
to	TO	to
yourself	PP	yourself
.	SENT	.
That	DT	that
thing	NN	thing
that	IN	that
you	PP	you
want	VBP	want
,	,	,
I	PP	I
guarantee	VBP	guarantee
you	PP	you
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
convinced	VBD	convince
yourself	PP	yourself
that	IN	that
you	PP	you
'	POS	'
re	NN	re
fine	NN	fine
not	RB	not
having	VBG	have
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
why	WRB	why
you	PP	you
'	POS	'
re	NN	re
not	RB	not
pushing	VBG	push
yourself	PP	yourself
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
areas	NNS	area
in	IN	in
your	PP$	your
life	NN	life
where	WRB	where
you	PP	you
'	POS	'
ve	NN	ve
given	VBN	give
up	RP	up
.	SENT	.
Where	WRB	where
you	PP	you
'	POS	'
ve	NN	ve
said	VBD	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
fine	NN	fine
.	SENT	.
My	PP$	my
mom	NN	mom
'	POS	'
s	NN	S
never	RB	never
going	VBG	go
to	TO	to
change	VB	change
,	,	,
so	RB	so
I	PP	I
just	RB	just
can	MD	can
'	''	'
t	NN	t
have	VBP	have
that	DT	that
conversation	NN	conversation
.	SENT	.
"	''	"
"	``	"
I	NP	I
'	POS	'
m	NN	m
fine	NN	fine
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
wait	VB	wait
until	IN	until
the	DT	the
kids	NNS	kid
graduate	NN	graduate
,	,	,
before	IN	before
we	PP	we
get	VBP	get
divorced	VBN	divorce
,	,	,
so	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
just	RB	just
sleep	VBP	sleep
in	IN	in
separate	JJ	separate
bedrooms	NNS	bedroom
.	SENT	.
"	''	"
"	``	"
I	NP	I
'	POS	'
m	NN	m
fine	NN	fine
.	SENT	.
I	PP	I
lost	VBD	lose
my	PP$	my
job	NN	job
,	,	,
I	PP	I
can	MD	can
barely	RB	barely
pay	VB	pay
my	PP$	my
bills	NNS	bill
,	,	,
but	CC	but
whatever	WDT	whatever
â	NP	<unknown>
It	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
get	VB	get
a	DT	a
job	NN	job
.	SENT	.
"	``	"
One	CD	one
of	IN	of
the	DT	the
reasons	NNS	reason
why	WRB	why
this	DT	this
word	NN	word
also	RB	also
just	RB	just
annoys	VBZ	annoy
me	PP	me
so	RB	so
much	RB	much
is	VBZ	be
,	,	,
scientists	NNS	scientist
have	VBP	have
calculated	VBN	calculate
â	NP	<unknown>
Oh	NP	Oh
yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
m	NN	m
coming	VBG	come
down	RP	down
!	SENT	!
Scientists	NNS	scientist
have	VBP	have
calculated	VBN	calculate
the	DT	the
odds	NNS	odd
of	IN	of
you	PP	you
being	VBG	be
born	VBN	bear
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
crunched	VBD	crunch
the	DT	the
numbers	NNS	number
.	SENT	.
I	PP	I
see	VBP	see
you	PP	you
up	RP	up
there	RB	there
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
crunched	VBD	crunch
the	DT	the
numbers	NNS	number
on	IN	on
you	PP	you
â	NP	<unknown>
Yeah	RB	yeah
,	,	,
you	PP	you
guys	VBZ	guy
standing	VBG	stand
up	RP	up
,	,	,
you	PP	you
want	VBP	want
to	TO	to
sit	VB	sit
down	RP	down
for	IN	for
this	DT	this
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
crunched	VBD	crunch
the	DT	the
numbers	NNS	number
on	IN	on
you	PP	you
being	VBG	be
born	VBN	bear
.	SENT	.
And	CC	and
they	PP	they
took	VBD	take
into	IN	into
account	NN	account
all	RB	all
of	IN	of
the	DT	the
wars	NNS	war
,	,	,
and	CC	and
the	DT	the
natural	JJ	natural
disasters	NNS	disaster
,	,	,
and	CC	and
the	DT	the
dinosaurs	NNS	dinosaur
,	,	,
and	CC	and
everything	NN	everything
else	RB	else
.	SENT	.
And	CC	and
do	VBP	do
you	PP	you
realize	VBP	realize
that	IN	that
the	DT	the
odds	NNS	odd
,	,	,
the	DT	the
odds	NNS	odd
of	IN	of
you	PP	you
,	,	,
yeah	RB	yeah
,	,	,
right	RB	right
here	RB	here
,	,	,
put	VBD	put
your	PP$	your
computer	NN	computer
away	RB	away
,	,	,
stand	VBP	stand
up	RP	up
for	IN	for
me	PP	me
,	,	,
Doug	NP	Doug
!	SENT	!
So	IN	so
the	DT	the
odds	NNS	odd
of	IN	of
Doug	NP	Doug
here	RB	here
,	,	,
turn	VB	turn
around	RB	around
,	,	,
say	VBP	say
"	``	"
hi	UH	hi
"	''	"
to	TO	to
everybody	NN	everybody
â	NP	<unknown>
the	DT	the
odds	NNS	odd
of	IN	of
Doug	NP	Doug
being	VBG	be
born	VBN	bear
at	IN	at
the	DT	the
moment	NN	moment
in	IN	in
time	NN	time
he	PP	he
was	VBD	be
born	VBN	bear
,	,	,
to	TO	to
the	DT	the
parents	NNS	parent
you	PP	you
were	VBD	be
born	VBN	bear
to	TO	to
,	,	,
with	IN	with
the	DT	the
DNA	NP	DNA
structure	NN	structure
that	IN	that
you	PP	you
have	VBP	have
,	,	,
one	CD	one
in	IN	in
four	CD	four
hundred	CD	hundred
trillion	CD	trillion
!	SENT	!
Isn	NP	Isn
'	POS	'
t	NN	t
that	IN	that
amazing	JJ	amazing
?	SENT	?
Doug	NP	Doug
:	:	:
I	PP	I
'	POS	'
m	NN	m
so	RB	so
lucky	JJ	lucky
!	SENT	!
Mel	NP	Mel
:	:	:
Yes	UH	yes
!	SENT	!
You	PP	you
'	POS	'
re	NN	re
not	RB	not
fine	JJ	fine
,	,	,
you	PP	you
'	POS	'
re	NN	re
fantastic	NN	fantastic
!	SENT	!
You	PP	you
have	VBP	have
life-changing	JJ	life-changing
ideas	NNS	idea
for	IN	for
a	DT	a
reason	NN	reason
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
to	TO	to
torture	VB	torture
yourself	PP	yourself
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
Thank	VB	thank
you	PP	you
,	,	,
Doug	NP	Doug
.	SENT	.
Christine	NP	Christine
was	VBD	be
right	RB	right
when	WRB	when
she	PP	she
said	VBD	say
all	RB	all
of	IN	of
you	PP	you
could	MD	could
be	VB	be
on	IN	on
stage	NN	stage
.	SENT	.
Because	IN	because
all	DT	all
of	IN	of
you	PP	you
âÂ	NP	<unknown>
we	PP	we
'	''	'
re	IN	re
all	DT	all
in	IN	in
this	DT	this
category	NN	category
.	SENT	.
One	CD	one
in	IN	in
four	CD	four
hundred	CD	hundred
trillion	CD	trillion
.	SENT	.
All	DT	all
day	NN	day
long	RB	long
you	PP	you
have	VBP	have
ideas	NNS	idea
that	WDT	that
could	MD	could
change	VB	change
your	PP$	your
life	NN	life
,	,	,
that	WDT	that
could	MD	could
change	VB	change
the	DT	the
world	NN	world
,	,	,
that	WDT	that
could	MD	could
change	VB	change
the	DT	the
way	NN	way
that	IN	that
you	PP	you
feel	VBP	feel
,	,	,
and	CC	and
what	WP	what
do	VBP	do
you	PP	you
do	VBP	do
with	IN	with
them	PP	them
?	SENT	?
Nothing	NN	nothing
!	SENT	!
Hopefully	RB	hopefully
I	PP	I
won	VBD	win
'	''	'
t	NN	t
moon	NN	moon
you	PP	you
.	SENT	.
You	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
pay	NN	pay
for	IN	for
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
just	RB	just
think	VB	think
for	IN	for
a	DT	a
minute	NN	minute
,	,	,
because	IN	because
we	PP	we
all	RB	all
have	VBP	have
â	NP	<unknown>
I	PP	I
love	VBP	love
to	TO	to
use	VB	use
the	DT	the
analogy	NN	analogy
"	``	"
the	DT	the
inner	JJ	inner
snooze	NN	snooze
button	NN	button
"	``	"
â	NP	<unknown>
you	PP	you
have	VBP	have
these	DT	these
amazing	JJ	amazing
ideas	NNS	idea
that	WDT	that
bubble	VBP	bubble
up	RP	up
.	SENT	.
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
watching	VBG	watch
people	NNS	people
all	DT	all
day	NN	day
and	CC	and
I	PP	I
guarantee	VBP	guarantee
you	PP	you
,	,	,
like	IN	like
ping	NN	ping
pong	NN	pong
balls	NNS	ball
â	NP	<unknown>
bam-bam-bam	NN	<unknown>
and	CC	and
everytime	NN	<unknown>
you	PP	you
have	VBP	have
an	DT	an
idea	NN	idea
,	,	,
what	WP	what
do	VBP	do
you	PP	you
do	VBP	do
?	SENT	?
â	NP	<unknown>
Hit	VBP	hit
the	DT	the
snooze	NN	snooze
!	SENT	!
What	WP	what
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
decision	NN	decision
you	PP	you
made	VBD	make
this	DT	this
morning	NN	morning
?	SENT	?
I	PP	I
bet	VBD	bet
it	PP	it
was	VBD	be
to	TO	to
go	VB	go
back	RB	back
to	TO	to
bed	NN	bed
.	SENT	.
"	''	"
Yeah	RB	yeah
,	,	,
first	JJ	first
decision	NN	decision
today	NN	today
,	,	,
I	PP	I
'	POS	'
m	NN	m
one	CD	one
in	IN	in
four	CD	four
hundred	CD	hundred
