Let	VB	let
statistics	NNS	statistic
.	SENT	.
Today	NN	today
—	:	-
a	DT	a
billion	NN	billion
squatters	NNS	squatter
,	,	,
one	CD	one
in	IN	in
six	CD	six
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
2030	LS	@card@
—	:	-
two	CD	two
billion	NN	billion
squatters	NNS	squatter
,	,	,
one	CD	one
in	IN	in
four	CD	four
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
the	DT	the
estimate	NN	estimate
is	VBZ	be
that	IN	that
in	IN	in
2050	CD	@card@
,	,	,
there	EX	there
'	''	'
ll	NN	ll
be	VB	be
three	CD	three
billion	NN	billion
squatters	NNS	squatter
,	,	,
better	JJR	good
than	IN	than
one	CD	one
in	IN	in
three	CD	three
people	NNS	people
on	IN	on
earth	NN	earth
.	SENT	.
So	RB	so
,	,	,
these	DT	these
are	VBP	be
the	DT	the
cities	NNS	city
of	IN	of
the	DT	the
future	NN	future
,	,	,
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
engage	VB	engage
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
this	DT	this
morning	NN	morning
of	IN	of
the	DT	the
good	JJ	good
life	NN	life
,	,	,
and	CC	and
before	IN	before
I	PP	I
show	VBP	show
you	PP	you
the	DT	the
rest	NN	rest
of	IN	of
my	PP$	my
presentation	NN	presentation
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
violate	VB	violate
TED	VB	ted
rules	NNS	rule
here	RB	here
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
read	VB	read
you	PP	you
something	NN	something
from	IN	from
my	PP$	my
book	NN	book
as	RB	as
quickly	RB	quickly
as	IN	as
I	PP	I
can	MD	can
.	SENT	.
Because	IN	because
I	PP	I
think	VBP	think
it	PP	it
says	VBZ	say
something	NN	something
about	IN	about
reversing	VBG	reverse
our	PP$	our
perception	NN	perception
of	IN	of
what	WP	what
we	PP	we
think	VBP	think
the	DT	the
good	JJ	good
life	NN	life
is	VBZ	be
.	SENT	.
So	RB	so
—	:	-
"	``	"
The	DT	the
hut	NN	hut
was	VBD	be
made	VBN	make
of	IN	of
corrugated	VBN	corrugate
metal	NN	metal
,	,	,
set	VBN	set
on	IN	on
a	DT	a
concrete	JJ	concrete
pad	NN	pad
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
10	CD	@card@
by	IN	by
10	CD	@card@
cell	NN	cell
.	SENT	.
Armstrong	NP	Armstrong
O	NP	O
'	POS	'
Brian	NP	Brian
,	,	,
Jr	NP	Jr
.	SENT	.
shared	VBN	share
it	PP	it
with	IN	with
three	CD	three
other	JJ	other
men	NNS	man
.	SENT	.
Armstrong	NP	Armstrong
and	CC	and
his	PP$	his
friends	NNS	friend
had	VBD	have
no	DT	no
water	NN	water
—	:	-
they	PP	they
bought	VBD	buy
it	PP	it
from	IN	from
a	DT	a
nearby	JJ	nearby
tap	NN	tap
owner	NN	owner
—	:	-
no	DT	no
toilet	NN	toilet
—	:	-
the	DT	the
families	NNS	family
in	IN	in
this	DT	this
compound	NN	compound
shared	VBD	share
a	DT	a
single	JJ	single
pit-latrine	NN	pit-latrine
—	:	-
and	CC	and
no	DT	no
sewers	NNS	sewer
or	CC	or
sanitation	NN	sanitation
.	SENT	.
They	PP	they
did	VBD	do
have	VB	have
electricity	NN	electricity
,	,	,
but	CC	but
it	PP	it
was	VBD	be
illegal	JJ	illegal
service	NN	service
tapped	VBN	tap
from	IN	from
someone	NN	someone
else	RB	else
'	POS	'
s	NN	S
wires	NNS	wire
,	,	,
and	CC	and
could	MD	could
only	RB	only
power	VB	power
one	CD	one
feeble	JJ	feeble
bulb	NN	bulb
.	SENT	.
This	DT	this
was	VBD	be
Southland	NP	Southland
,	,	,
a	DT	a
small	JJ	small
shanty	NN	shanty
community	NN	community
on	IN	on
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
Nairobi	NP	Nairobi
,	,	,
Kenya	NP	Kenya
.	SENT	.
But	CC	but
it	PP	it
could	MD	could
'	''	'
ve	RB	<unknown>
been	VBN	be
anywhere	RB	anywhere
in	IN	in
the	DT	the
city	NN	city
,	,	,
because	IN	because
more	JJR	more
than	IN	than
half	PDT	half
the	DT	the
city	NN	city
of	IN	of
Nairobi	NP	Nairobi
lives	NNS	life
like	IN	like
this	DT	this
.	SENT	.
1	LS	1
.	SENT	.
5	CD	@card@
million	CD	million
people	NNS	people
stuffed	VBN	stuff
into	IN	into
mud	NN	mud
or	CC	or
metal	NN	metal
huts	NNS	hut
with	IN	with
no	DT	no
services	NNS	service
,	,	,
no	DT	no
toilets	NNS	toilet
,	,	,
no	DT	no
rights	NNS	right
.	SENT	.
"	''	"
Armstrong	NP	Armstrong
explained	VBD	explain
the	DT	the
brutal	JJ	brutal
reality	NN	reality
of	IN	of
their	PP$	their
situation	NN	situation
:	:	:
they	PP	they
paid	VBD	pay
1	CD	@card@
,	,	,
500	CD	@card@
shillings	NNS	shilling
in	IN	in
rent	NN	rent
,	,	,
about	RB	about
20	CD	@card@
bucks	NNS	buck
a	DT	a
month	NN	month
,	,	,
a	DT	a
relatively	RB	relatively
high	JJ	high
price	NN	price
for	IN	for
a	DT	a
Kenyan	JJ	Kenyan
shantytown	NN	shantytown
,	,	,
and	CC	and
they	PP	they
could	MD	could
not	RB	not
afford	VB	afford
to	TO	to
be	VB	be
late	JJ	late
with	IN	with
the	DT	the
money	NN	money
.	SENT	.
'	''	'
In	IN	in
case	NN	case
you	PP	you
owe	VBP	owe
one	CD	one
month	NN	month
,	,	,
the	DT	the
landlord	NN	landlord
will	MD	will
come	VB	come
with	IN	with
his	PP$	his
henchmen	NNS	henchman
and	CC	and
bundle	VB	bundle
you	PP	you
out	RP	out
.	SENT	.
He	PP	he
will	MD	will
confiscate	VB	confiscate
your	PP$	your
things	NNS	thing
,	,	,
'	''	'
Armstrong	NP	Armstrong
said	VBD	say
.	SENT	.
'	''	'
Not	RB	not
one	CD	one
month	NN	month
,	,	,
one	CD	one
day	NN	day
,	,	,
'	''	'
his	PP$	his
roommate	NN	roommate
Hilary	NP	Hilary
Kibagendi	NP	<unknown>
Onsomu	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
cooking	VBG	cook
ugali	NN	ugali
,	,	,
the	DT	the
spongy	JJ	spongy
white	JJ	white
cornmeal	JJ	cornmeal
concoction	NN	concoction
that	WDT	that
is	VBZ	be
the	DT	the
staple	JJ	staple
food	NN	food
in	IN	in
the	DT	the
country	NN	country
,	,	,
cut	VBN	cut
into	IN	into
the	DT	the
conversation	NN	conversation
.	SENT	.
They	PP	they
called	VBD	call
their	PP$	their
landlord	NN	landlord
a	DT	a
Wabenzi	NP	<unknown>
,	,	,
meaning	VBG	mean
that	IN	that
he	PP	he
is	VBZ	be
a	DT	a
person	NN	person
who	WP	who
has	VBZ	have
enough	JJ	enough
money	NN	money
to	TO	to
drive	VB	drive
a	DT	a
Mercedes-Benz	NP	Mercedes-Benz
.	SENT	.
Hilary	NP	Hilary
served	VBD	serve
the	DT	the
ugali	NN	ugali
with	IN	with
a	DT	a
fry	NN	fry
of	IN	of
meat	NN	meat
and	CC	and
tomatoes	NNS	tomato
;	:	;
the	DT	the
sun	NN	sun
slammed	VBD	slam
down	RP	down
on	IN	on
the	DT	the
thin	JJ	thin
steel	NN	steel
roof	NN	roof
;	:	;
and	CC	and
we	PP	we
perspired	VBD	perspire
as	IN	as
we	PP	we
ate	VBD	eat
.	SENT	.
"	``	"
After	IN	after
we	PP	we
finished	VBD	finish
,	,	,
Armstrong	NP	Armstrong
straightened	VBD	straighten
his	PP$	his
tie	NN	tie
,	,	,
put	VBN	put
on	IN	on
a	DT	a
wool	NN	wool
sports	NNS	sport
jacket	NN	jacket
,	,	,
and	CC	and
we	PP	we
headed	VBD	head
out	RP	out
into	IN	into
the	DT	the
glare	NN	glare
.	SENT	.
Outside	IN	outside
a	DT	a
mound	NN	mound
of	IN	of
garbage	NN	garbage
formed	VBD	form
the	DT	the
border	NN	border
between	IN	between
Southland	NP	Southland
and	CC	and
the	DT	the
adjacent	JJ	adjacent
legal	JJ	legal
neighborhood	NN	neighborhood
of	IN	of
Langata	NP	<unknown>
.	SENT	.
It	PP	it
was	VBD	be
perhaps	RB	perhaps
eight	CD	eight
feet	NNS	foot
tall	JJ	tall
,	,	,
40	CD	@card@
feet	NNS	foot
long	RB	long
,	,	,
and	CC	and
10	CD	@card@
feet	NNS	foot
wide	JJ	wide
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
set	VBN	set
in	IN	in
a	DT	a
wider	JJR	wide
watery	JJ	watery
ooze	NN	ooze
.	SENT	.
As	IN	as
we	PP	we
passed	VBD	pass
,	,	,
two	CD	two
boys	NNS	boy
were	VBD	be
climbing	VBG	climb
the	DT	the
mount	NN	mount
Kenya	NP	Kenya
of	IN	of
trash	NN	trash
.	SENT	.
They	PP	they
couldn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
been	VBN	be
more	JJR	more
than	IN	than
five	CD	five
or	CC	or
six	CD	six
years	NNS	year
old	JJ	old
.	SENT	.
They	PP	they
were	VBD	be
barefoot	JJ	barefoot
,	,	,
and	CC	and
with	IN	with
each	DT	each
step	NN	step
their	PP$	their
toes	NNS	toe
sank	VBD	sink
into	IN	into
the	DT	the
muck	NN	muck
sending	VBG	send
hundreds	NNS	hundred
of	IN	of
flies	NNS	fly
scattering	VBG	scatter
from	IN	from
the	DT	the
rancid	JJ	rancid
pile	NN	pile
.	SENT	.
I	PP	I
thought	VBD	think
they	PP	they
might	MD	might
be	VB	be
playing	VBG	play
King	NP	King
of	IN	of
the	DT	the
Hill	NP	Hill
,	,	,
but	CC	but
I	PP	I
was	VBD	be
wrong	JJ	wrong
.	SENT	.
Once	RB	once
atop	IN	atop
the	DT	the
pile	NN	pile
,	,	,
one	CD	one
of	IN	of
the	DT	the
boys	NNS	boy
lowered	VBD	lower
his	PP$	his
shorts	NNS	short
,	,	,
squatted	VBN	squat
,	,	,
and	CC	and
defecated	VBN	defecate
.	SENT	.
The	DT	the
flies	NNS	fly
buzzed	VBD	buzz
hungrily	RB	hungrily
around	IN	around
his	PP$	his
legs	NNS	leg
.	SENT	.
When	WRB	when
20	CD	@card@
families	NNS	family
—	:	-
100	CD	@card@
people	NNS	people
or	CC	or
so	RB	so
—	:	-
share	VB	share
a	DT	a
single	JJ	single
latrine	NN	latrine
,	,	,
a	DT	a
boy	NN	boy
pooping	VBG	poop
on	IN	on
a	DT	a
garbage	NN	garbage
pile	NN	pile
is	VBZ	be
perhaps	RB	perhaps
no	DT	no
big	JJ	big
thing	NN	thing
.	SENT	.
But	CC	but
it	PP	it
stood	VBD	stand
in	IN	in
jarring	JJ	jarring
contrast	NN	contrast
to	TO	to
something	NN	something
Armstrong	NP	Armstrong
had	VBD	have
said	VBN	say
as	IN	as
we	PP	we
were	VBD	be
eating	VBG	eat
—	:	-
that	IN	that
he	PP	he
treasured	VBD	treasure
the	DT	the
quality	NN	quality
of	IN	of
life	NN	life
in	IN	in
his	PP$	his
neighborhood	NN	neighborhood
.	SENT	.
"	''	"
For	IN	for
Armstrong	NP	Armstrong
,	,	,
Southland	NP	Southland
wasn	NP	<unknown>
'	POS	'
t	NN	t
constrained	VBN	constrain
by	IN	by
its	PP$	its
material	NN	material
conditions	NNS	condition
.	SENT	.
Instead	RB	instead
,	,	,
the	DT	the
human	JJ	human
spirit	NN	spirit
radiated	VBN	radiate
out	RP	out
from	IN	from
the	DT	the
metal	NN	metal
walls	NNS	wall
and	CC	and
garbage	NN	garbage
heaps	NNS	heap
to	TO	to
offer	VB	offer
something	NN	something
no	DT	no
legal	JJ	legal
neighborhood	NN	neighborhood
could	MD	could
:	:	:
freedom	NN	freedom
.	SENT	.
'	''	'
This	DT	this
place	NN	place
is	VBZ	be
very	RB	very
addictive	JJ	addictive
,	,	,
'	''	'
he	PP	he
had	VBD	have
said	VBN	say
.	SENT	.
'	''	'
It	PP	it
'	POS	'
s	NN	S
a	DT	a
simple	JJ	simple
life	NN	life
,	,	,
but	CC	but
nobody	NN	nobody
is	VBZ	be
restricting	VBG	restrict
you	PP	you
.	SENT	.
Nobody	NN	nobody
is	VBZ	be
controlling	VBG	control
what	WP	what
you	PP	you
do	VBP	do
.	SENT	.
Once	RB	once
you	PP	you
have	VBP	have
stayed	VBN	stay
here	RB	here
,	,	,
you	PP	you
cannot	MD	can
go	VB	go
back	RB	back
.	SENT	.
'	''	'
He	PP	he
meant	VBD	mean
back	RB	back
beyond	IN	beyond
that	DT	that
mountain	NN	mountain
of	IN	of
trash	NN	trash
,	,	,
back	RB	back
in	IN	in
the	DT	the
legal	JJ	legal
city	NN	city
,	,	,
of	IN	of
legal	JJ	legal
buildings	NNS	building
,	,	,
with	IN	with
legal	JJ	legal
leases	NNS	lease
and	CC	and
legal	JJ	legal
rights	NNS	right
.	SENT	.
'	''	'
Once	RB	once
you	PP	you
have	VBP	have
stayed	VBN	stay
here	RB	here
,	,	,
'	''	'
he	PP	he
said	VBD	say
,	,	,
'	''	'
you	PP	you
can	MD	can
stay	VB	stay
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
your	PP$	your
life	NN	life
.	SENT	.
'	''	'
"	''	"
So	RB	so
,	,	,
he	PP	he
has	VBZ	have
hope	NN	hope
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
where	WRB	where
these	DT	these
communities	NNS	community
start	VBP	start
.	SENT	.
This	DT	this
is	VBZ	be
perhaps	RB	perhaps
the	DT	the
most	RBS	most
primitive	JJ	primitive
shanty	NN	shanty
that	IN	that
you	PP	you
can	MD	can
find	VB	find
in	IN	in
Kibera	NP	<unknown>
,	,	,
little	RB	little
more	JJR	more
than	IN	than
a	DT	a
stick-and-mud	NN	<unknown>
hut	NN	hut
next	JJ	next
to	TO	to
a	DT	a
garbage	NN	garbage
heap	NN	heap
.	SENT	.
This	DT	this
is	VBZ	be
getting	VBG	get
ready	JJ	ready
for	IN	for
the	DT	the
monsoon	NN	monsoon
in	IN	in
Bombay	NP	Bombay
,	,	,
India	NP	India
.	SENT	.
This	DT	this
is	VBZ	be
home	NN	home
improvement	NN	improvement
:	:	:
putting	VBG	put
plastic	JJ	plastic
tarps	NNS	tarp
on	IN	on
your	PP$	your
roof	NN	roof
.	SENT	.
This	DT	this
is	VBZ	be
in	IN	in
Rio	NP	Rio
de	NP	de
Janeiro	NP	Janeiro
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
getting	VBG	get
a	DT	a
bit	NN	bit
better	RBR	well
,	,	,
right	RB	right
?	SENT	?
We	PP	we
'	''	'
re	IN	re
seeing	VBG	see
scavenged	VBN	scavenge
terra	NN	terra
cotta	NN	cotta
tile	NN	tile
and	CC	and
little	JJ	little
pieces	NNS	piece
of	IN	of
signs	NNS	sign
,	,	,
and	CC	and
plaster	NN	plaster
over	IN	over
the	DT	the
brick	NN	brick
,	,	,
some	DT	some
color	NN	color
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
Sulay	NP	<unknown>
Montakaya	NP	<unknown>
'	POS	'
s	JJ	<unknown>
house	NN	house
in	IN	in
Sultanbelyi	NP	<unknown>
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
even	RB	even
better	JJR	good
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
fence	NN	fence
;	:	;
he	PP	he
scavenged	VBD	scavenge
a	DT	a
door	NN	door
;	:	;
he	PP	he
'	POS	'
s	NN	S
got	VBD	get
new	JJ	new
tile	NN	tile
on	IN	on
the	DT	the
roof	NN	roof
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
Rocinha	NP	<unknown>
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
even	RB	even
better	JJR	good
.	SENT	.
The	DT	the
buildings	NNS	building
here	RB	here
are	VBP	be
multi-story	JJ	<unknown>
.	SENT	.
They	PP	they
develop	VBP	develop
—	:	-
you	PP	you
can	MD	can
see	VB	see
on	IN	on
the	DT	the
far	RB	far
right	RB	right
one	CD	one
where	WRB	where
it	PP	it
seems	VBZ	seem
to	TO	to
just	RB	just
stack	VB	stack
on	IN	on
top	NN	top
of	IN	of
each	DT	each
other	JJ	other
,	,	,
room	NN	room
,	,	,
after	IN	after
room	NN	room
,	,	,
after	IN	after
room	NN	room
.	SENT	.
And	CC	and
what	WP	what
people	NNS	people
do	VBP	do
is	VBZ	be
they	PP	they
develop	VBP	develop
their	PP$	their
home	NN	home
on	IN	on
one	CD	one
or	CC	or
two	CD	two
stories	NNS	story
,	,	,
and	CC	and
they	PP	they
sell	VBP	sell
their	PP$	their
loggia	NN	loggia
or	CC	or
roof	NN	roof
rights	NNS	right
,	,	,
and	CC	and
someone	NN	someone
else	RB	else
builds	VBZ	build
on	IN	on
top	NN	top
of	IN	of
their	PP$	their
building	NN	building
,	,	,
and	CC	and
then	RB	then
that	DT	that
person	NN	person
sells	VBZ	sell
the	DT	the
roof	NN	roof
rights	NNS	right
,	,	,
and	CC	and
someone	NN	someone
else	RB	else
builds	VBZ	build
on	IN	on
top	NN	top
of	IN	of
their	PP$	their
building	NN	building
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
buildings	NNS	building
are	VBP	be
made	VBN	make
out	RP	out
of	IN	of
reinforced	VBN	reinforce
concrete	NN	concrete
and	CC	and
brick	NN	brick
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
Sultanbelyi	NP	<unknown>
,	,	,
in	IN	in
Turkey	NP	Turkey
,	,	,
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
even	RB	even
built	VBN	build
to	TO	to
a	DT	a
higher	JJR	high
level	NN	level
of	IN	of
design	NN	design
.	SENT	.
The	DT	the
crud	NN	crud
in	IN	in
the	DT	the
front	NN	front
is	VBZ	be
mattress	NN	mattress
stuffing	NN	stuffing
,	,	,
and	CC	and
you	PP	you
see	VBP	see
that	IN	that
all	DT	all
over	IN	over
Turkey	NP	Turkey
.	SENT	.
People	NNS	people
dry	VBP	dry
out	RP	out
or	CC	or
air	VB	air
out	RP	out
their	PP$	their
mattress	NN	mattress
stuffing	NN	stuffing
on	IN	on
their	PP$	their
roofs	NNS	roof
.	SENT	.
But	CC	but
the	DT	the
green	JJ	green
building	NN	building
,	,	,
on	IN	on
behind	RB	behind
,	,	,
you	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
top	JJ	top
floor	NN	floor
is	VBZ	be
not	RB	not
occupied	JJ	occupied
,	,	,
so	RB	so
people	NNS	people
are	VBP	be
building	VBG	build
with	IN	with
the	DT	the
possibility	NN	possibility
of	IN	of
expansion	NN	expansion
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
built	VBD	build
to	TO	to
a	DT	a
pretty	RB	pretty
high	JJ	high
standard	NN	standard
of	IN	of
design	NN	design
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
finally	RB	finally
get	VBP	get
squatter	NN	squatter
homes	NNS	home
like	IN	like
this	DT	this
,	,	,
which	WDT	which
is	VBZ	be
built	VBN	build
on	IN	on
the	DT	the
suburban	JJ	suburban
model	NN	model
.	SENT	.
Hey	UH	hey
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
single	JJ	single
family	NN	family
home	NN	home
in	IN	in
the	DT	the
squatter	NN	squatter
community	NN	community
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
also	RB	also
in	IN	in
Istanbul	NP	Istanbul
,	,	,
Turkey	NP	Turkey
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
quite	RB	quite
vital	JJ	vital
places	NNS	place
,	,	,
these	DT	these
communities	NNS	community
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
main	JJ	main
drag	NN	drag
of	IN	of
Rocinha	NP	<unknown>
,	,	,
the	DT	the
Estrada	NP	Estrada
da	NP	da
Gavea	NP	<unknown>
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
bus	NN	bus
route	NN	route
that	WDT	that
runs	VBZ	run
through	IN	through
it	PP	it
,	,	,
lots	NNS	lot
of	IN	of
people	NNS	people
out	IN	out
on	IN	on
the	DT	the
street	NN	street
.	SENT	.
These	DT	these
communities	NNS	community
in	IN	in
these	DT	these
cities	NNS	city
are	VBP	be
actually	RB	actually
more	RBR	more
vital	JJ	vital
than	IN	than
the	DT	the
illegal	JJ	illegal
communities	NNS	community
.	SENT	.
They	PP	they
have	VBP	have
more	JJR	more
things	NNS	thing
going	VBG	go
on	IN	on
in	IN	in
them	PP	them
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
typical	JJ	typical
pathway	NN	pathway
in	IN	in
Rocinha	NP	<unknown>
called	VBD	call
a	DT	a
"	``	"
beco	NN	<unknown>
"	''	"
—	:	-
these	DT	these
are	VBP	be
how	WRB	how
you	PP	you
get	VBP	get
around	IN	around
the	DT	the
community	NN	community
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
on	IN	on
very	RB	very
steep	JJ	steep
ground	NN	ground
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
built	VBN	build
on	IN	on
the	DT	the
hills	NNS	hill
,	,	,
inland	RB	inland
from	IN	from
the	DT	the
beaches	NNS	beach
in	IN	in
Rio	NP	Rio
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
houses	NNS	house
are	VBP	be
just	RB	just
cantilevered	VBN	cantilever
