Shall	MD	shall
we	PP	we
'	POS	'
ll	NNS	<unknown>
get	VBP	get
to	TO	to
the	DT	the
goose	NN	goose
in	IN	in
a	DT	a
minute	NN	minute
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
sort	NN	sort
of	IN	of
the	DT	the
theme	NN	theme
:	:	:
big	JJ	big
,	,	,
different	JJ	different
and	CC	and
gone	VBN	go
.	SENT	.
The	DT	the
title	NN	title
of	IN	of
my	PP$	my
talk	NN	talk
:	:	:
Shape-shifting	VBG	Shape-shift
Dinosaurs	NNS	dinosaur
:	:	:
The	DT	the
cause	NN	cause
of	IN	of
a	DT	a
premature	JJ	premature
extinction	NN	extinction
.	SENT	.
Now	RB	now
I	PP	I
assume	VBP	assume
that	IN	that
we	PP	we
remember	VBP	remember
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
lots	NNS	lot
of	IN	of
different	JJ	different
shapes	NNS	shape
.	SENT	.
Lots	NNS	lot
of	IN	of
different	JJ	different
kinds	NNS	kind
.	SENT	.
A	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
,	,	,
back	RB	back
in	IN	in
the	DT	the
early	JJ	early
1900s	NNS	1900s
,	,	,
museums	NNS	museum
were	VBD	be
out	RB	out
looking	VBG	look
for	IN	for
dinosaurs	NNS	dinosaur
.	SENT	.
They	PP	they
went	VBD	go
out	RP	out
and	CC	and
gathered	VBD	gather
them	PP	them
up	RP	up
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
an	DT	an
interesting	JJ	interesting
story	NN	story
.	SENT	.
Every	DT	every
museum	NN	museum
wanted	VBD	want
a	DT	a
little	RB	little
bigger	JJR	big
or	CC	or
better	JJR	good
one	CD	one
than	IN	than
anybody	NN	anybody
else	RB	else
had	VBD	have
.	SENT	.
So	RB	so
if	IN	if
the	DT	the
museum	NN	museum
in	IN	in
Toronto	NP	Toronto
went	VBD	go
out	RP	out
and	CC	and
collected	VBD	collect
a	DT	a
Tyrannosaur	NN	tyrannosaur
,	,	,
a	DT	a
big	JJ	big
one	CD	one
,	,	,
then	RB	then
the	DT	the
museum	NN	museum
in	IN	in
Ottawa	NP	Ottawa
wanted	VBD	want
a	DT	a
bigger	JJR	big
one	CD	one
,	,	,
and	CC	and
a	DT	a
better	JJR	good
one	CD	one
.	SENT	.
And	CC	and
that	WDT	that
happened	VBD	happen
for	IN	for
all	DT	all
museums	NNS	museum
.	SENT	.
So	IN	so
everyone	NN	everyone
was	VBD	be
out	RB	out
looking	VBG	look
for	IN	for
all	PDT	all
these	DT	these
bigger	JJR	big
and	CC	and
better	JJR	good
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
in	IN	in
the	DT	the
early	JJ	early
1900s	NNS	1900s
.	SENT	.
By	IN	by
about	RB	about
1970	CD	@card@
,	,	,
some	DT	some
scientists	NNS	scientist
were	VBD	be
sitting	VBG	sit
around	RP	around
and	CC	and
they	PP	they
thought	VBD	think
,	,	,
"	``	"
What	WP	what
in	IN	in
the	DT	the
world	NN	world
—	:	-
Look	VB	look
at	IN	at
these	DT	these
dinosaurs	NNS	dinosaur
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	RB	all
big	JJ	big
.	SENT	.
Where	WRB	where
are	VBP	be
all	PDT	all
the	DT	the
little	JJ	little
ones	NNS	one
?	SENT	?
"	``	"
And	CC	and
they	PP	they
thought	VBD	think
about	IN	about
it	PP	it
and	CC	and
they	PP	they
even	RB	even
wrote	VBD	write
papers	NNS	paper
about	IN	about
it	PP	it
:	:	:
"	``	"
Where	WRB	where
are	VBP	be
the	DT	the
little	JJ	little
dinosaurs	NNS	dinosaur
?	SENT	?
"	''	"
Well	RB	well
,	,	,
go	VBP	go
to	TO	to
a	DT	a
museum	NN	museum
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
,	,	,
see	VBP	see
how	WRB	how
many	JJ	many
baby	NN	baby
dinosaurs	NNS	dinosaur
there	RB	there
are	VBP	be
.	SENT	.
People	NNS	people
assumed	VBD	assume
—	:	-
and	CC	and
this	DT	this
was	VBD	be
actually	RB	actually
a	DT	a
problem	NN	problem
—	:	-
people	NNS	people
assumed	VBD	assume
that	IN	that
if	IN	if
they	PP	they
had	VBD	have
little	JJ	little
dinosaurs	NNS	dinosaur
,	,	,
if	IN	if
they	PP	they
had	VBD	have
juvenile	JJ	juvenile
dinosaurs	NNS	dinosaur
,	,	,
they	PP	they
'	POS	'
d	NN	d
be	VB	be
easy	JJ	easy
to	TO	to
identify	VB	identify
.	SENT	.
You	PP	you
'	''	'
d	SYM	d
have	VB	have
a	DT	a
big	JJ	big
dinosaur	NN	dinosaur
and	CC	and
a	DT	a
littler	JJR	little
dinosaur	NN	dinosaur
.	SENT	.
But	CC	but
all	RB	all
they	PP	they
had	VBD	have
were	VBD	be
big	JJ	big
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
.	SENT	.
First	RB	first
off	RB	off
,	,	,
scientists	NNS	scientist
have	VBP	have
egos	NNS	ego
,	,	,
and	CC	and
scientists	NNS	scientist
like	VBP	like
to	TO	to
name	VB	name
dinosaurs	NNS	dinosaur
.	SENT	.
They	PP	they
like	VBP	like
to	TO	to
name	VB	name
anything	NN	anything
.	SENT	.
Everybody	NN	everybody
likes	VBZ	like
to	TO	to
have	VB	have
their	PP$	their
own	JJ	own
animal	NN	animal
that	IN	that
they	PP	they
named	VBD	name
.	SENT	.
And	CC	and
so	RB	so
every	DT	every
time	NN	time
they	PP	they
found	VBD	find
something	NN	something
that	WDT	that
looked	VBD	look
a	DT	a
little	RB	little
different	JJ	different
,	,	,
they	PP	they
named	VBD	name
it	PP	it
something	NN	something
different	JJ	different
.	SENT	.
And	CC	and
what	WP	what
happened	VBD	happen
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
we	PP	we
ended	VBD	end
up	RP	up
with	IN	with
a	DT	a
whole	JJ	whole
bunch	NN	bunch
of	IN	of
different	JJ	different
dinosaurs	NNS	dinosaur
.	SENT	.
In	IN	in
1975	CD	@card@
,	,	,
a	DT	a
light	NN	light
went	VBD	go
on	IN	on
in	IN	in
somebody	NN	somebody
'	POS	'
s	NN	S
head	NN	head
.	SENT	.
Dr	NP	Dr
.	SENT	.
Peter	NP	Peter
Dodson	NP	Dodson
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Pennsylvania	NP	Pennsylvania
actually	RB	actually
realized	VBD	realize
that	IN	that
dinosaurs	NNS	dinosaur
grew	VBD	grow
kind	NN	kind
of	IN	of
like	JJ	like
birds	NNS	bird
do	VBP	do
,	,	,
which	WDT	which
is	VBZ	be
different	JJ	different
than	IN	than
the	DT	the
way	NN	way
reptiles	NNS	reptile
grow	VBP	grow
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
he	PP	he
used	VBD	use
the	DT	the
cassowary	NN	cassowary
as	IN	as
an	DT	an
example	NN	example
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
cool	JJ	cool
—	:	-
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
cassowary	NN	cassowary
,	,	,
or	CC	or
any	DT	any
of	IN	of
the	DT	the
birds	NNS	bird
that	WDT	that
have	VBP	have
crests	NNS	crest
on	IN	on
their	PP$	their
heads	NNS	head
,	,	,
they	PP	they
grow	VBP	grow
to	TO	to
about	RB	about
80	CD	@card@
percent	NN	percent
adult	NN	adult
size	NN	size
before	IN	before
the	DT	the
crest	NN	crest
starts	VBZ	start
to	TO	to
grow	VB	grow
.	SENT	.
Now	RB	now
think	VBP	think
about	RB	about
that	RB	that
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
basically	RB	basically
retaining	VBG	retain
their	PP$	their
juvenile	JJ	juvenile
characteristics	NNS	characteristic
very	RB	very
late	RB	late
in	IN	in
what	WP	what
we	PP	we
call	VBP	call
ontogeny	NN	ontogeny
.	SENT	.
So	IN	so
allometric	JJ	allometric
cranial	JJ	cranial
ontogeny	NN	ontogeny
is	VBZ	be
relative	JJ	relative
skull	NN	skull
growth	NN	growth
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
see	VB	see
that	IN	that
if	IN	if
you	PP	you
actually	RB	actually
found	VBD	find
one	PP	one
that	DT	that
was	VBD	be
80	CD	@card@
percent	NN	percent
grown	VBN	grow
and	CC	and
you	PP	you
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
it	PP	it
was	VBD	be
going	VBG	go
to	TO	to
grow	VB	grow
up	RP	up
to	TO	to
a	DT	a
cassowary	NN	cassowary
,	,	,
you	PP	you
would	MD	would
think	VB	think
they	PP	they
were	VBD	be
two	CD	two
different	JJ	different
animals	NNS	animal
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
a	DT	a
problem	NN	problem
,	,	,
and	CC	and
Peter	NP	Peter
Dodson	NP	Dodson
pointed	VBD	point
this	DT	this
out	RB	out
using	VBG	use
some	DT	some
duck-billed	JJ	<unknown>
dinosaurs	NNS	dinosaur
then	RB	then
called	VBD	call
Hypacrosaurus	NP	<unknown>
.	SENT	.
And	CC	and
he	PP	he
showed	VBD	show
that	IN	that
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
take	VB	take
a	DT	a
baby	NN	baby
and	CC	and
an	DT	an
adult	NN	adult
and	CC	and
make	VB	make
an	DT	an
average	NN	average
of	IN	of
what	WP	what
it	PP	it
should	MD	should
look	VB	look
like	IN	like
,	,	,
if	IN	if
it	PP	it
grew	VBD	grow
in	IN	in
sort	NN	sort
of	IN	of
a	DT	a
linear	JJ	linear
fashion	NN	fashion
,	,	,
it	PP	it
would	MD	would
have	VB	have
a	DT	a
crest	NN	crest
about	IN	about
half	PDT	half
the	DT	the
size	NN	size
of	IN	of
the	DT	the
adult	NN	adult
.	SENT	.
But	CC	but
the	DT	the
actual	JJ	actual
subadult	NN	subadult
at	IN	at
65	CD	@card@
percent	NN	percent
had	VBD	have
no	DT	no
crest	NN	crest
at	IN	at
all	DT	all
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
interesting	JJ	interesting
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
where	WRB	where
people	NNS	people
went	VBD	go
astray	RB	astray
again	RB	again
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
they	PP	they
'	''	'
d	SYM	d
have	VBP	have
just	RB	just
taken	VBN	take
that	IN	that
,	,	,
taken	VBN	take
Peter	NP	Peter
Dodson	NP	Dodson
'	POS	'
s	NN	S
work	NN	work
,	,	,
and	CC	and
gone	VBN	go
on	IN	on
with	IN	with
that	DT	that
,	,	,
then	RB	then
we	PP	we
would	MD	would
have	VB	have
a	DT	a
lot	NN	lot
less	JJR	less
dinosaurs	NNS	dinosaur
than	IN	than
we	PP	we
have	VBP	have
.	SENT	.
But	CC	but
scientists	NNS	scientist
have	VBP	have
egos	NNS	ego
;	:	;
they	PP	they
like	VBP	like
to	TO	to
name	VB	name
things	NNS	thing
.	SENT	.
And	CC	and
so	RB	so
they	PP	they
went	VBD	go
on	IN	on
naming	VBG	name
dinosaurs	NNS	dinosaur
because	IN	because
they	PP	they
were	VBD	be
different	JJ	different
.	SENT	.
Now	RB	now
we	PP	we
have	VBP	have
a	DT	a
way	NN	way
of	IN	of
actually	RB	actually
testing	VBG	test
to	TO	to
see	VB	see
whether	IN	whether
a	DT	a
dinosaur	NN	dinosaur
,	,	,
or	CC	or
any	DT	any
animal	NN	animal
,	,	,
is	VBZ	be
a	DT	a
young	JJ	young
one	CD	one
or	CC	or
an	DT	an
older	JJR	old
one	CD	one
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
by	IN	by
actually	RB	actually
cutting	VBG	cut
into	IN	into
their	PP$	their
bones	NNS	bone
.	SENT	.
But	CC	but
cutting	VBG	cut
into	IN	into
the	DT	the
bones	NNS	bone
of	IN	of
a	DT	a
dinosaur	NN	dinosaur
is	VBZ	be
hard	JJ	hard
to	TO	to
do	VB	do
,	,	,
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
because	IN	because
in	IN	in
museums	NNS	museum
,	,	,
bones	NNS	bone
are	VBP	be
precious	JJ	precious
.	SENT	.
You	PP	you
go	VBP	go
into	IN	into
a	DT	a
museum	NN	museum
,	,	,
and	CC	and
they	PP	they
take	VBP	take
really	RB	really
good	JJ	good
care	NN	care
of	IN	of
them	PP	them
.	SENT	.
They	PP	they
put	VBD	put
them	PP	them
in	IN	in
foam	NN	foam
,	,	,
little	JJ	little
containers	NNS	container
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
very	RB	very
well	RB	well
taken	VBN	take
care	NN	care
of	IN	of
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
like	IN	like
it	PP	it
if	IN	if
you	PP	you
come	VBP	come
in	IN	in
and	CC	and
want	VBP	want
to	TO	to
saw	VB	saw
them	PP	them
open	VB	open
and	CC	and
look	VB	look
inside	RB	inside
.	SENT	.
So	RB	so
they	PP	they
don	VB	don
'	''	'
t	NN	t
normally	RB	normally
let	VBD	let
you	PP	you
do	VBP	do
that	RB	that
.	SENT	.
But	CC	but
I	PP	I
have	VBP	have
a	DT	a
museum	NN	museum
and	CC	and
I	PP	I
collect	VBP	collect
dinosaurs	NNS	dinosaur
and	CC	and
I	PP	I
can	MD	can
saw	VB	saw
mine	PP	mine
open	VB	open
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
do	VBP	do
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
cut	VBD	cut
open	RP	open
a	DT	a
little	JJ	little
dinosaur	NN	dinosaur
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
spongy	JJ	spongy
inside	NN	inside
,	,	,
like	IN	like
A	DT	a
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
cut	VBD	cut
into	IN	into
an	DT	an
older	JJR	old
dinosaur	NN	dinosaur
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
massive	JJ	massive
.	SENT	.
You	PP	you
can	MD	can
tell	VB	tell
it	PP	it
'	POS	'
s	JJ	<unknown>
mature	JJ	mature
bone	NN	bone
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
real	JJ	real
easy	JJ	easy
to	TO	to
tell	VB	tell
them	PP	them
apart	RB	apart
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
show	VB	show
you	PP	you
these	DT	these
.	SENT	.
In	IN	in
North	NP	North
America	NP	America
in	IN	in
the	DT	the
northern	JJ	northern
plains	NNS	plain
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
the	DT	the
southern	JJ	southern
plains	NNS	plain
of	IN	of
Alberta	NP	Alberta
and	CC	and
Saskatchewan	NP	Saskatchewan
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
unit	NN	unit
of	IN	of
rock	NN	rock
called	VBD	call
the	DT	the
Hell	NN	hell
Creek	NP	Creek
Formation	NN	formation
that	WDT	that
produces	VBZ	produce
the	DT	the
last	JJ	last
dinosaurs	NNS	dinosaur
that	WDT	that
lived	VBD	live
on	IN	on
Earth	NP	Earth
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
12	CD	@card@
of	IN	of
them	PP	them
that	WDT	that
everyone	NN	everyone
recognizes	VBZ	recognize
—	:	-
I	PP	I
mean	VBP	mean
the	DT	the
12	CD	@card@
primary	JJ	primary
dinosaurs	NNS	dinosaur
that	WDT	that
went	VBD	go
extinct	JJ	extinct
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
will	MD	will
evaluate	VB	evaluate
them	PP	them
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
what	WP	what
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
doing	VBG	do
.	SENT	.
So	IN	so
my	PP$	my
students	NNS	student
,	,	,
my	PP$	my
staff	NN	staff
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
cutting	VBG	cut
them	PP	them
open	RP	open
.	SENT	.
Now	RB	now
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
cutting	VBG	cut
open	RP	open
a	DT	a
leg	NN	leg
bone	NN	bone
is	VBZ	be
one	CD	one
thing	NN	thing
,	,	,
but	CC	but
when	WRB	when
you	PP	you
go	VBP	go
to	TO	to
a	DT	a
museum	NN	museum
and	CC	and
say	VB	say
,	,	,
"	``	"
You	PP	you
don	VBP	don
'	''	'
t	NN	t
mind	NN	mind
if	IN	if
I	PP	I
cut	VBD	cut
open	RP	open
your	PP$	your
dinosaur	NN	dinosaur
'	POS	'
s	NN	S
skull	NN	skull
,	,	,
do	VBP	do
you	PP	you
?	SENT	?
"	``	"
they	PP	they
say	VBP	say
,	,	,
"	``	"
Go	VB	go
away	RB	away
.	SENT	.
"	''	"
So	RB	so
here	RB	here
are	VBP	be
12	CD	@card@
dinosaurs	NNS	dinosaur
.	SENT	.
And	CC	and
we	PP	we
want	VBP	want
to	TO	to
look	VB	look
at	IN	at
these	DT	these
three	CD	three
first	JJ	first
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
dinosaurs	NNS	dinosaur
that	WDT	that
are	VBP	be
called	VBN	call
Pachycephalosaurus	NP	<unknown>
.	SENT	.
And	CC	and
everybody	NN	everybody
knows	VBZ	know
that	IN	that
these	DT	these
three	CD	three
animals	NNS	animal
are	VBP	be
related	VBN	relate
.	SENT	.
And	CC	and
the	DT	the
assumption	NN	assumption
is	VBZ	be
that	IN	that
they	PP	they
'	POS	'
re	NN	re
related	VBN	relate
like	IN	like
cousins	NNS	cousin
or	CC	or
whatever	JJ	whatever
.	SENT	.
But	CC	but
no	DT	no
one	CD	one
ever	RB	ever
considered	VBN	consider
that	IN	that
they	PP	they
might	MD	might
be	VB	be
more	RBR	more
closely	RB	closely
related	VBN	relate
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
people	NNS	people
looked	VBD	look
at	IN	at
them	PP	them
and	CC	and
they	PP	they
saw	VBD	see
the	DT	the
differences	NNS	difference
.	SENT	.
And	CC	and
you	PP	you
all	RB	all
know	VBP	know
that	IN	that
if	IN	if
you	PP	you
are	VBP	be
going	VBG	go
to	TO	to
determine	VB	determine
whether	IN	whether
you	PP	you
'	POS	'
re	NN	re
related	VBN	relate
to	TO	to
your	PP$	your
brother	NN	brother
or	CC	or
your	PP$	your
sister	NN	sister
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
it	PP	it
by	IN	by
looking	VBG	look
at	IN	at
differences	NNS	difference
.	SENT	.
You	PP	you
can	MD	can
only	RB	only
determine	VB	determine
relatedness	NN	relatedness
by	IN	by
looking	VBG	look
for	IN	for
similarities	NNS	similarity
.	SENT	.
So	IN	so
people	NNS	people
were	VBD	be
looking	VBG	look
at	IN	at
these	DT	these
and	CC	and
they	PP	they
were	VBD	be
talking	VBG	talk
about	RB	about
how	WRB	how
different	JJ	different
they	PP	they
are	VBP	be
.	SENT	.
Pachycephalosaurus	NP	<unknown>
has	VBZ	have
a	DT	a
big	JJ	big
,	,	,
thick	JJ	thick
dome	NN	dome
on	IN	on
its	PP$	its
head	NN	head
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
some	DT	some
little	JJ	little
bumps	NNS	bump
on	IN	on
the	DT	the
back	NN	back
of	IN	of
its	PP$	its
head	NN	head
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
bunch	NN	bunch
of	IN	of
gnarly	JJ	gnarly
things	NNS	thing
on	IN	on
the	DT	the
end	NN	end
of	IN	of
its	PP$	its
nose	NN	nose
.	SENT	.
And	CC	and
then	RB	then
Stygimoloch	NP	Stygimoloch
,	,	,
another	DT	another
dinosaur	NN	dinosaur
from	IN	from
the	DT	the
same	JJ	same
age	NN	age
,	,	,
lived	VBN	live
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
has	VBZ	have
spikes	NNS	spike
sticking	VBG	stick
out	RP	out
the	DT	the
back	NN	back
of	IN	of
its	PP$	its
head	NN	head
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
little	JJ	little
,	,	,
tiny	JJ	tiny
dome	NN	dome
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
a	DT	a
bunch	NN	bunch
of	IN	of
gnarly	JJ	gnarly
stuff	NN	stuff
on	IN	on
its	PP$	its
nose	NN	nose
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
thing	NN	thing
called	VBN	call
Dracorex	NP	<unknown>
hogwartsia	NN	<unknown>
.	SENT	.
Guess	VB	guess
where	WRB	where
that	DT	that
came	VBD	come
from	IN	from
?	SENT	?
Dragon	NP	Dragon
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
a	DT	a
dinosaur	NN	dinosaur
that	WDT	that
has	VBZ	have
spikes	NNS	spike
sticking	VBG	stick
out	RP	out
of	IN	of
its	PP$	its
head	NN	head
,	,	,
no	DT	no
dome	NN	dome
and	CC	and
gnarly	JJ	gnarly
stuff	NN	stuff
on	IN	on
its	PP$	its
nose	NN	nose
.	SENT	.
Nobody	NN	nobody
noticed	VBD	notice
the	DT	the
gnarly	JJ	gnarly
stuff	NN	stuff
sort	NN	sort
of	IN	of
looked	VBN	look
alike	RB	alike
.	SENT	.
But	CC	but
they	PP	they
did	VBD	do
look	NN	look
at	IN	at
these	DT	these
three	CD	three
and	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
These	DT	these
are	VBP	be
three	CD	three
different	JJ	different
dinosaurs	NNS	dinosaur
,	,	,
and	CC	and
Dracorex	NP	<unknown>
is	VBZ	be
probably	RB	probably
the	DT	the
most	RBS	most
primitive	JJ	primitive
of	IN	of
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
one	CD	one
is	VBZ	be
more	RBR	more
primitive	JJ	primitive
than	IN	than
the	DT	the
other	JJ	other
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
unclear	JJ	unclear
to	TO	to
me	PP	me
how	WRB	how
they	PP	they
actually	RB	actually
sorted	VBD	sort
these	DT	these
three	CD	three
of	IN	of
them	PP	them
out	RB	out
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
line	VBP	line
them	PP	them
up	RP	up
,	,	,
if	IN	if
you	PP	you
just	RB	just
take	VBP	take
those	DT	those
three	CD	three
skulls	NNS	skull
and	CC	and
just	RB	just
line	VB	line
them	PP	them
up	RP	up
,	,	,
they	PP	they
line	VBP	line
up	RB	up
like	VB	like
this	DT	this
.	SENT	.
Dracorex	NP	<unknown>
is	VBZ	be
the	DT	the
littlest	JJS	little
one	CD	one
,	,	,
Stygimoloch	NP	Stygimoloch
is	VBZ	be
the	DT	the
middle-size	JJ	middle-size
one	CD	one
,	,	,
Pachycephalosaurus	NP	<unknown>
is	VBZ	be
the	DT	the
largest	JJS	large
one	CD	one
.	SENT	.
And	CC	and
one	PP	one
would	MD	would
think	VB	think
,	,	,
that	WDT	that
should	MD	should
give	VB	give
me	PP	me
a	DT	a
clue	NN	clue
.	SENT	.
But	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
give	VB	give
them	PP	them
a	DT	a
clue	NN	clue
.	SENT	.
Because	RB	because
,	,	,
well	RB	well
we	PP	we
know	VB	know
why	WRB	why
.	SENT	.
Scientists	NNS	scientist
like	VBP	like
to	TO	to
name	VB	name
things	NNS	thing
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
cut	VBD	cut
open	JJ	open
Dracorex	NP	<unknown>
—	:	-
I	PP	I
cut	VBD	cut
open	RP	open
our	PP$	our
Dracorex	NP	<unknown>
—	:	-
and	CC	and
look	VB	look
,	,	,
it	PP	it
was	VBD	be
spongy	JJ	spongy
inside	NN	inside
,	,	,
really	RB	really
spongy	JJ	spongy
inside	NN	inside
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
juvenile	JJ	juvenile
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
growing	VBG	grow
really	RB	really
fast	RB	fast
.	SENT	.
So	RB	so
it	PP	it
is	VBZ	be
going	VBG	go
to	TO	to
get	VB	get
bigger	JJR	big
.	SENT	.
If	IN	if
you	PP	you
cut	VBD	cut
open	JJ	open
Stygimoloch	NP	Stygimoloch
,	,	,
it	PP	it
is	VBZ	be
