Hi	NP	Hi
.	SENT	.
And	CC	and
because	IN	because
males	NNS	male
are	VBP	be
larger	JJR	large
than	IN	than
females	NNS	female
when	WRB	when
they	PP	they
fight	VBP	fight
for	IN	for
mates	NNS	mate
.	SENT	.
And	CC	and
the	DT	the
fossil	JJ	fossil
record	NN	record
indicates	VBZ	indicate
that	IN	that
our	PP$	our
male	JJ	male
ancestors	NNS	ancestor
were	VBD	be
larger	JJR	large
than	IN	than
females	NNS	female
.	SENT	.
So	IN	so
males	NNS	male
tend	VBP	tend
to	TO	to
be	VB	be
larger	JJR	large
,	,	,
more	RBR	more
muscular	JJ	muscular
,	,	,
stronger	JJR	strong
,	,	,
more	RBR	more
physically	RB	physically
aggressive	JJ	aggressive
,	,	,
when	WRB	when
they	PP	they
fight	VBP	fight
for	IN	for
mates	NNS	mate
.	SENT	.
Our	PP$	our
species	NN	species
has	VBZ	have
all	PDT	all
the	DT	the
hallmarks	NNS	hallmark
of	IN	of
a	DT	a
species	NN	species
that	RB	that
'	POS	'
s	NN	S
experienced	VBD	experience
an	DT	an
evolutionary	JJ	evolutionary
history	NN	history
of	IN	of
male	JJ	male
fighting	NN	fighting
for	IN	for
mates	NNS	mate
.	SENT	.
For	IN	for
example	NN	example
,	,	,
men	NNS	man
have	VBP	have
,	,	,
on	IN	on
average	NN	average
,	,	,
60	CD	@card@
percent	NN	percent
more	JJR	more
muscle	NN	muscle
mass	NN	mass
,	,	,
and	CC	and
75	CD	@card@
percent	NN	percent
more	JJR	more
upper	JJ	upper
body	NN	body
muscle	NN	muscle
mass	NN	mass
,	,	,
and	CC	and
those	DT	those
differences	NNS	difference
in	IN	in
musculature	NN	musculature
translate	VBP	translate
into	IN	into
large	JJ	large
sex	NN	sex
differences	NNS	difference
in	IN	in
strength	NN	strength
.	SENT	.
The	DT	the
average	JJ	average
man	NN	man
is	VBZ	be
stronger	JJR	strong
than	IN	than
99	CD	@card@
.	SENT	.
9	CD	@card@
%	NN	%
of	IN	of
women	NNS	woman
.	SENT	.
These	DT	these
are	VBP	be
data	NNS	datum
on	IN	on
hand	NN	hand
strength	NN	strength
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
good	JJ	good
predictor	NN	predictor
of	IN	of
overall	JJ	overall
upper	JJ	upper
body	NN	body
strength	NN	strength
,	,	,
on	IN	on
over	IN	over
600	CD	@card@
men	NNS	man
and	CC	and
women	NNS	woman
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
large	JJ	large
sex	NN	sex
difference	NN	difference
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
not	RB	not
one	CD	one
of	IN	of
almost	RB	almost
400	CD	@card@
women	NNS	woman
had	VBD	have
as	RB	as
strong	JJ	strong
of	IN	of
a	DT	a
hand	NN	hand
strength	NN	strength
as	IN	as
the	DT	the
average	JJ	average
man	NN	man
.	SENT	.
So	RB	so
,	,	,
men	NNS	man
can	MD	can
open	VB	open
jars	NNS	jar
.	SENT	.
And	CC	and
move	NN	move
furniture	NN	furniture
or	CC	or
at	IN	at
least	JJS	least
two	CD	two
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
good	JJ	good
for	IN	for
.	SENT	.
Who	WP	who
cares	VBZ	care
,	,	,
right	RB	right
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
that	IN	that
men	NNS	man
care	VBP	care
.	SENT	.
Men	NNS	man
,	,	,
especially	RB	especially
young	JJ	young
men	NNS	man
,	,	,
seem	VBP	seem
really	RB	really
concerned	JJ	concerned
about	IN	about
figuring	VBG	figure
out	RP	out
who	WP	who
'	POS	'
s	NN	S
the	DT	the
toughest	JJS	tough
or	CC	or
strongest	JJS	strong
,	,	,
or	CC	or
the	DT	the
most	RBS	most
physically	RB	physically
formidable	JJ	formidable
,	,	,
and	CC	and
sometimes	RB	sometimes
they	PP	they
devise	VBP	devise
elaborate	JJ	elaborate
ways	NNS	way
for	IN	for
determining	VBG	determine
this	DT	this
.	SENT	.
From	IN	from
early	JJ	early
development	NN	development
,	,	,
boys	NNS	boy
and	CC	and
men	NNS	man
are	VBP	be
more	RBR	more
physically	RB	physically
aggressive	JJ	aggressive
than	IN	than
girls	NNS	girl
and	CC	and
women	NNS	woman
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
and	CC	and
this	DT	this
aggression	NN	aggression
sometimes	RB	sometimes
results	VBZ	result
in	IN	in
violence	NN	violence
.	SENT	.
Men	NNS	man
have	VBP	have
a	DT	a
virtual	JJ	virtual
monopoly	NN	monopoly
on	IN	on
same-sex	NN	<unknown>
homicides	NNS	homicide
.	SENT	.
In	IN	in
other	JJ	other
words	NNS	word
,	,	,
men	NNS	man
are	VBP	be
vastly	RB	vastly
more	RBR	more
likely	JJ	likely
to	TO	to
kill	VB	kill
each	DT	each
other	JJ	other
than	IN	than
women	NNS	woman
are	VBP	be
to	TO	to
kill	VB	kill
each	DT	each
other	JJ	other
.	SENT	.
These	DT	these
are	VBP	be
data	NNS	datum
from	IN	from
every	DT	every
society	NN	society
from	IN	from
every	DT	every
time	NN	time
period	NN	period
in	IN	in
history	NN	history
for	IN	for
which	WDT	which
data	NNS	datum
were	VBD	be
available	JJ	available
when	WRB	when
the	DT	the
authors	NNS	author
compiled	VBD	compile
them	PP	them
,	,	,
on	IN	on
proportion	NN	proportion
of	IN	of
same-sex	NN	<unknown>
homicides	NNS	homicide
that	WDT	that
are	VBP	be
male	JJ	male
killing	VBG	kill
male	NN	male
.	SENT	.
And	CC	and
as	IN	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
the	DT	the
percentage	NN	percentage
is	VBZ	be
always	RB	always
close	JJ	close
to	TO	to
100	CD	@card@
%	NN	%
.	SENT	.
On	IN	on
average	NN	average
,	,	,
95	CD	@card@
%	NN	%
of	IN	of
same-sex	NN	<unknown>
homicides	NNS	homicide
are	VBP	be
committed	VBN	commit
by	IN	by
males	NNS	male
,	,	,
and	CC	and
importantly	RB	importantly
,	,	,
these	DT	these
don	NN	don
'	POS	'
t	NN	t
include	VBP	include
war	NN	war
killings	NNS	killing
,	,	,
which	WDT	which
would	MD	would
bring	VB	bring
the	DT	the
percentages	NNS	percentage
even	RB	even
closer	RBR	closer
to	TO	to
100	CD	@card@
%	NN	%
.	SENT	.
And	CC	and
from	IN	from
what	WP	what
evidence	NN	evidence
that	IN	that
we	PP	we
have	VBP	have
,	,	,
a	DT	a
dominance	NN	dominance
among	IN	among
men	NNS	man
translates	VBZ	translate
into	IN	into
mating	NN	mating
and	CC	and
reproductive	JJ	reproductive
opportunities	NNS	opportunity
.	SENT	.
So	IN	so
we	PP	we
'	''	'
re	IN	re
a	DT	a
species	NN	species
that	RB	that
'	POS	'
s	NN	S
experienced	VBD	experience
an	DT	an
evolutionary	JJ	evolutionary
history	NN	history
in	IN	in
which	WDT	which
our	PP$	our
male	JJ	male
ancestors	NNS	ancestor
won	VBD	win
mating	VBG	mate
opportunities	NNS	opportunity
through	IN	through
the	DT	the
use	NN	use
or	CC	or
threat	NN	threat
of	IN	of
force	NN	force
.	SENT	.
In	IN	in
that	DT	that
regard	NN	regard
,	,	,
our	PP$	our
apple	NN	apple
has	VBZ	have
not	RB	not
fallen	VBN	fall
far	RB	far
from	IN	from
the	DT	the
evolutionary	JJ	evolutionary
tree	NN	tree
.	SENT	.
But	CC	but
in	IN	in
other	JJ	other
ways	NNS	way
,	,	,
human	JJ	human
mating	NN	mating
and	CC	and
reproduction	NN	reproduction
are	VBP	be
profoundly	RB	profoundly
different	JJ	different
from	IN	from
what	WP	what
we	PP	we
see	VBP	see
in	IN	in
our	PP$	our
close	JJ	close
relatives	NNS	relative
,	,	,
and	CC	and
they	PP	they
'	POS	'
ve	NN	ve
changed	VBD	change
a	DT	a
lot	NN	lot
since	IN	since
our	PP$	our
early	JJ	early
ancestors	NNS	ancestor
.	SENT	.
For	IN	for
example	NN	example
,	,	,
males	NNS	male
in	IN	in
chimpanzees	NNS	chimpanzee
,	,	,
orangutans	NNS	orangutan
and	CC	and
gorillas	NNS	gorilla
,	,	,
spend	VB	spend
time	NN	time
and	CC	and
effort	NN	effort
competing	VBG	compete
for	IN	for
mates	NNS	mate
,	,	,
but	CC	but
don	NN	don
'	POS	'
t	NN	t
spend	VBP	spend
much	JJ	much
time	NN	time
with	IN	with
individual	JJ	individual
females	NNS	female
and	CC	and
don	NN	don
'	POS	'
t	NN	t
provide	VB	provide
resources	NNS	resource
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
provide	VB	provide
food	NN	food
for	IN	for
their	PP$	their
offspring	NN	offspring
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
change	NN	change
.	SENT	.
Although	IN	although
most	JJS	most
human	JJ	human
societies	NNS	society
allow	VBP	allow
polygamous	JJ	polygamous
marriage	NN	marriage
,	,	,
that	WDT	that
is	VBZ	be
one	CD	one
man	NN	man
married	VBN	marry
to	TO	to
more	JJR	more
than	IN	than
one	CD	one
woman	NN	woman
,	,	,
even	RB	even
within	IN	within
polygamous	JJ	polygamous
societies	NNS	society
,	,	,
most	JJS	most
marriages	NNS	marriage
are	VBP	be
monogamous	JJ	monogamous
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
average	JJ	average
hunter-gatherer	NN	hunter-gatherer
society	NN	society
,	,	,
almost	RB	almost
80	CD	@card@
%	NN	%
of	IN	of
married	JJ	married
women	NNS	woman
are	VBP	be
monogamous	JJ	monogamous
,	,	,
so	RB	so
that	RB	that
'	''	'
s	NNS	<unknown>
different	JJ	different
.	SENT	.
And	CC	and
,	,	,
importantly	RB	importantly
,	,	,
men	NNS	man
provide	VBP	provide
resources	NNS	resource
for	IN	for
their	PP$	their
mates	NNS	mate
and	CC	and
offspring	NNS	offspring
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
we	PP	we
get	VBP	get
there	RB	there
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
species	NNS	specie
where	WRB	where
males	NNS	male
fight	VB	fight
each	DT	each
other	JJ	other
for	IN	for
mates	NNS	mate
,	,	,
dominant	JJ	dominant
males	NNS	male
indicated	VBN	indicate
by	IN	by
the	DT	the
larger	JJR	large
,	,	,
darker	JJR	dark
male	JJ	male
symbols	NNS	symbol
here	RB	here
,	,	,
tend	VBP	tend
to	TO	to
have	VB	have
more	JJR	more
mating	NN	mating
opportunities	NNS	opportunity
,	,	,
and	CC	and
hence	RB	hence
more	JJR	more
offspring	NN	offspring
.	SENT	.
And	CC	and
subordinate	JJ	subordinate
males	NNS	male
tend	VBP	tend
to	TO	to
have	VB	have
fewer	JJR	few
mating	NN	mating
opportunities	NNS	opportunity
and	CC	and
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
fail	VB	fail
to	TO	to
reproduce	VB	reproduce
.	SENT	.
So	IN	so
this	DT	this
sets	NNS	set
up	IN	up
an	DT	an
interesting	JJ	interesting
situation	NN	situation
,	,	,
because	IN	because
for	IN	for
subordinate	JJ	subordinate
males	NNS	male
,	,	,
it	PP	it
would	MD	would
be	VB	be
advantageous	JJ	advantageous
to	TO	to
attempt	VB	attempt
monogamy	NN	monogamy
rather	RB	rather
than	IN	than
winning	VBG	win
lots	NNS	lot
of	IN	of
mating	VBG	mate
opportunities	NNS	opportunity
.	SENT	.
One	CD	one
mate	NN	mate
is	VBZ	be
better	JJR	good
than	IN	than
none	NN	none
.	SENT	.
The	DT	the
problem	NN	problem
is	VBZ	be
that	IN	that
in	IN	in
general	JJ	general
,	,	,
subordinate	JJ	subordinate
males	NNS	male
cannot	MD	can
defend	VB	defend
females	NNS	female
from	IN	from
dominant	JJ	dominant
males	NNS	male
,	,	,
and	CC	and
besides	RB	besides
,	,	,
females	NNS	female
tend	VBP	tend
to	TO	to
prefer	VB	prefer
mating	NN	mating
with	IN	with
dominant	JJ	dominant
males	NNS	male
for	IN	for
the	DT	the
genetic	JJ	genetic
benefits	NNS	benefit
,	,	,
producing	VBG	produce
stronger	JJR	strong
,	,	,
healthier	JJR	healthy
offspring	NNS	offspring
.	SENT	.
So	RB	so
what	WP	what
changed	VBD	change
all	DT	all
of	IN	of
this	DT	this
was	VBD	be
probably	RB	probably
several	JJ	several
transitions	NNS	transition
happening	VBG	happen
together	RB	together
around	IN	around
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
By	IN	by
about	RB	about
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
had	VBD	have
started	VBN	start
to	TO	to
incorporate	VB	incorporate
more	JJR	more
meat	NN	meat
into	IN	into
our	PP$	our
diet	NN	diet
.	SENT	.
We	PP	we
know	VBP	know
this	DT	this
from	IN	from
various	JJ	various
lines	NNS	line
of	IN	of
evidence	NN	evidence
,	,	,
including	VBG	include
-	NN	<unknown>
this	DT	this
is	VBZ	be
cool	JJ	cool
-	NN	<unknown>
stone	NN	stone
tool	NN	tool
cut	VBD	cut
marks	NNS	mark
on	IN	on
animal	JJ	animal
bones	NNS	bone
dated	VBN	date
to	TO	to
2	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
cool	NN	cool
.	SENT	.
I	PP	I
love	VBP	love
this	DT	this
stuff	NN	stuff
!	SENT	!
And	CC	and
then	RB	then
by	IN	by
about	RB	about
2	CD	@card@
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
brain	NN	brain
size	NN	size
really	RB	really
started	VBD	start
to	TO	to
increase	VB	increase
,	,	,
and	CC	and
with	IN	with
that	WDT	that
came	VBD	come
a	DT	a
lengthening	VBG	lengthen
of	IN	of
the	DT	the
juvenile	JJ	juvenile
period	NN	period
,	,	,
so	RB	so
now	RB	now
kids	NNS	kid
became	VBD	become
both	DT	both
really	RB	really
costly	JJ	costly
and	CC	and
costly	JJ	costly
for	IN	for
a	DT	a
long	JJ	long
period	NN	period
of	IN	of
time	NN	time
.	SENT	.
And	CC	and
this	DT	this
made	VBN	make
male	NN	male
provisioning	VBG	provision
both	DT	both
possible	JJ	possible
and	CC	and
necessary	JJ	necessary
.	SENT	.
Possible	JJ	possible
because	IN	because
it	PP	it
'	POS	'
s	NN	S
much	RB	much
easier	JJR	easy
to	TO	to
bring	VB	bring
back	JJ	back
calories	NNS	calorie
,	,	,
protein	NN	protein
,	,	,
fats	NNS	fat
,	,	,
in	IN	in
the	DT	the
form	NN	form
of	IN	of
meat	NN	meat
than	IN	than
trying	VBG	try
to	TO	to
do	VB	do
that	IN	that
by	IN	by
transporting	VBG	transport
plant	NN	plant
foods	NNS	food
,	,	,
and	CC	and
necessary	JJ	necessary
because	IN	because
kids	NNS	kid
became	VBD	become
so	RB	so
energetically	RB	energetically
costly	JJ	costly
that	IN	that
individual	JJ	individual
females	NNS	female
would	MD	would
have	VB	have
had	VBN	have
trouble	NN	trouble
providing	VBG	provide
resources	NNS	resource
for	IN	for
themselves	PP	themselves
and	CC	and
their	PP$	their
offspring	NN	offspring
.	SENT	.
And	CC	and
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
modern	JJ	modern
hunter-gatherer	NN	hunter-gatherer
societies	NNS	society
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
see	VBP	see
.	SENT	.
These	DT	these
are	VBP	be
aggregate	JJ	aggregate
data	NNS	datum
across	IN	across
several	JJ	several
hunter-gatherer	NN	hunter-gatherer
societies	NNS	society
on	IN	on
net	JJ	net
daily	JJ	daily
calories	NNS	calorie
.	SENT	.
Are	VBP	be
you	PP	you
bringing	VBG	bring
in	IN	in
more	JJR	more
calories	NNS	calorie
than	IN	than
you	PP	you
consume	VBP	consume
,	,	,
through	IN	through
foraging	VBG	forage
,	,	,
or	CC	or
are	VBP	be
you	PP	you
consuming	VBG	consume
more	JJR	more
than	IN	than
you	PP	you
bring	VBP	bring
in	IN	in
?	SENT	?
And	CC	and
the	DT	the
green	JJ	green
bars	NNS	bar
are	VBP	be
net	JJ	net
daily	JJ	daily
caloric	JJ	caloric
surplus	NN	surplus
,	,	,
in	IN	in
other	JJ	other
words	NNS	word
,	,	,
bringing	VBG	bring
in	IN	in
more	JJR	more
than	IN	than
you	PP	you
consume	VBP	consume
.	SENT	.
And	CC	and
the	DT	the
red	JJ	red
bars	NNS	bar
are	VBP	be
a	DT	a
deficit	NN	deficit
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
consuming	NN	consuming
more	JJR	more
than	IN	than
you	PP	you
bring	VBP	bring
in	IN	in
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
notice	VBP	notice
that	IN	that
men	NNS	man
from	IN	from
about	RB	about
20	CD	@card@
years	NNS	year
of	IN	of
age	NN	age
to	TO	to
60	CD	@card@
years	NNS	year
of	IN	of
age	NN	age
are	VBP	be
operating	VBG	operate
at	IN	at
a	DT	a
daily	JJ	daily
caloric	JJ	caloric
surplus	NN	surplus
.	SENT	.
They	PP	they
bring	VBP	bring
in	IN	in
,	,	,
generally	RB	generally
through	IN	through
hunting	NN	hunting
,	,	,
more	JJR	more
calories	NNS	calorie
than	IN	than
they	PP	they
can	MD	can
consume	VB	consume
,	,	,
and	CC	and
these	DT	these
calories	NNS	calorie
are	VBP	be
distributed	VBN	distribute
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	JJ	<unknown>
large	JJ	large
game	NN	game
,	,	,
it	PP	it
'	POS	'
s	NN	S
generally	RB	generally
distributed	VBN	distribute
equally	RB	equally
to	TO	to
everybody	NN	everybody
in	IN	in
the	DT	the
village	NN	village
or	CC	or
camp	NN	camp
.	SENT	.
Smaller	JJR	small
items	NNS	item
can	MD	can
be	VB	be
brought	VBN	bring
back	RB	back
to	TO	to
individual	JJ	individual
family	NN	family
,	,	,
but	CC	but
this	DT	this
contrasts	VBZ	contrast
with	IN	with
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
with	IN	with
women	NNS	woman
,	,	,
in	IN	in
their	PP$	their
reproductive	JJ	reproductive
years	NNS	year
,	,	,
they	PP	they
'	POS	'
re	NN	re
operating	VBG	operate
at	IN	at
a	DT	a
daily	JJ	daily
caloric	JJ	caloric
deficit	NN	deficit
.	SENT	.
Gestation	NN	gestation
,	,	,
lactation	NN	lactation
,	,	,
carrying	VBG	carry
babies	NNS	baby
,	,	,
are	VBP	be
extremely	RB	extremely
costly	JJ	costly
energetically	RB	energetically
and	CC	and
limit	VB	limit
one	CD	one
'	POS	'
s	JJ	<unknown>
ability	NN	ability
to	TO	to
forage	VB	forage
efficiently	RB	efficiently
.	SENT	.
So	RB	so
male	JJ	male
provisioning	VBG	provision
,	,	,
both	CC	both
possible	JJ	possible
through	IN	through
hunting	NN	hunting
,	,	,
and	CC	and
necessary	JJ	necessary
.	SENT	.
And	CC	and
this	DT	this
change	NN	change
had	VBD	have
profound	JJ	profound
impacts	NNS	impact
on	IN	on
human	JJ	human
mating	NN	mating
and	CC	and
reproduction	NN	reproduction
.	SENT	.
In	IN	in
a	DT	a
sense	NN	sense
,	,	,
it	PP	it
tipped	VBD	tip
the	DT	the
balance	NN	balance
for	IN	for
females	NNS	female
.	SENT	.
So	RB	so
now	RB	now
it	PP	it
was	VBD	be
sometimes	RB	sometimes
worth	JJ	worth
mating	NN	mating
with	IN	with
a	DT	a
subordinate	JJ	subordinate
male	NN	male
,	,	,
even	RB	even
if	IN	if
he	PP	he
may	MD	may
not	RB	not
possess	VB	possess
the	DT	the
best	JJS	good
genes	NNS	gene
,	,	,
if	IN	if
he	PP	he
provided	VBD	provide
resources	NNS	resource
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
baboon	NN	baboon
pornography	NN	pornography
.	SENT	.
I	PP	I
probably	RB	probably
should	MD	should
have	VB	have
warned	VBN	warn
you	PP	you
there	EX	there
'	''	'
d	SYM	d
be	VB	be
monkey	NN	monkey
porn	NN	porn
.	SENT	.
This	DT	this
is	VBZ	be
from	IN	from
PlayBaboon	NP	<unknown>
Magazine	NP	Magazine
.	SENT	.
Alright	RB	alright
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
stop	VB	stop
with	IN	with
the	DT	the
jokes	NNS	joke
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
female	JJ	female
baboon	NN	baboon
in	IN	in
estrus	NN	estrus
,	,	,
so	RB	so
her	PP$	her
genitals	NN	genitals
are	VBP	be
swollen	VBN	swell
,	,	,
and	CC	and
this	DT	this
happens	VBZ	happen
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
primate	NN	primate
species	NNS	specie
.	SENT	.
Females	NPS	Females
'	POS	'
appearance	NN	appearance
changes	NNS	change
over	IN	over
the	DT	the
cycle	NN	cycle
,	,	,
and	CC	and
becomes	VBZ	become
more	RBR	more
attractive	JJ	attractive
and	CC	and
this	DT	this
incites	VBZ	incite
male	JJ	male
competition	NN	competition
for	IN	for
females	NNS	female
during	IN	during
the	DT	the
fertile	JJ	fertile
part	NN	part
of	IN	of
the	DT	the
cycle	NN	cycle
,	,	,
with	IN	with
dominant	JJ	dominant
males	NNS	male
tending	VBG	tend
to	TO	to
monopolize	VB	monopolize
copulations	NNS	copulation
,	,	,
closer	JJR	close
to	TO	to
ovulation	NN	ovulation
.	SENT	.
Well	UH	well
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
look	NN	look
like	IN	like
this	DT	this
.	SENT	.
And	CC	and
you	PP	you
knew	VBD	know
that	RB	that
.	SENT	.
But	CC	but
what	WP	what
you	PP	you
