Over	IN	over
about	IN	about
lithotripsy	NN	lithotripsy
—	:	-
breaking	VBG	break
kidney	NN	kidney
stones	NNS	stone
.	SENT	.
But	CC	but
ultrasound	NN	ultrasound
can	MD	can
be	VB	be
shaped	VBN	shape
to	TO	to
be	VB	be
anything	NN	anything
in	IN	in
between	IN	between
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
mechanical	JJ	mechanical
force	NN	force
.	SENT	.
Basically	RB	basically
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
force	NN	force
acting	VBG	act
on	IN	on
a	DT	a
tissue	NN	tissue
that	IN	that
it	PP	it
transverses	NNS	transverse
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
change	VB	change
the	DT	the
intensity	NN	intensity
,	,	,
the	DT	the
frequency	NN	frequency
,	,	,
the	DT	the
duration	NN	duration
,	,	,
the	DT	the
pulse	NN	pulse
shape	NN	shape
of	IN	of
the	DT	the
ultrasound	NN	ultrasound
to	TO	to
create	VB	create
anything	NN	anything
from	IN	from
an	DT	an
airbrush	NN	airbrush
to	TO	to
a	DT	a
hammer	NN	hammer
.	SENT	.
And	CC	and
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
multiple	JJ	multiple
applications	NNS	application
in	IN	in
the	DT	the
medical	JJ	medical
field	NN	field
that	WDT	that
can	MD	can
be	VB	be
enabled	VBN	enable
just	RB	just
by	IN	by
focusing	VBG	focus
,	,	,
physically	RB	physically
focusing	VBG	focus
.	SENT	.
So	IN	so
this	DT	this
idea	NN	idea
of	IN	of
harnessing	VBG	harness
focused	VBN	focus
ultrasound	NN	ultrasound
to	TO	to
treat	VB	treat
lesions	NNS	lesion
in	IN	in
the	DT	the
brain	NN	brain
is	VBZ	be
not	RB	not
new	JJ	new
at	IN	at
all	DT	all
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
born	VBN	bear
,	,	,
this	DT	this
idea	NN	idea
was	VBD	be
already	RB	already
conceived	VBN	conceive
by	IN	by
pioneers	NNS	pioneer
such	JJ	such
as	IN	as
the	DT	the
Fry	NP	Fry
brothers	NNS	brother
and	CC	and
Lars	NP	Lars
Leksell	NP	<unknown>
,	,	,
who	WP	who
is	VBZ	be
know	VB	know
actually	RB	actually
as	IN	as
the	DT	the
inventor	NN	inventor
of	IN	of
the	DT	the
gammaknife	NN	gammaknife
.	SENT	.
But	CC	but
you	PP	you
may	MD	may
not	RB	not
know	VB	know
that	IN	that
he	PP	he
tried	VBD	try
to	TO	to
perform	VB	perform
lobotomies	NNS	lobotomy
in	IN	in
the	DT	the
brain	NN	brain
,	,	,
noninvasively	RB	<unknown>
,	,	,
with	IN	with
focused	VBN	focus
ultrasound	NN	ultrasound
in	IN	in
the	DT	the
'	''	'
50s	NN	50s
.	SENT	.
He	PP	he
failed	VBD	fail
,	,	,
so	RB	so
he	PP	he
then	RB	then
invented	VBD	invent
the	DT	the
gammaknife	NN	gammaknife
.	SENT	.
And	CC	and
it	PP	it
makes	VBZ	make
you	PP	you
ponder	VB	ponder
why	WRB	why
those	DT	those
pioneers	NNS	pioneer
failed	VBD	fail
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
something	NN	something
fundamental	JJ	fundamental
that	IN	that
they	PP	they
were	VBD	be
missing	VBG	miss
.	SENT	.
They	PP	they
were	VBD	be
missing	VBG	miss
the	DT	the
vision	NN	vision
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
the	DT	the
invention	NN	invention
of	IN	of
the	DT	the
MR	NP	Mr
and	CC	and
really	RB	really
the	DT	the
integration	NN	integration
of	IN	of
MR	NP	Mr
with	IN	with
focused	JJ	focused
ultrasound	NN	ultrasound
that	IN	that
we	PP	we
could	MD	could
get	VB	get
the	DT	the
feedback	NN	feedback
—	:	-
both	CC	both
the	DT	the
anatomical	JJ	anatomical
and	CC	and
the	DT	the
physiological	JJ	physiological
in	IN	in
order	NN	order
to	TO	to
have	VB	have
a	DT	a
completely	RB	completely
noninvasive	JJ	noninvasive
,	,	,
closed-loop	JJ	<unknown>
surgical	JJ	surgical
procedure	NN	procedure
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
looks	VBZ	look
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
operating	VBG	operate
room	NN	room
of	IN	of
the	DT	the
future	JJ	future
today	NN	today
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
MR	NP	Mr
suite	NN	suite
with	IN	with
a	DT	a
focused	VBN	focus
ultrasound	NN	ultrasound
system	NN	system
.	SENT	.
And	CC	and
I	PP	I
will	MD	will
give	VB	give
you	PP	you
several	JJ	several
examples	NNS	example
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
one	CD	one
is	VBZ	be
in	IN	in
the	DT	the
brain	NN	brain
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
neurological	JJ	neurological
conditions	NNS	condition
that	WDT	that
can	MD	can
be	VB	be
treated	VBN	treat
with	IN	with
focused	JJ	focused
ultrasound	NN	ultrasound
are	VBP	be
movement	NN	movement
disorders	NNS	disorder
,	,	,
like	IN	like
Parkinson	NP	Parkinson
'	POS	'
s	NN	S
or	CC	or
essential	JJ	essential
tremor	NN	tremor
.	SENT	.
What	WP	what
is	VBZ	be
typical	JJ	typical
to	TO	to
those	DT	those
conditions	NNS	condition
,	,	,
to	TO	to
essential	JJ	essential
tremor	NN	tremor
for	IN	for
example	NN	example
,	,	,
is	VBZ	be
inability	NN	inability
to	TO	to
drink	VB	drink
or	CC	or
eat	VB	eat
cereal	NN	cereal
or	CC	or
soup	NN	soup
without	IN	without
spilling	VBG	spill
everything	NN	everything
all	RB	all
over	IN	over
you	PP	you
,	,	,
or	CC	or
write	VB	write
legibly	RB	legibly
so	IN	so
people	NNS	people
can	MD	can
understand	VB	understand
it	PP	it
,	,	,
and	CC	and
be	VB	be
really	RB	really
independent	JJ	independent
in	IN	in
your	PP$	your
life	NN	life
without	IN	without
the	DT	the
help	NN	help
of	IN	of
others	NNS	other
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
d	NN	d
like	IN	like
you	PP	you
to	TO	to
meet	VB	meet
John	NP	John
.	SENT	.
John	NP	John
is	VBZ	be
a	DT	a
retired	VBN	retire
professor	NN	professor
of	IN	of
history	NN	history
from	IN	from
Virginia	NP	Virginia
.	SENT	.
So	RB	so
he	PP	he
suffered	VBD	suffer
from	IN	from
essential	JJ	essential
tremor	NN	tremor
for	IN	for
many	JJ	many
years	NNS	year
.	SENT	.
And	CC	and
medication	NN	medication
didn	NN	<unknown>
'	POS	'
t	NN	t
help	VB	help
him	PP	him
anymore	RB	anymore
.	SENT	.
And	CC	and
many	JJ	many
of	IN	of
those	DT	those
patients	NNS	patient
refused	VBD	refuse
to	TO	to
undergo	VB	undergo
surgery	NN	surgery
to	TO	to
have	VB	have
people	NNS	people
cut	VBN	cut
into	IN	into
their	PP$	their
brain	NN	brain
.	SENT	.
And	CC	and
about	IN	about
four	CD	four
or	CC	or
five	CD	five
months	NNS	month
ago	RB	ago
,	,	,
he	PP	he
underwent	VBD	undergo
an	DT	an
experimental	JJ	experimental
procedure	NN	procedure
.	SENT	.
It	PP	it
is	VBZ	be
approved	VBN	approve
under	IN	under
an	DT	an
FDAIDE	NP	<unknown>
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Virginia	NP	Virginia
in	IN	in
Charlottesville	NP	Charlottesville
using	VBG	use
focused	VBN	focus
ultrasound	NN	ultrasound
to	TO	to
ablate	VB	ablate
a	DT	a
point	NN	point
in	IN	in
his	PP$	his
thalamus	NN	thalamus
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
his	PP$	his
handwriting	NN	handwriting
.	SENT	.
"	''	"
On	IN	on
June	NP	June
20th	JJ	20th
,	,	,
"	''	"
if	IN	if
you	PP	you
can	MD	can
read	VB	read
it	PP	it
,	,	,
"	''	"
2011	CD	@card@
.	SENT	.
"	``	"
This	DT	this
is	VBZ	be
his	PP$	his
handwriting	NN	handwriting
on	IN	on
the	DT	the
morning	NN	morning
of	IN	of
the	DT	the
treatment	NN	treatment
before	IN	before
going	VBG	go
into	IN	into
the	DT	the
MR	NP	Mr
So	RB	so
now	RB	now
I	NP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
you	PP	you
through	RB	through
[	SYM	[
what	WP	what
]	SYM	]
a	DT	a
typical	JJ	typical
procedure	NN	procedure
like	IN	like
that	WDT	that
looks	NNS	look
like	VBP	like
,	,	,
[	SYM	[
what	WP	what
]	SYM	]
noninvasive	JJ	noninvasive
surgery	NN	surgery
looks	VBZ	look
like	IN	like
.	SENT	.
So	RB	so
we	PP	we
put	VBD	put
the	DT	the
patient	NN	patient
on	IN	on
the	DT	the
MR	NP	Mr
table	NN	table
.	SENT	.
We	PP	we
attach	VBP	attach
a	DT	a
transducer	NN	transducer
,	,	,
in	IN	in
this	DT	this
case	NN	case
,	,	,
to	TO	to
the	DT	the
brain	NN	brain
,	,	,
but	CC	but
if	IN	if
it	PP	it
will	MD	will
be	VB	be
a	DT	a
different	JJ	different
organ	NN	organ
,	,	,
it	PP	it
will	MD	will
be	VB	be
a	DT	a
different	JJ	different
transducer	NN	transducer
attached	VBN	attach
to	TO	to
the	DT	the
patient	NN	patient
.	SENT	.
And	CC	and
the	DT	the
physician	NN	physician
will	MD	will
then	RB	then
take	VB	take
a	DT	a
regular	JJ	regular
MR	NP	Mr
scan	NN	scan
.	SENT	.
And	CC	and
the	DT	the
objective	NN	objective
of	IN	of
that	DT	that
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
a	DT	a
pointer	NN	pointer
here	RB	here
,	,	,
but	CC	but
you	PP	you
see	VBP	see
the	DT	the
green	NN	green
,	,	,
sort	NN	sort
of	IN	of
rectangle	NN	rectangle
or	CC	or
trapezoid	NN	trapezoid
?	SENT	?
This	DT	this
is	VBZ	be
the	DT	the
sort	NN	sort
of	IN	of
general	JJ	general
area	NN	area
of	IN	of
the	DT	the
treatment	NN	treatment
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
safety	NN	safety
boundary	NN	boundary
around	IN	around
the	DT	the
target	NN	target
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
target	NN	target
in	IN	in
the	DT	the
thalamus	NN	thalamus
.	SENT	.
So	RB	so
once	RB	once
those	DT	those
pictures	NNS	picture
are	VBP	be
acquired	VBN	acquire
and	CC	and
the	DT	the
physician	NN	physician
has	VBZ	have
drawn	VBN	draw
all	PDT	all
the	DT	the
necessary	JJ	necessary
safety	NN	safety
limits	NNS	limit
and	CC	and
so	RB	so
on	RB	on
,	,	,
he	PP	he
selects	VBZ	select
basically	RB	basically
a	DT	a
point	NN	point
—	:	-
you	PP	you
see	VBP	see
the	DT	the
round	NN	round
point	NN	point
in	IN	in
the	DT	the
middle	NN	middle
where	WRB	where
the	DT	the
cursor	NN	cursor
is	VBZ	be
—	:	-
and	CC	and
he	PP	he
presses	VBZ	press
this	DT	this
blue	JJ	blue
button	NN	button
called	VBN	call
"	``	"
sonicate	NN	<unknown>
.	SENT	.
"	``	"
We	PP	we
call	VBP	call
this	DT	this
instance	NN	instance
of	IN	of
injecting	VBG	inject
the	DT	the
energy	NN	energy
,	,	,
we	PP	we
call	VBP	call
it	PP	it
sonication	NN	sonication
.	SENT	.
The	DT	the
only	JJ	only
handwork	NN	handwork
the	DT	the
physician	NN	physician
does	VBZ	do
here	RB	here
is	VBZ	be
moving	VBG	move
a	DT	a
mouse	NN	mouse
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
only	JJ	only
device	NN	device
he	PP	he
needs	VBZ	need
in	IN	in
this	DT	this
treatment	NN	treatment
.	SENT	.
So	RB	so
he	PP	he
presses	VBZ	press
"	``	"
sonicate	JJ	<unknown>
,	,	,
"	''	"
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
happens	VBZ	happen
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
transducer	NN	transducer
,	,	,
the	DT	the
light	JJ	light
blue	NN	blue
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
water	NN	water
in	IN	in
between	IN	between
the	DT	the
skull	NN	skull
and	CC	and
the	DT	the
transducer	NN	transducer
.	SENT	.
And	CC	and
it	PP	it
does	VBZ	do
this	DT	this
burst	NN	burst
of	IN	of
energy	NN	energy
.	SENT	.
It	PP	it
elevates	VBZ	elevate
the	DT	the
temperature	NN	temperature
.	SENT	.
We	PP	we
first	RB	first
need	VBP	need
to	TO	to
verify	VB	verify
that	IN	that
we	PP	we
are	VBP	be
on	IN	on
target	NN	target
.	SENT	.
So	IN	so
the	DT	the
first	JJ	first
sonication	NN	sonication
is	VBZ	be
at	IN	at
lower	JJR	low
energy	NN	energy
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
any	DT	any
damage	NN	damage
,	,	,
but	CC	but
it	PP	it
elevates	VBZ	elevate
the	DT	the
temperature	NN	temperature
by	IN	by
a	DT	a
few	JJ	few
degrees	NNS	degree
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
unique	JJ	unique
capabilities	NNS	capability
that	IN	that
we	PP	we
leverage	VBP	leverage
with	IN	with
the	DT	the
MR	NP	Mr
is	VBZ	be
the	DT	the
ability	NN	ability
to	TO	to
measure	VB	measure
temperature	NN	temperature
noninvasively	NN	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
really	RB	really
a	DT	a
unique	JJ	unique
capability	NN	capability
of	IN	of
the	DT	the
MR	NP	Mr
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
being	VBG	be
used	VBN	use
in	IN	in
regular	JJ	regular
diagnostic	JJ	diagnostic
imaging	NN	imaging
.	SENT	.
But	CC	but
here	RB	here
we	PP	we
can	MD	can
get	VB	get
both	CC	both
the	DT	the
anatomical	JJ	anatomical
imaging	NN	imaging
and	CC	and
the	DT	the
temperature	NN	temperature
maps	NNS	map
in	IN	in
real	JJ	real
time	NN	time
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
see	VB	see
the	DT	the
points	NNS	point
there	RB	there
on	IN	on
the	DT	the
graph	NN	graph
.	SENT	.
The	DT	the
temperature	NN	temperature
was	VBD	be
raised	VBN	raise
to	TO	to
43	CD	@card@
degrees	NNS	degree
C	NP	C
temporarily	RB	temporarily
.	SENT	.
This	DT	this
doesn	NN	<unknown>
'	POS	'
t	NN	t
cause	VB	cause
any	DT	any
damage	NN	damage
.	SENT	.
But	CC	but
the	DT	the
point	NN	point
is	VBZ	be
we	PP	we
are	VBP	be
right	RB	right
on	IN	on
target	NN	target
.	SENT	.
So	RB	so
once	RB	once
the	DT	the
physician	NN	physician
verifies	VBZ	verify
that	IN	that
the	DT	the
focus	NN	focus
spot	NN	spot
is	VBZ	be
on	IN	on
the	DT	the
target	NN	target
he	PP	he
has	VBZ	have
chosen	VBN	choose
,	,	,
then	RB	then
we	PP	we
move	VBP	move
to	TO	to
perform	VB	perform
a	DT	a
full-energy	JJ	<unknown>
ablation	NN	ablation
like	IN	like
you	PP	you
see	VBP	see
here	RB	here
.	SENT	.
And	CC	and
you	PP	you
see	VBP	see
the	DT	the
temperature	NN	temperature
rises	VBZ	rise
to	TO	to
like	VB	like
55	CD	@card@
to	TO	to
60	CD	@card@
degrees	NNS	degree
C	NP	C
.	SENT	.
If	IN	if
you	PP	you
do	VBP	do
it	PP	it
for	IN	for
more	JJR	more
than	IN	than
a	DT	a
second	JJ	second
,	,	,
it	PP	it
'	POS	'
s	NN	S
enough	RB	enough
to	TO	to
basically	RB	basically
destroy	VB	destroy
the	DT	the
proteins	NNS	protein
of	IN	of
the	DT	the
cells	NNS	cell
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
outcome	NN	outcome
from	IN	from
a	DT	a
patient	JJ	patient
perspective	NN	perspective
—	:	-
same	JJ	same
day	NN	day
after	IN	after
the	DT	the
treatment	NN	treatment
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
immediate	JJ	immediate
relief	NN	relief
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
John	NP	John
is	VBZ	be
one	CD	one
of	IN	of
[	SYM	[
about	RB	about
]	SYM	]
a	DT	a
dozen	NN	dozen
very	RB	very
heroic	JJ	heroic
,	,	,
courageous	JJ	courageous
people	NNS	people
who	WP	who
volunteered	VBD	volunteer
for	IN	for
the	DT	the
study	NN	study
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
to	TO	to
understand	VB	understand
what	WP	what
is	VBZ	be
in	IN	in
people	NNS	people
'	POS	'
s	NN	S
mind	NN	mind
when	WRB	when
they	PP	they
are	VBP	be
willing	JJ	willing
to	TO	to
take	VB	take
the	DT	the
risk	NN	risk
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
a	DT	a
quote	NN	quote
from	IN	from
John	NP	John
after	IN	after
he	PP	he
wrote	VBD	write
it	PP	it
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Miraculous	JJ	miraculous
.	SENT	.
"	''	"
And	CC	and
his	PP$	his
wife	NN	wife
said	VBD	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
the	DT	the
happiest	JJS	happy
moment	NN	moment
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
"	``	"
And	CC	and
you	PP	you
wonder	VBP	wonder
why	WRB	why
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
one	CD	one
of	IN	of
the	DT	the
messages	NNS	message
I	PP	I
like	VBP	like
to	TO	to
carry	VB	carry
over	RP	over
is	VBZ	be
,	,	,
what	WP	what
about	IN	about
defending	VBG	defend
quality	NN	quality
of	IN	of
life	NN	life
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
those	DT	those
people	NNS	people
lose	VBP	lose
their	PP$	their
independence	NN	independence
.	SENT	.
They	PP	they
are	VBP	be
dependent	JJ	dependent
on	IN	on
others	NNS	other
.	SENT	.
And	CC	and
John	NP	John
today	NN	today
is	VBZ	be
fully	RB	fully
independent	JJ	independent
.	SENT	.
He	PP	he
returned	VBD	return
to	TO	to
a	DT	a
normal	JJ	normal
life	NN	life
routine	NN	routine
.	SENT	.
And	CC	and
he	PP	he
also	RB	also
plays	VBZ	play
golf	NN	golf
,	,	,
like	IN	like
you	PP	you
do	VBP	do
in	IN	in
Virginia	NP	Virginia
when	WRB	when
you	PP	you
are	VBP	be
retired	VBN	retire
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
you	PP	you
can	MD	can
see	VB	see
here	RB	here
the	DT	the
spot	NN	spot
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
three	CD	three
millimeters	NNS	millimeter
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
brain	NN	brain
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
damage	NN	damage
outside	NN	outside
.	SENT	.
He	PP	he
suffers	VBZ	suffer
from	IN	from
no	DT	no
neurodeficit	NN	neurodeficit
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
recovery	NN	recovery
needed	VBD	need
,	,	,
no	DT	no
nothing	NN	nothing
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
back	RB	back
to	TO	to
his	PP$	his
normal	JJ	normal
life	NN	life
.	SENT	.
Let	NP	Let
'	POS	'
s	NN	S
move	NN	move
now	RB	now
to	TO	to
a	DT	a
more	RBR	more
painful	JJ	painful
subject	NN	subject
.	SENT	.
Pain	NN	pain
is	VBZ	be
something	NN	something
that	WDT	that
can	MD	can
make	VB	make
your	PP$	your
life	NN	life
miserable	JJ	miserable
.	SENT	.
And	CC	and
people	NNS	people
are	VBP	be
suffering	VBG	suffer
from	IN	from
all	DT	all
kinds	NNS	kind
of	IN	of
pain	NN	pain
like	IN	like
neuropathic	JJ	neuropathic
pain	NN	pain
,	,	,
lower-back	NN	lower-back
pain	NN	pain
and	CC	and
cancer	NN	cancer
pain	NN	pain
from	IN	from
bone	NN	bone
metastases	NNS	metastasis
,	,	,
when	WRB	when
the	DT	the
metastases	NNS	metastasis
get	VBP	get
to	TO	to
your	PP$	your
bones	NNS	bone
,	,	,
sometimes	RB	sometimes
they	PP	they
are	VBP	be
very	RB	very
painful	JJ	painful
.	SENT	.
All	PDT	all
those	DT	those
I	NP	I
'	POS	'
ve	NN	ve
indicated	VBD	indicate
have	VBP	have
already	RB	already
been	VBN	be
shown	VBN	show
to	TO	to
be	VB	be
successfully	RB	successfully
treated	VBN	treat
by	IN	by
focused	VBN	focus
ultrasound	NN	ultrasound
relieving	VBG	relieve
the	DT	the
pain	NN	pain
,	,	,
again	RB	again
,	,	,
very	RB	very
fast	RB	fast
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
like	VB	like
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
PJ	NP	PJ
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
a	DT	a
78	CD	@card@
year-old	JJ	year-old
farmer	NN	farmer
who	WP	who
suffered	VBD	suffer
from	IN	from
—	:	-
how	WRB	how
should	MD	should
I	PP	I
say	VB	say
it	PP	it
?	SENT	?
—	:	-
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
pain	NN	pain
in	IN	in
the	DT	the
butt	NN	butt
.	SENT	.
He	PP	he
had	VBD	have
metastases	NNS	metastasis
in	IN	in
his	PP$	his
right	JJ	right
buttock	NN	buttock
,	,	,
and	CC	and
he	PP	he
couldn	NN	<unknown>
'	POS	'
t	NN	t
sit	VBP	sit
even	RB	even
with	IN	with
medication	NN	medication
.	SENT	.
He	PP	he
had	VBD	have
to	TO	to
forgo	VB	forgo
all	PDT	all
the	DT	the
farm	NN	farm
