Nine	CD	nine
graduate	JJ	graduate
school	NN	school
.	SENT	.
Robert	NP	Robert
was	VBD	be
smart	JJ	smart
,	,	,
but	CC	but
with	IN	with
each	DT	each
passing	VBG	pass
month	NN	month
,	,	,
his	PP$	his
thinking	NN	thinking
seemed	VBD	seem
to	TO	to
become	VB	become
more	RBR	more
disorganized	VBN	disorganize
.	SENT	.
He	PP	he
dropped	VBD	drop
out	RP	out
of	IN	of
school	NN	school
,	,	,
got	VBD	get
a	DT	a
job	NN	job
in	IN	in
a	DT	a
store	NN	store
.	SENT	.
.	SENT	.
.	SENT	.
But	CC	but
that	WDT	that
,	,	,
too	RB	too
,	,	,
became	VBD	become
too	RB	too
complicated	JJ	complicated
.	SENT	.
Robert	NP	Robert
became	VBD	become
fearful	JJ	fearful
and	CC	and
withdrawn	VBN	withdraw
.	SENT	.
A	DT	a
year	NN	year
and	CC	and
a	DT	a
half	NN	half
later	RBR	later
,	,	,
he	PP	he
started	VBD	start
hearing	NN	hearing
voices	NNS	voice
and	CC	and
believing	VBG	believe
that	IN	that
people	NNS	people
were	VBD	be
following	VBG	follow
him	PP	him
.	SENT	.
Doctors	NNS	doctor
diagnosed	VBD	diagnose
him	PP	him
with	IN	with
schizophrenia	NN	schizophrenia
,	,	,
and	CC	and
they	PP	they
gave	VBD	give
him	PP	him
the	DT	the
best	JJS	good
drug	NN	drug
they	PP	they
could	MD	could
.	SENT	.
That	DT	that
drug	NN	drug
makes	VBZ	make
the	DT	the
voices	NNS	voice
somewhat	RB	somewhat
quieter	JJR	quiet
,	,	,
but	CC	but
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
restore	VB	restore
his	PP$	his
bright	JJ	bright
mind	NN	mind
or	CC	or
his	PP$	his
social	JJ	social
connectedness	NN	connectedness
.	SENT	.
Robert	NP	Robert
struggled	VBD	struggle
to	TO	to
remain	VB	remain
connected	VBN	connect
to	TO	to
the	DT	the
worlds	NNS	world
of	IN	of
school	NN	school
and	CC	and
work	NN	work
and	CC	and
friends	NNS	friend
.	SENT	.
He	PP	he
drifted	VBD	drift
away	RB	away
,	,	,
and	CC	and
today	NN	today
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
where	WRB	where
to	TO	to
find	VB	find
him	PP	him
.	SENT	.
If	IN	if
he	PP	he
watches	VBZ	watch
this	DT	this
,	,	,
I	PP	I
hope	VBP	hope
he	PP	he
'	''	'
ll	NNS	<unknown>
find	VBP	find
me	PP	me
.	SENT	.
Why	WRB	why
does	VBZ	do
medicine	NN	medicine
have	VBP	have
so	RB	so
much	JJ	much
to	TO	to
offer	VB	offer
my	PP$	my
sister	NN	sister
,	,	,
and	CC	and
so	RB	so
much	RB	much
less	JJR	less
to	TO	to
offer	VB	offer
millions	NNS	million
of	IN	of
people	NNS	people
like	IN	like
Robert	NP	Robert
?	SENT	?
The	DT	the
need	NN	need
is	VBZ	be
there	RB	there
.	SENT	.
The	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
estimates	VBZ	estimate
that	IN	that
brain	NN	brain
illnesses	NNS	illness
like	IN	like
schizophrenia	NN	schizophrenia
,	,	,
bipolar	JJ	bipolar
disorder	NN	disorder
and	CC	and
major	JJ	major
depression	NN	depression
are	VBP	be
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
largest	JJS	large
cause	NN	cause
of	IN	of
lost	VBN	lose
years	NNS	year
of	IN	of
life	NN	life
and	CC	and
work	NN	work
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
in	IN	in
part	NN	part
because	IN	because
these	DT	these
illnesses	NNS	illness
often	RB	often
strike	VBP	strike
early	RB	early
in	IN	in
life	NN	life
,	,	,
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
in	IN	in
the	DT	the
prime	JJ	prime
of	IN	of
life	NN	life
,	,	,
just	RB	just
as	IN	as
people	NNS	people
are	VBP	be
finishing	VBG	finish
their	PP$	their
educations	NNS	education
,	,	,
starting	VBG	start
careers	NNS	career
,	,	,
forming	VBG	form
relationships	NNS	relationship
and	CC	and
families	NNS	family
.	SENT	.
These	DT	these
illnesses	NNS	illness
can	MD	can
result	VB	result
in	IN	in
suicide	NN	suicide
;	:	;
they	PP	they
often	RB	often
compromise	VB	compromise
one	CD	one
'	POS	'
s	JJ	<unknown>
ability	NN	ability
to	TO	to
work	VB	work
at	IN	at
one	CD	one
'	POS	'
s	JJ	<unknown>
full	JJ	full
potential	NN	potential
;	:	;
and	CC	and
they	PP	they
'	POS	'
re	NN	re
the	DT	the
cause	NN	cause
of	IN	of
so	RB	so
many	JJ	many
tragedies	NNS	tragedy
harder	JJR	hard
to	TO	to
measure	VB	measure
:	:	:
lost	VBN	lose
relationships	NNS	relationship
and	CC	and
connections	NNS	connection
,	,	,
missed	VBD	miss
opportunities	NNS	opportunity
to	TO	to
pursue	VB	pursue
dreams	NNS	dream
and	CC	and
ideas	NNS	idea
.	SENT	.
These	DT	these
illnesses	NNS	illness
limit	VBP	limit
human	JJ	human
possibilities	NNS	possibility
in	IN	in
ways	NNS	way
we	PP	we
simply	RB	simply
cannot	MD	can
measure	VB	measure
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
an	DT	an
era	NN	era
in	IN	in
which	WDT	which
there	EX	there
'	''	'
s	VBG	<unknown>
profound	JJ	profound
medical	JJ	medical
progress	NN	progress
on	IN	on
so	RB	so
many	JJ	many
other	JJ	other
fronts	NNS	front
.	SENT	.
My	PP$	my
sister	NN	sister
'	POS	'
s	JJ	<unknown>
cancer	NN	cancer
story	NN	story
is	VBZ	be
a	DT	a
great	JJ	great
example	NN	example
,	,	,
and	CC	and
we	PP	we
could	MD	could
say	VB	say
the	DT	the
same	JJ	same
of	IN	of
heart	NN	heart
disease	NN	disease
.	SENT	.
Drugs	NNS	drug
like	IN	like
statins	NNS	<unknown>
will	MD	will
prevent	VB	prevent
millions	NNS	million
of	IN	of
heart	NN	heart
attacks	NNS	attack
and	CC	and
strokes	NNS	stroke
.	SENT	.
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
these	DT	these
areas	NNS	area
of	IN	of
profound	JJ	profound
medical	JJ	medical
progress	NN	progress
in	IN	in
our	PP$	our
lifetimes	NNS	lifetime
,	,	,
they	PP	they
have	VBP	have
a	DT	a
narrative	NN	narrative
in	IN	in
common	JJ	common
:	:	:
scientists	NNS	scientist
discovered	VBD	discover
molecules	NNS	molecule
that	WDT	that
matter	VBP	matter
to	TO	to
an	DT	an
illness	NN	illness
,	,	,
they	PP	they
developed	VBD	develop
ways	NNS	way
to	TO	to
detect	VB	detect
and	CC	and
measure	VB	measure
those	DT	those
molecules	NNS	molecule
in	IN	in
the	DT	the
body	NN	body
,	,	,
and	CC	and
they	PP	they
developed	VBD	develop
ways	NNS	way
to	TO	to
interfere	VB	interfere
with	IN	with
those	DT	those
molecules	NNS	molecule
using	VBG	use
other	JJ	other
molecules	NNS	molecule
—	:	-
medicines	NNS	medicine
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
strategy	NN	strategy
that	WDT	that
has	VBZ	have
worked	VBN	work
again	RB	again
and	CC	and
again	RB	again
and	CC	and
again	RB	again
.	SENT	.
But	CC	but
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
the	DT	the
brain	NN	brain
,	,	,
that	DT	that
strategy	NN	strategy
has	VBZ	have
been	VBN	be
limited	VBN	limit
,	,	,
because	IN	because
today	NN	today
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
nearly	RB	nearly
enough	RB	enough
,	,	,
yet	RB	yet
,	,	,
about	RB	about
how	WRB	how
the	DT	the
brain	NN	brain
works	VBZ	work
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
learn	VB	learn
which	WDT	which
of	IN	of
our	PP$	our
cells	NNS	cell
matter	NN	matter
to	TO	to
each	DT	each
illness	NN	illness
,	,	,
and	CC	and
which	WDT	which
molecules	NNS	molecule
in	IN	in
those	DT	those
cells	NNS	cell
matter	NN	matter
to	TO	to
each	DT	each
illness	NN	illness
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
mission	NN	mission
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
today	NN	today
.	SENT	.
My	PP$	my
lab	NN	lab
develops	VBZ	develop
technologies	NNS	technology
with	IN	with
which	WDT	which
we	PP	we
try	VBP	try
to	TO	to
turn	VB	turn
the	DT	the
brain	NN	brain
into	IN	into
a	DT	a
big-	NN	<unknown>
data	NN	data
problem	NN	problem
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
before	IN	before
I	PP	I
became	VBD	become
a	DT	a
biologist	NN	biologist
,	,	,
I	PP	I
worked	VBD	work
in	IN	in
computers	NNS	computer
and	CC	and
math	NN	math
,	,	,
and	CC	and
I	PP	I
learned	VBD	learn
this	DT	this
lesson	NN	lesson
:	:	:
wherever	WRB	wherever
you	PP	you
can	MD	can
collect	VB	collect
vast	JJ	vast
amounts	NNS	amount
of	IN	of
the	DT	the
right	JJ	right
kinds	NNS	kind
of	IN	of
data	NNS	datum
about	IN	about
the	DT	the
functioning	NN	functioning
of	IN	of
a	DT	a
system	NN	system
,	,	,
you	PP	you
can	MD	can
use	VB	use
computers	NNS	computer
in	IN	in
powerful	JJ	powerful
new	JJ	new
ways	NNS	way
to	TO	to
make	VB	make
sense	NN	sense
of	IN	of
that	DT	that
system	NN	system
and	CC	and
learn	VB	learn
how	WRB	how
it	PP	it
works	VBZ	work
.	SENT	.
Today	NN	today
,	,	,
big-data	NN	<unknown>
approaches	NNS	approach
are	VBP	be
transforming	VBG	transform
ever-larger	JJ	ever-larger
sectors	NNS	sector
of	IN	of
our	PP$	our
economy	NN	economy
,	,	,
and	CC	and
they	PP	they
could	MD	could
do	VB	do
the	DT	the
same	JJ	same
in	IN	in
biology	NN	biology
and	CC	and
medicine	NN	medicine
,	,	,
too	RB	too
.	SENT	.
But	CC	but
you	PP	you
have	VBP	have
to	TO	to
have	VB	have
the	DT	the
right	JJ	right
kinds	NNS	kind
of	IN	of
data	NNS	datum
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
have	VB	have
data	NNS	datum
about	IN	about
the	DT	the
right	JJ	right
things	NNS	thing
.	SENT	.
And	CC	and
that	WDT	that
often	RB	often
requires	VBZ	require
new	JJ	new
technologies	NNS	technology
and	CC	and
ideas	NNS	idea
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
the	DT	the
mission	NN	mission
that	WDT	that
animates	VBZ	animate
the	DT	the
scientists	NNS	scientist
in	IN	in
my	PP$	my
lab	NN	lab
.	SENT	.
Today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
two	CD	two
short	JJ	short
stories	NNS	story
from	IN	from
our	PP$	our
work	NN	work
.	SENT	.
One	CD	one
fundamental	JJ	fundamental
obstacle	NN	obstacle
we	PP	we
face	VBP	face
in	IN	in
trying	VBG	try
to	TO	to
turn	VB	turn
the	DT	the
brain	NN	brain
into	IN	into
a	DT	a
big-data	NN	<unknown>
problem	NN	problem
is	VBZ	be
that	IN	that
our	PP$	our
brains	NNS	brain
are	VBP	be
composed	VBN	compose
of	IN	of
and	CC	and
built	VBN	build
from	IN	from
billions	NNS	billion
of	IN	of
cells	NNS	cell
.	SENT	.
And	CC	and
our	PP$	our
cells	NNS	cell
are	VBP	be
not	RB	not
generalists	NNS	generalist
;	:	;
they	PP	they
'	POS	'
re	NN	re
specialists	NNS	specialist
.	SENT	.
Like	IN	like
humans	NNS	human
at	IN	at
work	NN	work
,	,	,
they	PP	they
specialize	VBP	specialize
into	IN	into
thousands	NNS	thousand
of	IN	of
different	JJ	different
cellular	JJ	cellular
careers	NNS	career
,	,	,
or	CC	or
cell	NN	cell
types	NNS	type
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
each	DT	each
of	IN	of
the	DT	the
cell	NN	cell
types	NNS	type
in	IN	in
our	PP$	our
body	NN	body
could	MD	could
probably	RB	probably
give	VB	give
a	DT	a
lively	JJ	lively
TED	VB	ted
Talk	NN	talk
about	IN	about
what	WP	what
it	PP	it
does	VBZ	do
at	IN	at
work	NN	work
.	SENT	.
But	CC	but
as	IN	as
scientists	NNS	scientist
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
even	RB	even
know	VB	know
today	NN	today
how	WRB	how
many	JJ	many
cell	NN	cell
types	NNS	type
there	EX	there
are	VBP	be
,	,	,
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
the	DT	the
titles	NNS	title
of	IN	of
most	JJS	most
of	IN	of
those	DT	those
talks	NNS	talk
would	MD	would
be	VB	be
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
know	VBP	know
many	JJ	many
important	JJ	important
things	NNS	thing
about	IN	about
cell	NN	cell
types	NNS	type
.	SENT	.
They	PP	they
can	MD	can
differ	VB	differ
dramatically	RB	dramatically
in	IN	in
size	NN	size
and	CC	and
shape	NN	shape
.	SENT	.
One	PP	one
will	MD	will
respond	VB	respond
to	TO	to
a	DT	a
molecule	NN	molecule
that	IN	that
the	DT	the
other	JJ	other
doesn	NN	<unknown>
'	POS	'
t	NN	t
respond	VB	respond
to	TO	to
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
make	VBP	make
different	JJ	different
molecules	NNS	molecule
.	SENT	.
But	CC	but
science	NN	science
has	VBZ	have
largely	RB	largely
been	VBN	be
reaching	VBG	reach
these	DT	these
insights	NNS	insight
in	IN	in
an	DT	an
ad	FW	ad
hoc	FW	hoc
way	NN	way
,	,	,
one	CD	one
cell	NN	cell
type	NN	type
at	IN	at
a	DT	a
time	NN	time
,	,	,
one	CD	one
molecule	NN	molecule
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
We	PP	we
wanted	VBD	want
to	TO	to
make	VB	make
it	PP	it
possible	JJ	possible
to	TO	to
learn	VB	learn
all	DT	all
of	IN	of
this	DT	this
quickly	RB	quickly
and	CC	and
systematically	RB	systematically
.	SENT	.
Now	RB	now
,	,	,
until	IN	until
recently	RB	recently
,	,	,
it	PP	it
was	VBD	be
the	DT	the
case	NN	case
that	IN	that
if	IN	if
you	PP	you
wanted	VBD	want
to	TO	to
inventory	VB	inventory
all	DT	all
of	IN	of
the	DT	the
molecules	NNS	molecule
in	IN	in
a	DT	a
part	NN	part
of	IN	of
the	DT	the
brain	NN	brain
or	CC	or
any	DT	any
organ	NN	organ
,	,	,
you	PP	you
had	VBD	have
to	TO	to
first	RB	first
grind	VB	grind
it	PP	it
up	RP	up
into	IN	into
a	DT	a
kind	NN	kind
of	IN	of
cellular	JJ	cellular
smoothie	NN	smoothie
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
problem	NN	problem
.	SENT	.
As	RB	as
soon	RB	soon
as	IN	as
you	PP	you
'	POS	'
ve	JJ	<unknown>
ground	NN	ground
up	IN	up
the	DT	the
cells	NNS	cell
,	,	,
you	PP	you
can	MD	can
only	RB	only
study	VB	study
the	DT	the
contents	NNS	content
of	IN	of
the	DT	the
average	JJ	average
cell	NN	cell
—	:	-
not	RB	not
the	DT	the
individual	JJ	individual
cells	NNS	cell
.	SENT	.
Imagine	VB	imagine
if	IN	if
you	PP	you
were	VBD	be
trying	VBG	try
to	TO	to
understand	VB	understand
how	WRB	how
a	DT	a
big	JJ	big
city	NN	city
like	IN	like
New	NP	New
York	NP	York
works	VBZ	work
,	,	,
but	CC	but
you	PP	you
could	MD	could
only	RB	only
do	VB	do
so	RB	so
by	IN	by
reviewing	VBG	review
some	DT	some
statistics	NNS	statistic
about	IN	about
the	DT	the
average	JJ	average
resident	NN	resident
of	IN	of
New	NP	New
York	NP	York
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
you	PP	you
wouldn	NNS	<unknown>
'	POS	'
t	NN	t
learn	VBP	learn
very	RB	very
much	RB	much
,	,	,
because	IN	because
everything	NN	everything
that	RB	that
'	POS	'
s	JJ	<unknown>
interesting	JJ	interesting
and	CC	and
important	JJ	important
and	CC	and
exciting	JJ	exciting
is	VBZ	be
in	IN	in
all	PDT	all
the	DT	the
diversity	NN	diversity
and	CC	and
the	DT	the
specializations	NNS	specialization
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
thing	NN	thing
is	VBZ	be
true	JJ	true
of	IN	of
our	PP$	our
cells	NNS	cell
.	SENT	.
And	CC	and
we	PP	we
wanted	VBD	want
to	TO	to
make	VB	make
it	PP	it
possible	JJ	possible
to	TO	to
study	VB	study
the	DT	the
brain	NN	brain
not	RB	not
as	IN	as
a	DT	a
cellular	JJ	cellular
smoothie	NN	smoothie
but	CC	but
as	IN	as
a	DT	a
cellular	JJ	cellular
fruit	NN	fruit
salad	NN	salad
,	,	,
in	IN	in
which	WDT	which
one	CD	one
could	MD	could
generate	VB	generate
data	NNS	datum
about	RB	about
and	CC	and
learn	VB	learn
from	IN	from
each	DT	each
individual	JJ	individual
piece	NN	piece
of	IN	of
fruit	NN	fruit
.	SENT	.
So	RB	so
we	PP	we
developed	VBD	develop
a	DT	a
technology	NN	technology
for	IN	for
doing	VBG	do
that	DT	that
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
about	RB	about
to	TO	to
see	VB	see
a	DT	a
movie	NN	movie
of	IN	of
it	PP	it
.	SENT	.
Here	RB	here
we	PP	we
'	POS	'
re	NN	re
packaging	NN	packaging
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
individual	JJ	individual
cells	NNS	cell
,	,	,
each	DT	each
into	IN	into
its	PP$	its
own	JJ	own
tiny	JJ	tiny
water	NN	water
droplet	NN	droplet
for	IN	for
its	PP$	its
own	JJ	own
molecular	JJ	molecular
analysis	NN	analysis
.	SENT	.
When	WRB	when
a	DT	a
cell	NN	cell
lands	NNS	land
in	IN	in
a	DT	a
droplet	NN	droplet
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
greeted	VBN	greet
by	IN	by
a	DT	a
tiny	JJ	tiny
bead	NN	bead
,	,	,
and	CC	and
that	DT	that
bead	NN	bead
delivers	VBZ	deliver
millions	NNS	million
of	IN	of
DNA	NP	DNA
bar	NN	bar
code	NN	code
molecules	NNS	molecule
.	SENT	.
And	CC	and
each	DT	each
bead	NN	bead
delivers	VBZ	deliver
a	DT	a
different	JJ	different
bar	NN	bar
code	NN	code
sequence	NN	sequence
to	TO	to
a	DT	a
different	JJ	different
cell	NN	cell
.	SENT	.
We	PP	we
incorporate	VBP	incorporate
the	DT	the
DNA	NP	DNA
bar	NN	bar
codes	NNS	code
into	IN	into
each	DT	each
cell	NN	cell
'	POS	'
s	JJ	<unknown>
RNA	NP	RNA
molecules	NNS	molecule
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
molecular	JJ	molecular
transcripts	NNS	transcript
it	PP	it
'	POS	'
s	NNS	<unknown>
making	VBG	make
of	IN	of
the	DT	the
specific	JJ	specific
genes	NNS	gene
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
using	VBG	use
to	TO	to
do	VB	do
its	PP$	its
job	NN	job
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
sequence	NN	sequence
billions	NNS	billion
of	IN	of
these	DT	these
combined	JJ	combined
molecules	NNS	molecule
and	CC	and
use	VB	use
the	DT	the
sequences	NNS	sequence
to	TO	to
tell	VB	tell
us	PP	us
which	WDT	which
cell	NN	cell
and	CC	and
which	WDT	which
gene	NN	gene
every	DT	every
molecule	NN	molecule
came	VBD	come
from	IN	from
.	SENT	.
We	PP	we
call	VBP	call
this	DT	this
approach	NN	approach
"	``	"
Drop-seq	NP	<unknown>
,	,	,
"	``	"
because	IN	because
we	PP	we
use	VBP	use
droplets	NNS	droplet
to	TO	to
separate	VB	separate
the	DT	the
cells	NNS	cell
for	IN	for
analysis	NN	analysis
,	,	,
and	CC	and
we	PP	we
use	VBP	use
DNA	NN	DNA
sequences	NNS	sequence
to	TO	to
tag	NN	tag
and	CC	and
inventory	NN	inventory
and	CC	and
keep	VB	keep
track	NN	track
of	IN	of
everything	NN	everything
.	SENT	.
And	CC	and
now	RB	now
,	,	,
whenever	WRB	whenever
we	PP	we
do	VBP	do
an	DT	an
experiment	NN	experiment
,	,	,
we	PP	we
analyze	VBP	analyze
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
individual	JJ	individual
cells	NNS	cell
.	SENT	.
And	CC	and
today	NN	today
in	IN	in
this	DT	this
area	NN	area
of	IN	of
science	NN	science
,	,	,
the	DT	the
challenge	NN	challenge
is	VBZ	be
increasingly	RB	increasingly
how	WRB	how
to	TO	to
learn	VB	learn
as	RB	as
much	RB	much
as	IN	as
we	PP	we
can	MD	can
as	RB	as
quickly	RB	quickly
as	IN	as
we	PP	we
can	MD	can
from	IN	from
these	DT	these
vast	JJ	vast
data	NN	data
sets	NNS	set
.	SENT	.
When	WRB	when
we	PP	we
were	VBD	be
developing	VBG	develop
Drop-seq	NP	<unknown>
,	,	,
people	NNS	people
used	VBD	use
to	TO	to
tell	VB	tell
us	PP	us
,	,	,
"	``	"
Oh	UH	oh
,	,	,
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
make	VB	make
you	PP	you
guys	VBZ	guy
the	DT	the
go-to	NN	<unknown>
for	IN	for
every	DT	every
major	JJ	major
brain	NN	brain
project	NN	project
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
not	RB	not
how	WRB	how
we	PP	we
saw	VBD	see
it	PP	it
.	SENT	.
Science	NP	Science
is	VBZ	be
best	JJS	good
when	WRB	when
everyone	NN	everyone
is	VBZ	be
generating	VBG	generate
lots	NNS	lot
of	IN	of
exciting	JJ	exciting
data	NNS	datum
.	SENT	.
So	RB	so
we	PP	we
wrote	VBD	write
a	DT	a
25-page	JJ	<unknown>
instruction	NN	instruction
book	NN	book
,	,	,
with	IN	with
which	WDT	which
any	DT	any
scientist	NN	scientist
could	MD	could
build	VB	build
their	PP$	their
own	JJ	own
Drop-seq	NP	<unknown>
system	NN	system
from	IN	from
scratch	NN	scratch
.	SENT	.
And	CC	and
that	DT	that
instruction	NN	instruction
book	NN	book
has	VBZ	have
been	VBN	be
downloaded	VBN	download
from	IN	from
our	PP$	our
lab	NN	lab
website	NN	website
50	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
in	IN	in
the	DT	the
past	JJ	past
two	CD	two
years	NNS	year
.	SENT	.
We	PP	we
wrote	VBD	write
software	NN	software
that	IN	that
any	DT	any
scientist	NN	scientist
could	MD	could
use	VB	use
to	TO	to
analyze	VB	analyze
the	DT	the
data	NNS	datum
from	IN	from
Drop-seq	NP	<unknown>
experiments	NNS	experiment
,	,	,
and	CC	and
that	IN	that
software	NN	software
is	VBZ	be
also	RB	also
free	JJ	free
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
downloaded	VBN	download
from	IN	from
our	PP$	our
website	NN	website
30	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
in	IN	in
the	DT	the
past	JJ	past
two	CD	two
years	NNS	year
.	SENT	.
And	CC	and
hundreds	NNS	hundred
of	IN	of
labs	NNS	lab
have	VBP	have
written	VBN	write
us	PP	us
about	IN	about
discoveries	NNS	discovery
that	IN	that
they	PP	they
'	POS	'
ve	NN	ve
made	VBD	make
using	VBG	use
this	DT	this
approach	NN	approach
.	SENT	.
Today	NN	today
,	,	,
this	DT	this
technology	NN	technology
is	VBZ	be
being	VBG	be
used	VBN	use
to	TO	to
make	VB	make
a	DT	a
human	JJ	human
cell	NN	cell
atlas	NN	atlas
.	SENT	.
It	PP	it
will	MD	will
be	VB	be
an	DT	an
atlas	NN	atlas
of	IN	of
all	DT	all
of	IN	of
the	DT	the
cell	NN	cell
types	NNS	type
in	IN	in
the	DT	the
human	JJ	human
body	NN	body
and	CC	and
the	DT	the
specific	JJ	specific
genes	NNS	gene
that	IN	that
each	DT	each
cell	NN	cell
type	NN	type
uses	VBZ	use
to	TO	to
do	VB	do
its	PP$	its
job	NN	job
.	SENT	.
Now	RB	now
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
a	DT	a
second	JJ	second
challenge	NN	challenge
that	IN	that
we	PP	we
face	VBP	face
in	IN	in
trying	VBG	try
to	TO	to
turn	VB	turn
the	DT	the
brain	NN	brain
into	IN	into
a	DT	a
big	JJ	big
data	NN	data
problem	NN	problem
.	SENT	.
And	CC	and
that	DT	that
challenge	NN	challenge
is	VBZ	be
