OK	UH	OK
'	''	'
re	IN	re
even	RB	even
one	CD	one
month	NN	month
old	JJ	old
?	SENT	?
2	LS	2
.	SENT	.
6	CD	@card@
million	CD	million
.	SENT	.
That	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
population	NN	population
of	IN	of
Vancouver	NP	Vancouver
.	SENT	.
And	CC	and
the	DT	the
shocking	JJ	shocking
thing	NN	thing
is	VBZ	be
:	:	:
Why	WRB	why
?	SENT	?
In	IN	in
too	RB	too
many	JJ	many
cases	NNS	case
,	,	,
we	PP	we
simply	RB	simply
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
remember	VBP	remember
recently	RB	recently
seeing	VBG	see
an	DT	an
updated	VBN	update
pie	NN	pie
chart	NN	chart
.	SENT	.
And	CC	and
the	DT	the
pie	NN	pie
chart	NN	chart
was	VBD	be
labeled	VBN	label
,	,	,
"	''	"
Causes	VBZ	cause
of	IN	of
death	NN	death
in	IN	in
children	NNS	child
under	IN	under
five	CD	five
worldwide	RB	worldwide
.	SENT	.
"	``	"
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
pretty	RB	pretty
big	JJ	big
section	NN	section
of	IN	of
that	DT	that
pie	NN	pie
chart	NN	chart
,	,	,
about	RB	about
40	CD	@card@
percent	NN	percent
—	:	-
40	CD	@card@
percent	NN	percent
was	VBD	be
labeled	VBN	label
"	``	"
neonatal	JJ	neonatal
.	SENT	.
"	''	"
Now	RB	now
,	,	,
"	``	"
neonatal	JJ	neonatal
"	''	"
is	VBZ	be
not	RB	not
a	DT	a
cause	NN	cause
of	IN	of
death	NN	death
.	SENT	.
Neonatal	JJ	neonatal
is	VBZ	be
simply	RB	simply
an	DT	an
adjective	NN	adjective
,	,	,
an	DT	an
adjective	NN	adjective
that	WDT	that
means	VBZ	mean
that	IN	that
the	DT	the
child	NN	child
is	VBZ	be
less	JJR	less
than	IN	than
one	CD	one
month	NN	month
old	JJ	old
.	SENT	.
For	IN	for
me	PP	me
,	,	,
"	``	"
neonatal	JJ	neonatal
"	''	"
said	VBD	say
:	:	:
"	``	"
We	PP	we
have	VBP	have
no	DT	no
idea	NN	idea
.	SENT	.
"	''	"
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
scientist	NN	scientist
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
doctor	NN	doctor
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
fix	VB	fix
things	NNS	thing
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
'	''	'
t	NN	t
fix	VB	fix
what	WP	what
you	PP	you
can	MD	can
'	''	'
t	NN	t
define	VB	define
.	SENT	.
So	IN	so
our	PP$	our
first	JJ	first
step	NN	step
in	IN	in
restoring	VBG	restore
the	DT	the
dreams	NNS	dream
of	IN	of
those	DT	those
parents	NNS	parent
is	VBZ	be
to	TO	to
answer	VB	answer
the	DT	the
question	NN	question
:	:	:
Why	WRB	why
are	VBP	be
babies	NNS	baby
dying	VBG	die
?	SENT	?
So	IN	so
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
about	IN	about
a	DT	a
new	JJ	new
approach	NN	approach
,	,	,
an	DT	an
approach	NN	approach
that	IN	that
I	PP	I
feel	VBP	feel
will	MD	will
not	RB	not
only	RB	only
help	VB	help
us	PP	us
know	VB	know
why	WRB	why
babies	NNS	baby
are	VBP	be
dying	VBG	die
,	,	,
but	CC	but
is	VBZ	be
beginning	VBG	begin
to	TO	to
completely	RB	completely
transform	VB	transform
the	DT	the
whole	JJ	whole
field	NN	field
of	IN	of
global	JJ	global
health	NN	health
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
called	VBD	call
"	``	"
Precision	NN	precision
Public	NP	Public
Health	NP	Health
.	SENT	.
"	``	"
For	IN	for
me	PP	me
,	,	,
precision	NN	precision
medicine	NN	medicine
comes	VBZ	come
from	IN	from
a	DT	a
very	RB	very
special	JJ	special
place	NN	place
.	SENT	.
I	PP	I
trained	VBD	train
as	IN	as
a	DT	a
cancer	NN	cancer
doctor	NN	doctor
,	,	,
an	DT	an
oncologist	NN	oncologist
.	SENT	.
I	PP	I
got	VBD	get
into	IN	into
it	PP	it
because	IN	because
I	PP	I
wanted	VBD	want
to	TO	to
help	VB	help
people	NNS	people
feel	VB	feel
better	RBR	well
.	SENT	.
But	CC	but
too	RB	too
often	RB	often
my	PP$	my
treatments	NNS	treatment
made	VBD	make
them	PP	them
feel	VBP	feel
worse	JJR	bad
.	SENT	.
I	PP	I
still	RB	still
remember	VBP	remember
young	JJ	young
women	NNS	woman
being	VBG	be
driven	VBN	drive
to	TO	to
my	PP$	my
clinic	NN	clinic
by	IN	by
their	PP$	their
moms	NNS	mom
—	:	-
adults	NNS	adult
,	,	,
who	WP	who
had	VBD	have
to	TO	to
be	VB	be
helped	VBN	help
into	IN	into
my	PP$	my
exam	NN	exam
room	NN	room
by	IN	by
their	PP$	their
mothers	NNS	mother
.	SENT	.
They	PP	they
were	VBD	be
so	RB	so
weak	JJ	weak
from	IN	from
the	DT	the
treatment	NN	treatment
I	PP	I
had	VBD	have
given	VBN	give
them	PP	them
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
time	NN	time
,	,	,
in	IN	in
those	DT	those
front	JJ	front
lines	NNS	line
in	IN	in
the	DT	the
war	NN	war
on	IN	on
cancer	NN	cancer
,	,	,
we	PP	we
had	VBD	have
few	JJ	few
tools	NNS	tool
.	SENT	.
And	CC	and
the	DT	the
tools	NNS	tool
we	PP	we
did	VBD	do
have	VB	have
couldn	NN	<unknown>
'	POS	'
t	NN	t
differentiate	VB	differentiate
between	IN	between
the	DT	the
cancer	NN	cancer
cells	NNS	cell
that	IN	that
we	PP	we
wanted	VBD	want
to	TO	to
hit	VB	hit
hard	RB	hard
and	CC	and
those	DT	those
healthy	JJ	healthy
cells	NNS	cell
that	IN	that
we	PP	we
wanted	VBD	want
to	TO	to
preserve	VB	preserve
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
side	NN	side
effects	VBZ	effect
that	IN	that
you	PP	you
'	''	'
re	IN	re
all	DT	all
very	RB	very
familiar	JJ	familiar
with	IN	with
—	:	-
hair	NN	hair
loss	NN	loss
,	,	,
being	VBG	be
sick	JJ	sick
to	TO	to
your	PP$	your
stomach	NN	stomach
,	,	,
having	VBG	have
a	DT	a
suppressed	VBN	suppress
immune	JJ	immune
system	NN	system
,	,	,
so	RB	so
infection	NN	infection
was	VBD	be
a	DT	a
constant	JJ	constant
threat	NN	threat
—	:	-
were	VBD	be
always	RB	always
surrounding	VBG	surround
us	PP	us
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
moved	VBD	move
to	TO	to
the	DT	the
biotechnology	NN	biotechnology
industry	NN	industry
.	SENT	.
And	CC	and
I	PP	I
got	VBD	get
to	TO	to
work	VB	work
on	IN	on
a	DT	a
new	JJ	new
approach	NN	approach
for	IN	for
breast	NN	breast
cancer	NN	cancer
patients	NNS	patient
that	WDT	that
could	MD	could
do	VB	do
a	DT	a
better	JJR	good
job	NN	job
of	IN	of
telling	VBG	tell
the	DT	the
healthy	JJ	healthy
cells	NNS	cell
from	IN	from
the	DT	the
unhealthy	JJ	unhealthy
or	CC	or
cancer	NN	cancer
cells	NNS	cell
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
drug	NN	drug
called	VBN	call
Herceptin	NP	<unknown>
.	SENT	.
And	CC	and
what	WP	what
Herceptin	NP	<unknown>
allowed	VBD	allow
us	PP	us
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
precisely	RB	precisely
target	VB	target
HER2-positive	JJ	HER2-positive
breast	NN	breast
cancer	NN	cancer
,	,	,
at	IN	at
the	DT	the
time	NN	time
,	,	,
the	DT	the
scariest	JJS	scary
form	NN	form
of	IN	of
breast	NN	breast
cancer	NN	cancer
.	SENT	.
And	CC	and
that	DT	that
precision	NN	precision
let	VBD	let
us	PP	us
hit	VBD	hit
hard	RB	hard
the	DT	the
cancer	NN	cancer
cells	NNS	cell
,	,	,
while	IN	while
sparing	VBG	spare
and	CC	and
being	VBG	be
more	JJR	more
gentle	NN	gentle
on	IN	on
the	DT	the
normal	JJ	normal
cells	NNS	cell
.	SENT	.
A	DT	a
huge	JJ	huge
breakthrough	NN	breakthrough
.	SENT	.
It	PP	it
felt	VBD	feel
like	IN	like
a	DT	a
miracle	NN	miracle
,	,	,
so	RB	so
much	RB	much
so	IN	so
that	DT	that
today	NN	today
,	,	,
we	PP	we
'	POS	'
re	NN	re
harnessing	VBG	harness
all	PDT	all
those	DT	those
tools	NNS	tool
—	:	-
big	JJ	big
data	NNS	datum
,	,	,
consumer	NN	consumer
monitoring	NN	monitoring
,	,	,
gene	NN	gene
sequencing	VBG	sequence
and	CC	and
more	JJR	more
—	:	-
to	TO	to
tackle	VB	tackle
a	DT	a
broad	JJ	broad
variety	NN	variety
of	IN	of
diseases	NNS	disease
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
allowing	VBG	allow
us	PP	us
to	TO	to
target	VB	target
individuals	NNS	individual
with	IN	with
the	DT	the
right	JJ	right
remedies	NNS	remedy
at	IN	at
the	DT	the
right	JJ	right
time	NN	time
.	SENT	.
Precision	NN	precision
medicine	NN	medicine
revolutionized	VBD	revolutionize
cancer	NN	cancer
therapy	NN	therapy
.	SENT	.
Everything	NN	everything
changed	VBD	change
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
everything	NN	everything
to	TO	to
change	VB	change
again	RB	again
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
asking	VBG	ask
myself	PP	myself
:	:	:
Why	WRB	why
should	MD	should
we	PP	we
limit	VB	limit
this	DT	this
smarter	JJR	smart
,	,	,
more	RBR	more
precise	JJ	precise
,	,	,
better	JJR	good
way	NN	way
to	TO	to
tackle	VB	tackle
diseases	NNS	disease
to	TO	to
the	DT	the
rich	JJ	rich
world	NN	world
?	SENT	?
Now	RB	now
,	,	,
don	NN	don
'	POS	'
t	NN	t
misunderstand	VB	misunderstand
me	PP	me
—	:	-
I	PP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
about	IN	about
bringing	VBG	bring
expensive	JJ	expensive
medicines	NNS	medicine
like	IN	like
Herceptin	NP	<unknown>
to	TO	to
the	DT	the
developing	VBG	develop
world	NN	world
,	,	,
although	IN	although
I	PP	I
'	POS	'
d	NN	d
actually	RB	actually
kind	RB	kind
of	IN	of
like	IN	like
that	DT	that
.	SENT	.
What	WP	what
I	PP	I
am	VBP	be
talking	VBG	talk
about	RB	about
is	VBZ	be
moving	VBG	move
from	IN	from
this	DT	this
precise	JJ	precise
targeting	VBG	target
for	IN	for
individuals	NNS	individual
to	TO	to
tackle	VB	tackle
public	JJ	public
health	NN	health
problems	NNS	problem
in	IN	in
populations	NNS	population
.	SENT	.
Now	RB	now
,	,	,
OK	UH	OK
,	,	,
I	PP	I
know	VBP	know
probably	RB	probably
you	PP	you
'	POS	'
re	NN	re
thinking	NN	thinking
,	,	,
"	''	"
She	PP	she
'	POS	'
s	NNS	<unknown>
crazy	JJ	crazy
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
too	RB	too
ambitious	JJ	ambitious
.	SENT	.
"	''	"
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
we	PP	we
'	POS	'
re	NN	re
already	RB	already
doing	VBG	do
this	DT	this
in	IN	in
a	DT	a
limited	JJ	limited
way	NN	way
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
already	RB	already
starting	VBG	start
to	TO	to
make	VB	make
a	DT	a
big	JJ	big
difference	NN	difference
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
told	VBD	tell
you	PP	you
I	PP	I
trained	VBN	train
as	IN	as
a	DT	a
cancer	NN	cancer
doctor	NN	doctor
.	SENT	.
But	CC	but
like	IN	like
many	JJ	many
,	,	,
many	JJ	many
doctors	NNS	doctor
who	WP	who
trained	VBD	train
in	IN	in
San	NP	San
Francisco	NP	Francisco
in	IN	in
the	NP	the
'	POS	'
80s	JJ	<unknown>
,	,	,
I	PP	I
also	RB	also
trained	VBN	train
as	IN	as
an	DT	an
AIDS	NP	AIDS
doctor	NN	doctor
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
terrible	JJ	terrible
time	NN	time
.	SENT	.
AIDS	NP	AIDS
was	VBD	be
a	DT	a
death	NN	death
sentence	NN	sentence
.	SENT	.
All	PDT	all
my	PP$	my
patients	NNS	patient
died	VBD	die
.	SENT	.
Now	RB	now
,	,	,
things	NNS	thing
are	VBP	be
better	JJR	good
,	,	,
but	CC	but
HIV	NP	HIV
/	SYM	/
AIDS	NP	AIDS
remains	VBZ	remain
a	DT	a
terrible	JJ	terrible
global	JJ	global
challenge	NN	challenge
.	SENT	.
Worldwide	NP	Worldwide
,	,	,
about	RB	about
17	CD	@card@
million	CD	million
women	NNS	woman
are	VBP	be
living	VBG	live
with	IN	with
HIV	NP	HIV
.	SENT	.
We	PP	we
know	VBP	know
that	IN	that
when	WRB	when
these	DT	these
women	NNS	woman
become	VBP	become
pregnant	JJ	pregnant
,	,	,
they	PP	they
can	MD	can
transfer	VB	transfer
the	DT	the
virus	NN	virus
to	TO	to
their	PP$	their
baby	NN	baby
.	SENT	.
We	PP	we
also	RB	also
know	VBP	know
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
therapy	NN	therapy
,	,	,
half	PDT	half
those	DT	those
babies	NNS	baby
will	MD	will
not	RB	not
survive	VB	survive
until	IN	until
the	DT	the
age	NN	age
of	IN	of
two	CD	two
.	SENT	.
But	CC	but
we	PP	we
know	VBP	know
that	IN	that
antiretroviral	JJ	antiretroviral
therapy	NN	therapy
can	MD	can
virtually	RB	virtually
guarantee	VB	guarantee
that	IN	that
she	PP	she
will	MD	will
not	RB	not
transmit	VB	transmit
the	DT	the
virus	NN	virus
to	TO	to
the	DT	the
baby	NN	baby
.	SENT	.
So	RB	so
what	WP	what
do	VBP	do
we	PP	we
do	VBP	do
?	SENT	?
Well	RB	well
,	,	,
a	DT	a
one-size-fits-all	NN	<unknown>
approach	NN	approach
,	,	,
kind	NN	kind
of	IN	of
like	IN	like
that	DT	that
blast	NN	blast
of	IN	of
chemo	NN	<unknown>
,	,	,
would	MD	would
mean	VB	mean
we	PP	we
test	VB	test
and	CC	and
treat	VB	treat
every	DT	every
pregnant	JJ	pregnant
woman	NN	woman
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
That	DT	that
would	MD	would
do	VB	do
the	DT	the
job	NN	job
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
just	RB	just
not	RB	not
practical	JJ	practical
.	SENT	.
So	RB	so
instead	RB	instead
,	,	,
we	PP	we
target	VBP	target
those	DT	those
areas	NNS	area
where	WRB	where
HIV	NP	HIV
rates	NNS	rate
are	VBP	be
the	DT	the
highest	JJS	high
.	SENT	.
We	PP	we
know	VBP	know
in	IN	in
certain	JJ	certain
countries	NNS	country
in	IN	in
sub-Saharan	JJ	sub-Saharan
Africa	NP	Africa
we	PP	we
can	MD	can
test	VB	test
and	CC	and
treat	VB	treat
pregnant	JJ	pregnant
women	NNS	woman
where	WRB	where
rates	NNS	rate
are	VBP	be
highest	JJS	high
.	SENT	.
This	DT	this
precision	NN	precision
approach	NN	approach
to	TO	to
a	DT	a
public	JJ	public
health	NN	health
problem	NN	problem
has	VBZ	have
cut	VBN	cut
by	IN	by
nearly	RB	nearly
half	DT	half
HIV	NP	HIV
transmission	NN	transmission
from	IN	from
mothers	NNS	mother
to	TO	to
baby	NN	baby
in	IN	in
the	DT	the
last	JJ	last
five	CD	five
years	NNS	year
.	SENT	.
Screening	VBG	screen
pregnant	JJ	pregnant
women	NNS	woman
in	IN	in
certain	JJ	certain
areas	NNS	area
in	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
is	VBZ	be
a	DT	a
powerful	JJ	powerful
example	NN	example
of	IN	of
how	WRB	how
precision	NN	precision
public	JJ	public
health	NN	health
can	MD	can
change	VB	change
things	NNS	thing
on	IN	on
a	DT	a
big	JJ	big
scale	NN	scale
.	SENT	.
So	RB	so
.	SENT	.
.	SENT	.
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
that	RB	that
?	SENT	?
We	PP	we
can	MD	can
do	VB	do
that	IN	that
because	IN	because
we	PP	we
know	VBP	know
.	SENT	.
We	PP	we
know	VBP	know
who	WP	who
to	TO	to
target	VB	target
,	,	,
what	WP	what
to	TO	to
target	VB	target
,	,	,
where	WRB	where
to	TO	to
target	VB	target
and	CC	and
how	WRB	how
to	TO	to
target	VB	target
.	SENT	.
And	CC	and
that	IN	that
,	,	,
for	IN	for
me	PP	me
,	,	,
are	VBP	be
the	DT	the
important	JJ	important
elements	NNS	element
of	IN	of
precision	NN	precision
public	JJ	public
health	NN	health
:	:	:
who	WP	who
,	,	,
what	WP	what
,	,	,
where	WRB	where
and	CC	and
how	WRB	how
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
the	DT	the
2	CD	@card@
.	SENT	.
6	CD	@card@
million	CD	million
babies	NNS	baby
who	WP	who
die	VBP	die
before	IN	before
they	PP	they
'	POS	'
re	NN	re
one	CD	one
month	NN	month
old	JJ	old
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
problem	NN	problem
:	:	:
we	PP	we
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
It	PP	it
may	MD	may
seem	VB	seem
unbelievable	JJ	unbelievable
,	,	,
but	CC	but
the	DT	the
way	NN	way
we	PP	we
figure	VBP	figure
out	RP	out
the	DT	the
causes	NNS	cause
of	IN	of
infant	JJ	infant
mortality	NN	mortality
in	IN	in
those	DT	those
countries	NNS	country
with	IN	with
the	DT	the
highest	JJS	high
infant	NN	infant
mortality	NN	mortality
is	VBZ	be
a	DT	a
conversation	NN	conversation
with	IN	with
mom	NN	mom
.	SENT	.
A	DT	a
health	NN	health
worker	NN	worker
asks	VBZ	ask
a	DT	a
mom	NN	mom
who	WP	who
has	VBZ	have
just	RB	just
lost	VBN	lose
her	PP$	her
child	NN	child
,	,	,
"	''	"
Was	VBD	be
the	DT	the
baby	NN	baby
vomiting	NN	vomiting
?	SENT	?
Did	VBD	do
they	PP	they
have	VBP	have
a	DT	a
fever	NN	fever
?	SENT	?
"	''	"
And	CC	and
that	IN	that
conversation	NN	conversation
may	MD	may
take	VB	take
place	NN	place
as	IN	as
long	JJ	long
as	IN	as
three	CD	three
months	NNS	month
after	IN	after
the	DT	the
baby	NN	baby
has	VBZ	have
died	VBN	die
.	SENT	.
Now	RB	now
,	,	,
put	VB	put
yourself	PP	yourself
in	IN	in
the	DT	the
shoes	NNS	shoe
of	IN	of
that	DT	that
mom	NN	mom
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
heartbreaking	JJ	heartbreaking
,	,	,
excruciating	JJ	excruciating
conversation	NN	conversation
.	SENT	.
And	CC	and
even	RB	even
worse	JJR	bad
—	:	-
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	DT	that
helpful	JJ	helpful
,	,	,
because	IN	because
we	PP	we
might	MD	might
know	VB	know
there	EX	there
was	VBD	be
a	DT	a
fever	NN	fever
or	CC	or
vomiting	NN	vomiting
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
absence	NN	absence
of	IN	of
knowing	VBG	know
that	DT	that
knowledge	NN	knowledge
,	,	,
we	PP	we
cannot	MD	can
prevent	VB	prevent
that	DT	that
mom	NN	mom
,	,	,
that	DT	that
family	NN	family
,	,	,
or	CC	or
other	JJ	other
families	NNS	family
in	IN	in
that	DT	that
community	NN	community
from	IN	from
suffering	VBG	suffer
the	DT	the
same	JJ	same
tragedy	NN	tragedy
.	SENT	.
But	CC	but
what	WP	what
if	IN	if
we	PP	we
applied	VBD	apply
a	DT	a
precision	NN	precision
public	JJ	public
health	NN	health
approach	NN	approach
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
say	VBP	say
,	,	,
for	IN	for
example	NN	example
,	,	,
we	PP	we
find	VBP	find
out	RP	out
in	IN	in
certain	JJ	certain
areas	NNS	area
of	IN	of
Africa	NP	Africa
that	IN	that
babies	NNS	baby
are	VBP	be
dying	VBG	die
because	IN	because
of	IN	of
a	DT	a
bacterial	JJ	bacterial
infection	NN	infection
transferred	VBN	transfer
from	IN	from
the	DT	the
mother	NN	mother
to	TO	to
the	DT	the
baby	NN	baby
,	,	,
known	VBN	know
as	IN	as
Group	NP	Group
B	NP	B
streptococcus	NN	streptococcus
.	SENT	.
In	IN	in
the	DT	the
absence	NN	absence
of	IN	of
treatment	NN	treatment
,	,	,
mom	NN	mom
has	VBZ	have
a	DT	a
seven	CD	seven
times	NNS	time
higher	JJR	high
chance	NN	chance
that	IN	that
her	PP$	her
next	JJ	next
baby	NN	baby
will	MD	will
die	VB	die
.	SENT	.
Once	RB	once
we	PP	we
define	VB	define
the	DT	the
problem	NN	problem
,	,	,
we	PP	we
can	MD	can
prevent	VB	prevent
that	DT	that
death	NN	death
with	IN	with
something	NN	something
as	IN	as
cheap	JJ	cheap
and	CC	and
safe	JJ	safe
as	IN	as
penicillin	NN	penicillin
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
that	IN	that
because	IN	because
then	RB	then
we	PP	we
'	POS	'
ll	NNS	<unknown>
know	VBP	know
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
point	NN	point
:	:	:
once	RB	once
we	PP	we
know	VBP	know
,	,	,
we	PP	we
can	MD	can
bring	VB	bring
the	DT	the
right	JJ	right
interventions	NNS	intervention
