Five	CD	five
know	VBP	know
about	IN	about
it	PP	it
and	CC	and
understand	VB	understand
it	PP	it
,	,	,
then	RB	then
the	DT	the
work	NN	work
isn	NN	isn
'	POS	'
t	NN	t
done	VBN	do
,	,	,
and	CC	and
I	PP	I
believe	VBP	believe
it	PP	it
'	''	'
s	VBG	<unknown>
our	PP$	our
responsibility	NN	responsibility
as	IN	as
non-scientists	NNS	non-scientist
to	TO	to
have	VB	have
these	DT	these
interactions	NNS	interaction
.	SENT	.
But	CC	but
these	DT	these
great	JJ	great
conversations	NNS	conversation
can	MD	can
'	''	'
t	NN	t
occur	VBP	occur
if	IN	if
our	PP$	our
scientists	NNS	scientist
and	CC	and
engineers	NNS	engineer
don	NN	don
'	POS	'
t	NN	t
invite	VB	invite
us	PP	us
in	IN	in
to	TO	to
see	VB	see
their	PP$	their
wonderland	NN	wonderland
.	SENT	.
So	IN	so
scientists	NNS	scientist
and	CC	and
engineers	NNS	engineer
,	,	,
please	UH	please
,	,	,
talk	VB	talk
nerdy	JJ	nerdy
to	TO	to
us	PP	us
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
share	VB	share
a	DT	a
few	JJ	few
keys	NNS	key
on	IN	on
how	WRB	how
you	PP	you
can	MD	can
do	VB	do
that	IN	that
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
can	MD	can
see	VB	see
that	IN	that
your	PP$	your
science	NN	science
is	VBZ	be
sexy	JJ	sexy
and	CC	and
that	IN	that
your	PP$	your
engineering	NN	engineering
is	VBZ	be
engaging	VBG	engage
.	SENT	.
First	JJ	first
question	NN	question
to	TO	to
answer	VB	answer
for	IN	for
us	PP	us
:	:	:
so	RB	so
what	WP	what
?	SENT	?
Tell	VB	tell
us	PP	us
why	WRB	why
your	PP$	your
science	NN	science
is	VBZ	be
relevant	JJ	relevant
to	TO	to
us	PP	us
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
just	RB	just
tell	VB	tell
me	PP	me
that	IN	that
you	PP	you
study	VBP	study
trabeculae	NNS	trabecula
,	,	,
but	CC	but
tell	VB	tell
me	PP	me
that	IN	that
you	PP	you
study	VBP	study
trabeculae	NNS	trabecula
,	,	,
which	WDT	which
is	VBZ	be
the	DT	the
mesh-like	JJ	<unknown>
structure	NN	structure
of	IN	of
our	PP$	our
bones	NNS	bone
because	IN	because
it	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
understanding	VBG	understand
and	CC	and
treating	VBG	treat
osteoporosis	NN	osteoporosis
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
describing	VBG	describe
your	PP$	your
science	NN	science
,	,	,
beware	VB	beware
of	IN	of
jargon	NN	jargon
.	SENT	.
Jargon	NN	jargon
is	VBZ	be
a	DT	a
barrier	NN	barrier
to	TO	to
our	PP$	our
understanding	NN	understanding
of	IN	of
your	PP$	your
ideas	NNS	idea
.	SENT	.
Sure	RB	sure
,	,	,
you	PP	you
can	MD	can
say	VB	say
"	``	"
spatial	JJ	spatial
and	CC	and
temporal	JJ	temporal
,	,	,
"	''	"
but	CC	but
why	WRB	why
not	RB	not
just	RB	just
say	VBP	say
"	``	"
space	NN	space
and	CC	and
time	NN	time
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
so	RB	so
much	RB	much
more	RBR	more
accessible	JJ	accessible
to	TO	to
us	PP	us
?	SENT	?
And	CC	and
making	VBG	make
your	PP$	your
ideas	NNS	idea
accessible	JJ	accessible
is	VBZ	be
not	RB	not
the	DT	the
same	JJ	same
as	IN	as
dumbing	VBG	<unknown>
it	PP	it
down	RP	down
.	SENT	.
Instead	RB	instead
,	,	,
as	IN	as
Einstein	NP	Einstein
said	VBD	say
,	,	,
make	VB	make
everything	NN	everything
as	IN	as
simple	JJ	simple
as	IN	as
possible	JJ	possible
,	,	,
but	CC	but
no	RB	no
simpler	JJR	simple
.	SENT	.
You	PP	you
can	MD	can
clearly	RB	clearly
communicate	VB	communicate
your	PP$	your
science	NN	science
without	IN	without
compromising	VBG	compromise
the	DT	the
ideas	NNS	idea
.	SENT	.
A	DT	a
few	JJ	few
things	NNS	thing
to	TO	to
consider	VB	consider
are	VBP	be
having	VBG	have
examples	NNS	example
,	,	,
stories	NNS	story
and	CC	and
analogies	NNS	analogy
.	SENT	.
Those	DT	those
are	VBP	be
ways	NNS	way
to	TO	to
engage	VB	engage
and	CC	and
excite	VB	excite
us	PP	us
about	IN	about
your	PP$	your
content	NN	content
.	SENT	.
And	CC	and
when	WRB	when
presenting	VBG	present
your	PP$	your
work	NN	work
,	,	,
drop	VB	drop
the	DT	the
bullet	NN	bullet
points	NNS	point
.	SENT	.
Have	VBP	have
you	PP	you
ever	RB	ever
wondered	VBD	wonder
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
called	VBD	call
bullet	NN	bullet
points	NNS	point
?	SENT	?
What	WP	what
do	VBP	do
bullets	NNS	bullet
do	VBP	do
?	SENT	?
Bullets	NNS	bullet
kill	VBP	kill
,	,	,
and	CC	and
they	PP	they
will	MD	will
kill	VB	kill
your	PP$	your
presentation	NN	presentation
.	SENT	.
A	DT	a
slide	NN	slide
like	IN	like
this	DT	this
is	VBZ	be
not	RB	not
only	RB	only
boring	JJ	boring
,	,	,
but	CC	but
it	PP	it
relies	VBZ	rely
too	RB	too
much	RB	much
on	IN	on
the	DT	the
language	NN	language
area	NN	area
of	IN	of
our	PP$	our
brain	NN	brain
,	,	,
and	CC	and
causes	VBZ	cause
us	PP	us
to	TO	to
become	VB	become
overwhelmed	VBN	overwhelm
.	SENT	.
Instead	RB	instead
,	,	,
this	DT	this
example	NN	example
slide	NN	slide
by	IN	by
Genevieve	NP	Genevieve
Brown	NP	Brown
is	VBZ	be
much	RB	much
more	RBR	more
effective	JJ	effective
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
showing	VBG	show
that	IN	that
the	DT	the
special	JJ	special
structure	NN	structure
of	IN	of
trabeculae	NNS	trabecula
are	VBP	be
so	RB	so
strong	JJ	strong
that	IN	that
they	PP	they
actually	RB	actually
inspired	VBD	inspire
the	DT	the
unique	JJ	unique
design	NN	design
of	IN	of
the	DT	the
Eiffel	NP	Eiffel
Tower	NP	Tower
.	SENT	.
And	CC	and
the	DT	the
trick	NN	trick
here	RB	here
is	VBZ	be
to	TO	to
use	VB	use
a	DT	a
single	JJ	single
,	,	,
readable	JJ	readable
sentence	NN	sentence
that	IN	that
the	DT	the
audience	NN	audience
can	MD	can
key	VB	key
into	IN	into
if	IN	if
they	PP	they
get	VBP	get
a	DT	a
bit	NN	bit
lost	VBD	lose
,	,	,
and	CC	and
then	RB	then
provide	VB	provide
visuals	NNS	visual
which	WDT	which
appeal	VBP	appeal
to	TO	to
our	PP$	our
other	JJ	other
senses	NNS	sense
and	CC	and
create	VB	create
a	DT	a
deeper	JJR	deep
sense	NN	sense
of	IN	of
understanding	VBG	understand
of	IN	of
what	WP	what
'	POS	'
s	NNS	<unknown>
being	VBG	be
described	VBN	describe
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
these	DT	these
are	VBP	be
just	RB	just
a	DT	a
few	JJ	few
keys	NNS	key
that	WDT	that
can	MD	can
help	VB	help
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
to	TO	to
open	VB	open
that	DT	that
door	NN	door
and	CC	and
see	VB	see
the	DT	the
wonderland	NN	wonderland
that	WDT	that
is	VBZ	be
science	NN	science
and	CC	and
engineering	NN	engineering
.	SENT	.
And	CC	and
because	IN	because
the	DT	the
engineers	NNS	engineer
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
worked	VBD	work
with	IN	with
have	VBP	have
taught	VBN	teach
me	PP	me
to	TO	to
become	VB	become
really	RB	really
in	IN	in
touch	NN	touch
with	IN	with
my	PP$	my
inner	JJ	inner
nerd	NN	nerd
,	,	,
I	PP	I
want	VBP	want
to	TO	to
summarize	VB	summarize
with	IN	with
an	DT	an
equation	NN	equation
.	SENT	.
Take	VB	take
your	PP$	your
science	NN	science
,	,	,
subtract	VB	subtract
your	PP$	your
bullet	NN	bullet
points	NNS	point
and	CC	and
your	PP$	your
jargon	NN	jargon
,	,	,
divide	NN	divide
by	IN	by
relevance	NN	relevance
,	,	,
meaning	VBG	mean
share	NN	share
what	WP	what
'	POS	'
s	NN	S
relevant	JJ	relevant
to	TO	to
the	DT	the
audience	NN	audience
,	,	,
and	CC	and
multiply	VB	multiply
it	PP	it
by	IN	by
the	DT	the
passion	NN	passion
that	IN	that
you	PP	you
have	VBP	have
for	IN	for
this	DT	this
incredible	JJ	incredible
work	NN	work
that	IN	that
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
equal	VB	equal
incredible	JJ	incredible
interactions	NNS	interaction
that	WDT	that
are	VBP	be
full	JJ	full
of	IN	of
understanding	NN	understanding
.	SENT	.
And	CC	and
so	RB	so
,	,	,
scientists	NNS	scientist
and	CC	and
engineers	NNS	engineer
,	,	,
when	WRB	when
you	PP	you
'	POS	'
ve	NN	ve
solved	VBD	solve
this	DT	this
equation	NN	equation
,	,	,
by	IN	by
all	DT	all
means	NNS	mean
,	,	,
talk	VB	talk
nerdy	JJ	nerdy
to	TO	to
me	PP	me
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
