Good	JJ	good
ooh	NP	ooh
!	SENT	!
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
studying	VBG	study
chimpanzees	NNS	chimpanzee
in	IN	in
Tanzania	NP	Tanzania
since	IN	since
1960	CD	@card@
.	SENT	.
During	IN	during
that	DT	that
time	NN	time
,	,	,
there	EX	there
have	VBP	have
been	VBN	be
modern	JJ	modern
technologies	NNS	technology
that	WDT	that
have	VBP	have
really	RB	really
transformed	VBN	transform
the	DT	the
way	NN	way
that	IN	that
field	NN	field
biologists	NNS	biologist
do	VBP	do
their	PP$	their
work	NN	work
.	SENT	.
For	IN	for
example	NN	example
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
by	IN	by
simply	RB	simply
collecting	VBG	collect
little	JJ	little
fecal	JJ	fecal
samples	NNS	sample
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
have	VB	have
them	PP	them
analyzed	VBN	analyze
—	:	-
to	TO	to
have	VB	have
DNA	NN	DNA
profiling	VBG	profil
done	VBN	do
—	:	-
so	RB	so
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
we	PP	we
actually	RB	actually
know	VBP	know
which	WDT	which
male	JJ	male
chimps	NNS	chimp
are	VBP	be
the	DT	the
fathers	NNS	father
of	IN	of
each	DT	each
individual	JJ	individual
infant	NN	infant
.	SENT	.
Because	IN	because
the	DT	the
chimps	NNS	chimp
have	VBP	have
a	DT	a
very	RB	very
promiscuous	JJ	promiscuous
mating	NN	mating
society	NN	society
.	SENT	.
So	RB	so
this	DT	this
opens	VBZ	open
up	RP	up
a	DT	a
whole	JJ	whole
new	JJ	new
avenue	NN	avenue
of	IN	of
research	NN	research
.	SENT	.
And	CC	and
we	PP	we
use	VBP	use
GSI	NP	GSI
—	:	-
geographic	JJ	geographic
whatever	WDT	whatever
it	PP	it
is	VBZ	be
,	,	,
GSI	NP	GSI
—	:	-
to	TO	to
determine	VB	determine
the	DT	the
range	NN	range
of	IN	of
the	DT	the
chimps	NNS	chimp
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
—	:	-
you	PP	you
can	MD	can
see	VB	see
that	IN	that
I	NP	I
'	POS	'
m	NN	m
not	RB	not
really	RB	really
into	IN	into
this	DT	this
kind	NN	kind
of	IN	of
stuff	NN	stuff
—	:	-
but	CC	but
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
satellite	JJ	satellite
imagery	NN	imagery
to	TO	to
look	VB	look
at	IN	at
the	DT	the
deforestation	NN	deforestation
in	IN	in
the	DT	the
area	NN	area
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
there	EX	there
'	''	'
s	NN	S
developments	NNS	development
in	IN	in
infrared	JJ	infrared
,	,	,
so	RB	so
you	PP	you
can	MD	can
watch	VB	watch
animals	NNS	animal
at	IN	at
night	NN	night
,	,	,
and	CC	and
equipment	NN	equipment
for	IN	for
recording	NN	recording
by	IN	by
video	NN	video
,	,	,
and	CC	and
tape	NN	tape
recording	NN	recording
is	VBZ	be
getting	VBG	get
lighter	JJR	light
and	CC	and
better	JJR	good
.	SENT	.
So	RB	so
in	IN	in
many	JJ	many
,	,	,
many	JJ	many
ways	NNS	way
,	,	,
we	PP	we
can	MD	can
do	VB	do
things	NNS	thing
today	NN	today
that	IN	that
we	PP	we
couldn	NNS	<unknown>
'	POS	'
t	NN	t
do	VBP	do
when	WRB	when
I	PP	I
began	VBD	begin
in	IN	in
1960	CD	@card@
.	SENT	.
Especially	RB	especially
when	WRB	when
chimpanzees	NNS	chimpanzee
,	,	,
and	CC	and
other	JJ	other
animals	NNS	animal
with	IN	with
large	JJ	large
brains	NNS	brain
,	,	,
are	VBP	be
studied	VBN	study
in	IN	in
captivity	NN	captivity
,	,	,
modern	JJ	modern
technology	NN	technology
is	VBZ	be
helping	VBG	help
us	PP	us
to	TO	to
search	VB	search
for	IN	for
the	DT	the
upper	JJ	upper
levels	NNS	level
of	IN	of
cognition	NN	cognition
in	IN	in
some	DT	some
of	IN	of
these	DT	these
non-human	NN	non-human
animals	NNS	animal
.	SENT	.
So	RB	so
that	IN	that
we	PP	we
know	VBP	know
today	NN	today
,	,	,
they	PP	they
'	POS	'
re	NN	re
capable	JJ	capable
of	IN	of
performances	NNS	performance
that	WDT	that
would	MD	would
have	VB	have
been	VBN	be
thought	VBN	think
absolutely	RB	absolutely
impossible	JJ	impossible
by	IN	by
science	NN	science
when	WRB	when
I	PP	I
began	VBD	begin
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
chimpanzee	NN	chimpanzee
in	IN	in
captivity	NN	captivity
who	WP	who
is	VBZ	be
the	DT	the
most	RBS	most
skilled	JJ	skilled
in	IN	in
intellectual	JJ	intellectual
performance	NN	performance
is	VBZ	be
one	CD	one
called	VBN	call
Ai	NP	Ai
in	IN	in
Japan	NP	Japan
—	:	-
her	PP$	her
name	NN	name
means	NNS	mean
love	VBP	love
—	:	-
and	CC	and
she	PP	she
has	VBZ	have
a	DT	a
wonderfully	RB	wonderfully
sensitive	JJ	sensitive
partner	NN	partner
working	VBG	work
with	IN	with
her	PP	her
.	SENT	.
She	PP	she
loves	VBZ	love
her	PP$	her
computer	NN	computer
—	:	-
she	PP	she
'	POS	'
ll	NNS	<unknown>
leave	VBP	leave
her	PP$	her
big	JJ	big
group	NN	group
,	,	,
and	CC	and
her	PP$	her
running	VBG	run
water	NN	water
,	,	,
and	CC	and
her	PP$	her
trees	NNS	tree
and	CC	and
everything	NN	everything
.	SENT	.
And	CC	and
she	PP	she
'	POS	'
ll	NNS	<unknown>
come	VBP	come
in	IN	in
to	TO	to
sit	VB	sit
at	IN	at
this	DT	this
computer	NN	computer
—	:	-
it	PP	it
'	POS	'
s	NN	S
like	IN	like
a	DT	a
video	JJ	video
game	NN	game
for	IN	for
a	DT	a
kid	NN	kid
;	:	;
she	PP	she
'	POS	'
s	NN	S
hooked	VBD	hook
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
28	CD	@card@
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
and	CC	and
she	PP	she
does	VBZ	do
things	NNS	thing
with	IN	with
her	PP$	her
computer	NN	computer
screen	NN	screen
and	CC	and
a	DT	a
touch	NN	touch
pad	NN	pad
that	IN	that
she	PP	she
can	MD	can
do	VB	do
faster	RBR	faster
than	IN	than
most	JJS	most
humans	NNS	human
.	SENT	.
She	PP	she
does	VBZ	do
very	RB	very
complex	JJ	complex
tasks	NNS	task
,	,	,
and	CC	and
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
got	VBD	get
time	NN	time
to	TO	to
go	VB	go
into	IN	into
them	PP	them
,	,	,
but	CC	but
the	DT	the
amazing	JJ	amazing
thing	NN	thing
about	IN	about
this	DT	this
female	NN	female
is	VBZ	be
she	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
like	IN	like
making	VBG	make
mistakes	NNS	mistake
.	SENT	.
If	IN	if
she	PP	she
has	VBZ	have
a	DT	a
bad	JJ	bad
run	NN	run
,	,	,
and	CC	and
her	PP$	her
score	NN	score
isn	NN	isn
'	POS	'
t	NN	t
good	JJ	good
,	,	,
she	PP	she
'	POS	'
ll	NNS	<unknown>
come	VBP	come
and	CC	and
reach	VBP	reach
up	RP	up
and	CC	and
tap	VB	tap
on	IN	on
the	DT	the
glass	NN	glass
—	:	-
because	IN	because
she	PP	she
can	MD	can
'	''	'
t	NN	t
see	VB	see
the	DT	the
experimenter	NN	experimenter
—	:	-
which	WDT	which
is	VBZ	be
asking	VBG	ask
to	TO	to
have	VB	have
another	DT	another
go	NN	go
.	SENT	.
And	CC	and
her	PP$	her
concentration	NN	concentration
—	:	-
she	PP	she
'	POS	'
s	NN	S
already	RB	already
concentrated	VBD	concentrate
hard	RB	hard
for	IN	for
20	CD	@card@
minutes	NNS	minute
or	CC	or
so	RB	so
,	,	,
and	CC	and
now	RB	now
she	PP	she
wants	VBZ	want
to	TO	to
do	VB	do
it	PP	it
all	DT	all
over	RP	over
again	RB	again
,	,	,
just	RB	just
for	IN	for
the	DT	the
satisfaction	NN	satisfaction
of	IN	of
having	VBG	have
done	VBN	do
it	PP	it
better	RBR	well
.	SENT	.
And	CC	and
the	DT	the
food	NN	food
is	VBZ	be
not	RB	not
important	JJ	important
—	:	-
she	PP	she
does	VBZ	do
get	VB	get
a	DT	a
tiny	JJ	tiny
reward	NN	reward
,	,	,
like	IN	like
one	CD	one
raisin	NN	raisin
for	IN	for
a	DT	a
correct	JJ	correct
response	NN	response
—	:	-
but	CC	but
she	PP	she
will	MD	will
do	VB	do
it	PP	it
for	IN	for
nothing	NN	nothing
,	,	,
if	IN	if
you	PP	you
tell	VBP	tell
her	PP	her
beforehand	RB	beforehand
.	SENT	.
So	RB	so
here	RB	here
we	PP	we
are	VBP	be
,	,	,
a	DT	a
chimpanzee	NN	chimpanzee
using	VBG	use
a	DT	a
computer	NN	computer
.	SENT	.
Chimpanzees	NNS	chimpanzee
,	,	,
gorillas	NNS	gorilla
,	,	,
orangutans	NNS	orangutan
also	RB	also
learn	VBP	learn
human	JJ	human
sign	NN	sign
language	NN	language
.	SENT	.
But	CC	but
the	DT	the
point	NN	point
is	VBZ	be
that	IN	that
when	WRB	when
I	PP	I
was	VBD	be
first	JJ	first
in	IN	in
Gombe	NP	<unknown>
in	IN	in
1960	CD	@card@
—	:	-
I	PP	I
remember	VBP	remember
so	RB	so
well	RB	well
,	,	,
so	RB	so
vividly	RB	vividly
,	,	,
as	RB	as
though	IN	though
it	PP	it
was	VBD	be
yesterday	NN	yesterday
—	:	-
the	DT	the
first	JJ	first
time	NN	time
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
going	VBG	go
through	IN	through
the	DT	the
vegetation	NN	vegetation
,	,	,
the	DT	the
chimpanzees	NNS	chimpanzee
were	VBD	be
still	RB	still
running	VBG	run
away	RB	away
from	IN	from
me	PP	me
,	,	,
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
although	IN	although
some	DT	some
were	VBD	be
a	DT	a
little	JJ	little
bit	NN	bit
acclimatized	VBN	acclimatize
—	:	-
and	CC	and
I	PP	I
saw	VBD	see
this	DT	this
dark	JJ	dark
shape	NN	shape
,	,	,
hunched	VBN	hunch
over	IN	over
a	DT	a
termite	NN	termite
mound	NN	mound
,	,	,
and	CC	and
I	PP	I
peered	VBD	peer
with	IN	with
my	PP$	my
binoculars	NNS	binoculars
.	SENT	.
It	PP	it
was	VBD	be
,	,	,
fortunately	RB	fortunately
,	,	,
one	CD	one
adult	NN	adult
male	JJ	male
whom	WP	whom
I	PP	I
'	POS	'
d	NN	d
named	VBN	name
David	NP	David
Greybeard	NN	greybeard
—	:	-
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
science	NN	science
at	IN	at
that	DT	that
time	NN	time
was	VBD	be
telling	VBG	tell
me	PP	me
that	IN	that
I	PP	I
shouldn	NNS	<unknown>
'	POS	'
t	NN	t
name	NN	name
the	DT	the
chimps	NNS	chimp
;	:	;
they	PP	they
should	MD	should
all	RB	all
have	VB	have
numbers	NNS	number
;	:	;
that	WDT	that
was	VBD	be
more	RBR	more
scientific	JJ	scientific
.	SENT	.
Anyway	RB	anyway
,	,	,
David	NP	David
Greybeard	NN	greybeard
—	:	-
and	CC	and
I	PP	I
saw	VBD	see
that	IN	that
he	PP	he
was	VBD	be
picking	VBG	pick
little	JJ	little
pieces	NNS	piece
of	IN	of
grass	NN	grass
and	CC	and
using	VBG	use
them	PP	them
to	TO	to
fish	VB	fish
termites	NNS	termite
from	IN	from
their	PP$	their
underground	JJ	underground
nest	NN	nest
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
that	DT	that
—	:	-
he	PP	he
would	MD	would
sometimes	RB	sometimes
pick	VB	pick
a	DT	a
leafy	JJ	leafy
twig	NN	twig
and	CC	and
strip	VB	strip
the	DT	the
leaves	NNS	leaf
—	:	-
modifying	VBG	modify
an	DT	an
object	NN	object
to	TO	to
make	VB	make
it	PP	it
suitable	JJ	suitable
for	IN	for
a	DT	a
specific	JJ	specific
purpose	NN	purpose
—	:	-
the	DT	the
beginning	NN	beginning
of	IN	of
tool-making	NN	tool-making
.	SENT	.
The	DT	the
reason	NN	reason
this	DT	this
was	VBD	be
so	RB	so
exciting	JJ	exciting
and	CC	and
such	JJ	such
a	DT	a
breakthrough	NN	breakthrough
is	VBZ	be
at	IN	at
that	DT	that
time	NN	time
,	,	,
it	PP	it
was	VBD	be
thought	VBN	think
that	IN	that
humans	NNS	human
,	,	,
and	CC	and
only	JJ	only
humans	NNS	human
,	,	,
used	VBN	use
and	CC	and
made	VBN	make
tools	NNS	tool
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
at	IN	at
school	NN	school
,	,	,
we	PP	we
were	VBD	be
defined	VBN	define
as	IN	as
man	NN	man
,	,	,
the	DT	the
toolmaker	NN	toolmaker
.	SENT	.
So	RB	so
that	IN	that
when	WRB	when
Louis	NP	Louis
Leakey	NP	Leakey
,	,	,
my	PP$	my
mentor	NN	mentor
,	,	,
heard	VBD	hear
this	DT	this
news	NN	news
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
Ah	UH	ah
,	,	,
we	PP	we
must	MD	must
now	RB	now
redefine	VB	redefine
'	''	'
man	NN	man
,	,	,
'	''	'
redefine	VBP	redefine
'	POS	'
tool	NN	tool
,	,	,
'	''	'
or	CC	or
accept	VB	accept
chimpanzees	NNS	chimpanzee
as	IN	as
humans	NNS	human
.	SENT	.
"	``	"
We	PP	we
now	RB	now
know	VBP	know
that	IN	that
at	IN	at
Gombe	NP	<unknown>
alone	RB	alone
,	,	,
there	EX	there
are	VBP	be
nine	CD	nine
different	JJ	different
ways	NNS	way
in	IN	in
which	WDT	which
chimpanzees	NNS	chimpanzee
use	VBP	use
different	JJ	different
objects	NNS	object
for	IN	for
different	JJ	different
purposes	NNS	purpose
.	SENT	.
Moreover	RB	moreover
,	,	,
we	PP	we
know	VBP	know
that	IN	that
in	IN	in
different	JJ	different
parts	NNS	part
of	IN	of
Africa	NP	Africa
,	,	,
wherever	WRB	wherever
chimps	NNS	chimp
have	VBP	have
been	VBN	be
studied	VBN	study
,	,	,
there	EX	there
are	VBP	be
completely	RB	completely
different	JJ	different
tool-using	NN	<unknown>
behaviors	NNS	behavior
.	SENT	.
And	CC	and
because	IN	because
it	PP	it
seems	VBZ	seem
that	IN	that
these	DT	these
patterns	NNS	pattern
are	VBP	be
passed	VBN	pass
from	IN	from
one	CD	one
generation	NN	generation
to	TO	to
the	DT	the
next	JJ	next
,	,	,
through	IN	through
observation	NN	observation
,	,	,
imitation	NN	imitation
and	CC	and
practice	NN	practice
—	:	-
that	WDT	that
is	VBZ	be
a	DT	a
definition	NN	definition
of	IN	of
human	JJ	human
culture	NN	culture
.	SENT	.
What	WP	what
we	PP	we
find	VBP	find
is	VBZ	be
that	IN	that
over	IN	over
these	DT	these
40-odd	JJ	<unknown>
years	NNS	year
that	IN	that
I	PP	I
and	CC	and
others	NNS	other
have	VBP	have
been	VBN	be
studying	VBG	study
chimpanzees	NNS	chimpanzee
and	CC	and
the	DT	the
other	JJ	other
great	JJ	great
apes	NNS	ape
,	,	,
and	CC	and
,	,	,
as	IN	as
I	PP	I
say	VBP	say
,	,	,
other	JJ	other
mammals	NNS	mammal
with	IN	with
complex	JJ	complex
brains	NNS	brain
and	CC	and
social	JJ	social
systems	NNS	system
,	,	,
we	PP	we
have	VBP	have
found	VBN	find
that	IN	that
after	IN	after
all	DT	all
,	,	,
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
sharp	JJ	sharp
line	NN	line
dividing	VBG	divide
humans	NNS	human
from	IN	from
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
animal	JJ	animal
kingdom	NN	kingdom
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
wuzzy	JJ	<unknown>
line	NN	line
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
getting	VBG	get
wuzzier	NN	<unknown>
all	PDT	all
the	DT	the
time	NN	time
as	IN	as
we	PP	we
find	VBP	find
animals	NNS	animal
doing	VBG	do
things	NNS	thing
that	IN	that
we	PP	we
,	,	,
in	IN	in
our	PP$	our
arrogance	NN	arrogance
,	,	,
used	VBN	use
to	TO	to
think	VB	think
was	VBD	be
just	RB	just
human	JJ	human
.	SENT	.
The	DT	the
chimps	NNS	chimp
—	:	-
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
time	NN	time
to	TO	to
discuss	VB	discuss
their	PP$	their
fascinating	JJ	fascinating
lives	NNS	life
—	:	-
but	CC	but
they	PP	they
have	VBP	have
this	DT	this
long	JJ	long
