Most	JJS	most
just	RB	just
examples	NNS	example
.	SENT	.
One	PP	one
is	VBZ	be
the	DT	the
cellphone	NN	cellphone
,	,	,
which	WDT	which
we	PP	we
use	VBP	use
every	DT	every
day	NN	day
.	SENT	.
And	CC	and
it	PP	it
rests	VBZ	rest
on	IN	on
a	DT	a
complexity	NN	complexity
,	,	,
which	WDT	which
has	VBZ	have
some	DT	some
characteristics	NNS	characteristic
very	RB	very
different	JJ	different
from	IN	from
those	DT	those
that	WDT	that
my	PP$	my
friend	NN	friend
Benoit	NP	Benoit
Mandelbrot	NP	<unknown>
discussed	VBD	discuss
,	,	,
but	CC	but
are	VBP	be
very	RB	very
interesting	JJ	interesting
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
,	,	,
of	IN	of
course	NN	course
,	,	,
is	VBZ	be
a	DT	a
birth	NN	birth
control	NN	control
pill	NN	pill
,	,	,
which	WDT	which
,	,	,
in	IN	in
a	DT	a
very	RB	very
simple	JJ	simple
way	NN	way
,	,	,
fundamentally	RB	fundamentally
changed	VBD	change
the	DT	the
structure	NN	structure
of	IN	of
society	NN	society
by	IN	by
changing	VBG	change
the	DT	the
role	NN	role
of	IN	of
women	NNS	woman
in	IN	in
it	PP	it
by	IN	by
providing	VBG	provide
to	TO	to
them	PP	them
the	DT	the
opportunity	NN	opportunity
to	TO	to
make	VB	make
reproductive	JJ	reproductive
choices	NNS	choice
.	SENT	.
So	RB	so
,	,	,
there	EX	there
are	VBP	be
two	CD	two
ways	NNS	way
of	IN	of
thinking	VBG	think
about	IN	about
this	DT	this
word	NN	word
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
And	CC	and
here	RB	here
I	NP	I
'	POS	'
ve	NN	ve
corrupted	VBD	corrupt
the	DT	the
Potter	NP	Potter
Stewart	NP	Stewart
quotation	NN	quotation
by	IN	by
saying	VBG	say
that	IN	that
we	PP	we
can	MD	can
think	VB	think
about	IN	about
something	NN	something
—	:	-
which	WDT	which
spans	VBZ	span
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
scissors	NN	scissors
to	TO	to
the	DT	the
cell	NN	cell
phone	NN	phone
,	,	,
Internet	NN	Internet
and	CC	and
birth	NN	birth
control	NN	control
pills	NNS	pill
—	:	-
by	IN	by
saying	VBG	say
that	IN	that
they	PP	they
'	POS	'
re	NN	re
simple	NN	simple
,	,	,
the	DT	the
functions	NNS	function
are	VBP	be
simple	JJ	simple
,	,	,
and	CC	and
we	PP	we
recognize	VBP	recognize
what	WP	what
that	DT	that
simplicity	NN	simplicity
is	VBZ	be
when	WRB	when
we	PP	we
see	VBP	see
it	PP	it
.	SENT	.
Or	CC	or
there	EX	there
may	MD	may
be	VB	be
another	DT	another
way	NN	way
of	IN	of
doing	VBG	do
it	PP	it
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
think	VB	think
about	IN	about
the	DT	the
problem	NN	problem
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
—	:	-
if	IN	if
you	PP	you
associate	VBP	associate
with	IN	with
moral	JJ	moral
philosophers	NNS	philosopher
—	:	-
is	VBZ	be
called	VBN	call
the	DT	the
teapot	NN	teapot
problem	NN	problem
.	SENT	.
The	DT	the
teapot	NN	teapot
problem	NN	problem
I	NP	I
'	POS	'
ll	NNS	<unknown>
pose	VBP	pose
this	DT	this
way	NN	way
.	SENT	.
Suppose	VB	suppose
you	PP	you
see	VB	see
a	DT	a
teapot	NN	teapot
,	,	,
and	CC	and
the	DT	the
teapot	NN	teapot
is	VBZ	be
filled	VBN	fill
with	IN	with
hot	JJ	hot
water	NN	water
.	SENT	.
And	CC	and
you	PP	you
then	RB	then
ask	VBP	ask
the	DT	the
question	NN	question
:	:	:
Why	WRB	why
is	VBZ	be
the	DT	the
water	NN	water
hot	JJ	hot
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
simple	JJ	simple
question	NN	question
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
what	WP	what
is	VBZ	be
simplicity	NN	simplicity
?	SENT	?
One	CD	one
answer	NN	answer
would	MD	would
be	VB	be
:	:	:
because	IN	because
the	DT	the
kinetic	JJ	kinetic
energy	NN	energy
of	IN	of
the	DT	the
water	NN	water
molecules	NNS	molecule
is	VBZ	be
high	JJ	high
and	CC	and
they	PP	they
bounce	VBP	bounce
against	IN	against
things	NNS	thing
rapidly	RB	rapidly
—	:	-
that	WDT	that
'	POS	'
s	NNS	<unknown>
a	DT	a
kind	NN	kind
of	IN	of
physical	JJ	physical
science	NN	science
argument	NN	argument
.	SENT	.
A	DT	a
second	JJ	second
argument	NN	argument
would	MD	would
be	VB	be
:	:	:
because	IN	because
it	PP	it
was	VBD	be
sitting	VBG	sit
on	IN	on
a	DT	a
stove	NN	stove
with	IN	with
the	DT	the
flame	NN	flame
on	IN	on
—	:	-
that	WDT	that
'	POS	'
s	NN	S
an	DT	an
historical	JJ	historical
argument	NN	argument
.	SENT	.
A	DT	a
third	NN	third
is	VBZ	be
that	IN	that
I	PP	I
wanted	VBD	want
hot	JJ	hot
water	NN	water
for	IN	for
tea	NN	tea
—	:	-
that	WDT	that
'	POS	'
s	NN	S
an	DT	an
intentional	JJ	intentional
argument	NN	argument
.	SENT	.
And	CC	and
,	,	,
since	IN	since
this	DT	this
is	VBZ	be
coming	VBG	come
from	IN	from
a	DT	a
moral	JJ	moral
philosopher	NN	philosopher
,	,	,
the	DT	the
fourth	JJ	fourth
would	MD	would
be	VB	be
that	IN	that
it	PP	it
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
God	NP	God
'	POS	'
s	JJ	<unknown>
plan	NN	plan
for	IN	for
the	DT	the
universe	NN	universe
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
are	VBP	be
possibilities	NNS	possibility
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
that	IN	that
you	PP	you
get	VBP	get
into	IN	into
trouble	NN	trouble
when	WRB	when
you	PP	you
ask	VBP	ask
a	DT	a
single	JJ	single
question	NN	question
with	IN	with
a	DT	a
single	JJ	single
box	NN	box
for	IN	for
an	DT	an
answer	NN	answer
,	,	,
in	IN	in
which	WDT	which
that	DT	that
single	JJ	single
question	NN	question
actually	RB	actually
is	VBZ	be
many	JJ	many
questions	NNS	question
with	IN	with
quite	RB	quite
different	JJ	different
meanings	NNS	meaning
,	,	,
but	CC	but
with	IN	with
the	DT	the
same	JJ	same
words	NNS	word
.	SENT	.
Asking	VBG	ask
,	,	,
"	``	"
What	WP	what
is	VBZ	be
simplicity	NN	simplicity
?	SENT	?
"	``	"
I	PP	I
think	VBP	think
falls	NNS	fall
in	IN	in
that	DT	that
category	NN	category
.	SENT	.
What	WP	what
is	VBZ	be
the	DT	the
state	NN	state
of	IN	of
science	NN	science
?	SENT	?
And	CC	and
,	,	,
interestingly	RB	interestingly
,	,	,
complexity	NN	complexity
is	VBZ	be
very	RB	very
highly	RB	highly
evolved	VBN	evolve
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
interesting	JJ	interesting
information	NN	information
about	IN	about
what	WP	what
complexity	NN	complexity
is	VBZ	be
.	SENT	.
Simplicity	NN	simplicity
,	,	,
for	IN	for
reasons	NNS	reason
that	WDT	that
are	VBP	be
a	DT	a
little	JJ	little
bit	NN	bit
obscure	NN	obscure
,	,	,
is	VBZ	be
almost	RB	almost
not	RB	not
pursued	VBN	pursue
,	,	,
at	IN	at
least	JJS	least
in	IN	in
the	DT	the
academic	JJ	academic
world	NN	world
.	SENT	.
We	PP	we
academics	NNS	academic
—	:	-
I	PP	I
am	VBP	be
an	DT	an
academic	JJ	academic
—	:	-
we	PP	we
love	VBP	love
complexity	NN	complexity
.	SENT	.
You	PP	you
can	MD	can
write	VB	write
papers	NNS	paper
about	IN	about
complexity	NN	complexity
,	,	,
and	CC	and
the	DT	the
nice	JJ	nice
thing	NN	thing
about	IN	about
complexity	NN	complexity
is	VBZ	be
it	PP	it
'	POS	'
s	NN	S
fundamentally	RB	fundamentally
intractable	JJ	intractable
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
not	RB	not
responsible	JJ	responsible
for	IN	for
outcomes	NNS	outcome
.	SENT	.
Simplicity	NN	simplicity
—	:	-
all	DT	all
of	IN	of
you	PP	you
really	RB	really
would	MD	would
like	VB	like
your	PP$	your
Waring	NP	Waring
Blender	NN	blender
in	IN	in
the	DT	the
morning	NN	morning
to	TO	to
make	VB	make
whatever	WDT	whatever
a	DT	a
Waring	NP	Waring
Blender	NN	blender
does	VBZ	do
,	,	,
but	CC	but
not	RB	not
explode	VB	explode
or	CC	or
play	VB	play
Beethoven	NP	Beethoven
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
interested	JJ	interested
in	IN	in
the	DT	the
limits	NNS	limit
of	IN	of
these	DT	these
things	NNS	thing
.	SENT	.
So	RB	so
what	WP	what
one	PP	one
is	VBZ	be
interested	JJ	interested
in	RB	in
has	VBZ	have
a	DT	a
lot	NN	lot
to	TO	to
do	VB	do
with	IN	with
the	DT	the
rewards	NNS	reward
of	IN	of
the	DT	the
system	NN	system
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
rewards	NNS	reward
in	IN	in
thinking	VBG	think
about	IN	about
complexity	NN	complexity
and	CC	and
emergence	NN	emergence
,	,	,
not	RB	not
so	RB	so
much	JJ	much
in	IN	in
thinking	VBG	think
about	IN	about
simplicity	NN	simplicity
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
help	VB	help
you	PP	you
with	IN	with
a	DT	a
very	RB	very
important	JJ	important
task	NN	task
—	:	-
which	WDT	which
you	PP	you
may	MD	may
not	RB	not
know	VB	know
that	IN	that
you	PP	you
have	VBP	have
very	RB	very
often	RB	often
—	:	-
which	WDT	which
is	VBZ	be
to	TO	to
understand	VB	understand
how	WRB	how
to	TO	to
sit	VB	sit
next	JJ	next
to	TO	to
a	DT	a
physicist	NN	physicist
at	IN	at
a	DT	a
dinner	NN	dinner
party	NN	party
and	CC	and
have	VB	have
a	DT	a
conversation	NN	conversation
.	SENT	.
And	CC	and
the	DT	the
words	NNS	word
that	IN	that
I	PP	I
would	MD	would
like	VB	like
you	PP	you
to	TO	to
focus	VB	focus
on	IN	on
are	VBP	be
complexity	NN	complexity
and	CC	and
emergence	NN	emergence
,	,	,
because	IN	because
these	DT	these
will	MD	will
enable	VB	enable
you	PP	you
to	TO	to
start	VB	start
the	DT	the
conversation	NN	conversation
and	CC	and
then	RB	then
daydream	VBG	daydream
about	IN	about
other	JJ	other
things	NNS	thing
.	SENT	.
All	DT	all
right	NN	right
,	,	,
what	WP	what
is	VBZ	be
complexity	NN	complexity
in	IN	in
this	DT	this
view	NN	view
of	IN	of
things	NNS	thing
,	,	,
and	CC	and
what	WP	what
is	VBZ	be
emergence	NN	emergence
?	SENT	?
We	PP	we
have	VBP	have
,	,	,
actually	RB	actually
,	,	,
a	DT	a
pretty	RB	pretty
good	JJ	good
working	VBG	work
definition	NN	definition
of	IN	of
complexity	NN	complexity
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
system	NN	system
,	,	,
like	IN	like
traffic	NN	traffic
,	,	,
which	WDT	which
has	VBZ	have
components	NNS	component
.	SENT	.
The	DT	the
components	NNS	component
interact	VBP	interact
with	IN	with
one	CD	one
another	DT	another
.	SENT	.
These	DT	these
are	VBP	be
cars	NNS	car
and	CC	and
drivers	NNS	driver
.	SENT	.
They	PP	they
dissipate	VBP	dissipate
energy	NN	energy
.	SENT	.
It	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
,	,	,
whenever	WRB	whenever
you	PP	you
have	VBP	have
that	DT	that
system	NN	system
,	,	,
weird	JJ	weird
stuff	NN	stuff
happens	VBZ	happen
,	,	,
and	CC	and
you	PP	you
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
probably	RB	probably
know	VBP	know
this	DT	this
better	JJR	good
than	IN	than
anyone	NN	anyone
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
another	DT	another
example	NN	example
,	,	,
which	WDT	which
I	PP	I
put	VBD	put
up	RP	up
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
example	NN	example
of	IN	of
really	RB	really
important	JJ	important
current	JJ	current
science	NN	science
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
possibly	RB	possibly
read	VBD	read
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
intended	VBD	intend
that	IN	that
you	PP	you
read	VBP	read
it	PP	it
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
a	DT	a
tiny	JJ	tiny
part	NN	part
of	IN	of
the	DT	the
chemical	JJ	chemical
reactions	NNS	reaction
going	VBG	go
on	IN	on
in	IN	in
each	DT	each
of	IN	of
your	PP$	your
cells	NNS	cell
at	IN	at
any	DT	any
given	VBN	give
moment	NN	moment
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
like	IN	like
the	DT	the
traffic	NN	traffic
that	IN	that
you	PP	you
see	VBP	see
.	SENT	.
The	DT	the
amazing	JJ	amazing
thing	NN	thing
about	IN	about
the	DT	the
cell	NN	cell
is	VBZ	be
that	IN	that
it	PP	it
actually	RB	actually
does	VBZ	do
maintain	VB	maintain
a	DT	a
fairly	RB	fairly
stable	JJ	stable
working	VBG	work
relationship	NN	relationship
with	IN	with
other	JJ	other
cells	NNS	cell
,	,	,
but	CC	but
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
.	SENT	.
Anyone	NN	anyone
who	WP	who
tells	VBZ	tell
you	PP	you
that	IN	that
we	PP	we
understand	VBP	understand
life	NN	life
,	,	,
walk	VBP	walk
away	RB	away
.	SENT	.
And	CC	and
let	VB	let
me	PP	me
reduce	VB	reduce
this	DT	this
to	TO	to
the	DT	the
simplest	JJS	simple
level	NN	level
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
heard	VBD	hear
from	IN	from
Bill	NP	Bill
Gates	NP	Gates
recently	RB	recently
.	SENT	.
All	DT	all
of	IN	of
us	PP	us
,	,	,
to	TO	to
some	DT	some
extent	NN	extent
,	,	,
study	VB	study
this	DT	this
thing	NN	thing
called	VBD	call
a	DT	a
Bill	NP	Bill
Gates	NP	Gates
.	SENT	.
Terrific	JJ	terrific
.	SENT	.
You	PP	you
learn	VBP	learn
everything	NN	everything
you	PP	you
can	MD	can
about	RB	about
that	RB	that
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
kind	NN	kind
of	IN	of
thing	NN	thing
that	IN	that
you	PP	you
might	MD	might
study	VB	study
,	,	,
and	CC	and
you	PP	you
study	VBP	study
that	IN	that
hard	JJ	hard
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
Bono	NP	Bono
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
Bono	NP	Bono
.	SENT	.
But	CC	but
then	RB	then
,	,	,
if	IN	if
you	PP	you
know	VBP	know
everything	NN	everything
you	PP	you
can	MD	can
know	VB	know
about	IN	about
those	DT	those
two	CD	two
things	NNS	thing
,	,	,
and	CC	and
you	PP	you
put	VBP	put
them	PP	them
together	RB	together
,	,	,
what	WP	what
can	MD	can
you	PP	you
say	VB	say
about	IN	about
this	DT	this
combination	NN	combination
?	SENT	?
The	DT	the
answer	NN	answer
is	VBZ	be
,	,	,
not	RB	not
a	DT	a
lot	NN	lot
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
complexity	NN	complexity
.	SENT	.
Now	RB	now
,	,	,
imagine	VB	imagine
building	NN	building
that	IN	that
up	RB	up
to	TO	to
a	DT	a
city	NN	city
,	,	,
or	CC	or
to	TO	to
a	DT	a
society	NN	society
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
,	,	,
obviously	RB	obviously
,	,	,
an	DT	an
interesting	JJ	interesting
problem	NN	problem
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	RB	so
let	VB	let
me	PP	me
give	VB	give
you	PP	you
an	DT	an
example	NN	example
of	IN	of
simplicity	NN	simplicity
of	IN	of
a	DT	a
particular	JJ	particular
kind	NN	kind
.	SENT	.
And	CC	and
I	PP	I
want	VBP	want
to	TO	to
introduce	VB	introduce
a	DT	a
word	NN	word
that	IN	that
I	PP	I
think	VBP	think
is	VBZ	be
very	RB	very
useful	JJ	useful
,	,	,
which	WDT	which
is	VBZ	be
stacking	VBG	stack
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
use	VB	use
stacking	VBG	stack
for	IN	for
a	DT	a
kind	NN	kind
of	IN	of
simplicity	NN	simplicity
that	WDT	that
has	VBZ	have
the	DT	the
characteristic	NN	characteristic
that	IN	that
it	PP	it
is	VBZ	be
so	RB	so
simple	JJ	simple
and	CC	and
so	RB	so
reliable	JJ	reliable
that	IN	that
I	PP	I
can	MD	can
build	VB	build
things	NNS	thing
with	IN	with
it	PP	it
.	SENT	.
Or	CC	or
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
use	VB	use
simple	JJ	simple
to	TO	to
mean	VB	mean
reliable	JJ	reliable
,	,	,
predictable	JJ	predictable
,	,	,
repeatable	JJ	repeatable
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
use	VB	use
as	IN	as
an	DT	an
example	NN	example
the	DT	the
Internet	NN	Internet
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
a	DT	a
particularly	RB	particularly
good	JJ	good
example	NN	example
of	IN	of
stacked	VBN	stack
simplicity	NN	simplicity
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
a	DT	a
complex	JJ	complex
system	NN	system
,	,	,
which	WDT	which
it	PP	it
is	VBZ	be
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
something	NN	something
else	RB	else
.	SENT	.
The	DT	the
Internet	NN	Internet
starts	VBZ	start
with	IN	with
mathematics	NN	mathematics
,	,	,
it	PP	it
starts	VBZ	start
with	IN	with
binary	NN	binary
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
list	NN	list
of	IN	of
things	NNS	thing
on	IN	on
the	DT	the
bottom	NN	bottom
,	,	,
we	PP	we
are	VBP	be
familiar	JJ	familiar
with	IN	with
the	DT	the
Arabic	NP	Arabic
numbers	NNS	number
one	CD	one
to	TO	to
10	CD	@card@
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
In	IN	in
binary	NN	binary
,	,	,
one	PP	one
is	VBZ	be
0001	CD	@card@
,	,	,
seven	CD	seven
is	VBZ	be
0111	CD	@card@
.	SENT	.
The	DT	the
question	NN	question
is	VBZ	be
:	:	:
Why	WRB	why
is	VBZ	be
binary	JJ	binary
simpler	JJR	simple
than	IN	than
Arabic	NP	Arabic
?	SENT	?
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
,	,	,
simply	RB	simply
,	,	,
that	IN	that
if	IN	if
I	PP	I
hold	VBP	hold
up	RP	up
three	CD	three
fingers	NNS	finger
,	,	,
you	PP	you
can	MD	can
count	VB	count
that	IN	that
easily	RB	easily
,	,	,
but	CC	but
if	IN	if
I	PP	I
hold	VBP	hold
up	RP	up
this	DT	this
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
hard	JJ	hard
to	TO	to
say	VB	say
that	IN	that
I	PP	I
just	RB	just
did	VBD	do
seven	CD	seven
.	SENT	.
The	DT	the
virtue	NN	virtue
of	IN	of
binary	NN	binary
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NN	S
the	DT	the
simplest	JJS	simple
possible	JJ	possible
way	NN	way
of	IN	of
representing	VBG	represent
numbers	NNS	number
.	SENT	.
Anything	NN	anything
else	RB	else
is	VBZ	be
more	RBR	more
complicated	JJ	complicated
.	SENT	.
You	PP	you
can	MD	can
catch	VB	catch
errors	NNS	error
with	IN	with
it	PP	it
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
unambiguous	JJ	unambiguous
in	IN	in
its	PP$	its
reading	NN	reading
,	,	,
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
good	JJ	good
things	NNS	thing
about	IN	about
binary	NN	binary
.	SENT	.
So	RB	so
it	PP	it
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
simple	JJ	simple
once	IN	once
you	PP	you
learn	VBP	learn
how	WRB	how
to	TO	to
read	VB	read
it	PP	it
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
like	VBP	like
to	TO	to
represent	VB	represent
this	DT	this
zero	CD	zero
and	CC	and
one	CD	one
of	IN	of
binary	NN	binary
,	,	,
you	PP	you
need	VBP	need
a	DT	a
device	NN	device
.	SENT	.
And	CC	and
think	VBP	think
of	IN	of
things	NNS	thing
in	IN	in
your	PP$	your
life	NN	life
that	WDT	that
are	VBP	be
binary	JJ	binary
,	,	,
one	CD	one
of	IN	of
them	PP	them
is	VBZ	be
light	JJ	light
switches	NNS	switch
.	SENT	.
They	PP	they
