Why	WRB	why
first	JJ	first
question	NN	question
is	VBZ	be
:	:	:
Who	WP	who
are	VBP	be
you	PP	you
?	SENT	?
Who	WP	who
are	VBP	be
you	PP	you
?	SENT	?
Say	VB	say
you	PP	you
'	''	'
re	IN	re
walking	VBG	walk
to	TO	to
do	VB	do
something	NN	something
.	SENT	.
Perhaps	RB	perhaps
something	NN	something
very	RB	very
important	JJ	important
.	SENT	.
Something	NN	something
that	WDT	that
may	MD	may
be	VB	be
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
but	CC	but
very	RB	very
hard	JJ	hard
.	SENT	.
Ask	VB	ask
yourself	PP	yourself
.	SENT	.
Who	WP	who
is	VBZ	be
walking	VBG	walk
to	TO	to
do	VB	do
this	DT	this
?	SENT	?
Can	MD	can
you	PP	you
see	VB	see
that	IN	that
you	PP	you
are	VBP	be
,	,	,
in	IN	in
fact	NN	fact
,	,	,
an	DT	an
entire	JJ	entire
lineage	NN	lineage
of	IN	of
parents	NNS	parent
,	,	,
grandparents	NNS	grandparent
and	CC	and
ancestors	NNS	ancestor
?	SENT	?
We	PP	we
carry	VBP	carry
all	DT	all
of	IN	of
them	PP	them
within	IN	within
us	PP	us
.	SENT	.
Their	PP$	their
qualities	NNS	quality
and	CC	and
their	PP$	their
weaknesses	NNS	weakness
.	SENT	.
Their	PP$	their
hopes	NNS	hope
,	,	,
their	PP$	their
regrets	NNS	regret
,	,	,
their	PP$	their
fears	NNS	fear
.	SENT	.
Each	DT	each
one	CD	one
of	IN	of
us	PP	us
is	VBZ	be
in	IN	in
some	DT	some
way	NN	way
an	DT	an
ambassador	NN	ambassador
of	IN	of
our	PP$	our
species	NNS	specie
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
walk	VBP	walk
,	,	,
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
activate	VB	activate
the	DT	the
best	JJS	good
of	IN	of
ourselves	PP	ourselves
.	SENT	.
The	DT	the
qualities	NNS	quality
of	IN	of
awakening	NN	awakening
.	SENT	.
Endurance	NN	endurance
.	SENT	.
Compassion	NN	compassion
.	SENT	.
Generosity	NN	generosity
.	SENT	.
Fearlessness	NN	fearlessness
and	CC	and
hope	NN	hope
.	SENT	.
And	CC	and
going	VBG	go
further	RBR	further
,	,	,
as	IN	as
we	PP	we
walk	VBP	walk
,	,	,
we	PP	we
realize	VBP	realize
that	IN	that
we	PP	we
embody	VBP	embody
millions	NNS	million
of	IN	of
years	NNS	year
of	IN	of
evolution	NN	evolution
.	SENT	.
Each	DT	each
one	CD	one
of	IN	of
us	PP	us
is	VBZ	be
nothing	RB	nothing
less	JJR	less
than	IN	than
a	DT	a
representative	NN	representative
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
A	DT	a
child	NN	child
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
In	IN	in
this	DT	this
very	JJ	very
moment	NN	moment
,	,	,
we	PP	we
are	VBP	be
all	RB	all
made	VBN	make
of	IN	of
Earth	NP	Earth
,	,	,
sun	NN	sun
and	CC	and
stars	NNS	star
.	SENT	.
Mountains	NNS	mountain
and	CC	and
rivers	NNS	river
,	,	,
savannahs	NNS	savannah
and	CC	and
rainforests	NNS	rainforest
.	SENT	.
It	PP	it
is	VBZ	be
impossible	JJ	impossible
for	IN	for
us	PP	us
to	TO	to
be	VB	be
without	IN	without
all	PDT	all
these	DT	these
elements	NNS	element
.	SENT	.
And	CC	and
realizing	VBG	realize
this	DT	this
is	VBZ	be
to	TO	to
see	VB	see
with	IN	with
the	DT	the
insight	NN	insight
of	IN	of
interbeing	NN	interbeing
.	SENT	.
This	DT	this
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
intellectual	JJ	intellectual
knowledge	NN	knowledge
.	SENT	.
But	CC	but
the	DT	the
living	VBG	live
insight	NN	insight
that	IN	that
you	PP	you
and	CC	and
I	PP	I
,	,	,
we	PP	we
are	VBP	be
much	RB	much
more	RBR	more
than	IN	than
we	PP	we
think	VBP	think
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
an	DT	an
immense	JJ	immense
source	NN	source
of	IN	of
love	NN	love
and	CC	and
strength	NN	strength
as	IN	as
we	PP	we
take	VBP	take
action	NN	action
in	IN	in
the	DT	the
here	RB	here
and	CC	and
now	RB	now
.	SENT	.
Which	WDT	which
brings	VBZ	bring
us	PP	us
to	TO	to
question	VB	question
number	NN	number
two	CD	two
.	SENT	.
Where	WRB	where
are	VBP	be
you	PP	you
?	SENT	?
Are	VBP	be
you	PP	you
here	RB	here
?	SENT	?
Are	VBP	be
you	PP	you
now	RB	now
?	SENT	?
Do	VB	do
you	PP	you
feel	VB	feel
at	IN	at
home	NN	home
in	IN	in
yourself	PP	yourself
,	,	,
relaxed	VBN	relax
and	CC	and
at	IN	at
ease	NN	ease
?	SENT	?
Or	CC	or
is	VBZ	be
there	RB	there
still	RB	still
some	DT	some
restlessness	NN	restlessness
,	,	,
perhaps	RB	perhaps
a	DT	a
little	JJ	little
agitation	NN	agitation
?	SENT	?
We	PP	we
may	MD	may
feel	VB	feel
distracted	VBN	distract
,	,	,
preoccupied	VBN	preoccupy
.	SENT	.
There	EX	there
are	VBP	be
those	DT	those
who	WP	who
say	VBP	say
we	PP	we
are	VBP	be
too	RB	too
much	JJ	much
in	IN	in
the	DT	the
present	JJ	present
,	,	,
not	RB	not
planning	VBG	plan
enough	RB	enough
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
difference	NN	difference
between	IN	between
being	VBG	be
alert	JJ	alert
and	CC	and
awake	JJ	awake
to	TO	to
what	WP	what
is	VBZ	be
going	VBG	go
on	RB	on
and	CC	and
being	VBG	be
lost	VBN	lose
in	IN	in
our	PP$	our
work	NN	work
or	CC	or
projects	NNS	project
,	,	,
or	CC	or
drowning	VBG	drown
ourselves	PP	ourselves
in	IN	in
consuming	NN	consuming
to	TO	to
cover	VB	cover
up	RP	up
,	,	,
escape	VB	escape
from	IN	from
or	CC	or
numb	VB	numb
ourselves	PP	ourselves
to	TO	to
what	WP	what
is	VBZ	be
actually	RB	actually
happening	VBG	happen
.	SENT	.
Training	VBG	train
our	PP$	our
body	NN	body
and	CC	and
mind	VB	mind
to	TO	to
be	VB	be
fully	RB	fully
present	JJ	present
in	IN	in
the	DT	the
here	RB	here
and	CC	and
now	RB	now
is	VBZ	be
essential	JJ	essential
to	TO	to
our	PP$	our
survival	NN	survival
and	CC	and
to	TO	to
the	DT	the
future	NN	future
we	PP	we
are	VBP	be
creating	VBG	create
.	SENT	.
It	PP	it
is	VBZ	be
in	IN	in
the	DT	the
present	JJ	present
and	CC	and
only	RB	only
in	IN	in
the	DT	the
present	NN	present
that	IN	that
we	PP	we
can	MD	can
truly	RB	truly
nourish	VB	nourish
our	PP$	our
happiness	NN	happiness
and	CC	and
handle	VB	handle
and	CC	and
take	VB	take
care	NN	care
of	IN	of
our	PP$	our
pain	NN	pain
and	CC	and
our	PP$	our
suffering	NN	suffering
.	SENT	.
For	IN	for
example	NN	example
,	,	,
in	IN	in
this	DT	this
moment	NN	moment
,	,	,
if	IN	if
each	DT	each
of	IN	of
us	PP	us
takes	VBZ	take
time	NN	time
to	TO	to
really	RB	really
breathe	VB	breathe
in	RP	in
and	CC	and
come	VB	come
back	RB	back
to	TO	to
our	PP$	our
body	NN	body
,	,	,
we	PP	we
may	MD	may
find	VB	find
tension	NN	tension
.	SENT	.
And	CC	and
right	RB	right
now	RB	now
,	,	,
on	IN	on
an	DT	an
out	JJ	out
breath	NN	breath
,	,	,
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
release	VB	release
that	DT	that
tension	NN	tension
.	SENT	.
This	DT	this
is	VBZ	be
possible	JJ	possible
right	RB	right
away	RB	away
.	SENT	.
If	IN	if
we	PP	we
come	VBP	come
back	RB	back
to	TO	to
ourselves	PP	ourselves
in	IN	in
this	DT	this
moment	NN	moment
and	CC	and
we	PP	we
find	VBP	find
sadness	NN	sadness
,	,	,
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
embrace	VB	embrace
it	PP	it
.	SENT	.
If	IN	if
we	PP	we
find	VBP	find
fear	NN	fear
,	,	,
anger	NN	anger
,	,	,
despair	NN	despair
,	,	,
we	PP	we
have	VBP	have
a	DT	a
chance	NN	chance
to	TO	to
accompany	VB	accompany
it	PP	it
,	,	,
to	TO	to
be	VB	be
with	IN	with
it	PP	it
and	CC	and
to	TO	to
look	VB	look
deeply	RB	deeply
into	IN	into
what	WP	what
it	PP	it
is	VBZ	be
telling	VBG	tell
us	PP	us
.	SENT	.
Our	PP$	our
suffering	NN	suffering
contains	VBZ	contain
within	IN	within
it	PP	it
the	DT	the
suffering	NN	suffering
of	IN	of
our	PP$	our
world	NN	world
.	SENT	.
The	DT	the
violence	NN	violence
,	,	,
the	DT	the
destruction	NN	destruction
,	,	,
the	DT	the
discrimination	NN	discrimination
and	CC	and
exploitation	NN	exploitation
that	WDT	that
is	VBZ	be
going	VBG	go
on	IN	on
right	RB	right
now	RB	now
across	IN	across
our	PP$	our
planet	NN	planet
.	SENT	.
We	PP	we
are	VBP	be
doing	VBG	do
real	JJ	real
harm	NN	harm
to	TO	to
one	CD	one
another	DT	another
and	CC	and
to	TO	to
all	DT	all
species	NN	species
.	SENT	.
And	CC	and
the	DT	the
more	JJR	more
we	PP	we
realize	VBP	realize
this	DT	this
,	,	,
the	DT	the
more	RBR	more
we	PP	we
awaken	VBP	awaken
to	TO	to
this	DT	this
,	,	,
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
to	TO	to
help	VB	help
,	,	,
to	TO	to
transform	VB	transform
the	DT	the
situation	NN	situation
.	SENT	.
But	CC	but
this	DT	this
requires	VBZ	require
a	DT	a
tremendous	JJ	tremendous
source	NN	source
of	IN	of
energy	NN	energy
.	SENT	.
And	CC	and
where	WRB	where
can	MD	can
we	PP	we
ever	RB	ever
find	VBP	find
enough	JJ	enough
energy	NN	energy
?	SENT	?
In	IN	in
the	DT	the
Buddhist	NN	Buddhist
tradition	NN	tradition
,	,	,
we	PP	we
know	VBP	know
that	IN	that
our	PP$	our
intention	NN	intention
,	,	,
our	PP$	our
deepest	JJS	deep
aspiration	NN	aspiration
,	,	,
is	VBZ	be
an	DT	an
immense	JJ	immense
source	NN	source
of	IN	of
energy	NN	energy
.	SENT	.
Which	WDT	which
brings	VBZ	bring
us	PP	us
to	TO	to
question	VB	question
number	NN	number
three	CD	three
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
want	VBP	want
?	SENT	?
What	WP	what
do	VBP	do
you	PP	you
really	RB	really
want	VBP	want
?	SENT	?
What	WP	what
is	VBZ	be
most	RBS	most
important	JJ	important
to	TO	to
you	PP	you
?	SENT	?
This	DT	this
is	VBZ	be
not	RB	not
only	RB	only
about	IN	about
doing	VBG	do
,	,	,
this	DT	this
is	VBZ	be
also	RB	also
about	IN	about
being	VBG	be
.	SENT	.
It	PP	it
is	VBZ	be
possible	JJ	possible
to	TO	to
be	VB	be
firmly	RB	firmly
rooted	VBN	root
in	IN	in
the	DT	the
present	JJ	present
moment	NN	moment
,	,	,
and	CC	and
yet	RB	yet
motivated	VBN	motivate
,	,	,
energized	VBN	energize
by	IN	by
a	DT	a
deep	JJ	deep
desire	NN	desire
,	,	,
a	DT	a
deep	JJ	deep
love	NN	love
to	TO	to
contribute	VB	contribute
something	NN	something
positive	JJ	positive
.	SENT	.
And	CC	and
wherever	WRB	wherever
we	PP	we
choose	VBP	choose
to	TO	to
make	VB	make
our	PP$	our
contribution	NN	contribution
,	,	,
our	PP$	our
task	NN	task
is	VBZ	be
to	TO	to
do	VB	do
our	PP$	our
best	JJS	good
in	IN	in
that	DT	that
spot	NN	spot
and	CC	and
we	PP	we
will	MD	will
have	VB	have
peace	NN	peace
.	SENT	.
Even	RB	even
the	DT	the
simplest	JJS	simple
act	NN	act
born	VBN	bear
from	IN	from
love	NN	love
resonates	VBZ	resonate
without	IN	without
limit	NN	limit
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
walking	NN	walking
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
arrive	VB	arrive
into	IN	into
our	PP$	our
life	NN	life
at	IN	at
every	DT	every
step	NN	step
.	SENT	.
And	CC	and
we	PP	we
get	VBP	get
to	TO	to
ask	VB	ask
ourself	NN	<unknown>
,	,	,
Is	VBZ	be
this	RB	this
how	WRB	how
I	PP	I
want	VBP	want
to	TO	to
live	VB	live
my	PP$	my
life	NN	life
?	SENT	?
Life	NN	life
is	VBZ	be
short	JJ	short
,	,	,
and	CC	and
each	DT	each
one	CD	one
of	IN	of
us	PP	us
needs	VBZ	need
to	TO	to
identify	VB	identify
and	CC	and
nurture	VB	nurture
our	PP$	our
deepest	JJS	deep
aspiration	NN	aspiration
,	,	,
rekindle	VB	rekindle
it	PP	it
if	IN	if
necessary	JJ	necessary
and	CC	and
find	VB	find
a	DT	a
community	NN	community
of	IN	of
friends	NNS	friend
and	CC	and
allies	NNS	ally
who	WP	who
share	VBP	share
the	DT	the
same	JJ	same
dream	NN	dream
.	SENT	.
And	CC	and
with	IN	with
the	DT	the
insight	NN	insight
of	IN	of
interbeing	NN	interbeing
,	,	,
we	PP	we
see	VBP	see
that	IN	that
we	PP	we
'	''	'
re	IN	re
not	RB	not
a	DT	a
small	JJ	small
me	FW	me
realizing	VBG	realize
our	PP$	our
dream	NN	dream
,	,	,
but	CC	but
a	DT	a
vast	JJ	vast
us	PP	us
.	SENT	.
And	CC	and
we	PP	we
arrive	VBP	arrive
at	IN	at
our	PP$	our
destination	NN	destination
in	IN	in
every	DT	every
step	NN	step
.	SENT	.
So	RB	so
who	WP	who
am	VBP	be
I	PP	I
?	SENT	?
Where	WRB	where
am	VBP	be
I	PP	I
?	SENT	?
And	CC	and
what	WP	what
do	VBP	do
I	PP	I
want	VBP	want
?	SENT	?
The	DT	the
act	NN	act
of	IN	of
asking	VBG	ask
these	DT	these
three	CD	three
questions	NNS	question
in	IN	in
the	DT	the
heart	NN	heart
of	IN	of
our	PP$	our
daily	JJ	daily
life	NN	life
,	,	,
as	IN	as
we	PP	we
walk	VBP	walk
,	,	,
will	MD	will
help	VB	help
us	PP	us
to	TO	to
wake	VB	wake
up	RP	up
.	SENT	.
Because	IN	because
the	DT	the
fact	NN	fact
is	VBZ	be
,	,	,
if	IN	if
we	PP	we
keep	VBP	keep
going	VBG	go
in	IN	in
the	DT	the
direction	NN	direction
we	PP	we
are	VBP	be
going	VBG	go
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
doubt	NN	doubt
our	PP$	our
civilization	NN	civilization
will	MD	will
end	VB	end
soon	RB	soon
.	SENT	.
Many	JJ	many
civilizations	NNS	civilization
have	VBP	have
ended	VBN	end
,	,	,
and	CC	and
ours	PP	ours
is	VBZ	be
no	RB	no
different	JJ	different
.	SENT	.
And	CC	and
if	IN	if
our	PP$	our
awakening	NN	awakening
to	TO	to
this	DT	this
truth	NN	truth
is	VBZ	be
not	RB	not
strong	JJ	strong
enough	RB	enough
,	,	,
our	PP$	our
actions	NNS	action
will	MD	will
not	RB	not
be	VB	be
strong	JJ	strong
enough	RB	enough
to	TO	to
heal	VB	heal
ourselves	PP	ourselves
and	CC	and
to	TO	to
protect	VB	protect
our	PP$	our
Earth	NN	earth
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
see	VB	see
the	DT	the
suffering	NN	suffering
,	,	,
the	DT	the
truth	NN	truth
,	,	,
in	IN	in
order	NN	order
to	TO	to
get	VB	get
the	DT	the
awakening	NN	awakening
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
deep	JJ	deep
connection	NN	connection
between	IN	between
the	DT	the
two	CD	two
.	SENT	.
We	PP	we
can	MD	can
'	''	'
t	NN	t
help	NN	help
if	IN	if
we	PP	we
'	POS	'
re	NN	re
numb	NN	numb
or	CC	or
if	IN	if
we	PP	we
'	POS	'
re	NN	re
overwhelmed	VBD	overwhelm
.	SENT	.
Only	RB	only
when	WRB	when
we	PP	we
dare	VBP	dare
to	TO	to
feel	VB	feel
in	IN	in
our	PP$	our
body	NN	body
what	WP	what
all	PDT	all
these	DT	these
facts	NNS	fact
,	,	,
all	PDT	all
this	DT	this
information	NN	information
means	VBZ	mean
,	,	,
will	MD	will
we	PP	we
truly	RB	truly
awaken	VBP	awaken
to	TO	to
the	DT	the
preciousness	NN	preciousness
of	IN	of
life	NN	life
.	SENT	.
And	CC	and
to	TO	to
the	DT	the
danger	NN	danger
we	PP	we
are	VBP	be
in	IN	in
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
the	DT	the
spiritual	JJ	spiritual
strength	NN	strength
;	:	;
we	PP	we
need	VBP	need
to	TO	to
do	VB	do
this	DT	this
.	SENT	.
Mindful	JJ	mindful
breathing	NN	breathing
and	CC	and
walking	NN	walking
can	MD	can
give	VB	give
us	PP	us
stability	NN	stability
and	CC	and
non-fear	NN	<unknown>
.	SENT	.
Being	VBG	be
in	IN	in
contact	NN	contact
with	IN	with
nature	NN	nature
lifts	VBZ	lift
our	PP$	our
spirits	NNS	spirit
and	CC	and
heals	VBZ	heal
our	PP$	our
soul	NN	soul
.	SENT	.
The	DT	the
Earth	NN	earth
,	,	,
our	PP$	our
ancestors	NNS	ancestor
and	CC	and
our	PP$	our
descendants	NNS	descendant
,	,	,
they	PP	they
are	VBP	be
all	RB	all
here	RB	here
with	IN	with
us	PP	us
in	IN	in
this	DT	this
moment	NN	moment
.	SENT	.
Giving	VBG	give
us	PP	us
clarity	NN	clarity
to	TO	to
see	VB	see
the	DT	the
truth	NN	truth
and	CC	and
courage	NN	courage
to	TO	to
take	VB	take
radical	JJ	radical
loving	JJ	loving
action	NN	action
.	SENT	.
And	CC	and
with	IN	with
this	DT	this
awakening	NN	awakening
and	CC	and
this	DT	this
spiritual	JJ	spiritual
strength	NN	strength
,	,	,
it	PP	it
is	VBZ	be
possible	JJ	possible
for	IN	for
us	PP	us
to	TO	to
act	VB	act
with	IN	with
the	DT	the
urgency	NN	urgency
of	IN	of
today	NN	today
and	CC	and
also	RB	also
with	IN	with
the	DT	the
freedom	NN	freedom
of	IN	of
eternity	NN	eternity
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
