I	PP	I
what	WP	what
the	DT	the
current	JJ	current
traffic	NN	traffic
conditions	NNS	condition
are	VBP	be
in	IN	in
space	NN	space
,	,	,
maybe	RB	maybe
even	RB	even
predict	VB	predict
these	DT	these
.	SENT	.
The	DT	the
problem	NN	problem
with	IN	with
that	DT	that
,	,	,
however	RB	however
,	,	,
is	VBZ	be
that	WDT	that
ask	VBP	ask
five	CD	five
different	JJ	different
people	NNS	people
,	,	,
"	''	"
What	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
in	IN	in
orbit	NN	orbit
?	SENT	?
Where	WRB	where
are	VBP	be
things	NNS	thing
going	VBG	go
?	SENT	?
"	``	"
and	CC	and
you	PP	you
'	POS	'
re	NN	re
probably	RB	probably
going	VBG	go
to	TO	to
get	VB	get
10	CD	@card@
different	JJ	different
answers	NNS	answer
.	SENT	.
Why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
because	IN	because
information	NN	information
about	IN	about
things	NNS	thing
on	IN	on
orbit	NN	orbit
is	VBZ	be
not	RB	not
commonly	RB	commonly
shared	VBN	share
either	RB	either
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
we	PP	we
had	VBD	have
a	DT	a
globally	RB	globally
accessible	JJ	accessible
,	,	,
open	JJ	open
and	CC	and
transparent	JJ	transparent
space	NN	space
traffic	NN	traffic
information	NN	information
system	NN	system
that	WDT	that
can	MD	can
inform	VB	inform
the	DT	the
public	NN	public
of	IN	of
where	WRB	where
everything	NN	everything
is	VBZ	be
located	VBN	locate
to	TO	to
try	VB	try
to	TO	to
keep	VB	keep
space	NN	space
safe	JJ	safe
and	CC	and
sustainable	JJ	sustainable
?	SENT	?
And	CC	and
what	WP	what
if	IN	if
the	DT	the
system	NN	system
could	MD	could
be	VB	be
used	VBN	use
to	TO	to
form	VB	form
evidence-based	JJ	<unknown>
norms	NNS	norm
of	IN	of
behavior	NN	behavior
â	NP	<unknown>
these	DT	these
space	NN	space
traffic	NN	traffic
rules	NNS	rule
?	SENT	?
So	RB	so
I	PP	I
developed	VBD	develop
ASTRIAGraph	NP	<unknown>
,	,	,
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
first	JJ	first
crowdsourced	NN	<unknown>
,	,	,
space	NN	space
traffic	NN	traffic
monitoring	VBG	monitor
system	NN	system
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Texas	NP	Texas
at	IN	at
Austin	NP	Austin
.	SENT	.
ASTRIAGraph	NP	<unknown>
combines	VBZ	combine
multiple	JJ	multiple
sources	NNS	source
of	IN	of
information	NN	information
from	IN	from
around	IN	around
the	DT	the
globe	NN	globe
â	NP	<unknown>
government	NN	government
,	,	,
industry	NN	industry
and	CC	and
academia	NN	academia
â	NP	<unknown>
and	CC	and
represents	VBZ	represent
this	DT	this
in	IN	in
a	DT	a
common	JJ	common
framework	NN	framework
that	IN	that
anybody	NN	anybody
can	MD	can
access	VB	access
today	NN	today
.	SENT	.
Here	RB	here
,	,	,
you	PP	you
can	MD	can
see	VB	see
26	CD	@card@
,	,	,
000	CD	@card@
objects	NNS	object
orbiting	VBG	orbit
the	DT	the
earth	NN	earth
,	,	,
multiple	JJ	multiple
opinions	NNS	opinion
,	,	,
and	CC	and
it	PP	it
gets	VBZ	get
updated	VBN	update
in	IN	in
near	JJ	near
real	JJ	real
time	NN	time
.	SENT	.
But	CC	but
back	RB	back
to	TO	to
my	PP$	my
problem	NN	problem
of	IN	of
space	NN	space
traffic	NN	traffic
map	NN	map
:	:	:
What	WP	what
if	IN	if
you	PP	you
only	RB	only
had	VBD	have
information	NN	information
from	IN	from
the	DT	the
US	NP	US
government	NN	government
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
that	DT	that
case	NN	case
,	,	,
that	WDT	that
'	POS	'
s	NN	S
what	WP	what
your	PP$	your
space	NN	space
traffic	NN	traffic
map	NN	map
would	MD	would
look	VB	look
like	IN	like
.	SENT	.
But	CC	but
what	WP	what
do	VBP	do
the	DT	the
Russians	NPS	Russians
think	VBP	think
?	SENT	?
That	DT	that
looks	VBZ	look
significantly	RB	significantly
different	JJ	different
.	SENT	.
Who	WP	who
'	POS	'
s	NN	S
right	NN	right
?	SENT	?
Who	WP	who
'	POS	'
s	NNS	<unknown>
wrong	JJ	wrong
?	SENT	?
What	WP	what
should	MD	should
I	PP	I
believe	VB	believe
?	SENT	?
What	WP	what
could	MD	could
I	PP	I
trust	VB	trust
?	SENT	?
This	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
issue	NN	issue
.	SENT	.
In	IN	in
the	DT	the
absence	NN	absence
of	IN	of
this	DT	this
framework	NN	framework
to	TO	to
monitor	VB	monitor
space-actor	NN	space-actor
behavior	NN	behavior
,	,	,
to	TO	to
monitor	VB	monitor
activity	NN	activity
in	IN	in
space	NN	space
â	NP	<unknown>
where	WRB	where
these	DT	these
objects	NNS	object
are	VBP	be
located	VBN	locate
â	NP	<unknown>
to	TO	to
reconcile	VB	reconcile
these	DT	these
inconsistencies	NNS	inconsistency
and	CC	and
make	VB	make
this	DT	this
knowledge	NN	knowledge
commonplace	NN	commonplace
,	,	,
we	PP	we
actually	RB	actually
risk	VBP	risk
losing	VBG	lose
the	DT	the
ability	NN	ability
to	TO	to
use	VB	use
space	NN	space
for	IN	for
humanity	NN	humanity
'	POS	'
s	NN	S
benefit	NN	benefit
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
