Picture	NN	picture
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
from	IN	from
this	DT	this
woman	NN	woman
who	WP	who
you	PP	you
kind	RB	kind
of	IN	of
know	VB	know
from	IN	from
down	RB	down
the	DT	the
hall	NN	hall
,	,	,
and	CC	and
the	DT	the
subject	JJ	subject
line	NN	line
references	NNS	reference
some	DT	some
project	NN	project
that	IN	that
you	PP	you
heard	VBD	hear
a	DT	a
little	JJ	little
bit	NN	bit
about	RB	about
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
agenda	NN	agenda
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
information	NN	information
about	IN	about
why	WRB	why
you	PP	you
were	VBD	be
invited	VBN	invite
to	TO	to
the	DT	the
meeting	NN	meeting
.	SENT	.
And	CC	and
yet	RB	yet
you	PP	you
accept	VBP	accept
the	DT	the
meeting	NN	meeting
invitation	NN	invitation
,	,	,
and	CC	and
you	PP	you
go	VBP	go
.	SENT	.
And	CC	and
when	WRB	when
this	DT	this
highly	RB	highly
unproductive	JJ	unproductive
session	NN	session
is	VBZ	be
over	RP	over
,	,	,
you	PP	you
go	VBP	go
back	RB	back
to	TO	to
your	PP$	your
desk	NN	desk
,	,	,
and	CC	and
you	PP	you
stand	VBP	stand
at	IN	at
your	PP$	your
desk	NN	desk
and	CC	and
you	PP	you
say	VBP	say
,	,	,
"	''	"
Boy	NP	Boy
,	,	,
I	PP	I
wish	VBP	wish
I	PP	I
had	VBD	have
those	DT	those
two	CD	two
hours	NNS	hour
back	RB	back
,	,	,
like	IN	like
I	PP	I
wish	VBP	wish
I	PP	I
had	VBD	have
my	PP$	my
chair	NN	chair
back	RB	back
.	SENT	.
"	''	"
Every	DT	every
day	NN	day
,	,	,
we	PP	we
allow	VBP	allow
our	PP$	our
coworkers	NNS	coworker
,	,	,
who	WP	who
are	VBP	be
otherwise	RB	otherwise
very	RB	very
,	,	,
very	RB	very
nice	JJ	nice
people	NNS	people
,	,	,
to	TO	to
steal	VB	steal
from	IN	from
us	PP	us
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
something	NN	something
far	RB	far
more	RBR	more
valuable	JJ	valuable
than	IN	than
office	NN	office
furniture	NN	furniture
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	IN	about
time	NN	time
.	SENT	.
Your	PP$	your
time	NN	time
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
I	PP	I
believe	VBP	believe
that	IN	that
we	PP	we
are	VBP	be
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
global	JJ	global
epidemic	NN	epidemic
of	IN	of
a	DT	a
terrible	JJ	terrible
new	JJ	new
illness	NN	illness
known	VBN	know
as	IN	as
MAS	NNS	ma
:	:	:
Mindless	JJ	mindless
Accept	VBP	accept
Syndrome	NN	syndrome
.	SENT	.
The	DT	the
primary	JJ	primary
symptom	NN	symptom
of	IN	of
Mindless	JJ	mindless
Accept	VBP	accept
Syndrome	NN	syndrome
is	VBZ	be
just	RB	just
accepting	VBG	accept
a	DT	a
meeting	NN	meeting
invitation	NN	invitation
the	DT	the
minute	NN	minute
it	PP	it
pops	VBZ	pop
up	RP	up
in	IN	in
your	PP$	your
calendar	NN	calendar
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
involuntary	JJ	involuntary
reflex	JJ	reflex
â	NP	<unknown>
ding	NN	ding
,	,	,
click	NN	click
,	,	,
bing	NNS	<unknown>
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
in	IN	in
your	PP$	your
calendar	NN	calendar
,	,	,
"	''	"
Gotta	NP	Gotta
go	NN	go
,	,	,
I	PP	I
'	POS	'
m	NN	m
already	RB	already
late	RB	late
for	IN	for
a	DT	a
meeting	NN	meeting
.	SENT	.
"	``	"
Meetings	NNS	meeting
are	VBP	be
important	JJ	important
,	,	,
right	RB	right
?	SENT	?
And	CC	and
collaboration	NN	collaboration
is	VBZ	be
key	JJ	key
to	TO	to
the	DT	the
success	NN	success
of	IN	of
any	DT	any
enterprise	NN	enterprise
.	SENT	.
And	CC	and
a	DT	a
well-run	NN	well-run
meeting	NN	meeting
can	MD	can
yield	VB	yield
really	RB	really
positive	JJ	positive
,	,	,
actionable	JJ	actionable
results	NNS	result
.	SENT	.
But	CC	but
between	IN	between
globalization	NN	globalization
and	CC	and
pervasive	JJ	pervasive
information	NN	information
technology	NN	technology
,	,	,
the	DT	the
way	NN	way
that	IN	that
we	PP	we
work	VBP	work
has	VBZ	have
really	RB	really
changed	VBN	change
dramatically	RB	dramatically
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
years	NNS	year
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
miserable	JJ	miserable
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
miserable	JJ	miserable
not	RB	not
because	IN	because
the	DT	the
other	JJ	other
guy	NN	guy
can	NN	can
'	POS	'
t	NN	t
run	VB	run
a	DT	a
good	JJ	good
meeting	NN	meeting
,	,	,
it	PP	it
'	POS	'
s	NN	S
because	IN	because
of	IN	of
MAS	NNS	ma
,	,	,
our	PP$	our
Mindless	JJ	mindless
Accept	VBP	accept
Syndrome	NN	syndrome
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
self-inflicted	JJ	self-inflicted
wound	NN	wound
.	SENT	.
Actually	RB	actually
,	,	,
I	PP	I
have	VBP	have
evidence	NN	evidence
to	TO	to
prove	VB	prove
that	DT	that
MAS	NNS	ma
is	VBZ	be
a	DT	a
global	JJ	global
epidemic	NN	epidemic
.	SENT	.
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
why	WRB	why
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
years	NNS	year
ago	RB	ago
,	,	,
I	PP	I
put	VBD	put
a	DT	a
video	NN	video
on	IN	on
Youtube	NP	<unknown>
,	,	,
and	CC	and
in	IN	in
the	DT	the
video	NN	video
,	,	,
I	PP	I
acted	VBD	act
out	RP	out
every	DT	every
terrible	JJ	terrible
conference	NN	conference
call	VBP	call
you	PP	you
'	''	'
ve	RB	<unknown>
ever	RB	ever
been	VBN	be
on	IN	on
.	SENT	.
It	PP	it
goes	VBZ	go
on	RP	on
for	IN	for
about	RB	about
five	CD	five
minutes	NNS	minute
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
we	PP	we
hate	VBP	hate
about	RB	about
really	RB	really
bad	JJ	bad
meetings	NNS	meeting
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
moderator	NN	moderator
who	WP	who
has	VBZ	have
no	DT	no
idea	NN	idea
how	WRB	how
to	TO	to
run	VB	run
the	DT	the
meeting	NN	meeting
.	SENT	.
There	EX	there
are	VBP	be
the	DT	the
participants	NNS	participant
who	WP	who
have	VBP	have
no	DT	no
idea	NN	idea
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
there	RB	there
.	SENT	.
The	DT	the
whole	JJ	whole
thing	NN	thing
kind	NN	kind
of	IN	of
collapses	NNS	collapse
into	IN	into
this	DT	this
collaborative	JJ	collaborative
train	NN	train
wreck	NN	wreck
.	SENT	.
And	CC	and
everybody	NN	everybody
leaves	VBZ	leave
very	RB	very
angry	JJ	angry
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
funny	JJ	funny
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
a	DT	a
quick	JJ	quick
look	NN	look
.	SENT	.
Our	PP$	our
goal	NN	goal
today	NN	today
is	VBZ	be
to	TO	to
come	VB	come
to	TO	to
an	DT	an
agreement	NN	agreement
on	IN	on
a	DT	a
very	RB	very
important	JJ	important
proposal	NN	proposal
.	SENT	.
As	IN	as
a	DT	a
group	NN	group
,	,	,
we	PP	we
need	VBP	need
to	TO	to
decide	VB	decide
if	IN	if
â	NP	<unknown>
bloop	NN	<unknown>
bloop	NN	<unknown>
â	NP	<unknown>
Hi	NP	Hi
,	,	,
who	WP	who
just	RB	just
joined	VBD	join
?	SENT	?
Hi	UH	hi
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
Joe	NP	Joe
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
working	VBG	work
from	IN	from
home	NN	home
today	NN	today
.	SENT	.
Hi	UH	hi
,	,	,
Joe	NP	Joe
.	SENT	.
Thanks	NNS	thanks
for	IN	for
joining	VBG	join
us	PP	us
today	NN	today
,	,	,
great	JJ	great
.	SENT	.
I	PP	I
was	VBD	be
just	RB	just
saying	VBG	say
,	,	,
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
on	IN	on
the	DT	the
call	VBP	call
we	PP	we
'	''	'
d	SYM	d
like	IN	like
to	TO	to
get	VB	get
through	RP	through
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
skip	VBP	skip
the	DT	the
roll	NN	roll
call	NN	call
and	CC	and
I	PP	I
'	POS	'
m	NN	m
gonna	VBG	gonna
dive	NN	dive
right	RB	right
in	IN	in
.	SENT	.
Our	PP$	our
goal	NN	goal
today	NN	today
is	VBZ	be
to	TO	to
come	VB	come
to	TO	to
an	DT	an
agreement	NN	agreement
on	IN	on
a	DT	a
very	RB	very
important	JJ	important
proposal	NN	proposal
.	SENT	.
As	IN	as
a	DT	a
group	NN	group
,	,	,
we	PP	we
need	VBP	need
to	TO	to
decide	VB	decide
if	IN	if
â	NP	<unknown>
bloop	NN	<unknown>
bloop	NN	<unknown>
â	NP	<unknown>
Hi	NP	Hi
,	,	,
who	WP	who
just	RB	just
joined	VBD	join
?	SENT	?
No	UH	no
?	SENT	?
I	PP	I
thought	VBD	think
I	PP	I
heard	VBD	hear
a	DT	a
beep	NN	beep
.	SENT	.
Sound	JJ	sound
familiar	JJ	familiar
?	SENT	?
Yeah	RB	yeah
,	,	,
it	PP	it
sounds	VBZ	sound
familiar	JJ	familiar
to	TO	to
me	PP	me
,	,	,
too	RB	too
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
weeks	NNS	week
after	IN	after
I	PP	I
put	VBD	put
that	IN	that
online	JJ	online
,	,	,
500	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
in	IN	in
dozens	NNS	dozen
of	IN	of
countries	NNS	country
,	,	,
I	PP	I
mean	VBP	mean
dozens	NNS	dozen
of	IN	of
countries	NNS	country
,	,	,
watched	VBD	watch
this	DT	this
video	NN	video
.	SENT	.
And	CC	and
three	CD	three
years	NNS	year
later	RBR	later
,	,	,
it	PP	it
'	POS	'
s	NN	S
still	RB	still
getting	VBG	get
thousands	NNS	thousand
of	IN	of
views	NNS	view
every	DT	every
month	NN	month
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
close	NN	close
to	TO	to
about	IN	about
a	DT	a
million	CD	million
right	NN	right
now	RB	now
.	SENT	.
And	CC	and
in	IN	in
fact	NN	fact
,	,	,
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
companies	NNS	company
in	IN	in
the	DT	the
world	NN	world
,	,	,
companies	NNS	company
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
heard	VBD	hear
of	IN	of
but	CC	but
I	PP	I
won	VBD	win
'	''	'
t	NN	t
name	NN	name
,	,	,
have	VBP	have
asked	VBN	ask
for	IN	for
my	PP$	my
permission	NN	permission
to	TO	to
use	VB	use
this	DT	this
video	NN	video
in	IN	in
their	PP$	their
new-hire	NN	new-hire
training	NN	training
to	TO	to
teach	VB	teach
their	PP$	their
new	JJ	new
employees	NNS	employee
how	WRB	how
not	RB	not
to	TO	to
run	VB	run
a	DT	a
meeting	NN	meeting
at	IN	at
their	PP$	their
company	NN	company
.	SENT	.
And	CC	and
if	IN	if
the	DT	the
numbers	NNS	number
â	NP	<unknown>
there	EX	there
are	VBP	be
a	DT	a
million	CD	million
views	NNS	view
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
used	VBN	use
by	IN	by
all	PDT	all
these	DT	these
companies	NNS	company
â	NP	<unknown>
aren	NNS	<unknown>
'	POS	'
t	NN	t
enough	JJ	enough
proof	NN	proof
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
global	JJ	global
problem	NN	problem
with	IN	with
meetings	NNS	meeting
,	,	,
there	EX	there
are	VBP	be
the	DT	the
many	JJ	many
,	,	,
many	JJ	many
thousands	NNS	thousand
of	IN	of
comments	NNS	comment
posted	VBD	post
online	JJ	online
after	IN	after
the	DT	the
video	NN	video
went	VBD	go
up	RP	up
.	SENT	.
Thousands	NNS	thousand
of	IN	of
people	NNS	people
wrote	VBD	write
things	NNS	thing
like	IN	like
,	,	,
"	''	"
OMG	NP	OMG
,	,	,
that	WDT	that
was	VBD	be
my	PP$	my
day	NN	day
today	NN	today
!	SENT	!
"	''	"
"	``	"
That	DT	that
was	VBD	be
my	PP$	my
day	NN	day
every	DT	every
day	NN	day
!	SENT	!
"	''	"
"	``	"
This	DT	this
is	VBZ	be
my	PP$	my
life	NN	life
.	SENT	.
"	''	"
One	CD	one
guy	NN	guy
wrote	VBD	write
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
Eerily	RB	eerily
,	,	,
sadly	RB	sadly
,	,	,
depressingly	RB	depressingly
true	JJ	true
.	SENT	.
It	PP	it
made	VBD	make
me	PP	me
laugh	VB	laugh
until	IN	until
I	PP	I
cried	VBD	cry
.	SENT	.
And	CC	and
cried	VBN	cry
.	SENT	.
And	CC	and
I	PP	I
cried	VBD	cry
some	DT	some
more	RBR	more
.	SENT	.
"	``	"
This	DT	this
poor	JJ	poor
guy	NN	guy
said	VBD	say
,	,	,
"	``	"
My	PP$	my
daily	JJ	daily
life	NN	life
until	IN	until
retirement	NN	retirement
or	CC	or
death	NN	death
,	,	,
sigh	NN	sigh
.	SENT	.
"	``	"
These	DT	these
are	VBP	be
real	JJ	real
quotes	NNS	quote
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
real	JJ	real
sad	JJ	sad
.	SENT	.
A	DT	a
common	JJ	common
theme	NN	theme
running	VBG	run
through	IN	through
all	DT	all
of	IN	of
these	DT	these
comments	NNS	comment
online	JJ	online
is	VBZ	be
this	DT	this
fundamental	JJ	fundamental
belief	NN	belief
that	IN	that
we	PP	we
are	VBP	be
powerless	JJ	powerless
to	TO	to
do	VB	do
anything	NN	anything
other	JJ	other
than	IN	than
go	VB	go
to	TO	to
meetings	NNS	meeting
and	CC	and
suffer	VB	suffer
through	IN	through
these	DT	these
poorly	RB	poorly
run	VBN	run
meetings	NNS	meeting
and	CC	and
live	VBP	live
to	TO	to
meet	VB	meet
another	DT	another
day	NN	day
.	SENT	.
But	CC	but
the	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
powerless	JJ	powerless
at	IN	at
all	DT	all
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
cure	NN	cure
for	IN	for
MAS	NNS	ma
is	VBZ	be
right	RB	right
here	RB	here
in	IN	in
our	PP$	our
hands	NNS	hand
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
right	NN	right
at	IN	at
our	PP$	our
fingertips	NNS	fingertip
,	,	,
literally	RB	literally
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
I	PP	I
call	VBP	call
ÂĄNo	NP	<unknown>
MAS	NNS	ma
!	SENT	!
Which	WDT	which
,	,	,
if	IN	if
I	PP	I
remember	VBP	remember
my	PP$	my
high	JJ	high
school	NN	school
Spanish	JJ	Spanish
,	,	,
means	VBZ	mean
something	NN	something
like	IN	like
,	,	,
"	''	"
Enough	NP	Enough
already	RB	already
,	,	,
make	VB	make
it	PP	it
stop	VB	stop
!	SENT	!
"	``	"
Here	RB	here
'	''	'
s	NN	S
how	WRB	how
No	DT	no
MAS	NNS	ma
works	NNS	work
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
simple	JJ	simple
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
the	DT	the
next	JJ	next
time	NN	time
you	PP	you
get	VBP	get
a	DT	a
meeting	NN	meeting
invitation	NN	invitation
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
information	NN	information
in	IN	in
it	PP	it
at	IN	at
all	DT	all
,	,	,
click	VB	click
the	DT	the
tentative	JJ	tentative
button	NN	button
!	SENT	!
It	PP	it
'	POS	'
s	NN	S
okay	NN	okay
,	,	,
you	PP	you
'	POS	'
re	NN	re
allowed	VBD	allow
,	,	,
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
it	PP	it
'	POS	'
s	NN	S
there	RB	there
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
right	RB	right
next	JJ	next
to	TO	to
the	DT	the
accept	VBP	accept
button	NN	button
.	SENT	.
Or	CC	or
the	DT	the
maybe	RB	maybe
button	NN	button
,	,	,
or	CC	or
whatever	WDT	whatever
button	NN	button
is	VBZ	be
there	RB	there
for	IN	for
you	PP	you
not	RB	not
to	TO	to
accept	VB	accept
immediately	RB	immediately
.	SENT	.
Then	RB	then
,	,	,
get	VBP	get
in	IN	in
touch	NN	touch
with	IN	with
the	DT	the
person	NN	person
who	WP	who
asked	VBD	ask
you	PP	you
to	TO	to
the	DT	the
meeting	NN	meeting
.	SENT	.
Tell	VB	tell
them	PP	them
you	PP	you
'	POS	'
re	NN	re
very	RB	very
excited	VBN	excite
to	TO	to
support	VB	support
their	PP$	their
work	NN	work
,	,	,
ask	VB	ask
them	PP	them
what	WP	what
the	DT	the
goal	NN	goal
of	IN	of
the	DT	the
meeting	NN	meeting
is	VBZ	be
,	,	,
and	CC	and
tell	VB	tell
them	PP	them
you	PP	you
'	POS	'
re	NN	re
interested	JJ	interested
in	IN	in
learning	VBG	learn
how	WRB	how
you	PP	you
can	MD	can
help	VB	help
them	PP	them
achieve	VB	achieve
their	PP$	their
goal	NN	goal
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
do	VBP	do
this	DT	this
often	RB	often
enough	JJ	enough
,	,	,
and	CC	and
we	PP	we
do	VBP	do
it	PP	it
respectfully	RB	respectfully
,	,	,
people	NNS	people
might	MD	might
start	VB	start
to	TO	to
be	VB	be
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
thoughtful	JJ	thoughtful
about	IN	about
the	DT	the
way	NN	way
they	PP	they
put	VBD	put
together	RB	together
meeting	NN	meeting
invitations	NNS	invitation
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
make	VB	make
more	RBR	more
thoughtful	JJ	thoughtful
decisions	NNS	decision
about	IN	about
accepting	VBG	accept
it	PP	it
.	SENT	.
People	NNS	people
might	MD	might
actually	RB	actually
start	VB	start
sending	VBG	send
out	RP	out
agendas	NNS	agenda
.	SENT	.
Imagine	VB	imagine
!	SENT	!
Or	CC	or
they	PP	they
might	MD	might
not	RB	not
have	VB	have
a	DT	a
conference	NN	conference
call	NN	call
with	IN	with
12	CD	@card@
people	NNS	people
to	TO	to
talk	VB	talk
about	IN	about
a	DT	a
status	NN	status
when	WRB	when
they	PP	they
could	MD	could
just	RB	just
do	VB	do
a	DT	a
quick	JJ	quick
email	NN	<unknown>
and	CC	and
get	VB	get
it	PP	it
done	VBN	do
with	IN	with
.	SENT	.
People	NNS	people
just	RB	just
might	MD	might
start	VB	start
to	TO	to
change	VB	change
their	PP$	their
behavior	NN	behavior
because	IN	because
you	PP	you
changed	VBD	change
yours	PP	yours
.	SENT	.
And	CC	and
they	PP	they
just	RB	just
might	MD	might
bring	VB	bring
your	PP$	your
chair	NN	chair
back	RB	back
,	,	,
too	RB	too
.	SENT	.
No	DT	no
MAS	NNS	ma
!	SENT	!
Thank	VB	thank
you	PP	you
.	SENT	.
.	SENT	.
