You	PP	you
of	IN	of
food	NN	food
supply	NN	supply
,	,	,
but	CC	but
rather	RB	rather
the	DT	the
ability	NN	ability
to	TO	to
acquire	VB	acquire
or	CC	or
entitle	VB	entitle
oneself	PP	oneself
to	TO	to
that	DT	that
food	NN	food
through	IN	through
the	DT	the
market	NN	market
.	SENT	.
In	IN	in
1984	CD	@card@
,	,	,
in	IN	in
what	WP	what
can	MD	can
only	RB	only
be	VB	be
considered	VBN	consider
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
crimes	NNS	crime
of	IN	of
humanity	NN	humanity
,	,	,
nearly	RB	nearly
one	CD	one
million	CD	million
people	NNS	people
died	VBN	die
of	IN	of
starvation	NN	starvation
in	IN	in
my	PP$	my
country	NN	country
of	IN	of
birth	NN	birth
,	,	,
Ethiopia	NP	Ethiopia
.	SENT	.
Not	RB	not
because	IN	because
there	EX	there
was	VBD	be
not	RB	not
enough	JJ	enough
food	NN	food
—	:	-
because	IN	because
there	EX	there
was	VBD	be
actually	RB	actually
a	DT	a
surplus	NN	surplus
of	IN	of
food	NN	food
in	IN	in
the	DT	the
fertile	JJ	fertile
regions	NNS	region
of	IN	of
the	DT	the
south	JJ	south
parts	NNS	part
of	IN	of
the	DT	the
country	NN	country
—	:	-
but	CC	but
because	IN	because
in	IN	in
the	DT	the
north	NN	north
,	,	,
people	NNS	people
could	MD	could
not	RB	not
access	VB	access
or	CC	or
entitle	VB	entitle
themselves	PP	themselves
to	TO	to
that	DT	that
food	NN	food
.	SENT	.
That	DT	that
was	VBD	be
a	DT	a
turning	VBG	turn
point	NN	point
for	IN	for
my	PP$	my
life	NN	life
.	SENT	.
Most	JJS	most
Africans	NNS	African
today	NN	today
,	,	,
by	IN	by
far	RB	far
,	,	,
are	VBP	be
farmers	NNS	farmer
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
Africa	NP	Africa
'	POS	'
s	NN	S
farmers	NNS	farmer
are	VBP	be
,	,	,
by	IN	by
and	CC	and
large	JJ	large
,	,	,
small	JJ	small
farmers	NNS	farmer
in	IN	in
terms	NNS	term
of	IN	of
land	NN	land
that	IN	that
they	PP	they
operate	VBP	operate
,	,	,
and	CC	and
very	RB	very
,	,	,
very	RB	very
small	JJ	small
farmers	NNS	farmer
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
capital	NN	capital
they	PP	they
have	VBP	have
at	IN	at
their	PP$	their
disposal	NN	disposal
.	SENT	.
African	JJ	African
agriculture	NN	agriculture
today	NN	today
is	VBZ	be
among	IN	among
,	,	,
or	CC	or
is	VBZ	be
,	,	,
the	DT	the
most	RBS	most
under-capitalized	VBN	under-capitalize
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
Only	RB	only
seven	CD	seven
percent	NN	percent
of	IN	of
arable	JJ	arable
land	NN	land
in	IN	in
Africa	NP	Africa
is	VBZ	be
irrigated	VBN	irrigate
,	,	,
compared	VBN	compare
to	TO	to
40	CD	@card@
percent	NN	percent
in	IN	in
Asia	NP	Asia
.	SENT	.
African	JJ	African
farmers	NNS	farmer
only	RB	only
use	VBP	use
some	DT	some
22	CD	@card@
kilograms	NNS	kilogram
of	IN	of
fertilizer	NN	fertilizer
per	IN	per
hectare	NN	hectare
,	,	,
compared	VBN	compare
to	TO	to
144	CD	@card@
in	IN	in
Asia	NP	Asia
.	SENT	.
Road	NN	road
density	NN	density
is	VBZ	be
six	CD	six
times	NNS	time
greater	JJR	great
in	IN	in
Asia	NP	Asia
than	IN	than
it	PP	it
is	VBZ	be
in	IN	in
rural	JJ	rural
Africa	NP	Africa
.	SENT	.
There	EX	there
are	VBP	be
eight	CD	eight
times	NNS	time
more	JJR	more
tractors	NNS	tractor
in	IN	in
Latin	NP	Latin
America	NP	America
,	,	,
and	CC	and
three	CD	three
times	NNS	time
more	JJR	more
tractors	NNS	tractor
in	IN	in
Asia	NP	Asia
,	,	,
than	IN	than
in	IN	in
Africa	NP	Africa
.	SENT	.
The	DT	the
small	JJ	small
farmer	NN	farmer
in	IN	in
Africa	NP	Africa
today	NN	today
lives	VBZ	live
a	DT	a
life	NN	life
without	IN	without
much	JJ	much
choice	NN	choice
,	,	,
and	CC	and
therefore	RB	therefore
without	IN	without
much	JJ	much
freedom	NN	freedom
.	SENT	.
His	PP$	his
livelihood	NN	livelihood
is	VBZ	be
predetermined	VBN	predetermine
by	IN	by
the	DT	the
conditions	NNS	condition
of	IN	of
grinding	VBG	grind
poverty	NN	poverty
.	SENT	.
He	PP	he
comes	VBZ	come
to	TO	to
the	DT	the
market	NN	market
when	WRB	when
prices	NNS	price
are	VBP	be
lowest	JJS	low
,	,	,
with	IN	with
the	DT	the
meager	JJ	meager
fruits	NNS	fruit
of	IN	of
his	PP$	his
hard	JJ	hard
labor	NN	labor
,	,	,
just	RB	just
after	IN	after
the	DT	the
harvest	NN	harvest
,	,	,
because	IN	because
he	PP	he
has	VBZ	have
no	DT	no
choice	NN	choice
.	SENT	.
She	PP	she
comes	VBZ	come
back	RB	back
to	TO	to
the	DT	the
market	NN	market
some	DT	some
months	NNS	month
later	RBR	later
,	,	,
when	WRB	when
prices	NNS	price
are	VBP	be
highest	JJS	high
,	,	,
in	IN	in
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
lean	JJ	lean
season	NN	season
—	:	-
when	WRB	when
food	NN	food
is	VBZ	be
scarce	JJ	scarce
—	:	-
because	IN	because
she	PP	she
has	VBZ	have
to	TO	to
feed	VB	feed
her	PP$	her
family	NN	family
and	CC	and
has	VBZ	have
no	DT	no
choice	NN	choice
.	SENT	.
The	DT	the
real	JJ	real
question	NN	question
is	VBZ	be
,	,	,
how	WRB	how
can	MD	can
markets	NNS	market
be	VB	be
developed	VBN	develop
in	IN	in
rural	JJ	rural
Africa	NP	Africa
to	TO	to
harness	VB	harness
the	DT	the
power	NN	power
of	IN	of
innovation	NN	innovation
and	CC	and
entrepreneurship	NN	entrepreneurship
that	IN	that
we	PP	we
know	VBP	know
exists	VBZ	exist
?	SENT	?
Another	DT	another
notable	JJ	notable
economist	NN	economist
,	,	,
Theodore	NP	Theodore
Schultz	NP	Schultz
,	,	,
in	IN	in
1974	CD	@card@
won	VBD	win
the	DT	the
Nobel	NP	Nobel
prize	NN	prize
for	IN	for
demonstrating	VBG	demonstrate
that	IN	that
farmers	NNS	farmer
are	VBP	be
efficient	JJ	efficient
,	,	,
but	CC	but
poor	JJ	poor
.	SENT	.
Meaning	NN	meaning
,	,	,
in	IN	in
fact	NN	fact
,	,	,
that	WDT	that
farmers	NNS	farmer
are	VBP	be
rational	JJ	rational
and	CC	and
profit-minded	JJ	profit-minded
just	RB	just
like	IN	like
everybody	NN	everybody
else	RB	else
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
need	NN	need
,	,	,
now	RB	now
,	,	,
any	DT	any
more	JJR	more
Nobel	NP	Nobel
prizes	NNS	prise
to	TO	to
know	VB	know
that	IN	that
farmers	NNS	farmer
want	VBP	want
a	DT	a
fair	JJ	fair
shake	NN	shake
at	IN	at
the	DT	the
market	NN	market
and	CC	and
want	VBP	want
to	TO	to
make	VB	make
money	NN	money
,	,	,
just	RB	just
like	IN	like
everyone	NN	everyone
else	RB	else
.	SENT	.
And	CC	and
one	CD	one
thing	NN	thing
is	VBZ	be
clear	JJ	clear
,	,	,
which	WDT	which
is	VBZ	be
at	IN	at
least	JJS	least
now	RB	now
we	PP	we
know	VBP	know
that	IN	that
Africa	NP	Africa
is	VBZ	be
open	JJ	open
for	IN	for
business	NN	business
.	SENT	.
And	CC	and
that	DT	that
business	NN	business
is	VBZ	be
agriculture	NN	agriculture
.	SENT	.
Over	IN	over
two	CD	two
decades	NNS	decade
ago	RB	ago
,	,	,
the	DT	the
world	NN	world
insisted	VBD	insist
to	TO	to
Africa	NP	Africa
that	IN	that
markets	NNS	market
must	MD	must
be	VB	be
liberalized	VBN	liberalize
,	,	,
that	IN	that
economies	NNS	economy
must	MD	must
be	VB	be
structurally	RB	structurally
adjusted	VBN	adjust
.	SENT	.
This	DT	this
meant	VBD	mean
that	IN	that
governments	NNS	government
were	VBD	be
to	TO	to
remove	VB	remove
themselves	PP	themselves
from	IN	from
the	DT	the
business	NN	business
of	IN	of
buying	VBG	buy
and	CC	and
selling	VBG	sell
—	:	-
which	WDT	which
they	PP	they
did	VBD	do
rather	RB	rather
inefficiently	RB	inefficiently
—	:	-
and	CC	and
let	VB	let
the	DT	the
private	JJ	private
market	NN	market
do	VBP	do
its	PP$	its
magic	NN	magic
.	SENT	.
Well	RB	well
,	,	,
what	WP	what
happened	VBD	happen
over	IN	over
the	DT	the
last	JJ	last
25	CD	@card@
years	NNS	year
?	SENT	?
Did	VBD	do
Africa	NP	Africa
feed	VB	feed
itself	PP	itself
?	SENT	?
Did	VBD	do
our	PP$	our
farmers	NNS	farmer
turn	VBP	turn
into	IN	into
highly	RB	highly
productive	JJ	productive
commercial	JJ	commercial
actors	NNS	actor
?	SENT	?
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
all	DT	all
in	IN	in
this	DT	this
room	NN	room
,	,	,
probably	RB	probably
,	,	,
because	IN	because
we	PP	we
know	VBP	know
that	IN	that
,	,	,
in	IN	in
fact	NN	fact
,	,	,
Africa	NP	Africa
is	VBZ	be
the	DT	the
only	JJ	only
region	NN	region
in	IN	in
the	DT	the
world	NN	world
where	WRB	where
hunger	NN	hunger
and	CC	and
malnutrition	NN	malnutrition
are	VBP	be
projected	VBN	project
to	TO	to
go	VB	go
up	RP	up
over	IN	over
the	DT	the
next	JJ	next
10	CD	@card@
years	NNS	year
,	,	,
where	WRB	where
the	DT	the
food	NN	food
import	NN	import
bill	NN	bill
is	VBZ	be
now	RB	now
double	JJ	double
what	WP	what
it	PP	it
was	VBD	be
20	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
where	WRB	where
food	NN	food
production	NN	production
per	IN	per
capita	NN	capita
has	VBZ	have
stagnated	VBN	stagnate
,	,	,
and	CC	and
where	WRB	where
fertilizer	NN	fertilizer
use	NN	use
has	VBZ	have
declined	VBN	decline
rather	RB	rather
than	IN	than
increased	VBN	increase
.	SENT	.
So	RB	so
why	WRB	why
didn	NP	<unknown>
'	POS	'
t	NN	t
agriculture	NN	agriculture
markets	NNS	market
perform	VBP	perform
to	TO	to
expectations	NNS	expectation
?	SENT	?
The	DT	the
market	NN	market
reforms	NNS	reform
prompted	VBN	prompt
by	IN	by
the	DT	the
West	JJ	West
—	:	-
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
some	DT	some
15	CD	@card@
years	NNS	year
traveling	VBG	travel
around	IN	around
the	DT	the
continent	NN	continent
doing	VBG	do
research	NN	research
on	IN	on
agricultural	JJ	agricultural
markets	NNS	market
,	,	,
and	CC	and
have	VBP	have
interviewed	VBN	interview
traders	NNS	trader
in	IN	in
10	CD	@card@
to	TO	to
15	CD	@card@
countries	NNS	country
in	IN	in
this	DT	this
continent	NN	continent
,	,	,
hundreds	NNS	hundred
of	IN	of
traders	NNS	trader
—	:	-
trying	VBG	try
to	TO	to
understand	VB	understand
what	WP	what
went	VBD	go
wrong	JJ	wrong
with	IN	with
our	PP$	our
market	NN	market
reform	NN	reform
.	SENT	.
And	CC	and
it	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
that	IN	that
the	DT	the
reforms	NNS	reform
might	MD	might
have	VB	have
thrown	VBN	throw
the	DT	the
baby	NN	baby
out	RP	out
with	IN	with
the	DT	the
bath	NN	bath
water	NN	water
.	SENT	.
Like	IN	like
its	PP$	its
agriculture	NN	agriculture
,	,	,
Africa	NP	Africa
'	POS	'
s	NN	S
markets	NNS	market
are	VBP	be
highly	RB	highly
under-capitalized	JJ	under-capitalized
and	CC	and
inefficient	JJ	inefficient
.	SENT	.
We	PP	we
know	VBP	know
from	IN	from
our	PP$	our
work	NN	work
around	IN	around
the	DT	the
continent	NN	continent
that	IN	that
transaction	NN	transaction
costs	NNS	cost
of	IN	of
reaching	VBG	reach
the	DT	the
market	NN	market
,	,	,
and	CC	and
the	DT	the
risks	NNS	risk
of	IN	of
transacting	VBG	transact
in	IN	in
rural	JJ	rural
,	,	,
agriculture	NN	agriculture
markets	NNS	market
,	,	,
are	VBP	be
extremely	RB	extremely
high	JJ	high
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
only	RB	only
one	CD	one
third	NN	third
of	IN	of
agricultural	JJ	agricultural
output	NN	output
produced	VBN	produce
in	IN	in
Africa	NP	Africa
even	RB	even
reaches	VBZ	reach
the	DT	the
market	NN	market
.	SENT	.
Africa	NP	Africa
'	POS	'
s	NN	S
markets	NNS	market
are	VBP	be
weak	JJ	weak
not	RB	not
only	RB	only
because	IN	because
of	IN	of
weak	JJ	weak
infrastructure	NN	infrastructure
in	IN	in
terms	NNS	term
of	IN	of
roads	NNS	road
and	CC	and
telecommunications	NNS	telecommunication
,	,	,
but	CC	but
also	RB	also
because	IN	because
of	IN	of
the	DT	the
virtual	JJ	virtual
absence	NN	absence
of	IN	of
necessary	JJ	necessary
market	NN	market
institutions	NNS	institution
,	,	,
such	JJ	such
as	IN	as
market	NN	market
information	NN	information
,	,	,
grades	NNS	grade
and	CC	and
standards	NNS	standard
,	,	,
and	CC	and
reliable	JJ	reliable
ways	NNS	way
to	TO	to
connect	VB	connect
buyers	NNS	buyer
and	CC	and
sellers	NNS	seller
.	SENT	.
Because	IN	because
of	IN	of
this	DT	this
,	,	,
commodity	NN	commodity
buyers	NNS	buyer
and	CC	and
sellers	NNS	seller
typically	RB	typically
transact	VBP	transact
in	IN	in
small	JJ	small
circles	NNS	circle
,	,	,
in	IN	in
narrow	JJ	narrow
networks	NNS	network
of	IN	of
people	NNS	people
they	PP	they
know	VBP	know
and	CC	and
trust	NN	trust
.	SENT	.
And	CC	and
because	IN	because
of	IN	of
that	DT	that
,	,	,
as	IN	as
grain	NN	grain
changes	NNS	change
hands	NNS	hand
—	:	-
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
measured	VBD	measure
that	IN	that
it	PP	it
changes	VBZ	change
hands	NNS	hand
four	CD	four
,	,	,
five	CD	five
times	NNS	time
in	IN	in
its	PP$	its
trajectory	NN	trajectory
from	IN	from
the	DT	the
farmer	NN	farmer
to	TO	to
the	DT	the
consumer	NN	consumer
—	:	-
every	DT	every
time	NN	time
it	PP	it
changes	VBZ	change
hands	NNS	hand
—	:	-
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
seen	VBN	see
this	DT	this
all	RB	all
over	IN	over
rural	JJ	rural
Africa	NP	Africa
—	:	-
it	PP	it
also	RB	also
changes	VBZ	change
sacks	NNS	sack
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
that	DT	that
was	VBD	be
incredibly	RB	incredibly
peculiar	JJ	peculiar
.	SENT	.
And	CC	and
really	RB	really
realized	VBD	realize
that	IN	that
that	DT	that
was	VBD	be
because	IN	because
—	:	-
as	IN	as
traders	NNS	trader
would	MD	would
tell	VB	tell
me	PP	me
over	RP	over
and	CC	and
over	RP	over
—	:	-
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
only	JJ	only
way	NN	way
people	NNS	people
know	VBP	know
what	WP	what
they	PP	they
'	POS	'
re	NN	re
getting	VBG	get
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
quantity	NN	quantity
and	CC	and
the	DT	the
product	NN	product
quality	NN	quality
.	SENT	.
And	CC	and
that	WDT	that
actually	RB	actually
has	VBZ	have
huge	JJ	huge
implications	NNS	implication
for	IN	for
the	DT	the
ability	NN	ability
of	IN	of
markets	NNS	market
to	TO	to
quickly	RB	quickly
respond	VB	respond
to	TO	to
price	NN	price
signals	NNS	signal
,	,	,
and	CC	and
situations	NNS	situation
where	WRB	where
there	EX	there
are	VBP	be
deficits	NNS	deficit
,	,	,
for	IN	for
example	NN	example
.	SENT	.
It	PP	it
also	RB	also
has	VBZ	have
very	RB	very
high	JJ	high
cost	NN	cost
implications	NNS	implication
.	SENT	.
I	PP	I
have	VBP	have
measured	VBN	measure
that	IN	that
26	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
marketing	NN	marketing
margin	NN	margin
is	VBZ	be
simply	RB	simply
due	JJ	due
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
,	,	,
because	IN	because
of	IN	of
the	DT	the
absence	NN	absence
of	IN	of
grades	NNS	grade
and	CC	and
standards	NNS	standard
and	CC	and
market	NN	market
information	NN	information
,	,	,
sacks	NNS	sack
have	VBP	have
to	TO	to
be	VB	be
constantly	RB	constantly
changed	VBN	change
.	SENT	.
And	CC	and
this	DT	this
leads	VBZ	lead
to	TO	to
very	RB	very
high	JJ	high
handling	NN	handling
costs	NNS	cost
.	SENT	.
For	IN	for
their	PP$	their
part	NN	part
,	,	,
small	JJ	small
farmers	NNS	farmer
,	,	,
who	WP	who
produce	VBP	produce
the	DT	the
bulk	NN	bulk
of	IN	of
our	PP$	our
agricultural	JJ	agricultural
output	NN	output
in	IN	in
Africa	NP	Africa
,	,	,
come	VBN	come
to	TO	to
the	DT	the
market	NN	market
with	IN	with
virtually	RB	virtually
no	DT	no
information	NN	information
at	IN	at
all	DT	all
—	:	-
blind	JJ	blind
—	:	-
trusting	VBG	trust
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
some	DT	some
sort	NN	sort
of	IN	of
demand	NN	demand
for	IN	for
their	PP$	their
produce	NN	produce
,	,	,
and	CC	and
completely	RB	completely
at	IN	at
the	DT	the
mercy	NN	mercy
of	IN	of
the	DT	the
merchants	NNS	merchant
in	IN	in
the	DT	the
only	JJ	only
market	NN	market
,	,	,
the	DT	the
nearest	JJS	near
local	JJ	local
market	NN	market
they	PP	they
know	VBP	know
—	:	-
where	WRB	where
they	PP	they
'	POS	'
re	NN	re
unable	JJ	unable
to	TO	to
negotiate	VB	negotiate
better	JJR	good
prices	NNS	price
or	CC	or
reduce	VB	reduce
their	PP$	their
risk	NN	risk
.	SENT	.
Speaking	VBG	speak
of	IN	of
risk	NN	risk
,	,	,
we	PP	we
have	VBP	have
seen	VBN	see
that	IN	that
price	NN	price
volatility	NN	volatility
of	IN	of
food	NN	food
crops	NNS	crop
in	IN	in
Africa	NP	Africa
is	VBZ	be
the	DT	the
highest	JJS	high
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
In	IN	in
Africa	NP	Africa
,	,	,
small	JJ	small
farmers	NNS	farmer
bear	VBP	bear
the	DT	the
brunt	NN	brunt
of	IN	of
this	DT	this
risk	NN	risk
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
in	IN	in
my	PP$	my
view	NN	view
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
region	NN	region
of	IN	of
the	DT	the
world	NN	world
and	CC	and
no	DT	no
period	NN	period
in	IN	in
history	NN	history
that	IN	that
farmers	NNS	farmer
have	VBP	have
been	VBN	be
expected	VBN	expect
to	TO	to
bear	VB	bear
the	DT	the
kind	NN	kind
of	IN	of
market	NN	market
risk	NN	risk
that	IN	that
Africa	NP	Africa
'	POS	'
s	NN	S
farmers	NNS	farmer
have	VBP	have
to	TO	to
bear	VB	bear
.	SENT	.
And	CC	and
in	IN	in
my	PP$	my
view	NN	view
,	,	,
there	EX	there
is	VBZ	be
simply	RB	simply
no	DT	no
place	NN	place
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
has	VBZ	have
grown	VBN	grow
its	PP$	its
agriculture	NN	agriculture
on	IN	on
the	DT	the
kind	NN	kind
of	IN	of
risk	NN	risk
that	IN	that
our	PP$	our
farmers	NNS	farmer
in	IN	in
Africa	NP	Africa
today	NN	today
face	NN	face
.	SENT	.
In	IN	in
Ethiopia	NP	Ethiopia
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
variation	NN	variation
in	IN	in
maize	NN	maize
prices	NNS	price
from	IN	from
year	NN	year
to	TO	to
year	NN	year
is	VBZ	be
as	RB	as
much	JJ	much
as	IN	as
50	CD	@card@
percent	NN	percent
annually	RB	annually
.	SENT	.
This	DT	this
kind	NN	kind
of	IN	of
market	NN	market
risk	NN	risk
is	VBZ	be
mind-	NN	<unknown>
boggling	VBG	boggle
,	,	,
and	CC	and
has	VBZ	have
direct	JJ	direct
implications	NNS	implication
for	IN	for
not	RB	not
only	RB	only
the	DT	the
incentives	NNS	incentive
of	IN	of
farmers	NNS	farmer
to	TO	to
invest	VB	invest
in	IN	in
higher	JJR	high
productivity	NN	productivity
technology	NN	technology
,	,	,
such	JJ	such
as	IN	as
modern	JJ	modern
seeds	NNS	seed
and	CC	and
fertilizers	NNS	fertilizer
,	,	,
but	CC	but
also	RB	also
direct	JJ	direct
implications	NNS	implication
for	IN	for
food	NN	food
security	NN	security
.	SENT	.
To	TO	to
give	VB	give
you	PP	you
an	DT	an
example	NN	example
,	,	,
between	IN	between
2001	CD	@card@
and	CC	and
2002	CD	@card@
,	,	,
Ethiopian	JJ	Ethiopian
maize	NN	maize
farmers	NNS	farmer
produced	VBD	produce
two	CD	two
years	NNS	year
of	IN	of
bumper	NN	bumper
harvest	NN	harvest
.	SENT	.
That	IN	that
in	IN	in
turn	NN	turn
,	,	,
because	IN	because
of	IN	of
the	DT	the
weak	JJ	weak
marketing	NN	marketing
system	NN	system
,	,	,
led	VBN	lead
to	TO	to
an	DT	an
80	CD	@card@
percent	NN	percent
collapse	NN	collapse
in	IN	in
maize	NN	maize
prices	NNS	price
in	IN	in
the	DT	the
country	NN	country
.	SENT	.
This	DT	this
made	VBD	make
it	PP	it
unprofitable	JJ	unprofitable
for	IN	for
some	DT	some
farmers	NNS	farmer
to	TO	to
even	RB	even
harvest	VB	harvest
the	DT	the
grain	NN	grain
from	IN	from
the	DT	the
fields	NNS	field
.	SENT	.
And	CC	and
we	PP	we
calculated	VBD	calculate
that	IN	that
some	DT	some
300	CD	@card@
,	,	,
000	CD	@card@
tons	NNS	ton
of	IN	of
grain	NN	grain
was	VBD	be
left	VBN	leave
in	IN	in
the	DT	the
fields	NNS	field
to	TO	to
rot	VB	rot
in	IN	in
early	RB	early
2002	CD	@card@
.	SENT	.
Not	RB	not
six	CD	six
months	NNS	month
later	RBR	later
,	,	,
in	IN	in
July	NP	July
2002	CD	@card@
,	,	,
Ethiopia	NP	Ethiopia
announced	VBD	announce
a	DT	a
major	JJ	major
food	NN	food
crisis	NN	crisis
,	,	,
to	TO	to
the	DT	the
same	JJ	same
proportions	NNS	proportion
as	IN	as
1984	CD	@card@
:	:	:
14	CD	@card@
million	CD	million
people	NNS	people
at	IN	at
risk	NN	risk
of	IN	of
starvation	NN	starvation
.	SENT	.
What	WP	what
also	RB	also
happened	VBD	happen
that	IN	that
year	NN	year
is	VBZ	be
in	IN	in
the	DT	the
areas	NNS	area
where	WRB	where
there	EX	there
were	VBD	be
good	JJ	good
rains	NNS	rain
,	,	,
and	CC	and
where	WRB	where
farmers	NNS	farmer
had	VBD	have
previously	RB	previously
produced	VBN	produce
surplus	NN	surplus
grain	NN	grain
,	,	,
farmers	NNS	farmer
had	VBD	have
decided	VBN	decide
to	TO	to
withdraw	VB	withdraw
from	IN	from
the	DT	the
fertilizer	NN	fertilizer
market	NN	market
,	,	,
not	RB	not
use	VB	use
fertilizer	NN	fertilizer
and	CC	and
actually	RB	actually
had	VBD	have
dropped	VBN	drop
their	PP$	their
use	NN	use
of	IN	of
fertilizer	NN	fertilizer
by	IN	by
27	CD	@card@
percent	NN	percent
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
tragic	JJ	tragic
example	NN	example
of	IN	of
arrested	VBN	arrest
development	NN	development
,	,	,
or	CC	or
a	DT	a
budding	JJ	budding
green	JJ	green
revolution	NN	revolution
stopped	VBN	stop
in	IN	in
its	PP$	its
tracks	NNS	track
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
not	RB	not
just	RB	just
specific	JJ	specific
to	TO	to
Ethiopia	NP	Ethiopia
,	,	,
but	CC	but
happens	VBZ	happen
over	RP	over
and	CC	and
over	RP	over
,	,	,
all	RB	all
over	IN	over
Africa	NP	Africa
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
today	NN	today
to	TO	to
lament	VB	lament
about	IN	about
the	DT	the
situation	NN	situation
,	,	,
or	CC	or
wring	VB	wring
my	PP$	my
hands	NNS	hand
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
change	NN	change
is	VBZ	be
in	IN	in
the	DT	the
air	NN	air
