First	JJ	first
towel	NN	towel
.	SENT	.
.	SENT	.
.	SENT	.
unless	IN	unless
I	PP	I
use	VBP	use
a	DT	a
front-loading	NN	front-loading
,	,	,
high-efficiency	NN	high-efficiency
washing	NN	washing
machine	NN	machine
,	,	,
and	CC	and
then	RB	then
it	PP	it
looks	VBZ	look
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
a	DT	a
recycled	JJ	recycled
paper	NN	paper
towel	NN	towel
that	WDT	that
comes	VBZ	come
in	IN	in
those	DT	those
little	JJ	little
half	NN	half
sheets	NNS	sheet
?	SENT	?
Well	RB	well
,	,	,
now	RB	now
a	DT	a
paper	NN	paper
towel	NN	towel
looks	VBZ	look
better	RBR	well
.	SENT	.
Screw	VB	screw
the	DT	the
paper	NN	paper
towels	NNS	towel
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
go	VBP	go
to	TO	to
a	DT	a
sponge	NN	sponge
.	SENT	.
I	PP	I
wipe	VBP	wipe
it	PP	it
up	RP	up
with	IN	with
a	DT	a
sponge	NN	sponge
,	,	,
and	CC	and
I	PP	I
put	VBP	put
it	PP	it
under	IN	under
the	DT	the
running	VBG	run
water	NN	water
,	,	,
and	CC	and
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
less	JJR	less
energy	NN	energy
and	CC	and
a	DT	a
lot	NN	lot
more	JJR	more
water	NN	water
.	SENT	.
Unless	IN	unless
you	PP	you
'	POS	'
re	NN	re
like	IN	like
me	PP	me
and	CC	and
you	PP	you
leave	VBP	leave
the	DT	the
handle	NN	handle
in	IN	in
the	DT	the
position	NN	position
of	IN	of
hot	JJ	hot
even	RB	even
when	WRB	when
you	PP	you
turn	VBP	turn
it	PP	it
on	RP	on
,	,	,
and	CC	and
then	RB	then
you	PP	you
start	VBP	start
to	TO	to
use	VB	use
more	JJR	more
energy	NN	energy
.	SENT	.
Or	CC	or
worse	RBR	worse
,	,	,
you	PP	you
let	VBP	let
it	PP	it
run	VBP	run
until	IN	until
it	PP	it
'	POS	'
s	NN	S
warm	JJ	warm
to	TO	to
rinse	VB	rinse
out	RP	out
your	PP$	your
towel	NN	towel
.	SENT	.
And	CC	and
now	RB	now
all	DT	all
bets	NNS	bet
are	VBP	be
off	JJ	off
.	SENT	.
So	RB	so
what	WP	what
this	DT	this
says	VBZ	say
is	VBZ	be
that	IN	that
sometimes	RB	sometimes
the	DT	the
things	NNS	thing
that	IN	that
you	PP	you
least	RBS	least
expect	VBP	expect
—	:	-
the	DT	the
position	NN	position
in	IN	in
which	WDT	which
you	PP	you
put	VBD	put
the	DT	the
handle	NN	handle
—	:	-
have	VBP	have
a	DT	a
bigger	JJR	big
effect	NN	effect
than	IN	than
any	DT	any
of	IN	of
those	DT	those
other	JJ	other
things	NNS	thing
that	IN	that
you	PP	you
were	VBD	be
trying	VBG	try
to	TO	to
optimize	VB	optimize
.	SENT	.
Now	RB	now
imagine	VB	imagine
someone	NN	someone
as	IN	as
twisted	JJ	twisted
as	IN	as
me	PP	me
trying	VBG	try
to	TO	to
build	VB	build
a	DT	a
house	NN	house
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
what	WP	what
my	PP$	my
husband	NN	husband
and	CC	and
I	PP	I
are	VBP	be
doing	VBG	do
right	RB	right
now	RB	now
.	SENT	.
And	CC	and
so	RB	so
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
know	VB	know
,	,	,
how	WRB	how
green	NN	green
could	MD	could
we	PP	we
be	VB	be
?	SENT	?
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
thousand	CD	thousand
and	CC	and
one	CD	one
articles	NNS	article
out	IN	out
there	RB	there
telling	VBG	tell
us	PP	us
how	WRB	how
to	TO	to
make	VB	make
all	PDT	all
these	DT	these
green	JJ	green
trade-offs	NN	trade-offs
.	SENT	.
And	CC	and
they	PP	they
are	VBP	be
just	RB	just
as	RB	as
suspect	JJ	suspect
in	IN	in
telling	VBG	tell
us	PP	us
to	TO	to
optimize	VB	optimize
these	DT	these
little	JJ	little
things	NNS	thing
around	IN	around
the	DT	the
edges	NNS	edge
and	CC	and
missing	VBG	miss
the	DT	the
elephant	NN	elephant
in	IN	in
the	DT	the
living	VBG	live
room	NN	room
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
average	JJ	average
house	NN	house
has	VBZ	have
about	RB	about
300	CD	@card@
megawatt	NN	megawatt
hours	NNS	hour
of	IN	of
embodied	VBN	embody
energy	NN	energy
in	IN	in
it	PP	it
;	:	;
this	DT	this
is	VBZ	be
the	DT	the
energy	NN	energy
it	PP	it
takes	VBZ	take
to	TO	to
make	VB	make
it	PP	it
—	:	-
millions	NNS	million
and	CC	and
millions	NNS	million
of	IN	of
paper	NN	paper
towels	NNS	towel
.	SENT	.
We	PP	we
wanted	VBD	want
to	TO	to
know	VB	know
how	WRB	how
much	RB	much
better	VB	better
we	PP	we
could	MD	could
do	VB	do
.	SENT	.
And	CC	and
so	RB	so
,	,	,
like	IN	like
many	JJ	many
people	NNS	people
,	,	,
we	PP	we
start	VBP	start
with	IN	with
a	DT	a
house	NN	house
on	IN	on
a	DT	a
lot	NN	lot
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
typical	JJ	typical
construction	NN	construction
on	IN	on
the	DT	the
top	JJ	top
and	CC	and
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
on	IN	on
the	DT	the
bottom	NN	bottom
.	SENT	.
So	RB	so
first	JJ	first
,	,	,
we	PP	we
demolish	VBP	demolish
it	PP	it
.	SENT	.
It	PP	it
takes	VBZ	take
some	DT	some
energy	NN	energy
,	,	,
but	CC	but
if	IN	if
you	PP	you
deconstruct	VBP	deconstruct
it	PP	it
—	:	-
you	PP	you
take	VBP	take
it	PP	it
all	RB	all
apart	RB	apart
,	,	,
you	PP	you
use	VBP	use
the	DT	the
bits	NNS	bit
—	:	-
you	PP	you
can	MD	can
get	VB	get
some	DT	some
of	IN	of
that	DT	that
energy	NN	energy
back	RB	back
.	SENT	.
We	PP	we
then	RB	then
dug	VBD	dig
a	DT	a
big	JJ	big
hole	NN	hole
to	TO	to
put	VB	put
in	IN	in
a	DT	a
rainwater	NN	rainwater
catchment	NN	catchment
tank	NN	tank
to	TO	to
take	VB	take
our	PP$	our
yard	NN	yard
water	NN	water
independent	JJ	independent
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
poured	VBD	pour
a	DT	a
big	JJ	big
foundation	NN	foundation
for	IN	for
passive	JJ	passive
solar	JJ	solar
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
can	MD	can
reduce	VB	reduce
the	DT	the
embodied	VBN	embody
energy	NN	energy
by	IN	by
about	RB	about
25	CD	@card@
percent	NN	percent
by	IN	by
using	VBG	use
high	JJ	high
fly	NN	fly
ash	NN	ash
concrete	NN	concrete
.	SENT	.
We	PP	we
then	RB	then
put	VBD	put
in	IN	in
framing	NN	framing
.	SENT	.
And	CC	and
so	RB	so
this	DT	this
is	VBZ	be
framing	NN	framing
—	:	-
lumber	NN	lumber
,	,	,
composite	JJ	composite
materials	NNS	material
—	:	-
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
hard	JJ	hard
to	TO	to
get	VB	get
the	DT	the
embodied	VBN	embody
energy	NN	energy
out	RP	out
of	IN	of
that	DT	that
,	,	,
but	CC	but
it	PP	it
can	MD	can
be	VB	be
a	DT	a
sustainable	JJ	sustainable
resource	NN	resource
if	IN	if
you	PP	you
use	VBP	use
FSC-certified	JJ	FSC-certified
lumber	NN	lumber
.	SENT	.
We	PP	we
then	RB	then
go	VBP	go
on	IN	on
to	TO	to
the	DT	the
first	JJ	first
thing	NN	thing
that	WDT	that
was	VBD	be
very	RB	very
surprising	JJ	surprising
.	SENT	.
If	IN	if
we	PP	we
put	VBP	put
aluminum	JJ	aluminum
windows	NNS	window
in	IN	in
this	DT	this
house	NN	house
,	,	,
we	PP	we
would	MD	would
double	VB	double
the	DT	the
energy	NN	energy
use	NN	use
right	RB	right
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
PVC	NP	PVC
is	VBZ	be
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
,	,	,
but	CC	but
still	RB	still
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
wood	NN	wood
that	IN	that
we	PP	we
chose	VBD	choose
.	SENT	.
We	PP	we
then	RB	then
put	VBD	put
in	IN	in
plumbing	NN	plumbing
,	,	,
electrical	JJ	electrical
and	CC	and
HVAC	NP	<unknown>
,	,	,
and	CC	and
insulate	VB	insulate
.	SENT	.
Now	RB	now
,	,	,
spray	NN	spray
foam	NN	foam
is	VBZ	be
an	DT	an
excellent	JJ	excellent
insulator	NN	insulator
—	:	-
it	PP	it
fills	VBZ	fill
in	IN	in
all	PDT	all
the	DT	the
cracks	NNS	crack
—	:	-
but	CC	but
it	PP	it
is	VBZ	be
pretty	RB	pretty
high	JJ	high
embodied	VBN	embody
energy	NN	energy
,	,	,
and	CC	and
,	,	,
sprayed-in	NN	<unknown>
cellulose	NN	cellulose
or	CC	or
blue	JJ	blue
jeans	NNS	jean
is	VBZ	be
a	DT	a
much	RB	much
lower	JJR	low
energy	NN	energy
alternative	NN	alternative
to	TO	to
that	DT	that
.	SENT	.
We	PP	we
also	RB	also
used	VBD	use
straw	JJ	straw
bale	NN	bale
infill	NN	infill
for	IN	for
our	PP$	our
library	NN	library
,	,	,
which	WDT	which
has	VBZ	have
zero	CD	zero
embodied	VBN	embody
energy	NN	energy
.	SENT	.
When	WRB	when
it	PP	it
comes	VBZ	come
time	NN	time
to	TO	to
sheetrock	NN	<unknown>
,	,	,
if	IN	if
you	PP	you
use	VBP	use
EcoRock	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
embodied	VBN	embody
energy	NN	energy
of	IN	of
standard	JJ	standard
sheetrock	NN	<unknown>
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
get	VBP	get
to	TO	to
the	DT	the
finishes	NNS	finish
,	,	,
the	DT	the
subject	NN	subject
of	IN	of
all	DT	all
of	IN	of
those	DT	those
"	``	"
go	VB	go
green	JJ	green
"	``	"
articles	NNS	article
,	,	,
and	CC	and
on	IN	on
the	DT	the
scale	NN	scale
of	IN	of
a	DT	a
house	NN	house
they	PP	they
almost	RB	almost
make	VBP	make
no	DT	no
difference	NN	difference
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
yet	RB	yet
,	,	,
all	PDT	all
the	DT	the
press	NN	press
is	VBZ	be
focused	VBN	focus
on	IN	on
that	DT	that
.	SENT	.
Except	IN	except
for	IN	for
flooring	NN	flooring
.	SENT	.
If	IN	if
you	PP	you
put	VBD	put
carpeting	NN	carpeting
in	IN	in
your	PP$	your
house	NN	house
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
a	DT	a
tenth	NN	tenth
of	IN	of
the	DT	the
embodied	VBN	embody
energy	NN	energy
of	IN	of
the	DT	the
entire	JJ	entire
house	NN	house
,	,	,
unless	IN	unless
you	PP	you
use	VBP	use
concrete	NN	concrete
or	CC	or
wood	NN	wood
for	IN	for
a	DT	a
much	RB	much
lower	RBR	lower
embodied	VBN	embody
energy	NN	energy
.	SENT	.
So	RB	so
now	RB	now
we	PP	we
add	VBP	add
in	IN	in
the	DT	the
final	JJ	final
construction	NN	construction
energy	NN	energy
,	,	,
we	PP	we
add	VBP	add
it	PP	it
all	DT	all
up	RP	up
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
built	VBD	build
a	DT	a
house	NN	house
for	IN	for
less	JJR	less
than	IN	than
half	NN	half
of	IN	of
the	DT	the
typical	JJ	typical
embodied	VBN	embody
energy	NN	energy
for	IN	for
building	VBG	build
a	DT	a
house	NN	house
like	IN	like
this	DT	this
.	SENT	.
But	CC	but
before	IN	before
we	PP	we
pat	VBP	pat
ourselves	PP	ourselves
too	RB	too
much	RB	much
on	IN	on
the	DT	the
back	NN	back
,	,	,
we	PP	we
have	VBP	have
poured	VBN	pour
151	CD	@card@
megawatt	NN	megawatt
hours	NNS	hour
of	IN	of
energy	NN	energy
into	IN	into
constructing	VBG	construct
this	DT	this
house	NN	house
when	WRB	when
there	EX	there
was	VBD	be
a	DT	a
house	NN	house
there	RB	there
before	RB	before
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
question	NN	question
is	VBZ	be
:	:	:
How	WRB	how
could	MD	could
we	PP	we
make	VB	make
that	IN	that
back	RB	back
?	SENT	?
And	CC	and
so	RB	so
if	IN	if
I	PP	I
run	VBP	run
my	PP$	my
new	JJ	new
energy-efficient	JJ	energy-efficient
house	NN	house
forward	RB	forward
,	,	,
compared	VBN	compare
with	IN	with
the	DT	the
old	JJ	old
,	,	,
non-energy-efficient	JJ	non-energy-efficient
house	NN	house
,	,	,
we	PP	we
make	VBP	make
it	PP	it
back	RB	back
in	IN	in
about	RB	about
six	CD	six
years	NNS	year
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
probably	RB	probably
would	MD	would
have	VB	have
upgraded	VBN	upgrade
the	DT	the
old	JJ	old
house	NN	house
to	TO	to
be	VB	be
more	RBR	more
energy-efficient	JJ	energy-efficient
,	,	,
and	CC	and
in	IN	in
that	DT	that
case	NN	case
,	,	,
it	PP	it
would	MD	would
take	VB	take
me	PP	me
more	JJR	more
about	IN	about
20	CD	@card@
years	NNS	year
to	TO	to
break	VB	break
even	RB	even
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
I	PP	I
hadn	NN	<unknown>
'	POS	'
t	NN	t
paid	VBD	pay
attention	NN	attention
to	TO	to
embodied	VBN	embody
energy	NN	energy
,	,	,
it	PP	it
would	MD	would
have	VB	have
taken	VBN	take
us	PP	us
over	IN	over
50	CD	@card@
years	NNS	year
to	TO	to
break	VB	break
even	RB	even
compared	VBN	compare
to	TO	to
the	DT	the
upgraded	VBN	upgrade
house	NN	house
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
this	DT	this
mean	NN	mean
?	SENT	?
On	IN	on
the	DT	the
scale	NN	scale
of	IN	of
my	PP$	my
portion	NN	portion
of	IN	of
the	DT	the
house	NN	house
,	,	,
this	DT	this
is	VBZ	be
equivalent	JJ	equivalent
to	TO	to
about	RB	about
as	RB	as
much	JJ	much
as	IN	as
I	PP	I
drive	VBP	drive
in	IN	in
a	DT	a
year	NN	year
,	,	,
it	PP	it
'	POS	'
s	NN	S
about	IN	about
five	CD	five
times	NNS	time
as	RB	as
much	RB	much
as	RB	as
if	IN	if
I	PP	I
went	VBD	go
entirely	RB	entirely
vegetarian	JJ	vegetarian
.	SENT	.
But	CC	but
my	PP$	my
elephant	NN	elephant
in	IN	in
the	DT	the
living	VBG	live
room	NN	room
flies	NNS	fly
.	SENT	.
Clearly	RB	clearly
,	,	,
I	PP	I
need	VBP	need
to	TO	to
walk	VB	walk
home	RB	home
from	IN	from
TED	VB	ted
.	SENT	.
But	CC	but
all	PDT	all
the	DT	the
calculations	NNS	calculation
for	IN	for
embodied	VBN	embody
energy	NN	energy
are	VBP	be
on	IN	on
the	DT	the
blog	NN	<unknown>
.	SENT	.
And	CC	and
,	,	,
remember	VBP	remember
,	,	,
it	PP	it
'	POS	'
s	NN	S
sometimes	RB	sometimes
the	DT	the
things	NNS	thing
that	IN	that
you	PP	you
are	VBP	be
not	RB	not
expecting	VBG	expect
to	TO	to
be	VB	be
the	DT	the
biggest	JJS	big
changes	NNS	change
that	WDT	that
are	VBP	be
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
