Charlie	NP	Charlie
s	NNS	<unknown>
done	VBN	do
,	,	,
how	WRB	how
will	MD	will
it	PP	it
be	VB	be
?	SENT	?
LP	NP	LP
:	:	:
Well	UH	well
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
in	IN	in
thinking	VBG	think
about	RB	about
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
why	WRB	why
is	VBZ	be
it	PP	it
not	RB	not
done	VBN	do
?	SENT	?
â	NP	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
is	VBZ	be
just	RB	just
computing	NN	computing
'	POS	'
s	JJ	<unknown>
kind	NN	kind
of	IN	of
a	DT	a
mess	NN	mess
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
your	PP$	your
computer	NN	computer
doesn	NN	<unknown>
'	POS	'
t	NN	t
know	VB	know
where	WRB	where
you	PP	you
are	VBP	be
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
you	PP	you
know	VBP	know
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
to	TO	to
do	VB	do
recently	RB	recently
is	VBZ	be
just	RB	just
make	VB	make
your	PP$	your
devices	NNS	device
work	VBP	work
,	,	,
make	VBP	make
them	PP	them
understand	VB	understand
your	PP$	your
context	NN	context
.	SENT	.
Google	NP	<unknown>
Now	RB	now
,	,	,
you	PP	you
know	VBP	know
,	,	,
knows	VBZ	know
where	WRB	where
you	PP	you
are	VBP	be
,	,	,
knows	VBZ	know
what	WP	what
you	PP	you
may	MD	may
need	VB	need
.	SENT	.
So	IN	so
really	RB	really
having	VBG	have
computing	NN	computing
work	NN	work
and	CC	and
understand	VB	understand
you	PP	you
and	CC	and
understand	VB	understand
that	DT	that
information	NN	information
,	,	,
we	PP	we
really	RB	really
haven	NN	haven
'	POS	'
t	NN	t
done	VBN	do
that	IN	that
yet	RB	yet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
still	RB	still
very	RB	very
,	,	,
very	RB	very
clunky	NN	clunky
.	SENT	.
CR	NN	CR
:	:	:
Tell	VB	tell
me	PP	me
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
what	WP	what
Google	NP	<unknown>
is	VBZ	be
doing	VBG	do
,	,	,
where	WRB	where
does	VBZ	do
Deep	JJ	deep
Mind	NN	mind
fit	NN	fit
?	SENT	?
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
Deep	JJ	deep
Mind	NN	mind
is	VBZ	be
a	DT	a
company	NN	company
we	PP	we
just	RB	just
acquired	VBD	acquire
recently	RB	recently
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NP	K
.	SENT	.
First	RB	first
,	,	,
let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
the	DT	the
way	NN	way
we	PP	we
got	VBD	get
there	RB	there
,	,	,
which	WDT	which
was	VBD	be
looking	VBG	look
at	IN	at
search	NN	search
and	CC	and
really	RB	really
understanding	NN	understanding
,	,	,
trying	VBG	try
to	TO	to
understand	VB	understand
everything	NN	everything
,	,	,
and	CC	and
also	RB	also
make	VB	make
the	DT	the
computers	NNS	computer
not	RB	not
clunky	NN	clunky
and	CC	and
really	RB	really
understand	VB	understand
you	PP	you
â	NP	<unknown>
like	VB	like
,	,	,
voice	NN	voice
was	VBD	be
really	RB	really
important	JJ	important
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
state	NN	state
of	IN	of
the	DT	the
art	NN	art
on	IN	on
speech	NN	speech
recognition	NN	recognition
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
not	RB	not
very	RB	very
good	JJ	good
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
understand	VB	understand
you	PP	you
.	SENT	.
So	RB	so
we	PP	we
started	VBD	start
doing	VBG	do
machine	NN	machine
learning	VBG	learn
research	NN	research
to	TO	to
improve	VB	improve
that	DT	that
.	SENT	.
That	DT	that
helped	VBD	help
a	DT	a
lot	NN	lot
.	SENT	.
And	CC	and
we	PP	we
started	VBD	start
just	RB	just
looking	VBG	look
at	IN	at
things	NNS	thing
like	IN	like
YouTube	NP	<unknown>
.	SENT	.
Can	MD	can
we	PP	we
understand	VB	understand
YouTube	NP	<unknown>
?	SENT	?
But	CC	but
we	PP	we
actually	RB	actually
ran	VBD	run
machine	NN	machine
learning	VBG	learn
on	IN	on
YouTube	NP	<unknown>
and	CC	and
it	PP	it
discovered	VBD	discover
cats	NNS	cat
,	,	,
just	RB	just
by	IN	by
itself	PP	itself
.	SENT	.
Now	RB	now
,	,	,
that	IN	that
'	POS	'
s	NN	S
an	DT	an
important	JJ	important
concept	NN	concept
.	SENT	.
And	CC	and
we	PP	we
realized	VBD	realize
there	EX	there
'	''	'
s	NNS	<unknown>
really	RB	really
something	NN	something
here	RB	here
.	SENT	.
If	IN	if
we	PP	we
can	MD	can
learn	VB	learn
what	WP	what
cats	NNS	cat
are	VBP	be
,	,	,
that	WDT	that
must	MD	must
be	VB	be
really	RB	really
important	JJ	important
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
Deep	JJ	deep
Mind	NN	mind
,	,	,
what	WP	what
'	POS	'
s	NN	S
really	RB	really
amazing	JJ	amazing
about	IN	about
Deep	JJ	deep
Mind	NN	mind
is	VBZ	be
that	IN	that
it	PP	it
can	MD	can
actually	RB	actually
â	NP	<unknown>
they	PP	they
'	''	'
re	IN	re
learning	VBG	learn
things	NNS	thing
in	IN	in
this	DT	this
unsupervised	JJ	unsupervised
way	NN	way
.	SENT	.
They	PP	they
started	VBD	start
with	IN	with
video	JJ	video
games	NNS	game
,	,	,
and	CC	and
really	RB	really
just	RB	just
,	,	,
maybe	RB	maybe
I	PP	I
can	MD	can
show	VB	show
the	DT	the
video	NN	video
,	,	,
just	RB	just
playing	VBG	play
video	JJ	video
games	NNS	game
,	,	,
and	CC	and
learning	VBG	learn
how	WRB	how
to	TO	to
do	VB	do
that	IN	that
automatically	RB	automatically
.	SENT	.
CR	NN	CR
:	:	:
Take	VB	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
video	JJ	video
games	NNS	game
and	CC	and
how	WRB	how
machines	NNS	machine
are	VBP	be
coming	VBG	come
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
some	DT	some
remarkable	JJ	remarkable
things	NNS	thing
.	SENT	.
LP	NP	LP
:	:	:
The	DT	the
amazing	JJ	amazing
thing	NN	thing
about	IN	about
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
obviously	RB	obviously
,	,	,
these	DT	these
are	VBP	be
old	JJ	old
games	NNS	game
,	,	,
but	CC	but
the	DT	the
system	NN	system
just	RB	just
sees	VBZ	see
what	WP	what
you	PP	you
see	VBP	see
,	,	,
the	DT	the
pixels	NNS	pixel
,	,	,
and	CC	and
it	PP	it
has	VBZ	have
the	DT	the
controls	NNS	control
and	CC	and
it	PP	it
has	VBZ	have
the	DT	the
score	NN	score
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
learned	VBD	learn
to	TO	to
play	VB	play
all	DT	all
of	IN	of
these	DT	these
games	NNS	game
,	,	,
same	JJ	same
program	NN	program
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
learned	VBD	learn
to	TO	to
play	VB	play
all	DT	all
of	IN	of
these	DT	these
games	NNS	game
with	IN	with
superhuman	JJ	superhuman
performance	NN	performance
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
not	RB	not
been	VBN	be
able	JJ	able
to	TO	to
do	VB	do
things	NNS	thing
like	IN	like
this	DT	this
with	IN	with
computers	NNS	computer
before	RB	before
.	SENT	.
And	CC	and
maybe	RB	maybe
I	NP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
narrate	VBP	narrate
this	DT	this
one	CD	one
quickly	RB	quickly
.	SENT	.
This	DT	this
is	VBZ	be
boxing	VBG	box
,	,	,
and	CC	and
it	PP	it
figures	VBZ	figure
out	IN	out
it	PP	it
can	MD	can
sort	VB	sort
of	IN	of
pin	NN	pin
the	DT	the
opponent	NN	opponent
down	RB	down
.	SENT	.
The	DT	the
computer	NN	computer
'	POS	'
s	NN	S
on	IN	on
the	DT	the
left	NN	left
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
just	RB	just
racking	VBG	rack
up	RP	up
points	NNS	point
.	SENT	.
So	RB	so
imagine	VB	imagine
if	IN	if
this	DT	this
kind	NN	kind
of	IN	of
intelligence	NN	intelligence
were	VBD	be
thrown	VBN	throw
at	IN	at
your	PP$	your
schedule	NN	schedule
,	,	,
or	CC	or
your	PP$	your
information	NN	information
needs	NNS	need
,	,	,
or	CC	or
things	NNS	thing
like	IN	like
that	DT	that
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
really	RB	really
just	RB	just
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
that	DT	that
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
really	RB	really
excited	VBN	excite
about	RB	about
.	SENT	.
CR	NN	CR
:	:	:
When	WRB	when
you	PP	you
look	VBP	look
at	IN	at
all	PDT	all
that	DT	that
'	''	'
s	NNS	<unknown>
taken	VBN	take
place	NN	place
with	IN	with
Deep	JJ	deep
Mind	NN	mind
and	CC	and
the	DT	the
boxing	NN	boxing
,	,	,
also	RB	also
a	DT	a
part	NN	part
of	IN	of
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
is	VBZ	be
artificial	JJ	artificial
intelligence	NN	intelligence
.	SENT	.
Where	WRB	where
are	VBP	be
we	PP	we
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
that	DT	that
?	SENT	?
LP	NP	LP
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
for	IN	for
me	PP	me
,	,	,
this	DT	this
is	VBZ	be
kind	NN	kind
of	IN	of
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
exciting	JJ	exciting
things	NNS	thing
I	PP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
in	IN	in
a	DT	a
long	JJ	long
time	NN	time
.	SENT	.
The	DT	the
guy	NN	guy
who	WP	who
started	VBD	start
this	DT	this
company	NN	company
,	,	,
Demis	NP	<unknown>
,	,	,
has	VBZ	have
a	DT	a
neuroscience	NN	neuroscience
and	CC	and
a	DT	a
computer	NN	computer
science	NN	science
background	NN	background
.	SENT	.
He	PP	he
went	VBD	go
back	RB	back
to	TO	to
school	NN	school
to	TO	to
get	VB	get
his	PP$	his
Ph	NN	Ph
.	SENT	.
D	LS	d
.	SENT	.
to	TO	to
study	VB	study
the	DT	the
brain	NN	brain
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
a	DT	a
lot	NN	lot
of	IN	of
exciting	JJ	exciting
work	NN	work
going	VBG	go
on	IN	on
that	DT	that
sort	NN	sort
of	IN	of
crosses	NNS	crosse
computer	NN	computer
science	NN	science
and	CC	and
neuroscience	NN	neuroscience
in	IN	in
terms	NNS	term
of	IN	of
really	RB	really
understanding	VBG	understand
what	WP	what
it	PP	it
takes	VBZ	take
to	TO	to
make	VB	make
something	NN	something
smart	JJ	smart
and	CC	and
do	VBP	do
really	RB	really
interesting	JJ	interesting
things	NNS	thing
.	SENT	.
CR	NN	CR
:	:	:
But	CC	but
where	WRB	where
'	POS	'
s	NNS	<unknown>
the	DT	the
level	NN	level
of	IN	of
it	PP	it
now	RB	now
?	SENT	?
And	CC	and
how	WRB	how
fast	RB	fast
do	VBP	do
you	PP	you
think	VBP	think
we	PP	we
are	VBP	be
moving	VBG	move
?	SENT	?
LP	NP	LP
:	:	:
Well	UH	well
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
state	NN	state
of	IN	of
the	DT	the
art	NN	art
right	RB	right
now	RB	now
,	,	,
understanding	VBG	understand
cats	NNS	cat
on	IN	on
YouTube	NP	<unknown>
and	CC	and
things	NNS	thing
like	VBP	like
that	IN	that
,	,	,
improving	VBG	improve
voice	NN	voice
recognition	NN	recognition
.	SENT	.
We	PP	we
used	VBD	use
a	DT	a
lot	NN	lot
of	IN	of
machine	NN	machine
learning	VBG	learn
to	TO	to
improve	VB	improve
things	NNS	thing
incrementally	RB	incrementally
,	,	,
but	CC	but
I	PP	I
think	VBP	think
for	IN	for
me	PP	me
,	,	,
this	DT	this
example	NN	example
'	POS	'
s	NN	S
really	RB	really
exciting	JJ	exciting
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
one	CD	one
program	NN	program
that	WDT	that
can	MD	can
do	VB	do
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
things	NNS	thing
.	SENT	.
CR	NN	CR
:	:	:
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
we	PP	we
can	MD	can
do	VB	do
this	DT	this
,	,	,
but	CC	but
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
the	DT	the
image	NN	image
of	IN	of
the	DT	the
cat	NN	cat
.	SENT	.
It	PP	it
would	MD	would
be	VB	be
wonderful	JJ	wonderful
to	TO	to
see	VB	see
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
how	WRB	how
machines	NNS	machine
looked	VBD	look
at	IN	at
cats	NNS	cat
and	CC	and
what	WP	what
they	PP	they
came	VBD	come
up	RP	up
with	IN	with
.	SENT	.
Can	MD	can
we	PP	we
see	VB	see
that	DT	that
image	NN	image
?	SENT	?
LP	NP	LP
:	:	:
Yeah	RB	yeah
.	SENT	.
CR	NN	CR
:	:	:
There	RB	there
it	PP	it
is	VBZ	be
.	SENT	.
Can	MD	can
you	PP	you
see	VB	see
the	DT	the
cat	NN	cat
?	SENT	?
Designed	VBN	design
by	IN	by
machines	NNS	machine
,	,	,
seen	VBN	see
by	IN	by
machines	NNS	machine
.	SENT	.
LP	NP	LP
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
learned	VBN	learn
from	IN	from
just	RB	just
watching	VBG	watch
YouTube	NP	<unknown>
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
training	NN	training
,	,	,
no	DT	no
notion	NN	notion
of	IN	of
a	DT	a
cat	NN	cat
,	,	,
but	CC	but
this	DT	this
concept	NN	concept
of	IN	of
a	DT	a
cat	NN	cat
is	VBZ	be
something	RB	something
important	JJ	important
that	IN	that
you	PP	you
would	MD	would
understand	VB	understand
,	,	,
and	CC	and
now	RB	now
that	IN	that
the	DT	the
machines	NNS	machine
can	MD	can
kind	RB	kind
of	IN	of
understand	VB	understand
.	SENT	.
Maybe	RB	maybe
just	RB	just
finishing	VBG	finish
also	RB	also
on	IN	on
the	DT	the
search	NN	search
part	NN	part
,	,	,
it	PP	it
started	VBD	start
with	IN	with
search	NN	search
,	,	,
really	RB	really
understanding	VBG	understand
people	NNS	people
'	POS	'
s	NN	S
context	NN	context
and	CC	and
their	PP$	their
information	NN	information
.	SENT	.
I	PP	I
did	VBD	do
have	VB	have
a	DT	a
video	NN	video
I	PP	I
wanted	VBD	want
to	TO	to
show	VB	show
quickly	RB	quickly
on	IN	on
that	IN	that
that	WDT	that
we	PP	we
actually	RB	actually
found	VBD	find
.	SENT	.
[	SYM	[
"	''	"
Soy	NN	soy
,	,	,
Kenya	NP	Kenya
"	''	"
]	SYM	]
Zack	NP	Zack
Matere	NP	<unknown>
:	:	:
Not	RB	not
long	RB	long
ago	RB	ago
,	,	,
I	PP	I
planted	VBD	plant
a	DT	a
crop	NN	crop
of	IN	of
potatoes	NNS	potato
.	SENT	.
Then	RB	then
suddenly	RB	suddenly
they	PP	they
started	VBD	start
dying	VBG	die
one	CD	one
after	IN	after
the	DT	the
other	JJ	other
.	SENT	.
I	PP	I
checked	VBD	check
out	RP	out
the	DT	the
books	NNS	book
and	CC	and
they	PP	they
didn	NP	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
me	PP	me
much	RB	much
.	SENT	.
So	RB	so
,	,	,
I	PP	I
went	VBD	go
and	CC	and
I	PP	I
did	VBD	do
a	DT	a
search	NN	search
.	SENT	.
[	SYM	[
"	``	"
Zack	NP	Zack
Matere	NP	<unknown>
,	,	,
Farmer	NP	Farmer
"	''	"
]	SYM	]
Potato	NN	potato
diseases	NNS	disease
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
websites	NNS	website
told	VBD	tell
me	PP	me
that	IN	that
ants	NNS	ant
could	MD	could
be	VB	be
the	DT	the
problem	NN	problem
.	SENT	.
It	PP	it
said	VBD	say
,	,	,
sprinkle	VBP	sprinkle
wood	NN	wood
ash	NN	ash
over	IN	over
the	DT	the
plants	NNS	plant
.	SENT	.
Then	RB	then
after	IN	after
a	DT	a
few	JJ	few
days	NNS	day
the	DT	the
ants	NNS	ant
disappeared	VBD	disappear
.	SENT	.
I	PP	I
got	VBD	get
excited	VBN	excite
about	IN	about
the	DT	the
Internet	NN	Internet
.	SENT	.
I	PP	I
have	VBP	have
this	DT	this
friend	NN	friend
who	WP	who
really	RB	really
would	MD	would
like	VB	like
to	TO	to
expand	VB	expand
his	PP$	his
business	NN	business
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
with	IN	with
him	PP	him
to	TO	to
the	DT	the
cyber	NN	<unknown>
cafe	NN	cafe
and	CC	and
we	PP	we
checked	VBD	check
out	RP	out
several	JJ	several
sites	NNS	site
.	SENT	.
When	WRB	when
I	PP	I
met	VBD	meet
him	PP	him
next	JJ	next
,	,	,
he	PP	he
was	VBD	be
going	VBG	go
to	TO	to
put	VB	put
a	DT	a
windmill	NN	windmill
at	IN	at
the	DT	the
local	JJ	local
school	NN	school
.	SENT	.
I	PP	I
felt	VBD	feel
proud	JJ	proud
because	IN	because
something	NN	something
that	IN	that
wasn	NP	<unknown>
'	POS	'
t	NN	t
there	EX	there
before	RB	before
was	VBD	be
suddenly	RB	suddenly
there	RB	there
.	SENT	.
I	PP	I
realized	VBD	realize
that	IN	that
not	RB	not
everybody	NN	everybody
can	MD	can
be	VB	be
able	JJ	able
to	TO	to
access	VB	access
what	WP	what
I	PP	I
was	VBD	be
able	JJ	able
to	TO	to
access	NN	access
.	SENT	.
I	PP	I
thought	VBD	think
that	IN	that
I	PP	I
need	VBP	need
to	TO	to
have	VB	have
an	DT	an
Internet	NN	Internet
that	IN	that
my	PP$	my
grandmother	NN	grandmother
can	MD	can
use	VB	use
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
about	IN	about
a	DT	a
notice	NN	notice
board	NN	board
.	SENT	.
A	DT	a
simple	JJ	simple
wooden	JJ	wooden
notice	NN	notice
board	NN	board
.	SENT	.
When	WRB	when
I	PP	I
get	VBP	get
information	NN	information
on	IN	on
my	PP$	my
phone	NN	phone
,	,	,
I	PP	I
'	POS	'
m	NN	m
able	JJ	able
to	TO	to
post	VB	post
the	DT	the
information	NN	information
on	IN	on
the	DT	the
notice	NN	notice
board	NN	board
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
basically	RB	basically
like	IN	like
a	DT	a
computer	NN	computer
.	SENT	.
I	PP	I
use	VBP	use
the	DT	the
Internet	NN	Internet
to	TO	to
help	VB	help
people	NNS	people
.	SENT	.
I	PP	I
think	VBP	think
I	PP	I
am	VBP	be
searching	VBG	search
for	IN	for
a	DT	a
better	JJR	good
life	NN	life
for	IN	for
me	PP	me
and	CC	and
my	PP$	my
neighbors	NNS	neighbor
.	SENT	.
So	IN	so
many	JJ	many
people	NNS	people
have	VBP	have
access	NN	access
to	TO	to
information	NN	information
,	,	,
but	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
follow-up	NN	follow-up
to	TO	to
that	DT	that
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
follow-up	NN	follow-up
to	TO	to
that	WDT	that
is	VBZ	be
our	PP$	our
knowledge	NN	knowledge
.	SENT	.
When	WRB	when
people	NNS	people
have	VBP	have
the	DT	the
knowledge	NN	knowledge
,	,	,
they	PP	they
can	MD	can
find	VB	find
solutions	NNS	solution
without	IN	without
having	VBG	have
to	TO	to
helped	VBN	help
out	RP	out
.	SENT	.
Information	NN	information
is	VBZ	be
powerful	JJ	powerful
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
how	WRB	how
we	PP	we
use	VBP	use
it	PP	it
that	DT	that
will	MD	will
define	VB	define
us	PP	us
.	SENT	.
LP	NP	LP
:	:	:
Now	RB	now
,	,	,
the	DT	the
amazing	JJ	amazing
thing	NN	thing
about	IN	about
that	DT	that
video	NN	video
,	,	,
actually	RB	actually
,	,	,
was	VBD	be
we	PP	we
just	RB	just
read	VBP	read
about	IN	about
it	PP	it
in	IN	in
the	DT	the
news	NN	news
,	,	,
and	CC	and
we	PP	we
found	VBD	find
this	DT	this
gentlemen	NNS	gentleman
,	,	,
and	CC	and
made	VBD	make
that	IN	that
little	JJ	little
clip	NN	clip
.	SENT	.
CR	NN	CR
:	:	:
When	WRB	when
I	PP	I
talk	VBP	talk
to	TO	to
people	NNS	people
about	IN	about
you	PP	you
,	,	,
they	PP	they
say	VBP	say
to	TO	to
me	PP	me
,	,	,
people	NNS	people
who	WP	who
know	VBP	know
you	PP	you
well	RB	well
,	,	,
say	VBP	say
,	,	,
Larry	NP	Larry
wants	VBZ	want
to	TO	to
change	VB	change
the	DT	the
world	NN	world
,	,	,
and	CC	and
he	PP	he
believes	VBZ	believe
technology	NN	technology
can	MD	can
show	VB	show
the	DT	the
way	NN	way
.	SENT	.
And	CC	and
that	WDT	that
means	VBZ	mean
access	NN	access
to	TO	to
the	DT	the
Internet	NN	Internet
.	SENT	.
It	PP	it
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
languages	NNS	language
.	SENT	.
It	PP	it
also	RB	also
means	VBZ	mean
how	WRB	how
people	NNS	people
can	MD	can
get	VB	get
access	NN	access
and	CC	and
do	VB	do
things	NNS	thing
that	WDT	that
will	MD	will
affect	VB	affect
their	PP$	their
community	NN	community
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
an	DT	an
example	NN	example
.	SENT	.
LP	NP	LP
:	:	:
Yeah	RB	yeah
,	,	,
that	IN	that
'	POS	'
s	NN	S
right	NN	right
