OK	UH	OK
,	,	,
together	RB	together
,	,	,
we	PP	we
make	VBP	make
better	JJR	good
decisions	NNS	decision
for	IN	for
our	PP$	our
communities	NNS	community
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
the	DT	the
last	JJ	last
eight	CD	eight
years	NNS	year
on	IN	on
a	DT	a
mission	NN	mission
to	TO	to
push	VB	push
our	PP$	our
democracy	NN	democracy
into	IN	into
the	DT	the
21st	JJ	21st
century	NN	century
.	SENT	.
Now	RB	now
,	,	,
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
common	JJ	common
approaches	NNS	approach
to	TO	to
election	NN	election
modernization	NN	modernization
is	VBZ	be
advocating	VBG	advocate
for	IN	for
policy	NN	policy
change	NN	change
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
an	DT	an
incredibly	RB	incredibly
important	JJ	important
piece	NN	piece
of	IN	of
the	DT	the
strategy	NN	strategy
for	IN	for
building	VBG	build
a	DT	a
system	NN	system
where	WRB	where
millions	NNS	million
of	IN	of
more	JJR	more
people	NNS	people
become	VBP	become
voters	NNS	voter
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
ve	NN	ve
taken	VBN	take
a	DT	a
different	JJ	different
approach	NN	approach
.	SENT	.
I	PP	I
focused	VBD	focus
on	IN	on
a	DT	a
critical	JJ	critical
yet	RB	yet
largely	RB	largely
untapped	JJ	untapped
resource	NN	resource
for	IN	for
election	NN	election
modernization	NN	modernization
:	:	:
local	JJ	local
election	NN	election
officials	NNS	official
.	SENT	.
I	PP	I
work	VBP	work
with	IN	with
thousands	NNS	thousand
of	IN	of
local	JJ	local
election	NN	election
officials	NNS	official
across	IN	across
the	DT	the
country	NN	country
to	TO	to
build	VB	build
tools	NNS	tool
and	CC	and
skills	NNS	skill
that	IN	that
they	PP	they
can	MD	can
use	VB	use
immediately	RB	immediately
to	TO	to
transform	VB	transform
the	DT	the
way	NN	way
that	IN	that
they	PP	they
'	''	'
re	IN	re
engaging	JJ	engaging
today	NN	today
'	POS	'
s	NN	S
voters	NNS	voter
.	SENT	.
Folks	NNS	folk
like	IN	like
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
.	SENT	.
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
have	VBP	have
worked	VBN	work
together	RB	together
for	IN	for
years	NNS	year
in	IN	in
a	DT	a
windowless	JJ	windowless
office	NN	office
in	IN	in
the	DT	the
basement	NN	basement
of	IN	of
the	DT	the
Mercer	NP	Mercer
County	NP	County
Courthouse	NN	courthouse
in	IN	in
West	NP	West
Virginia	NP	Virginia
.	SENT	.
Together	RB	together
,	,	,
they	PP	they
have	VBP	have
a	DT	a
tremendous	JJ	tremendous
responsibility	NN	responsibility
.	SENT	.
They	PP	they
'	''	'
re	IN	re
local	JJ	local
election	NN	election
officials	NNS	official
serving	VBG	serve
Mercer	NP	Mercer
County	NP	County
'	POS	'
s	NN	S
40	CD	@card@
,	,	,
000	CD	@card@
registered	JJ	registered
voters	NNS	voter
.	SENT	.
Local	JJ	local
election	NN	election
officials	NNS	official
are	VBP	be
the	DT	the
public	JJ	public
servants	NNS	servant
that	WDT	that
do	VBP	do
the	DT	the
day-to-day	JJ	day-to-day
work	NN	work
that	WDT	that
makes	VBZ	make
our	PP$	our
election	NN	election
system	NN	system
function	NN	function
.	SENT	.
When	WRB	when
you	PP	you
fill	VBP	fill
out	RP	out
a	DT	a
voter-registration	NN	voter-registration
form	NN	form
,	,	,
they	PP	they
'	POS	'
re	NN	re
the	DT	the
folks	NNS	folk
that	WDT	that
process	VBP	process
them	PP	them
and	CC	and
add	VB	add
you	PP	you
to	TO	to
the	DT	the
rolls	NNS	roll
.	SENT	.
They	PP	they
'	''	'
re	IN	re
the	DT	the
folks	NNS	folk
who	WP	who
buy	VBP	buy
the	DT	the
technology	NN	technology
that	IN	that
we	PP	we
use	VBP	use
to	TO	to
cast	VB	cast
and	CC	and
count	VB	count
ballots	NNS	ballot
.	SENT	.
They	PP	they
recruit	VBP	recruit
and	CC	and
train	VBP	train
the	DT	the
volunteers	NNS	volunteer
at	IN	at
your	PP$	your
local	JJ	local
polling	NN	polling
place	NN	place
.	SENT	.
And	CC	and
they	PP	they
'	POS	'
re	NN	re
the	DT	the
official	JJ	official
nonpartisan	JJ	nonpartisan
source	NN	source
for	IN	for
informing	VBG	inform
people	NNS	people
in	IN	in
their	PP$	their
communities	NNS	community
about	IN	about
how	WRB	how
to	TO	to
vote	VB	vote
.	SENT	.
And	CC	and
unlike	IN	unlike
other	JJ	other
countries	NNS	country
where	WRB	where
there	EX	there
'	''	'
s	VBG	<unknown>
some	DT	some
form	NN	form
of	IN	of
centralized	JJ	centralized
election	NN	election
authority	NN	authority
,	,	,
in	IN	in
the	DT	the
US	NP	US
,	,	,
there	EX	there
are	VBP	be
7	CD	@card@
,	,	,
897	CD	@card@
different	JJ	different
county	NN	county
and	CC	and
municipal	JJ	municipal
offices	NNS	office
,	,	,
like	IN	like
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
'	POS	'
s	NN	S
,	,	,
that	IN	that
each	DT	each
have	VBP	have
an	DT	an
independent	JJ	independent
role	NN	role
in	IN	in
administering	VBG	administer
elections	NNS	election
.	SENT	.
Yes	UH	yes
,	,	,
that	WDT	that
'	POS	'
s	NN	S
nearly	RB	nearly
8	CD	@card@
,	,	,
000	CD	@card@
slightly	RB	slightly
different	JJ	different
ways	NNS	way
that	IN	that
you	PP	you
might	MD	might
experience	VB	experience
voting	NN	voting
based	VBN	base
on	IN	on
where	WRB	where
you	PP	you
happen	VBP	happen
to	TO	to
live	VB	live
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
talking	VBG	talk
with	IN	with
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
,	,	,
like	IN	like
so	RB	so
many	JJ	many
election	NN	election
officials	NNS	official
that	WDT	that
I	PP	I
talk	VBP	talk
with	IN	with
in	IN	in
rural	JJ	rural
towns	NNS	town
and	CC	and
in	IN	in
major	JJ	major
cities	NNS	city
alike	RB	alike
,	,	,
they	PP	they
were	VBD	be
deeply	RB	deeply
proud	JJ	proud
of	IN	of
getting	VBG	get
to	TO	to
help	VB	help
people	NNS	people
in	IN	in
their	PP$	their
communities	NNS	community
,	,	,
but	CC	but
they	PP	they
were	VBD	be
also	RB	also
worried	VBN	worry
.	SENT	.
All	DT	all
of	IN	of
the	DT	the
new	JJ	new
tools	NNS	tool
that	IN	that
people	NNS	people
were	VBD	be
using	VBG	use
to	TO	to
get	VB	get
information	NN	information
—	:	-
the	DT	the
internet	NN	Internet
,	,	,
social	JJ	social
media	NNS	medium
—	:	-
they	PP	they
were	VBD	be
difficult	JJ	difficult
to	TO	to
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
use	VB	use
effectively	RB	effectively
.	SENT	.
And	CC	and
they	PP	they
felt	VBD	feel
like	IN	like
they	PP	they
weren	NNS	<unknown>
'	POS	'
t	NN	t
fully	RB	fully
meeting	VBG	meet
the	DT	the
needs	NNS	need
of	IN	of
Mercer	NP	Mercer
County	NP	County
voters	NNS	voter
.	SENT	.
One	CD	one
thing	NN	thing
that	IN	that
they	PP	they
really	RB	really
wished	VBD	wish
that	IN	that
they	PP	they
had	VBD	have
was	VBD	be
a	DT	a
website	NN	website
so	IN	so
they	PP	they
could	MD	could
create	VB	create
a	DT	a
hub	NN	hub
with	IN	with
information	NN	information
about	IN	about
how	WRB	how
to	TO	to
register	VB	register
in	IN	in
upcoming	JJ	upcoming
elections	NNS	election
,	,	,
and	CC	and
a	DT	a
place	NN	place
to	TO	to
put	VB	put
election	NN	election
results	NNS	result
.	SENT	.
See	VB	see
,	,	,
at	IN	at
the	DT	the
time	NN	time
,	,	,
when	WRB	when
voters	NNS	voter
had	VBD	have
questions	NNS	question
,	,	,
they	PP	they
had	VBD	have
to	TO	to
either	RB	either
call	VB	call
or	CC	or
visit	VB	visit
their	PP$	their
office	NN	office
,	,	,
which	WDT	which
meant	VBD	mean
that	IN	that
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
were	VBD	be
inevitably	RB	inevitably
answering	VBG	answer
the	DT	the
same	JJ	same
questions	NNS	question
over	IN	over
and	CC	and
over	IN	over
again	RB	again
,	,	,
which	WDT	which
is	VBZ	be
both	CC	both
a	DT	a
superinefficient	JJ	superinefficient
use	NN	use
of	IN	of
their	PP$	their
time	NN	time
,	,	,
but	CC	but
also	RB	also
created	VBN	create
totally	RB	totally
unnecessary	JJ	unnecessary
barriers	NNS	barrier
for	IN	for
voters	NNS	voter
when	WRB	when
that	DT	that
information	NN	information
could	MD	could
just	RB	just
live	VB	live
online	JJ	online
.	SENT	.
And	CC	and
Mercer	NP	Mercer
County	NP	County
wasn	NP	<unknown>
'	POS	'
t	NN	t
alone	RB	alone
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
,	,	,
they	PP	they
were	VBD	be
one	CD	one
of	IN	of
966	CD	@card@
counties	NNS	county
in	IN	in
the	DT	the
US	NP	US
that	WDT	that
had	VBD	have
no	DT	no
voting	NN	voting
information	NN	information
online	JJ	online
.	SENT	.
I	NP	I
'	POS	'
ll	NNS	<unknown>
let	VBP	let
that	RB	that
sink	VB	sink
in	IN	in
.	SENT	.
They	PP	they
were	VBD	be
one	CD	one
of	IN	of
the	DT	the
nearly	RB	nearly
one-third	JJ	one-third
of	IN	of
counties	NNS	county
in	IN	in
the	DT	the
US	NP	US
that	WDT	that
had	VBD	have
no	DT	no
place	NN	place
online	JJ	online
to	TO	to
find	VB	find
official	JJ	official
information	NN	information
about	IN	about
how	WRB	how
to	TO	to
vote	VB	vote
.	SENT	.
To	TO	to
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
,	,	,
not	RB	not
having	VBG	have
and	CC	and
election	NN	election
website	NN	website
was	VBD	be
unacceptable	JJ	unacceptable
,	,	,
but	CC	but
they	PP	they
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
very	RB	very
many	JJ	many
options	NNS	option
.	SENT	.
They	PP	they
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
budget	NN	budget
to	TO	to
hire	VB	hire
a	DT	a
web	NN	web
developer	NN	developer
,	,	,
they	PP	they
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
expertise	NN	expertise
to	TO	to
build	VB	build
a	DT	a
site	NN	site
themselves	PP	themselves
,	,	,
so	RB	so
they	PP	they
went	VBD	go
without	IN	without
.	SENT	.
And	CC	and
40	CD	@card@
,	,	,
000	CD	@card@
voters	NNS	voter
in	IN	in
Mercer	NP	Mercer
County	NP	County
went	VBD	go
without	IN	without
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
a	DT	a
moment	NN	moment
where	WRB	where
we	PP	we
have	VBP	have
an	DT	an
unprecedented	JJ	unprecedented
opportunity	NN	opportunity
to	TO	to
transform	VB	transform
civic	JJ	civic
engagement	NN	engagement
.	SENT	.
Technology	NP	Technology
is	VBZ	be
revolutionizing	VBG	revolutionize
science	NN	science
and	CC	and
industry	NN	industry
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
already	RB	already
transformed	VBN	transform
how	WRB	how
we	PP	we
connect	VBP	connect
with	IN	with
one	CD	one
another	DT	another
and	CC	and
understand	VBP	understand
the	DT	the
world	NN	world
around	IN	around
us	PP	us
,	,	,
but	CC	but
our	PP$	our
democratic	JJ	democratic
institutions	NNS	institution
—	:	-
they	PP	they
'	POS	'
re	NN	re
being	VBG	be
left	VBN	leave
behind	RB	behind
.	SENT	.
The	DT	the
US	NP	US
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
few	JJ	few
major	JJ	major
democracies	NNS	democracy
in	IN	in
the	DT	the
world	NN	world
that	WDT	that
puts	VBZ	put
the	DT	the
onus	NN	onus
of	IN	of
voter	NN	voter
registration	NN	registration
on	IN	on
the	DT	the
individual	JJ	individual
voter	NN	voter
,	,	,
rather	RB	rather
than	IN	than
the	DT	the
government	NN	government
.	SENT	.
The	DT	the
rules	NNS	rule
that	WDT	that
govern	VBP	govern
how	WRB	how
to	TO	to
vote	VB	vote
vary	VB	vary
from	IN	from
state	NN	state
to	TO	to
state	NN	state
,	,	,
and	CC	and
sometimes	RB	sometimes
even	RB	even
county	NN	county
to	TO	to
county	NN	county
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
ballots	NNS	ballot
that	WDT	that
are	VBP	be
pages	NNS	page
and	CC	and
pages	NNS	page
long	RB	long
.	SENT	.
This	DT	this
November	NP	November
,	,	,
on	IN	on
my	PP$	my
ballot	NN	ballot
,	,	,
there	EX	there
are	VBP	be
literally	RB	literally
over	IN	over
100	CD	@card@
different	JJ	different
people	NNS	people
and	CC	and
referenda	NNS	referendum
for	IN	for
me	PP	me
to	TO	to
make	VB	make
decisions	NNS	decision
about	RB	about
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
be	VB	be
using	VBG	use
the	DT	the
best	JJS	good
tools	NNS	tool
we	PP	we
can	MD	can
bring	VB	bring
to	TO	to
bear	VB	bear
to	TO	to
help	VB	help
voters	NNS	voter
navigate	VB	navigate
this	DT	this
complexity	NN	complexity
,	,	,
and	CC	and
right	RB	right
now	RB	now
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
most	RBS	most
common	JJ	common
narratives	NNS	narrative
I	PP	I
hear	VBP	hear
in	IN	in
my	PP$	my
work	NN	work
is	VBZ	be
that	IN	that
people	NNS	people
aren	NNS	<unknown>
'	POS	'
t	NN	t
civically	RB	civically
engaged	VBN	engage
because	IN	because
they	PP	they
'	POS	'
re	NN	re
apathetic	JJ	apathetic
—	:	-
because	IN	because
they	PP	they
don	NN	don
'	POS	'
t	NN	t
care	NN	care
.	SENT	.
But	CC	but
as	IN	as
my	PP$	my
brilliant	JJ	brilliant
friends	NNS	friend
at	IN	at
the	DT	the
Center	NP	Center
for	IN	for
Civic	NP	Civic
Design	NP	Design
say	VBP	say
,	,	,
if	IN	if
there	EX	there
is	VBZ	be
apathy	NN	apathy
,	,	,
it	PP	it
comes	VBZ	come
from	IN	from
the	DT	the
system	NN	system
,	,	,
not	RB	not
the	DT	the
voter	NN	voter
.	SENT	.
We	PP	we
can	MD	can
change	VB	change
the	DT	the
system	NN	system
right	RB	right
now	RB	now
by	IN	by
connecting	VBG	connect
local	JJ	local
election	NN	election
officials	NNS	official
like	IN	like
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
with	IN	with
21st-century	JJ	<unknown>
tools	NNS	tool
and	CC	and
the	DT	the
training	NN	training
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
use	VB	use
them	PP	them
to	TO	to
better	RBR	well
serve	VB	serve
voters	NNS	voter
.	SENT	.
Tools	NNS	tool
and	CC	and
training	NN	training
to	TO	to
do	VB	do
things	NNS	thing
like	IN	like
use	NN	use
social	JJ	social
media	NNS	medium
for	IN	for
voter	NN	voter
engagement	NN	engagement
,	,	,
or	CC	or
use	VB	use
data	NNS	datum
to	TO	to
staff	VB	staff
and	CC	and
equip	VB	equip
polling	NN	polling
places	NNS	place
so	RB	so
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
see	VBP	see
hours-long	JJ	hours-long
lines	NNS	line
at	IN	at
the	DT	the
polls	NNS	poll
,	,	,
or	CC	or
training	NN	training
on	IN	on
cybersecurity	NN	cybersecurity
best	JJS	good
practices	NNS	practice
so	RB	so
that	IN	that
we	PP	we
can	MD	can
ensure	VB	ensure
that	IN	that
our	PP$	our
voting	NN	voting
systems	NNS	system
are	VBP	be
secure	JJ	secure
.	SENT	.
When	WRB	when
we	PP	we
invest	VBP	invest
in	IN	in
this	DT	this
approach	NN	approach
,	,	,
we	PP	we
see	VBP	see
meaningful	JJ	meaningful
,	,	,
lasting	JJ	lasting
results	NNS	result
.	SENT	.
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
are	VBP	be
online	JJ	online
now	RB	now
.	SENT	.
Inspired	VBN	inspire
by	IN	by
their	PP$	their
experience	NN	experience
,	,	,
we	PP	we
built	VBD	build
a	DT	a
website	NN	website
template	NN	template
using	VBG	use
research-based	JJ	research-based
best	JJS	good
practices	NNS	practice
in	IN	in
civic	JJ	civic
design	NN	design
,	,	,
and	CC	and
developed	VBD	develop
the	DT	the
training	NN	training
so	IN	so
that	DT	that
Kat	NP	Kat
and	CC	and
Marie	NP	Marie
are	VBP	be
able	JJ	able
to	TO	to
maintain	VB	maintain
their	PP$	their
site	NN	site
themselves	PP	themselves
.	SENT	.
In	IN	in
less	JJR	less
than	IN	than
a	DT	a
week	NN	week
,	,	,
they	PP	they
went	VBD	go
from	IN	from
having	VBG	have
never	RB	never
seen	VBN	see
the	DT	the
back	JJ	back
end	NN	end
of	IN	of
a	DT	a
website	NN	website
to	TO	to
building	VBG	build
a	DT	a
resource	NN	resource
for	IN	for
Mercer	NP	Mercer
County	NP	County
voters	NNS	voter
that	IN	that
they	PP	they
have	VBP	have
been	VBN	be
independently	RB	independently
keeping	VBG	keep
up	RP	up
to	TO	to
date	VB	date
since	IN	since
2014	CD	@card@
.	SENT	.
Today	NN	today
,	,	,
the	DT	the
40	CD	@card@
,	,	,
000	CD	@card@
voters	NNS	voter
in	IN	in
Mercer	NP	Mercer
County	NP	County
and	CC	and
over	IN	over
100	CD	@card@
,	,	,
000	CD	@card@
voters	NNS	voter
in	IN	in
counties	NNS	county
across	IN	across
the	DT	the
country	NN	country
have	VBP	have
everything	NN	everything
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
become	VB	become
a	DT	a
voter	NN	voter
directly	RB	directly
from	IN	from
their	PP$	their
local	JJ	local
election	NN	election
official	NN	official
,	,	,
on	IN	on
a	DT	a
mobile-	NN	<unknown>
friendly	JJ	friendly
,	,	,
easy-to-use	NN	easy-to-use
,	,	,
accessible	JJ	accessible
website	NN	website
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
even	RB	even
further	RBR	further
scale	VB	scale
the	DT	the
impact	NN	impact
when	WRB	when
local	JJ	local
election	NN	election
officials	NNS	official
are	VBP	be
not	RB	not
only	RB	only
reaching	VBG	reach
out	RP	out
through	IN	through
their	PP$	their
own	JJ	own
channels	NNS	channel
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
extending	VBG	extend
their	PP$	their
reach	NN	reach
by	IN	by
working	VBG	work
in	IN	in
partnership	NN	partnership
with	IN	with
others	NNS	other
.	SENT	.
Efforts	NNS	effort
like	IN	like
the	DT	the
Ballot	NN	ballot
Information	NP	Information
Project	NP	Project
and	CC	and
the	DT	the
Voting	NP	Voting
Information	NP	Information
Project	NP	Project
work	NN	work
with	IN	with
election	NN	election
officials	NNS	official
nationwide	JJ	nationwide
to	TO	to
create	VB	create
a	DT	a
centralized	JJ	centralized
,	,	,
standard	JJ	standard
database	NN	database
of	IN	of
key	JJ	key
voting	NN	voting
information	NN	information
,	,	,
like	IN	like
what	WP	what
'	POS	'
s	NN	S
on	IN	on
your	PP$	your
ballot	NN	ballot
and	CC	and
where	WRB	where
to	TO	to
vote	VB	vote
.	SENT	.
That	DT	that
information	NN	information
powers	NNS	power
tools	NNS	tool
built	VBN	build
by	IN	by
companies	NNS	company
like	IN	like
Google	NP	<unknown>
and	CC	and
Facebook	NP	<unknown>
to	TO	to
get	VB	get
information	NN	information
in	IN	in
the	DT	the
places	NNS	place
where	WRB	where
people	NNS	people
already	RB	already
are	VBP	be
,	,	,
like	IN	like
their	PP$	their
newsfeed	NN	<unknown>
and	CC	and
search	NN	search
.	SENT	.
In	IN	in
2016	CD	@card@
,	,	,
the	DT	the
Ballot	NN	ballot
Information	NP	Information
Project	NP	Project
connected	VBD	connect
the	DT	the
public	NN	public
with	IN	with
information	NN	information
about	IN	about
candidates	NNS	candidate
and	CC	and
referenda	NNS	referendum
over	IN	over
200	CD	@card@
millions	NNS	million
times	NNS	time
,	,	,
helping	VBG	help
between	IN	between
a	DT	a
third	JJ	third
and	CC	and
a	DT	a
half	NN	half
of	IN	of
every	DT	every
single	JJ	single
person	NN	person
who	WP	who
cast	VBD	cast
a	DT	a
ballot	NN	ballot
.	SENT	.
And	CC	and
that	DT	that
model	NN	model
has	VBZ	have
been	VBN	be
replicated	VBN	replicate
for	IN	for
elections	NNS	election
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
When	WRB	when
we	PP	we
look	VBP	look
at	IN	at
efforts	NNS	effort
in	IN	in
other	JJ	other
areas	NNS	area
of	IN	of
government	NN	government
,	,	,
we	PP	we
can	MD	can
see	VB	see
the	DT	the
opportunity	NN	opportunity
when	WRB	when
we	PP	we
listen	VBP	listen
to	TO	to
the	DT	the
public	NN	public
'	POS	'
s	NN	S
needs	NNS	need
and	CC	and
we	PP	we
meet	VBP	meet
them	PP	them
with	IN	with
modern	JJ	modern
tools	NNS	tool
.	SENT	.
I	PP	I
think	VBP	think
about	IN	about
my	PP$	my
friends	NNS	friend
at	IN	at
mRelief	NN	<unknown>
,	,	,
who	WP	who
have	VBP	have
helped	VBN	help
260	CD	@card@
,	,	,
000	CD	@card@
families	NNS	family
unlock	VBP	unlock
42	CD	@card@
million	CD	million
dollars	NNS	dollar
in	IN	in
food	NN	food
benefits	NNS	benefit
by	IN	by
helping	VBG	help
government	NN	government
agencies	NNS	agency
transition	NN	transition
away	RB	away
from	IN	from
a	DT	a
20-page	JJ	<unknown>
,	,	,
paper-based	JJ	paper-based
application	NN	application
for	IN	for
food	NN	food
stamps	NNS	stamp
to	TO	to
a	DT	a
process	NN	process
that	WDT	that
can	MD	can
happen	VB	happen
in	IN	in
10	CD	@card@
questions	NNS	question
over	IN	over
text	NN	text
message	NN	message
in	IN	in
fewer	JJR	few
than	IN	than
three	CD	three
minutes	NNS	minute
.	SENT	.
That	DT	that
kind	NN	kind
of	IN	of
transformation	NN	transformation
is	VBZ	be
possible	JJ	possible
in	IN	in
voting	NN	voting
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
right	RB	right
now	RB	now
,	,	,
but	CC	but
there	EX	there
'	''	'
s	NNS	<unknown>
still	RB	still
so	RB	so
much	RB	much
work	VB	work
to	TO	to
do	VB	do
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
have	VBP	have
any	DT	any
technical	JJ	technical
bone	NN	bone
in	IN	in
your	PP$	your
body	NN	body
,	,	,
