Six	CD	six
six	CD	six
degrees	NNS	degree
of	IN	of
Kevin	NP	Kevin
Bacon	NP	Bacon
,	,	,
plus	NN	plus
or	CC	or
minus	JJ	minus
several	JJ	several
degrees	NNS	degree
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
boasting	VBG	boast
,	,	,
because	IN	because
all	DT	all
of	IN	of
you	PP	you
have	VBP	have
famous	JJ	famous
people	NNS	people
and	CC	and
historical	JJ	historical
figures	NNS	figure
in	IN	in
your	PP$	your
tree	NN	tree
,	,	,
because	IN	because
we	PP	we
are	VBP	be
all	RB	all
connected	VBN	connect
,	,	,
and	CC	and
75	CD	@card@
million	CD	million
may	MD	may
seem	VB	seem
like	IN	like
a	DT	a
lot	NN	lot
,	,	,
but	CC	but
in	IN	in
a	DT	a
few	JJ	few
years	NNS	year
,	,	,
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
likely	RB	likely
we	PP	we
will	MD	will
have	VB	have
a	DT	a
family	NN	family
tree	NN	tree
with	IN	with
all	DT	all
,	,	,
almost	RB	almost
all	RB	all
,	,	,
seven	CD	seven
billion	NN	billion
people	NNS	people
on	IN	on
Earth	NP	Earth
.	SENT	.
But	CC	but
does	VBZ	do
it	PP	it
really	RB	really
matter	VBP	matter
?	SENT	?
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
importance	NN	importance
?	SENT	?
And	CC	and
I	PP	I
do	VBP	do
think	VB	think
it	PP	it
is	VBZ	be
important	JJ	important
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
give	VBP	give
you	PP	you
five	CD	five
reasons	NNS	reason
why	WRB	why
,	,	,
really	RB	really
quickly	RB	quickly
.	SENT	.
First	RB	first
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
scientific	JJ	scientific
value	NN	value
.	SENT	.
This	DT	this
is	VBZ	be
an	DT	an
unprecedented	JJ	unprecedented
history	NN	history
of	IN	of
the	DT	the
human	JJ	human
race	NN	race
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
giving	VBG	give
us	PP	us
valuable	JJ	valuable
data	NNS	datum
about	RB	about
how	WRB	how
diseases	NNS	disease
are	VBP	be
inherited	VBN	inherit
,	,	,
how	WRB	how
people	NNS	people
migrate	VBP	migrate
,	,	,
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
team	NN	team
of	IN	of
scientists	NNS	scientist
at	IN	at
MIT	NP	MIT
right	RB	right
now	RB	now
studying	VBG	study
the	DT	the
world	NN	world
family	NN	family
tree	NN	tree
.	SENT	.
Number	NN	number
two	CD	two
,	,	,
it	PP	it
brings	VBZ	bring
history	NN	history
alive	JJ	alive
.	SENT	.
I	PP	I
found	VBD	find
out	RP	out
I	NP	I
'	POS	'
m	NN	m
connected	VBN	connect
to	TO	to
Albert	NP	Albert
Einstein	NP	Einstein
,	,	,
so	RB	so
I	PP	I
told	VBD	tell
my	PP$	my
seven-year-old	JJ	seven-year-old
son	NN	son
that	IN	that
,	,	,
and	CC	and
he	PP	he
was	VBD	be
totally	RB	totally
engaged	VBN	engage
.	SENT	.
Now	RB	now
Albert	NP	Albert
Einstein	NP	Einstein
is	VBZ	be
not	RB	not
some	DT	some
dead	JJ	dead
white	JJ	white
guy	NN	guy
with	IN	with
weird	JJ	weird
hair	NN	hair
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
Uncle	NP	Uncle
Albert	NP	Albert
.	SENT	.
And	CC	and
my	PP$	my
son	NN	son
wanted	VBD	want
to	TO	to
know	VB	know
,	,	,
"	``	"
What	WP	what
did	VBD	do
he	PP	he
say	VBP	say
?	SENT	?
What	WP	what
is	VBZ	be
E	NN	E
=	SYM	=
MC	NP	MC
squared	VBD	square
?	SENT	?
"	''	"
Also	RB	also
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
all	DT	all
good	JJ	good
news	NN	news
.	SENT	.
I	PP	I
found	VBD	find
a	DT	a
link	NN	link
to	TO	to
Jeffrey	NP	Jeffrey
Dahmer	NP	Dahmer
,	,	,
the	DT	the
serial	JJ	serial
killer	NN	killer
,	,	,
but	CC	but
I	PP	I
will	MD	will
say	VB	say
that	RB	that
'	''	'
s	NN	S
on	IN	on
my	PP$	my
wife	NN	wife
'	POS	'
s	NN	S
side	NN	side
.	SENT	.
So	RB	so
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
that	DT	that
clear	JJ	clear
.	SENT	.
Sorry	RB	sorry
,	,	,
honey	NN	honey
.	SENT	.
Number	NN	number
three	CD	three
,	,	,
interconnectedness	NN	interconnectedness
.	SENT	.
We	PP	we
all	RB	all
come	VBP	come
from	IN	from
the	DT	the
same	JJ	same
ancestor	NN	ancestor
,	,	,
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
believe	VB	believe
the	DT	the
literal	JJ	literal
Bible	NN	Bible
version	NN	version
,	,	,
but	CC	but
scientists	NNS	scientist
talk	VBP	talk
about	IN	about
Y	NP	Y
chromosomal	JJ	chromosomal
Adam	NP	Adam
and	CC	and
mitochondrial	JJ	mitochondrial
Eve	NP	Eve
,	,	,
and	CC	and
these	DT	these
were	VBD	be
about	RB	about
100	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
300	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
We	PP	we
all	RB	all
have	VBP	have
a	DT	a
bit	NN	bit
of	IN	of
their	PP$	their
DNA	NN	DNA
in	IN	in
us	PP	us
.	SENT	.
They	PP	they
are	VBP	be
our	PP$	our
great-great-	NN	<unknown>
great-great-great-great	NN	great-great-great-great
—	:	-
continue	VB	continue
that	IN	that
for	IN	for
about	RB	about
7	CD	@card@
,	,	,
000	CD	@card@
times	NNS	time
—	:	-
grandparents	NNS	grandparent
,	,	,
and	CC	and
so	RB	so
that	WDT	that
means	VBZ	mean
we	PP	we
literally	RB	literally
all	RB	all
are	VBP	be
biological	JJ	biological
cousins	NNS	cousin
as	IN	as
well	RB	well
,	,	,
and	CC	and
estimates	NNS	estimate
vary	VBP	vary
,	,	,
but	CC	but
probably	RB	probably
the	DT	the
farthest	JJ	farthest
cousin	NN	cousin
you	PP	you
have	VBP	have
on	IN	on
Earth	NP	Earth
is	VBZ	be
about	RB	about
a	DT	a
50th	JJ	50th
cousin	NN	cousin
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
ancestors	NNS	ancestor
we	PP	we
share	VBP	share
,	,	,
descendants	NNS	descendant
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
kids	NNS	kid
,	,	,
and	CC	and
they	PP	they
have	VBP	have
kids	NNS	kid
,	,	,
look	VBP	look
how	WRB	how
quickly	RB	quickly
the	DT	the
descendants	NNS	descendant
accumulate	VBP	accumulate
.	SENT	.
So	RB	so
in	IN	in
10	CD	@card@
,	,	,
12	CD	@card@
generations	NNS	generation
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
thousands	NNS	thousand
of	IN	of
offspring	NN	offspring
,	,	,
and	CC	and
millions	NNS	million
of	IN	of
offspring	NN	offspring
.	SENT	.
Number	NN	number
four	CD	four
,	,	,
a	DT	a
kinder	JJR	kind
world	NN	world
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
family	NN	family
feuds	NNS	feud
.	SENT	.
I	PP	I
have	VBP	have
three	CD	three
sons	NNS	son
,	,	,
so	RB	so
I	PP	I
see	VBP	see
how	WRB	how
they	PP	they
fight	VBP	fight
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
that	IN	that
there	EX	there
'	''	'
s	NNS	<unknown>
also	RB	also
a	DT	a
human	JJ	human
bias	NN	bias
to	TO	to
treat	VB	treat
your	PP$	your
family	NN	family
a	DT	a
little	RB	little
better	JJR	good
than	IN	than
strangers	NNS	stranger
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
tree	NN	tree
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
bad	JJ	bad
news	NN	news
for	IN	for
bigots	NNS	bigot
,	,	,
because	IN	because
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
realize	VB	realize
that	IN	that
they	PP	they
are	VBP	be
cousins	NNS	cousin
with	IN	with
thousands	NNS	thousand
of	IN	of
people	NNS	people
in	IN	in
whatever	WDT	whatever
ethnic	JJ	ethnic
group	NN	group
they	PP	they
happen	VBP	happen
to	TO	to
have	VB	have
issues	NNS	issue
with	IN	with
,	,	,
and	CC	and
I	PP	I
think	VBP	think
you	PP	you
look	VBP	look
back	RB	back
at	IN	at
history	NN	history
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
terrible	JJ	terrible
things	NNS	thing
we	PP	we
'	POS	'
ve	NNS	<unknown>
done	VBN	do
to	TO	to
each	DT	each
other	JJ	other
is	VBZ	be
because	IN	because
one	CD	one
group	NN	group
thinks	VBZ	think
another	DT	another
group	NN	group
is	VBZ	be
sub-human	NN	sub-human
,	,	,
and	CC	and
you	PP	you
can	MD	can
'	''	'
t	NN	t
do	VBP	do
that	IN	that
anymore	RB	anymore
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
just	RB	just
part	NN	part
of	IN	of
the	DT	the
same	JJ	same
species	NN	species
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
part	NN	part
of	IN	of
the	DT	the
same	JJ	same
family	NN	family
.	SENT	.
We	PP	we
share	VBP	share
99	CD	@card@
.	SENT	.
9	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
DNA	NN	DNA
.	SENT	.
Now	RB	now
the	DT	the
final	JJ	final
one	CD	one
is	VBZ	be
number	NN	number
five	CD	five
,	,	,
a	DT	a
democratizing	VBG	democratize
effect	NN	effect
.	SENT	.
Some	DT	some
genealogy	NN	genealogy
has	VBZ	have
an	DT	an
elitist	NN	elitist
strain	NN	strain
,	,	,
like	IN	like
people	NNS	people
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
I	PP	I
'	POS	'
m	NN	m
descended	VBD	descend
from	IN	from
Mary	NP	Mary
Queen	NP	Queen
of	IN	of
Scots	NNS	Scot
and	CC	and
you	PP	you
'	POS	'
re	NN	re
not	RB	not
,	,	,
so	RB	so
you	PP	you
cannot	MD	can
join	VB	join
my	PP$	my
country	NN	country
club	NN	club
.	SENT	.
"	''	"
But	CC	but
that	IN	that
'	POS	'
s	NN	S
really	RB	really
going	VBG	go
to	TO	to
be	VB	be
hard	JJ	hard
to	TO	to
do	VB	do
now	RB	now
,	,	,
because	IN	because
everyone	NN	everyone
is	VBZ	be
related	VBN	relate
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
descended	VBD	descend
from	IN	from
Mary	NP	Mary
Queen	NP	Queen
of	IN	of
Scots	NNS	Scot
—	:	-
by	IN	by
marriage	NN	marriage
,	,	,
but	CC	but
still	RB	still
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
really	RB	really
a	DT	a
fascinating	JJ	fascinating
time	NN	time
in	IN	in
the	DT	the
history	NN	history
of	IN	of
family	NN	family
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
changing	VBG	change
so	RB	so
fast	RB	fast
.	SENT	.
There	EX	there
is	VBZ	be
gay	JJ	gay
marriage	NN	marriage
and	CC	and
sperm	NN	sperm
donors	NNS	donor
and	CC	and
there	RB	there
'	POS	'
s	JJ	<unknown>
intermarriage	NN	intermarriage
on	IN	on
an	DT	an
unprecedented	JJ	unprecedented
scale	NN	scale
,	,	,
and	CC	and
this	DT	this
makes	VBZ	make
some	DT	some
of	IN	of
my	PP$	my
more	JJR	more
conservative	JJ	conservative
cousins	NNS	cousin
a	DT	a
little	RB	little
nervous	JJ	nervous
,	,	,
but	CC	but
I	PP	I
actually	RB	actually
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
more	RBR	more
inclusive	JJ	inclusive
the	DT	the
idea	NN	idea
of	IN	of
family	NN	family
is	VBZ	be
,	,	,
the	DT	the
better	JJR	good
,	,	,
because	IN	because
then	RB	then
you	PP	you
have	VBP	have
more	JJR	more
potential	JJ	potential
caretakers	NNS	caretaker
,	,	,
and	CC	and
as	IN	as
my	PP$	my
aunt	NN	aunt
'	POS	'
s	JJ	<unknown>
eighth	JJ	eighth
cousin	NN	cousin
twice	RB	twice
removed	VBD	remove
Hillary	NP	Hillary
Clinton	NP	Clinton
says	VBZ	say
—	:	-
—	:	-
it	PP	it
takes	VBZ	take
a	DT	a
village	NN	village
.	SENT	.
So	RB	so
I	PP	I
have	VBP	have
all	PDT	all
these	DT	these
hundreds	NNS	hundred
and	CC	and
thousands	NNS	thousand
,	,	,
millions	NNS	million
of	IN	of
new	JJ	new
cousins	NNS	cousin
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
what	WP	what
can	MD	can
I	PP	I
do	VB	do
with	IN	with
this	DT	this
information	NN	information
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
when	WRB	when
I	PP	I
decided	VBD	decide
,	,	,
why	WRB	why
not	RB	not
throw	VB	throw
a	DT	a
party	NN	party
?	SENT	?
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
doing	VBG	do
.	SENT	.
And	CC	and
you	PP	you
'	POS	'
re	NN	re
all	RB	all
invited	VBN	invite
.	SENT	.
Next	JJ	next
year	NN	year
,	,	,
next	JJ	next
summer	NN	summer
,	,	,
I	PP	I
will	MD	will
be	VB	be
hosting	VBG	host
what	WP	what
I	PP	I
hope	VBP	hope
is	VBZ	be
the	DT	the
biggest	JJS	big
and	CC	and
best	JJS	good
family	NN	family
reunion	NN	reunion
in	IN	in
history	NN	history
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
there	RB	there
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
there	RB	there
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
at	IN	at
the	DT	the
New	NP	New
York	NP	York
Hall	NP	Hall
of	IN	of
Science	NP	Science
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
great	JJ	great
venue	NN	venue
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
on	IN	on
the	DT	the
site	NN	site
of	IN	of
the	DT	the
former	JJ	former
World	NP	World
'	POS	'
s	NN	S
Fair	NN	fair
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
I	PP	I
think	VBP	think
,	,	,
very	RB	very
appropriate	JJ	appropriate
,	,	,
because	IN	because
I	PP	I
see	VBP	see
this	DT	this
as	IN	as
a	DT	a
family	NN	family
reunion	NN	reunion
meets	VBZ	meet
a	DT	a
world	NN	world
'	POS	'
s	NN	S
fair	NN	fair
.	SENT	.
There	EX	there
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
exhibits	NNS	exhibit
and	CC	and
food	NN	food
,	,	,
music	NN	music
.	SENT	.
Paul	NP	Paul
McCartney	NP	McCartney
is	VBZ	be
11	CD	@card@
steps	NNS	step
away	RB	away
,	,	,
so	IN	so
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
he	PP	he
brings	VBZ	bring
his	PP$	his
guitar	NN	guitar
.	SENT	.
He	PP	he
hasn	NP	<unknown>
'	POS	'
t	NN	t
RSVP	NP	<unknown>
'	POS	'
d	NN	d
yet	RB	yet
,	,	,
but	CC	but
fingers	NNS	finger
crossed	VBD	cross
.	SENT	.
And	CC	and
there	EX	there
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
day	NN	day
of	IN	of
speakers	NNS	speaker
,	,	,
of	IN	of
fascinating	JJ	fascinating
cousins	NNS	cousin
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
early	RB	early
,	,	,
but	CC	but
I	PP	I
'	POS	'
ve	NN	ve
already	RB	already
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
some	DT	some
lined	VBN	line
up	RP	up
.	SENT	.
Cass	NP	Cass
Sunstein	NP	Sunstein
,	,	,
my	PP$	my
cousin	NN	cousin
who	WP	who
is	VBZ	be
perhaps	RB	perhaps
the	DT	the
most	RBS	most
brilliant	JJ	brilliant
legal	JJ	legal
scholar	NN	scholar
,	,	,
will	MD	will
be	VB	be
talking	VBG	talk
.	SENT	.
He	PP	he
was	VBD	be
a	DT	a
former	JJ	former
member	NN	member
of	IN	of
the	DT	the
Obama	NP	<unknown>
administration	NN	administration
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
political	JJ	political
spectrum	NN	spectrum
,	,	,
George	NP	George
H	NP	H
.	SENT	.
W	NP	W
.	SENT	.
Bush	NP	Bush
,	,	,
number	NN	number
41	CD	@card@
,	,	,
the	DT	the
father	NN	father
,	,	,
he	PP	he
has	VBZ	have
agreed	VBN	agree
to	TO	to
participate	VB	participate
,	,	,
and	CC	and
Nick	NP	Nick
Kroll	NP	Kroll
,	,	,
the	DT	the
comedian	NN	comedian
,	,	,
and	CC	and
Dr	NP	Dr
.	SENT	.
Oz	NP	Oz
,	,	,
and	CC	and
many	JJ	many
more	JJR	more
to	TO	to
come	VB	come
.	SENT	.
And	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
most	RBS	most
important	JJ	important
is	VBZ	be
that	IN	that
you	PP	you
,	,	,
I	PP	I
want	VBP	want
you	PP	you
guys	NNS	guy
there	RB	there
,	,	,
and	CC	and
I	PP	I
invite	VBP	invite
you	PP	you
to	TO	to
go	VB	go
to	TO	to
GlobalFamilyReunion	NP	GlobalFamilyReunion
.	SENT	.
org	NP	org
and	CC	and
figure	VB	figure
out	RP	out
how	WRB	how
you	PP	you
'	POS	'
re	NN	re
on	IN	on
the	DT	the
family	NN	family
tree	NN	tree
,	,	,
because	IN	because
these	DT	these
are	VBP	be
big	JJ	big
issues	NNS	issue
,	,	,
family	NN	family
and	CC	and
tribe	NN	tribe
,	,	,
and	CC	and
