Roy	NP	Roy
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
changing	NN	changing
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
just	RB	just
briefly	RB	briefly
mention	VB	mention
three	CD	three
reasons	NNS	reason
why	WRB	why
my	PP$	my
colleagues	NNS	colleague
and	CC	and
I	PP	I
,	,	,
in	IN	in
astronomy	NN	astronomy
and	CC	and
in	IN	in
education	NN	education
,	,	,
are	VBP	be
so	RB	so
excited	VBN	excite
about	IN	about
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
and	CC	and
why	WRB	why
we	PP	we
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
truly	RB	truly
transformative	JJ	transformative
.	SENT	.
First	RB	first
,	,	,
it	PP	it
enables	VBZ	enable
you	PP	you
to	TO	to
experience	VB	experience
the	DT	the
universe	NN	universe
:	:	:
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
,	,	,
for	IN	for
me	PP	me
,	,	,
is	VBZ	be
a	DT	a
kind	NN	kind
of	IN	of
magic	JJ	magic
carpet	NN	carpet
that	WDT	that
lets	VBZ	let
you	PP	you
navigate	VB	navigate
through	IN	through
the	DT	the
universe	NN	universe
where	WRB	where
you	PP	you
want	VBP	want
to	TO	to
go	VB	go
.	SENT	.
Second	NN	second
:	:	:
you	PP	you
can	MD	can
tour	VB	tour
the	DT	the
universe	NN	universe
with	IN	with
astronomers	NNS	astronomer
as	IN	as
your	PP$	your
guides	NNS	guide
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
talking	VBG	talk
here	RB	here
about	RB	about
just	RB	just
experts	NNS	expert
who	WP	who
are	VBP	be
telling	VBG	tell
you	PP	you
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
,	,	,
but	CC	but
really	RB	really
people	NNS	people
who	WP	who
are	VBP	be
passionate	JJ	passionate
about	IN	about
the	DT	the
various	JJ	various
nooks	NNS	nook
and	CC	and
crannies	NNS	cranny
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
who	WP	who
can	MD	can
share	VB	share
their	PP$	their
enthusiasm	NN	enthusiasm
and	CC	and
can	MD	can
make	VB	make
the	DT	the
universe	NN	universe
a	DT	a
welcoming	VBG	welcome
place	NN	place
.	SENT	.
And	CC	and
third	JJ	third
,	,	,
you	PP	you
can	MD	can
create	VB	create
your	PP$	your
own	JJ	own
tours	NNS	tour
—	:	-
you	PP	you
can	MD	can
share	VB	share
them	PP	them
with	IN	with
friends	NNS	friend
,	,	,
you	PP	you
can	MD	can
create	VB	create
them	PP	them
with	IN	with
friends	NNS	friend
—	:	-
and	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
part	NN	part
that	IN	that
I	PP	I
think	VBP	think
I	PP	I
'	''	'
m	NN	m
most	RBS	most
excited	VBN	excite
about	RB	about
because	IN	because
I	PP	I
think	VBP	think
that	IN	that
at	IN	at
heart	NN	heart
,	,	,
we	PP	we
are	VBP	be
all	DT	all
storytellers	NNS	storyteller
.	SENT	.
And	CC	and
in	IN	in
telling	VBG	tell
stories	NNS	story
,	,	,
each	DT	each
of	IN	of
us	PP	us
is	VBZ	be
going	VBG	go
to	TO	to
understand	VB	understand
the	DT	the
universe	NN	universe
in	IN	in
our	PP$	our
own	JJ	own
way	NN	way
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
personal	JJ	personal
universe	NN	universe
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
going	VBG	go
to	TO	to
see	VB	see
a	DT	a
community	NN	community
of	IN	of
storytellers	NNS	storyteller
evolve	VBP	evolve
and	CC	and
emerge	VBP	emerge
.	SENT	.
Before	IN	before
I	PP	I
introduce	VB	introduce
the	DT	the
person	NN	person
responsible	JJ	responsible
for	IN	for
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
,	,	,
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
leave	VB	leave
you	PP	you
with	IN	with
this	DT	this
brief	JJ	brief
thought	NN	thought
:	:	:
when	WRB	when
I	PP	I
ask	VBP	ask
people	NNS	people
,	,	,
"	``	"
How	WRB	how
does	VBZ	do
the	DT	the
night	NN	night
sky	NN	sky
make	VBP	make
you	PP	you
feel	VBP	feel
?	SENT	?
"	``	"
they	PP	they
often	RB	often
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
,	,	,
tiny	JJ	tiny
.	SENT	.
I	PP	I
feel	VBP	feel
tiny	JJ	tiny
and	CC	and
insignificant	JJ	insignificant
.	SENT	.
"	''	"
Well	RB	well
,	,	,
our	PP$	our
gaze	NN	gaze
fills	VBZ	fill
the	DT	the
universe	NN	universe
.	SENT	.
And	CC	and
thanks	NNS	thanks
to	TO	to
the	DT	the
creators	NNS	creator
of	IN	of
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
,	,	,
we	PP	we
can	MD	can
now	RB	now
start	VB	start
to	TO	to
have	VB	have
a	DT	a
dialogue	NN	dialogue
with	IN	with
the	DT	the
universe	NN	universe
.	SENT	.
I	PP	I
think	VBP	think
the	DT	the
WorldWide	JJ	worldwide
Telescope	NN	telescope
will	MD	will
convince	VB	convince
you	PP	you
that	IN	that
we	PP	we
may	MD	may
be	VB	be
tiny	JJ	tiny
,	,	,
but	CC	but
we	PP	we
are	VBP	be
truly	RB	truly
,	,	,
wonderfully	RB	wonderfully
significant	JJ	significant
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
tell	VB	tell
you	PP	you
what	WP	what
a	DT	a
privilege	NN	privilege
it	PP	it
is	VBZ	be
to	TO	to
introduce	VB	introduce
Curtis	NP	Curtis
Wong	NP	Wong
from	IN	from
Microsoft	NP	Microsoft
.	SENT	.
Curtis	NP	Curtis
Wong	NP	Wong
:	:	:
Thank	VB	thank
you	PP	you
,	,	,
Roy	NP	Roy
.	SENT	.
So	RB	so
,	,	,
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
is	VBZ	be
a	DT	a
wonderful	JJ	wonderful
presentation	NN	presentation
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
one	CD	one
of	IN	of
the	DT	the
tours	NNS	tour
.	SENT	.
And	CC	and
actually	RB	actually
this	DT	this
tour	NN	tour
is	VBZ	be
one	CD	one
that	WDT	that
was	VBD	be
created	VBN	create
earlier	RBR	earlier
.	SENT	.
And	CC	and
the	DT	the
tours	NNS	tour
are	VBP	be
all	RB	all
totally	RB	totally
interactive	JJ	interactive
,	,	,
so	RB	so
that	IN	that
if	IN	if
I	PP	I
were	VBD	be
to	TO	to
go	VB	go
somewhere	RB	somewhere
.	SENT	.
.	SENT	.
.	SENT	.
you	PP	you
may	MD	may
be	VB	be
watching	VBG	watch
a	DT	a
tour	NN	tour
and	CC	and
you	PP	you
can	MD	can
pause	VB	pause
anywhere	RB	anywhere
along	IN	along
the	DT	the
way	NN	way
,	,	,
pull	VB	pull
up	RP	up
other	JJ	other
information	NN	information
—	:	-
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
Web	NP	Web
and	CC	and
information	NN	information
sources	NNS	source
about	IN	about
places	NNS	place
you	PP	you
might	MD	might
want	VB	want
to	TO	to
go	VB	go
—	:	-
you	PP	you
can	MD	can
zoom	VB	zoom
in	IN	in
,	,	,
you	PP	you
can	MD	can
pull	VB	pull
back	RB	back
out	RP	out
.	SENT	.
The	DT	the
whole	JJ	whole
resources	NNS	resource
are	VBP	be
there	RB	there
available	JJ	available
for	IN	for
you	PP	you
.	SENT	.
So	RB	so
,	,	,
Microsoft	NP	Microsoft
—	:	-
this	DT	this
is	VBZ	be
a	DT	a
project	NN	project
that	WDT	that
—	:	-
WorldWide	JJ	worldwide
Telescope	NN	telescope
is	VBZ	be
dedicated	VBN	dedicate
to	TO	to
Jim	NP	Jim
Gray	NP	Gray
,	,	,
who	WP	who
'	''	'
s	VBG	<unknown>
our	PP$	our
colleague	NN	colleague
,	,	,
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
his	PP$	his
work	NN	work
that	IN	that
he	PP	he
did	VBD	do
is	VBZ	be
really	RB	really
what	WP	what
makes	VBZ	make
this	DT	this
project	NN	project
possible	JJ	possible
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
labor	NN	labor
of	IN	of
love	NN	love
for	IN	for
us	PP	us
and	CC	and
our	PP$	our
small	JJ	small
team	NN	team
,	,	,
and	CC	and
we	PP	we
really	RB	really
hope	VBP	hope
it	PP	it
will	MD	will
inspire	VB	inspire
kids	NNS	kid
to	TO	to
explore	VB	explore
and	CC	and
learn	VB	learn
about	IN	about
the	DT	the
universe	NN	universe
.	SENT	.
So	RB	so
basically	RB	basically
,	,	,
kids	NNS	kid
of	IN	of
all	DT	all
ages	NNS	age
,	,	,
like	IN	like
us	PP	us
.	SENT	.
And	CC	and
so	RB	so
WorldWide	JJ	worldwide
Telescope	NN	telescope
will	MD	will
be	VB	be
available	JJ	available
this	DT	this
spring	NN	spring
.	SENT	.
It	PP	it
'	''	'
ll	NN	ll
be	VB	be
a	DT	a
free	JJ	free
download	NN	<unknown>
—	:	-
thank	VB	thank
you	PP	you
,	,	,
Craig	NP	Craig
Mundie	NP	Mundie
—	:	-
and	CC	and
it	PP	it
'	POS	'
ll	NNS	<unknown>
be	VB	be
available	JJ	available
at	IN	at
the	DT	the
website	NN	website
WorldWideTelescope	NN	WorldWideTelescope
.	SENT	.
org	NP	org
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
new	JJ	new
.	SENT	.
And	CC	and
so	RB	so
,	,	,
what	WP	what
you	PP	you
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
today	NN	today
is	VBZ	be
less	JJR	less
than	IN	than
a	DT	a
fraction	NN	fraction
of	IN	of
one	CD	one
percent	NN	percent
of	IN	of
what	WP	what
is	VBZ	be
in	IN	in
here	RB	here
,	,	,
and	CC	and
in	IN	in
the	DT	the
TED	VBP	ted
Lab	NP	Lab
,	,	,
we	PP	we
have	VBP	have
a	DT	a
tour	NN	tour
that	WDT	that
was	VBD	be
created	VBN	create
by	IN	by
a	DT	a
six-year-old	JJ	six-year-old
named	VBN	name
Benjamin	NP	Benjamin
that	WDT	that
will	MD	will
knock	VB	knock
your	PP$	your
socks	NNS	sock
off	RP	off
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
you	PP	you
there	RB	there
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
