Chris	NP	Chris
be	VB	be
married	VBN	marry
.	SENT	.
We	PP	we
married	VBD	marry
a	DT	a
few	JJ	few
months	NNS	month
later	RBR	later
,	,	,
and	CC	and
this	DT	this
was	VBD	be
the	DT	the
trip	NN	trip
where	WRB	where
we	PP	we
really	RB	really
went	VBD	go
to	TO	to
see	VB	see
the	DT	the
animals	NNS	animal
and	CC	and
to	TO	to
see	VB	see
the	DT	the
savanna	NN	savanna
.	SENT	.
It	PP	it
was	VBD	be
incredible	JJ	incredible
.	SENT	.
Bill	NP	Bill
had	VBD	have
never	RB	never
taken	VBN	take
that	IN	that
much	JJ	much
time	NN	time
off	RP	off
from	IN	from
work	NN	work
.	SENT	.
But	CC	but
what	WP	what
really	RB	really
touched	VBD	touch
us	PP	us
,	,	,
actually	RB	actually
,	,	,
were	VBD	be
the	DT	the
people	NNS	people
,	,	,
and	CC	and
the	DT	the
extreme	JJ	extreme
poverty	NN	poverty
.	SENT	.
We	PP	we
started	VBD	start
asking	VBG	ask
ourselves	PP	ourselves
questions	NNS	question
.	SENT	.
Does	VBZ	do
it	PP	it
have	VB	have
to	TO	to
be	VB	be
like	IN	like
this	DT	this
?	SENT	?
And	CC	and
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
trip	NN	trip
,	,	,
we	PP	we
went	VBD	go
out	RP	out
to	TO	to
Zanzibar	NP	Zanzibar
,	,	,
and	CC	and
took	VBD	take
some	DT	some
time	NN	time
to	TO	to
walk	VB	walk
on	IN	on
the	DT	the
beach	NN	beach
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
we	PP	we
had	VBD	have
done	VBN	do
a	DT	a
lot	NN	lot
while	IN	while
we	PP	we
were	VBD	be
dating	VBG	date
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
d	NN	d
already	RB	already
been	VBN	be
talking	VBG	talk
about	RB	about
during	IN	during
that	DT	that
time	NN	time
that	IN	that
the	DT	the
wealth	NN	wealth
that	WDT	that
had	VBD	have
come	VBN	come
from	IN	from
Microsoft	NP	Microsoft
would	MD	would
be	VB	be
given	VBN	give
back	RB	back
to	TO	to
society	NN	society
,	,	,
but	CC	but
it	PP	it
was	VBD	be
really	RB	really
on	IN	on
that	DT	that
beach	NN	beach
walk	VBP	walk
that	IN	that
we	PP	we
started	VBD	start
to	TO	to
talk	VB	talk
about	RB	about
,	,	,
well	RB	well
,	,	,
what	WP	what
might	MD	might
we	PP	we
do	VB	do
and	CC	and
how	WRB	how
might	MD	might
we	PP	we
go	VB	go
about	IN	about
it	PP	it
?	SENT	?
CA	MD	ca
:	:	:
So	RB	so
,	,	,
given	VBN	give
that	IN	that
this	DT	this
vacation	NN	vacation
led	VBD	lead
to	TO	to
the	DT	the
creation	NN	creation
of	IN	of
the	DT	the
world	NN	world
'	POS	'
s	JJ	<unknown>
biggest	JJS	big
private	JJ	private
foundation	NN	foundation
,	,	,
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
expensive	JJ	expensive
as	IN	as
vacations	NNS	vacation
go	VBP	go
.	SENT	.
MG	NN	mg
:	:	:
I	PP	I
guess	VBP	guess
so	RB	so
.	SENT	.
We	PP	we
enjoyed	VBD	enjoy
it	PP	it
.	SENT	.
CA	MD	ca
:	:	:
Which	WDT	which
of	IN	of
you	PP	you
was	VBD	be
the	DT	the
key	JJ	key
instigator	NN	instigator
here	RB	here
,	,	,
or	CC	or
was	VBD	be
it	PP	it
symmetrical	JJ	symmetrical
?	SENT	?
Bill	NP	Bill
Gates	NP	Gates
:	:	:
Well	UH	well
,	,	,
I	PP	I
think	VBP	think
we	PP	we
were	VBD	be
excited	VBN	excite
that	IN	that
there	EX	there
'	''	'
d	SYM	d
be	VB	be
a	DT	a
phase	NN	phase
of	IN	of
our	PP$	our
life	NN	life
where	WRB	where
we	PP	we
'	POS	'
d	NN	d
get	VBP	get
to	TO	to
work	VB	work
together	RB	together
and	CC	and
figure	VB	figure
out	RP	out
how	WRB	how
to	TO	to
give	VB	give
this	DT	this
money	NN	money
back	RB	back
.	SENT	.
At	IN	at
this	DT	this
stage	NN	stage
,	,	,
we	PP	we
were	VBD	be
talking	VBG	talk
about	IN	about
the	DT	the
poorest	JJS	poor
,	,	,
and	CC	and
could	MD	could
you	PP	you
have	VB	have
a	DT	a
big	JJ	big
impact	NN	impact
on	IN	on
them	PP	them
?	SENT	?
Were	VBD	be
there	RB	there
things	NNS	thing
that	IN	that
weren	NNS	<unknown>
'	POS	'
t	NN	t
being	VBG	be
done	VBN	do
?	SENT	?
There	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
Our	PP$	our
na��vet��	NN	<unknown>
is	VBZ	be
pretty	RB	pretty
incredible	JJ	incredible
,	,	,
when	WRB	when
we	PP	we
look	VBP	look
back	RB	back
on	IN	on
it	PP	it
.	SENT	.
But	CC	but
we	PP	we
had	VBD	have
a	DT	a
certain	JJ	certain
enthusiasm	NN	enthusiasm
that	IN	that
that	WDT	that
would	MD	would
be	VB	be
the	DT	the
phase	NN	phase
,	,	,
the	DT	the
post-Microsoft	NP	post-Microsoft
phase	NN	phase
would	MD	would
be	VB	be
our	PP$	our
philanthropy	NN	philanthropy
.	SENT	.
MG	NN	mg
:	:	:
Which	WDT	which
Bill	NP	Bill
always	RB	always
thought	VBD	think
was	VBD	be
going	VBG	go
to	TO	to
come	VB	come
after	IN	after
he	PP	he
was	VBD	be
60	CD	@card@
,	,	,
so	IN	so
he	PP	he
hasn	NN	<unknown>
'	POS	'
t	NN	t
quite	RB	quite
hit	VBD	hit
60	CD	@card@
yet	RB	yet
,	,	,
so	RB	so
some	DT	some
things	NNS	thing
change	NN	change
along	IN	along
the	DT	the
way	NN	way
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
it	PP	it
started	VBD	start
there	RB	there
,	,	,
but	CC	but
it	PP	it
got	VBD	get
accelerated	VBN	accelerate
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
'	POS	'
93	CD	@card@
,	,	,
and	CC	and
it	PP	it
was	VBD	be
'	POS	'
97	CD	@card@
,	,	,
really	RB	really
,	,	,
before	IN	before
the	DT	the
foundation	NN	foundation
itself	PP	itself
started	VBD	start
.	SENT	.
MA	NN	ma
:	:	:
Yeah	RB	yeah
,	,	,
in	RP	in
'	POS	'
97	CD	@card@
,	,	,
we	PP	we
read	VBP	read
an	DT	an
article	NN	article
about	IN	about
diarrheal	JJ	<unknown>
diseases	NNS	disease
killing	VBG	kill
so	IN	so
many	JJ	many
kids	NNS	kid
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
we	PP	we
kept	VBD	keep
saying	VBG	say
to	TO	to
ourselves	PP	ourselves
,	,	,
"	``	"
Well	UH	well
that	WDT	that
can	MD	can
'	''	'
t	NN	t
be	VB	be
.	SENT	.
In	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
you	PP	you
just	RB	just
go	VBP	go
down	RP	down
to	TO	to
the	DT	the
drug	NN	drug
store	NN	store
.	SENT	.
"	''	"
And	CC	and
so	RB	so
we	PP	we
started	VBD	start
gathering	VBG	gather
scientists	NNS	scientist
and	CC	and
started	VBD	start
learning	VBG	learn
about	IN	about
population	NN	population
,	,	,
learning	VBG	learn
about	IN	about
vaccines	NNS	vaccine
,	,	,
learning	VBG	learn
about	IN	about
what	WP	what
had	VBD	have
worked	VBN	work
and	CC	and
what	WP	what
had	VBD	have
failed	VBN	fail
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NNS	<unknown>
really	RB	really
when	WRB	when
we	PP	we
got	VBD	get
going	VBG	go
,	,	,
was	VBD	be
in	IN	in
late	JJ	late
1998	CD	@card@
,	,	,
1999	CD	@card@
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
a	DT	a
big	JJ	big
pot	NN	pot
of	IN	of
money	NN	money
and	CC	and
a	DT	a
world	NN	world
full	JJ	full
of	IN	of
so	RB	so
many	JJ	many
different	JJ	different
issues	NNS	issue
.	SENT	.
How	WRB	how
on	IN	on
Earth	NP	Earth
do	VBP	do
you	PP	you
decide	VBP	decide
what	WP	what
to	TO	to
focus	VB	focus
on	RP	on
?	SENT	?
BG	NP	BG
:	:	:
Well	UH	well
,	,	,
we	PP	we
decided	VBD	decide
that	IN	that
we	PP	we
'	POS	'
d	NN	d
pick	NN	pick
two	CD	two
causes	NNS	cause
,	,	,
whatever	WDT	whatever
the	DT	the
biggest	JJS	big
inequity	NN	inequity
was	VBD	be
globally	RB	globally
,	,	,
and	CC	and
there	RB	there
we	PP	we
looked	VBD	look
at	IN	at
children	NNS	child
dying	VBG	die
,	,	,
children	NNS	child
not	RB	not
having	VBG	have
enough	JJ	enough
nutrition	NN	nutrition
to	TO	to
ever	RB	ever
develop	VB	develop
,	,	,
and	CC	and
countries	NNS	country
that	WDT	that
were	VBD	be
really	RB	really
stuck	VBN	stick
,	,	,
because	IN	because
with	IN	with
that	DT	that
level	NN	level
of	IN	of
death	NN	death
,	,	,
and	CC	and
parents	NNS	parent
would	MD	would
have	VB	have
so	RB	so
many	JJ	many
kids	NNS	kid
that	IN	that
they	PP	they
'	POS	'
d	NN	d
get	VB	get
huge	JJ	huge
population	NN	population
growth	NN	growth
,	,	,
and	CC	and
that	IN	that
the	DT	the
kids	NNS	kid
were	VBD	be
so	RB	so
sick	JJ	sick
that	IN	that
they	PP	they
really	RB	really
couldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
educated	VBN	educate
and	CC	and
lift	VB	lift
themselves	PP	themselves
up	RP	up
.	SENT	.
So	RB	so
that	DT	that
was	VBD	be
our	PP$	our
global	JJ	global
thing	NN	thing
,	,	,
and	CC	and
then	RB	then
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
both	CC	both
of	IN	of
us	PP	us
have	VBP	have
had	VBD	have
amazing	JJ	amazing
educations	NNS	education
,	,	,
and	CC	and
we	PP	we
saw	VBD	see
that	IN	that
as	IN	as
the	DT	the
way	NN	way
that	IN	that
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
could	MD	could
live	VB	live
up	RP	up
to	TO	to
its	PP$	its
promise	NN	promise
of	IN	of
equal	JJ	equal
opportunity	NN	opportunity
is	VBZ	be
by	IN	by
having	VBG	have
a	DT	a
phenomenal	JJ	phenomenal
education	NN	education
system	NN	system
,	,	,
and	CC	and
the	DT	the
more	JJR	more
we	PP	we
learned	VBD	learn
,	,	,
the	DT	the
more	RBR	more
we	PP	we
realized	VBD	realize
we	PP	we
'	''	'
re	IN	re
not	RB	not
really	RB	really
fulfilling	VBG	fulfill
that	DT	that
promise	NN	promise
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
picked	VBD	pick
those	DT	those
two	CD	two
things	NNS	thing
,	,	,
and	CC	and
everything	NN	everything
the	DT	the
foundation	NN	foundation
does	VBZ	do
is	VBZ	be
focused	VBN	focus
there	RB	there
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
,	,	,
I	PP	I
asked	VBD	ask
each	DT	each
of	IN	of
you	PP	you
to	TO	to
pick	VB	pick
an	DT	an
image	NN	image
that	IN	that
you	PP	you
like	VBP	like
that	WDT	that
illustrates	VBZ	illustrate
your	PP$	your
work	NN	work
,	,	,
and	CC	and
Melinda	NP	Melinda
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
picked	VBD	pick
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
this	DT	this
about	RB	about
?	SENT	?
MG	NN	mg
:	:	:
So	RB	so
I	PP	I
,	,	,
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
love	VBP	love
to	TO	to
do	VB	do
when	WRB	when
I	PP	I
travel	VBP	travel
is	VBZ	be
to	TO	to
go	VB	go
out	RP	out
to	TO	to
the	DT	the
rural	JJ	rural
areas	NNS	area
and	CC	and
talk	VB	talk
to	TO	to
the	DT	the
women	NNS	woman
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	JJ	<unknown>
Bangladesh	NP	Bangladesh
,	,	,
India	NP	India
,	,	,
lots	NNS	lot
of	IN	of
countries	NNS	country
in	IN	in
Africa	NP	Africa
,	,	,
and	CC	and
I	PP	I
go	VBP	go
in	IN	in
as	IN	as
a	DT	a
Western	JJ	Western
woman	NN	woman
without	IN	without
a	DT	a
name	NN	name
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
tell	VB	tell
them	PP	them
who	WP	who
I	PP	I
am	VBP	be
.	SENT	.
Pair	NN	pair
of	IN	of
khakis	NNS	khaki
.	SENT	.
And	CC	and
I	PP	I
kept	VBD	keep
hearing	NN	hearing
from	IN	from
women	NNS	woman
,	,	,
over	IN	over
and	CC	and
over	IN	over
and	CC	and
over	IN	over
,	,	,
the	DT	the
more	RBR	more
I	PP	I
traveled	VBD	travel
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
use	VB	use
this	DT	this
shot	NN	shot
.	SENT	.
"	``	"
I	PP	I
would	MD	would
be	VB	be
there	RB	there
to	TO	to
talk	VB	talk
to	TO	to
them	PP	them
about	IN	about
childhood	NN	childhood
vaccines	NNS	vaccine
,	,	,
and	CC	and
they	PP	they
would	MD	would
bring	VB	bring
the	DT	the
conversation	NN	conversation
around	RB	around
to	TO	to
"	''	"
But	CC	but
what	WP	what
about	IN	about
the	DT	the
shot	NN	shot
I	PP	I
get	VBP	get
?	SENT	?
"	''	"
which	WDT	which
is	VBZ	be
an	DT	an
injection	NN	injection
they	PP	they
were	VBD	be
getting	VBG	get
called	VBN	call
Depo-Provera	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
contraceptive	NN	contraceptive
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
come	VB	come
back	RB	back
and	CC	and
talk	VB	talk
to	TO	to
global	JJ	global
health	NN	health
experts	NNS	expert
,	,	,
and	CC	and
they	PP	they
'	POS	'
d	NN	d
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
no	UH	no
,	,	,
contraceptives	NNS	contraceptive
are	VBP	be
stocked	VBN	stock
in	IN	in
in	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
.	SENT	.
"	''	"
Well	RB	well
,	,	,
you	PP	you
had	VBD	have
to	TO	to
dig	VB	dig
deeper	JJR	deep
into	IN	into
the	DT	the
reports	NNS	report
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
team	NN	team
came	VBD	come
to	TO	to
me	PP	me
with	IN	with
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
to	TO	to
have	VB	have
the	DT	the
number	NN	number
one	CD	one
thing	NN	thing
that	IN	that
women	NNS	woman
tell	VB	tell
you	PP	you
in	IN	in
Africa	NP	Africa
they	PP	they
want	VBP	want
to	TO	to
use	VB	use
stocked	VBN	stock
out	RP	out
more	JJR	more
than	IN	than
200	CD	@card@
days	NNS	day
a	DT	a
year	NN	year
explains	VBZ	explain
why	WRB	why
women	NNS	woman
were	VBD	be
saying	VBG	say
to	TO	to
me	PP	me
,	,	,
"	''	"
I	PP	I
walked	VBD	walk
10	CD	@card@
kilometers	NNS	kilometer
without	IN	without
my	PP$	my
husband	NN	husband
knowing	VBG	know
it	PP	it
,	,	,
and	CC	and
I	PP	I
got	VBD	get
to	TO	to
the	DT	the
clinic	NN	clinic
,	,	,
and	CC	and
there	EX	there
was	VBD	be
nothing	NN	nothing
there	RB	there
.	SENT	.
"	''	"
And	CC	and
so	RB	so
condoms	NNS	condom
were	VBD	be
stocked	VBN	stock
in	IN	in
in	IN	in
Africa	NP	Africa
because	IN	because
of	IN	of
all	PDT	all
the	DT	the
AIDS	NP	AIDS
work	NN	work
that	IN	that
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
and	CC	and
others	NNS	other
supported	VBD	support
.	SENT	.
But	CC	but
women	NNS	woman
will	MD	will
tell	VB	tell
you	PP	you
over	RP	over
and	CC	and
over	RP	over
again	RB	again
,	,	,
"	''	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
negotiate	VB	negotiate
a	DT	a
condom	NN	condom
with	IN	with
my	PP$	my
husband	NN	husband
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
either	CC	either
suggesting	VBG	suggest
he	PP	he
has	VBZ	have
AIDS	NP	AIDS
or	CC	or
I	PP	I
have	VBP	have
AIDS	NP	AIDS
,	,	,
and	CC	and
I	PP	I
need	VBP	need
that	DT	that
tool	NN	tool
because	IN	because
then	RB	then
I	PP	I
can	MD	can
space	VB	space
the	DT	the
births	NNS	birth
of	IN	of
my	PP$	my
children	NNS	child
,	,	,
and	CC	and
I	PP	I
can	MD	can
feed	VB	feed
them	PP	them
and	CC	and
have	VB	have
a	DT	a
chance	NN	chance
of	IN	of
educating	VBG	educate
them	PP	them
.	SENT	.
"	''	"
CA	MD	ca
:	:	:
Melinda	NP	Melinda
,	,	,
you	PP	you
'	POS	'
re	NN	re
Roman	NP	Roman
Catholic	NP	Catholic
,	,	,
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
often	RB	often
been	VBN	be
embroiled	VBN	embroil
in	IN	in
controversy	NN	controversy
over	IN	over
this	DT	this
issue	NN	issue
,	,	,
and	CC	and
on	IN	on
the	DT	the
abortion	NN	abortion
question	NN	question
,	,	,
on	IN	on
both	DT	both
sides	NNS	side
,	,	,
really	RB	really
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
navigate	VB	navigate
that	DT	that
?	SENT	?
MG	NN	mg
:	:	:
Yeah	RB	yeah
,	,	,
so	RB	so
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
really	RB	really
important	JJ	important
point	NN	point
,	,	,
which	WDT	which
is	VBZ	be
,	,	,
we	PP	we
had	VBD	have
backed	VBN	back
away	RB	away
from	IN	from
contraceptives	NNS	contraceptive
as	IN	as
a	DT	a
global	JJ	global
community	NN	community
.	SENT	.
We	PP	we
knew	VBD	know
that	IN	that
210	CD	@card@
million	CD	million
women	NNS	woman
were	VBD	be
saying	VBG	say
they	PP	they
wanted	VBD	want
access	NN	access
to	TO	to
contraceptives	NNS	contraceptive
,	,	,
even	RB	even
the	DT	the
contraceptives	NNS	contraceptive
we	PP	we
have	VBP	have
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
and	CC	and
we	PP	we
weren	NN	<unknown>
'	POS	'
t	NN	t
providing	VBG	provide
them	PP	them
because	IN	because
of	IN	of
the	DT	the
political	JJ	political
controversy	NN	controversy
in	IN	in
our	PP$	our
country	NN	country
,	,	,
and	CC	and
to	TO	to
me	PP	me
that	DT	that
was	VBD	be
just	RB	just
a	DT	a
crime	NN	crime
,	,	,
and	CC	and
I	PP	I
kept	VBD	keep
looking	VBG	look
around	IN	around
trying	VBG	try
to	TO	to
find	VB	find
the	DT	the
person	NN	person
that	WDT	that
would	MD	would
get	VB	get
this	DT	this
back	NN	back
on	IN	on
the	DT	the
global	JJ	global
stage	NN	stage
,	,	,
and	CC	and
I	PP	I
finally	RB	finally
realized	VBD	realize
I	PP	I
just	RB	just
had	VBD	have
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
I	PP	I
'	POS	'
m	NN	m
Catholic	JJ	Catholic
,	,	,
I	PP	I
believe	VBP	believe
in	IN	in
contraceptives	NNS	contraceptive
just	RB	just
like	VBP	like
most	JJS	most
of	IN	of
the	DT	the
Catholic	JJ	Catholic
women	NNS	woman
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
who	WP	who
report	VBP	report
using	VBG	use
contraceptives	NNS	contraceptive
,	,	,
and	CC	and
I	PP	I
shouldn	NP	<unknown>
'	POS	'
t	NN	t
let	VBD	let
that	DT	that
controversy	NN	controversy
be	VB	be
the	DT	the
thing	NN	thing
that	WDT	that
holds	VBZ	hold
us	PP	us
back	RB	back
.	SENT	.
We	PP	we
used	VBD	use
to	TO	to
have	VB	have
consensus	NN	consensus
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
around	IN	around
contraceptives	NNS	contraceptive
,	,	,
and	CC	and
so	RB	so
we	PP	we
got	VBD	get
back	RB	back
to	TO	to
that	DT	that
global	JJ	global
consensus	NN	consensus
,	,	,
and	CC	and
actually	RB	actually
raised	VBD	raise
2	CD	@card@
.	SENT	.
6	CD	@card@
billion	NN	billion
dollars	NNS	dollar
around	IN	around
exactly	RB	exactly
this	DT	this
issue	NN	issue
for	IN	for
women	NNS	woman
.	SENT	.
CA	MD	ca
:	:	:
Bill	NP	Bill
,	,	,
this	DT	this
is	VBZ	be
your	PP$	your
graph	NN	graph
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
this	DT	this
about	RB	about
?	SENT	?
BG	NP	BG
:	:	:
Well	UH	well
,	,	,
my	PP$	my
graph	NN	graph
has	VBZ	have
numbers	NNS	number
on	IN	on
it	PP	it
.	SENT	.
I	PP	I
really	RB	really
like	VBP	like
this	DT	this
graph	NN	graph
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
number	NN	number
of	IN	of
children	NNS	child
who	WP	who
die	VBP	die
before	IN	before
the	DT	the
age	NN	age
of	IN	of
five	CD	five
every	DT	every
year	NN	year
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
find	VBP	find
is	VBZ	be
really	RB	really
a	DT	a
phenomenal	JJ	phenomenal
success	NN	success
story	NN	story
which	WDT	which
is	VBZ	be
not	RB	not
widely	RB	widely
known	VBN	know
,	,	,
that	IN	that
we	PP	we
are	VBP	be
making	VBG	make
incredible	JJ	incredible
progress	NN	progress
.	SENT	.
We	PP	we
go	VBP	go
from	IN	from
20	CD	@card@
million	CD	million
not	RB	not
long	JJ	long
after	IN	after
I	PP	I
was	VBD	be
born	VBN	bear
to	TO	to
now	RB	now
we	PP	we
'	POS	'
re	NN	re
down	RB	down
to	TO	to
about	RB	about
six	CD	six
million	CD	million
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
story	NN	story
largely	RB	largely
of	IN	of
vaccines	NNS	vaccine
.	SENT	.
Smallpox	NN	smallpox
was	VBD	be
killing	VBG	kill
a	DT	a
couple	NN	couple
million	CD	million
kids	NNS	kid
a	DT	a
year	NN	year
.	SENT	.
That	DT	that
was	VBD	be
eradicated	VBN	eradicate
,	,	,
so	IN	so
that	WDT	that
got	VBD	get
down	RP	down
to	TO	to
zero	CD	zero
.	SENT	.
Measles	NN	measles
was	VBD	be
killing	VBG	kill
a	DT	a
couple	NN	couple
million	CD	million
a	DT	a
year	NN	year
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
down	RB	down
to	TO	to
a	DT	a
few	JJ	few
hundred	CD	hundred
thousand	CD	thousand
.	SENT	.
Anyway	RB	anyway
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
chart	NN	chart
where	WRB	where
you	PP	you
want	VBP	want
to	TO	to
get	VB	get
that	DT	that
number	NN	number
to	TO	to
continue	VB	continue
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
possible	JJ	possible
,	,	,
using	VBG	use
the	DT	the
science	NN	science
of	IN	of
new	JJ	new
vaccines	NNS	vaccine
,	,	,
getting	VBG	get
the	DT	the
vaccines	NNS	vaccine
out	RP	out
to	TO	to
kids	NNS	kid
.	SENT	.
We	PP	we
can	MD	can
actually	RB	actually
accelerate	VB	accelerate
the	DT	the
progress	NN	progress
.	SENT	.
The	DT	the
last	JJ	last
decade	NN	decade
,	,	,
that	DT	that
number	NN	number
has	VBZ	have
dropped	VBN	drop
faster	RBR	faster
than	IN	than
ever	RB	ever
in	IN	in
history	NN	history
,	,	,
and	CC	and
so	RB	so
I	PP	I
just	RB	just
love	VBP	love
the	DT	the
fact	NN	fact
that	IN	that
you	PP	you
can	MD	can
say	VB	say
,	,	,
okay	RB	okay
,	,	,
if	IN	if
we	PP	we
can	MD	can
invent	VB	invent
new	JJ	new
vaccines	NNS	vaccine
,	,	,
we	PP	we
can	MD	can
get	VB	get
them	PP	them
out	RP	out
there	RB	there
,	,	,
use	VBP	use
the	DT	the
very	RB	very
latest	JJS	late
understanding	NN	understanding
of	IN	of
these	DT	these
things	NNS	thing
,	,	,
and	CC	and
get	VB	get
the	DT	the
delivery	NN	delivery
right	RB	right
,	,	,
that	IN	that
we	PP	we
can	MD	can
perform	VB	perform
a	DT	a
miracle	NN	miracle
.	SENT	.
CA	MD	ca
:	:	:
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
do	VBP	do
the	DT	the
math	NN	math
on	IN	on
this	DT	this
,	,	,
and	CC	and
it	PP	it
works	VBZ	work
out	RP	out
,	,	,
I	PP	I
think	VBP	think
,	,	,
literally	RB	literally
to	TO	to
thousands	NNS	thousand
of	IN	of
kids	NNS	kid
'	POS	'
lives	NNS	life
saved	VBD	save
every	DT	every
day	NN	day
compared	VBN	compare
to	TO	to
the	DT	the
prior	JJ	prior
year	NN	year
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
reported	VBD	report
.	SENT	.
An	DT	an
airliner	NN	airliner
with	IN	with
200-plus	JJ	<unknown>
deaths	NNS	death
is	VBZ	be
a	DT	a
far	RB	far
,	,	,
far	RB	far
bigger	JJR	big
story	NN	story
than	IN	than
that	DT	that
.	SENT	.
Does	VBZ	do
that	RB	that
drive	VB	drive
you	PP	you
