Most	JJS	most
that	WDT	that
sends	VBZ	send
blood	NN	blood
and	CC	and
oxygen	NN	oxygen
to	TO	to
the	DT	the
organs	NNS	organ
and	CC	and
muscles	NNS	muscle
that	IN	that
I	PP	I
might	MD	might
need	VB	need
to	TO	to
respond	VB	respond
quickly	RB	quickly
to	TO	to
a	DT	a
potential	JJ	potential
threat	NN	threat
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
problem	NN	problem
with	IN	with
this	DT	this
response	NN	response
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
,	,	,
it	PP	it
can	MD	can
get	VB	get
over-	NN	<unknown>
activated	VBN	activate
.	SENT	.
If	IN	if
I	PP	I
face	VBP	face
these	DT	these
kinds	NNS	kind
of	IN	of
stressors	NNS	<unknown>
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
,	,	,
particularly	RB	particularly
over	IN	over
an	DT	an
extended	JJ	extended
period	NN	period
of	IN	of
time	NN	time
,	,	,
my	PP$	my
system	NN	system
can	MD	can
get	VB	get
overloaded	VBN	overload
.	SENT	.
So	RB	so
basically	RB	basically
,	,	,
if	IN	if
this	DT	this
response	NN	response
happens	VBZ	happen
infrequently	RB	infrequently
:	:	:
super-necessary	JJ	super-necessary
for	IN	for
my	PP$	my
well-being	NN	well-being
and	CC	and
survival	NN	survival
.	SENT	.
But	CC	but
if	IN	if
it	PP	it
happens	VBZ	happen
too	RB	too
much	RB	much
,	,	,
it	PP	it
can	MD	can
actually	RB	actually
make	VB	make
me	PP	me
sick	JJ	sick
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
growing	VBG	grow
body	NN	body
of	IN	of
research	NN	research
examining	VBG	examine
the	DT	the
relationship	NN	relationship
between	IN	between
chronic	JJ	chronic
stress	NN	stress
and	CC	and
illness	NN	illness
.	SENT	.
Things	NNS	thing
like	IN	like
heart	NN	heart
disease	NN	disease
and	CC	and
even	RB	even
cancer	NN	cancer
are	VBP	be
being	VBG	be
shown	VBN	show
to	TO	to
have	VB	have
a	DT	a
relationship	NN	relationship
to	TO	to
stress	VB	stress
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
,	,	,
over	IN	over
time	NN	time
,	,	,
too	RB	too
much	JJ	much
activation	NN	activation
from	IN	from
stress	NN	stress
can	MD	can
interfere	VB	interfere
with	IN	with
my	PP$	my
body	NN	body
'	POS	'
s	NN	S
processes	NNS	process
that	WDT	that
keep	VBP	keep
me	PP	me
healthy	JJ	healthy
.	SENT	.
Now	RB	now
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
imagine	VBP	imagine
for	IN	for
a	DT	a
moment	NN	moment
that	IN	that
I	PP	I
was	VBD	be
pregnant	JJ	pregnant
.	SENT	.
What	WP	what
might	MD	might
this	DT	this
kind	NN	kind
of	IN	of
stress	NN	stress
,	,	,
particularly	RB	particularly
over	IN	over
the	DT	the
length	NN	length
of	IN	of
my	PP$	my
pregnancy	NN	pregnancy
,	,	,
what	WP	what
kind	NN	kind
of	IN	of
impact	NN	impact
might	MD	might
that	RB	that
have	VB	have
on	IN	on
the	DT	the
health	NN	health
of	IN	of
my	PP$	my
developing	VBG	develop
fetus	NN	fetus
?	SENT	?
You	PP	you
probably	RB	probably
won	VBD	win
'	''	'
t	NN	t
be	VB	be
surprised	VBN	surprise
when	WRB	when
I	PP	I
tell	VBP	tell
you	PP	you
that	IN	that
this	DT	this
kind	NN	kind
of	IN	of
stress	NN	stress
during	IN	during
pregnancy	NN	pregnancy
is	VBZ	be
not	RB	not
good	JJ	good
.	SENT	.
It	PP	it
can	MD	can
even	RB	even
cause	VB	cause
the	DT	the
body	NN	body
to	TO	to
initiate	VB	initiate
labor	NN	labor
too	RB	too
early	RB	early
,	,	,
because	IN	because
in	IN	in
a	DT	a
basic	JJ	basic
sense	NN	sense
,	,	,
the	DT	the
stress	NN	stress
communicates	VBZ	communicate
that	IN	that
the	DT	the
womb	NN	womb
is	VBZ	be
no	RB	no
longer	JJR	long
a	DT	a
safe	JJ	safe
place	NN	place
for	IN	for
the	DT	the
child	NN	child
.	SENT	.
Stress	NN	stress
during	IN	during
pregnancy	NN	pregnancy
is	VBZ	be
linked	VBN	link
with	IN	with
things	NNS	thing
like	IN	like
high	JJ	high
blood	NN	blood
pressure	NN	pressure
and	CC	and
low	JJ	low
infant	JJ	infant
birth	NN	birth
weight	NN	weight
,	,	,
and	CC	and
it	PP	it
can	MD	can
begin	VB	begin
a	DT	a
cascade	NN	cascade
of	IN	of
health	NN	health
challenges	NNS	challenge
that	WDT	that
make	VBP	make
birth	NN	birth
much	RB	much
more	RBR	more
dangerous	JJ	dangerous
for	IN	for
both	DT	both
parent	NN	parent
and	CC	and
child	NN	child
.	SENT	.
Now	RB	now
of	IN	of
course	NN	course
stress	NN	stress
,	,	,
particularly	RB	particularly
in	IN	in
our	PP$	our
modern	JJ	modern
lifestyle	NN	lifestyle
,	,	,
is	VBZ	be
a	DT	a
somewhat	RB	somewhat
universal	JJ	universal
experience	NN	experience
,	,	,
right	RB	right
?	SENT	?
Maybe	RB	maybe
you	PP	you
'	POS	'
ve	NN	ve
never	RB	never
stood	VBD	stand
up	RP	up
to	TO	to
give	VB	give
a	DT	a
TED	VBP	ted
Talk	NN	talk
,	,	,
but	CC	but
you	PP	you
'	POS	'
ve	NN	ve
faced	VBD	face
a	DT	a
big	JJ	big
presentation	NN	presentation
at	IN	at
work	NN	work
,	,	,
a	DT	a
sudden	JJ	sudden
job	NN	job
loss	NN	loss
,	,	,
a	DT	a
big	JJ	big
test	NN	test
,	,	,
a	DT	a
heated	JJ	heated
conflict	NN	conflict
with	IN	with
a	DT	a
family	NN	family
member	NN	member
or	CC	or
friend	NN	friend
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
the	DT	the
kind	NN	kind
of	IN	of
stress	NN	stress
we	PP	we
experience	VBP	experience
and	CC	and
whether	IN	whether
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
stay	VB	stay
in	IN	in
a	DT	a
relaxed	VBN	relax
state	NN	state
long	RB	long
enough	RB	enough
to	TO	to
keep	VB	keep
our	PP$	our
bodies	NNS	body
working	VBG	work
properly	RB	properly
depends	VBZ	depend
a	DT	a
lot	NN	lot
on	IN	on
who	WP	who
we	PP	we
are	VBP	be
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
also	RB	also
a	DT	a
growing	VBG	grow
body	NN	body
of	IN	of
research	NN	research
showing	VBG	show
that	IN	that
people	NNS	people
who	WP	who
experience	VBP	experience
more	JJR	more
discrimination	NN	discrimination
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
have	VB	have
poor	JJ	poor
health	NN	health
.	SENT	.
Even	RB	even
the	DT	the
threat	NN	threat
of	IN	of
discrimination	NN	discrimination
,	,	,
like	IN	like
worrying	VBG	worry
you	PP	you
might	MD	might
be	VB	be
stopped	VBN	stop
by	IN	by
police	NNS	police
while	IN	while
driving	VBG	drive
your	PP$	your
car	NN	car
,	,	,
can	MD	can
have	VB	have
a	DT	a
negative	JJ	negative
impact	NN	impact
on	IN	on
your	PP$	your
health	NN	health
.	SENT	.
Harvard	NP	Harvard
Professor	NP	Professor
Dr	NP	Dr
.	SENT	.
David	NP	David
Williams	NP	Williams
,	,	,
the	DT	the
person	NN	person
who	WP	who
pioneered	VBD	pioneer
the	DT	the
tools	NNS	tool
that	WDT	that
have	VBP	have
proven	VBN	prove
these	DT	these
linkages	NNS	linkage
,	,	,
says	VBZ	say
that	IN	that
the	DT	the
more	JJR	more
marginalized	VBN	marginalize
groups	NNS	group
in	IN	in
our	PP$	our
society	NN	society
experience	NN	experience
more	JJR	more
discrimination	NN	discrimination
and	CC	and
more	JJR	more
impacts	NNS	impact
on	IN	on
their	PP$	their
health	NN	health
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
interested	JJ	interested
in	IN	in
these	DT	these
issues	NNS	issue
for	IN	for
over	IN	over
a	DT	a
decade	NN	decade
.	SENT	.
I	PP	I
became	VBD	become
interested	JJ	interested
in	IN	in
maternal	JJ	maternal
health	NN	health
when	WRB	when
a	DT	a
failed	JJ	failed
premed	JJ	premed
trajectory	NN	trajectory
instead	RB	instead
sent	VBD	send
me	PP	me
down	RP	down
a	DT	a
path	NN	path
looking	VBG	look
for	IN	for
other	JJ	other
ways	NNS	way
to	TO	to
help	VB	help
pregnant	JJ	pregnant
people	NNS	people
.	SENT	.
I	PP	I
became	VBD	become
a	DT	a
doula	NN	<unknown>
,	,	,
a	DT	a
lay	JJ	lay
person	NN	person
trained	VBN	train
to	TO	to
provide	VB	provide
support	NN	support
to	TO	to
people	NNS	people
during	IN	during
pregnancy	NN	pregnancy
and	CC	and
childbirth	NN	childbirth
.	SENT	.
And	CC	and
because	IN	because
I	PP	I
'	POS	'
m	NN	m
Latina	NP	Latina
and	CC	and
a	DT	a
Spanish	JJ	Spanish
speaker	NN	speaker
,	,	,
in	IN	in
my	PP$	my
first	JJ	first
volunteer	NN	volunteer
doula	NN	<unknown>
gig	NN	gig
at	IN	at
a	DT	a
public	JJ	public
hospital	NN	hospital
in	IN	in
North	NP	North
Carolina	NP	Carolina
,	,	,
I	PP	I
saw	VBD	see
clearly	RB	clearly
how	WRB	how
race	NN	race
and	CC	and
class	NN	class
impacted	VBD	impact
the	DT	the
experiences	NNS	experience
of	IN	of
the	DT	the
women	NNS	woman
that	IN	that
I	PP	I
supported	VBD	support
.	SENT	.
If	IN	if
we	PP	we
take	VBP	take
a	DT	a
look	NN	look
at	IN	at
the	DT	the
statistics	NNS	statistic
about	IN	about
the	DT	the
rates	NNS	rate
of	IN	of
illness	NN	illness
during	IN	during
pregnancy	NN	pregnancy
and	CC	and
childbirth	NN	childbirth
,	,	,
we	PP	we
see	VBP	see
clearly	RB	clearly
the	DT	the
pattern	NN	pattern
outlined	VBN	outline
by	IN	by
Dr	NP	Dr
.	SENT	.
Williams	NP	Williams
.	SENT	.
African-	JJ	<unknown>
American	JJ	American
women	NNS	woman
in	IN	in
particular	JJ	particular
have	VBP	have
an	DT	an
entirely	RB	entirely
different	JJ	different
experience	NN	experience
than	IN	than
white	JJ	white
women	NNS	woman
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
whether	IN	whether
their	PP$	their
babies	NNS	baby
are	VBP	be
born	VBN	bear
healthy	JJ	healthy
.	SENT	.
In	IN	in
certain	JJ	certain
parts	NNS	part
of	IN	of
the	DT	the
country	NN	country
,	,	,
particularly	RB	particularly
the	DT	the
Deep	NP	Deep
South	NP	South
,	,	,
the	DT	the
rates	NNS	rate
of	IN	of
mother	NN	mother
and	CC	and
infant	JJ	infant
death	NN	death
for	IN	for
black	JJ	black
women	NNS	woman
actually	RB	actually
approximate	VBP	approximate
those	DT	those
rates	NNS	rate
in	IN	in
Sub-Saharan	NP	Sub-Saharan
African	NP	African
.	SENT	.
In	IN	in
those	DT	those
same	JJ	same
communities	NNS	community
,	,	,
the	DT	the
rates	NNS	rate
for	IN	for
white	JJ	white
women	NNS	woman
are	VBP	be
near	IN	near
zero	CD	zero
.	SENT	.
Even	RB	even
nationally	RB	nationally
,	,	,
black	JJ	black
women	NNS	woman
are	VBP	be
four	CD	four
times	NNS	time
more	RBR	more
likely	JJ	likely
to	TO	to
die	VB	die
during	IN	during
pregnancy	NN	pregnancy
and	CC	and
childbirth	NN	childbirth
than	IN	than
white	JJ	white
women	NNS	woman
.	SENT	.
Four	CD	four
times	NNS	time
more	RBR	more
likely	JJ	likely
to	TO	to
die	VB	die
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
also	RB	also
twice	RB	twice
as	RB	as
likely	JJ	likely
for	IN	for
their	PP$	their
infants	NNS	infant
to	TO	to
die	VB	die
before	IN	before
the	DT	the
first	JJ	first
year	NN	year
of	IN	of
life	NN	life
than	IN	than
white	JJ	white
infants	NNS	infant
,	,	,
and	CC	and
two	CD	two
to	TO	to
three	CD	three
times	NNS	time
more	RBR	more
likely	JJ	likely
to	TO	to
give	VB	give
birth	NN	birth
too	RB	too
early	RB	early
or	CC	or
too	RB	too
skinny	JJ	skinny
—	:	-
a	DT	a
sign	NN	sign
of	IN	of
insufficient	JJ	insufficient
development	NN	development
.	SENT	.
Native	JJ	native
women	NNS	woman
are	VBP	be
also	RB	also
more	RBR	more
likely	JJ	likely
to	TO	to
have	VB	have
higher	JJR	high
rates	NNS	rate
of	IN	of
these	DT	these
problems	NNS	problem
than	IN	than
white	JJ	white
women	NNS	woman
,	,	,
as	RB	as
are	VBP	be
some	DT	some
groups	NNS	group
of	IN	of
Latinas	NP	<unknown>
.	SENT	.
For	IN	for
the	DT	the
last	JJ	last
decade	NN	decade
as	IN	as
a	DT	a
doula	NN	<unknown>
turned	VBD	turn
journalist	NN	journalist
and	CC	and
blogger	NN	blogger
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
to	TO	to
raise	VB	raise
the	DT	the
alarm	NN	alarm
about	RB	about
just	RB	just
how	WRB	how
different	JJ	different
the	DT	the
experiences	NNS	experience
of	IN	of
women	NNS	woman
of	IN	of
color	NN	color
,	,	,
but	CC	but
particularly	RB	particularly
black	JJ	black
women	NNS	woman
,	,	,
are	VBP	be
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
pregnancy	NN	pregnancy
and	CC	and
birth	NN	birth
in	IN	in
the	DT	the
US	NP	US
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
tell	VBP	tell
people	NNS	people
about	IN	about
these	DT	these
appalling	JJ	appalling
statistics	NNS	statistic
,	,	,
I	PP	I
'	POS	'
m	NN	m
usually	RB	usually
met	VBD	meet
with	IN	with
an	DT	an
assumption	NN	assumption
that	IN	that
it	PP	it
'	POS	'
s	NN	S
about	IN	about
either	DT	either
poverty	NN	poverty
or	CC	or
lack	NN	lack
of	IN	of
access	NN	access
to	TO	to
care	VB	care
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
neither	CC	neither
of	IN	of
these	DT	these
things	NNS	thing
tell	VBP	tell
the	DT	the
whole	JJ	whole
story	NN	story
.	SENT	.
Even	RB	even
middle-class	JJ	middle-class
black	JJ	black
women	NNS	woman
still	RB	still
have	VBP	have
much	RB	much
worse	JJR	bad
outcomes	NNS	outcome
than	IN	than
their	PP$	their
middle-class	JJ	middle-class
white	JJ	white
counterparts	NNS	counterpart
.	SENT	.
The	DT	the
gap	NN	gap
actually	RB	actually
widens	VBZ	widen
among	IN	among
this	DT	this
group	NN	group
.	SENT	.
And	CC	and
while	IN	while
access	NN	access
to	TO	to
care	VB	care
is	VBZ	be
definitely	RB	definitely
still	RB	still
a	DT	a
problem	NN	problem
,	,	,
even	RB	even
women	NNS	woman
of	IN	of
color	NN	color
who	WP	who
receive	VBP	receive
the	DT	the
recommended	JJ	recommended
prenatal	NN	prenatal
care	VBP	care
still	RB	still
suffer	VB	suffer
from	IN	from
these	DT	these
high	JJ	high
rates	NNS	rate
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
come	VBP	come
back	RB	back
to	TO	to
the	DT	the
path	NN	path
from	IN	from
discrimination	NN	discrimination
to	TO	to
stress	VB	stress
to	TO	to
poor	JJ	poor
health	NN	health
,	,	,
and	CC	and
it	PP	it
begins	VBZ	begin
to	TO	to
paint	VB	paint
a	DT	a
picture	NN	picture
that	IN	that
many	JJ	many
people	NNS	people
of	IN	of
color	NN	color
know	VBP	know
to	TO	to
be	VB	be
true	JJ	true
:	:	:
racism	NN	racism
is	VBZ	be
actually	RB	actually
making	VBG	make
us	PP	us
sick	JJ	sick
.	SENT	.
Still	RB	still
sound	JJ	sound
like	IN	like
a	DT	a
stretch	NN	stretch
?	SENT	?
Consider	VB	consider
this	DT	this
:	:	:
immigrants	NNS	immigrant
,	,	,
particularly	RB	particularly
black	JJ	black
and	CC	and
Latina	NP	Latina
immigrants	NNS	immigrant
,	,	,
actually	RB	actually
have	VBP	have
better	JJR	good
health	NN	health
when	WRB	when
they	PP	they
first	RB	first
arrive	VBP	arrive
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
But	CC	but
the	DT	the
longer	RBR	longer
they	PP	they
stay	VBP	stay
in	IN	in
this	DT	this
country	NN	country
,	,	,
the	DT	the
worse	JJR	bad
their	PP$	their
health	NN	health
becomes	VBZ	become
.	SENT	.
People	NNS	people
like	IN	like
me	PP	me
,	,	,
born	VBN	bear
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
to	TO	to
Cuban	JJ	Cuban
immigrant	NN	immigrant
parents	NNS	parent
,	,	,
are	VBP	be
actually	RB	actually
more	RBR	more
likely	JJ	likely
to	TO	to
have	VB	have
worse	JJR	bad
health	NN	health
than	IN	than
my	PP$	my
grandparents	NNS	grandparent
did	VBD	do
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
researchers	NNS	researcher
call	VBP	call
"	``	"
the	DT	the
immigrant	NN	immigrant
paradox	NN	paradox
,	,	,
"	``	"
and	CC	and
it	PP	it
further	RBR	further
illustrates	VBZ	illustrate
that	IN	that
there	EX	there
'	''	'
s	NN	S
something	NN	something
in	IN	in
the	DT	the
US	NP	US
environment	NN	environment
that	WDT	that
is	VBZ	be
making	VBG	make
us	PP	us
sick	JJ	sick
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
this	DT	this
problem	NN	problem
,	,	,
that	DT	that
racism	NN	racism
is	VBZ	be
making	VBG	make
people	NNS	people
of	IN	of
color	NN	color
,	,	,
but	CC	but
especially	RB	especially
black	JJ	black
women	NNS	woman
and	CC	and
babies	NNS	baby
,	,	,
sick	JJ	sick
,	,	,
is	VBZ	be
vast	JJ	vast
.	SENT	.
I	PP	I
could	MD	could
spend	VB	spend
all	DT	all
of	IN	of
my	PP$	my
time	NN	time
with	IN	with
you	PP	you
talking	VBG	talk
about	IN	about
it	PP	it
,	,	,
but	CC	but
I	PP	I
won	VBD	win
'	''	'
t	NN	t
,	,	,
because	IN	because
I	PP	I
want	VBP	want
to	TO	to
make	VB	make
sure	JJ	sure
to	TO	to
tell	VB	tell
you	PP	you
about	IN	about
one	CD	one
solution	NN	solution
.	SENT	.
And	CC	and
the	DT	the
good	JJ	good
news	NN	news
is	VBZ	be
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
solution	NN	solution
that	IN	that
isn	NP	isn
'	POS	'
t	NN	t
particularly	RB	particularly
expensive	JJ	expensive
,	,	,
and	CC	and
doesn	NP	<unknown>
'	POS	'
t	NN	t
require	VBP	require
any	DT	any
fancy	JJ	fancy
drug	NN	drug
treatments	NNS	treatment
or	CC	or
new	JJ	new
technologies	NNS	technology
.	SENT	.
The	DT	the
solution	NN	solution
is	VBZ	be
called	VBN	call
,	,	,
"	''	"
The	DT	the
JJ	NN	JJ
Way	NN	way
.	SENT	.
"	''	"
Meet	NP	Meet
Jennie	NP	Jennie
Joseph	NP	Joseph
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
a	DT	a
midwife	NN	midwife
in	IN	in
the	DT	the
Orlando	NP	Orlando
,	,	,
Florida	NP	Florida
area	NN	area
who	WP	who
has	VBZ	have
been	VBN	be
serving	VBG	serve
pregnant	JJ	pregnant
women	NNS	woman
for	IN	for
over	IN	over
a	DT	a
decade	NN	decade
.	SENT	.
In	IN	in
what	WP	what
she	PP	she
calls	VBZ	call
her	PP$	her
easy-access	NN	easy-access
clinics	NNS	clinic
,	,	,
Jennie	NP	Jennie
and	CC	and
her	PP$	her
team	NN	team
provide	VB	provide
prenatal	JJ	prenatal
care	NN	care
to	TO	to
over	RB	over
600	CD	@card@
women	NNS	woman
per	IN	per
year	NN	year
.	SENT	.
Her	PP$	her
clients	NNS	client
,	,	,
most	JJS	most
of	IN	of
whom	WP	whom
are	VBP	be
black	JJ	black
,	,	,
Haitian	JJ	Haitian
and	CC	and
Latina	NP	Latina
,	,	,
deliver	VBP	deliver
at	IN	at
the	DT	the
local	JJ	local
hospital	NN	hospital
.	SENT	.
But	CC	but
by	IN	by
providing	VBG	provide
accessible	JJ	accessible
and	CC	and
respectful	JJ	respectful
prenatal	JJ	prenatal
care	NN	care
,	,	,
Jennie	NP	Jennie
has	VBZ	have
achieved	VBN	achieve
something	NN	something
remarkable	JJ	remarkable
:	:	:
almost	RB	almost
all	DT	all
of	IN	of
her	PP$	her
clients	NNS	client
give	VBP	give
birth	NN	birth
to	TO	to
healthy	JJ	healthy
,	,	,
full-term	NN	full-term
babies	NNS	baby
.	SENT	.
Her	PP$	her
method	NN	method
is	VBZ	be
deceptively	RB	deceptively
simple	JJ	simple
.	SENT	.
Jennie	NP	Jennie
says	VBZ	say
that	IN	that
all	DT	all
of	IN	of
her	PP$	her
appointments	NNS	appointment
start	VBP	start
at	IN	at
the	DT	the
front	JJ	front
desk	NN	desk
.	SENT	.
Every	DT	every
member	NN	member
of	IN	of
her	PP$	her
team	NN	team
,	,	,
and	CC	and
every	DT	every
moment	NN	moment
a	DT	a
women	NNS	woman
is	VBZ	be
at	IN	at
her	PP$	her
clinic	NN	clinic
,	,	,
is	VBZ	be
as	RB	as
supportive	JJ	supportive
as	IN	as
possible	JJ	possible
.	SENT	.
No	DT	no
one	CD	one
is	VBZ	be
turned	VBN	turn
away	RB	away
due	JJ	due
to	TO	to
lack	NN	lack
of	IN	of
funds	NNS	fund
.	SENT	.
The	DT	the
JJ	NN	JJ
Way	NN	way
is	VBZ	be
to	TO	to
make	VB	make
the	DT	the
finances	NNS	finance
work	VBP	work
no	RB	no
matter	VB	matter
what	WP	what
the	DT	the
hurdles	NNS	hurdle
.	SENT	.
No	DT	no
one	CD	one
is	VBZ	be
chastised	VBN	chastise
for	IN	for
showing	VBG	show
up	RP	up
late	JJ	late
to	TO	to
their	PP$	their
appointments	NNS	appointment
.	SENT	.
No	DT	no
one	CD	one
is	VBZ	be
talked	VBN	talk
down	RP	down
to	TO	to
or	CC	or
belittled	VBN	belittle
.	SENT	.
Jennie	NP	Jennie
'	POS	'
s	JJ	<unknown>
waiting	VBG	wait
room	NN	room
feels	VBZ	feel
more	JJR	more
like	IN	like
your	PP$	your
aunt	NN	aunt
'	POS	'
s	JJ	<unknown>
living	NN	living
room	NN	room
than	IN	than
a	DT	a
clinic	NN	clinic
.	SENT	.
She	PP	she
calls	VBZ	call
this	DT	this
space	NN	space
"	``	"
a	DT	a
classroom	NN	classroom
in	IN	in
disguise	NN	disguise
.	SENT	.
"	''	"
With	IN	with
the	DT	the
plush	JJ	plush
chairs	NNS	chair
arranged	VBN	arrange
in	IN	in
a	DT	a
circle	NN	circle
,	,	,
women	NNS	woman
wait	VBP	wait
for	IN	for
their	PP$	their
appointments	NNS	appointment
in	IN	in
one-on-	NN	<unknown>
one	CD	one
chats	NNS	chat
with	IN	with
a	DT	a
staff	NN	staff
educator	NN	educator
,	,	,
or	CC	or
in	IN	in
group	NN	group
prenatal	NN	prenatal
classes	NNS	class
.	SENT	.
When	WRB	when
you	PP	you
finally	RB	finally
are	VBP	be
called	VBN	call
back	RB	back
to	TO	to
your	PP$	your
appointment	NN	appointment
,	,	,
you	PP	you
are	VBP	be
greeted	VBN	greet
by	IN	by
Alexis	NP	Alexis
or	CC	or
Trina	NP	Trina
,	,	,
two	CD	two
of	IN	of
Jennie	NP	Jennie
'	POS	'
s	JJ	<unknown>
medical	JJ	medical
assistants	NNS	assistant
.	SENT	.
Both	DT	both
are	VBP	be
young	JJ	young
,	,	,
African-American	NP	African-American
and	CC	and
moms	NNS	mom
themselves	PP	themselves
.	SENT	.
Their	PP$	their
approach	NN	approach
is	VBZ	be
casual	JJ	casual
and	CC	and
friendly	JJ	friendly
.	SENT	.
During	IN	during
one	CD	one
visit	NN	visit
I	PP	I
observed	VBD	observe
,	,	,
Trina	NP	Trina
chatted	VBD	chat
with	IN	with
a	DT	a
young	JJ	young
soon-to-be	NN	<unknown>
mom	NN	mom
while	IN	while
she	PP	she
took	VBD	take
her	PP$	her
blood	NN	blood
pressure	NN	pressure
.	SENT	.
This	DT	this
Latina	NP	Latina
mom	NN	mom
was	VBD	be
having	VBG	have
trouble	NN	trouble
keeping	VBG	keep
food	NN	food
down	RB	down
due	JJ	due
to	TO	to
nausea	NN	nausea
.	SENT	.
As	IN	as
Trina	NP	Trina
deflated	VBD	deflate
the	DT	the
blood	NN	blood
pressure	NN	pressure
cuff	NN	cuff
,	,	,
she	PP	she
said	VBD	say
,	,	,
"	``	"
We	PP	we
'	POS	'
ll	NNS	<unknown>
see	VBP	see
about	IN	about
changing	VBG	change
your	PP$	your
prescription	NN	prescription
,	,	,
OK	UH	OK
?	SENT	?
We	PP	we
can	MD	can
'	''	'
t	NN	t
have	VBP	have
you	PP	you
not	RB	not
eating	JJ	eating
.	SENT	.
"	''	"
That	IN	that
"	``	"
we	PP	we
"	``	"
is	VBZ	be
actually	RB	actually
a	DT	a
really	RB	really
crucial	JJ	crucial
aspect	NN	aspect
of	IN	of
Jennie	NP	Jennie
'	POS	'
s	NN	S
model	NN	model
.	SENT	.
She	PP	she
sees	VBZ	see
her	PP$	her
staff	NN	staff
as	IN	as
part	NN	part
of	IN	of
a	DT	a
team	NN	team
that	IN	that
,	,	,
alongside	IN	alongside
the	DT	the
woman	NN	woman
and	CC	and
her	PP$	her
family	NN	family
,	,	,
has	VBZ	have
one	CD	one
goal	NN	goal
:	:	:
get	VB	get
mom	NN	mom
