On	IN	on
effects	NNS	effect
of	IN	of
fresh	JJ	fresh
air	NN	air
and	CC	and
perhaps	RB	perhaps
even	RB	even
physical	JJ	physical
activity	NN	activity
,	,	,
and	CC	and
that	DT	that
is	VBZ	be
exposure	NN	exposure
to	TO	to
natural	JJ	natural
daylight	NN	daylight
.	SENT	.
And	CC	and
today	NN	today
,	,	,
I	PP	I
hope	VBP	hope
to	TO	to
convince	VB	convince
you	PP	you
that	IN	that
we	PP	we
should	MD	should
all	RB	all
appreciate	VB	appreciate
daylight	NN	daylight
as	IN	as
sort	NN	sort
of	IN	of
a	DT	a
natural	JJ	natural
soporific	NN	soporific
.	SENT	.
And	CC	and
hopefully	RB	hopefully
,	,	,
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
talk	NN	talk
,	,	,
you	PP	you
will	MD	will
also	RB	also
recognize	VB	recognize
that	IN	that
we	PP	we
should	MD	should
all	RB	all
pay	VB	pay
more	JJR	more
attention	NN	attention
to	TO	to
our	PP$	our
daily	JJ	daily
light	JJ	light
diet	NN	diet
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
start	VBP	start
with	IN	with
the	DT	the
question	NN	question
why	WRB	why
daylight	NN	daylight
is	VBZ	be
so	RB	so
important	JJ	important
for	IN	for
our	PP$	our
organism	NN	organism
,	,	,
for	IN	for
health	NN	health
and	CC	and
,	,	,
eventually	RB	eventually
,	,	,
for	IN	for
sleep	NN	sleep
.	SENT	.
Now	RB	now
throughout	IN	throughout
your	PP$	your
body	NN	body
,	,	,
in	IN	in
each	DT	each
and	CC	and
every	DT	every
single	JJ	single
cell	NN	cell
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
tiny	JJ	tiny
molecular	JJ	molecular
clock	NN	clock
ticking	VBG	tick
inside	IN	inside
it	PP	it
.	SENT	.
And	CC	and
to	TO	to
keep	VB	keep
these	DT	these
millions	NNS	million
of	IN	of
clocks	NNS	clock
in	IN	in
sync	NN	sync
,	,	,
we	PP	we
have	VBP	have
one	CD	one
central	JJ	central
body	NN	body
clock	NN	clock
that	WDT	that
is	VBZ	be
located	VBN	locate
in	IN	in
the	DT	the
brain	NN	brain
,	,	,
in	IN	in
an	DT	an
area	NN	area
which	WDT	which
we	PP	we
call	VBP	call
the	DT	the
hypothalamus	NN	hypothalamus
.	SENT	.
And	CC	and
like	IN	like
the	DT	the
conductor	NN	conductor
of	IN	of
an	DT	an
orchestra	NN	orchestra
,	,	,
it	PP	it
communicates	VBZ	communicate
the	DT	the
time	NN	time
of	IN	of
day	NN	day
to	TO	to
each	DT	each
of	IN	of
these	DT	these
molecular	JJ	molecular
clocks	NNS	clock
.	SENT	.
And	CC	and
this	DT	this
way	NN	way
,	,	,
it	PP	it
is	VBZ	be
able	JJ	able
to	TO	to
regulate	VB	regulate
bodily	JJ	bodily
processes	NNS	process
in	IN	in
sync	NN	sync
with	IN	with
the	DT	the
time	NN	time
of	IN	of
day	NN	day
.	SENT	.
For	IN	for
example	NN	example
,	,	,
it	PP	it
causes	VBZ	cause
your	PP$	your
body	NN	body
temperature	NN	temperature
to	TO	to
increase	VB	increase
in	IN	in
the	DT	the
morning	NN	morning
and	CC	and
to	TO	to
decrease	VB	decrease
in	IN	in
the	DT	the
evening	NN	evening
.	SENT	.
It	PP	it
choreographs	VBZ	choreograph
the	DT	the
release	NN	release
of	IN	of
certain	JJ	certain
hormones	NNS	hormone
at	IN	at
appropriate	JJ	appropriate
times	NNS	time
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
evening	NN	evening
,	,	,
when	WRB	when
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
go	VB	go
to	TO	to
bed	NN	bed
,	,	,
it	PP	it
will	MD	will
also	RB	also
make	VB	make
you	PP	you
tired	JJ	tired
and	CC	and
sleepy	JJ	sleepy
.	SENT	.
But	CC	but
given	VBN	give
this	DT	this
precise	JJ	precise
synchronization	NN	synchronization
between	IN	between
internal	JJ	internal
or	CC	or
biological	JJ	biological
time	NN	time
and	CC	and
external	JJ	external
time	NN	time
or	CC	or
environmental	JJ	environmental
time	NN	time
,	,	,
it	PP	it
seems	VBZ	seem
clear	JJ	clear
that	IN	that
the	DT	the
body	NN	body
clock	NN	clock
cannot	MD	can
be	VB	be
blind	JJ	blind
or	CC	or
isolated	VBN	isolate
or	CC	or
shut	VBN	shut
off	RP	off
from	IN	from
the	DT	the
environment	NN	environment
,	,	,
but	CC	but
rather	RB	rather
,	,	,
it	PP	it
needs	VBZ	need
to	TO	to
receive	VB	receive
information	NN	information
about	IN	about
the	DT	the
time	NN	time
of	IN	of
day	NN	day
from	IN	from
the	DT	the
environment	NN	environment
for	IN	for
it	PP	it
to	TO	to
synchronize	VB	synchronize
with	IN	with
sun	NN	sun
time	NN	time
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
achieved	VBN	achieve
by	IN	by
close	JJ	close
connections	NNS	connection
between	IN	between
the	DT	the
internal	JJ	internal
biological	JJ	biological
clock	NN	clock
in	IN	in
the	DT	the
brain	NN	brain
and	CC	and
our	PP$	our
eyes	NNS	eye
.	SENT	.
And	CC	and
now	RB	now
you	PP	you
may	MD	may
know	VB	know
that	IN	that
in	IN	in
the	DT	the
human	JJ	human
retina	NN	retina
,	,	,
there	EX	there
are	VBP	be
different	JJ	different
types	NNS	type
of	IN	of
receptors	NNS	receptor
,	,	,
so	RB	so
photoreceptors	NNS	photoreceptor
,	,	,
so	RB	so
receptors	NNS	receptor
that	WDT	that
sense	VBP	sense
light	NN	light
.	SENT	.
And	CC	and
classically	RB	classically
,	,	,
we	PP	we
distinguish	VBP	distinguish
two	CD	two
types	NNS	type
,	,	,
the	DT	the
rods	NNS	rod
and	CC	and
the	DT	the
cones	NNS	cone
.	SENT	.
Now	RB	now
the	DT	the
rods	NNS	rod
only	RB	only
contribute	VBP	contribute
to	TO	to
a	DT	a
visual	JJ	visual
impression	NN	impression
under	IN	under
very	RB	very
dim	JJ	dim
lighting	NN	lighting
conditions	NNS	condition
.	SENT	.
And	CC	and
here	RB	here
,	,	,
in	IN	in
the	DT	the
background	NN	background
,	,	,
you	PP	you
now	RB	now
see	VBP	see
a	DT	a
picture	NN	picture
that	WDT	that
might	MD	might
,	,	,
more	RBR	more
or	CC	or
less	RBR	less
,	,	,
be	VB	be
brought	VBN	bring
about	RB	about
by	IN	by
only	RB	only
the	DT	the
involvement	NN	involvement
of	IN	of
the	DT	the
rods	NNS	rod
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
can	MD	can
see	VB	see
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	JJ	<unknown>
only	JJ	only
shades	NNS	shade
of	IN	of
gray	JJ	gray
,	,	,
it	PP	it
'	POS	'
s	NN	S
slightly	RB	slightly
blurred	VBD	blur
,	,	,
and	CC	and
around	IN	around
the	DT	the
point	NN	point
of	IN	of
fixation	NN	fixation
,	,	,
which	WDT	which
is	VBZ	be
indicated	VBN	indicate
by	IN	by
the	DT	the
gray	JJ	gray
dot	NN	dot
here	RB	here
,	,	,
you	PP	you
have	VBP	have
a	DT	a
little	JJ	little
scotoma	NN	scotoma
,	,	,
so	RB	so
an	DT	an
area	NN	area
where	WRB	where
you	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
see	VBP	see
anything	NN	anything
.	SENT	.
Now	RB	now
who	WP	who
recognizes	VBZ	recognize
what	WP	what
that	DT	that
is	VBZ	be
?	SENT	?
Yeah	RB	yeah
,	,	,
excellent	JJ	excellent
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
way	RB	way
easier	JJR	easy
,	,	,
and	CC	and
the	DT	the
majority	NN	majority
of	IN	of
you	PP	you
will	MD	will
recognize	VB	recognize
what	WP	what
it	PP	it
is	VBZ	be
,	,	,
when	WRB	when
I	PP	I
now	RB	now
switch	VBP	switch
to	TO	to
the	DT	the
next	JJ	next
slide	NN	slide
,	,	,
which	WDT	which
is	VBZ	be
brought	VBN	bring
about	RB	about
by	IN	by
the	DT	the
involvement	NN	involvement
of	IN	of
the	DT	the
cones	NNS	cone
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
town	NN	town
hall	NN	hall
of	IN	of
Basel	NP	Basel
,	,	,
but	CC	but
now	RB	now
you	PP	you
can	MD	can
appreciate	VB	appreciate
the	DT	the
colors	NNS	color
,	,	,
fine	JJ	fine
details	NNS	detail
.	SENT	.
And	CC	and
if	IN	if
this	DT	this
was	VBD	be
animated	VBN	animate
,	,	,
you	PP	you
'	POS	'
d	NN	d
even	RB	even
see	VBP	see
fine	JJ	fine
details	NNS	detail
in	IN	in
motion	NN	motion
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
whole	JJ	whole
story	NN	story
,	,	,
because	IN	because
only	RB	only
fairly	RB	fairly
recently	RB	recently
,	,	,
only	RB	only
in	IN	in
the	DT	the
early	RB	early
2000s	JJ	<unknown>
,	,	,
another	DT	another
type	NN	type
of	IN	of
cell	NN	cell
has	VBZ	have
been	VBN	be
discovered	VBN	discover
,	,	,
and	CC	and
we	PP	we
call	VBP	call
them	PP	them
retinal	JJ	retinal
ganglion	NN	ganglion
cells	NNS	cell
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
might	MD	might
ask	VB	ask
yourselves	PP	yourselves
,	,	,
"	``	"
What	WP	what
picture	NN	picture
is	VBZ	be
she	PP	she
going	VBG	go
to	TO	to
show	VB	show
next	JJ	next
?	SENT	?
"	``	"
But	CC	but
I	PP	I
'	POS	'
ll	NNS	<unknown>
have	VBP	have
to	TO	to
disappoint	VB	disappoint
you	PP	you
.	SENT	.
.	SENT	.
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
,	,	,
and	CC	and
I	PP	I
actually	RB	actually
can	MD	can
'	''	'
t	NN	t
,	,	,
show	VBP	show
another	DT	another
picture	NN	picture
.	SENT	.
Because	IN	because
from	IN	from
all	DT	all
we	PP	we
know	VBP	know
,	,	,
these	DT	these
cells	NNS	cell
do	VBP	do
not	RB	not
contribute	VB	contribute
to	TO	to
a	DT	a
visual	JJ	visual
impression	NN	impression
.	SENT	.
But	CC	but
they	PP	they
are	VBP	be
exclusively	RB	exclusively
designed	VBN	design
to	TO	to
sense	VB	sense
short	JJ	short
wavelength	NN	wavelength
proportions	NNS	proportion
in	IN	in
daylight	NN	daylight
.	SENT	.
Sometimes	RB	sometimes
,	,	,
we	PP	we
also	RB	also
call	VBP	call
this	DT	this
blue	JJ	blue
light	NN	light
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
designed	VBN	design
to	TO	to
extract	VB	extract
important	JJ	important
information	NN	information
about	IN	about
the	DT	the
time	NN	time
of	IN	of
day	NN	day
from	IN	from
the	DT	the
environment	NN	environment
and	CC	and
pass	VB	pass
this	DT	this
on	RP	on
to	TO	to
the	DT	the
internal	JJ	internal
biological	JJ	biological
clock	NN	clock
in	IN	in
the	DT	the
brain	NN	brain
.	SENT	.
And	CC	and
I	PP	I
guess	VBP	guess
you	PP	you
'	''	'
ve	NNS	<unknown>
all	RB	all
experienced	VBN	experience
how	WRB	how
well	RB	well
this	DT	this
biological	JJ	biological
timing	NN	timing
system	NN	system
,	,	,
this	DT	this
connection	NN	connection
between	IN	between
our	PP$	our
biological	JJ	biological
clock	NN	clock
and	CC	and
the	DT	the
external	JJ	external
world	NN	world
,	,	,
or	CC	or
our	PP$	our
eyes	NNS	eye
,	,	,
works	VBZ	work
when	WRB	when
we	PP	we
,	,	,
for	IN	for
example	NN	example
,	,	,
travel	NN	travel
across	IN	across
time	NN	time
zones	NNS	zone
.	SENT	.
Now	RB	now
how	WRB	how
much	JJ	much
light	NN	light
do	VBP	do
we	PP	we
actually	RB	actually
need	VBP	need
?	SENT	?
How	WRB	how
much	JJ	much
light	NN	light
is	VBZ	be
enough	RB	enough
for	IN	for
the	DT	the
positive	JJ	positive
effects	NNS	effect
on	IN	on
,	,	,
for	IN	for
instance	NN	instance
,	,	,
sleep	VBP	sleep
to	TO	to
occur	VB	occur
?	SENT	?
And	CC	and
I	PP	I
have	VBP	have
to	TO	to
admit	VB	admit
,	,	,
this	DT	this
is	VBZ	be
not	RB	not
so	RB	so
easy	JJ	easy
to	TO	to
answer	VB	answer
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
what	WP	what
we	PP	we
have	VBP	have
to	TO	to
keep	VB	keep
in	IN	in
keep	NN	keep
in	IN	in
mind	NN	mind
is	VBZ	be
that	IN	that
the	DT	the
biological	JJ	biological
timing	NN	timing
system	NN	system
has	VBZ	have
evolved	VBN	evolve
under	IN	under
the	DT	the
open	JJ	open
sky	NN	sky
and	CC	and
not	RB	not
in	IN	in
offices	NNS	office
or	CC	or
museums	NNS	museum
.	SENT	.
So	RB	so
it	PP	it
is	VBZ	be
also	RB	also
optimally	RB	optimally
tuned	VBN	tune
to	TO	to
the	DT	the
conditions	NNS	condition
we	PP	we
find	VBP	find
outside	RB	outside
.	SENT	.
Office	NN	office
light	NN	light
or	CC	or
light	NN	light
in	IN	in
rooms	NNS	room
is	VBZ	be
in	IN	in
no	DT	no
way	NN	way
comparable	JJ	comparable
to	TO	to
what	WP	what
we	PP	we
find	VBP	find
outside	RB	outside
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
from	IN	from
a	DT	a
scientific	JJ	scientific
perspective	NN	perspective
,	,	,
I	PP	I
can	MD	can
only	RB	only
recommend	VB	recommend
you	PP	you
to	TO	to
spend	VB	spend
as	IN	as
much	JJ	much
time	NN	time
as	IN	as
you	PP	you
can	MD	can
under	IN	under
the	DT	the
open	JJ	open
sky	NN	sky
,	,	,
but	CC	but
try	VBP	try
to	TO	to
make	VB	make
it	PP	it
at	IN	at
least	JJS	least
30	CD	@card@
minutes	NNS	minute
per	IN	per
day	NN	day
.	SENT	.
Now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
finally	RB	finally
talk	VBP	talk
about	RB	about
sleep	VB	sleep
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NN	ve
repeatedly	RB	repeatedly
alluded	VBD	allude
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
daylight	NN	daylight
is	VBZ	be
beneficial	JJ	beneficial
and	CC	and
important	JJ	important
for	IN	for
sleep	NN	sleep
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
context	NN	context
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
a	DT	a
little	JJ	little
story	NN	story
.	SENT	.
So	IN	so
last	JJ	last
year	NN	year
,	,	,
I	PP	I
had	VBD	have
to	TO	to
go	VB	go
to	TO	to
hospital	NN	hospital
for	IN	for
surgery	NN	surgery
.	SENT	.
And	CC	and
generally	RB	generally
,	,	,
the	DT	the
hospital	NN	hospital
environment	NN	environment
is	VBZ	be
a	DT	a
very	RB	very
challenging	VBG	challenge
one	CD	one
for	IN	for
sleep	NN	sleep
.	SENT	.
Because	IN	because
you	PP	you
spend	VBP	spend
way	RB	way
too	RB	too
much	JJ	much
time	NN	time
in	IN	in
bed	NN	bed
,	,	,
not	RB	not
moving	VBG	move
much	RB	much
.	SENT	.
You	PP	you
might	MD	might
be	VB	be
in	IN	in
pain	NN	pain
.	SENT	.
Now	RB	now
and	CC	and
then	RB	then
,	,	,
someone	NN	someone
comes	VBZ	come
in	IN	in
to	TO	to
check	VB	check
on	IN	on
you	PP	you
,	,	,
even	RB	even
during	IN	during
the	DT	the
night	NN	night
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
as	IN	as
lucky	JJ	lucky
as	IN	as
I	PP	I
was	VBD	be
,	,	,
you	PP	you
have	VBP	have
a	DT	a
snoring	VBG	snore
roommate	NN	roommate
.	SENT	.
And	CC	and
because	IN	because
you	PP	you
,	,	,
of	IN	of
course	NN	course
,	,	,
don	NN	don
'	POS	'
t	NN	t
get	VB	get
a	DT	a
lot	NN	lot
of	IN	of
daylight	NN	daylight
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
many	JJ	many
people	NNS	people
,	,	,
while	IN	while
they	PP	they
'	POS	'
re	NN	re
in	IN	in
hospital	NN	hospital
,	,	,
ask	VB	ask
for	IN	for
sleep	NN	sleep
medication	NN	medication
.	SENT	.
But	CC	but
as	IN	as
I	PP	I
consider	VBP	consider
myself	PP	myself
to	TO	to
be	VB	be
a	DT	a
generally	RB	generally
good	JJ	good
sleeper	NN	sleeper
,	,	,
and	CC	and
also	RB	also
because	IN	because
I	PP	I
know	VBP	know
how	WRB	how
these	DT	these
drugs	NNS	drug
work	NN	work
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
this	DT	this
.	SENT	.
But	CC	but
I	PP	I
knew	VBD	know
there	EX	there
was	VBD	be
something	NN	something
I	PP	I
could	MD	could
do	VB	do
to	TO	to
help	VB	help
my	PP$	my
body	NN	body
sleep	NN	sleep
as	IN	as
well	RB	well
as	RB	as
possible	JJ	possible
,	,	,
even	RB	even
in	IN	in
this	DT	this
situation	NN	situation
.	SENT	.
And	CC	and
that	WDT	that
was	VBD	be
to	TO	to
maximize	VB	maximize
exposure	NN	exposure
to	TO	to
daylight	NN	daylight
.	SENT	.
Because	IN	because
as	IN	as
a	DT	a
sleep	NN	sleep
scientist	NN	scientist
,	,	,
of	IN	of
course	NN	course
,	,	,
I	PP	I
know	VBP	know
about	IN	about
the	DT	the
research	NN	research
findings	NNS	finding
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
the	DT	the
more	JJR	more
daylight	NN	daylight
that	IN	that
you	PP	you
get	VBP	get
,	,	,
the	DT	the
more	RBR	more
tired	JJ	tired
you	PP	you
will	MD	will
be	VB	be
in	IN	in
the	DT	the
evening	NN	evening
,	,	,
the	DT	the
easier	JJR	easy
it	PP	it
will	MD	will
be	VB	be
for	IN	for
you	PP	you
to	TO	to
fall	VB	fall
asleep	RB	asleep
and	CC	and
the	DT	the
better	JJR	good
the	DT	the
experienced	JJ	experienced
sleep	NN	sleep
quality	NN	quality
.	SENT	.
And	CC	and
in	IN	in
addition	NN	addition
,	,	,
daylight	NN	daylight
exposure	NN	exposure
has	VBZ	have
also	RB	also
been	VBN	be
shown	VBN	show
to	TO	to
increase	VB	increase
proportions	NNS	proportion
of	IN	of
deep	JJ	deep
sleep	NN	sleep
,	,	,
which	WDT	which
again	RB	again
has	VBZ	have
been	VBN	be
linked	VBN	link
to	TO	to
processes	NNS	process
of	IN	of
tissue	NN	tissue
repair	NN	repair
,	,	,
something	NN	something
not	RB	not
to	TO	to
be	VB	be
underestimated	VBN	underestimate
after	IN	after
surgery	NN	surgery
.	SENT	.
And	CC	and
beyond	IN	beyond
the	DT	the
effects	NNS	effect
on	IN	on
sleep	NN	sleep
,	,	,
we	PP	we
know	VBP	know
that	IN	that
patients	NNS	patient
in	IN	in
brighter	JJR	bright
rooms	NNS	room
experience	VBP	experience
less	JJR	less
pain	NN	pain
and	CC	and
less	JJR	less
stress	NN	stress
.	SENT	.
And	CC	and
also	RB	also
the	DT	the
effects	NNS	effect
of	IN	of
daylight	NN	daylight
on	IN	on
mood	NN	mood
are	VBP	be
well	RB	well
established	VBN	establish
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
it	PP	it
might	MD	might
be	VB	be
time	NN	time
for	IN	for
me	PP	me
to	TO	to
put	VB	put
into	IN	into
practice	NN	practice
what	WP	what
I	PP	I
often	RB	often
preach	VBP	preach
.	SENT	.
And	CC	and
I	PP	I
have	VBP	have
to	TO	to
confess	VB	confess
that	IN	that
usually	RB	usually
I	NP	I
'	POS	'
m	NN	m
much	RB	much
better	RBR	well
at	IN	at
giving	VBG	give
advice	NN	advice
than	IN	than
following	VBG	follow
it	PP	it
myself	PP	myself
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
I	PP	I
did	VBD	do
.	SENT	.
So	RB	so
first	RB	first
,	,	,
when	WRB	when
it	PP	it
became	VBD	become
free	JJ	free
,	,	,
I	PP	I
asked	VBD	ask
the	DT	the
nurses	NNS	nurse
to	TO	to
move	VB	move
my	PP$	my
bed	NN	bed
to	TO	to
the	DT	the
window	NN	window
place	NN	place
,	,	,
because	IN	because
that	WDT	that
does	VBZ	do
not	RB	not
only	RB	only
give	VB	give
you	PP	you
power	NN	power
of	IN	of
the	DT	the
fresh	JJ	fresh
air	NN	air
supply	NN	supply
,	,	,
which	WDT	which
is	VBZ	be
highly	RB	highly
recommended	VBN	recommend
in	IN	in
the	DT	the
hospital	NN	hospital
,	,	,
but	CC	but
it	PP	it
also	RB	also
maximizes	VBZ	maximize
daylight	NN	daylight
exposure	NN	exposure
even	RB	even
though	IN	though
you	PP	you
'	POS	'
re	NN	re
inside	NN	inside
.	SENT	.
Second	RB	second
,	,	,
as	RB	as
soon	RB	soon
as	IN	as
I	PP	I
could	MD	could
leave	VB	leave
my	PP$	my
bed	NN	bed
again	RB	again
,	,	,
I	PP	I
went	VBD	go
to	TO	to
the	DT	the
park	NN	park
for	IN	for
short	JJ	short
walks	NNS	walk
.	SENT	.
And	CC	and
last	JJ	last
,	,	,
every	DT	every
meal	NN	meal
I	PP	I
had	VBD	have
,	,	,
I	PP	I
tried	VBD	try
to	TO	to
take	VB	take
on	IN	on
the	DT	the
little	JJ	little
balcony	NN	balcony
.	SENT	.
Did	VBD	do
it	PP	it
work	VBP	work
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
bit	NN	bit
difficult	JJ	difficult
to	TO	to
say	VB	say
,	,	,
because	IN	because
it	PP	it
of	IN	of
course	NN	course
was	VBD	be
a	DT	a
single-case	NN	<unknown>
study	NN	study
.	SENT	.
But	CC	but
from	IN	from
patients	NNS	patient
suffering	VBG	suffer
from	IN	from
insomnia	NN	insomnia
,	,	,
so	RB	so
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
common	JJ	common
sleep	NN	sleep
disorders	NNS	disorder
,	,	,
we	PP	we
know	VBP	know
that	IN	that
light	JJ	light
therapy	NN	therapy
is	VBZ	be
beneficial	JJ	beneficial
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
encourage	VB	encourage
all	DT	all
of	IN	of
you	PP	you
,	,	,
and	CC	and
perhaps	RB	perhaps
especially	RB	especially
those	DT	those
who	WP	who
might	MD	might
belong	VB	belong
to	TO	to
the	DT	the
25	CD	@card@
percent	NN	percent
suffering	NN	suffering
from	IN	from
sleep	NN	sleep
problems	NNS	problem
,	,	,
to	TO	to
start	VB	start
your	PP$	your
own	JJ	own
single-case	NN	<unknown>
study	NN	study
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
