Diminish	VB	diminish
past	JJ	past
year	NN	year
has	VBZ	have
made	VBN	make
clear	JJ	clear
that	IN	that
the	DT	the
way	NN	way
we	PP	we
work	VBP	work
has	VBZ	have
maxed	VBN	<unknown>
out	RP	out
our	PP$	our
psyches	NNS	psyche
and	CC	and
our	PP$	our
planet	NN	planet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
,	,	,
of	IN	of
course	NN	course
,	,	,
left	VBD	leave
us	PP	us
unprepared	JJ	unprepared
to	TO	to
support	VB	support
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
in	IN	in
our	PP$	our
communities	NNS	community
during	IN	during
the	DT	the
worst	JJS	bad
of	IN	of
times	NNS	time
.	SENT	.
And	CC	and
many	JJ	many
of	IN	of
you	PP	you
have	VBP	have
told	VBN	tell
me	PP	me
because	IN	because
of	IN	of
the	DT	the
last	JJ	last
year	NN	year
,	,	,
your	PP$	your
ambitions	NNS	ambition
have	VBP	have
changed	VBN	change
.	SENT	.
You	PP	you
are	VBP	be
defining	VBG	define
success	NN	success
differently	RB	differently
,	,	,
and	CC	and
you	PP	you
want	VBP	want
to	TO	to
align	VB	align
your	PP$	your
work	NN	work
with	IN	with
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
in	IN	in
the	DT	the
world	NN	world
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
ready	JJ	ready
for	IN	for
a	DT	a
reset	NN	reset
.	SENT	.
All	DT	all
right	NN	right
,	,	,
Maneesh	NP	<unknown>
,	,	,
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
stagnant	JJ	stagnant
and	CC	and
unfulfilling	JJ	<unknown>
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
find	VB	find
something	NN	something
more	RBR	more
contributive	JJ	contributive
.	SENT	.
I	PP	I
think	VBP	think
I	PP	I
just	RB	just
made	VBD	make
up	RP	up
a	DT	a
word	NN	word
there	RB	there
.	SENT	.
But	CC	but
you	PP	you
get	VBP	get
the	DT	the
idea	NN	idea
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
contribute	VB	contribute
more	RBR	more
to	TO	to
society	NN	society
and	CC	and
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
a	DT	a
way	NN	way
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
Oh	UH	oh
,	,	,
I	PP	I
like	VBP	like
that	DT	that
word	NN	word
.	SENT	.
Contributive	JJ	contributive
.	SENT	.
Yeah	RB	yeah
.	SENT	.
So	RB	so
unlike	IN	unlike
the	DT	the
usual	JJ	usual
career	NN	career
or	CC	or
startup	NN	startup
guidebooks	NNS	guidebook
or	CC	or
podcasts	NNS	podcast
,	,	,
this	DT	this
project	NN	project
has	VBZ	have
a	DT	a
twist	NN	twist
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
finding	VBG	find
a	DT	a
new	JJ	new
job	NN	job
or	CC	or
what	WP	what
color	VBP	color
your	PP$	your
parachute	NN	parachute
is	VBZ	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
considering	VBG	consider
really	RB	really
deeply	RB	deeply
how	WRB	how
you	PP	you
can	MD	can
align	VB	align
your	PP$	your
personal	JJ	personal
values	NNS	value
with	IN	with
your	PP$	your
professional	JJ	professional
ambitions	NNS	ambition
in	IN	in
a	DT	a
post	NN	post
2020	CD	@card@
economy	NN	economy
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
going	VBG	go
to	TO	to
mean	VB	mean
very	RB	very
different	JJ	different
things	NNS	thing
for	IN	for
different	JJ	different
people	NNS	people
.	SENT	.
A	DT	a
couple	NN	couple
of	IN	of
months	NNS	month
ago	RB	ago
,	,	,
one	CD	one
hundred	CD	hundred
and	CC	and
fifty	CD	fifty
listeners	NNS	listener
volunteered	VBN	volunteer
to	TO	to
beta	JJ	beta
test	NN	test
the	DT	the
Zig-Zag	NN	zig-zag
project	NN	project
.	SENT	.
They	PP	they
gave	VBD	give
me	PP	me
feedback	NN	feedback
on	IN	on
the	DT	the
assignments	NNS	assignment
.	SENT	.
They	PP	they
shared	VBD	share
their	PP$	their
hopes	NNS	hope
and	CC	and
their	PP$	their
fears	NNS	fear
,	,	,
and	CC	and
they	PP	they
took	VBD	take
a	DT	a
pretty	RB	pretty
lengthy	JJ	lengthy
survey	NN	survey
anonymously	RB	anonymously
,	,	,
which	WDT	which
turned	VBD	turn
up	RP	up
lots	NNS	lot
of	IN	of
fascinating	JJ	fascinating
data	NNS	datum
points	NNS	point
.	SENT	.
All	DT	all
of	IN	of
that	WDT	that
has	VBZ	have
been	VBN	be
compiled	VBN	compile
into	IN	into
this	DT	this
six	CD	six
episode	NN	episode
season	NN	season
for	IN	for
anyone	NN	anyone
.	SENT	.
So	RB	so
listen	VB	listen
along	RP	along
to	TO	to
all	DT	all
six	CD	six
episodes	NNS	episode
or	CC	or
better	RBR	well
yet	RB	yet
,	,	,
join	VB	join
us	PP	us
,	,	,
do	VBP	do
the	DT	the
exercises	NNS	exercise
,	,	,
see	VBP	see
if	IN	if
you	PP	you
can	MD	can
find	VB	find
your	PP$	your
next	JJ	next
zig	NN	zig
zag	NN	zag
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
more	RBR	more
about	RB	about
where	WRB	where
you	PP	you
can	MD	can
get	VB	get
more	JJR	more
info	NN	info
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
show	NN	show
.	SENT	.
For	IN	for
now	RB	now
,	,	,
off	IN	off
we	PP	we
go	VBP	go
.	SENT	.
In	IN	in
2020	CD	@card@
,	,	,
our	PP$	our
lives	NNS	life
were	VBD	be
dictated	VBN	dictate
by	IN	by
the	DT	the
headlines	NNS	headline
,	,	,
the	DT	the
pandemic	JJ	pandemic
,	,	,
racial	JJ	racial
injustice	NN	injustice
,	,	,
a	DT	a
fraught	JJ	fraught
election	NN	election
here	RB	here
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NN	S
.	SENT	.
,	,	,
intense	JJ	intense
natural	JJ	natural
disasters	NNS	disaster
.	SENT	.
And	CC	and
we	PP	we
saw	VBD	see
the	DT	the
world	NN	world
differently	RB	differently
because	IN	because
we	PP	we
were	VBD	be
alone	RB	alone
or	CC	or
we	PP	we
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
away	RB	away
from	IN	from
our	PP$	our
family	NN	family
because	IN	because
we	PP	we
got	VBD	get
sick	JJ	sick
or	CC	or
we	PP	we
realized	VBD	realize
how	WRB	how
lucky	JJ	lucky
we	PP	we
were	VBD	be
to	TO	to
stay	VB	stay
healthy	JJ	healthy
because	IN	because
maybe	RB	maybe
we	PP	we
lost	VBD	lose
our	PP$	our
jobs	NNS	job
or	CC	or
we	PP	we
saw	VBD	see
how	WRB	how
fortunate	JJ	fortunate
we	PP	we
were	VBD	be
to	TO	to
continue	VB	continue
making	VBG	make
more	JJR	more
money	NN	money
than	IN	than
most	JJS	most
.	SENT	.
Now	RB	now
,	,	,
more	JJR	more
than	IN	than
a	DT	a
quarter	NN	quarter
of	IN	of
American	JJ	American
workers	NNS	worker
don	NN	don
'	POS	'
t	NN	t
have	VBP	have
a	DT	a
job	NN	job
that	WDT	that
lifts	VBZ	lift
them	PP	them
above	IN	above
the	DT	the
poverty	NN	poverty
level	NN	level
.	SENT	.
Millions	NNS	million
of	IN	of
small	JJ	small
businesses	NNS	business
have	VBP	have
scaled	VBN	scale
back	RB	back
or	CC	or
closed	VBD	close
entirely	RB	entirely
.	SENT	.
A	DT	a
quarter	NN	quarter
of	IN	of
adults	NNS	adult
in	IN	in
the	DT	the
US	NP	US
say	VBP	say
that	IN	that
they	PP	they
or	CC	or
someone	NN	someone
in	IN	in
their	PP$	their
household	NN	household
was	VBD	be
laid	VBN	lay
off	RP	off
or	CC	or
lost	VBD	lose
their	PP$	their
job	NN	job
because	IN	because
of	IN	of
the	DT	the
coronavirus	NN	coronavirus
outbreak	NN	outbreak
,	,	,
with	IN	with
15	CD	@card@
percent	NN	percent
saying	VBG	say
it	PP	it
happened	VBD	happen
to	TO	to
them	PP	them
personally	RB	personally
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
pretty	RB	pretty
much	JJ	much
what	WP	what
Zig-Zag	NN	zig-zag
project	NN	project
beta	NN	beta
testers	NNS	tester
told	VBD	tell
me	PP	me
to	TO	to
.	SENT	.
13	CD	@card@
percent	NN	percent
reported	VBD	report
losing	VBG	lose
their	PP$	their
job	NN	job
.	SENT	.
But	CC	but
let	VB	let
'	''	'
s	NNS	<unknown>
get	VBP	get
into	IN	into
the	DT	the
nuance	NN	nuance
of	IN	of
what	WP	what
you	PP	you
told	VBD	tell
me	PP	me
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
pretty	RB	pretty
illuminating	VBG	illuminate
of	IN	of
those	DT	those
listeners	NNS	listener
who	WP	who
took	VBD	take
the	DT	the
Zig-Zag	NN	zig-zag
Project	NN	project
survey	NN	survey
,	,	,
70	CD	@card@
percent	NN	percent
were	VBD	be
women	NNS	woman
.	SENT	.
Now	RB	now
women	NNS	woman
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
respond	VB	respond
to	TO	to
surveys	NNS	survey
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
ll	NNS	<unknown>
take	VBP	take
that	IN	that
with	IN	with
a	DT	a
grain	NN	grain
of	IN	of
salt	NN	salt
.	SENT	.
And	CC	and
on	IN	on
the	DT	the
whole	NN	whole
,	,	,
this	DT	this
group	NN	group
has	VBZ	have
some	DT	some
advantages	NNS	advantage
.	SENT	.
Most	JJS	most
of	IN	of
you	PP	you
say	VBP	say
you	PP	you
'	''	'
ve	NNS	<unknown>
got	VBD	get
a	DT	a
college	NN	college
degree	NN	degree
or	CC	or
higher	JJR	high
.	SENT	.
Many	JJ	many
of	IN	of
you	PP	you
are	VBP	be
married	JJ	married
or	CC	or
have	VB	have
a	DT	a
partner	NN	partner
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
some	DT	some
backup	NN	backup
.	SENT	.
A	DT	a
quarter	NN	quarter
of	IN	of
you	PP	you
say	VBP	say
you	PP	you
run	VB	run
your	PP$	your
own	JJ	own
business	NN	business
,	,	,
but	CC	but
only	RB	only
one	CD	one
person	NN	person
had	VBD	have
to	TO	to
shut	VB	shut
down	RP	down
.	SENT	.
And	CC	and
now	RB	now
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
data	NNS	datum
point	VBP	point
where	WRB	where
things	NNS	thing
I	PP	I
think	VBP	think
it	PP	it
really	RB	really
interesting	JJ	interesting
,	,	,
40	CD	@card@
percent	NN	percent
of	IN	of
you	PP	you
say	VBP	say
that	IN	that
big	JJ	big
social	JJ	social
issues	NNS	issue
have	VBP	have
always	RB	always
been	VBN	be
at	IN	at
the	DT	the
heart	NN	heart
of	IN	of
who	WP	who
you	PP	you
are	VBP	be
and	CC	and
what	WP	what
you	PP	you
do	VBP	do
.	SENT	.
But	CC	but
another	DT	another
20	CD	@card@
percent	NN	percent
,	,	,
one	CD	one
out	IN	out
of	IN	of
five	CD	five
say	VBP	say
that	IN	that
20	CD	@card@
,	,	,
20	CD	@card@
changed	VBD	change
your	PP$	your
understanding	NN	understanding
of	IN	of
the	DT	the
world	NN	world
and	CC	and
social	JJ	social
issues	NNS	issue
,	,	,
and	CC	and
you	PP	you
want	VBP	want
that	IN	that
to	TO	to
be	VB	be
reflected	VBN	reflect
in	IN	in
your	PP$	your
work	NN	work
going	VBG	go
forward	RB	forward
.	SENT	.
If	IN	if
that	DT	that
statistic	NN	statistic
translates	VBZ	translate
to	TO	to
the	DT	the
workforce	NN	workforce
at	IN	at
large	JJ	large
,	,	,
even	RB	even
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
,	,	,
we	PP	we
could	MD	could
see	VB	see
some	DT	some
huge	JJ	huge
and	CC	and
interesting	JJ	interesting
shifts	NNS	shift
in	IN	in
how	WRB	how
people	NNS	people
work	VBP	work
and	CC	and
do	VBP	do
business	NN	business
in	IN	in
years	NNS	year
to	TO	to
come	VB	come
.	SENT	.
Your	PP$	your
top	JJ	top
issues	NNS	issue
were	VBD	be
climate	NN	climate
change	NN	change
,	,	,
wealth	NN	wealth
disparity	NN	disparity
and	CC	and
racial	JJ	racial
injustice	NN	injustice
.	SENT	.
And	CC	and
I	PP	I
mean	VBP	mean
,	,	,
Zig-Zag	NN	zig-zag
listeners	NNS	listener
,	,	,
you	PP	you
'	POS	'
re	NN	re
obviously	RB	obviously
motivated	VBN	motivate
people	NNS	people
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
listening	VBG	listen
to	TO	to
the	DT	the
show	NN	show
.	SENT	.
Right	RB	right
.	SENT	.
And	CC	and
beta	JJ	beta
testers	NNS	tester
,	,	,
you	PP	you
especially	RB	especially
you	PP	you
volunteered	VBD	volunteer
to	TO	to
be	VB	be
my	PP$	my
guinea	NN	guinea
pigs	NNS	pig
.	SENT	.
But	CC	but
I	PP	I
heard	VBD	hear
lots	NNS	lot
of	IN	of
folks	NNS	folk
say	VBP	say
they	PP	they
are	VBP	be
balancing	VBG	balance
this	DT	this
strange	JJ	strange
sense	NN	sense
of	IN	of
optimism	NN	optimism
right	RB	right
now	RB	now
with	IN	with
feeling	VBG	feel
freaked	VBN	freak
out	RP	out
and	CC	and
exhausted	VBN	exhaust
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
to	TO	to
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
fun	NN	fun
but	CC	but
muddy	JJ	muddy
,	,	,
exciting	JJ	exciting
and	CC	and
scary	JJ	scary
.	SENT	.
I	PP	I
would	MD	would
like	VB	like
to	TO	to
float	VB	float
sometimes	RB	sometimes
not	RB	not
the	DT	the
constant	JJ	constant
swimming	NN	swimming
,	,	,
to	TO	to
survive	VB	survive
to	TO	to
some	DT	some
moments	NNS	moment
to	TO	to
exhale	VB	exhale
would	MD	would
be	VB	be
really	RB	really
nice	JJ	nice
.	SENT	.
Hi	UH	hi
,	,	,
this	DT	this
is	VBZ	be
Megan	NP	Megan
from	IN	from
Michigan	NP	Michigan
,	,	,
and	CC	and
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
frustrating	VBG	frustrate
and	CC	and
uplifting	VBG	uplift
.	SENT	.
And	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
figure	VB	figure
out	RP	out
why	WRB	why
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
a	DT	a
transition	NN	transition
point	NN	point
and	CC	and
full	JJ	full
of	IN	of
promise	NN	promise
.	SENT	.
And	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
get	VB	get
started	VBN	start
now	RB	now
.	SENT	.
Yeah	RB	yeah
,	,	,
I	PP	I
get	VBP	get
that	RB	that
.	SENT	.
And	CC	and
those	DT	those
of	IN	of
you	PP	you
who	WP	who
are	VBP	be
feeling	VBG	feel
flat	JJ	flat
out	IN	out
miserable	JJ	miserable
right	NN	right
now	RB	now
,	,	,
no	DT	no
sense	NN	sense
of	IN	of
optimism	NN	optimism
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
OK	JJ	OK
.	SENT	.
You	PP	you
have	VBP	have
company	NN	company
,	,	,
too	RB	too
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
a	DT	a
body	NN	body
blow	NN	blow
and	CC	and
total	JJ	total
blindside	NN	<unknown>
,	,	,
and	CC	and
I	PP	I
wish	VBP	wish
I	PP	I
could	MD	could
respond	VB	respond
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
slash	NN	slash
business	NN	business
as	IN	as
nonexistent	JJ	nonexistent
and	CC	and
lacking	JJ	lacking
energy	NN	energy
and	CC	and
time	NN	time
.	SENT	.
I	PP	I
would	MD	would
describe	VB	describe
this	DT	this
moment	NN	moment
in	IN	in
my	PP$	my
career	NN	career
as	IN	as
transitional	JJ	transitional
and	CC	and
testing	VBG	test
the	DT	the
limits	NNS	limit
of	IN	of
my	PP$	my
tolerance	NN	tolerance
to	TO	to
anxious	JJ	anxious
thoughts	NNS	thought
and	CC	and
feelings	NNS	feeling
.	SENT	.
Yeah	RB	yeah
,	,	,
those	DT	those
anxious	JJ	anxious
thoughts	NNS	thought
translated	VBN	translate
into	IN	into
sixty	CD	sixty
percent	NN	percent
of	IN	of
our	PP$	our
beta	JJ	beta
testers	NNS	tester
saying	VBG	say
that	IN	that
they	PP	they
think	VBP	think
about	RB	about
making	VBG	make
a	DT	a
big	JJ	big
change	NN	change
in	IN	in
their	PP$	their
life	NN	life
and	CC	and
work	VB	work
at	IN	at
least	JJS	least
once	IN	once
a	DT	a
day	NN	day
,	,	,
if	IN	if
not	RB	not
multiple	JJ	multiple
times	NNS	time
a	DT	a
day	NN	day
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NN	S
something	NN	something
you	PP	you
need	VBP	need
to	TO	to
know	VB	know
.	SENT	.
All	PDT	all
that	DT	that
thinking	NN	thinking
about	IN	about
making	VBG	make
a	DT	a
change	NN	change
that	WDT	that
is	VBZ	be
not	RB	not
ruminating	VBG	ruminate
,	,	,
that	WDT	that
is	VBZ	be
doing	VBG	do
some	DT	some
hard	JJ	hard
mental	JJ	mental
work	NN	work
doesn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
feel	VBP	feel
good	JJ	good
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
What	WP	what
I	PP	I
mean	VBP	mean
.	SENT	.
Exactly	RB	exactly
.	SENT	.
And	CC	and
your	PP$	your
first	JJ	first
assignment	NN	assignment
after	IN	after
the	DT	the
break	NN	break
.	SENT	.
At	IN	at
.	SENT	.
So	RB	so
maybe	RB	maybe
you	PP	you
remember	VBP	remember
on	IN	on
the	DT	the
last	JJ	last
season	NN	season
of	IN	of
Zig-Zag	NN	zig-zag
,	,	,
I	PP	I
had	VBD	have
a	DT	a
fabulous	JJ	fabulous
conversation	NN	conversation
with	IN	with
Chaplain	NN	chaplain
Greg	NP	Greg
Epstein	NP	Epstein
.	SENT	.
Greg	NP	Greg
is	VBZ	be
the	DT	the
humanist	NN	humanist
chaplain	NN	chaplain
at	IN	at
MIT	NP	MIT
and	CC	and
Harvard	NP	Harvard
and	CC	and
he	PP	he
writes	VBZ	write
about	IN	about
tech	NN	tech
and	CC	and
ethics	NNS	ethic
.	SENT	.
And	CC	and
we	PP	we
got	VBD	get
super	JJ	super
deep	JJ	deep
into	IN	into
resetting	VBG	reset
.	SENT	.
How	WRB	how
we	PP	we
can	MD	can
possibly	RB	possibly
reset	VB	reset
the	DT	the
tech	NN	tech
industry	NN	industry
is	VBZ	be
moral	JJ	moral
compass	NN	compass
.	SENT	.
But	CC	but
months	NNS	month
after	IN	after
we	PP	we
taped	VBD	tape
that	DT	that
interview	NN	interview
,	,	,
Gregg	NP	Gregg
told	VBD	tell
me	PP	me
about	IN	about
a	DT	a
concept	NN	concept
that	WDT	that
has	VBZ	have
nothing	NN	nothing
to	TO	to
do	VB	do
with	IN	with
the	DT	the
tech	NN	tech
industry	NN	industry
and	CC	and
a	DT	a
lot	NN	lot
to	TO	to
do	VB	do
with	IN	with
rethinking	VBG	rethink
how	WRB	how
we	PP	we
live	VBP	live
and	CC	and
work	VBP	work
.	SENT	.
Maybe	RB	maybe
you	PP	you
'	POS	'
ve	NN	ve
already	RB	already
heard	VBN	hear
of	IN	of
the	DT	the
Neutral	JJ	neutral
Zone	NP	Zone
?	SENT	?
I	PP	I
had	VBD	have
not	RB	not
.	SENT	.
Here	RB	here
'	POS	'
s	JJ	<unknown>
Greg	NP	Greg
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
Anoush	NP	<unknown>
,	,	,
it	PP	it
is	VBZ	be
Greg	NP	Greg
Epstein	NP	Epstein
here	RB	here
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
finally	RB	finally
getting	VBG	get
a	DT	a
chance	NN	chance
to	TO	to
record	VB	record
this	DT	this
voice	NN	voice
memo	NN	memo
for	IN	for
you	PP	you
,	,	,
you	PP	you
asked	VBD	ask
me	PP	me
to	TO	to
catch	VB	catch
you	PP	you
up	RP	up
on	IN	on
what	WP	what
feels	VBZ	feel
like	IN	like
an	DT	an
absolute	JJ	absolute
lifetime	NN	lifetime
since	IN	since
we	PP	we
talked	VBD	talk
,	,	,
everybody	NN	everybody
questioning	VBG	question
