Sheryl	NP	Sheryl
made	VBN	make
of	IN	of
a	DT	a
wood	NN	wood
and	CC	and
plastic	NN	plastic
compound	NN	compound
,	,	,
attached	VBN	attach
with	IN	with
Velcro	NP	Velcro
straps	VBZ	strap
â	NP	<unknown>
big	JJ	big
,	,	,
thick	JJ	thick
,	,	,
five-ply	JJ	<unknown>
wool	NN	wool
socks	NNS	sock
on	IN	on
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
not	RB	not
the	DT	the
most	RBS	most
comfortable	JJ	comfortable
things	NNS	thing
,	,	,
but	CC	but
all	DT	all
I	NP	I
'	POS	'
d	NN	d
ever	RB	ever
known	VBN	know
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
up	RB	up
there	RB	there
in	IN	in
Boston	NP	Boston
against	IN	against
people	NNS	people
wearing	VBG	wear
legs	NNS	leg
made	VBN	make
of	IN	of
all	DT	all
things	NNS	thing
â	NP	<unknown>
carbon	NN	carbon
graphite	NN	graphite
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
shock	NN	shock
absorbers	NNS	absorber
in	IN	in
them	PP	them
and	CC	and
all	DT	all
sorts	NNS	sort
of	IN	of
things	NNS	thing
â	NP	<unknown>
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
looking	VBG	look
at	IN	at
me	PP	me
like	IN	like
,	,	,
OK	UH	OK
,	,	,
we	PP	we
know	VBP	know
who	WP	who
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
win	VB	win
this	DT	this
race	NN	race
.	SENT	.
And	CC	and
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
went	VBD	go
up	RP	up
there	RB	there
expecting	VBG	expect
â	NP	<unknown>
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
I	PP	I
was	VBD	be
expecting	VBG	expect
â	NP	<unknown>
but	CC	but
,	,	,
you	PP	you
know	VBP	know
,	,	,
when	WRB	when
I	PP	I
saw	VBD	see
a	DT	a
man	NN	man
who	WP	who
was	VBD	be
missing	VBG	miss
an	DT	an
entire	JJ	entire
leg	NN	leg
go	VB	go
up	RP	up
to	TO	to
the	DT	the
high	JJ	high
jump	NN	jump
,	,	,
hop	NN	hop
on	IN	on
one	CD	one
leg	NN	leg
to	TO	to
the	DT	the
high	JJ	high
jump	NN	jump
and	CC	and
clear	VB	clear
it	PP	it
at	IN	at
six	CD	six
feet	NNS	foot
,	,	,
two	CD	two
inches	NNS	inch
.	SENT	.
.	SENT	.
.	SENT	.
Dan	NP	Dan
O	NP	O
'	POS	'
Brien	NP	Brien
jumped	VBD	jump
5	CD	@card@
'	POS	'
11	CD	@card@
"	``	"
in	RB	in
'	''	'
96	CD	@card@
in	IN	in
Atlanta	NP	Atlanta
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
if	IN	if
it	PP	it
just	RB	just
gives	VBZ	give
you	PP	you
a	DT	a
comparison	NN	comparison
of	IN	of
â	NP	<unknown>
these	DT	these
are	VBP	be
truly	RB	truly
accomplished	VBN	accomplish
athletes	NNS	athlete
,	,	,
without	IN	without
qualifying	VBG	qualify
that	DT	that
word	NN	word
"	``	"
athlete	NN	athlete
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
give	VB	give
this	DT	this
a	DT	a
shot	NN	shot
:	:	:
heart	NN	heart
pounding	VBG	pound
,	,	,
I	PP	I
ran	VBD	run
my	PP$	my
first	JJ	first
race	NN	race
and	CC	and
I	PP	I
beat	VBP	beat
the	DT	the
national	JJ	national
record-holder	NN	record-holder
by	IN	by
three	CD	three
hundredths	NNS	hundredth
of	IN	of
a	DT	a
second	JJ	second
,	,	,
and	CC	and
became	VBD	become
the	DT	the
new	JJ	new
national	JJ	national
record-holder	NN	record-holder
on	IN	on
my	PP$	my
first	JJ	first
try	NN	try
out	RB	out
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
people	NNS	people
said	VBD	say
,	,	,
"	``	"
Aimee	NP	Aimee
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
speed	VB	speed
â	NP	<unknown>
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
natural	JJ	natural
speed	NN	speed
â	NP	<unknown>
but	CC	but
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
skill	NN	skill
or	CC	or
finesse	VB	finesse
going	VBG	go
down	RP	down
that	DT	that
track	NN	track
.	SENT	.
You	PP	you
were	VBD	be
all	DT	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
We	PP	we
all	RB	all
saw	VBD	see
how	WRB	how
hard	JJ	hard
you	PP	you
were	VBD	be
working	VBG	work
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
call	VB	call
the	DT	the
track	NN	track
coach	NN	coach
at	IN	at
Georgetown	NP	Georgetown
.	SENT	.
And	CC	and
I	PP	I
thank	VBP	thank
god	NN	god
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
just	RB	just
how	WRB	how
huge	JJ	huge
this	DT	this
man	NN	man
is	VBZ	be
in	IN	in
the	DT	the
track	NN	track
and	CC	and
field	NN	field
world	NN	world
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
coached	VBD	coach
five	CD	five
Olympians	NNS	Olympian
,	,	,
and	CC	and
the	DT	the
man	NN	man
'	POS	'
s	NN	S
office	NN	office
is	VBZ	be
lined	VBN	line
from	IN	from
floor	NN	floor
to	TO	to
ceiling	NN	ceiling
with	IN	with
All	DT	all
America	NP	America
certificates	NNS	certificate
of	IN	of
all	PDT	all
these	DT	these
athletes	NNS	athlete
he	PP	he
'	POS	'
s	NN	S
coached	VBD	coach
.	SENT	.
He	PP	he
'	POS	'
s	NN	S
just	RB	just
a	DT	a
rather	RB	rather
intimidating	JJ	intimidating
figure	NN	figure
.	SENT	.
And	CC	and
I	PP	I
called	VBD	call
him	PP	him
up	RP	up
and	CC	and
said	VBD	say
,	,	,
"	``	"
Listen	VB	listen
,	,	,
I	PP	I
ran	VBD	run
one	CD	one
race	NN	race
and	CC	and
I	PP	I
won	VBD	win
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
"	``	"
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
if	IN	if
I	PP	I
can	MD	can
,	,	,
you	PP	you
know	VBP	know
â	NP	<unknown>
I	PP	I
need	VBP	need
to	TO	to
just	RB	just
see	VB	see
if	IN	if
I	PP	I
can	MD	can
sit	VB	sit
in	IN	in
on	IN	on
some	DT	some
of	IN	of
your	PP$	your
practices	NNS	practice
,	,	,
see	VB	see
what	WP	what
drills	VBZ	drill
you	PP	you
do	VBP	do
and	CC	and
whatever	WDT	whatever
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
all	RB	all
I	PP	I
wanted	VBD	want
â	NP	<unknown>
just	RB	just
two	CD	two
practices	NNS	practice
.	SENT	.
"	''	"
Can	MD	can
I	PP	I
just	RB	just
sit	VBP	sit
in	IN	in
and	CC	and
see	VB	see
what	WP	what
you	PP	you
do	VBP	do
?	SENT	?
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
Well	UH	well
,	,	,
we	PP	we
should	MD	should
meet	VB	meet
first	RB	first
,	,	,
before	IN	before
we	PP	we
decide	VBP	decide
anything	NN	anything
.	SENT	.
"	``	"
You	PP	you
know	VBP	know
,	,	,
he	PP	he
'	POS	'
s	NN	S
thinking	NN	thinking
,	,	,
"	``	"
What	WP	what
am	VBP	be
I	PP	I
getting	VBG	get
myself	PP	myself
into	IN	into
?	SENT	?
"	''	"
So	RB	so
,	,	,
I	PP	I
met	VBD	meet
the	DT	the
man	NN	man
,	,	,
walked	VBD	walk
in	IN	in
his	PP$	his
office	NN	office
,	,	,
and	CC	and
saw	VBD	see
these	DT	these
posters	NNS	poster
and	CC	and
magazine	NN	magazine
covers	NNS	cover
of	IN	of
people	NNS	people
he	PP	he
has	VBZ	have
coached	VBN	coach
.	SENT	.
And	CC	and
we	PP	we
got	VBD	get
to	TO	to
talking	VBG	talk
,	,	,
and	CC	and
it	PP	it
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
great	JJ	great
partnership	NN	partnership
because	IN	because
he	PP	he
'	POS	'
d	NN	d
never	RB	never
coached	VBD	coach
a	DT	a
disabled	JJ	disabled
athlete	NN	athlete
,	,	,
so	RB	so
therefore	RB	therefore
he	PP	he
had	VBD	have
no	RB	no
preconceived	VBN	preconceive
notions	NNS	notion
of	IN	of
what	WP	what
I	PP	I
was	VBD	be
or	CC	or
wasn	NP	<unknown>
'	POS	'
t	NN	t
capable	JJ	capable
of	IN	of
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
never	RB	never
been	VBN	be
coached	VBN	coach
before	RB	before
.	SENT	.
So	RB	so
this	DT	this
was	VBD	be
like	IN	like
,	,	,
"	``	"
Here	RB	here
we	PP	we
go	VBP	go
â	NP	<unknown>
let	NN	let
'	POS	'
s	JJ	<unknown>
start	NN	start
on	IN	on
this	DT	this
trip	NN	trip
.	SENT	.
"	``	"
So	RB	so
he	PP	he
started	VBD	start
giving	VBG	give
me	PP	me
four	CD	four
days	NNS	day
a	DT	a
week	NN	week
of	IN	of
his	PP$	his
lunch	NN	lunch
break	NN	break
,	,	,
his	PP$	his
free	JJ	free
time	NN	time
,	,	,
and	CC	and
I	PP	I
would	MD	would
come	VB	come
up	RP	up
to	TO	to
the	DT	the
track	NN	track
and	CC	and
train	NN	train
with	IN	with
him	PP	him
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
how	WRB	how
I	PP	I
met	VBD	meet
Frank	NP	Frank
.	SENT	.
That	DT	that
was	VBD	be
fall	NN	fall
of	IN	of
'	''	'
95	CD	@card@
.	SENT	.
But	CC	but
then	RB	then
,	,	,
by	IN	by
the	DT	the
time	NN	time
that	IN	that
winter	NN	winter
was	VBD	be
rolling	VBG	roll
around	RP	around
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
good	JJ	good
enough	NN	enough
.	SENT	.
You	PP	you
can	MD	can
run	VB	run
on	IN	on
our	PP$	our
women	NNS	woman
'	POS	'
s	NN	S
track	NN	track
team	NN	team
here	RB	here
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
come	VB	come
on	RP	on
.	SENT	.
"	``	"
And	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
no	UH	no
,	,	,
really	RB	really
.	SENT	.
You	PP	you
can	MD	can
.	SENT	.
You	PP	you
can	MD	can
run	VB	run
with	IN	with
our	PP$	our
women	NNS	woman
'	POS	'
s	NN	S
track	NN	track
team	NN	team
.	SENT	.
"	''	"
In	IN	in
the	DT	the
spring	NN	spring
of	IN	of
1996	CD	@card@
,	,	,
with	IN	with
my	PP$	my
goal	NN	goal
of	IN	of
making	VBG	make
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
Paralympic	JJ	<unknown>
team	NN	team
that	IN	that
May	NP	May
coming	VBG	come
up	RP	up
full	JJ	full
speed	NN	speed
,	,	,
I	PP	I
joined	VBD	join
the	DT	the
women	NNS	woman
'	POS	'
s	NN	S
track	NN	track
team	NN	team
.	SENT	.
And	CC	and
no	DT	no
disabled	JJ	disabled
person	NN	person
had	VBD	have
ever	RB	ever
done	VBN	do
that	IN	that
â	NP	<unknown>
run	VB	run
at	IN	at
a	DT	a
collegiate	JJ	collegiate
level	NN	level
.	SENT	.
So	RB	so
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
it	PP	it
started	VBD	start
to	TO	to
become	VB	become
an	DT	an
interesting	JJ	interesting
mix	NN	mix
.	SENT	.
SS	NP	SS
:	:	:
Well	UH	well
,	,	,
on	IN	on
your	PP$	your
way	NN	way
to	TO	to
the	DT	the
Olympics	NPS	Olympics
,	,	,
a	DT	a
couple	NN	couple
of	IN	of
memorable	JJ	memorable
events	NNS	event
happened	VBN	happen
at	IN	at
Georgetown	NP	Georgetown
.	SENT	.
Why	WRB	why
don	NN	don
'	POS	'
t	NN	t
you	PP	you
just	RB	just
tell	VB	tell
them	PP	them
?	SENT	?
AM	NP	AM
:	:	:
Yes	UH	yes
,	,	,
well	UH	well
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
d	NN	d
won	VBD	win
everything	NN	everything
as	RB	as
far	RB	far
as	IN	as
the	DT	the
disabled	JJ	disabled
meets	VBZ	meet
â	NP	<unknown>
everything	NN	everything
I	PP	I
competed	VBD	compete
in	IN	in
â	NP	<unknown>
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
training	NN	training
in	IN	in
Georgetown	NP	Georgetown
and	CC	and
knowing	VBG	know
that	IN	that
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
get	VB	get
used	VBN	use
to	TO	to
seeing	VBG	see
the	DT	the
backs	NNS	back
of	IN	of
all	PDT	all
these	DT	these
women	NNS	woman
'	POS	'
s	NN	S
shirts	NNS	shirt
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
running	VBG	run
against	IN	against
the	DT	the
next	JJ	next
Flo-Jo	NP	<unknown>
â	NP	<unknown>
and	CC	and
they	PP	they
'	POS	'
re	NN	re
all	RB	all
looking	VBG	look
at	IN	at
me	PP	me
like	VBP	like
,	,	,
"	``	"
Hmm	UH	hmm
,	,	,
what	WP	what
'	POS	'
s	NN	S
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
here	RB	here
?	SENT	?
"	''	"
And	CC	and
putting	VBG	put
on	IN	on
my	PP$	my
Georgetown	NP	Georgetown
uniform	NN	uniform
and	CC	and
going	VBG	go
out	RP	out
there	RB	there
and	CC	and
knowing	VBG	know
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
in	IN	in
order	NN	order
to	TO	to
become	VB	become
better	JJR	good
â	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
m	NN	m
already	RB	already
the	DT	the
best	JJS	good
in	IN	in
the	DT	the
country	NN	country
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
you	PP	you
have	VBP	have
to	TO	to
train	VB	train
with	IN	with
people	NNS	people
who	WP	who
are	VBP	be
inherently	RB	inherently
better	RBR	well
than	IN	than
you	PP	you
.	SENT	.
And	CC	and
I	PP	I
went	VBD	go
out	RP	out
there	RB	there
and	CC	and
made	VBD	make
it	PP	it
to	TO	to
the	DT	the
Big	NP	Big
East	NP	East
,	,	,
which	WDT	which
was	VBD	be
sort	NN	sort
of	IN	of
the	DT	the
championship	NN	championship
race	NN	race
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
season	NN	season
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
,	,	,
really	RB	really
hot	JJ	hot
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
â	NP	<unknown>
I	PP	I
had	VBD	have
just	RB	just
gotten	VBN	get
these	DT	these
new	JJ	new
sprinting	VBG	sprint
legs	NNS	leg
that	IN	that
you	PP	you
see	VBP	see
in	IN	in
that	DT	that
bio	NN	bio
,	,	,
and	CC	and
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
realize	VBP	realize
at	IN	at
that	DT	that
time	NN	time
that	IN	that
the	DT	the
amount	NN	amount
of	IN	of
sweating	VBG	sweat
I	PP	I
would	MD	would
be	VB	be
doing	VBG	do
in	IN	in
the	DT	the
sock	NN	sock
â	NP	<unknown>
it	PP	it
actually	RB	actually
acted	VBD	act
like	IN	like
a	DT	a
lubricant	NN	lubricant
and	CC	and
I	PP	I
'	POS	'
d	NN	d
be	VB	be
,	,	,
kind	NN	kind
of	IN	of
,	,	,
pistoning	VBG	pistone
in	IN	in
the	DT	the
socket	NN	socket
.	SENT	.
And	CC	and
at	IN	at
about	RB	about
85	CD	@card@
meters	NNS	meter
of	IN	of
my	PP$	my
100	CD	@card@
meters	NNS	meter
sprint	NN	sprint
,	,	,
in	IN	in
all	PDT	all
my	PP$	my
glory	NN	glory
,	,	,
I	PP	I
came	VBD	come
out	RP	out
of	IN	of
my	PP$	my
leg	NN	leg
.	SENT	.
Like	IN	like
,	,	,
I	PP	I
almost	RB	almost
came	VBD	come
out	RP	out
of	IN	of
it	PP	it
,	,	,
in	IN	in
front	NN	front
of	IN	of
,	,	,
like	VB	like
,	,	,
5	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
.	SENT	.
And	CC	and
I	PP	I
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
was	VBD	be
just	RB	just
mortified	VBN	mortify
â	NP	<unknown>
because	IN	because
I	PP	I
was	VBD	be
signed	VBN	sign
up	RP	up
for	IN	for
the	DT	the
200	CD	@card@
,	,	,
you	PP	you
know	VBP	know
,	,	,
which	WDT	which
went	VBD	go
off	RP	off
in	IN	in
a	DT	a
half	JJ	half
hour	NN	hour
.	SENT	.
I	PP	I
went	VBD	go
to	TO	to
my	PP$	my
coach	NN	coach
:	:	:
"	``	"
Please	UH	please
,	,	,
don	NN	don
'	POS	'
t	NN	t
make	VBP	make
me	PP	me
do	VBP	do
this	DT	this
.	SENT	.
"	``	"
I	PP	I
can	MD	can
'	''	'
t	NN	t
do	VBP	do
this	DT	this
in	IN	in
front	NN	front
of	IN	of
all	PDT	all
those	DT	those
people	NNS	people
.	SENT	.
My	PP$	my
legs	NNS	leg
will	MD	will
come	VB	come
off	RP	off
.	SENT	.
And	CC	and
if	IN	if
it	PP	it
came	VBD	come
off	RP	off
at	IN	at
85	CD	@card@
there	RB	there
'	''	'
s	VBG	<unknown>
no	DT	no
way	NN	way
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
200	CD	@card@
meters	NNS	meter
.	SENT	.
And	CC	and
he	PP	he
just	RB	just
sat	VBD	sit
there	RB	there
like	IN	like
this	DT	this
.	SENT	.
My	PP$	my
pleas	NNS	plea
fell	VBD	fall
on	IN	on
deaf	JJ	deaf
ears	NNS	ear
,	,	,
thank	VBP	thank
god	NN	god
.	SENT	.
Because	IN	because
you	PP	you
know	VBP	know
,	,	,
the	DT	the
man	NN	man
is	VBZ	be
from	IN	from
Brooklyn	NP	Brooklyn
;	:	;
he	PP	he
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
man	NN	man
.	SENT	.
He	PP	he
says	VBZ	say
,	,	,
"	``	"
Aimee	NP	Aimee
,	,	,
so	RB	so
what	WP	what
if	IN	if
your	PP$	your
leg	NN	leg
falls	VBZ	fall
off	RP	off
?	SENT	?
You	PP	you
pick	VBP	pick
it	PP	it
up	RP	up
,	,	,
you	PP	you
put	VBD	put
the	DT	the
damn	JJ	damn
thing	NN	thing
back	RB	back
on	IN	on
,	,	,
and	CC	and
finish	VB	finish
the	DT	the
goddamn	JJ	goddamn
race	NN	race
!	SENT	!
"	``	"
And	CC	and
I	PP	I
did	VBD	do
.	SENT	.
So	RB	so
,	,	,
he	PP	he
kept	VBD	keep
me	PP	me
in	IN	in
line	NN	line
.	SENT	.
He	PP	he
kept	VBD	keep
me	PP	me
on	IN	on
the	DT	the
right	JJ	right
track	NN	track
.	SENT	.
SS	NP	SS
:	:	:
So	RB	so
,	,	,
then	RB	then
Aimee	NP	Aimee
makes	VBZ	make
it	PP	it
to	TO	to
the	DT	the
1996	CD	@card@
Paralympics	NNS	<unknown>
,	,	,
and	CC	and
she	PP	she
'	POS	'
s	NN	S
all	RB	all
excited	VBN	excite
.	SENT	.
Her	PP$	her
family	NN	family
'	POS	'
s	NNS	<unknown>
coming	VBG	come
down	RP	down
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
a	DT	a
big	JJ	big
deal	NN	deal
.	SENT	.
It	PP	it
'	POS	'
