Someday	RB	someday
individual	JJ	individual
human	JJ	human
brains	NNS	brain
in	IN	in
fine	JJ	fine
spatial	JJ	spatial
and	CC	and
chemical	JJ	chemical
detail	NN	detail
,	,	,
to	TO	to
see	VB	see
exactly	RB	exactly
what	WP	what
cells	NNS	cell
are	VBP	be
where	WRB	where
,	,	,
connected	VBN	connect
to	TO	to
what	WP	what
,	,	,
of	IN	of
what	WP	what
type	NN	type
.	SENT	.
And	CC	and
third	JJ	third
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
need	VB	need
computer	NN	computer
models	NNS	model
of	IN	of
how	WRB	how
each	DT	each
kind	NN	kind
of	IN	of
brain	NN	brain
cell	NN	cell
works	NNS	work
—	:	-
taking	VBG	take
input	NN	input
signals	NNS	signal
,	,	,
changing	VBG	change
interval	NN	interval
state	NN	state
and	CC	and
sending	VBG	send
output	NN	output
signals	NNS	signal
.	SENT	.
If	IN	if
we	PP	we
have	VBP	have
good	JJ	good
enough	JJ	enough
models	NNS	model
of	IN	of
all	PDT	all
the	DT	the
kinds	NNS	kind
of	IN	of
brain	NN	brain
cells	NNS	cell
and	CC	and
a	DT	a
good	JJ	good
enough	JJ	enough
model	NN	model
of	IN	of
the	DT	the
brain	NN	brain
,	,	,
we	PP	we
can	MD	can
put	VB	put
it	PP	it
together	RB	together
to	TO	to
make	VB	make
a	DT	a
good	JJ	good
enough	JJ	enough
model	NN	model
of	IN	of
an	DT	an
entire	JJ	entire
brain	NN	brain
,	,	,
and	CC	and
that	IN	that
model	NN	model
would	MD	would
have	VB	have
the	DT	the
same	JJ	same
input-output	NN	input-output
behavior	NN	behavior
as	IN	as
the	DT	the
original	JJ	original
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
talk	VBP	talk
to	TO	to
it	PP	it
,	,	,
it	PP	it
might	MD	might
talk	VB	talk
back	RB	back
.	SENT	.
If	IN	if
you	PP	you
ask	VBP	ask
it	PP	it
to	TO	to
do	VB	do
things	NNS	thing
,	,	,
it	PP	it
might	MD	might
do	VB	do
them	PP	them
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
could	MD	could
do	VB	do
that	IN	that
,	,	,
everything	NN	everything
would	MD	would
change	VB	change
.	SENT	.
People	NNS	people
have	VBP	have
been	VBN	be
talking	VBG	talk
about	IN	about
this	DT	this
idea	NN	idea
for	IN	for
decades	NNS	decade
,	,	,
under	IN	under
the	DT	the
name	NN	name
of	IN	of
"	``	"
uploads	NNS	upload
.	SENT	.
"	''	"
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
call	VB	call
them	PP	them
"	``	"
ems	NNS	em
.	SENT	.
"	``	"
When	WRB	when
they	PP	they
talk	VBP	talk
about	IN	about
it	PP	it
,	,	,
they	PP	they
say	VBP	say
,	,	,
"	``	"
Is	VBZ	be
this	DT	this
even	RB	even
possible	JJ	possible
?	SENT	?
If	IN	if
you	PP	you
made	VBD	make
one	CD	one
,	,	,
would	MD	would
it	PP	it
be	VB	be
conscious	JJ	conscious
?	SENT	?
Or	CC	or
is	VBZ	be
it	PP	it
just	RB	just
an	DT	an
empty	JJ	empty
machine	NN	machine
?	SENT	?
If	IN	if
you	PP	you
made	VBD	make
one	PP	one
of	IN	of
me	PP	me
,	,	,
is	VBZ	be
that	IN	that
me	PP	me
or	CC	or
someone	NN	someone
else	RB	else
?	SENT	?
"	``	"
These	DT	these
are	VBP	be
all	DT	all
fascinating	JJ	fascinating
questions	NNS	question
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ignore	VB	ignore
.	SENT	.
.	SENT	.
.	SENT	.
because	IN	because
I	PP	I
see	VBP	see
a	DT	a
neglected	JJ	neglected
question	NN	question
:	:	:
What	WP	what
would	MD	would
actually	RB	actually
happen	VB	happen
?	SENT	?
I	PP	I
became	VBD	become
obsessed	VBN	obsess
with	IN	with
this	DT	this
question	NN	question
.	SENT	.
I	PP	I
spent	VBD	spend
four	CD	four
years	NNS	year
trying	VBG	try
to	TO	to
analyze	VB	analyze
it	PP	it
,	,	,
using	VBG	use
standard	JJ	standard
academic	JJ	academic
tools	NNS	tool
,	,	,
to	TO	to
guess	VB	guess
what	WP	what
would	MD	would
happen	VB	happen
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
here	RB	here
to	TO	to
tell	VB	tell
you	PP	you
what	WP	what
I	PP	I
found	VBD	find
.	SENT	.
But	CC	but
be	VB	be
warned	VBN	warn
—	:	-
I	PP	I
'	POS	'
m	NN	m
not	RB	not
offering	VBG	offer
inspiration	NN	inspiration
,	,	,
I	PP	I
'	POS	'
m	NN	m
offering	NN	offering
analysis	NN	analysis
.	SENT	.
I	PP	I
see	VBP	see
my	PP$	my
job	NN	job
as	IN	as
telling	VBG	tell
you	PP	you
what	WP	what
'	POS	'
s	JJ	<unknown>
most	RBS	most
likely	JJ	likely
to	TO	to
happen	VB	happen
if	IN	if
we	PP	we
did	VBD	do
the	DT	the
least	JJS	least
to	TO	to
avoid	VB	avoid
it	PP	it
.	SENT	.
If	IN	if
you	PP	you
aren	NNS	<unknown>
'	POS	'
t	NN	t
at	IN	at
least	JJS	least
a	DT	a
bit	NN	bit
disturbed	VBN	disturb
by	IN	by
something	NN	something
I	PP	I
tell	VBP	tell
you	PP	you
here	RB	here
,	,	,
you	PP	you
'	POS	'
re	NN	re
just	RB	just
not	RB	not
paying	VBG	pay
attention	NN	attention
.	SENT	.
OK	UH	OK
,	,	,
the	DT	the
first	JJ	first
thing	NN	thing
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
is	VBZ	be
that	IN	that
ems	NNS	em
spend	VBP	spend
most	JJS	most
of	IN	of
their	PP$	their
life	NN	life
in	IN	in
virtual	JJ	virtual
reality	NN	reality
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
you	PP	you
might	MD	might
look	VB	look
like	IN	like
if	IN	if
you	PP	you
were	VBD	be
using	VBG	use
virtual	JJ	virtual
reality	NN	reality
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
might	MD	might
see	VB	see
:	:	:
sunlight	NN	sunlight
glinting	VBG	glint
off	RP	off
of	IN	of
water	NN	water
,	,	,
you	PP	you
might	MD	might
hear	VB	hear
gulls	NNS	gull
flying	VBG	fly
above	IN	above
,	,	,
you	PP	you
might	MD	might
even	RB	even
feel	VB	feel
the	DT	the
wind	NN	wind
on	IN	on
your	PP$	your
cheeks	NNS	cheek
or	CC	or
smell	NN	smell
seawater	NN	seawater
,	,	,
with	IN	with
advanced	JJ	advanced
hardware	NN	hardware
.	SENT	.
Now	RB	now
,	,	,
if	IN	if
you	PP	you
were	VBD	be
to	TO	to
spend	VB	spend
a	DT	a
lot	NN	lot
of	IN	of
time	NN	time
here	RB	here
,	,	,
you	PP	you
might	MD	might
want	VB	want
a	DT	a
dashboard	NN	dashboard
where	WRB	where
you	PP	you
could	MD	could
do	VB	do
things	NNS	thing
like	IN	like
make	VB	make
a	DT	a
phone	NN	phone
call	NN	call
,	,	,
move	NN	move
to	TO	to
a	DT	a
new	JJ	new
virtual	JJ	virtual
world	NN	world
,	,	,
check	VB	check
your	PP$	your
bank	NN	bank
account	NN	account
.	SENT	.
Now	RB	now
,	,	,
while	IN	while
this	DT	this
is	VBZ	be
what	WP	what
you	PP	you
would	MD	would
look	VB	look
like	IN	like
in	IN	in
virtual	JJ	virtual
reality	NN	reality
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
an	DT	an
em	NN	em
would	MD	would
look	VB	look
like	IN	like
in	IN	in
virtual	JJ	virtual
reality	NN	reality
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
computer	NN	computer
hardware	NN	hardware
sitting	VBG	sit
in	IN	in
a	DT	a
server	NN	server
rack	NN	rack
somewhere	RB	somewhere
.	SENT	.
But	CC	but
still	RB	still
,	,	,
it	PP	it
could	MD	could
see	VB	see
and	CC	and
experience	VB	experience
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
But	CC	but
some	DT	some
things	NNS	thing
are	VBP	be
different	JJ	different
for	IN	for
ems	NNS	em
.	SENT	.
First	RB	first
,	,	,
while	IN	while
you	PP	you
'	POS	'
ll	NN	ll
probably	RB	probably
always	RB	always
notice	VB	notice
that	DT	that
virtual	JJ	virtual
reality	NN	reality
isn	NN	isn
'	POS	'
t	NN	t
entirely	RB	entirely
real	JJ	real
,	,	,
to	TO	to
an	DT	an
em	NN	em
,	,	,
it	PP	it
can	MD	can
feel	VB	feel
as	RB	as
real	JJ	real
to	TO	to
them	PP	them
as	IN	as
this	DT	this
room	NN	room
feels	VBZ	feel
to	TO	to
you	PP	you
now	RB	now
or	CC	or
as	IN	as
anything	NN	anything
ever	RB	ever
feels	VBZ	feel
.	SENT	.
And	CC	and
ems	NNS	em
also	RB	also
have	VBP	have
some	DT	some
more	JJR	more
action	NN	action
possibilities	NNS	possibility
.	SENT	.
For	IN	for
example	NN	example
,	,	,
your	PP$	your
mind	NN	mind
just	RB	just
always	RB	always
runs	VBZ	run
at	IN	at
the	DT	the
same	JJ	same
speed	NN	speed
,	,	,
but	CC	but
an	DT	an
em	NN	em
can	MD	can
add	VB	add
more	JJR	more
or	CC	or
less	JJR	less
computer	NN	computer
hardware	NN	hardware
to	TO	to
run	VB	run
faster	JJR	fast
or	CC	or
slower	JJR	slow
,	,	,
and	CC	and
therefore	RB	therefore
,	,	,
if	IN	if
the	DT	the
world	NN	world
around	IN	around
them	PP	them
seems	VBZ	seem
to	TO	to
be	VB	be
going	VBG	go
too	RB	too
fast	RB	fast
,	,	,
they	PP	they
can	MD	can
just	RB	just
speed	VB	speed
up	RP	up
their	PP$	their
mind	NN	mind
,	,	,
and	CC	and
the	DT	the
world	NN	world
around	IN	around
them	PP	them
would	MD	would
seem	VB	seem
to	TO	to
slow	VB	slow
down	RP	down
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
an	DT	an
em	NN	em
can	MD	can
make	VB	make
a	DT	a
copy	NN	copy
of	IN	of
itself	PP	itself
at	IN	at
that	DT	that
moment	NN	moment
.	SENT	.
This	DT	this
copy	NN	copy
would	MD	would
remember	VB	remember
everything	NN	everything
the	DT	the
same	JJ	same
,	,	,
and	CC	and
if	IN	if
it	PP	it
starts	VBZ	start
out	RP	out
with	IN	with
the	DT	the
same	JJ	same
speed	NN	speed
,	,	,
looking	VBG	look
at	IN	at
the	DT	the
same	JJ	same
speed	NN	speed
,	,	,
it	PP	it
might	MD	might
even	RB	even
need	VB	need
to	TO	to
be	VB	be
told	VBN	tell
,	,	,
"	``	"
You	PP	you
are	VBP	be
the	DT	the
copy	NN	copy
.	SENT	.
"	''	"
And	CC	and
em	NN	em
could	MD	could
make	VB	make
archive	NN	archive
copies	NNS	copy
,	,	,
and	CC	and
with	IN	with
enough	JJ	enough
archives	NN	archives
,	,	,
an	DT	an
em	NN	em
can	MD	can
be	VB	be
immortal	JJ	immortal
—	:	-
in	IN	in
principle	NN	principle
,	,	,
though	RB	though
not	RB	not
usually	RB	usually
in	IN	in
practice	NN	practice
.	SENT	.
And	CC	and
an	DT	an
em	NN	em
can	MD	can
move	VB	move
its	PP$	its
brain	NN	brain
,	,	,
the	DT	the
computer	NN	computer
that	WDT	that
represents	VBZ	represent
its	PP$	its
brain	NN	brain
,	,	,
from	IN	from
one	CD	one
physical	JJ	physical
location	NN	location
to	TO	to
another	DT	another
.	SENT	.
Ems	NNS	em
can	MD	can
actually	RB	actually
move	VB	move
around	RP	around
the	DT	the
world	NN	world
at	IN	at
the	DT	the
speed	NN	speed
of	IN	of
light	NN	light
,	,	,
and	CC	and
by	IN	by
moving	VBG	move
to	TO	to
a	DT	a
new	JJ	new
location	NN	location
,	,	,
they	PP	they
can	MD	can
interact	VB	interact
more	RBR	more
quickly	RB	quickly
with	IN	with
ems	NNS	em
near	IN	near
that	DT	that
new	JJ	new
location	NN	location
.	SENT	.
So	RB	so
far	RB	far
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	IN	about
what	WP	what
ems	NNS	em
can	MD	can
do	VB	do
.	SENT	.
What	WP	what
do	VBP	do
ems	NNS	em
choose	VBP	choose
to	TO	to
do	VB	do
?	SENT	?
To	TO	to
understand	VB	understand
that	IN	that
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
need	VBP	need
to	TO	to
understand	VB	understand
three	CD	three
key	JJ	key
facts	NNS	fact
.	SENT	.
First	RB	first
,	,	,
ems	NNS	em
by	IN	by
definition	NN	definition
do	VBP	do
what	WP	what
the	DT	the
human	NN	human
they	PP	they
emulate	VBP	emulate
would	MD	would
do	VB	do
in	IN	in
the	DT	the
same	JJ	same
situation	NN	situation
.	SENT	.
So	IN	so
their	PP$	their
lives	NNS	life
and	CC	and
behavior	NN	behavior
are	VBP	be
very	RB	very
human	JJ	human
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
mainly	RB	mainly
different	JJ	different
because	IN	because
they	PP	they
'	POS	'
re	NN	re
living	NN	living
in	IN	in
a	DT	a
different	JJ	different
world	NN	world
.	SENT	.
Second	RB	second
,	,	,
ems	NNS	em
need	VBP	need
real	JJ	real
resources	NNS	resource
to	TO	to
survive	VB	survive
.	SENT	.
You	PP	you
need	VBP	need
food	NN	food
and	CC	and
shelter	NN	shelter
or	CC	or
you	PP	you
'	POS	'
ll	NNS	<unknown>
die	VBP	die
.	SENT	.
Also	RB	also
,	,	,
ems	NNS	em
need	VBP	need
computer	NN	computer
hardware	NN	hardware
,	,	,
energy	NN	energy
,	,	,
cooling	VBG	cool
,	,	,
or	CC	or
they	PP	they
can	MD	can
'	''	'
t	NN	t
exist	VBP	exist
.	SENT	.
For	IN	for
every	DT	every
subjective	JJ	subjective
minute	NN	minute
that	IN	that
an	DT	an
em	NN	em
experiences	NNS	experience
,	,	,
someone	NN	someone
,	,	,
usually	RB	usually
that	DT	that
em	NN	em
,	,	,
had	VBD	have
to	TO	to
work	VB	work
to	TO	to
pay	VB	pay
for	IN	for
it	PP	it
.	SENT	.
Third	JJ	third
,	,	,
ems	NNS	em
are	VBP	be
poor	JJ	poor
.	SENT	.
The	DT	the
em	NN	em
population	NN	population
can	MD	can
grow	VB	grow
quicker	JJR	quick
than	IN	than
the	DT	the
em	NN	em
economy	NN	economy
,	,	,
so	IN	so
that	WDT	that
means	VBZ	mean
wages	NNS	wage
fall	VB	fall
down	RP	down
to	TO	to
em	NN	em
subsistence	NN	subsistence
levels	NNS	level
.	SENT	.
That	DT	that
means	VBZ	mean
ems	NNS	em
have	VBP	have
to	TO	to
be	VB	be
working	VBG	work
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
So	RB	so
that	DT	that
means	VBZ	mean
this	DT	this
is	VBZ	be
what	WP	what
ems	NNS	em
usually	RB	usually
see	VBP	see
:	:	:
beautiful	JJ	beautiful
and	CC	and
luxurious	JJ	luxurious
,	,	,
but	CC	but
desks	NNS	desk
—	:	-
they	PP	they
'	POS	'
re	NN	re
working	VBG	work
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
.	SENT	.
Now	RB	now
,	,	,
a	DT	a
subsistence	NN	subsistence
wage	NN	wage
scenario	NN	scenario
,	,	,
you	PP	you
might	MD	might
think	VB	think
,	,	,
is	VBZ	be
exotic	JJ	exotic
and	CC	and
strange	JJ	strange
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
the	DT	the
usual	JJ	usual
case	NN	case
in	IN	in
human	JJ	human
history	NN	history
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
pretty	RB	pretty
much	RB	much
all	DT	all
wild	JJ	wild
animals	NNS	animal
have	VBP	have
ever	RB	ever
lived	VBN	live
,	,	,
so	RB	so
we	PP	we
know	VBP	know
what	WP	what
humans	NNS	human
do	VBP	do
in	IN	in
this	DT	this
situation	NN	situation
.	SENT	.
Humans	NNS	human
basically	RB	basically
do	VBP	do
what	WP	what
it	PP	it
takes	VBZ	take
to	TO	to
survive	VB	survive
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
lets	VBZ	let
me	PP	me
say	VBP	say
so	RB	so
much	RB	much
about	IN	about
the	DT	the
em	NN	em
world	NN	world
.	SENT	.
When	WRB	when
creatures	NNS	creature
are	VBP	be
rich	JJ	rich
,	,	,
like	IN	like
you	PP	you
,	,	,
you	PP	you
have	VBP	have
to	TO	to
know	VB	know
a	DT	a
lot	NN	lot
about	IN	about
what	WP	what
they	PP	they
want	VBP	want
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
they	PP	they
do	VBP	do
.	SENT	.
When	WRB	when
creatures	NNS	creature
are	VBP	be
poor	JJ	poor
,	,	,
you	PP	you
know	VBP	know
that	IN	that
they	PP	they
mostly	RB	mostly
do	VBP	do
what	WP	what
it	PP	it
takes	VBZ	take
to	TO	to
survive	VB	survive
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
about	IN	about
the	DT	the
em	NN	em
world	NN	world
from	IN	from
the	DT	the
point	NN	point
of	IN	of
view	NN	view
of	IN	of
the	DT	the
ems	NNS	em
—	:	-
now	RB	now
,	,	,
let	VBP	let
'	POS	'
s	NN	S
step	NN	step
back	RB	back
and	CC	and
look	VB	look
at	IN	at
their	PP$	their
whole	JJ	whole
world	NN	world
.	SENT	.
First	RB	first
,	,	,
the	DT	the
em	NN	em
world	NN	world
grows	VBZ	grow
much	RB	much
faster	JJR	fast
than	IN	than
ours	PP	ours
,	,	,
roughly	RB	roughly
a	DT	a
hundred	CD	hundred
times	NNS	time
faster	RBR	faster
.	SENT	.
So	IN	so
the	DT	the
amount	NN	amount
of	IN	of
change	NN	change
we	PP	we
would	MD	would
experience	VB	experience
in	IN	in
a	DT	a
century	NN	century
or	CC	or
two	CD	two
,	,	,
they	PP	they
would	MD	would
experience	VB	experience
in	IN	in
a	DT	a
year	NN	year
or	CC	or
two	CD	two
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
really	RB	really
willing	JJ	willing
to	TO	to
project	VB	project
this	DT	this
age	NN	age
much	RB	much
beyond	IN	beyond
that	IN	that
,	,	,
because	IN	because
plausibly	RB	plausibly
by	IN	by
then	RB	then
something	NN	something
else	RB	else
will	MD	will
happen	VB	happen
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
.	SENT	.
Second	RB	second
,	,	,
the	DT	the
typical	JJ	typical
emulation	NN	emulation
runs	VBZ	run
even	RB	even
faster	RBR	faster
,	,	,
roughly	RB	roughly
a	DT	a
thousand	CD	thousand
times	NNS	time
human	JJ	human
speed	NN	speed
.	SENT	.
So	RB	so
for	IN	for
them	PP	them
,	,	,
they	PP	they
experience	VBP	experience
thousands	NNS	thousand
of	IN	of
years	NNS	year
in	IN	in
this	DT	this
year	NN	year
or	CC	or
two	CD	two
,	,	,
and	CC	and
for	IN	for
them	PP	them
,	,	,
the	DT	the
world	NN	world
around	IN	around
them	PP	them
is	VBZ	be
actually	RB	actually
changing	VBG	change
more	RBR	more
slowly	RB	slowly
than	IN	than
your	PP$	your
world	NN	world
seems	VBZ	seem
to	TO	to
change	VB	change
for	IN	for
you	PP	you
.	SENT	.
Third	JJ	third
,	,	,
ems	NNS	em
are	VBP	be
crammed	VBN	cram
together	RB	together
in	IN	in
a	DT	a
small	JJ	small
number	NN	number
of	IN	of
very	RB	very
dense	JJ	dense
cities	NNS	city
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
only	RB	only
how	WRB	how
they	PP	they
see	VBP	see
themselves	PP	themselves
in	IN	in
virtual	JJ	virtual
reality	NN	reality
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
also	RB	also
how	WRB	how
they	PP	they
actually	RB	actually
are	VBP	be
physically	RB	physically
crammed	VBN	cram
together	RB	together
.	SENT	.
So	RB	so
at	IN	at
em	NN	em
speeds	NNS	speed
,	,	,
physical	JJ	physical
travel	NN	travel
feels	VBZ	feel
really	RB	really
painfully	RB	painfully
slow	JJ	slow
,	,	,
so	IN	so
most	JJS	most
em	NN	em
cities	NNS	city
are	VBP	be
self-sufficient	JJ	self-sufficient
,	,	,
most	JJS	most
war	NN	war
is	VBZ	be
cyber	NN	<unknown>
war	NN	war
,	,	,
and	CC	and
most	JJS	most
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
earth	NN	earth
away	RB	away
from	IN	from
the	DT	the
em	NN	em
cities	NNS	city
is	VBZ	be
left	VBN	leave
to	TO	to
the	DT	the
humans	NNS	human
,	,	,
because	IN	because
the	DT	the
ems	NNS	em
really	RB	really
aren	NP	Aren
'	POS	'
t	NN	t
that	IN	that
interested	JJ	interested
in	IN	in
it	PP	it
.	SENT	.
Speaking	VBG	speak
of	IN	of
humans	NNS	human
,	,	,
you	PP	you
were	VBD	be
wanting	VBG	want
to	TO	to
hear	VB	hear
about	IN	about
that	DT	that
.	SENT	.
Humans	NNS	human
must	MD	must
retire	VB	retire
,	,	,
at	IN	at
once	RB	once
,	,	,
for	IN	for
good	JJ	good
.	SENT	.
They	PP	they
just	RB	just
can	MD	can
'	''	'
t	NN	t
compete	VB	compete
.	SENT	.
Now	RB	now
,	,	,
humans	NNS	human
start	VBP	start
out	RP	out
owning	VBG	own
all	DT	all
of	IN	of
the	DT	the
capital	NN	capital
in	IN	in
this	DT	this
world	NN	world
.	SENT	.
The	DT	the
economy	NN	economy
grows	VBZ	grow
very	RB	very
fast	RB	fast
,	,	,
their	PP$	their
wealth	NN	wealth
grows	VBZ	grow
very	RB	very
fast	RB	fast
.	SENT	.
Humans	NNS	human
get	VBP	get
rich	JJ	rich
,	,	,
collectively	RB	collectively
.	SENT	.
As	IN	as
you	PP	you
may	MD	may
know	VB	know
,	,	,
most	JJS	most
humans	NNS	human
today	NN	today
don	NN	don
'	POS	'
t	NN	t
actually	RB	actually
own	JJ	own
that	IN	that
much	RB	much
besides	IN	besides
their	PP$	their
ability	NN	ability
to	TO	to
work	VB	work
,	,	,
so	RB	so
between	IN	between
now	RB	now
and	CC	and
then	RB	then
,	,	,
they	PP	they
need	VBP	need
to	TO	to
acquire	VB	acquire
sufficient	JJ	sufficient
assets	NNS	asset
,	,	,
insurance	NN	insurance
or	CC	or
sharing	NN	sharing
arrangements	NNS	arrangement
,	,	,
or	CC	or
they	PP	they
may	MD	may
starve	VB	starve
.	SENT	.
I	PP	I
highly	RB	highly
recommend	VBP	recommend
avoiding	VBG	avoid
this	DT	this
outcome	NN	outcome
.	SENT	.
Now	RB	now
,	,	,
you	PP	you
might	MD	might
wonder	VB	wonder
,	,	,
why	WRB	why
would	MD	would
ems	NNS	em
let	VB	let
humans	NNS	human
exist	VB	exist
?	SENT	?
Why	WRB	why
not	RB	not
kill	VB	kill
them	PP	them
,	,	,
take	VB	take
their	PP$	their
stuff	NN	stuff
?	SENT	?
But	CC	but
notice	VBP	notice
we	PP	we
have	VBP	have
many	JJ	many
unproductive	JJ	unproductive
retirees	NNS	retiree
around	IN	around
us	PP	us
today	NN	today
,	,	,
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
kill	VB	kill
them	PP	them
and	CC	and
take	VB	take
their	PP$	their
stuff	NN	stuff
.	SENT	.
In	IN	in
part	NN	part
,	,	,
that	WDT	that
'	POS	'
s	NN	S
because	IN	because
it	PP	it
would	MD	would
disrupt	VB	disrupt
the	DT	the
institutions	NNS	institution
we	PP	we
share	VBP	share
with	IN	with
them	PP	them
.	SENT	.
Other	JJ	other
groups	NNS	group
would	MD	would
wonder	VB	wonder
who	WP	who
'	POS	'
s	NNS	<unknown>
next	JJ	next
,	,	,
so	RB	so
plausibly	RB	plausibly
,	,	,
ems	NNS	em
may	MD	may
well	RB	well
let	VB	let
humans	NNS	human
retire	VB	retire
in	IN	in
peace	NN	peace
during	IN	during
the	DT	the
age	NN	age
of	IN	of
em	NN	em
.	SENT	.
You	PP	you
should	MD	should
worry	VB	worry
more	RBR	more
that	IN	that
the	DT	the
age	NN	age
of	IN	of
em	NN	em
only	RB	only
lasts	VBZ	last
a	DT	a
year	NN	year
or	CC	or
two	CD	two
and	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
happens	VBZ	happen
next	JJ	next
.	SENT	.
Ems	NNS	em
are	VBP	be
very	RB	very
much	JJ	much
like	IN	like
humans	NNS	human
,	,	,
but	CC	but
they	PP	they
are	VBP	be
not	RB	not
like	IN	like
the	DT	the
typical	JJ	typical
human	NN	human
.	SENT	.
The	DT	the
typical	JJ	typical
em	NN	em
is	VBZ	be
a	DT	a
copy	NN	copy
of	IN	of
the	DT	the
few	JJ	few
hundred	CD	hundred
most	RBS	most
productive	JJ	productive
humans	NNS	human
.	SENT	.
So	RB	so
in	IN	in
fact	NN	fact
,	,	,
they	PP	they
are	VBP	be
as	RB	as
elite	JJ	elite
,	,	,
compared	VBN	compare
to	TO	to
the	DT	the
typical	JJ	typical
human	NN	human
,	,	,
as	IN	as
the	DT	the
typical	JJ	typical
billionaire	NN	billionaire
,	,	,
Nobel	NP	Nobel
