So	RB	so
I	PP	I
got	VBD	get
out	RP	out
to	TO	to
those	DT	those
protests	NNS	protest
about	IN	about
the	DT	the
fourth	JJ	fourth
or	CC	or
fifth	JJ	fifth
day	NN	day
,	,	,
it	PP	it
was	VBD	be
not	RB	not
out	RB	out
of	IN	of
courage	NN	courage
;	:	;
it	PP	it
was	VBD	be
out	RP	out
of	IN	of
guilt	NN	guilt
.	SENT	.
See	VB	see
,	,	,
I	PP	I
'	POS	'
m	NN	m
black	NN	black
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
y	NP	y
'	POS	'
all	RB	all
noticed	VBN	notice
that	DT	that
.	SENT	.
But	CC	but
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
sit	NN	sit
in	IN	in
St	NP	St
.	SENT	.
Louis	NP	Louis
,	,	,
minutes	NNS	minute
away	RB	away
from	IN	from
Ferguson	NP	Ferguson
,	,	,
and	CC	and
not	RB	not
go	VB	go
see	VB	see
.	SENT	.
So	RB	so
I	PP	I
got	VBD	get
off	RP	off
my	PP$	my
ass	NN	ass
to	TO	to
go	VB	go
check	VB	check
it	PP	it
out	RP	out
.	SENT	.
When	WRB	when
I	PP	I
got	VBD	get
out	RP	out
there	RB	there
,	,	,
I	PP	I
found	VBD	find
something	NN	something
surprising	JJ	surprising
.	SENT	.
I	PP	I
found	VBD	find
anger	NN	anger
;	:	;
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
that	DT	that
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
found	VBD	find
more	RBR	more
of	IN	of
was	VBD	be
love	NN	love
.	SENT	.
People	NNS	people
with	IN	with
love	NN	love
for	IN	for
themselves	PP	themselves
.	SENT	.
Love	NN	love
for	IN	for
their	PP$	their
community	NN	community
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
beautiful	JJ	beautiful
—	:	-
until	IN	until
the	DT	the
police	NN	police
showed	VBD	show
up	RP	up
.	SENT	.
Then	RB	then
a	DT	a
new	JJ	new
emotion	NN	emotion
was	VBD	be
interjected	VBN	interject
into	IN	into
the	DT	the
conversation	NN	conversation
:	:	:
fear	NN	fear
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
lie	VB	lie
;	:	;
when	WRB	when
I	PP	I
saw	VBD	see
those	DT	those
armored	JJ	armored
vehicles	NNS	vehicle
,	,	,
and	CC	and
all	PDT	all
that	DT	that
gear	NN	gear
and	CC	and
all	PDT	all
those	DT	those
guns	NNS	gun
and	CC	and
all	PDT	all
those	DT	those
police	NN	police
I	PP	I
was	VBD	be
terrified	VBN	terrify
—	:	-
personally	RB	personally
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
looked	VBD	look
around	RP	around
that	DT	that
crowd	NN	crowd
,	,	,
I	PP	I
saw	VBD	see
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
that	WDT	that
had	VBD	have
the	DT	the
same	JJ	same
thing	NN	thing
going	VBG	go
on	IN	on
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
saw	VBD	see
people	NNS	people
with	IN	with
something	NN	something
else	RB	else
inside	RB	inside
of	IN	of
them	PP	them
.	SENT	.
That	DT	that
was	VBD	be
courage	NN	courage
.	SENT	.
See	VB	see
,	,	,
those	DT	those
people	NNS	people
yelled	VBD	yell
,	,	,
and	CC	and
they	PP	they
screamed	VBD	scream
,	,	,
and	CC	and
they	PP	they
were	VBD	be
not	RB	not
about	RB	about
to	TO	to
back	VB	back
down	RP	down
from	IN	from
the	DT	the
police	NN	police
.	SENT	.
They	PP	they
were	VBD	be
past	JJ	past
that	IN	that
point	NN	point
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
could	MD	could
feel	VB	feel
something	NN	something
in	IN	in
me	PP	me
changing	VBG	change
,	,	,
so	RB	so
I	PP	I
yelled	VBD	yell
and	CC	and
I	PP	I
screamed	VBD	scream
,	,	,
and	CC	and
I	PP	I
noticed	VBD	notice
that	DT	that
everybody	NN	everybody
around	IN	around
me	PP	me
was	VBD	be
doing	VBG	do
the	DT	the
same	JJ	same
thing	NN	thing
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
nothing	NN	nothing
like	IN	like
that	DT	that
feeling	NN	feeling
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
I	PP	I
wanted	VBD	want
to	TO	to
do	VB	do
something	NN	something
more	RBR	more
.	SENT	.
I	PP	I
went	VBD	go
home	RB	home
,	,	,
I	PP	I
thought	VBD	think
:	:	:
I	PP	I
'	POS	'
m	NN	m
an	DT	an
artist	NN	artist
.	SENT	.
I	PP	I
make	VBP	make
shit	NN	shit
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
making	VBG	make
things	NNS	thing
specific	JJ	specific
to	TO	to
the	DT	the
protest	NN	protest
,	,	,
things	NNS	thing
that	WDT	that
would	MD	would
be	VB	be
weapons	NNS	weapon
in	IN	in
a	DT	a
spiritual	JJ	spiritual
war	NN	war
,	,	,
things	NNS	thing
that	WDT	that
would	MD	would
give	VB	give
people	NNS	people
voice	NN	voice
and	CC	and
things	NNS	thing
that	WDT	that
would	MD	would
fortify	VB	fortify
them	PP	them
for	IN	for
the	DT	the
road	NN	road
ahead	RB	ahead
.	SENT	.
I	PP	I
did	VBD	do
a	DT	a
project	NN	project
where	WRB	where
I	PP	I
took	VBD	take
pictures	NNS	picture
of	IN	of
the	DT	the
hands	NNS	hand
of	IN	of
protesters	NNS	protester
and	CC	and
put	VB	put
them	PP	them
up	RP	up
and	CC	and
down	RP	down
the	DT	the
boarded-up	JJ	boarded-up
buildings	NNS	building
and	CC	and
community	NN	community
shops	NNS	shop
.	SENT	.
My	PP$	my
goal	NN	goal
was	VBD	be
to	TO	to
raise	VB	raise
awareness	NN	awareness
and	CC	and
to	TO	to
raise	VB	raise
the	DT	the
morale	NN	morale
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
,	,	,
for	IN	for
a	DT	a
minute	NN	minute
at	IN	at
least	JJS	least
,	,	,
it	PP	it
did	VBD	do
just	RB	just
that	RB	that
.	SENT	.
Then	RB	then
I	PP	I
thought	VBD	think
,	,	,
I	PP	I
want	VBP	want
to	TO	to
uplift	VB	uplift
the	DT	the
stories	NNS	story
of	IN	of
these	DT	these
people	NNS	people
I	PP	I
was	VBD	be
watching	VBG	watch
being	NN	being
courageous	JJ	courageous
in	IN	in
the	DT	the
moment	NN	moment
.	SENT	.
And	CC	and
myself	PP	myself
and	CC	and
my	PP$	my
friend	NN	friend
,	,	,
and	CC	and
filmmaker	NN	filmmaker
and	CC	and
partner	NN	partner
Sabaah	NP	<unknown>
Folayan	NP	Folayan
did	VBD	do
just	RB	just
that	IN	that
with	IN	with
our	PP$	our
documentary	NN	documentary
,	,	,
"	''	"
Whose	WP$	whose
Streets	NP	Streets
?	SENT	?
"	``	"
I	PP	I
kind	RB	kind
of	IN	of
became	VBD	become
a	DT	a
conduit	NN	conduit
for	IN	for
all	DT	all
of	IN	of
this	DT	this
courage	NN	courage
that	WDT	that
was	VBD	be
given	VBN	give
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
our	PP$	our
job	NN	job
as	IN	as
artists	NNS	artist
.	SENT	.
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
be	VB	be
conveyors	NNS	conveyor
of	IN	of
courage	NN	courage
in	IN	in
the	DT	the
work	NN	work
that	IN	that
we	PP	we
do	VBP	do
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
we	PP	we
are	VBP	be
the	DT	the
wall	NN	wall
between	IN	between
the	DT	the
normal	JJ	normal
folks	NNS	folk
and	CC	and
the	DT	the
people	NNS	people
that	WDT	that
use	VBP	use
their	PP$	their
power	NN	power
to	TO	to
spread	VB	spread
fear	NN	fear
and	CC	and
hate	NN	hate
,	,	,
especially	RB	especially
in	IN	in
times	NNS	time
like	IN	like
these	DT	these
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
ask	VB	ask
you	PP	you
.	SENT	.
Y	NP	Y
'	POS	'
all	RB	all
the	DT	the
movers	NNS	mover
and	CC	and
the	DT	the
shakers	NNS	shaker
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
thought	VBN	think
leaders	NNS	leader
:	:	:
What	WP	what
are	VBP	be
you	PP	you
gonna	VBG	gonna
do	VBP	do
with	IN	with
the	DT	the
gifts	NNS	gift
that	IN	that
you	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
given	VBN	give
to	TO	to
break	VB	break
us	PP	us
from	IN	from
the	DT	the
fear	NN	fear
the	DT	the
binds	VBZ	bind
us	PP	us
every	DT	every
day	NN	day
?	SENT	?
Because	RB	because
,	,	,
see	VB	see
,	,	,
I	PP	I
'	POS	'
m	NN	m
afraid	JJ	afraid
every	DT	every
day	NN	day
.	SENT	.
I	PP	I
can	MD	can
'	''	'
t	NN	t
remember	VB	remember
a	DT	a
time	NN	time
when	WRB	when
I	NP	I
wasn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
But	CC	but
once	RB	once
I	PP	I
figured	VBD	figure
out	RP	out
that	DT	that
fear	NN	fear
was	VBD	be
not	RB	not
put	VBN	put
in	IN	in
me	PP	me
to	TO	to
cripple	VB	cripple
me	PP	me
,	,	,
it	PP	it
was	VBD	be
there	RB	there
to	TO	to
protect	VB	protect
me	PP	me
,	,	,
and	CC	and
once	RB	once
I	PP	I
figured	VBD	figure
out	IN	out
how	WRB	how
to	TO	to
use	VB	use
that	DT	that
fear	NN	fear
,	,	,
I	PP	I
found	VBD	find
my	PP$	my
power	NN	power
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
