Alright	RB	alright
changes	NNS	change
to	TO	to
our	PP$	our
psychological	JJ	psychological
experiences	NNS	experience
.	SENT	.
Now	RB	now
the	DT	the
component	NN	component
of	IN	of
the	DT	the
immune	JJ	immune
system	NN	system
that	IN	that
most	JJS	most
research	NN	research
in	IN	in
psycho-	NN	<unknown>
neuroimmunology	NN	neuroimmunology
focuses	VBZ	focus
on	IN	on
is	VBZ	be
the	DT	the
inflammatory	JJ	inflammatory
response	NN	response
or	CC	or
inflammation	NN	inflammation
.	SENT	.
The	DT	the
inflammatory	JJ	inflammatory
response	NN	response
is	VBZ	be
your	PP$	your
immune	JJ	immune
system	NN	system
'	POS	'
s	JJ	<unknown>
first	JJ	first
line	NN	line
of	IN	of
defense	NN	defense
against	IN	against
injury	NN	injury
or	CC	or
infection	NN	infection
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
coordinated	VBN	coordinate
by	IN	by
these	DT	these
molecules	NNS	molecule
that	WDT	that
are	VBP	be
called	VBN	call
pro-inflammatory	JJ	pro-inflammatory
cytokines	NNS	cytokine
.	SENT	.
You	PP	you
can	MD	can
think	VB	think
of	IN	of
cytokines	NNS	cytokine
as	IN	as
sort	NN	sort
of	IN	of
the	DT	the
chemical	JJ	chemical
messengers	NNS	messenger
of	IN	of
the	DT	the
immune	JJ	immune
system	NN	system
.	SENT	.
So	IN	so
they	PP	they
'	POS	'
re	NN	re
out	IN	out
there	RB	there
right	RB	right
now	RB	now
,	,	,
swimming	VBG	swim
through	IN	through
your	PP$	your
bloodstream	NN	bloodstream
.	SENT	.
And	CC	and
if	IN	if
an	DT	an
immune	JJ	immune
cell	NN	cell
finds	VBZ	find
something	NN	something
weird	JJ	weird
or	CC	or
out	RB	out
of	IN	of
the	DT	the
ordinary	JJ	ordinary
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
those	DT	those
cytokines	NNS	cytokine
to	TO	to
signal	VB	signal
to	TO	to
other	JJ	other
immune	JJ	immune
cells	NNS	cell
to	TO	to
come	VB	come
and	CC	and
check	VB	check
it	PP	it
out	RP	out
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
think	VBP	think
about	IN	about
a	DT	a
time	NN	time
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
paper	NN	paper
cut	NN	cut
,	,	,
you	PP	you
may	MD	may
have	VB	have
noticed	VBN	notice
that	IN	that
the	DT	the
area	NN	area
around	IN	around
the	DT	the
cut	NN	cut
swells	VBZ	swell
,	,	,
it	PP	it
turns	VBZ	turn
red	JJ	red
,	,	,
it	PP	it
heats	VBZ	heat
up	RP	up
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
the	DT	the
inflammatory	JJ	inflammatory
response	NN	response
in	IN	in
action	NN	action
.	SENT	.
And	CC	and
those	DT	those
symptoms	NNS	symptom
are	VBP	be
caused	VBN	cause
by	IN	by
your	PP$	your
cytokines	NNS	cytokine
doing	VBG	do
their	PP$	their
job	NN	job
,	,	,
sending	VBG	send
out	RP	out
signals	NNS	signal
to	TO	to
other	JJ	other
immune	JJ	immune
cells	NNS	cell
to	TO	to
come	VB	come
and	CC	and
heal	VB	heal
the	DT	the
cut	NN	cut
.	SENT	.
The	DT	the
same	JJ	same
thing	NN	thing
happens	VBZ	happen
if	IN	if
your	PP$	your
immune	JJ	immune
cells	NNS	cell
find	VBP	find
a	DT	a
virus	NN	virus
or	CC	or
a	DT	a
bacteria	NNS	bacterium
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
They	PP	they
send	VBP	send
out	RP	out
cytokines	NNS	cytokine
to	TO	to
signal	VB	signal
to	TO	to
other	JJ	other
immune	JJ	immune
cells	NNS	cell
to	TO	to
come	VB	come
and	CC	and
try	VB	try
and	CC	and
eliminate	VB	eliminate
the	DT	the
pathogen	NN	pathogen
.	SENT	.
Now	RB	now
in	IN	in
doing	VBG	do
this	DT	this
,	,	,
cytokines	NNS	cytokine
cause	VBP	cause
the	DT	the
physical	JJ	physical
symptoms	NNS	symptom
we	PP	we
commonly	RB	commonly
have	VBP	have
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
sick	JJ	sick
.	SENT	.
Things	NNS	thing
like	IN	like
fever	NN	fever
and	CC	and
achiness	NN	<unknown>
and	CC	and
fatigue	NN	fatigue
.	SENT	.
So	RB	so
even	RB	even
though	IN	though
we	PP	we
usually	RB	usually
think	VBP	think
of	IN	of
those	DT	those
symptoms	NNS	symptom
as	IN	as
being	VBG	be
caused	VBN	cause
by	IN	by
a	DT	a
virus	NN	virus
or	CC	or
a	DT	a
bacteria	NNS	bacterium
itself	PP	itself
,	,	,
they	PP	they
'	POS	'
re	NN	re
actually	RB	actually
caused	VBD	cause
by	IN	by
our	PP$	our
own	JJ	own
immune	JJ	immune
systems	NNS	system
activating	VBG	activate
to	TO	to
try	VB	try
to	TO	to
eliminate	VB	eliminate
the	DT	the
pathogen	NN	pathogen
.	SENT	.
But	CC	but
in	IN	in
addition	NN	addition
to	TO	to
those	DT	those
physical	JJ	physical
symptoms	NNS	symptom
,	,	,
decades	NNS	decade
of	IN	of
research	NN	research
,	,	,
in	IN	in
both	DT	both
animals	NNS	animal
and	CC	and
humans	NNS	human
,	,	,
clearly	RB	clearly
shows	VBZ	show
that	IN	that
cytokines	NNS	cytokine
also	RB	also
cause	VBP	cause
changes	NNS	change
to	TO	to
our	PP$	our
mood	NN	mood
and	CC	and
to	TO	to
our	PP$	our
social	JJ	social
behavior	NN	behavior
.	SENT	.
So	IN	so
inflammation	NN	inflammation
in	IN	in
the	DT	the
body	NN	body
can	MD	can
signal	VB	signal
to	TO	to
the	DT	the
brain	NN	brain
to	TO	to
cause	VB	cause
us	PP	us
to	TO	to
feel	VB	feel
down	RP	down
,	,	,
depressed	JJ	depressed
and	CC	and
even	RB	even
hopeless	JJ	hopeless
.	SENT	.
Inflammation	NN	inflammation
can	MD	can
also	RB	also
make	VB	make
us	PP	us
want	VB	want
to	TO	to
socially	RB	socially
withdraw	VB	withdraw
from	IN	from
other	JJ	other
people	NNS	people
to	TO	to
avoid	VB	avoid
interacting	VBG	interact
with	IN	with
individuals	NNS	individual
in	IN	in
our	PP$	our
social	JJ	social
networks	NNS	network
.	SENT	.
So	IN	so
this	DT	this
research	NN	research
shows	VBZ	show
the	DT	the
powerful	JJ	powerful
influence	NN	influence
that	IN	that
the	DT	the
immune	JJ	immune
system	NN	system
can	MD	can
have	VB	have
on	IN	on
our	PP$	our
mood	NN	mood
and	CC	and
on	IN	on
our	PP$	our
social	JJ	social
behavior	NN	behavior
.	SENT	.
Changes	NNS	change
in	IN	in
inflammation	NN	inflammation
in	IN	in
the	DT	the
body	NN	body
can	MD	can
signal	VB	signal
to	TO	to
the	DT	the
brain	NN	brain
to	TO	to
cause	VB	cause
us	PP	us
to	TO	to
feel	VB	feel
depressed	JJ	depressed
and	CC	and
even	RB	even
lonely	JJ	lonely
.	SENT	.
OK	UH	OK
,	,	,
so	RB	so
you	PP	you
may	MD	may
be	VB	be
wondering	VBG	wonder
,	,	,
why	WRB	why
on	IN	on
Earth	NN	earth
would	MD	would
your	PP$	your
body	NN	body
do	VBP	do
this	DT	this
?	SENT	?
Why	WRB	why
would	MD	would
you	PP	you
want	VB	want
your	PP$	your
immune	JJ	immune
system	NN	system
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
manipulate	VB	manipulate
your	PP$	your
brain	NN	brain
and	CC	and
cause	VB	cause
you	PP	you
to	TO	to
feel	VB	feel
sad	JJ	sad
and	CC	and
distant	JJ	distant
from	IN	from
other	JJ	other
people	NNS	people
in	IN	in
your	PP$	your
life	NN	life
?	SENT	?
While	IN	while
we	PP	we
can	MD	can
'	''	'
t	NN	t
know	VBP	know
for	IN	for
sure	RB	sure
why	WRB	why
this	DT	this
happens	VBZ	happen
,	,	,
evolutionary	JJ	evolutionary
theory	NN	theory
provides	VBZ	provide
some	DT	some
good	JJ	good
food	NN	food
for	IN	for
thought	NN	thought
.	SENT	.
The	DT	the
fact	NN	fact
is	VBZ	be
,	,	,
revving	VBG	rev
up	RP	up
and	CC	and
running	VBG	run
the	DT	the
immune	JJ	immune
system	NN	system
takes	VBZ	take
a	DT	a
lot	NN	lot
of	IN	of
energy	NN	energy
.	SENT	.
Getting	VBG	get
cytokines	NNS	cytokine
to	TO	to
swim	VB	swim
through	IN	through
the	DT	the
bloodstream	NN	bloodstream
and	CC	and
send	VB	send
signals	NNS	signal
to	TO	to
immune	JJ	immune
cells	NNS	cell
takes	VBZ	take
calories	NNS	calorie
.	SENT	.
And	CC	and
what	WP	what
else	RB	else
takes	VBZ	take
calories	NNS	calorie
?	SENT	?
Pretty	RB	pretty
much	JJ	much
everything	NN	everything
.	SENT	.
Especially	RB	especially
things	NNS	thing
like	IN	like
going	VBG	go
out	RP	out
and	CC	and
seeking	VBG	seek
pleasurable	JJ	pleasurable
experiences	NNS	experience
,	,	,
interacting	VBG	interact
with	IN	with
strangers	NNS	stranger
and	CC	and
just	RB	just
generally	RB	generally
moving	VBG	move
about	IN	about
the	DT	the
world	NN	world
.	SENT	.
So	IN	so
the	DT	the
theory	NN	theory
is	VBZ	be
that	IN	that
the	DT	the
immune	JJ	immune
system	NN	system
is	VBZ	be
telling	VBG	tell
the	DT	the
brain	NN	brain
to	TO	to
feel	VB	feel
depressed	JJ	depressed
and	CC	and
to	TO	to
withdraw	VB	withdraw
from	IN	from
socializing	VBG	socialize
because	IN	because
it	PP	it
wants	VBZ	want
you	PP	you
to	TO	to
stay	VB	stay
at	IN	at
home	NN	home
and	CC	and
rest	NN	rest
.	SENT	.
And	CC	and
if	IN	if
things	NNS	thing
that	WDT	that
would	MD	would
normally	RB	normally
sound	VB	sound
fun	NN	fun
just	RB	just
don	NN	don
'	POS	'
t	NN	t
seem	VB	seem
all	PDT	all
that	DT	that
fun	NN	fun
,	,	,
and	CC	and
if	IN	if
interacting	VBG	interact
with	IN	with
other	JJ	other
people	NNS	people
seems	VBZ	seem
exhausting	JJ	exhausting
and	CC	and
maybe	RB	maybe
even	RB	even
a	DT	a
little	RB	little
threatening	JJ	threatening
,	,	,
then	RB	then
we	PP	we
'	''	'
ll	NN	ll
be	VB	be
less	RBR	less
likely	JJ	likely
to	TO	to
do	VB	do
those	DT	those
things	NNS	thing
and	CC	and
more	RBR	more
likely	JJ	likely
to	TO	to
stay	VB	stay
at	IN	at
home	NN	home
and	CC	and
let	VB	let
our	PP$	our
immune	JJ	immune
systems	NNS	system
use	VBP	use
our	PP$	our
calories	NNS	calorie
.	SENT	.
Now	RB	now
,	,	,
of	IN	of
course	NN	course
,	,	,
if	IN	if
this	DT	this
becomes	VBZ	become
prolonged	JJ	prolonged
and	CC	and
inflammation	NN	inflammation
is	VBZ	be
elevated	VBN	elevate
over	IN	over
weeks	NNS	week
or	CC	or
even	RB	even
years	NNS	year
,	,	,
that	WDT	that
could	MD	could
have	VB	have
really	RB	really
terrible	JJ	terrible
impacts	NNS	impact
on	IN	on
our	PP$	our
well-being	NN	well-being
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
short	JJ	short
term	NN	term
,	,	,
we	PP	we
think	VBP	think
of	IN	of
this	DT	this
immune-to-brain	NN	immune-to-brain
signaling	VBG	signal
as	RB	as
adaptive	JJ	adaptive
.	SENT	.
Your	PP$	your
immune	JJ	immune
system	NN	system
is	VBZ	be
basically	RB	basically
good	JJ	good
at	IN	at
knowing	VBG	know
when	WRB	when
it	PP	it
would	MD	would
be	VB	be
a	DT	a
good	JJ	good
idea	NN	idea
for	IN	for
you	PP	you
to	TO	to
be	VB	be
out	RB	out
interacting	VBG	interact
with	IN	with
the	DT	the
world	NN	world
and	CC	and
the	DT	the
people	NNS	people
in	IN	in
it	PP	it
,	,	,
and	CC	and
when	WRB	when
it	PP	it
would	MD	would
be	VB	be
better	JJR	good
to	TO	to
just	RB	just
stay	VB	stay
at	IN	at
home	NN	home
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
the	DT	the
influence	NN	influence
of	IN	of
inflammation	NN	inflammation
on	IN	on
our	PP$	our
social	JJ	social
lives	NNS	life
isn	NN	isn
'	POS	'
t	NN	t
as	IN	as
simple	JJ	simple
as	IN	as
always	RB	always
making	VBG	make
us	PP	us
feel	VBP	feel
more	RBR	more
disconnected	JJ	disconnected
and	CC	and
socially	RB	socially
withdrawn	VBN	withdraw
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
discoveries	NNS	discovery
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
made	VBD	make
in	IN	in
this	DT	this
area	NN	area
of	IN	of
research	NN	research
recently	RB	recently
is	VBZ	be
that	IN	that
inflammation	NN	inflammation
might	MD	might
actually	RB	actually
make	VB	make
us	PP	us
more	RBR	more
motivated	JJ	motivated
to	TO	to
seek	VB	seek
some	DT	some
social	JJ	social
interactions	NNS	interaction
,	,	,
specifically	RB	specifically
those	DT	those
with	IN	with
the	DT	the
people	NNS	people
who	WP	who
we	PP	we
'	''	'
re	IN	re
closest	JJS	close
to	TO	to
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
inflammation	NN	inflammation
makes	VBZ	make
us	PP	us
less	RBR	less
social	JJ	social
across	IN	across
the	DT	the
board	NN	board
,	,	,
it	PP	it
may	MD	may
just	RB	just
make	VB	make
us	PP	us
more	RBR	more
selective	JJ	selective
about	IN	about
who	WP	who
we	PP	we
want	VBP	want
to	TO	to
socialize	VB	socialize
with	IN	with
.	SENT	.
To	TO	to
discover	VB	discover
this	DT	this
,	,	,
my	PP$	my
colleagues	NNS	colleague
and	CC	and
I	PP	I
ran	VBD	run
an	DT	an
experiment	NN	experiment
.	SENT	.
We	PP	we
asked	VBD	ask
participants	NNS	participant
in	IN	in
our	PP$	our
study	NN	study
to	TO	to
send	VB	send
us	PP	us
digital	JJ	digital
photographs	NNS	photograph
of	IN	of
someone	NN	someone
who	WP	who
they	PP	they
could	MD	could
go	VB	go
to	TO	to
if	IN	if
they	PP	they
needed	VBD	need
help	VB	help
or	CC	or
support	VB	support
.	SENT	.
As	IN	as
you	PP	you
would	MD	would
expect	VB	expect
,	,	,
people	NNS	people
sent	VBD	send
us	PP	us
photos	NNS	photo
of	IN	of
their	PP$	their
romantic	JJ	romantic
partners	NNS	partner
,	,	,
their	PP$	their
closest	JJS	close
friends	NNS	friend
and	CC	and
their	PP$	their
family	NN	family
.	SENT	.
Then	RB	then
we	PP	we
had	VBD	have
our	PP$	our
participants	NNS	participant
view	VBP	view
those	DT	those
images	NNS	image
of	IN	of
their	PP$	their
support	NN	support
figure	NN	figure
while	IN	while
we	PP	we
tracked	VBD	track
their	PP$	their
brain	NN	brain
activity	NN	activity
using	VBG	use
MRI	NP	MRI
scanning	VBG	scan
.	SENT	.
Now	RB	now
,	,	,
critically	RB	critically
,	,	,
prior	RB	prior
to	TO	to
the	DT	the
MRI	NP	MRI
scans	VBZ	scan
,	,	,
we	PP	we
exposed	VBD	expose
a	DT	a
random	JJ	random
half	NN	half
of	IN	of
the	DT	the
participants	NNS	participant
in	IN	in
our	PP$	our
study	NN	study
to	TO	to
a	DT	a
bacteria	NNS	bacterium
which	WDT	which
cause	VBP	cause
levels	NNS	level
of	IN	of
inflammation	NN	inflammation
in	IN	in
the	DT	the
body	NN	body
to	TO	to
increase	VB	increase
.	SENT	.
The	DT	the
other	JJ	other
half	NN	half
just	RB	just
had	VBD	have
normal	JJ	normal
,	,	,
low	JJ	low
levels	NNS	level
of	IN	of
inflammation	NN	inflammation
.	SENT	.
And	CC	and
what	WP	what
we	PP	we
found	VBN	find
is	VBZ	be
that	IN	that
for	IN	for
the	DT	the
people	NNS	people
who	WP	who
we	PP	we
exposed	VBD	expose
to	TO	to
that	DT	that
bacteria	NNS	bacterium
,	,	,
who	WP	who
had	VBD	have
lots	NNS	lot
of	IN	of
cytokines	NNS	cytokine
in	IN	in
their	PP$	their
body	NN	body
,	,	,
they	PP	they
actually	RB	actually
showed	VBD	show
more	JJR	more
activity	NN	activity
in	IN	in
a	DT	a
reward-related	JJ	reward-related
region	NN	region
of	IN	of
the	DT	the
brain	NN	brain
,	,	,
called	VBD	call
the	DT	the
ventral	JJ	ventral
striatum	NN	<unknown>
,	,	,
when	WRB	when
they	PP	they
viewed	VBD	view
images	NNS	image
of	IN	of
their	PP$	their
support	NN	support
figures	NNS	figure
relative	JJ	relative
to	TO	to
the	DT	the
people	NNS	people
who	WP	who
had	VBD	have
low	JJ	low
levels	NNS	level
of	IN	of
inflammation	NN	inflammation
.	SENT	.
So	RB	so
what	WP	what
this	DT	this
suggests	VBZ	suggest
is	VBZ	be
that	IN	that
while	IN	while
inflammation	NN	inflammation
might	MD	might
make	VB	make
social	JJ	social
interactions	NNS	interaction
with	IN	with
strangers	NNS	stranger
seem	VBP	seem
less	RBR	less
rewarding	JJ	rewarding
,	,	,
it	PP	it
doesn	NNS	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
make	VB	make
all	DT	all
social	JJ	social
interactions	NNS	interaction
seem	VBP	seem
less	RBR	less
rewarding	JJ	rewarding
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
inflammation	NN	inflammation
may	MD	may
make	VB	make
us	PP	us
more	RBR	more
motivated	JJ	motivated
to	TO	to
seek	VB	seek
interactions	NNS	interaction
with	IN	with
people	NNS	people
who	WP	who
could	MD	could
provide	VB	provide
us	PP	us
with	IN	with
comfort	NN	comfort
or	CC	or
care	NN	care
.	SENT	.
Those	DT	those
who	WP	who
could	MD	could
be	VB	be
a	DT	a
shortcut	NN	shortcut
to	TO	to
chicken	NN	chicken
soup	NN	soup
.	SENT	.
But	CC	but
of	IN	of
course	NN	course
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
every	DT	every
day	NN	day
that	IN	that
we	PP	we
come	VBP	come
into	IN	into
contact	NN	contact
with	IN	with
a	DT	a
virus	NN	virus
or	CC	or
a	DT	a
bacteria	NNS	bacterium
,	,	,
or	CC	or
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
wound	NN	wound
that	WDT	that
causes	VBZ	cause
our	PP$	our
levels	NNS	level
of	IN	of
inflammation	NN	inflammation
to	TO	to
increase	VB	increase
.	SENT	.
So	RB	so
how	WRB	how
much	JJ	much
of	IN	of
a	DT	a
day-to-day	JJ	day-to-day
influence	NN	influence
on	IN	on
our	PP$	our
social	JJ	social
lives	NNS	life
does	VBZ	do
the	DT	the
immune	JJ	immune
system	NN	system
actually	RB	actually
have	VBP	have
?	SENT	?
Research	NP	Research
shows	VBZ	show
that	IN	that
the	DT	the
answer	NN	answer
is	VBZ	be
a	DT	a
lot	NN	lot
more	RBR	more
than	IN	than
you	PP	you
might	MD	might
think	VB	think
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
because	IN	because
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
robust	JJ	robust
findings	NNS	finding
in	IN	in
all	DT	all
of	IN	of
psychoneuroimmunology	NN	psychoneuroimmunology
research	NN	research
is	VBZ	be
that	IN	that
stress	NN	stress
causes	NNS	cause
inflammation	NN	inflammation
.	SENT	.
So	RB	so
purely	RB	purely
psychological	JJ	psychological
things	NNS	thing
happening	VBG	happen
in	IN	in
the	DT	the
brain	NN	brain
can	MD	can
cause	VB	cause
increases	NNS	increase
in	IN	in
cytokines	NNS	cytokine
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
This	DT	this
is	VBZ	be
true	JJ	true
across	IN	across
species	NNS	specie
,	,	,
from	IN	from
rodents	NNS	rodent
to	TO	to
primates	NNS	primate
to	TO	to
humans	NNS	human
.	SENT	.
In	IN	in
my	PP$	my
lab	NN	lab
and	CC	and
in	IN	in
others	NNS	other
across	IN	across
the	DT	the
globe	NN	globe
,	,	,
we	PP	we
study	VBP	study
the	DT	the
effects	NNS	effect
of	IN	of
stress	NN	stress
on	IN	on
inflammation	NN	inflammation
by	IN	by
asking	VBG	ask
people	NNS	people
to	TO	to
come	VB	come
into	IN	into
the	DT	the
lab	NN	lab
and	CC	and
give	VB	give
a	DT	a
ten-minute	NN	ten-minute
,	,	,
off-the-cuff	NN	off-the-cuff
speech	NN	speech
about	IN	about
why	WRB	why
they	PP	they
'	POS	'
d	NN	d
be	VB	be
a	DT	a
good	JJ	good
candidate	NN	candidate
for	IN	for
their	PP$	their
dream	NN	dream
job	NN	job
.	SENT	.
And	CC	and
then	RB	then
they	PP	they
have	VBP	have
to	TO	to
do	VB	do
challenging	VBG	challenge
mental	JJ	mental
math	NN	math
out	IN	out
loud	JJ	loud
.	SENT	.
And	CC	and
they	PP	they
do	VBP	do
this	DT	this
all	RB	all
in	IN	in
front	NN	front
of	IN	of
a	DT	a
panel	NN	panel
of	IN	of
experts	NNS	expert
who	WP	who
'	POS	'
s	NN	S
judging	VBG	judge
them	PP	them
.	SENT	.
Yeah	RB	yeah
,	,	,
people	NNS	people
report	VBP	report
that	IN	that
this	DT	this
is	VBZ	be
stressful	JJ	stressful
.	SENT	.
And	CC	and
critically	RB	critically
,	,	,
in	IN	in
response	NN	response
to	TO	to
this	DT	this
psychologically	RB	psychologically
stressful	JJ	stressful
experience	NN	experience
,	,	,
we	PP	we
see	VBP	see
that	IN	that
levels	NNS	level
of	IN	of
cytokines	NNS	cytokine
in	IN	in
the	DT	the
body	NN	body
have	VBP	have
increased	VBN	increase
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
a	DT	a
second	JJ	second
and	CC	and
really	RB	really
appreciate	VB	appreciate
that	DT	that
remarkable	JJ	remarkable
finding	NN	finding
.	SENT	.
In	IN	in
the	DT	the
absence	NN	absence
of	IN	of
anything	NN	anything
physically	RB	physically
wrong	JJ	wrong
with	IN	with
the	DT	the
body	NN	body
--	:	--
no	DT	no
viruses	NNS	virus
,	,	,
no	DT	no
bacteria	NNS	bacterium
,	,	,
no	DT	no
wounds	NNS	wound
--	:	--
a	DT	a
purely	RB	purely
psychological	JJ	psychological
stressor	NN	<unknown>
is	VBZ	be
causing	VBG	cause
the	DT	the
inflammatory	JJ	inflammatory
response	NN	response
to	TO	to
activate	VB	activate
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
that	IN	that
our	PP$	our
immune	JJ	immune
systems	NNS	system
are	VBP	be
sending	VBG	send
signals	NNS	signal
