So	IN	so
This	DT	this
space	NN	space
where	WRB	where
I	PP	I
can	MD	can
be	VB	be
both	CC	both
a	DT	a
sir	NN	sir
and	CC	and
a	DT	a
ma	NN	ma
'	POS	'
am	RB	am
feels	VBZ	feel
the	DT	the
most	JJS	most
right	NN	right
and	CC	and
the	DT	the
most	RBS	most
authentic	JJ	authentic
.	SENT	.
But	CC	but
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
these	DT	these
interactions	NNS	interaction
aren	NN	<unknown>
'	POS	'
t	NN	t
uncomfortable	JJ	uncomfortable
.	SENT	.
Trust	VB	trust
me	PP	me
,	,	,
the	DT	the
discomfort	NN	discomfort
can	MD	can
range	VB	range
from	IN	from
minor	JJ	minor
annoyance	NN	annoyance
to	TO	to
feeling	VBG	feel
physically	RB	physically
unsafe	JJ	unsafe
.	SENT	.
Like	IN	like
the	DT	the
time	NN	time
at	IN	at
a	DT	a
bar	NN	bar
in	IN	in
college	NN	college
when	WRB	when
a	DT	a
bouncer	NN	bouncer
physically	RB	physically
removed	VBD	remove
me	PP	me
by	IN	by
the	DT	the
back	NN	back
of	IN	of
the	DT	the
neck	NN	neck
and	CC	and
threw	VBD	throw
me	PP	me
out	RP	out
of	IN	of
a	DT	a
woman	NN	woman
'	POS	'
s	NN	S
restroom	NN	restroom
.	SENT	.
But	CC	but
for	IN	for
me	PP	me
,	,	,
authenticity	NN	authenticity
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
"	``	"
comfortable	JJ	comfortable
.	SENT	.
"	''	"
It	PP	it
means	VBZ	mean
managing	VBG	manage
and	CC	and
negotiating	VBG	negotiate
the	DT	the
discomfort	NN	discomfort
of	IN	of
everyday	JJ	everyday
life	NN	life
,	,	,
even	RB	even
at	IN	at
times	NNS	time
when	WRB	when
it	PP	it
'	POS	'
s	NNS	<unknown>
unsafe	JJ	unsafe
.	SENT	.
And	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
my	PP$	my
experience	NN	experience
as	IN	as
a	DT	a
trans	NNS	<unknown>
person	NN	person
collided	VBN	collide
with	IN	with
my	PP$	my
new	JJ	new
identity	NN	identity
as	IN	as
a	DT	a
parent	NN	parent
that	IN	that
I	PP	I
understood	VBD	understand
the	DT	the
depth	NN	depth
of	IN	of
my	PP$	my
vulnerabilities	NNS	vulnerability
and	CC	and
how	WRB	how
they	PP	they
are	VBP	be
preventing	VBG	prevent
me	PP	me
from	IN	from
being	VBG	be
my	PP$	my
most	RBS	most
authentic	JJ	authentic
self	NN	self
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
most	JJS	most
people	NNS	people
,	,	,
what	WP	what
their	PP$	their
child	NN	child
will	MD	will
call	VB	call
them	PP	them
is	VBZ	be
not	RB	not
something	NN	something
that	IN	that
they	PP	they
give	VBP	give
much	RB	much
thought	VBN	think
to	TO	to
outside	JJ	outside
of	IN	of
culturally	RB	culturally
specific	JJ	specific
words	NNS	word
or	CC	or
variations	NNS	variation
on	IN	on
a	DT	a
gendered	JJ	<unknown>
theme	NN	theme
like	IN	like
"	``	"
mama	NN	mama
,	,	,
"	''	"
"	``	"
mommy	NN	mommy
,	,	,
"	''	"
or	CC	or
"	``	"
daddy	NN	daddy
,	,	,
"	''	"
"	``	"
papa	NN	papa
.	SENT	.
"	''	"
But	CC	but
for	IN	for
me	PP	me
,	,	,
the	DT	the
possibility	NN	possibility
is	VBZ	be
what	WP	what
this	DT	this
child	NN	child
,	,	,
who	WP	who
will	MD	will
grow	VB	grow
to	TO	to
be	VB	be
a	DT	a
teenager	NN	teenager
and	CC	and
then	RB	then
a	DT	a
real-	NN	<unknown>
life	NN	life
adult	NN	adult
,	,	,
will	MD	will
call	VB	call
me	PP	me
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
our	PP$	our
lives	NNS	life
,	,	,
was	VBD	be
both	DT	both
extremely	RB	extremely
scary	JJ	scary
and	CC	and
exciting	JJ	exciting
.	SENT	.
And	CC	and
I	PP	I
spent	VBD	spend
nine	CD	nine
months	NNS	month
wrestling	VBG	wrestle
with	IN	with
the	DT	the
reality	NN	reality
that	RB	that
being	VBG	be
called	VBN	call
"	``	"
mama	NN	mama
"	''	"
or	CC	or
something	NN	something
like	IN	like
it	PP	it
didn	NN	<unknown>
'	POS	'
t	NN	t
feel	VBP	feel
like	IN	like
me	PP	me
at	IN	at
all	DT	all
.	SENT	.
And	CC	and
no	DT	no
matter	NN	matter
how	WRB	how
many	JJ	many
times	NNS	time
or	CC	or
versions	NNS	version
of	IN	of
"	``	"
mom	NN	mom
"	''	"
I	PP	I
tried	VBD	try
,	,	,
it	PP	it
always	RB	always
felt	VBD	feel
forced	VBN	force
and	CC	and
deeply	RB	deeply
uncomfortable	JJ	uncomfortable
.	SENT	.
I	PP	I
knew	VBD	know
being	VBG	be
called	VBN	call
"	``	"
mom	NN	mom
"	''	"
or	CC	or
"	``	"
mommy	NN	mommy
"	''	"
would	MD	would
be	VB	be
easier	JJR	easy
to	TO	to
digest	VB	digest
for	IN	for
most	JJS	most
people	NNS	people
.	SENT	.
The	DT	the
idea	NN	idea
of	IN	of
having	VBG	have
two	CD	two
moms	NNS	mom
is	VBZ	be
not	RB	not
super	JJ	super
novel	NN	novel
,	,	,
especially	RB	especially
where	WRB	where
we	PP	we
live	VBP	live
.	SENT	.
So	RB	so
I	PP	I
tried	VBD	try
other	JJ	other
words	NNS	word
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
played	VBD	play
around	RP	around
with	IN	with
"	``	"
daddy	NN	daddy
,	,	,
"	''	"
it	PP	it
felt	VBD	feel
better	JJR	good
.	SENT	.
Better	RBR	well
,	,	,
but	CC	but
not	RB	not
perfect	JJ	perfect
.	SENT	.
It	PP	it
felt	VBD	feel
like	IN	like
a	DT	a
pair	NN	pair
of	IN	of
shoes	NNS	shoe
that	IN	that
you	PP	you
really	RB	really
liked	VBD	like
but	CC	but
you	PP	you
needed	VBD	need
to	TO	to
wear	VB	wear
and	CC	and
break	VB	break
in	RP	in
.	SENT	.
And	CC	and
I	PP	I
knew	VBD	know
the	DT	the
idea	NN	idea
of	IN	of
being	VBG	be
a	DT	a
female-born	JJ	<unknown>
person	NN	person
being	VBG	be
called	VBN	call
"	``	"
daddy	NN	daddy
"	''	"
was	VBD	be
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
harder	JJR	hard
road	NN	road
with	IN	with
a	DT	a
lot	NN	lot
more	RBR	more
uncomfortable	JJ	uncomfortable
moments	NNS	moment
.	SENT	.
But	CC	but
,	,	,
before	IN	before
I	PP	I
knew	VBD	know
it	PP	it
,	,	,
the	DT	the
time	NN	time
had	VBD	have
come	VBN	come
and	CC	and
Elliot	NP	Elliot
came	VBD	come
screaming	VBG	scream
into	IN	into
the	DT	the
world	NN	world
,	,	,
like	IN	like
most	JJS	most
babies	NNS	baby
do	VBP	do
,	,	,
and	CC	and
my	PP$	my
new	JJ	new
identity	NN	identity
as	IN	as
a	DT	a
parent	NN	parent
began	VBD	begin
.	SENT	.
I	PP	I
decided	VBD	decide
on	IN	on
becoming	VBG	become
a	DT	a
daddy	NN	daddy
,	,	,
and	CC	and
our	PP$	our
new	JJ	new
family	NN	family
faced	VBD	face
the	DT	the
world	NN	world
.	SENT	.
Now	RB	now
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
common	JJ	common
things	NNS	thing
that	WDT	that
happens	VBZ	happen
when	WRB	when
people	NNS	people
meet	VBP	meet
us	PP	us
is	VBZ	be
for	IN	for
people	NNS	people
to	TO	to
"	``	"
mom	NN	mom
"	''	"
me	PP	me
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
get	VBP	get
"	``	"
momed	VBN	<unknown>
"	''	"
,	,	,
there	EX	there
are	VBP	be
several	JJ	several
ways	NNS	way
the	DT	the
interaction	NN	interaction
can	MD	can
go	VB	go
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
drawn	VBN	draw
this	DT	this
map	NN	map
to	TO	to
help	VB	help
illustrate	VB	illustrate
my	PP$	my
options	NNS	option
.	SENT	.
So	RB	so
,	,	,
option	NN	option
one	CD	one
is	VBZ	be
to	TO	to
ignore	VB	ignore
the	DT	the
assumption	NN	assumption
and	CC	and
allow	VB	allow
folks	NNS	folk
to	TO	to
continue	VB	continue
to	TO	to
refer	VB	refer
to	TO	to
me	PP	me
as	IN	as
"	``	"
mom	NN	mom
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
not	RB	not
awkward	JJ	awkward
for	IN	for
the	DT	the
other	JJ	other
party	NN	party
,	,	,
but	CC	but
is	VBZ	be
typically	RB	typically
really	RB	really
awkward	JJ	awkward
for	IN	for
us	PP	us
.	SENT	.
And	CC	and
it	PP	it
usually	RB	usually
causes	VBZ	cause
me	PP	me
to	TO	to
restrict	VB	restrict
my	PP$	my
interaction	NN	interaction
with	IN	with
those	DT	those
people	NNS	people
.	SENT	.
Option	NN	option
one	CD	one
.	SENT	.
Option	NN	option
two	CD	two
is	VBZ	be
to	TO	to
stop	VB	stop
and	CC	and
correct	VB	correct
them	PP	them
and	CC	and
say	VBP	say
something	NN	something
like	IN	like
,	,	,
"	''	"
Actually	RB	actually
,	,	,
I	PP	I
'	POS	'
m	NN	m
Elliot	NP	Elliot
'	POS	'
s	JJ	<unknown>
dad	NN	dad
"	''	"
or	CC	or
"	``	"
Elliot	NP	Elliot
calls	VBZ	call
me	PP	me
'	''	'
daddy	NN	daddy
.	SENT	.
'	''	'
"	``	"
And	CC	and
when	WRB	when
I	PP	I
do	VBP	do
this	DT	this
,	,	,
one	CD	one
or	CC	or
two	CD	two
of	IN	of
the	DT	the
following	VBG	follow
things	NNS	thing
happen	VB	happen
.	SENT	.
Folks	NNS	folk
take	VBP	take
it	PP	it
in	IN	in
stride	NN	stride
and	CC	and
say	VBP	say
something	NN	something
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
,	,	,
OK	UH	OK
.	SENT	.
"	''	"
And	CC	and
move	VB	move
on	RP	on
.	SENT	.
Or	CC	or
they	PP	they
respond	VBP	respond
by	IN	by
apologizing	VBG	apologize
profusely	RB	profusely
because	IN	because
they	PP	they
feel	VBP	feel
bad	JJ	bad
or	CC	or
awkward	JJ	awkward
or	CC	or
guilty	JJ	guilty
or	CC	or
weird	JJ	weird
.	SENT	.
But	CC	but
more	RBR	more
often	RB	often
,	,	,
what	WP	what
happens	VBZ	happen
is	VBZ	be
folks	NNS	folk
get	VBP	get
really	RB	really
confused	JJ	confused
and	CC	and
look	VB	look
up	RP	up
with	IN	with
an	DT	an
intense	JJ	intense
look	NN	look
and	CC	and
say	VBP	say
something	NN	something
like	IN	like
,	,	,
"	''	"
Does	VBZ	do
this	DT	this
mean	NN	mean
you	PP	you
want	VBP	want
to	TO	to
transition	NN	transition
?	SENT	?
Do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
a	DT	a
man	NN	man
?	SENT	?
"	''	"
Or	CC	or
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	``	"
How	WRB	how
can	MD	can
she	PP	she
be	VB	be
a	DT	a
father	NN	father
?	SENT	?
Only	JJ	only
men	NNS	man
can	MD	can
be	VB	be
dads	NNS	dad
.	SENT	.
"	''	"
Well	RB	well
,	,	,
option	VBP	option
one	PP	one
is	VBZ	be
oftentimes	NNS	oftentime
the	DT	the
easier	JJR	easy
route	NN	route
.	SENT	.
Option	NN	option
two	CD	two
is	VBZ	be
always	RB	always
the	DT	the
more	RBR	more
authentic	JJ	authentic
one	CD	one
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
these	DT	these
scenarios	NNS	scenario
involve	VBP	involve
a	DT	a
level	NN	level
of	IN	of
discomfort	NN	discomfort
,	,	,
even	RB	even
in	IN	in
the	DT	the
best	JJS	good
case	NN	case
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
say	VBP	say
that	IN	that
over	IN	over
time	NN	time
,	,	,
my	PP$	my
ability	NN	ability
to	TO	to
navigate	VB	navigate
this	DT	this
complicated	JJ	complicated
map	NN	map
has	VBZ	have
gotten	VBN	get
easier	JJR	easy
.	SENT	.
But	CC	but
the	DT	the
discomfort	NN	discomfort
is	VBZ	be
still	RB	still
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
won	VBD	win
'	''	'
t	NN	t
stand	VBP	stand
here	RB	here
and	CC	and
pretend	VB	pretend
like	IN	like
I	PP	I
'	POS	'
ve	NN	ve
mastered	VBD	master
this	DT	this
,	,	,
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
far	RB	far
from	IN	from
it	PP	it
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
days	NNS	day
when	WRB	when
I	PP	I
still	RB	still
allow	VBP	allow
option	NN	option
one	CD	one
to	TO	to
take	VB	take
place	NN	place
because	IN	because
option	NN	option
two	CD	two
is	VBZ	be
just	RB	just
too	RB	too
hard	JJ	hard
or	CC	or
too	RB	too
risky	JJ	risky
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
way	NN	way
to	TO	to
be	VB	be
sure	JJ	sure
of	IN	of
anyone	NN	anyone
'	POS	'
s	NN	S
reaction	NN	reaction
,	,	,
and	CC	and
I	PP	I
want	VBP	want
to	TO	to
be	VB	be
sure	JJ	sure
that	IN	that
folks	NNS	folk
have	VBP	have
good	JJ	good
intentions	NNS	intention
,	,	,
that	WDT	that
people	NNS	people
are	VBP	be
good	JJ	good
.	SENT	.
But	CC	but
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
world	NN	world
where	WRB	where
someone	NN	someone
'	POS	'
s	JJ	<unknown>
opinion	NN	opinion
of	IN	of
my	PP$	my
existence	NN	existence
can	MD	can
be	VB	be
met	VBN	meet
with	IN	with
serious	JJ	serious
threats	NNS	threat
to	TO	to
me	PP	me
or	CC	or
even	RB	even
my	PP$	my
family	NN	family
'	POS	'
s	JJ	<unknown>
emotional	JJ	emotional
or	CC	or
physical	JJ	physical
safety	NN	safety
.	SENT	.
So	RB	so
I	PP	I
weigh	VBP	weigh
the	DT	the
costs	NNS	cost
against	IN	against
the	DT	the
risks	NNS	risk
and	CC	and
sometimes	RB	sometimes
the	DT	the
safety	NN	safety
of	IN	of
my	PP$	my
family	NN	family
comes	VBZ	come
before	IN	before
my	PP$	my
own	JJ	own
authenticity	NN	authenticity
.	SENT	.
But	CC	but
despite	IN	despite
this	DT	this
risk	NN	risk
,	,	,
I	PP	I
know	VBP	know
as	IN	as
Elliot	NP	Elliot
gets	VBZ	get
older	JJR	old
and	CC	and
grows	VBZ	grow
into	IN	into
her	PP$	her
consciousness	NN	consciousness
and	CC	and
language	NN	language
skills	NNS	skill
,	,	,
if	IN	if
I	PP	I
don	NN	don
'	POS	'
t	NN	t
correct	JJ	correct
people	NNS	people
,	,	,
she	PP	she
will	MD	will
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
my	PP$	my
fears	NNS	fear
and	CC	and
insecurities	NNS	insecurity
to	TO	to
be	VB	be
placed	VBN	place
on	IN	on
her	PP	her
,	,	,
to	TO	to
dampen	VB	dampen
her	PP$	her
spirit	NN	spirit
or	CC	or
make	VB	make
her	PP	her
question	VB	question
her	PP$	her
own	JJ	own
voice	NN	voice
.	SENT	.
I	PP	I
need	VBP	need
to	TO	to
model	VB	model
agency	NN	agency
,	,	,
authenticity	NN	authenticity
and	CC	and
vulnerability	NN	vulnerability
,	,	,
and	CC	and
that	IN	that
means	NNS	mean
leaning	VBG	lean
into	IN	into
those	DT	those
uncomfortable	JJ	uncomfortable
moments	NNS	moment
of	IN	of
being	VBG	be
"	``	"
momed	JJ	<unknown>
"	''	"
and	CC	and
standing	VBG	stand
up	RP	up
and	CC	and
saying	VBG	say
,	,	,
"	``	"
No	UH	no
,	,	,
I	PP	I
'	POS	'
m	NN	m
a	DT	a
dad	NN	dad
.	SENT	.
And	CC	and
I	PP	I
even	RB	even
have	VBP	have
the	DT	the
dad	NN	dad
jokes	VBZ	joke
to	TO	to
prove	VB	prove
it	PP	it
.	SENT	.
"	''	"
Now	RB	now
,	,	,
there	EX	there
have	VBP	have
already	RB	already
been	VBN	be
plenty	NN	plenty
of	IN	of
uncomfortable	JJ	uncomfortable
moments	NNS	moment
and	CC	and
even	RB	even
some	DT	some
painful	JJ	painful
ones	NNS	one
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	RB	<unknown>
also	RB	also
been	VBN	be
,	,	,
in	IN	in
just	RB	just
two	CD	two
short	JJ	short
years	NNS	year
,	,	,
validating	VBG	validate
and	CC	and
at	IN	at
times	NNS	time
transformative	JJ	transformative
moments	NNS	moment
on	IN	on
my	PP$	my
journey	NN	journey
as	IN	as
a	DT	a
dad	NN	dad
and	CC	and
my	PP$	my
path	NN	path
towards	IN	towards
authenticity	NN	authenticity
.	SENT	.
When	WRB	when
we	PP	we
got	VBD	get
our	PP$	our
first	JJ	first
sonogram	NN	<unknown>
,	,	,
we	PP	we
decided	VBD	decide
we	PP	we
wanted	VBD	want
to	TO	to
know	VB	know
the	DT	the
sex	NN	sex
of	IN	of
the	DT	the
baby	NN	baby
.	SENT	.
The	DT	the
technician	NN	technician
saw	VBD	see
a	DT	a
vulva	NN	vulva
and	CC	and
slapped	VBD	slap
the	DT	the
words	NNS	word
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
girl	NN	girl
"	''	"
on	IN	on
the	DT	the
screen	NN	screen
and	CC	and
gave	VBD	give
us	PP	us
a	DT	a
copy	NN	copy
and	CC	and
sent	VBD	send
us	PP	us
on	IN	on
our	PP$	our
way	NN	way
.	SENT	.
We	PP	we
shared	VBD	share
the	DT	the
photo	NN	photo
with	IN	with
our	PP$	our
families	NNS	family
like	IN	like
everyone	NN	everyone
does	VBZ	do
and	CC	and
soon	RB	soon
after	RB	after
,	,	,
my	PP$	my
mom	NN	mom
showed	VBD	show
up	RP	up
at	IN	at
our	PP$	our
house	NN	house
with	IN	with
a	DT	a
bag	NN	bag
filled	VBN	fill
—	:	-
I	PP	I
'	POS	'
m	NN	m
not	RB	not
exaggerating	VBG	exaggerate
,	,	,
it	PP	it
was	VBD	be
like	IN	like
this	DT	this
high	JJ	high
and	CC	and
it	PP	it
was	VBD	be
filled	VBN	fill
,	,	,
overflowing	VBG	overflow
with	IN	with
pink	JJ	pink
clothes	NNS	clothes
and	CC	and
toys	NNS	toy
.	SENT	.
Now	RB	now
I	PP	I
was	VBD	be
a	DT	a
little	RB	little
annoyed	VBN	annoy
to	TO	to
be	VB	be
confronted	VBN	confront
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
pink	JJ	pink
things	NNS	thing
,	,	,
and	CC	and
having	VBG	have
studied	VBN	study
gender	NN	gender
and	CC	and
spent	VBD	spend
countless	JJ	countless
hours	NNS	hour
teaching	VBG	teach
about	IN	about
it	PP	it
in	IN	in
workshops	NNS	workshop
and	CC	and
classrooms	NNS	classroom
,	,	,
I	PP	I
thought	VBD	think
I	PP	I
was	VBD	be
pretty	RB	pretty
well	RB	well
versed	VBN	verse
on	IN	on
the	DT	the
social	JJ	social
construction	NN	construction
of	IN	of
gender	NN	gender
and	CC	and
how	WRB	how
sexism	NN	sexism
is	VBZ	be
a	DT	a
devaluing	VBG	devalue
of	IN	of
the	DT	the
feminine	JJ	feminine
and	CC	and
how	WRB	how
it	PP	it
manifests	VBZ	manifest
both	DT	both
explicitly	RB	explicitly
and	CC	and
implicitly	RB	implicitly
.	SENT	.
But	CC	but
this	DT	this
situation	NN	situation
,	,	,
this	DT	this
aversion	NN	aversion
to	TO	to
a	DT	a
bag	NN	bag
full	JJ	full
of	IN	of
pink	JJ	pink
stuff	NN	stuff
,	,	,
forced	VBD	force
me	PP	me
to	TO	to
explore	VB	explore
my	PP$	my
rejection	NN	rejection
of	IN	of
highly	RB	highly
feminized	VBN	feminize
things	NNS	thing
in	IN	in
my	PP$	my
child	NN	child
'	POS	'
s	NN	S
world	NN	world
.	SENT	.
I	PP	I
realized	VBD	realize
that	IN	that
I	PP	I
was	VBD	be
reinforcing	VBG	reinforce
sexism	NN	sexism
and	CC	and
the	DT	the
cultural	JJ	cultural
norms	NNS	norm
I	PP	I
teach	VBP	teach
as	RB	as
problematic	JJ	problematic
.	SENT	.
No	DT	no
matter	NN	matter
how	WRB	how
much	JJ	much
I	PP	I
believed	VBD	believe
in	IN	in
gender	NN	gender
neutrality	NN	neutrality
in	IN	in
theory	NN	theory
,	,	,
in	IN	in
practice	NN	practice
,	,	,
the	DT	the
absence	NN	absence
of	IN	of
femininity	NN	femininity
is	VBZ	be
not	RB	not
neutrality	NN	neutrality
,	,	,
it	PP	it
'	POS	'
s	NN	S
masculinity	NN	masculinity
.	SENT	.
If	IN	if
I	PP	I
only	RB	only
dress	VBP	dress
my	PP$	my
baby	NN	baby
in	IN	in
greens	NNS	green
and	CC	and
blues	NNS	blue
and	CC	and
grays	NNS	gray
,	,	,
the	DT	the
outside	JJ	outside
world	NN	world
doesn	NN	<unknown>
'	POS	'
t	NN	t
think	VBP	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
cute	JJ	cute
gender-neutral	JJ	gender-neutral
baby	NN	baby
.	SENT	.
"	``	"
They	PP	they
think	VBP	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
what	WP	what
a	DT	a
cute	JJ	cute
boy	NN	boy
.	SENT	.
"	''	"
So	IN	so
my	PP$	my
theoretical	JJ	theoretical
understanding	NN	understanding
of	IN	of
gender	NN	gender
and	CC	and
my	PP$	my
parenting	VBG	parent
world	NN	world
collided	VBD	collide
hard	JJ	hard
.	SENT	.
Yes	UH	yes
,	,	,
I	PP	I
want	VBP	want
a	DT	a
diversity	NN	diversity
of	IN	of
colors	NNS	color
and	CC	and
toys	NNS	toy
for	IN	for
my	PP$	my
child	NN	child
to	TO	to
experience	VB	experience
.	SENT	.
I	PP	I
want	VBP	want
a	DT	a
balanced	JJ	balanced
environment	NN	environment
for	IN	for
her	PP	her
to	TO	to
explore	VB	explore
and	CC	and
make	VB	make
sense	NN	sense
of	IN	of
in	IN	in
her	PP$	her
own	JJ	own
way	NN	way
.	SENT	.
We	PP	we
even	RB	even
picked	VBD	pick
a	DT	a
gender-neutral	JJ	gender-neutral
name	NN	name
for	IN	for
our	PP$	our
female-born	JJ	<unknown>
child	NN	child
.	SENT	.
But	CC	but
gender	NN	gender
