Chris	NP	Chris
What	WP	what
words	NNS	word
would	MD	would
you	PP	you
describe	VB	describe
yourself	PP	yourself
with	IN	with
?	SENT	?
ES	NP	ES
:	:	:
You	PP	you
know	VBP	know
,	,	,
everybody	NN	everybody
who	WP	who
is	VBZ	be
involved	VBN	involve
with	IN	with
this	DT	this
debate	NN	debate
has	VBZ	have
been	VBN	be
struggling	VBG	struggle
over	IN	over
me	PP	me
and	CC	and
my	PP$	my
personality	NN	personality
and	CC	and
how	WRB	how
to	TO	to
describe	VB	describe
me	PP	me
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
think	VBP	think
about	IN	about
it	PP	it
,	,	,
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
the	DT	the
question	NN	question
that	IN	that
we	PP	we
should	MD	should
be	VB	be
struggling	VBG	struggle
with	IN	with
.	SENT	.
Who	WP	who
I	PP	I
am	VBP	be
really	RB	really
doesn	NN	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
at	IN	at
all	DT	all
.	SENT	.
If	IN	if
I	PP	I
'	POS	'
m	NN	m
the	DT	the
worst	JJS	bad
person	NN	person
in	IN	in
the	DT	the
world	NN	world
,	,	,
you	PP	you
can	MD	can
hate	VB	hate
me	PP	me
and	CC	and
move	VB	move
on	RP	on
.	SENT	.
What	WP	what
really	RB	really
matters	VBZ	matter
here	RB	here
are	VBP	be
the	DT	the
issues	NNS	issue
.	SENT	.
What	WP	what
really	RB	really
matters	VBZ	matter
here	RB	here
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
government	NN	government
we	PP	we
want	VBP	want
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
Internet	NN	Internet
we	PP	we
want	VBP	want
,	,	,
the	DT	the
kind	NN	kind
of	IN	of
relationship	NN	relationship
between	IN	between
people	NNS	people
and	CC	and
societies	NNS	society
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
hoping	VBG	hope
the	DT	the
debate	NN	debate
will	MD	will
move	VB	move
towards	IN	towards
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
that	IN	that
increasing	VBG	increase
over	IN	over
time	NN	time
.	SENT	.
If	IN	if
I	PP	I
had	VBD	have
to	TO	to
describe	VB	describe
myself	PP	myself
,	,	,
I	NP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
use	NN	use
words	NNS	word
like	IN	like
"	``	"
hero	NN	hero
.	SENT	.
"	``	"
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
use	NN	use
"	''	"
patriot	NN	patriot
,	,	,
"	``	"
and	CC	and
I	PP	I
wouldn	NP	<unknown>
'	POS	'
t	NN	t
use	NN	use
"	''	"
traitor	NN	traitor
.	SENT	.
"	''	"
I	NP	I
'	POS	'
d	NN	d
say	VBP	say
I	PP	I
'	''	'
m	NN	m
an	DT	an
American	NP	American
and	CC	and
I	NP	I
'	POS	'
m	NN	m
a	DT	a
citizen	NN	citizen
,	,	,
just	RB	just
like	IN	like
everyone	NN	everyone
else	RB	else
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
just	RB	just
to	TO	to
give	VB	give
some	DT	some
context	NN	context
for	IN	for
those	DT	those
who	WP	who
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
the	DT	the
whole	JJ	whole
story	NN	story
—	:	-
—	:	-
this	DT	this
time	NN	time
a	DT	a
year	NN	year
ago	RB	ago
,	,	,
you	PP	you
were	VBD	be
stationed	VBN	station
in	IN	in
Hawaii	NP	Hawaii
working	VBG	work
as	IN	as
a	DT	a
consultant	NN	consultant
to	TO	to
the	DT	the
NSA	NP	NSA
.	SENT	.
As	IN	as
a	DT	a
sysadmin	NN	sysadmin
,	,	,
you	PP	you
had	VBD	have
access	NN	access
to	TO	to
their	PP$	their
systems	NNS	system
,	,	,
and	CC	and
you	PP	you
began	VBD	begin
revealing	VBG	reveal
certain	JJ	certain
classified	JJ	classified
documents	NNS	document
to	TO	to
some	DT	some
handpicked	VBN	handpick
journalists	NNS	journalist
leading	VBG	lead
the	DT	the
way	NN	way
to	TO	to
June	NP	June
'	POS	'
s	NN	S
revelations	NNS	revelation
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
propelled	VBD	propel
you	PP	you
to	TO	to
do	VB	do
this	DT	this
?	SENT	?
ES	NP	ES
:	:	:
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
sitting	VBG	sit
in	IN	in
Hawaii	NP	Hawaii
,	,	,
and	CC	and
the	DT	the
years	NNS	year
before	RB	before
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
working	VBG	work
in	IN	in
the	DT	the
intelligence	NN	intelligence
community	NN	community
,	,	,
I	PP	I
saw	VBD	see
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
that	WDT	that
had	VBD	have
disturbed	VBN	disturb
me	PP	me
.	SENT	.
We	PP	we
do	VBP	do
a	DT	a
lot	NN	lot
of	IN	of
good	JJ	good
things	NNS	thing
in	IN	in
the	DT	the
intelligence	NN	intelligence
community	NN	community
,	,	,
things	NNS	thing
that	WDT	that
need	VBP	need
to	TO	to
be	VB	be
done	VBN	do
,	,	,
and	CC	and
things	NNS	thing
that	WDT	that
help	VBP	help
everyone	NN	everyone
.	SENT	.
But	CC	but
there	EX	there
are	VBP	be
also	RB	also
things	NNS	thing
that	WDT	that
go	VBP	go
too	RB	too
far	RB	far
.	SENT	.
There	EX	there
are	VBP	be
things	NNS	thing
that	IN	that
shouldn	NP	<unknown>
'	POS	'
t	NN	t
be	VB	be
done	VBN	do
,	,	,
and	CC	and
decisions	NNS	decision
that	WDT	that
were	VBD	be
being	VBG	be
made	VBN	make
in	IN	in
secret	NN	secret
without	IN	without
the	DT	the
public	NN	public
'	POS	'
s	NN	S
awareness	NN	awareness
,	,	,
without	IN	without
the	DT	the
public	NN	public
'	POS	'
s	NN	S
consent	NN	consent
,	,	,
and	CC	and
without	IN	without
even	RB	even
our	PP$	our
representatives	NNS	representative
in	IN	in
government	NN	government
having	VBG	have
knowledge	NN	knowledge
of	IN	of
these	DT	these
programs	NNS	program
.	SENT	.
When	WRB	when
I	PP	I
really	RB	really
came	VBD	come
to	TO	to
struggle	VB	struggle
with	IN	with
these	DT	these
issues	NNS	issue
,	,	,
I	PP	I
thought	VBD	think
to	TO	to
myself	PP	myself
,	,	,
how	WRB	how
can	MD	can
I	PP	I
do	VB	do
this	DT	this
in	IN	in
the	DT	the
most	RBS	most
responsible	JJ	responsible
way	NN	way
,	,	,
that	WDT	that
maximizes	VBZ	maximize
the	DT	the
public	JJ	public
benefit	NN	benefit
while	IN	while
minimizing	VBG	minimize
the	DT	the
risks	NNS	risk
?	SENT	?
And	CC	and
out	IN	out
of	IN	of
all	PDT	all
the	DT	the
solutions	NNS	solution
that	IN	that
I	PP	I
could	MD	could
come	VB	come
up	RP	up
with	IN	with
,	,	,
out	RB	out
of	IN	of
going	VBG	go
to	TO	to
Congress	NP	Congress
,	,	,
when	WRB	when
there	EX	there
were	VBD	be
no	DT	no
laws	NNS	law
,	,	,
there	EX	there
were	VBD	be
no	DT	no
legal	JJ	legal
protections	NNS	protection
for	IN	for
a	DT	a
private	JJ	private
employee	NN	employee
,	,	,
a	DT	a
contractor	NN	contractor
in	IN	in
intelligence	NN	intelligence
like	IN	like
myself	PP	myself
,	,	,
there	EX	there
was	VBD	be
a	DT	a
risk	NN	risk
that	IN	that
I	PP	I
would	MD	would
be	VB	be
buried	VBN	bury
along	RP	along
with	IN	with
the	DT	the
information	NN	information
and	CC	and
the	DT	the
public	NN	public
would	MD	would
never	RB	never
find	VB	find
out	RP	out
.	SENT	.
But	CC	but
the	DT	the
First	NP	First
Amendment	NP	Amendment
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
Constitution	NP	Constitution
guarantees	VBZ	guarantee
us	PP	us
a	DT	a
free	JJ	free
press	NN	press
for	IN	for
a	DT	a
reason	NN	reason
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
to	TO	to
enable	VB	enable
an	DT	an
adversarial	NN	adversarial
press	NN	press
,	,	,
to	TO	to
challenge	VB	challenge
the	DT	the
government	NN	government
,	,	,
but	CC	but
also	RB	also
to	TO	to
work	VB	work
together	RB	together
with	IN	with
the	DT	the
government	NN	government
,	,	,
to	TO	to
have	VB	have
a	DT	a
dialogue	NN	dialogue
and	CC	and
debate	NN	debate
about	IN	about
how	WRB	how
we	PP	we
can	MD	can
inform	VB	inform
the	DT	the
public	NN	public
about	IN	about
matters	NNS	matter
of	IN	of
vital	JJ	vital
importance	NN	importance
without	IN	without
putting	VBG	put
our	PP$	our
national	JJ	national
security	NN	security
at	IN	at
risk	NN	risk
.	SENT	.
And	CC	and
by	IN	by
working	VBG	work
with	IN	with
journalists	NNS	journalist
,	,	,
by	IN	by
giving	VBG	give
all	DT	all
of	IN	of
my	PP$	my
information	NN	information
back	RB	back
to	TO	to
the	DT	the
American	JJ	American
people	NNS	people
,	,	,
rather	RB	rather
than	IN	than
trusting	VBG	trust
myself	PP	myself
to	TO	to
make	VB	make
the	DT	the
decisions	NNS	decision
about	IN	about
publication	NN	publication
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
robust	JJ	robust
debate	NN	debate
with	IN	with
a	DT	a
deep	JJ	deep
investment	NN	investment
by	IN	by
the	DT	the
government	NN	government
that	IN	that
I	PP	I
think	VBP	think
has	VBZ	have
resulted	VBN	result
in	IN	in
a	DT	a
benefit	NN	benefit
for	IN	for
everyone	NN	everyone
.	SENT	.
And	CC	and
the	DT	the
risks	NNS	risk
that	WDT	that
have	VBP	have
been	VBN	be
threatened	VBN	threaten
,	,	,
the	DT	the
risks	NNS	risk
that	WDT	that
have	VBP	have
been	VBN	be
played	VBN	play
up	RP	up
by	IN	by
the	DT	the
government	NN	government
have	VBP	have
never	RB	never
materialized	VBN	materialize
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
never	RB	never
seen	VBN	see
any	DT	any
evidence	NN	evidence
of	IN	of
even	RB	even
a	DT	a
single	JJ	single
instance	NN	instance
of	IN	of
specific	JJ	specific
harm	NN	harm
,	,	,
and	CC	and
because	IN	because
of	IN	of
that	DT	that
,	,	,
I	PP	I
'	POS	'
m	NN	m
comfortable	JJ	comfortable
with	IN	with
the	DT	the
decisions	NNS	decision
that	IN	that
I	PP	I
made	VBD	make
.	SENT	.
CA	MD	ca
:	:	:
So	RB	so
let	VB	let
me	PP	me
show	VB	show
the	DT	the
audience	NN	audience
a	DT	a
couple	NN	couple
of	IN	of
examples	NNS	example
of	IN	of
what	WP	what
you	PP	you
revealed	VBD	reveal
.	SENT	.
If	IN	if
we	PP	we
could	MD	could
have	VB	have
a	DT	a
slide	NN	slide
up	RB	up
,	,	,
and	CC	and
Ed	NP	Ed
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
whether	IN	whether
you	PP	you
can	MD	can
see	VB	see
,	,	,
the	DT	the
slides	NNS	slide
are	VBP	be
here	RB	here
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
slide	NN	slide
of	IN	of
the	DT	the
PRISM	NN	prism
program	NN	program
,	,	,
and	CC	and
maybe	RB	maybe
you	PP	you
could	MD	could
tell	VB	tell
the	DT	the
audience	NN	audience
what	WP	what
that	RB	that
was	VBD	be
that	DT	that
was	VBD	be
revealed	VBN	reveal
.	SENT	.
ES	NP	ES
:	:	:
The	DT	the
best	JJS	good
way	NN	way
to	TO	to
understand	VB	understand
PRISM	NN	prism
,	,	,
because	IN	because
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
controversy	NN	controversy
,	,	,
is	VBZ	be
to	TO	to
first	JJ	first
talk	NN	talk
about	IN	about
what	WP	what
PRISM	NN	prism
isn	NN	isn
'	POS	'
t	NN	t
.	SENT	.
Much	RB	much
of	IN	of
the	DT	the
debate	NN	debate
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
has	VBZ	have
been	VBN	be
about	IN	about
metadata	NNS	<unknown>
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
said	VBD	say
it	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
metadata	NNS	<unknown>
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
metadata	NNS	<unknown>
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
a	DT	a
specific	JJ	specific
legal	JJ	legal
authority	NN	authority
called	VBN	call
Section	NP	Section
215	CD	@card@
of	IN	of
the	DT	the
Patriot	NN	patriot
Act	NN	act
.	SENT	.
That	DT	that
allows	VBZ	allow
sort	NN	sort
of	IN	of
a	DT	a
warrantless	JJ	warrantless
wiretapping	VBG	wiretap
,	,	,
mass	JJ	mass
surveillance	NN	surveillance
of	IN	of
the	DT	the
entire	JJ	entire
country	NN	country
'	POS	'
s	JJ	<unknown>
phone	NN	phone
records	NNS	record
,	,	,
things	NNS	thing
like	IN	like
that	DT	that
—	:	-
who	WP	who
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
to	TO	to
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
talking	VBG	talk
to	TO	to
them	PP	them
,	,	,
where	WRB	where
you	PP	you
traveled	VBD	travel
.	SENT	.
These	DT	these
are	VBP	be
all	DT	all
metadata	NN	<unknown>
events	NNS	event
.	SENT	.
PRISM	NN	prism
is	VBZ	be
about	RB	about
content	JJ	content
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
program	NN	program
through	IN	through
which	WDT	which
the	DT	the
government	NN	government
could	MD	could
compel	VB	compel
corporate	JJ	corporate
America	NP	America
,	,	,
it	PP	it
could	MD	could
deputize	VB	deputize
corporate	JJ	corporate
America	NP	America
to	TO	to
do	VB	do
its	PP$	its
dirty	JJ	dirty
work	NN	work
for	IN	for
the	DT	the
NSA	NP	NSA
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
some	DT	some
of	IN	of
these	DT	these
companies	NNS	company
did	VBD	do
resist	VB	resist
,	,	,
even	RB	even
though	IN	though
some	DT	some
of	IN	of
them	PP	them
—	:	-
I	PP	I
believe	VBP	believe
Yahoo	NN	yahoo
was	VBD	be
one	CD	one
of	IN	of
them	PP	them
—	:	-
challenged	VBD	challenge
them	PP	them
in	IN	in
court	NN	court
,	,	,
they	PP	they
all	RB	all
lost	VBD	lose
,	,	,
because	IN	because
it	PP	it
was	VBD	be
never	RB	never
tried	VBN	try
by	IN	by
an	DT	an
open	JJ	open
court	NN	court
.	SENT	.
They	PP	they
were	VBD	be
only	RB	only
tried	VBN	try
by	IN	by
a	DT	a
secret	JJ	secret
court	NN	court
.	SENT	.
And	CC	and
something	NN	something
that	IN	that
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
,	,	,
something	NN	something
about	IN	about
the	DT	the
PRISM	NN	prism
program	NN	program
that	RB	that
'	POS	'
s	NN	S
very	RB	very
concerning	VBG	concern
to	TO	to
me	PP	me
is	VBZ	be
,	,	,
there	EX	there
'	''	'
s	RB	<unknown>
been	VBN	be
a	DT	a
talking	VBG	talk
point	NN	point
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
government	NN	government
where	WRB	where
they	PP	they
'	POS	'
ve	NN	ve
said	VBD	say
15	CD	@card@
federal	JJ	federal
judges	NNS	judge
have	VBP	have
reviewed	VBN	review
these	DT	these
programs	NNS	program
and	CC	and
found	VBD	find
them	PP	them
to	TO	to
be	VB	be
lawful	JJ	lawful
,	,	,
but	CC	but
what	WP	what
they	PP	they
don	VBP	don
'	''	'
t	NN	t
tell	VBP	tell
you	PP	you
is	VBZ	be
those	DT	those
are	VBP	be
secret	JJ	secret
judges	NNS	judge
in	IN	in
a	DT	a
secret	JJ	secret
court	NN	court
based	VBN	base
on	IN	on
secret	JJ	secret
interpretations	NNS	interpretation
of	IN	of
law	NN	law
that	RB	that
'	POS	'
s	NN	S
considered	VBD	consider
34	CD	@card@
,	,	,
000	CD	@card@
warrant	NN	warrant
requests	NNS	request
over	IN	over
33	CD	@card@
years	NNS	year
,	,	,
and	CC	and
in	IN	in
33	CD	@card@
years	NNS	year
only	RB	only
rejected	VBD	reject
11	CD	@card@
government	NN	government
requests	NNS	request
.	SENT	.
These	DT	these
aren	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
people	NNS	people
that	WDT	that
we	PP	we
want	VBP	want
deciding	VBG	decide
what	WP	what
the	DT	the
role	NN	role
of	IN	of
corporate	JJ	corporate
America	NP	America
in	IN	in
a	DT	a
free	JJ	free
and	CC	and
open	JJ	open
Internet	NN	Internet
should	MD	should
be	VB	be
.	SENT	.
CA	MD	ca
:	:	:
Now	RB	now
,	,	,
this	DT	this
slide	NN	slide
that	IN	that
we	PP	we
'	POS	'
re	NN	re
showing	NN	showing
here	RB	here
shows	VBZ	show
the	DT	the
dates	NNS	date
in	IN	in
which	WDT	which
different	JJ	different
technology	NN	technology
companies	NNS	company
,	,	,
Internet	NN	Internet
companies	NNS	company
,	,	,
are	VBP	be
alleged	VBN	allege
to	TO	to
have	VB	have
joined	VBN	join
the	DT	the
program	NN	program
,	,	,
and	CC	and
where	WRB	where
data	NN	data
collection	NN	collection
began	VBD	begin
from	IN	from
them	PP	them
.	SENT	.
Now	RB	now
,	,	,
they	PP	they
have	VBP	have
denied	VBN	deny
collaborating	VBG	collaborate
with	IN	with
the	DT	the
NSA	NP	NSA
.	SENT	.
How	WRB	how
was	VBD	be
that	IN	that
data	NNS	datum
collected	VBN	collect
by	IN	by
the	DT	the
NSA	NP	NSA
?	SENT	?
ES	NP	ES
:	:	:
Right	NN	right
.	SENT	.
So	IN	so
the	DT	the
NSA	NP	NSA
'	POS	'
s	JJ	<unknown>
own	JJ	own
slides	NNS	slide
refer	VBP	refer
to	TO	to
it	PP	it
as	IN	as
direct	JJ	direct
access	NN	access
.	SENT	.
What	WP	what
that	WDT	that
means	VBZ	mean
to	TO	to
an	DT	an
actual	JJ	actual
NSA	NP	NSA
analyst	NN	analyst
,	,	,
someone	NN	someone
like	IN	like
me	PP	me
who	WP	who
was	VBD	be
working	VBG	work
as	IN	as
an	DT	an
intelligence	NN	intelligence
analyst	NN	analyst
targeting	VBG	target
,	,	,
Chinese	JJ	Chinese
cyber-hackers	NNS	cyber-hacker
,	,	,
things	NNS	thing
like	VBP	like
that	IN	that
,	,	,
in	IN	in
Hawaii	NP	Hawaii
,	,	,
is	VBZ	be
the	DT	the
provenance	NN	provenance
of	IN	of
that	DT	that
data	NN	data
is	VBZ	be
directly	RB	directly
from	IN	from
their	PP$	their
servers	NNS	server
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
mean	VBP	mean
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
group	NN	group
of	IN	of
company	NN	company
representatives	NNS	representative
sitting	VBG	sit
in	IN	in
a	DT	a
smoky	JJ	smoky
room	NN	room
with	IN	with
the	DT	the
NSA	NP	NSA
palling	VBG	pal
around	RP	around
and	CC	and
making	VBG	make
back-room	NN	back-room
deals	NNS	deal
about	RB	about
how	WRB	how
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
give	VB	give
this	DT	this
stuff	NN	stuff
away	RB	away
.	SENT	.
Now	RB	now
each	DT	each
company	NN	company
handles	VBZ	handle
it	PP	it
different	JJ	different
ways	NNS	way
.	SENT	.
Some	DT	some
are	VBP	be
responsible	JJ	responsible
.	SENT	.
Some	DT	some
are	VBP	be
somewhat	RB	somewhat
less	RBR	less
responsible	JJ	responsible
.	SENT	.
But	CC	but
the	DT	the
bottom	JJ	bottom
line	NN	line
is	VBZ	be
,	,	,
when	WRB	when
we	PP	we
talk	VBP	talk
about	RB	about
how	WRB	how
this	DT	this
information	NN	information
is	VBZ	be
given	VBN	give
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
coming	VBG	come
from	IN	from
the	DT	the
companies	NNS	company
themselves	PP	themselves
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
stolen	VBN	steal
from	IN	from
the	DT	the
lines	NNS	line
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
important	JJ	important
thing	NN	thing
to	TO	to
remember	VB	remember
here	RB	here
:	:	:
even	RB	even
though	IN	though
companies	NNS	company
pushed	VBN	push
back	RB	back
,	,	,
even	RB	even
though	IN	though
companies	NNS	company
demanded	VBD	demand
,	,	,
hey	UH	hey
,	,	,
let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
through	IN	through
a	DT	a
warrant	NN	warrant
process	NN	process
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
where	WRB	where
we	PP	we
actually	RB	actually
have	VBP	have
some	DT	some
sort	NN	sort
of	IN	of
legal	JJ	legal
review	NN	review
,	,	,
some	DT	some
sort	NN	sort
of	IN	of
basis	NN	basis
for	IN	for
handing	VBG	hand
over	IN	over
these	DT	these
users	NNS	user
'	POS	'
data	NNS	datum
,	,	,
we	PP	we
saw	VBD	see
stories	NNS	story
in	IN	in
the	DT	the
Washington	NP	Washington
Post	NP	Post
last	JJ	last
year	NN	year
that	IN	that
weren	NNS	<unknown>
'	POS	'
t	NN	t
as	IN	as
well	RB	well
reported	VBN	report
as	IN	as
the	DT	the
PRISM	NN	prism
story	NN	story
that	WDT	that
said	VBD	say
the	DT	the
NSA	NP	NSA
broke	VBD	break
in	IN	in
to	TO	to
the	DT	the
data	NN	data
center	NN	center
communications	NNS	communication
between	IN	between
Google	NN	<unknown>
to	TO	to
itself	PP	itself
and	CC	and
Yahoo	NN	yahoo
to	TO	to
itself	PP	itself
.	SENT	.
So	RB	so
even	RB	even
these	DT	these
companies	NNS	company
that	WDT	that
are	VBP	be
cooperating	VBG	cooperate
in	IN	in
at	IN	at
least	JJS	least
a	DT	a
compelled	VBN	compel
but	CC	but
hopefully	RB	hopefully
lawful	JJ	lawful
manner	NN	manner
with	IN	with
the	DT	the
NSA	NP	NSA
,	,	,
the	DT	the
NSA	NP	NSA
isn	NN	isn
'	POS	'
t	NN	t
satisfied	VBN	satisfy
with	IN	with
that	DT	that
,	,	,
and	CC	and
because	IN	because
of	IN	of
that	DT	that
,	,	,
we	PP	we
need	VBP	need
our	PP$	our
companies	NNS	company
to	TO	to
work	VB	work
very	RB	very
hard	JJ	hard
to	TO	to
guarantee	VB	guarantee
that	IN	that
they	PP	they
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
represent	VB	represent
the	DT	the
interests	NNS	interest
of	IN	of
the	DT	the
user	NN	user
,	,	,
and	CC	and
also	RB	also
advocate	VBP	advocate
for	IN	for
the	DT	the
rights	NNS	right
of	IN	of
the	DT	the
users	NNS	user
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
over	IN	over
the	DT	the
last	JJ	last
year	NN	year
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
seen	VBN	see
the	DT	the
companies	NNS	company
that	WDT	that
are	VBP	be
named	VBN	name
on	IN	on
the	DT	the
PRISM	NN	prism
slides	VBZ	slide
take	VB	take
great	JJ	great
strides	NNS	stride
to	TO	to
do	VB	do
that	IN	that
,	,	,
and	CC	and
I	PP	I
encourage	VBP	encourage
them	PP	them
to	TO	to
continue	VB	continue
.	SENT	.
CA	MD	ca
:	:	:
What	WP	what
more	JJR	more
should	MD	should
they	PP	they
do	VB	do
?	SENT	?
ES	NP	ES
:	:	:
The	DT	the
biggest	JJS	big
thing	NN	thing
that	IN	that
an	DT	an
Internet	NN	Internet
company	NN	company
in	IN	in
America	NP	America
can	MD	can
do	VB	do
today	NN	today
,	,	,
right	RB	right
now	RB	now
,	,	,
without	IN	without
consulting	NN	consulting
with	IN	with
lawyers	NNS	lawyer
,	,	,
to	TO	to
protect	VB	protect
the	DT	the
rights	NNS	right
of	IN	of
users	NNS	user
worldwide	RB	worldwide
,	,	,
is	VBZ	be
to	TO	to
enable	VB	enable
SSL	NP	SSL
web	NN	web
encryption	NN	encryption
on	IN	on
every	DT	every
page	NN	page
you	PP	you
visit	VBP	visit
.	SENT	.
The	DT	the
reason	NN	reason
this	DT	this
matters	NNS	matter
is	VBZ	be
today	NN	today
,	,	,
if	IN	if
you	PP	you
go	VBP	go
to	TO	to
look	VB	look
at	IN	at
a	DT	a
copy	NN	copy
of	IN	of
"	``	"
1984	CD	@card@
"	''	"
on	IN	on
Amazon	NP	Amazon
.	SENT	.
com	NN	com
,	,	,
the	DT	the
NSA	NP	NSA
can	MD	can
see	VB	see
a	DT	a
record	NN	record
of	IN	of
that	DT	that
,	,	,
the	DT	the
Russian	JJ	Russian
intelligence	NN	intelligence
service	NN	service
can	MD	can
see	VB	see
a	DT	a
record	NN	record
of	IN	of
that	DT	that
,	,	,
the	DT	the
Chinese	JJ	Chinese
service	NN	service
can	MD	can
see	VB	see
a	DT	a
record	NN	record
of	IN	of
that	DT	that
,	,	,
the	DT	the
French	JJ	French
service	NN	service
,	,	,
the	DT	the
German	JJ	German
service	NN	service
,	,	,
the	DT	the
services	NNS	service
of	IN	of
Andorra	NP	Andorra
.	SENT	.
They	PP	they
can	MD	can
all	RB	all
see	VB	see
it	PP	it
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
unencrypted	JJ	<unknown>
.	SENT	.
The	DT	the
world	NN	world
'	POS	'
