Let	VB	let
pretty	JJ	pretty
girl	NN	girl
could	MD	could
walk	VB	walk
by	IN	by
,	,	,
they	PP	they
don	VBP	don
'	''	'
t	NN	t
care	NN	care
,	,	,
but	CC	but
they	PP	they
see	VBP	see
a	DT	a
crossbar	NN	crossbar
to	TO	to
a	DT	a
capital	NN	capital
A	DT	a
,	,	,
they	PP	they
get	VBP	get
very	RB	very
excited	JJ	excited
and	CC	and
they	PP	they
say	VBP	say
"	``	"
crossbar	NN	crossbar
,	,	,
"	``	"
and	CC	and
they	PP	they
put	VBD	put
out	RP	out
a	DT	a
high	JJ	high
probability	NN	probability
on	IN	on
their	PP$	their
output	NN	output
axon	NN	axon
.	SENT	.
That	DT	that
goes	VBZ	go
to	TO	to
the	DT	the
next	JJ	next
level	NN	level
,	,	,
and	CC	and
these	DT	these
layers	NNS	layer
are	VBP	be
organized	VBN	organize
in	IN	in
conceptual	JJ	conceptual
levels	NNS	level
.	SENT	.
Each	DT	each
is	VBZ	be
more	RBR	more
abstract	JJ	abstract
than	IN	than
the	DT	the
next	JJ	next
one	CD	one
,	,	,
so	RB	so
the	DT	the
next	JJ	next
one	CD	one
might	MD	might
say	VB	say
"	``	"
capital	NN	capital
A	NP	A
.	SENT	.
"	``	"
That	DT	that
goes	VBZ	go
up	RP	up
to	TO	to
a	DT	a
higher	JJR	high
level	NN	level
that	WDT	that
might	MD	might
say	VB	say
"	``	"
Apple	NP	Apple
.	SENT	.
"	``	"
Information	NN	information
flows	VBZ	flow
down	RP	down
also	RB	also
.	SENT	.
If	IN	if
the	DT	the
apple	NN	apple
recognizer	NN	recognizer
has	VBZ	have
seen	VBN	see
A-P-P-L	NP	<unknown>
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
think	VBP	think
to	TO	to
itself	PP	itself
,	,	,
"	``	"
Hmm	UH	hmm
,	,	,
I	PP	I
think	VBP	think
an	DT	an
E	NN	E
is	VBZ	be
probably	RB	probably
likely	JJ	likely
,	,	,
"	''	"
and	CC	and
it	PP	it
'	POS	'
ll	NNS	<unknown>
send	VBP	send
a	DT	a
signal	NN	signal
down	RB	down
to	TO	to
all	PDT	all
the	DT	the
E	NN	E
recognizers	NNS	recognizer
saying	VBG	say
,	,	,
"	''	"
Be	NP	Be
on	IN	on
the	DT	the
lookout	NN	lookout
for	IN	for
an	DT	an
E	NN	E
,	,	,
I	PP	I
think	VBP	think
one	PP	one
might	MD	might
be	VB	be
coming	VBG	come
.	SENT	.
"	''	"
The	DT	the
E	NN	E
recognizers	NNS	recognizer
will	MD	will
lower	VB	lower
their	PP$	their
threshold	NN	threshold
and	CC	and
they	PP	they
see	VBP	see
some	DT	some
sloppy	JJ	sloppy
thing	NN	thing
,	,	,
could	MD	could
be	VB	be
an	DT	an
E	NN	E
.	SENT	.
Ordinarily	RB	ordinarily
you	PP	you
wouldn	NP	<unknown>
'	POS	'
t	NN	t
think	VBP	think
so	RB	so
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
expecting	VBG	expect
an	DT	an
E	NN	E
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
good	JJ	good
enough	NN	enough
,	,	,
and	CC	and
yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
seen	VBN	see
an	DT	an
E	NN	E
,	,	,
and	CC	and
then	RB	then
apple	NN	apple
says	VBZ	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
seen	VBN	see
an	DT	an
Apple	NP	Apple
.	SENT	.
"	``	"
Go	VB	go
up	RP	up
another	DT	another
five	CD	five
levels	NNS	level
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
now	RB	now
at	IN	at
a	DT	a
pretty	JJ	pretty
high	JJ	high
level	NN	level
of	IN	of
this	DT	this
hierarchy	NN	hierarchy
,	,	,
and	CC	and
stretch	VB	stretch
down	RP	down
into	IN	into
the	DT	the
different	JJ	different
senses	NNS	sense
,	,	,
and	CC	and
you	PP	you
may	MD	may
have	VB	have
a	DT	a
module	NN	module
that	WDT	that
sees	VBZ	see
a	DT	a
certain	JJ	certain
fabric	NN	fabric
,	,	,
hears	VBZ	hear
a	DT	a
certain	JJ	certain
voice	NN	voice
quality	NN	quality
,	,	,
smells	VBZ	smell
a	DT	a
certain	JJ	certain
perfume	NN	perfume
,	,	,
and	CC	and
will	MD	will
say	VB	say
,	,	,
"	``	"
My	PP$	my
wife	NN	wife
has	VBZ	have
entered	VBN	enter
the	DT	the
room	NN	room
.	SENT	.
"	''	"
Go	VB	go
up	RP	up
another	DT	another
10	CD	@card@
levels	NNS	level
,	,	,
and	CC	and
now	RB	now
you	PP	you
'	POS	'
re	NN	re
at	IN	at
a	DT	a
very	RB	very
high	JJ	high
level	NN	level
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
probably	RB	probably
in	IN	in
the	DT	the
frontal	JJ	frontal
cortex	NN	cortex
,	,	,
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
have	VBP	have
modules	NNS	module
that	WDT	that
say	VBP	say
,	,	,
"	``	"
That	DT	that
was	VBD	be
ironic	JJ	ironic
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
funny	JJ	funny
.	SENT	.
She	NN	she
'	POS	'
s	NN	S
pretty	RB	pretty
.	SENT	.
"	``	"
You	PP	you
might	MD	might
think	VB	think
that	IN	that
those	DT	those
are	VBP	be
more	RBR	more
sophisticated	JJ	sophisticated
,	,	,
but	CC	but
actually	RB	actually
what	WP	what
'	POS	'
s	NNS	<unknown>
more	RBR	more
complicated	JJ	complicated
is	VBZ	be
the	DT	the
hierarchy	NN	hierarchy
beneath	IN	beneath
them	PP	them
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
16-year-old	JJ	16-year-old
girl	NN	girl
,	,	,
she	PP	she
had	VBD	have
brain	NN	brain
surgery	NN	surgery
,	,	,
and	CC	and
she	PP	she
was	VBD	be
conscious	JJ	conscious
because	IN	because
the	DT	the
surgeons	NNS	surgeon
wanted	VBD	want
to	TO	to
talk	VB	talk
to	TO	to
her	PP	her
.	SENT	.
You	PP	you
can	MD	can
do	VB	do
that	IN	that
because	IN	because
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
pain	NN	pain
receptors	NNS	receptor
in	IN	in
the	DT	the
brain	NN	brain
.	SENT	.
And	CC	and
whenever	WRB	whenever
they	PP	they
stimulated	VBD	stimulate
particular	JJ	particular
,	,	,
very	JJ	very
small	JJ	small
points	NNS	point
on	IN	on
her	PP$	her
neocortex	NN	neocortex
,	,	,
shown	VBN	show
here	RB	here
in	IN	in
red	JJ	red
,	,	,
she	PP	she
would	MD	would
laugh	VB	laugh
.	SENT	.
So	RB	so
at	IN	at
first	RB	first
they	PP	they
thought	VBD	think
they	PP	they
were	VBD	be
triggering	VBG	trigger
some	DT	some
kind	NN	kind
of	IN	of
laugh	NN	laugh
reflex	NN	reflex
,	,	,
but	CC	but
no	RB	no
,	,	,
they	PP	they
quickly	RB	quickly
realized	VBD	realize
they	PP	they
had	VBD	have
found	VBN	find
the	DT	the
points	NNS	point
in	IN	in
her	PP$	her
neocortex	NN	neocortex
that	WDT	that
detect	VBP	detect
humor	NN	humor
,	,	,
and	CC	and
she	PP	she
just	RB	just
found	VBD	find
everything	NN	everything
hilarious	JJ	hilarious
whenever	WRB	whenever
they	PP	they
stimulated	VBD	stimulate
these	DT	these
points	NNS	point
.	SENT	.
"	``	"
You	PP	you
guys	NNS	guy
are	VBP	be
so	RB	so
funny	JJ	funny
just	RB	just
standing	VBG	stand
around	RP	around
,	,	,
"	''	"
was	VBD	be
the	DT	the
typical	JJ	typical
comment	NN	comment
,	,	,
and	CC	and
they	PP	they
weren	NN	<unknown>
'	POS	'
t	NN	t
funny	JJ	funny
,	,	,
not	RB	not
while	IN	while
doing	VBG	do
surgery	NN	surgery
.	SENT	.
So	RB	so
how	WRB	how
are	VBP	be
we	PP	we
doing	VBG	do
today	NN	today
?	SENT	?
Well	RB	well
,	,	,
computers	NNS	computer
are	VBP	be
actually	RB	actually
beginning	VBG	begin
to	TO	to
master	VB	master
human	JJ	human
language	NN	language
with	IN	with
techniques	NNS	technique
that	WDT	that
are	VBP	be
similar	JJ	similar
to	TO	to
the	DT	the
neocortex	NN	neocortex
.	SENT	.
I	PP	I
actually	RB	actually
described	VBD	describe
the	DT	the
algorithm	NN	algorithm
,	,	,
which	WDT	which
is	VBZ	be
similar	JJ	similar
to	TO	to
something	NN	something
called	VBD	call
a	DT	a
hierarchical	JJ	hierarchical
hidden	JJ	hidden
Markov	NP	<unknown>
model	NN	model
,	,	,
something	NN	something
I	NP	I
'	POS	'
ve	NN	ve
worked	VBD	work
on	IN	on
since	IN	since
the	DT	the
'	''	'
90s	NNS	<unknown>
.	SENT	.
"	``	"
Jeopardy	NN	jeopardy
"	''	"
is	VBZ	be
a	DT	a
very	RB	very
broad	JJ	broad
natural	JJ	natural
language	NN	language
game	NN	game
,	,	,
and	CC	and
Watson	NP	Watson
got	VBD	get
a	DT	a
higher	JJR	high
score	NN	score
than	IN	than
the	DT	the
best	JJS	good
two	CD	two
players	NNS	player
combined	JJ	combined
.	SENT	.
It	PP	it
got	VBD	get
this	DT	this
query	NN	query
correct	VB	correct
:	:	:
"	``	"
A	DT	a
long	JJ	long
,	,	,
tiresome	JJ	tiresome
speech	NN	speech
delivered	VBN	deliver
by	IN	by
a	DT	a
frothy	JJ	frothy
pie	NN	pie
topping	VBG	top
,	,	,
"	``	"
and	CC	and
it	PP	it
quickly	RB	quickly
responded	VBD	respond
,	,	,
"	``	"
What	WP	what
is	VBZ	be
a	DT	a
meringue	NN	meringue
harangue	NN	harangue
?	SENT	?
"	''	"
And	CC	and
Jennings	NP	Jennings
and	CC	and
the	DT	the
other	JJ	other
guy	NN	guy
didn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
pretty	RB	pretty
sophisticated	JJ	sophisticated
example	NN	example
of	IN	of
computers	NNS	computer
actually	RB	actually
understanding	VBG	understand
human	JJ	human
language	NN	language
,	,	,
and	CC	and
it	PP	it
actually	RB	actually
got	VBD	get
its	PP$	its
knowledge	NN	knowledge
by	IN	by
reading	VBG	read
Wikipedia	NP	<unknown>
and	CC	and
several	JJ	several
other	JJ	other
encyclopedias	NNS	encyclopedia
.	SENT	.
Five	CD	five
to	TO	to
10	CD	@card@
years	NNS	year
from	IN	from
now	RB	now
,	,	,
search	NN	search
engines	NNS	engine
will	MD	will
actually	RB	actually
be	VB	be
based	VBN	base
on	IN	on
not	RB	not
just	RB	just
looking	VBG	look
for	IN	for
combinations	NNS	combination
of	IN	of
words	NNS	word
and	CC	and
links	NNS	link
but	CC	but
actually	RB	actually
understanding	NN	understanding
,	,	,
reading	VBG	read
for	IN	for
understanding	VBG	understand
the	DT	the
billions	NNS	billion
of	IN	of
pages	NNS	page
on	IN	on
the	DT	the
web	NN	web
and	CC	and
in	IN	in
books	NNS	book
.	SENT	.
So	IN	so
you	PP	you
'	''	'
ll	NN	ll
be	VB	be
walking	VBG	walk
along	RP	along
,	,	,
and	CC	and
Google	NP	<unknown>
will	MD	will
pop	VB	pop
up	RP	up
and	CC	and
say	VB	say
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
Mary	NP	Mary
,	,	,
you	PP	you
expressed	VBD	express
concern	NN	concern
to	TO	to
me	PP	me
a	DT	a
month	NN	month
ago	RB	ago
that	IN	that
your	PP$	your
glutathione	NN	glutathione
supplement	NN	supplement
wasn	NN	<unknown>
'	POS	'
t	NN	t
getting	VBG	get
past	IN	past
the	DT	the
blood-brain	NN	blood-brain
barrier	NN	barrier
.	SENT	.
Well	RB	well
,	,	,
new	JJ	new
research	NN	research
just	RB	just
came	VBD	come
out	RP	out
13	CD	@card@
seconds	NNS	second
ago	RB	ago
that	WDT	that
shows	VBZ	show
a	DT	a
whole	JJ	whole
new	JJ	new
approach	NN	approach
to	TO	to
that	DT	that
and	CC	and
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
take	VB	take
glutathione	NN	glutathione
.	SENT	.
Let	VB	let
me	PP	me
summarize	VB	summarize
it	PP	it
for	IN	for
you	PP	you
.	SENT	.
"	''	"
Twenty	CD	twenty
years	NNS	year
from	IN	from
now	RB	now
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
nanobots	NNS	<unknown>
,	,	,
because	IN	because
another	DT	another
exponential	JJ	exponential
trend	NN	trend
is	VBZ	be
the	DT	the
shrinking	NN	shrinking
of	IN	of
technology	NN	technology
.	SENT	.
They	PP	they
'	POS	'
ll	NNS	<unknown>
go	VBP	go
into	IN	into
our	PP$	our
brain	NN	brain
through	IN	through
the	DT	the
capillaries	NNS	capillary
and	CC	and
basically	RB	basically
connect	VB	connect
our	PP$	our
neocortex	NN	neocortex
to	TO	to
a	DT	a
synthetic	JJ	synthetic
neocortex	NN	neocortex
in	IN	in
the	DT	the
cloud	NN	cloud
providing	VBG	provide
an	DT	an
extension	NN	extension
of	IN	of
our	PP$	our
neocortex	NN	neocortex
.	SENT	.
Now	RB	now
today	NN	today
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
have	VBP	have
a	DT	a
computer	NN	computer
in	IN	in
your	PP$	your
phone	NN	phone
,	,	,
but	CC	but
if	IN	if
you	PP	you
need	VBP	need
10	CD	@card@
,	,	,
000	CD	@card@
computers	NNS	computer
for	IN	for
a	DT	a
few	JJ	few
seconds	NNS	second
to	TO	to
do	VB	do
a	DT	a
complex	JJ	complex
search	NN	search
,	,	,
you	PP	you
can	MD	can
access	VB	access
that	IN	that
for	IN	for
a	DT	a
second	JJ	second
or	CC	or
two	CD	two
in	IN	in
the	DT	the
cloud	NN	cloud
.	SENT	.
In	IN	in
the	DT	the
2030s	JJ	<unknown>
,	,	,
if	IN	if
you	PP	you
need	VBP	need
some	DT	some
extra	JJ	extra
