Whitney	NP	Whitney
positive	JJ	positive
change	NN	change
,	,	,
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
"	``	"
make	VB	make
trouble	NN	trouble
.	SENT	.
"	''	"
And	CC	and
making	VBG	make
trouble	NN	trouble
is	VBZ	be
not	RB	not
about	IN	about
being	VBG	be
a	DT	a
contrarian	NN	contrarian
randomly	RB	randomly
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
about	IN	about
being	VBG	be
a	DT	a
troll	NN	troll
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
simply	RB	simply
because	IN	because
you	PP	you
want	VBP	want
to	TO	to
make	VB	make
people	NNS	people
uncomfortable	JJ	uncomfortable
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
that	IN	that
,	,	,
often	RB	often
,	,	,
when	WRB	when
you	PP	you
are	VBP	be
the	DT	the
person	NN	person
who	WP	who
thinks	VBZ	think
different	JJ	different
from	IN	from
everybody	NN	everybody
else	RB	else
in	IN	in
the	DT	the
room	NN	room
,	,	,
it	PP	it
does	VBZ	do
feel	VB	feel
like	IN	like
trouble	NN	trouble
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
when	WRB	when
you	PP	you
are	VBP	be
not	RB	not
going	VBG	go
along	RP	along
with	IN	with
the	DT	the
group	NN	group
,	,	,
it	PP	it
feels	VBZ	feel
like	IN	like
trouble	NN	trouble
.	SENT	.
But	CC	but
sometimes	RB	sometimes
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
actually	RB	actually
what	WP	what
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
not	RB	not
just	RB	just
honor	VB	honor
yourself	PP	yourself
,	,	,
but	CC	but
honor	VB	honor
the	DT	the
world	NN	world
and	CC	and
honor	VB	honor
who	WP	who
you	PP	you
want	VBP	want
to	TO	to
be	VB	be
.	SENT	.
So	RB	so
if	IN	if
making	VBG	make
trouble	NN	trouble
looks	VBZ	look
like	IN	like
we	PP	we
actually	RB	actually
end	VB	end
up	RP	up
being	VBG	be
better	RBR	well
off	RB	off
for	IN	for
it	PP	it
,	,	,
then	RB	then
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
trouble	NN	trouble
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
an	DT	an
obligation	NN	obligation
for	IN	for
us	PP	us
to	TO	to
make	VB	make
trouble	NN	trouble
,	,	,
the	DT	the
type	NN	type
that	WDT	that
leaves	VBZ	leave
our	PP$	our
kids	NNS	kid
better	RBR	well
,	,	,
that	WDT	that
leaves	VBZ	leave
the	DT	the
rooms	NNS	room
that	IN	that
we	PP	we
are	VBP	be
in	IN	in
elevated	JJ	elevated
,	,	,
the	DT	the
types	NNS	type
that	WDT	that
lets	VBZ	let
us	PP	us
be	VB	be
proud	JJ	proud
of	IN	of
ourselves	PP	ourselves
.	SENT	.
Now	RB	now
,	,	,
making	VBG	make
trouble	NN	trouble
will	MD	will
not	RB	not
always	RB	always
go	VB	go
well	RB	well
,	,	,
right	RB	right
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
keep	VBP	keep
--	:	--
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
say	VB	say
that	DT	that
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
when	WRB	when
you	PP	you
speak	VBP	speak
the	DT	the
truth	NN	truth
,	,	,
somebody	NN	somebody
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
always	RB	always
receive	VB	receive
it	PP	it
properly	RB	properly
.	SENT	.
But	CC	but
you	PP	you
go	VBP	go
to	TO	to
bed	VB	bed
knowing	VBG	know
that	IN	that
you	PP	you
at	IN	at
least	JJS	least
tried	VBD	try
,	,	,
as	RB	as
opposed	VBN	oppose
to	TO	to
saying	VBG	say
,	,	,
"	``	"
What	WP	what
if	IN	if
I	PP	I
had	VBD	have
tried	VBN	try
?	SENT	?
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
life	NN	life
of	IN	of
,	,	,
"	``	"
Oh	UH	oh
,	,	,
well	UH	well
,	,	,
"	``	"
then	RB	then
"	''	"
What	WP	what
if	IN	if
?	SENT	?
"	``	"
So	RB	so
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
why	WRB	why
professional	JJ	professional
troublemaking	NN	troublemaking
is	VBZ	be
something	NN	something
that	IN	that
we	PP	we
should	MD	should
be	VB	be
proud	JJ	proud
of	IN	of
.	SENT	.
WPR	NN	WPR
:	:	:
So	RB	so
I	PP	I
know	VBP	know
everyone	NN	everyone
is	VBZ	be
dying	VBG	die
to	TO	to
know	VB	know
:	:	:
How	WRB	how
how	WRB	how
do	VBP	do
I	PP	I
become	VB	become
a	DT	a
professional	JJ	professional
troublemaker	NN	troublemaker
?	SENT	?
You	PP	you
outlined	VBD	outline
this	DT	this
in	IN	in
your	PP$	your
book	NN	book
.	SENT	.
You	PP	you
talk	VBP	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
it	PP	it
in	IN	in
your	PP$	your
talk	NN	talk
.	SENT	.
But	CC	but
I	PP	I
know	VBP	know
there	EX	there
are	VBP	be
three	CD	three
big	JJ	big
things	NNS	thing
that	IN	that
you	PP	you
think	VBP	think
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
to	TO	to
approach	VB	approach
this	DT	this
idea	NN	idea
of	IN	of
becoming	VBG	become
a	DT	a
troublemaker	NN	troublemaker
.	SENT	.
Will	MD	will
you	PP	you
share	VB	share
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
that	DT	that
with	IN	with
us	PP	us
?	SENT	?
LAJ	NP	LAJ
:	:	:
Yes	UH	yes
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
are	VBP	be
in	IN	in
the	DT	the
room	NN	room
,	,	,
and	CC	and
somebody	NN	somebody
says	VBZ	say
something	NN	something
that	WDT	that
is	VBZ	be
not	RB	not
a	DT	a
great	JJ	great
idea	NN	idea
--	:	--
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
been	VBN	be
in	IN	in
meetings	NNS	meeting
like	IN	like
that	DT	that
,	,	,
where	WRB	where
a	DT	a
campaign	NN	campaign
idea	NN	idea
was	VBD	be
brought	VBN	bring
forth	RB	forth
or	CC	or
a	DT	a
slogan	NN	slogan
or	CC	or
just	RB	just
something	NN	something
,	,	,
and	CC	and
you	PP	you
'	POS	'
re	NN	re
just	RB	just
like	JJ	like
,	,	,
"	''	"
Oof	NN	oof
,	,	,
"	''	"
but	CC	but
everybody	NN	everybody
else	RB	else
in	IN	in
the	DT	the
room	NN	room
is	VBZ	be
like	IN	like
,	,	,
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
great	JJ	great
idea	NN	idea
!	SENT	!
We	PP	we
love	VBP	love
it	PP	it
!	SENT	!
Yes	UH	yes
,	,	,
let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
it	PP	it
!	SENT	!
"	''	"
And	CC	and
usually	RB	usually
you	PP	you
feel	VBP	feel
like	IN	like
you	PP	you
'	POS	'
re	NN	re
standing	NN	standing
on	IN	on
an	DT	an
island	NN	island
by	IN	by
yourself	PP	yourself
,	,	,
because	IN	because
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
If	IN	if
I	PP	I
'	POS	'
m	NN	m
the	DT	the
only	JJ	only
person	NN	person
that	WDT	that
has	VBZ	have
a	DT	a
problem	NN	problem
with	IN	with
it	PP	it
,	,	,
am	VBP	be
I	PP	I
the	DT	the
problem	NN	problem
?	SENT	?
"	''	"
So	RB	so
then	RB	then
oftentimes	NNS	oftentime
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
be	VB	be
quiet	JJ	quiet
,	,	,
the	DT	the
room	NN	room
will	MD	will
dissipate	VB	dissipate
,	,	,
we	PP	we
walk	VBP	walk
out	RP	out
,	,	,
and	CC	and
we	PP	we
keep	VBP	keep
thinking	VBG	think
about	IN	about
that	DT	that
moment	NN	moment
,	,	,
and	CC	and
we	PP	we
keep	VBP	keep
saying	VBG	say
,	,	,
"	``	"
Should	MD	should
I	PP	I
have	VBP	have
said	VBN	say
something	NN	something
?	SENT	?
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
like	IN	like
the	DT	the
feeling	NN	feeling
of	IN	of
thinking	VBG	think
,	,	,
"	``	"
Should	MD	should
I	PP	I
have	VBP	have
said	VBN	say
something	NN	something
?	SENT	?
"	``	"
Because	IN	because
I	PP	I
'	POS	'
ll	NNS	<unknown>
sit	VBP	sit
on	IN	on
it	PP	it
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
overthink	VBP	overthink
it	PP	it
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
think	VBP	think
about	IN	about
it	PP	it
the	DT	the
day	NN	day
after	IN	after
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
be	VB	be
like	JJ	like
,	,	,
"	''	"
I	PP	I
should	MD	should
have	VB	have
said	VBN	say
something	NN	something
.	SENT	.
"	''	"
So	RB	so
for	IN	for
those	DT	those
tough	JJ	tough
moments	NNS	moment
where	WRB	where
you	PP	you
want	VBP	want
to	TO	to
say	VB	say
something	NN	something
that	WDT	that
feels	VBZ	feel
like	IN	like
it	PP	it
'	POS	'
s	JJ	<unknown>
contrary	NN	contrary
to	TO	to
what	WP	what
everybody	NN	everybody
else	RB	else
is	VBZ	be
saying	VBG	say
but	CC	but
you	PP	you
know	VBP	know
you	PP	you
deeply	RB	deeply
believe	VBP	believe
it	PP	it
,	,	,
I	PP	I
say	VBP	say
ask	VB	ask
yourself	PP	yourself
three	CD	three
questions	NNS	question
.	SENT	.
And	CC	and
if	IN	if
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
to	TO	to
all	DT	all
three	CD	three
,	,	,
you	PP	you
say	VBP	say
the	DT	the
thing	NN	thing
.	SENT	.
OK	UH	OK
,	,	,
so	IN	so
the	DT	the
three	CD	three
questions	NNS	question
are	VBP	be
:	:	:
Do	VBP	do
I	PP	I
mean	VB	mean
it	PP	it
?	SENT	?
This	DT	this
question	NN	question
is	VBZ	be
important	JJ	important
because	IN	because
you	PP	you
'	POS	'
re	NN	re
not	RB	not
just	RB	just
talking	VBG	talk
to	TO	to
hear	VB	hear
your	PP$	your
own	JJ	own
voice	NN	voice
.	SENT	.
Do	VB	do
you	PP	you
actually	RB	actually
mean	VBP	mean
what	WP	what
you	PP	you
'	POS	'
re	NN	re
about	RB	about
to	TO	to
say	VB	say
?	SENT	?
Can	MD	can
I	PP	I
defend	VB	defend
it	PP	it
?	SENT	?
OK	UH	OK
,	,	,
if	IN	if
somebody	NN	somebody
challenges	VBZ	challenge
you	PP	you
on	IN	on
this	DT	this
thing	NN	thing
that	IN	that
you	PP	you
are	VBP	be
also	RB	also
challenging	VBG	challenge
,	,	,
do	VBP	do
you	PP	you
have	VBP	have
a	DT	a
way	NN	way
to	TO	to
justify	VB	justify
and	CC	and
back	VB	back
it	PP	it
up	RP	up
?	SENT	?
Do	VB	do
you	PP	you
have	VBP	have
a	DT	a
clear	JJ	clear
way	NN	way
to	TO	to
say	VB	say
,	,	,
"	``	"
These	DT	these
are	VBP	be
the	DT	the
receipts	NNS	receipt
I	PP	I
'	POS	'
m	NN	m
coming	VBG	come
with	IN	with
"	''	"
?	SENT	?
And	CC	and
then	RB	then
:	:	:
Can	MD	can
I	PP	I
say	VB	say
it	PP	it
thoughtfully	RB	thoughtfully
?	SENT	?
Because	IN	because
how	WRB	how
you	PP	you
say	VBP	say
it	PP	it
does	VBZ	do
matter	NN	matter
.	SENT	.
Now	RB	now
,	,	,
it	PP	it
does	VBZ	do
not	RB	not
mean	VB	mean
that	IN	that
you	PP	you
should	MD	should
be	VB	be
tone-policed	VBN	tone-police
,	,	,
nor	CC	nor
does	VBZ	do
it	PP	it
mean	VBP	mean
that	IN	that
everybody	NN	everybody
will	MD	will
think	VB	think
you	PP	you
'	''	'
re	IN	re
saying	VBG	say
it	PP	it
thoughtfully	RB	thoughtfully
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
at	IN	at
least	JJS	least
try	VB	try
to	TO	to
run	VB	run
it	PP	it
through	IN	through
your	PP$	your
own	JJ	own
,	,	,
"	``	"
Am	VBP	be
I	PP	I
trying	VBG	try
to	TO	to
be	VB	be
as	RB	as
thoughtful	JJ	thoughtful
as	IN	as
possible	JJ	possible
?	SENT	?
"	``	"
it	PP	it
'	POS	'
s	JJ	<unknown>
risk	NN	risk
mitigation	NN	mitigation
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
saying	VBG	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
hateful	JJ	hateful
about	IN	about
this	DT	this
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
say	VB	say
this	DT	this
to	TO	to
demean	VB	demean
somebody	NN	somebody
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
just	RB	just
saying	VBG	say
it	PP	it
to	TO	to
blow	VB	blow
the	DT	the
room	NN	room
up	RP	up
or	CC	or
make	VB	make
the	DT	the
room	NN	room
feel	VBP	feel
like	IN	like
a	DT	a
rocky	JJ	rocky
place	NN	place
to	TO	to
be	VB	be
in	IN	in
.	SENT	.
"	``	"
When	WRB	when
the	DT	the
answer	NN	answer
is	VBZ	be
yes	UH	yes
to	TO	to
all	RB	all
three	CD	three
--	:	--
Do	VBP	do
I	PP	I
mean	VB	mean
it	PP	it
?	SENT	?
Can	MD	can
I	PP	I
defend	VB	defend
it	PP	it
?	SENT	?
Can	MD	can
I	PP	I
say	VB	say
thoughtfully	RB	thoughtfully
?	SENT	?
--	:	--
say	VB	say
it	PP	it
,	,	,
and	CC	and
then	RB	then
deal	NN	deal
with	IN	with
whatever	WDT	whatever
comes	VBZ	come
.	SENT	.
Now	RB	now
,	,	,
again	RB	again
--	:	--
I	PP	I
say	VBP	say
risk	NN	risk
mitigation	NN	mitigation
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
everybody	NN	everybody
will	MD	will
receive	VB	receive
what	WP	what
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
say	VB	say
with	IN	with
the	DT	the
intention	NN	intention
you	PP	you
meant	VBD	mean
,	,	,
OK	UH	OK
?	SENT	?
But	CC	but
it	PP	it
is	VBZ	be
a	DT	a
way	NN	way
to	TO	to
check	VB	check
yourself	PP	yourself
,	,	,
check	VB	check
in	IN	in
with	IN	with
yourself	PP	yourself
,	,	,
check	VB	check
what	WP	what
you	PP	you
'	POS	'
re	NN	re
about	RB	about
to	TO	to
say	VB	say
,	,	,
check	VB	check
your	PP$	your
tone	NN	tone
a	DT	a
little	JJ	little
bit	NN	bit
so	IN	so
it	PP	it
doesn	NN	<unknown>
'	POS	'
t	NN	t
come	VBN	come
out	RP	out
as	RB	as
unthoughtful	JJ	unthoughtful
as	IN	as
it	PP	it
could	MD	could
.	SENT	.
Because	IN	because
there	EX	there
are	VBP	be
moments	NNS	moment
when	WRB	when
things	NNS	thing
might	MD	might
be	VB	be
heated	VBN	heat
and	CC	and
you	PP	you
might	MD	might
want	VB	want
to	TO	to
speak	VB	speak
really	RB	really
quickly	RB	quickly
.	SENT	.
It	PP	it
slows	VBZ	slow
you	PP	you
down	RB	down
just	RB	just
a	DT	a
little	JJ	little
bit	NN	bit
to	TO	to
say	VB	say
,	,	,
all	DT	all
right	NN	right
,	,	,
all	DT	all
right	NN	right
,	,	,
you	PP	you
do	VBP	do
want	VB	want
to	TO	to
say	VB	say
this	DT	this
thing	NN	thing
,	,	,
it	PP	it
is	VBZ	be
valid	JJ	valid
,	,	,
but	CC	but
don	NN	don
'	POS	'
t	NN	t
come	VBN	come
at	IN	at
this	DT	this
person	NN	person
'	POS	'
s	NN	S
neck	NN	neck
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
me	PP	me
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
checkpoint	NN	checkpoint
that	IN	that
I	NP	I
'	POS	'
ve	NNS	<unknown>
used	VBN	use
for	IN	for
years	NNS	year
that	IN	that
I	PP	I
kind	RB	kind
of	IN	of
lead	VB	lead
with	IN	with
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
it	PP	it
goes	VBZ	go
well	RB	well
.	SENT	.
WPR	NN	WPR
:	:	:
That	WDT	that
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
tenets	NNS	tenet
you	PP	you
outline	VBP	outline
.	SENT	.
This	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
"	''	"
be	VB	be
"	``	"
part	NN	part
.	SENT	.
You	PP	you
have	VBP	have
"	``	"
be	VB	be
,	,	,
say	VBP	say
,	,	,
do	VBP	do
"	``	"
--	:	--
Is	VBZ	be
that	DT	that
right	NN	right
?	SENT	?
--	:	--
for	IN	for
tenets	NNS	tenet
.	SENT	.
LAJ	NP	LAJ
:	:	:
Yes	UH	yes
.	SENT	.
Be	VB	be
,	,	,
say	VBP	say
,	,	,
do	VBP	do
.	SENT	.
WPR	NP	WPR
:	:	:
Be	VB	be
,	,	,
say	VBP	say
,	,	,
do	VBP	do
.	SENT	.
And	CC	and
Ahmed	NP	Ahmed
,	,	,
he	PP	he
asks	VBZ	ask
,	,	,
"	``	"
How	WRB	how
do	VBP	do
you	PP	you
recognize	VB	recognize
professional	JJ	professional
trouble	NN	trouble
rather	RB	rather
than	IN	than
regular	JJ	regular
trouble	NN	trouble
?	SENT	?
"	''	"
LAJ	NP	LAJ
:	:	:
I	PP	I
think	VBP	think
it	PP	it
just	RB	just
really	RB	really
comes	VBZ	come
down	RP	down
to	TO	to
the	DT	the
heart	NN	heart
from	IN	from
which	WDT	which
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
it	PP	it
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
really	RB	really
do	VBP	do
think	VB	think
professional	JJ	professional
troublemaking	NN	troublemaking
,	,	,
what	WP	what
it	PP	it
means	VBZ	mean
is	VBZ	be
to	TO	to
disrupt	VB	disrupt
for	IN	for
the	DT	the
greater	JJR	great
good	JJ	good
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
just	RB	just
disrupting	VBG	disrupt
because	IN	because
you	PP	you
don	NN	don
'	POS	'
t	NN	t
like	IN	like
the	DT	the
person	NN	person
that	RB	that
'	POS	'
s	NNS	<unknown>
sitting	VBG	sit
across	IN	across
from	IN	from
you	PP	you
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
disrupting	VBG	disrupt
because	IN	because
you	PP	you
know	VBP	know
what	WP	what
you	PP	you
'	''	'
re	IN	re
saying	VBG	say
or	CC	or
doing	VBG	do
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
better	JJR	good
for	IN	for
somebody	NN	somebody
else	NN	else
or	CC	or
somebody	NN	somebody
who	WP	who
looks	VBZ	look
like	IN	like
you	PP	you
or	CC	or
somebody	NN	somebody
who	WP	who
doesn	NP	<unknown>
'	POS	'
t	NN	t
even	RB	even
look	VBP	look
like	IN	like
you	PP	you
,	,	,
right	RB	right
?	SENT	?
It	PP	it
is	VBZ	be
.	SENT	.
.	SENT	.
.	SENT	.
it	PP	it
'	POS	'
s	NN	S
mission-driven	NN	<unknown>
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
sometimes	RB	sometimes
brave	JJ	brave
,	,	,
because	IN	because
a	DT	a
lot	NN	lot
of	IN	of
troublemaking	NN	troublemaking
is	VBZ	be
going	VBG	go
to	TO	to
be	VB	be
scary	JJ	scary
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	NN	S
not	RB	not
scary	JJ	scary
,	,	,
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
not	RB	not
troublemaking	JJ	troublemaking
,	,	,
right	RB	right
?	SENT	?
If	IN	if
it	PP	it
does	VBZ	do
not	RB	not
give	VB	give
you	PP	you
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
,	,	,
"	''	"
Uhh	NP	Uhh
.	SENT	.
.	SENT	.
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
about	RB	about
to	TO	to
do	VB	do
this	DT	this
,	,	,
"	''	"
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
not	RB	not
troublemaking	JJ	troublemaking
.	SENT	.
Because	IN	because
if	IN	if
it	PP	it
was	VBD	be
easy	JJ	easy
,	,	,
everybody	NN	everybody
would	MD	would
do	VB	do
it	PP	it
.	SENT	.
If	IN	if
something	NN	something
was	VBD	be
easy	JJ	easy
to	TO	to
say	VB	say
or	CC	or
do	VB	do
,	,	,
everybody	NN	everybody
would	MD	would
do	VB	do
it	PP	it
,	,	,
so	IN	so
it	PP	it
wouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
special	JJ	special
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
a	DT	a
lot	NN	lot
of	IN	of
times	NNS	time
about	IN	about
troublemaking	NN	troublemaking
the	DT	the
thing	NN	thing
to	TO	to
really	RB	really
understand	VB	understand
is	VBZ	be
:	:	:
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
scary	JJ	scary
.	SENT	.
But	CC	but
what	WP	what
we	PP	we
sometimes	RB	sometimes
will	MD	will
think	VB	think
is	VBZ	be
that	IN	that
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
scary	JJ	scary
,	,	,
that	WDT	that
means	VBZ	mean
I	PP	I
need	VBP	need
to	TO	to
not	RB	not
do	VB	do
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
end	VBP	end
up	RP	up
not	RB	not
living	VBG	live
the	DT	the
lives	NNS	life
that	WDT	that
we	PP	we
want	VBP	want
to	TO	to
live	VB	live
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
end	VBP	end
up	RP	up
passing	VBG	pass
on	IN	on
opportunities	NNS	opportunity
that	WDT	that
are	VBP	be
meant	VBN	mean
to	TO	to
transform	VB	transform
our	PP$	our
lives	NNS	life
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
end	VBP	end
up	RP	up
regretting	VBG	regret
our	PP$	our
silence	NN	silence
in	IN	in
rooms	NNS	room
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
I	PP	I
actually	RB	actually
ask	VB	ask
myself	PP	myself
whenever	WRB	whenever
I	PP	I
'	POS	'
m	NN	m
in	IN	in
a	DT	a
room	NN	room
and	CC	and
I	PP	I
feel	VBP	feel
like	IN	like
I	PP	I
need	VBP	need
to	TO	to
say	VB	say
something	NN	something
that	WDT	that
feels	VBZ	feel
