Alright	RB	alright
—	:	-
that	WDT	that
feel	VBP	feel
horrible	JJ	horrible
in	IN	in
the	DT	the
moment	NN	moment
,	,	,
but	CC	but
then	RB	then
are	VBP	be
ultimately	RB	ultimately
forgotten	VBN	forget
when	WRB	when
things	NNS	thing
go	VB	go
OK	UH	OK
.	SENT	.
I	PP	I
have	VBP	have
a	DT	a
lot	NN	lot
of	IN	of
conversations	NNS	conversation
with	IN	with
people	NNS	people
about	IN	about
their	PP$	their
anger	NN	anger
and	CC	and
it	PP	it
'	POS	'
s	NN	S
through	IN	through
those	DT	those
conversations	NNS	conversation
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
learned	VBD	learn
that	IN	that
many	JJ	many
people	NNS	people
,	,	,
and	CC	and
I	PP	I
bet	VBP	bet
many	JJ	many
people	NNS	people
in	IN	in
this	DT	this
room	NN	room
right	RB	right
now	RB	now
,	,	,
you	PP	you
see	VBP	see
anger	NN	anger
as	IN	as
a	DT	a
problem	NN	problem
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
way	NN	way
it	PP	it
interferes	VBZ	interfere
in	IN	in
your	PP$	your
life	NN	life
,	,	,
the	DT	the
way	NN	way
it	PP	it
damages	VBZ	damage
relationships	NNS	relationship
,	,	,
maybe	RB	maybe
even	RB	even
the	DT	the
ways	NNS	way
it	PP	it
'	POS	'
s	NNS	<unknown>
scary	JJ	scary
.	SENT	.
And	CC	and
while	IN	while
I	PP	I
get	VBP	get
all	DT	all
of	IN	of
that	WDT	that
,	,	,
I	PP	I
see	VBP	see
anger	NN	anger
a	DT	a
little	JJ	little
differently	RB	differently
,	,	,
and	CC	and
today	NN	today
,	,	,
I	PP	I
want	VBP	want
to	TO	to
tell	VB	tell
you	PP	you
something	NN	something
really	RB	really
important	JJ	important
about	IN	about
your	PP$	your
anger	NN	anger
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
this	NN	this
:	:	:
anger	NN	anger
is	VBZ	be
a	DT	a
powerful	JJ	powerful
and	CC	and
healthy	JJ	healthy
force	NN	force
in	IN	in
your	PP$	your
life	NN	life
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
good	JJ	good
that	IN	that
you	PP	you
feel	VBP	feel
it	PP	it
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
feel	VB	feel
it	PP	it
.	SENT	.
But	CC	but
to	TO	to
understand	VB	understand
all	PDT	all
that	DT	that
,	,	,
we	PP	we
actually	RB	actually
have	VB	have
to	TO	to
back	VB	back
up	RP	up
and	CC	and
talk	VB	talk
about	RB	about
why	WRB	why
we	PP	we
get	VBP	get
mad	JJ	mad
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
this	DT	this
goes	VBZ	go
back	RB	back
to	TO	to
the	DT	the
work	NN	work
of	IN	of
an	DT	an
anger	NN	anger
researcher	NN	researcher
named	VBN	name
Dr	NP	Dr
.	SENT	.
Jerry	NP	Jerry
Deffenbacher	NP	Deffenbacher
,	,	,
who	WP	who
wrote	VBD	write
about	IN	about
this	DT	this
back	NN	back
in	IN	in
1996	CD	@card@
in	IN	in
a	DT	a
book	NN	book
chapter	NN	chapter
on	IN	on
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
problematic	JJ	problematic
anger	NN	anger
.	SENT	.
Now	RB	now
,	,	,
for	IN	for
most	JJS	most
of	IN	of
us	PP	us
,	,	,
and	CC	and
I	PP	I
bet	VBD	bet
most	JJS	most
of	IN	of
you	PP	you
,	,	,
it	PP	it
feels	VBZ	feel
as	RB	as
simple	JJ	simple
as	IN	as
this	DT	this
:	:	:
I	PP	I
get	VBP	get
mad	JJ	mad
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
provoked	VBD	provoke
.	SENT	.
You	PP	you
hear	VBP	hear
it	PP	it
in	IN	in
the	DT	the
language	NN	language
people	NNS	people
use	VBP	use
.	SENT	.
They	PP	they
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	''	"
It	PP	it
makes	VBZ	make
me	PP	me
so	RB	so
mad	JJ	mad
when	WRB	when
people	NNS	people
drive	VBP	drive
this	DT	this
slow	JJ	slow
,	,	,
"	''	"
or	CC	or
,	,	,
"	''	"
I	PP	I
got	VBD	get
mad	JJ	mad
because	IN	because
she	PP	she
left	VBD	leave
the	DT	the
milk	NN	milk
out	IN	out
again	RB	again
.	SENT	.
"	''	"
Or	CC	or
my	PP$	my
favorite	NN	favorite
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
an	DT	an
anger	NN	anger
problem	NN	problem
—	:	-
people	NNS	people
just	RB	just
need	VBP	need
to	TO	to
stop	VB	stop
messing	VBG	mess
with	IN	with
me	PP	me
.	SENT	.
"	''	"
Now	RB	now
,	,	,
in	IN	in
the	DT	the
spirit	NN	spirit
of	IN	of
better	JJR	good
understanding	NN	understanding
those	DT	those
types	NNS	type
of	IN	of
provocations	NNS	provocation
,	,	,
I	PP	I
ask	VBP	ask
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
,	,	,
including	VBG	include
my	PP$	my
friends	NNS	friend
and	CC	and
colleagues	NNS	colleague
and	CC	and
even	RB	even
family	NN	family
,	,	,
"	``	"
What	WP	what
are	VBP	be
the	DT	the
things	NNS	thing
that	WDT	that
really	RB	really
get	VBP	get
to	TO	to
you	PP	you
?	SENT	?
What	WP	what
makes	VBZ	make
you	PP	you
mad	JJ	mad
?	SENT	?
"	''	"
By	IN	by
the	DT	the
way	NN	way
,	,	,
now	RB	now
is	VBZ	be
a	DT	a
good	JJ	good
time	NN	time
to	TO	to
point	VB	point
out	RP	out
one	CD	one
of	IN	of
the	DT	the
advantages	NNS	advantage
of	IN	of
being	VBG	be
an	DT	an
anger	NN	anger
researcher	NN	researcher
is	VBZ	be
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
spent	VBD	spend
more	JJR	more
than	IN	than
a	DT	a
decade	NN	decade
generating	VBG	generate
a	DT	a
comprehensive	JJ	comprehensive
list	NN	list
of	IN	of
all	PDT	all
the	DT	the
things	NNS	thing
that	WDT	that
really	RB	really
irritate	VBP	irritate
my	PP$	my
colleagues	NNS	colleague
.	SENT	.
Just	RB	just
in	IN	in
case	NN	case
I	PP	I
need	VBP	need
it	PP	it
.	SENT	.
But	CC	but
their	PP$	their
answers	NNS	answer
are	VBP	be
fascinating	JJ	fascinating
,	,	,
because	IN	because
they	PP	they
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	''	"
when	WRB	when
my	PP$	my
sports	NNS	sport
team	NN	team
loses	VBZ	lose
,	,	,
"	''	"
"	``	"
people	NNS	people
who	WP	who
chew	VBP	chew
too	RB	too
loudly	RB	loudly
.	SENT	.
"	``	"
That	DT	that
is	VBZ	be
surprisingly	RB	surprisingly
common	JJ	common
,	,	,
by	IN	by
the	DT	the
way	NN	way
.	SENT	.
"	``	"
People	NNS	people
who	WP	who
walk	VBP	walk
too	RB	too
slowly	RB	slowly
,	,	,
"	''	"
that	IN	that
one	CD	one
'	POS	'
s	NN	S
mine	NN	mine
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
"	''	"
roundabouts	NNS	roundabout
.	SENT	.
"	''	"
Roundabouts	NNS	roundabout
—	:	-
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
honestly	RB	honestly
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
rage	NN	rage
like	IN	like
roundabout	JJ	roundabout
rage	NN	rage
.	SENT	.
Sometimes	RB	sometimes
their	PP$	their
answers	NNS	answer
aren	NNS	<unknown>
'	POS	'
t	NN	t
minor	JJ	minor
at	IN	at
all	DT	all
.	SENT	.
Sometimes	RB	sometimes
they	PP	they
talk	VBP	talk
about	IN	about
racism	NN	racism
and	CC	and
sexism	NN	sexism
and	CC	and
bullying	VBG	bully
and	CC	and
environmental	JJ	environmental
destruction	NN	destruction
—	:	-
big	JJ	big
,	,	,
global	JJ	global
problems	NNS	problem
we	PP	we
all	DT	all
face	NN	face
.	SENT	.
But	CC	but
sometimes	RB	sometimes
,	,	,
their	PP$	their
answers	NNS	answer
are	VBP	be
very	RB	very
specific	JJ	specific
,	,	,
maybe	RB	maybe
even	RB	even
oddly	RB	oddly
specific	JJ	specific
.	SENT	.
"	``	"
That	DT	that
wet	JJ	wet
line	NN	line
you	PP	you
get	VBP	get
across	IN	across
your	PP$	your
shirt	NN	shirt
when	WRB	when
you	PP	you
accidentally	RB	accidentally
lean	VBP	lean
against	IN	against
the	DT	the
counter	NN	counter
of	IN	of
a	DT	a
public	JJ	public
bathroom	NN	bathroom
.	SENT	.
"	''	"
Super	JJ	super
gross	JJ	gross
,	,	,
right	RB	right
?	SENT	?
Or	CC	or
"	``	"
Flash	NP	Flash
drives	NNS	drive
:	:	:
there	EX	there
'	''	'
s	NNS	<unknown>
only	JJ	only
two	CD	two
ways	NNS	way
to	TO	to
plug	VB	plug
them	PP	them
in	IN	in
,	,	,
so	RB	so
why	WRB	why
does	VBZ	do
it	PP	it
always	RB	always
take	VBP	take
me	PP	me
three	CD	three
tries	NNS	try
?	SENT	?
"	''	"
Now	RB	now
whether	IN	whether
it	PP	it
'	POS	'
s	JJ	<unknown>
minor	JJ	minor
or	CC	or
major	JJ	major
,	,	,
whether	IN	whether
it	PP	it
'	POS	'
s	JJ	<unknown>
general	JJ	general
or	CC	or
specific	JJ	specific
,	,	,
we	PP	we
can	MD	can
look	VB	look
at	IN	at
these	DT	these
examples	NNS	example
and	CC	and
we	PP	we
can	MD	can
tease	VB	tease
out	RP	out
some	DT	some
common	JJ	common
themes	NNS	theme
.	SENT	.
We	PP	we
get	VBP	get
angry	JJ	angry
in	IN	in
situations	NNS	situation
that	WDT	that
are	VBP	be
unpleasant	JJ	unpleasant
,	,	,
that	WDT	that
feel	VBP	feel
unfair	JJ	unfair
,	,	,
where	WRB	where
our	PP$	our
goals	NNS	goal
are	VBP	be
blocked	VBN	block
,	,	,
that	WDT	that
could	MD	could
have	VB	have
been	VBN	be
avoided	VBN	avoid
,	,	,
and	CC	and
that	WDT	that
leave	VBP	leave
us	PP	us
feeling	VBG	feel
powerless	JJ	powerless
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
recipe	NN	recipe
for	IN	for
anger	NN	anger
.	SENT	.
But	CC	but
you	PP	you
can	MD	can
also	RB	also
tell	VB	tell
that	IN	that
anger	NN	anger
is	VBZ	be
probably	RB	probably
not	RB	not
the	DT	the
only	JJ	only
thing	NN	thing
we	PP	we
'	POS	'
re	NN	re
feeling	NN	feeling
in	IN	in
these	DT	these
situations	NNS	situation
.	SENT	.
Anger	NN	anger
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
in	IN	in
a	DT	a
vacuum	NN	vacuum
.	SENT	.
We	PP	we
can	MD	can
feel	VB	feel
angry	JJ	angry
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
that	IN	that
we	PP	we
'	''	'
re	IN	re
scared	JJ	scared
or	CC	or
sad	JJ	sad
,	,	,
or	CC	or
feeling	VBG	feel
a	DT	a
host	NN	host
of	IN	of
other	JJ	other
emotions	NNS	emotion
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
thing	NN	thing
:	:	:
these	DT	these
provocations	NNS	provocation
—	:	-
they	PP	they
aren	NNS	<unknown>
'	POS	'
t	NN	t
making	VBG	make
us	PP	us
mad	JJ	mad
.	SENT	.
At	IN	at
least	JJS	least
not	RB	not
on	IN	on
their	PP$	their
own	JJ	own
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
,	,	,
because	IN	because
if	IN	if
they	PP	they
were	VBD	be
,	,	,
we	PP	we
'	POS	'
d	NN	d
all	RB	all
get	VB	get
angry	JJ	angry
over	IN	over
the	DT	the
same	JJ	same
things	NNS	thing
,	,	,
and	CC	and
we	PP	we
don	NN	don
'	POS	'
t	NN	t
.	SENT	.
The	DT	the
reasons	NNS	reason
I	PP	I
get	VBP	get
angry	JJ	angry
are	VBP	be
different	JJ	different
than	IN	than
the	DT	the
reasons	NNS	reason
you	PP	you
get	VBP	get
angry	JJ	angry
,	,	,
so	RB	so
there	RB	there
'	''	'
s	NNS	<unknown>
got	VBD	get
to	TO	to
be	VB	be
something	NN	something
else	RB	else
going	VBG	go
on	IN	on
.	SENT	.
What	WP	what
is	VBZ	be
that	DT	that
something	NN	something
else	RB	else
?	SENT	?
Well	RB	well
,	,	,
we	PP	we
know	VBP	know
what	WP	what
we	PP	we
'	''	'
re	IN	re
doing	VBG	do
and	CC	and
feeling	VBG	feel
at	IN	at
the	DT	the
moment	NN	moment
of	IN	of
that	DT	that
provocation	NN	provocation
matters	NNS	matter
.	SENT	.
We	PP	we
call	VBP	call
this	DT	this
the	DT	the
pre-anger	NN	pre-anger
state	NN	state
—	:	-
are	VBP	be
you	PP	you
hungry	JJ	hungry
,	,	,
are	VBP	be
you	PP	you
tired	JJ	tired
,	,	,
are	VBP	be
you	PP	you
anxious	JJ	anxious
about	IN	about
something	NN	something
else	RB	else
,	,	,
are	VBP	be
you	PP	you
running	VBG	run
late	RB	late
for	IN	for
something	NN	something
?	SENT	?
When	WRB	when
you	PP	you
'	POS	'
re	NN	re
feeling	VBG	feel
those	DT	those
things	NNS	thing
,	,	,
those	DT	those
provocations	NNS	provocation
feel	VBP	feel
that	IN	that
much	RB	much
worse	JJR	bad
.	SENT	.
But	CC	but
what	WP	what
matters	VBZ	matter
most	RBS	most
is	VBZ	be
not	RB	not
the	DT	the
provocation	NN	provocation
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
the	DT	the
pre-anger	NN	pre-anger
state	NN	state
,	,	,
it	PP	it
'	POS	'
s	NN	S
this	DT	this
:	:	:
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
interpret	VBP	interpret
that	DT	that
provocation	NN	provocation
,	,	,
it	PP	it
'	POS	'
s	NN	S
how	WRB	how
we	PP	we
make	VBP	make
sense	NN	sense
of	IN	of
it	PP	it
in	IN	in
our	PP$	our
lives	NNS	life
.	SENT	.
When	WRB	when
something	NN	something
happens	VBZ	happen
to	TO	to
us	PP	us
,	,	,
we	PP	we
first	RB	first
decide	VBP	decide
,	,	,
is	VBZ	be
this	DT	this
good	JJ	good
or	CC	or
bad	JJ	bad
?	SENT	?
Is	VBZ	be
it	PP	it
fair	JJ	fair
or	CC	or
unfair	JJ	unfair
,	,	,
is	VBZ	be
it	PP	it
blameworthy	JJ	blameworthy
,	,	,
is	VBZ	be
it	PP	it
punishable	JJ	punishable
?	SENT	?
That	IN	that
'	POS	'
s	JJ	<unknown>
primary	JJ	primary
appraisal	NN	appraisal
,	,	,
it	PP	it
'	POS	'
s	NN	S
when	WRB	when
you	PP	you
evaluate	VBP	evaluate
the	DT	the
event	NN	event
itself	PP	itself
.	SENT	.
We	PP	we
decide	VBP	decide
what	WP	what
it	PP	it
means	VBZ	mean
in	IN	in
the	DT	the
context	NN	context
of	IN	of
our	PP$	our
lives	NNS	life
and	CC	and
once	IN	once
we	PP	we
'	POS	'
ve	JJ	<unknown>
done	VBN	do
that	IN	that
,	,	,
we	PP	we
decide	VBP	decide
how	WRB	how
bad	JJ	bad
it	PP	it
is	VBZ	be
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
secondary	JJ	secondary
appraisal	NN	appraisal
.	SENT	.
We	PP	we
say	VBP	say
,	,	,
"	``	"
Is	VBZ	be
this	DT	this
the	DT	the
worst	JJS	bad
thing	NN	thing
that	RB	that
'	POS	'
s	NN	S
ever	RB	ever
happened	VBD	happen
,	,	,
or	CC	or
can	MD	can
I	PP	I
cope	VB	cope
with	IN	with
this	DT	this
?	SENT	?
Now	RB	now
,	,	,
to	TO	to
illustrate	VB	illustrate
that	IN	that
,	,	,
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
imagine	VB	imagine
you	PP	you
are	VBP	be
driving	VBG	drive
somewhere	RB	somewhere
.	SENT	.
And	CC	and
before	IN	before
I	PP	I
go	VBP	go
any	DT	any
further	JJR	further
,	,	,
I	PP	I
should	MD	should
tell	VB	tell
you	PP	you
,	,	,
if	IN	if
I	PP	I
were	VBD	be
an	DT	an
evil	JJ	evil
genius	NN	genius
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
create	VB	create
a	DT	a
situation	NN	situation
that	WDT	that
was	VBD	be
going	VBG	go
to	TO	to
make	VB	make
you	PP	you
mad	JJ	mad
,	,	,
that	DT	that
situation	NN	situation
would	MD	would
look	VB	look
a	DT	a
lot	NN	lot
like	IN	like
driving	VBG	drive
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
true	JJ	true
.	SENT	.
You	PP	you
are	VBP	be
,	,	,
by	IN	by
definition	NN	definition
,	,	,
on	IN	on
your	PP$	your
way	NN	way
somewhere	RB	somewhere
,	,	,
so	IN	so
everything	NN	everything
that	WDT	that
happens	VBZ	happen
—	:	-
traffic	NN	traffic
,	,	,
other	JJ	other
drivers	NNS	driver
,	,	,
road	NN	road
construction	NN	construction
—	:	-
it	PP	it
feels	VBZ	feel
like	IN	like
it	PP	it
'	POS	'
s	NN	S
blocking	VBG	block
your	PP$	your
goals	NNS	goal
.	SENT	.
There	EX	there
are	VBP	be
all	RB	all
these	DT	these
written	JJ	written
and	CC	and
unwritten	JJ	unwritten
rules	NNS	rule
of	IN	of
the	DT	the
road	NN	road
,	,	,
and	CC	and
those	DT	those
rules	NNS	rule
are	VBP	be
routinely	RB	routinely
violated	VBN	violate
right	RB	right
in	IN	in
front	NN	front
of	IN	of
you	PP	you
,	,	,
usually	RB	usually
without	IN	without
consequence	NN	consequence
.	SENT	.
And	CC	and
who	WP	who
'	POS	'
s	NN	S
violating	VBG	violate
those	DT	those
rules	NNS	rule
?	SENT	?
Anonymous	JJ	anonymous
others	NNS	other
,	,	,
people	NNS	people
you	PP	you
will	MD	will
never	RB	never
see	VB	see
again	RB	again
,	,	,
making	VBG	make
them	PP	them
a	DT	a
very	RB	very
easy	JJ	easy
target	NN	target
for	IN	for
your	PP$	your
wrath	NN	wrath
.	SENT	.
So	IN	so
you	PP	you
'	POS	'
re	NN	re
driving	VBG	drive
somewhere	RB	somewhere
,	,	,
thus	RB	thus
teed	VBN	tee
up	RP	up
to	TO	to
be	VB	be
angry	JJ	angry
,	,	,
and	CC	and
the	DT	the
person	NN	person
in	IN	in
front	NN	front
of	IN	of
you	PP	you
is	VBZ	be
driving	VBG	drive
well	RB	well
below	IN	below
the	DT	the
speed	NN	speed
limit	NN	limit
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
frustrating	JJ	frustrating
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
see	VB	see
why	WRB	why
they	PP	they
'	POS	'
re	NN	re
driving	VBG	drive
so	RB	so
slow	JJ	slow
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
primary	JJ	primary
appraisal	NN	appraisal
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
this	DT	this
and	CC	and
you	PP	you
'	POS	'
ve	NN	ve
said	VBD	say
it	PP	it
'	''	'
s	NNS	<unknown>
bad	JJ	bad
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
blameworthy	JJ	blameworthy
.	SENT	.
But	CC	but
maybe	RB	maybe
you	PP	you
also	RB	also
decide	VB	decide
it	PP	it
'	POS	'
s	NN	S
not	RB	not
that	RB	that
big	JJ	big
a	DT	a
deal	NN	deal
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
in	IN	in
a	DT	a
hurry	NN	hurry
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
secondary	JJ	secondary
appraisal	NN	appraisal
—	:	-
you	PP	you
don	VBP	don
'	''	'
t	NN	t
get	VB	get
angry	JJ	angry
.	SENT	.
But	CC	but
now	RB	now
imagine	VB	imagine
you	PP	you
'	POS	'
re	NN	re
on	IN	on
your	PP$	your
way	NN	way
to	TO	to
a	DT	a
job	NN	job
interview	NN	interview
.	SENT	.
What	WP	what
that	WDT	that
person	NN	person
is	VBZ	be
doing	VBG	do
,	,	,
it	PP	it
hasn	NNS	<unknown>
'	POS	'
t	NN	t
changed	VBD	change
,	,	,
right	RB	right
?	SENT	?
So	IN	so
primary	JJ	primary
appraisal	NN	appraisal
doesn	NN	<unknown>
'	POS	'
t	NN	t
change	NN	change
;	:	;
still	RB	still
bad	JJ	bad
,	,	,
still	RB	still
